stat, rank, value, (percentage) 
minecraft.dropped.large_amethyst_bud: #4, 2(5%)
minecraft.used.redstone_block: #5, 702(5%)
minecraft.picked_up.pale_oak_planks: #5, 106(7%)
minecraft.mined.bamboo_mosaic_stairs: #4, 3(5%)
minecraft.mined.prismarine_slab: #4, 8(3%)
minecraft.mined.brown_wool: #5, 74(6%)
minecraft.used.mangrove_door: #5, 11(8%)
minecraft.mined.warped_slab: #5, 75(7%)
minecraft.dropped.brown_bed: #4, 1(6%)
minecraft.used.magenta_carpet: #4, 4(4%)
minecraft.dropped.dead_tube_coral_block: #4, 1(6%)
minecraft.crafted.lime_concrete_powder: #5, 1160(7%)
minecraft.mined.light_blue_candle: #4, 1(4%)
minecraft.mined.coal_block: #4, 19(1%)
minecraft.dropped.wheat: #5, 865(5%)
minecraft.picked_up.cyan_candle: #5, 22(10%)
minecraft.used.red_sandstone_stairs: #4, 20(1%)
minecraft.crafted.spyglass: #5, 6(8%)
minecraft.picked_up.experience_bottle: #5, 301(7%)
minecraft.dropped.mud: #5, 194(6%)
minecraft.dropped.brown_concrete_powder: #4, 2(2%)
minecraft.mined.spruce_sign: #5, 7(5%)
minecraft.picked_up.magenta_concrete_powder: #4, 36(1%)
minecraft.crafted.weathered_copper_trapdoor: #4, 2(1%)
minecraft.used.experience_bottle: #5, 730(5%)
minecraft.dropped.orange_concrete: #4, 3(0%)
minecraft.picked_up.warped_slab: #5, 77(6%)
minecraft.mined.sandstone: #5, 5886(4%)
minecraft.picked_up.rabbit_hide: #5, 18(7%)
minecraft.dropped.pink_dye: #5, 15(5%)
minecraft.picked_up.ochre_froglight: #5, 1711(4%)
minecraft.picked_up.tall_dry_grass: #5, 44(7%)
minecraft.custom.interact_with_campfire: #6, 1170(8%)
minecraft.used.warped_wart_block: #5, 115(5%)
minecraft.used.magenta_concrete_powder: #5, 667(7%)
minecraft.dropped.stonecutter: #5, 5(8%)
minecraft.dropped.amethyst_cluster: #5, 5(10%)
minecraft.used.spruce_leaves: #5, 1218(4%)
minecraft.used.poppy: #5, 448(4%)
minecraft.used.purple_stained_glass: #5, 1483(5%)
minecraft.picked_up.weathered_chiseled_copper: #5, 3(14%)
minecraft.picked_up.pufferfish: #5, 146(4%)
minecraft.mined.jungle_wall_sign: #5, 12(6%)
minecraft.picked_up.waxed_oxidized_copper_bulb: #5, 9(5%)
minecraft.used.glistering_melon_slice: #5, 2(10%)
minecraft.picked_up.cyan_wool: #5, 330(3%)
minecraft.crafted.yellow_carpet: #5, 321(5%)
minecraft.picked_up.howl_pottery_sherd: #5, 3(10%)
minecraft.used.pink_banner: #5, 11(5%)
minecraft.picked_up.hay_block: #6, 593(8%)
minecraft.used.bush: #5, 79(8%)
minecraft.used.waxed_oxidized_copper_grate: #5, 127(4%)
minecraft.dropped.yellow_shulker_box: #5, 2(8%)
minecraft.picked_up.tuff_wall: #5, 46(5%)
minecraft.picked_up.pink_terracotta: #5, 112(6%)
minecraft.crafted.pink_wool: #5, 70(4%)
minecraft.used.crying_obsidian: #5, 625(5%)
minecraft.picked_up.ladder: #6, 550(7%)
minecraft.crafted.magenta_concrete_powder: #5, 640(5%)
minecraft.picked_up.lantern: #6, 289(7%)
minecraft.dropped.cooked_porkchop: #5, 288(3%)
minecraft.picked_up.burn_pottery_sherd: #5, 2(8%)
minecraft.picked_up.anvil: #6, 88(6%)
minecraft.picked_up.mangrove_pressure_plate: #5, 4(8%)
minecraft.crafted.raw_gold: #5, 423(7%)
minecraft.used.tnt_minecart: #5, 20(5%)
minecraft.crafted.smooth_stone_slab: #5, 898(2%)
minecraft.dropped.shroomlight: #5, 7(6%)
minecraft.picked_up.raw_gold_block: #5, 34(5%)
minecraft.picked_up.stripped_oak_wood: #5, 73(3%)
minecraft.picked_up.arrow: #6, 6081(6%)
minecraft.dropped.deepslate_diamond_ore: #5, 19(3%)
minecraft.used.green_candle: #5, 18(7%)
minecraft.picked_up.gray_concrete_powder: #5, 605(3%)
minecraft.mined.cyan_stained_glass: #5, 31(3%)
minecraft.picked_up.turtle_helmet: #5, 1(9%)
minecraft.picked_up.crimson_slab: #5, 19(4%)
minecraft.dropped.flint: #6, 506(6%)
minecraft.crafted.cracked_stone_bricks: #5, 154(3%)
minecraft.picked_up.cyan_concrete: #6, 224(7%)
minecraft.picked_up.raiser_armor_trim_smithing_template: #5, 1(7%)
minecraft.mined.mangrove_door: #6, 6(9%)
minecraft.dropped.enchanted_golden_apple: #5, 3(3%)
minecraft.crafted.stripped_acacia_wood: #5, 12(6%)
minecraft.used.mud_brick_slab: #6, 350(7%)
minecraft.picked_up.dropper: #6, 192(6%)
minecraft.mined.sculk: #5, 2521(2%)
minecraft.dropped.lever: #6, 93(6%)
minecraft.mined.bamboo_hanging_sign: #5, 2(6%)
minecraft.dropped.magenta_terracotta: #5, 5(6%)
minecraft.picked_up.warped_hyphae: #5, 13(3%)
minecraft.crafted.cherry_wood: #6, 96(9%)
minecraft.picked_up.dark_oak_planks: #6, 336(5%)
minecraft.used.pale_oak_hanging_sign: #5, 1(6%)
minecraft.dropped.lime_shulker_box: #5, 1(3%)
minecraft.picked_up.diamond_axe: #6, 59(5%)
minecraft.mined.black_concrete: #6, 1722(5%)
minecraft.dropped.warped_nylium: #5, 2(4%)
minecraft.used.bubble_coral_block: #5, 14(3%)
minecraft.picked_up.oak_fence_gate: #6, 25(6%)
minecraft.used.light_blue_carpet: #5, 175(2%)
minecraft.picked_up.cod: #6, 835(4%)
minecraft.crafted.crimson_fence: #5, 12(3%)
minecraft.used.diamond: #6, 80(6%)
minecraft.mined.lantern: #6, 80(5%)
minecraft.picked_up.gray_bed: #5, 12(1%)
minecraft.used.black_concrete: #6, 1574(6%)
minecraft.killed_by.vindicator: #5, 1(5%)
minecraft.crafted.light_blue_carpet: #5, 171(2%)
minecraft.dropped.green_banner: #5, 1(4%)
minecraft.picked_up.stripped_crimson_stem: #5, 16(1%)
minecraft.broken.iron_axe: #6, 4(6%)
minecraft.mined.jungle_leaves: #6, 1724(5%)
minecraft.used.smooth_sandstone: #6, 1191(6%)
minecraft.mined.gray_candle: #5, 1(3%)
minecraft.picked_up.mossy_cobblestone_wall: #5, 6(1%)
minecraft.crafted.brown_terracotta: #6, 280(6%)
minecraft.picked_up.bamboo_mosaic_stairs: #5, 3(2%)
minecraft.dropped.pink_terracotta: #5, 2(2%)
minecraft.used.polished_blackstone: #6, 312(6%)
minecraft.mined.dark_oak_stairs: #6, 75(5%)
minecraft.picked_up.light_blue_candle: #5, 3(2%)
minecraft.used.mud_bricks: #6, 918(5%)
minecraft.dropped.item_frame: #6, 27(6%)
minecraft.picked_up.light_gray_concrete_powder: #6, 346(5%)
minecraft.picked_up.cyan_terracotta: #6, 485(5%)
minecraft.dropped.bamboo_mosaic: #5, 1(1%)
minecraft.mined.red_sandstone_stairs: #5, 5(1%)
minecraft.used.iron_shovel: #6, 3510(5%)
minecraft.dropped.magenta_wool: #5, 2(1%)
minecraft.dropped.red_concrete_powder: #5, 1(1%)
minecraft.picked_up.red_sandstone_stairs: #5, 5(1%)
minecraft.used.blue_egg: #5, 2(1%)
minecraft.dropped.lapis_block: #5, 7(1%)
minecraft.used.magenta_candle: #5, 1(1%)
minecraft.crafted.purple_carpet: #5, 30(0%)
minecraft.dropped.creaking_heart: #5, 1(1%)
minecraft.dropped.quartz_stairs: #5, 1(1%)
minecraft.used.crimson_nylium: #6, 158(6%)
minecraft.crafted.cut_red_sandstone: #5, 8(0%)
minecraft.used.cake: #6, 6(6%)
minecraft.dropped.poisonous_potato: #6, 7(7%)
minecraft.crafted.gray_terracotta: #6, 508(6%)
minecraft.dropped.book: #6, 35(6%)
minecraft.used.cyan_concrete: #6, 182(6%)
minecraft.custom.interact_with_smoker: #6, 94(4%)
minecraft.crafted.stone_brick_wall: #6, 132(5%)
minecraft.picked_up.spruce_leaves: #6, 1791(4%)
minecraft.killed_by.silverfish: #6, 5(8%)
minecraft.picked_up.netherite_leggings: #7, 32(8%)
minecraft.used.brush: #6, 132(7%)
minecraft.picked_up.chiseled_deepslate: #6, 48(5%)
minecraft.killed_by.wither_skeleton: #6, 1(14%)
minecraft.mined.hay_block: #6, 153(4%)
minecraft.crafted.cyan_wool: #6, 114(5%)
minecraft.dropped.wooden_hoe: #6, 3(8%)
minecraft.dropped.spore_blossom: #6, 3(8%)
minecraft.picked_up.cactus_flower: #6, 16(7%)
minecraft.killed.turtle: #6, 20(6%)
minecraft.crafted.magenta_bed: #6, 1(11%)
minecraft.dropped.orange_dye: #6, 17(4%)
minecraft.dropped.campfire: #6, 5(6%)
minecraft.crafted.stripped_spruce_wood: #6, 57(5%)
minecraft.mined.polished_tuff: #7, 755(7%)
minecraft.dropped.oak_boat: #6, 7(3%)
minecraft.picked_up.rabbit: #6, 12(4%)
minecraft.picked_up.netherite_boots: #7, 27(7%)
minecraft.killed_by.pufferfish: #6, 1(11%)
minecraft.mined.green_concrete_powder: #6, 29(5%)
minecraft.dropped.dark_oak_planks: #6, 48(3%)
minecraft.used.tall_dry_grass: #6, 17(6%)
minecraft.picked_up.rabbit_foot: #6, 2(5%)
minecraft.custom.eat_cake_slice: #6, 16(5%)
minecraft.picked_up.pufferfish_bucket: #6, 2(7%)
minecraft.crafted.cyan_stained_glass: #6, 320(4%)
minecraft.dropped.lily_pad: #6, 13(4%)
minecraft.dropped.heavy_weighted_pressure_plate: #6, 3(6%)
minecraft.crafted.clay: #6, 139(4%)
minecraft.crafted.cherry_trapdoor: #6, 64(3%)
minecraft.used.stick: #6, 1(9%)
minecraft.crafted.cobblestone_wall: #6, 66(3%)
minecraft.used.cooked_mutton: #6, 72(2%)
minecraft.dropped.yellow_dye: #6, 18(2%)
minecraft.crafted.tnt_minecart: #6, 16(4%)
minecraft.dropped.allium: #6, 8(3%)
minecraft.mined.rail: #7, 2001(6%)
minecraft.picked_up.light_blue_dye: #6, 22(2%)
minecraft.dropped.warped_roots: #6, 72(3%)
minecraft.picked_up.flint: #7, 1116(6%)
minecraft.dropped.flower_pot: #6, 8(3%)
minecraft.crafted.stone_brick_slab: #6, 342(2%)
minecraft.crafted.cooked_mutton: #6, 71(2%)
minecraft.picked_up.cyan_stained_glass: #6, 40(3%)
minecraft.used.cyan_stained_glass: #6, 167(3%)
minecraft.crafted.black_bed: #6, 4(4%)
minecraft.mined.stripped_oak_wood: #6, 49(2%)
minecraft.crafted.spruce_slab: #7, 3636(5%)
minecraft.used.leaf_litter: #6, 226(2%)
minecraft.used.red_sand: #6, 79(2%)
minecraft.picked_up.oak_fence: #7, 277(6%)
minecraft.picked_up.cut_copper_slab: #6, 18(3%)
minecraft.crafted.pink_banner: #6, 10(3%)
minecraft.dropped.blaze_rod: #6, 56(2%)
minecraft.mined.cut_copper_slab: #6, 12(3%)
minecraft.used.stripped_mangrove_wood: #6, 25(3%)
minecraft.crafted.stone_slab: #7, 1758(5%)
minecraft.crafted.crimson_slab: #6, 78(2%)
minecraft.picked_up.oak_door: #7, 18(6%)
minecraft.mined.blue_stained_glass_pane: #6, 1(5%)
minecraft.used.yellow_concrete: #6, 269(1%)
minecraft.picked_up.yellow_stained_glass_pane: #6, 19(3%)
minecraft.used.cut_copper_slab: #6, 22(3%)
minecraft.dropped.blaze_powder: #6, 2(2%)
minecraft.mined.mangrove_slab: #7, 91(5%)
minecraft.used.black_terracotta: #6, 308(2%)
minecraft.dropped.pink_shulker_box: #6, 1(3%)
minecraft.crafted.stripped_birch_wood: #6, 24(2%)
minecraft.picked_up.stripped_acacia_log: #6, 93(1%)
minecraft.dropped.purple_wool: #6, 4(2%)
minecraft.used.jungle_leaves: #7, 552(6%)
minecraft.dropped.diamond_hoe: #7, 3(6%)
minecraft.mined.warped_wall_hanging_sign: #6, 1(3%)
minecraft.mined.stripped_acacia_log: #6, 83(1%)
minecraft.mined.gray_bed: #6, 9(1%)
minecraft.used.dark_oak_fence: #7, 387(5%)
minecraft.mined.red_concrete_powder: #6, 5(2%)
minecraft.crafted.blue_shulker_box: #7, 6(6%)
minecraft.mined.oak_fence: #7, 199(5%)
minecraft.mined.purple_concrete_powder: #6, 1(2%)
minecraft.mined.oxidized_cut_copper_slab: #6, 18(1%)
minecraft.used.oak_planks: #7, 655(5%)
minecraft.crafted.arrow: #6, 32(1%)
minecraft.mined.firefly_bush: #7, 147(7%)
minecraft.dropped.bundle: #7, 7(5%)
minecraft.dropped.diorite_wall: #6, 3(2%)
minecraft.crafted.mossy_stone_brick_slab: #6, 18(1%)
minecraft.crafted.blue_carpet: #6, 57(1%)
minecraft.crafted.black_concrete_powder: #7, 3344(5%)
minecraft.used.cut_red_sandstone: #6, 60(1%)
minecraft.mined.resin_block: #6, 32(1%)
minecraft.dropped.charcoal: #6, 3(1%)
minecraft.dropped.yellow_carpet: #6, 1(1%)
minecraft.used.bundle: #7, 51(4%)
minecraft.dropped.crimson_fungus: #6, 2(1%)
minecraft.dropped.sculk: #6, 20(1%)
minecraft.dropped.crafter: #6, 1(1%)
minecraft.used.cobbled_deepslate_slab: #7, 934(5%)
minecraft.broken.brush: #6, 1(1%)
minecraft.picked_up.pink_stained_glass_pane: #6, 2(1%)
minecraft.used.crimson_fence: #6, 8(0%)
minecraft.used.oak_fence_gate: #7, 44(5%)
minecraft.picked_up.cut_red_sandstone: #6, 7(0%)
minecraft.crafted.magma_cream: #6, 3(0%)
minecraft.mined.cut_red_sandstone: #6, 6(0%)
minecraft.mined.warped_fungus: #7, 61(4%)
minecraft.used.light_blue_candle: #6, 2(0%)
minecraft.broken.shears: #7, 30(5%)
minecraft.mined.flowering_azalea: #7, 70(4%)
minecraft.mined.blast_furnace: #7, 22(4%)
minecraft.mined.cyan_concrete: #7, 203(5%)
minecraft.picked_up.blast_furnace: #7, 23(4%)
minecraft.picked_up.wooden_pickaxe: #7, 2(7%)
minecraft.picked_up.sandstone: #7, 5737(4%)
minecraft.crafted.field_masoned_banner_pattern: #7, 1(12%)
minecraft.mined.orange_wool: #7, 94(4%)
minecraft.crafted.brown_wool: #7, 128(5%)
minecraft.mined.potatoes: #7, 225(3%)
minecraft.used.stone_brick_wall: #7, 158(4%)
minecraft.picked_up.jungle_leaves: #7, 704(4%)
minecraft.picked_up.orange_terracotta: #7, 1636(3%)
minecraft.used.pink_petals: #7, 511(4%)
minecraft.crafted.pale_oak_hanging_sign: #7, 6(11%)
minecraft.crafted.pink_shulker_box: #7, 5(4%)
minecraft.mined.chorus_flower: #7, 11(7%)
minecraft.used.firefly_bush: #7, 64(5%)
minecraft.used.gray_wool: #7, 829(4%)
minecraft.mined.tuff_wall: #7, 12(5%)
minecraft.mined.warped_roots: #7, 231(3%)
minecraft.picked_up.spectral_arrow: #7, 545(4%)
minecraft.picked_up.spore_blossom: #7, 36(4%)
minecraft.picked_up.peony: #7, 150(2%)
minecraft.picked_up.spruce_slab: #8, 1025(6%)
minecraft.picked_up.waxed_oxidized_copper_grate: #7, 61(4%)
minecraft.mined.nether_sprouts: #7, 180(3%)
minecraft.crafted.pink_dye: #7, 392(3%)
minecraft.mined.spruce_fence: #8, 282(7%)
minecraft.crafted.purple_stained_glass: #7, 1216(4%)
minecraft.mined.brown_mushroom_block: #7, 1820(3%)
minecraft.used.mushroom_stem: #7, 258(3%)
minecraft.picked_up.cooked_porkchop: #7, 366(2%)
minecraft.picked_up.lapis_block: #7, 122(3%)
minecraft.crafted.chiseled_tuff_bricks: #7, 24(3%)
minecraft.picked_up.light_gray_terracotta: #7, 679(3%)
minecraft.mined.light_gray_terracotta: #7, 672(3%)
minecraft.picked_up.wooden_hoe: #7, 3(6%)
minecraft.used.spruce_slab: #8, 3263(6%)
minecraft.picked_up.birch_door: #7, 3(5%)
minecraft.crafted.oxidized_copper_trapdoor: #7, 38(4%)
minecraft.crafted.orange_terracotta: #7, 284(4%)
minecraft.dropped.sculk_vein: #7, 13(3%)
minecraft.used.cyan_concrete_powder: #7, 228(3%)
minecraft.picked_up.leather_boots: #8, 34(5%)
minecraft.mined.cactus_flower: #7, 5(6%)
minecraft.used.white_terracotta: #7, 270(2%)
minecraft.used.cherry_trapdoor: #7, 69(3%)
minecraft.dropped.nautilus_shell: #7, 2(6%)
minecraft.dropped.oak_pressure_plate: #7, 2(5%)
minecraft.picked_up.map: #7, 30(4%)
minecraft.dropped.light_blue_dye: #7, 8(3%)
minecraft.crafted.purple_concrete_powder: #7, 320(3%)
minecraft.picked_up.pink_dye: #7, 14(2%)
minecraft.crafted.cyan_concrete_powder: #7, 360(3%)
minecraft.mined.crimson_trapdoor: #7, 12(4%)
minecraft.dropped.lime_dye: #7, 8(3%)
minecraft.crafted.crimson_trapdoor: #7, 56(3%)
minecraft.used.brown_concrete: #7, 44(4%)
minecraft.dropped.redstone_block: #7, 83(2%)
minecraft.picked_up.brown_concrete: #7, 66(3%)
minecraft.mined.diorite_wall: #7, 12(3%)
minecraft.dropped.purple_shulker_box: #7, 1(4%)
minecraft.used.orange_dye: #7, 8(3%)
minecraft.used.brown_wool: #7, 75(2%)
minecraft.mined.spruce_slab: #8, 583(5%)
minecraft.picked_up.deepslate_tiles: #7, 267(2%)
minecraft.dropped.cyan_dye: #7, 8(2%)
minecraft.picked_up.gray_bundle: #7, 1(6%)
minecraft.used.smooth_basalt: #7, 360(2%)
minecraft.mined.quartz_stairs: #7, 40(2%)
minecraft.custom.interact_with_blast_furnace: #8, 225(5%)
minecraft.dropped.glow_berries: #7, 15(2%)
minecraft.picked_up.diamond_pickaxe: #8, 81(4%)
minecraft.crafted.red_wool: #7, 116(2%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #7, 1(5%)
minecraft.picked_up.crimson_trapdoor: #7, 12(3%)
minecraft.used.crimson_slab: #7, 82(3%)
minecraft.used.purple_concrete_powder: #7, 124(2%)
minecraft.picked_up.quartz_stairs: #7, 41(1%)
minecraft.used.sand: #7, 4644(1%)
minecraft.mined.daylight_detector: #7, 4(2%)
minecraft.crafted.light_blue_wool: #7, 114(2%)
minecraft.dropped.furnace: #7, 5(2%)
minecraft.used.pufferfish: #7, 1(3%)
minecraft.dropped.oak_door: #7, 4(2%)
minecraft.mined.oxidized_copper_grate: #7, 22(1%)
minecraft.used.blue_stained_glass_pane: #7, 8(3%)
minecraft.used.respawn_anchor: #7, 2(2%)
minecraft.used.blue_terracotta: #7, 117(1%)
minecraft.used.mangrove_pressure_plate: #7, 4(2%)
minecraft.dropped.stripped_spruce_wood: #7, 2(2%)
minecraft.dropped.soul_torch: #7, 4(3%)
minecraft.mined.pink_banner: #7, 1(3%)
minecraft.dropped.dark_oak_button: #7, 2(3%)
minecraft.used.red_sandstone: #7, 26(2%)
minecraft.used.blue_carpet: #7, 53(2%)
minecraft.mined.skeleton_skull: #7, 1(2%)
minecraft.mined.glass_pane: #8, 62(5%)
minecraft.used.magenta_concrete: #7, 49(1%)
minecraft.picked_up.iron_leggings: #8, 10(5%)
minecraft.used.verdant_froglight: #7, 361(1%)
minecraft.dropped.spectral_arrow: #7, 192(1%)
minecraft.dropped.stripped_oak_log: #7, 2(1%)
minecraft.dropped.oak_fence_gate: #7, 2(2%)
minecraft.dropped.resin_clump: #7, 64(1%)
minecraft.used.stripped_oak_wood: #7, 23(1%)
minecraft.dropped.lightning_rod: #7, 3(1%)
minecraft.used.gray_bed: #7, 9(1%)
minecraft.mined.stone_brick_stairs: #8, 137(5%)
minecraft.mined.black_wool: #7, 57(1%)
minecraft.mined.resin_bricks: #7, 1(1%)
minecraft.crafted.silence_armor_trim_smithing_template: #7, 2(1%)
minecraft.mined.suspicious_sand: #7, 1(1%)
minecraft.mined.oxidized_cut_copper_stairs: #7, 7(1%)
minecraft.used.pink_bed: #7, 3(1%)
minecraft.picked_up.oxidized_cut_copper_stairs: #7, 7(1%)
minecraft.crafted.stripped_dark_oak_wood: #7, 6(1%)
minecraft.mined.cherry_slab: #7, 2(1%)
minecraft.used.pink_terracotta: #7, 47(1%)
minecraft.used.chiseled_deepslate: #7, 96(0%)
minecraft.used.bamboo_sign: #8, 191(4%)
minecraft.dropped.black_concrete_powder: #7, 2(1%)
minecraft.dropped.polished_blackstone_slab: #7, 1(0%)
minecraft.mined.cornflower: #8, 79(4%)
minecraft.used.resin_bricks: #7, 1(0%)
minecraft.crafted.book: #8, 343(4%)
minecraft.mined.polished_blackstone_slab: #7, 1(0%)
minecraft.picked_up.purple_carpet: #7, 3(0%)
minecraft.dropped.pearlescent_froglight: #7, 6(0%)
minecraft.dropped.brown_concrete: #7, 1(0%)
minecraft.crafted.magenta_carpet: #7, 3(0%)
minecraft.used.orange_terracotta: #8, 891(5%)
minecraft.crafted.pink_glazed_terracotta: #7, 1(0%)
minecraft.picked_up.cut_red_sandstone_slab: #7, 1(0%)
minecraft.picked_up.seagrass: #8, 251(5%)
minecraft.picked_up.comparator: #8, 189(4%)
minecraft.crafted.cooked_beef: #8, 507(4%)
minecraft.crafted.iron_nugget: #8, 6374(4%)
minecraft.mined.dark_oak_fence: #8, 125(4%)
minecraft.dropped.diamond: #8, 400(4%)
minecraft.used.fishing_rod: #8, 1540(3%)
minecraft.crafted.oak_button: #8, 28(4%)
minecraft.picked_up.firefly_bush: #8, 148(5%)
minecraft.used.minecart: #8, 110(4%)
minecraft.dropped.netherite_leggings: #8, 3(5%)
minecraft.used.pale_oak_log: #8, 462(4%)
minecraft.crafted.snow_block: #8, 966(4%)
minecraft.used.blackstone: #8, 955(3%)
minecraft.picked_up.calcite: #8, 1250(3%)
minecraft.mined.mossy_cobblestone: #8, 133(3%)
minecraft.crafted.iron_sword: #8, 10(3%)
minecraft.used.oxidized_copper_trapdoor: #8, 202(4%)
minecraft.mined.orange_terracotta: #8, 1476(3%)
minecraft.used.potato: #8, 286(3%)
minecraft.used.carved_pumpkin: #8, 18(3%)
minecraft.mined.tripwire: #8, 51(3%)
minecraft.dropped.wooden_axe: #8, 1(7%)
minecraft.crafted.spruce_fence: #8, 615(3%)
minecraft.picked_up.white_terracotta: #8, 753(3%)
minecraft.mined.waxed_oxidized_copper_grate: #8, 62(4%)
minecraft.picked_up.iron_hoe: #8, 2(4%)
minecraft.used.light_gray_terracotta: #8, 202(3%)
minecraft.picked_up.oxidized_copper_trapdoor: #8, 179(3%)
minecraft.used.rose_bush: #8, 31(3%)
minecraft.picked_up.nautilus_shell: #8, 19(2%)
minecraft.used.deepslate_tile_stairs: #8, 272(3%)
minecraft.used.warped_nylium: #8, 101(3%)
minecraft.used.red_dye: #8, 11(3%)
minecraft.crafted.acacia_wood: #8, 378(3%)
minecraft.picked_up.gray_carpet: #8, 130(2%)
minecraft.mined.brown_concrete: #8, 65(3%)
minecraft.picked_up.brown_terracotta: #8, 695(3%)
minecraft.mined.brown_terracotta: #8, 694(3%)
minecraft.crafted.heavy_weighted_pressure_plate: #8, 11(2%)
minecraft.dropped.stone_shovel: #8, 4(3%)
minecraft.mined.deepslate_tiles: #8, 248(2%)
minecraft.used.white_dye: #8, 25(2%)
minecraft.picked_up.polished_tuff: #9, 736(6%)
minecraft.picked_up.smooth_stone: #8, 1114(2%)
minecraft.used.stripped_spruce_wood: #8, 73(3%)
minecraft.used.packed_ice: #8, 842(2%)
minecraft.mined.chiseled_copper: #8, 5(3%)
minecraft.mined.blue_concrete: #8, 64(3%)
minecraft.used.crimson_trapdoor: #8, 62(3%)
minecraft.used.air: #8, 855(2%)
minecraft.dropped.birch_button: #8, 3(4%)
minecraft.crafted.green_concrete_powder: #8, 320(2%)
minecraft.picked_up.chiseled_copper: #8, 9(3%)
minecraft.picked_up.bamboo_hanging_sign: #8, 4(4%)
minecraft.picked_up.stripped_spruce_wood: #8, 60(2%)
minecraft.mined.deepslate_tile_stairs: #8, 43(2%)
minecraft.used.oak_leaves: #8, 1712(2%)
minecraft.mined.cobblestone_stairs: #8, 48(2%)
minecraft.crafted.purple_terracotta: #8, 172(2%)
minecraft.mined.allium: #8, 25(2%)
minecraft.crafted.black_terracotta: #8, 424(2%)
minecraft.dropped.gray_dye: #8, 8(2%)
minecraft.picked_up.magenta_dye: #8, 14(1%)
minecraft.used.yellow_concrete_powder: #8, 384(1%)
minecraft.used.light_blue_terracotta: #8, 211(2%)
minecraft.used.cactus_flower: #8, 3(3%)
minecraft.picked_up.green_wool: #8, 375(1%)
minecraft.mined.spruce_stairs: #9, 237(5%)
minecraft.picked_up.black_bed: #8, 12(2%)
minecraft.mined.suspicious_gravel: #8, 14(2%)
minecraft.used.black_bed: #8, 12(2%)
minecraft.dropped.spruce_button: #8, 8(2%)
minecraft.picked_up.ender_eye: #8, 3(2%)
minecraft.killed_by.drowned: #8, 4(2%)
minecraft.mined.deepslate_tile_wall: #8, 14(1%)
minecraft.picked_up.oxidized_copper_grate: #8, 25(1%)
minecraft.crafted.spruce_stairs: #9, 724(5%)
minecraft.mined.open_eyeblossom: #8, 6(2%)
minecraft.crafted.yellow_concrete_powder: #8, 384(1%)
minecraft.mined.light_blue_stained_glass: #8, 43(1%)
minecraft.used.diorite_stairs: #8, 13(2%)
minecraft.used.snow: #8, 1105(1%)
minecraft.picked_up.verdant_froglight: #8, 547(1%)
minecraft.mined.respawn_anchor: #8, 1(3%)
minecraft.picked_up.oak_wood: #8, 39(1%)
minecraft.mined.oak_wood: #8, 39(1%)
minecraft.picked_up.magenta_stained_glass_pane: #8, 3(2%)
minecraft.picked_up.coal_block: #8, 51(1%)
minecraft.picked_up.armadillo_scute: #8, 70(1%)
minecraft.used.blue_concrete_powder: #8, 64(1%)
minecraft.picked_up.filled_map: #9, 822(4%)
minecraft.crafted.wooden_shovel: #8, 10(1%)
minecraft.crafted.light_blue_terracotta: #8, 168(1%)
minecraft.mined.quartz_block: #8, 77(1%)
minecraft.dropped.jungle_sign: #8, 2(2%)
minecraft.used.lily_of_the_valley: #8, 3(1%)
minecraft.picked_up.resin_block: #8, 47(1%)
minecraft.crafted.raw_gold_block: #8, 31(1%)
minecraft.picked_up.sculk_sensor: #8, 32(1%)
minecraft.dropped.light_gray_stained_glass: #8, 3(1%)
minecraft.picked_up.purple_dye: #8, 13(1%)
minecraft.picked_up.quartz_slab: #8, 35(1%)
minecraft.mined.snow: #8, 3880(1%)
minecraft.used.lantern: #9, 321(5%)
minecraft.picked_up.skeleton_skull: #8, 1(1%)
minecraft.picked_up.warped_hanging_sign: #8, 1(1%)
minecraft.used.pink_candle: #8, 4(1%)
minecraft.mined.pale_oak_wood: #8, 2(1%)
minecraft.used.spruce_planks: #9, 2148(4%)
minecraft.dropped.diamond_sword: #9, 11(4%)
minecraft.picked_up.resin_bricks: #8, 1(1%)
minecraft.dropped.candle: #8, 3(1%)
minecraft.crafted.pink_terracotta: #8, 88(1%)
minecraft.used.coal_block: #8, 39(0%)
minecraft.used.resin_block: #8, 18(0%)
minecraft.dropped.coal_block: #8, 3(0%)
minecraft.used.polished_blackstone_slab: #8, 12(0%)
minecraft.used.dark_oak_log: #9, 1098(4%)
minecraft.mined.magenta_wool: #8, 2(0%)
minecraft.dropped.hopper_minecart: #8, 1(0%)
minecraft.mined.birch_log: #9, 2024(4%)
minecraft.picked_up.small_amethyst_bud: #8, 3(0%)
minecraft.picked_up.large_amethyst_bud: #8, 2(0%)
minecraft.picked_up.medium_amethyst_bud: #8, 2(0%)
minecraft.mined.spruce_log: #9, 8079(4%)
minecraft.crafted.resin_bricks: #8, 1(0%)
minecraft.dropped.prismarine_bricks: #8, 2(0%)
minecraft.crafted.flower_banner_pattern: #9, 1(11%)
minecraft.used.obsidian: #9, 709(4%)
minecraft.picked_up.black_dye: #9, 72(4%)
minecraft.picked_up.birch_planks: #9, 270(4%)
minecraft.mined.azalea: #9, 102(4%)
minecraft.crafted.ender_chest: #9, 45(4%)
minecraft.used.spruce_fence: #9, 784(4%)
minecraft.picked_up.salmon: #9, 305(4%)
