stat, rank, value, (percentage) 
minecraft.dropped.amethyst_cluster: #2, 10(20%)
minecraft.used.mud_brick_stairs: #3, 280(17%)
minecraft.mined.waxed_weathered_cut_copper_slab: #2, 39(16%)
minecraft.mined.cactus_flower: #2, 16(18%)
minecraft.picked_up.coarse_dirt: #3, 2804(11%)
minecraft.crafted.deepslate_tile_stairs: #3, 88(15%)
minecraft.used.white_concrete_powder: #3, 11668(12%)
minecraft.mined.resin_clump: #2, 747(9%)
minecraft.picked_up.torchflower: #2, 144(7%)
minecraft.dropped.lily_pad: #2, 36(11%)
minecraft.dropped.calcite: #3, 231(15%)
minecraft.used.light_gray_banner: #2, 63(17%)
minecraft.picked_up.gray_concrete_powder: #3, 2995(16%)
minecraft.crafted.deepslate_tile_wall: #2, 72(13%)
minecraft.dropped.dark_oak_sign: #2, 11(19%)
minecraft.dropped.terracotta: #3, 231(12%)
minecraft.mined.brown_stained_glass: #2, 79(17%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #2, 37(15%)
minecraft.mined.spruce_hanging_sign: #2, 7(13%)
minecraft.custom.walk_on_water_one_cm: #4, 10078482(7%)
minecraft.crafted.tuff_stairs: #2, 84(12%)
minecraft.used.dark_oak_stairs: #3, 810(11%)
minecraft.dropped.sea_pickle: #3, 287(19%)
minecraft.used.twisting_vines: #2, 122(15%)
minecraft.crafted.jungle_boat: #2, 24(11%)
minecraft.mined.coarse_dirt: #3, 2270(10%)
minecraft.crafted.brown_dye: #3, 2125(13%)
minecraft.crafted.stripped_jungle_wood: #2, 120(27%)
minecraft.picked_up.orange_concrete: #3, 947(16%)
minecraft.picked_up.oxidized_chiseled_copper: #2, 17(11%)
minecraft.used.spruce_sign: #3, 650(10%)
minecraft.mined.cyan_wall_banner: #2, 11(20%)
minecraft.crafted.polished_deepslate_slab: #3, 444(14%)
minecraft.picked_up.creaking_heart: #3, 133(18%)
minecraft.mined.gray_shulker_box: #3, 612(11%)
minecraft.used.spruce_hanging_sign: #3, 64(14%)
minecraft.crafted.green_banner: #2, 30(9%)
minecraft.dropped.red_sand: #2, 405(10%)
minecraft.mined.oxidized_chiseled_copper: #2, 17(14%)
minecraft.picked_up.pink_stained_glass_pane: #2, 56(22%)
minecraft.used.gray_shulker_box: #3, 608(11%)
minecraft.used.bundle: #4, 164(12%)
minecraft.mined.cherry_wood: #2, 7(25%)
minecraft.picked_up.gray_shulker_box: #3, 614(10%)
minecraft.used.spruce_planks: #3, 4899(10%)
minecraft.picked_up.weathered_cut_copper_stairs: #2, 12(21%)
minecraft.mined.weathered_cut_copper_stairs: #2, 12(21%)
minecraft.used.brown_dye: #3, 38(12%)
minecraft.picked_up.end_stone_brick_wall: #2, 124(29%)
minecraft.mined.orange_banner: #2, 5(21%)
minecraft.picked_up.poisonous_potato: #3, 57(14%)
minecraft.picked_up.white_dye: #3, 379(9%)
minecraft.dropped.polished_deepslate: #3, 110(16%)
minecraft.picked_up.purple_concrete: #3, 812(19%)
minecraft.picked_up.cherry_hanging_sign: #2, 6(29%)
minecraft.picked_up.mud_brick_wall: #3, 179(13%)
minecraft.used.terracotta: #3, 4482(11%)
minecraft.used.oxidized_copper_trapdoor: #3, 624(13%)
minecraft.crafted.stripped_dark_oak_wood: #2, 111(14%)
minecraft.dropped.mangrove_log: #2, 193(10%)
minecraft.crafted.polished_blackstone_brick_slab: #2, 126(15%)
minecraft.picked_up.spruce_fence: #3, 592(10%)
minecraft.mined.jungle_planks: #3, 357(10%)
minecraft.dropped.brown_dye: #3, 69(12%)
minecraft.mined.brown_concrete: #3, 294(15%)
minecraft.mined.dead_bush: #3, 613(10%)
minecraft.mined.pink_concrete: #3, 959(14%)
minecraft.crafted.bordure_indented_banner_pattern: #2, 2(22%)
minecraft.crafted.mangrove_sign: #3, 159(14%)
minecraft.picked_up.warped_fungus: #3, 1124(10%)
minecraft.used.leather_leggings: #3, 14(9%)
minecraft.crafted.brown_shulker_box: #2, 33(7%)
minecraft.mined.gray_wall_banner: #2, 7(18%)
minecraft.used.brick_wall: #3, 118(15%)
minecraft.dropped.deepslate_bricks: #2, 22(8%)
minecraft.picked_up.decorated_pot: #3, 232(9%)
minecraft.mined.short_grass: #3, 10275(8%)
minecraft.dropped.mud_brick_stairs: #2, 5(21%)
minecraft.crafted.light_gray_banner: #2, 45(11%)
minecraft.used.diamond_shovel: #3, 368675(9%)
minecraft.picked_up.peony: #4, 705(11%)
minecraft.picked_up.fermented_spider_eye: #2, 17(24%)
minecraft.crafted.resin_clump: #3, 3465(17%)
minecraft.picked_up.waxed_exposed_copper_door: #2, 2(40%)
minecraft.used.weathered_chiseled_copper: #2, 3(30%)
minecraft.picked_up.light_gray_banner: #2, 37(20%)
minecraft.dropped.soul_lantern: #2, 32(24%)
minecraft.crafted.mangrove_propagule: #2, 8(20%)
minecraft.used.bucket: #3, 6597(8%)
minecraft.used.cobblestone: #3, 8068(9%)
minecraft.dropped.waxed_weathered_copper: #2, 3(38%)
minecraft.crafted.mossy_stone_brick_slab: #2, 174(14%)
minecraft.used.birch_sign: #3, 116(8%)
minecraft.mined.creaking_heart: #3, 76(15%)
minecraft.used.lantern: #3, 597(8%)
minecraft.crafted.light_blue_glazed_terracotta: #2, 30(14%)
minecraft.crafted.end_stone_brick_stairs: #2, 16(15%)
minecraft.picked_up.red_sandstone: #3, 174(12%)
minecraft.picked_up.brown_stained_glass: #2, 172(12%)
minecraft.dropped.fermented_spider_eye: #2, 17(27%)
minecraft.picked_up.green_concrete: #3, 602(13%)
minecraft.dropped.white_stained_glass_pane: #2, 49(13%)
minecraft.picked_up.cracked_deepslate_bricks: #2, 132(12%)
minecraft.dropped.mossy_stone_brick_stairs: #2, 8(21%)
minecraft.dropped.mangrove_sign: #2, 13(13%)
minecraft.crafted.cyan_shulker_box: #3, 15(10%)
minecraft.crafted.dark_oak_sign: #4, 153(14%)
minecraft.used.red_sandstone_slab: #2, 154(11%)
minecraft.used.stone_brick_wall: #3, 384(10%)
minecraft.picked_up.jungle_planks: #3, 520(8%)
minecraft.crafted.globe_banner_pattern: #2, 3(20%)
minecraft.dropped.black_stained_glass_pane: #3, 29(25%)
minecraft.mined.magenta_banner: #2, 1(50%)
minecraft.crafted.cyan_harness: #2, 3(20%)
minecraft.picked_up.creeper_banner_pattern: #2, 1(33%)
minecraft.crafted.yellow_harness: #2, 1(33%)
minecraft.used.waxed_exposed_cut_copper: #2, 354(14%)
minecraft.dropped.brown_stained_glass: #2, 94(33%)
minecraft.dropped.pale_oak_leaves: #3, 59(25%)
minecraft.mined.torch: #3, 3278(8%)
minecraft.mined.oak_sign: #3, 20(8%)
minecraft.custom.clean_armor: #2, 7(24%)
minecraft.dropped.polished_andesite: #3, 124(11%)
minecraft.mined.tall_grass: #3, 1832(7%)
minecraft.crafted.glistering_melon_slice: #3, 177(16%)
minecraft.mined.granite_slab: #3, 34(15%)
minecraft.crafted.tuff_brick_slab: #3, 226(9%)
minecraft.mined.lantern: #4, 186(12%)
minecraft.dropped.stripped_birch_wood: #2, 21(23%)
minecraft.crafted.exposed_cut_copper_stairs: #2, 4(31%)
minecraft.crafted.oxidized_cut_copper: #3, 124(11%)
minecraft.used.tuff_brick_wall: #3, 199(9%)
minecraft.dropped.brown_mushroom_block: #2, 576(7%)
minecraft.crafted.deepslate_tiles: #3, 656(12%)
minecraft.dropped.andesite_slab: #3, 73(13%)
minecraft.picked_up.red_nether_bricks: #2, 5(12%)
minecraft.dropped.mangrove_leaves: #3, 742(12%)
minecraft.mined.sand: #3, 96721(7%)
minecraft.picked_up.cyan_harness: #2, 3(12%)
minecraft.mined.polished_blackstone_brick_wall: #2, 4(20%)
minecraft.crafted.gray_shulker_box: #3, 35(8%)
minecraft.dropped.smooth_basalt: #3, 64(11%)
minecraft.crafted.red_banner: #3, 60(9%)
minecraft.dropped.sandstone: #3, 777(8%)
minecraft.used.mud_brick_wall: #3, 1001(9%)
minecraft.dropped.yellow_concrete: #3, 1135(20%)
minecraft.crafted.dark_oak_sapling: #2, 5(38%)
minecraft.crafted.cracked_deepslate_bricks: #2, 371(25%)
minecraft.dropped.chiseled_quartz_block: #2, 10(19%)
minecraft.crafted.spruce_hanging_sign: #3, 48(10%)
minecraft.used.jungle_log: #4, 1444(11%)
minecraft.dropped.cracked_stone_bricks: #2, 323(6%)
minecraft.used.crimson_fungus: #3, 113(12%)
minecraft.mined.purple_wall_banner: #2, 2(18%)
minecraft.mined.grass_block: #3, 112650(7%)
minecraft.dropped.light_blue_bed: #2, 1(14%)
minecraft.crafted.polished_andesite_slab: #3, 156(11%)
minecraft.picked_up.pale_oak_wood: #3, 74(16%)
minecraft.used.warped_hanging_sign: #3, 30(17%)
minecraft.picked_up.cocoa_beans: #4, 4331(11%)
minecraft.used.kelp: #3, 1180(7%)
minecraft.dropped.oak_hanging_sign: #2, 4(14%)
minecraft.crafted.dripstone_block: #3, 320(17%)
minecraft.mined.dandelion: #3, 478(7%)
minecraft.used.crimson_roots: #3, 59(10%)
minecraft.picked_up.birch_sign: #3, 62(7%)
minecraft.mined.stripped_bamboo_block: #3, 191(9%)
minecraft.dropped.pumpkin: #3, 2916(8%)
minecraft.used.writable_book: #4, 692(9%)
minecraft.dropped.golden_horse_armor: #2, 3(10%)
minecraft.crafted.waxed_exposed_copper: #3, 182(18%)
minecraft.crafted.lectern: #3, 156(8%)
minecraft.picked_up.green_banner: #3, 22(16%)
minecraft.used.black_dye: #2, 1(20%)
minecraft.picked_up.rose_bush: #4, 975(9%)
minecraft.picked_up.jungle_slab: #4, 276(12%)
minecraft.dropped.end_stone_brick_wall: #2, 62(29%)
minecraft.used.deepslate: #4, 8318(10%)
minecraft.picked_up.black_banner: #2, 37(4%)
minecraft.used.brain_coral_block: #3, 143(12%)
minecraft.dropped.stripped_mangrove_log: #3, 9(20%)
minecraft.dropped.rooted_dirt: #3, 158(10%)
minecraft.dropped.brown_stained_glass_pane: #2, 25(19%)
minecraft.picked_up.stripped_bamboo_block: #3, 181(9%)
minecraft.picked_up.red_banner: #3, 35(10%)
minecraft.picked_up.dark_oak_button: #3, 62(13%)
minecraft.mined.brown_stained_glass_pane: #3, 20(17%)
minecraft.used.stone_stairs: #4, 783(10%)
minecraft.picked_up.cherry_wood: #2, 7(7%)
minecraft.mined.daylight_detector: #3, 21(11%)
minecraft.used.exposed_cut_copper_stairs: #2, 5(25%)
minecraft.crafted.lime_dye: #4, 1820(12%)
minecraft.used.azalea_leaves: #4, 9551(12%)
minecraft.crafted.purple_banner: #2, 10(6%)
minecraft.used.mud_bricks: #4, 2041(10%)
minecraft.dropped.waxed_weathered_cut_copper: #2, 6(16%)
minecraft.crafted.orange_dye: #4, 2412(10%)
minecraft.used.mangrove_hanging_sign: #3, 27(15%)
minecraft.crafted.deepslate: #2, 32(12%)
minecraft.picked_up.dried_ghast: #3, 87(15%)
minecraft.dropped.stripped_dark_oak_log: #3, 29(13%)
minecraft.picked_up.basalt: #4, 2957(10%)
minecraft.mined.light_gray_banner: #2, 20(14%)
minecraft.mined.lily_pad: #3, 217(7%)
minecraft.mined.brown_bed: #3, 5(12%)
minecraft.used.lilac: #3, 69(7%)
minecraft.used.armor_stand: #4, 563(9%)
minecraft.dropped.jungle_slab: #4, 95(16%)
minecraft.crafted.red_dye: #4, 6072(10%)
minecraft.dropped.waxed_oxidized_copper_trapdoor: #2, 2(10%)
minecraft.mined.spruce_wall_hanging_sign: #3, 11(10%)
minecraft.crafted.mud_bricks: #4, 2992(10%)
minecraft.picked_up.mossy_cobblestone: #3, 556(6%)
minecraft.used.chain: #4, 1544(9%)
minecraft.mined.cyan_glazed_terracotta: #3, 9(20%)
minecraft.mined.waxed_exposed_cut_copper: #2, 44(6%)
minecraft.crafted.dried_kelp_block: #2, 67(3%)
minecraft.crafted.fletching_table: #3, 17(14%)
minecraft.dropped.oxidized_copper: #3, 56(15%)
minecraft.used.pale_oak_sign: #3, 85(8%)
minecraft.dropped.spruce_planks: #3, 215(5%)
minecraft.picked_up.oxidized_copper_grate: #3, 128(6%)
minecraft.dropped.crimson_nylium: #3, 15(22%)
minecraft.dropped.granite_slab: #2, 16(11%)
minecraft.used.exposed_cut_copper_slab: #3, 23(17%)
minecraft.picked_up.pink_candle: #3, 25(15%)
minecraft.dropped.mushroom_stem: #3, 64(16%)
minecraft.picked_up.bamboo_mosaic: #3, 80(10%)
minecraft.crafted.quartz_bricks: #3, 64(12%)
minecraft.used.cactus_flower: #3, 13(12%)
minecraft.crafted.cobblestone_wall: #3, 156(7%)
minecraft.mined.black_wall_banner: #2, 17(3%)
minecraft.mined.jungle_slab: #4, 128(10%)
minecraft.picked_up.birch_slab: #3, 96(7%)
minecraft.mined.spruce_pressure_plate: #3, 9(8%)
minecraft.crafted.waxed_oxidized_cut_copper: #3, 163(10%)
minecraft.dropped.lily_of_the_valley: #3, 15(10%)
minecraft.picked_up.mossy_stone_bricks: #3, 385(5%)
minecraft.crafted.bubble_coral_block: #2, 1(12%)
minecraft.dropped.blue_concrete_powder: #2, 6(4%)
minecraft.picked_up.stripped_dark_oak_wood: #4, 263(11%)
minecraft.crafted.brown_stained_glass: #3, 974(11%)
minecraft.dropped.resin_brick: #2, 1(11%)
minecraft.mined.cut_red_sandstone: #2, 66(3%)
minecraft.crafted.magenta_glazed_terracotta: #3, 8(17%)
minecraft.mined.tall_seagrass: #4, 528(9%)
minecraft.picked_up.bordure_indented_banner_pattern: #2, 1(10%)
minecraft.mined.crimson_roots: #3, 272(5%)
minecraft.mined.potted_bamboo: #3, 2(11%)
minecraft.crafted.brown_mushroom: #2, 1(8%)
minecraft.crafted.blue_banner: #3, 22(10%)
minecraft.crafted.mossy_stone_brick_wall: #3, 18(12%)
minecraft.dropped.cyan_carpet: #3, 7(14%)
minecraft.mined.carved_pumpkin: #4, 551(8%)
minecraft.mined.weathered_chiseled_copper: #3, 3(16%)
minecraft.crafted.sandstone_slab: #3, 138(12%)
minecraft.picked_up.pumpkin_seeds: #4, 2442(8%)
minecraft.used.oxidized_copper_grate: #4, 283(10%)
minecraft.used.oak_chest_boat: #3, 2(18%)
minecraft.mined.light_gray_shulker_box: #4, 410(9%)
minecraft.used.stripped_dark_oak_wood: #4, 300(11%)
minecraft.used.tuff: #4, 6243(8%)
minecraft.dropped.lime_concrete_powder: #2, 17(3%)
minecraft.crafted.chain: #4, 1624(8%)
minecraft.dropped.chiseled_tuff_bricks: #4, 77(11%)
minecraft.used.short_grass: #4, 3087(9%)
minecraft.crafted.cactus: #3, 8(27%)
minecraft.picked_up.light_gray_shulker_box: #4, 412(9%)
minecraft.used.leather_chestplate: #4, 15(7%)
minecraft.dropped.magenta_banner: #2, 1(3%)
minecraft.crafted.warped_hanging_sign: #3, 24(11%)
minecraft.dropped.cake: #3, 4(17%)
minecraft.picked_up.lantern: #4, 356(8%)
minecraft.picked_up.jungle_boat: #4, 32(11%)
minecraft.crafted.spruce_slab: #4, 5256(8%)
minecraft.mined.blue_wool: #3, 61(8%)
minecraft.dropped.black_bed: #3, 2(17%)
minecraft.crafted.cherry_hanging_sign: #3, 12(17%)
minecraft.dropped.furnace_minecart: #3, 1(25%)
minecraft.mined.light_gray_candle: #3, 1(25%)
minecraft.used.waxed_exposed_copper_door: #3, 2(25%)
minecraft.dropped.hanging_roots: #3, 3(20%)
minecraft.picked_up.magenta_terracotta: #3, 67(7%)
minecraft.dropped.shears: #4, 158(8%)
minecraft.mined.stripped_dark_oak_wood: #4, 260(10%)
minecraft.dropped.polished_tuff: #4, 102(9%)
minecraft.picked_up.stone_brick_slab: #4, 917(9%)
minecraft.picked_up.mud_bricks: #4, 607(8%)
minecraft.crafted.green_shulker_box: #4, 30(11%)
minecraft.dropped.painting: #3, 15(12%)
minecraft.picked_up.music_disc_tears: #3, 3(19%)
minecraft.dropped.spruce_leaves: #3, 322(5%)
minecraft.used.cherry_hanging_sign: #3, 11(19%)
minecraft.crafted.polished_blackstone_wall: #3, 54(10%)
minecraft.crafted.light_gray_dye: #4, 2304(8%)
minecraft.crafted.prismarine_wall: #3, 132(13%)
minecraft.mined.green_banner: #3, 5(18%)
minecraft.mined.crafting_table: #4, 489(7%)
minecraft.picked_up.kelp: #4, 6751(7%)
minecraft.dropped.flowering_azalea_leaves: #3, 265(7%)
minecraft.dropped.dried_kelp: #3, 136(8%)
minecraft.picked_up.crafting_table: #4, 515(6%)
minecraft.mined.cut_copper_stairs: #3, 32(11%)
minecraft.crafted.birch_slab: #4, 1062(8%)
minecraft.mined.green_concrete: #4, 549(12%)
minecraft.crafted.dark_prismarine_slab: #3, 48(12%)
minecraft.mined.cyan_banner: #3, 2(14%)
minecraft.mined.black_stained_glass_pane: #4, 39(9%)
minecraft.used.brown_carpet: #4, 335(10%)
minecraft.picked_up.dark_oak_sapling: #3, 966(3%)
minecraft.mined.mangrove_planks: #4, 219(9%)
minecraft.picked_up.light_gray_candle: #3, 1(17%)
minecraft.picked_up.blue_concrete: #3, 130(5%)
minecraft.picked_up.exposed_cut_copper_stairs: #3, 34(14%)
minecraft.mined.exposed_cut_copper_stairs: #3, 34(14%)
minecraft.custom.interact_with_anvil: #4, 861(6%)
minecraft.mined.mangrove_leaves: #4, 13287(7%)
minecraft.picked_up.spruce_pressure_plate: #3, 11(5%)
minecraft.dropped.lime_banner: #3, 1(20%)
minecraft.used.light_gray_shulker_box: #4, 410(9%)
minecraft.dropped.oak_sapling: #4, 342(8%)
minecraft.picked_up.nether_wart_block: #4, 1924(8%)
minecraft.used.acacia_fence_gate: #4, 62(11%)
minecraft.dropped.bundle: #4, 11(8%)
minecraft.used.mangrove_log: #4, 1171(7%)
minecraft.dropped.jungle_button: #3, 6(11%)
minecraft.used.dark_oak_sapling: #3, 824(3%)
minecraft.used.mossy_stone_brick_slab: #4, 144(13%)
minecraft.used.mangrove_planks: #4, 1241(8%)
minecraft.dropped.dark_oak_button: #3, 7(9%)
minecraft.mined.pink_wall_banner: #3, 2(14%)
minecraft.custom.interact_with_cartography_table: #4, 49(9%)
minecraft.picked_up.deepslate_coal_ore: #3, 27(5%)
minecraft.crafted.brown_banner: #3, 37(5%)
minecraft.dropped.dirt: #4, 8402(6%)
minecraft.crafted.cracked_stone_bricks: #3, 248(5%)
minecraft.broken.diamond_hoe: #3, 1(17%)
minecraft.picked_up.field_masoned_banner_pattern: #3, 1(17%)
minecraft.mined.red_sandstone_slab: #3, 40(7%)
minecraft.dropped.cherry_leaves: #4, 143(12%)
minecraft.mined.cyan_wool: #4, 182(9%)
minecraft.picked_up.light_blue_shulker_box: #4, 405(7%)
minecraft.picked_up.red_concrete: #4, 848(8%)
minecraft.mined.oxidized_cut_copper: #3, 134(4%)
minecraft.mined.moss_carpet: #4, 556(7%)
minecraft.crafted.polished_blackstone_slab: #3, 144(5%)
minecraft.picked_up.short_grass: #4, 4156(6%)
minecraft.picked_up.granite_stairs: #4, 15(11%)
minecraft.picked_up.oxidized_cut_copper: #3, 133(4%)
minecraft.crafted.mossy_cobblestone: #4, 1198(8%)
minecraft.picked_up.azalea_leaves: #4, 9764(8%)
minecraft.crafted.pufferfish_bucket: #3, 2(20%)
minecraft.dropped.polished_blackstone_bricks: #3, 32(5%)
minecraft.used.exposed_copper_trapdoor: #4, 61(10%)
minecraft.dropped.melon: #3, 322(4%)
minecraft.picked_up.birch_fence_gate: #4, 66(14%)
minecraft.used.light_blue_shulker_box: #4, 404(7%)
minecraft.dropped.birch_log: #4, 172(8%)
minecraft.mined.dirt: #4, 91467(6%)
minecraft.dropped.music_disc_creator_music_box: #3, 1(14%)
minecraft.dropped.turtle_scute: #3, 6(14%)
minecraft.picked_up.flowering_azalea_leaves: #4, 3175(8%)
minecraft.mined.pink_stained_glass_pane: #3, 10(8%)
minecraft.crafted.tropical_fish_bucket: #3, 3(19%)
minecraft.dropped.glow_item_frame: #3, 5(4%)
minecraft.used.weathered_cut_copper_stairs: #3, 2(11%)
minecraft.mined.warped_wall_hanging_sign: #3, 3(8%)
minecraft.used.cocoa_beans: #4, 1590(6%)
minecraft.dropped.dandelion: #4, 295(6%)
minecraft.picked_up.mutton: #3, 314(2%)
minecraft.crafted.chiseled_deepslate: #3, 6(4%)
minecraft.mined.light_blue_shulker_box: #4, 401(7%)
minecraft.used.polished_tuff_wall: #4, 810(7%)
minecraft.picked_up.sand: #4, 104565(6%)
minecraft.crafted.cut_copper_slab: #4, 120(14%)
minecraft.crafted.purple_shulker_box: #4, 8(8%)
minecraft.crafted.light_blue_shulker_box: #3, 12(3%)
minecraft.dropped.hopper: #4, 76(8%)
minecraft.killed.armadillo: #3, 2(5%)
minecraft.dropped.light_blue_stained_glass_pane: #3, 6(10%)
minecraft.mined.potted_pale_oak_sapling: #3, 1(17%)
minecraft.picked_up.yellow_concrete: #4, 1491(7%)
minecraft.dropped.cyan_terracotta: #4, 115(12%)
minecraft.mined.mud_brick_stairs: #4, 33(10%)
minecraft.dropped.black_wool: #3, 67(3%)
minecraft.picked_up.armor_stand: #4, 297(5%)
minecraft.dropped.stone_slab: #5, 573(11%)
minecraft.crafted.terracotta: #3, 88(5%)
minecraft.used.cut_copper_stairs: #3, 58(7%)
minecraft.dropped.oxidized_copper_trapdoor: #3, 3(5%)
minecraft.picked_up.polished_blackstone_brick_wall: #3, 32(9%)
minecraft.used.stone_bricks: #4, 6722(6%)
minecraft.dropped.diorite_slab: #3, 22(6%)
minecraft.used.stone_pickaxe: #4, 608(6%)
minecraft.picked_up.mangrove_hanging_sign: #4, 9(13%)
minecraft.picked_up.moss_block: #4, 20655(5%)
minecraft.crafted.light_gray_bed: #3, 8(4%)
minecraft.dropped.lingering_potion: #3, 2(14%)
minecraft.dropped.warped_stem: #4, 84(14%)
minecraft.mined.pink_banner: #3, 2(6%)
minecraft.crafted.dark_oak_button: #3, 68(2%)
minecraft.picked_up.brown_carpet: #4, 131(7%)
minecraft.crafted.oxidized_cut_copper_slab: #4, 150(10%)
minecraft.used.brown_banner: #4, 45(10%)
minecraft.used.redstone_ore: #3, 31(2%)
minecraft.crafted.polished_andesite: #4, 1160(6%)
minecraft.crafted.trapped_chest: #3, 4(5%)
minecraft.picked_up.red_wool: #4, 383(6%)
minecraft.crafted.mangrove_hanging_sign: #4, 24(11%)
minecraft.dropped.yellow_dye: #4, 47(6%)
minecraft.picked_up.gravel: #4, 28083(5%)
minecraft.used.lily_of_the_valley: #3, 7(3%)
minecraft.mined.light_blue_candle: #3, 2(7%)
minecraft.dropped.magenta_stained_glass_pane: #3, 3(6%)
minecraft.dropped.goat_horn: #4, 9(7%)
minecraft.mined.light_blue_stained_glass_pane: #3, 12(3%)
minecraft.picked_up.small_dripleaf: #4, 35(12%)
minecraft.picked_up.melon_slice: #5, 5444(8%)
minecraft.picked_up.light_blue_stained_glass_pane: #3, 16(3%)
minecraft.dropped.smooth_sandstone_slab: #3, 5(8%)
minecraft.used.enchanting_table: #4, 5(7%)
minecraft.mined.jungle_wall_sign: #4, 19(10%)
minecraft.mined.brown_banner: #3, 2(11%)
minecraft.used.birch_hanging_sign: #4, 12(11%)
minecraft.mined.black_shulker_box: #4, 289(6%)
minecraft.picked_up.waxed_exposed_cut_copper: #3, 39(5%)
minecraft.picked_up.black_shulker_box: #4, 290(6%)
minecraft.dropped.flower_pot: #4, 24(8%)
minecraft.dropped.orange_carpet: #3, 7(6%)
minecraft.dropped.smooth_sandstone_stairs: #3, 4(10%)
minecraft.dropped.mangrove_roots: #4, 209(7%)
minecraft.picked_up.arms_up_pottery_sherd: #3, 1(10%)
minecraft.dropped.birch_fence_gate: #3, 6(7%)
minecraft.mined.dark_oak_button: #3, 5(2%)
minecraft.dropped.cooked_cod: #4, 156(6%)
minecraft.used.black_shulker_box: #4, 285(6%)
minecraft.crafted.diorite_slab: #4, 198(10%)
minecraft.crafted.deepslate_brick_stairs: #3, 76(2%)
minecraft.picked_up.brewer_pottery_sherd: #3, 1(9%)
minecraft.crafted.brown_carpet: #4, 444(7%)
minecraft.mined.dark_oak_leaves: #5, 3705(9%)
minecraft.picked_up.light_blue_dye: #4, 59(6%)
minecraft.custom.interact_with_loom: #5, 215(7%)
minecraft.used.pale_oak_boat: #3, 2(6%)
minecraft.picked_up.mud: #4, 9624(5%)
minecraft.crafted.acacia_fence_gate: #4, 64(7%)
minecraft.dropped.light_gray_terracotta: #4, 44(10%)
minecraft.used.emerald_ore: #3, 8(2%)
minecraft.crafted.mangrove_button: #4, 14(7%)
minecraft.picked_up.cut_red_sandstone: #3, 67(2%)
minecraft.used.glistering_melon_slice: #4, 3(15%)
minecraft.crafted.stripped_warped_hyphae: #3, 9(7%)
minecraft.mined.yellow_banner: #4, 4(15%)
minecraft.picked_up.nether_brick: #4, 291(10%)
minecraft.mined.warped_nylium: #4, 364(5%)
minecraft.dropped.bamboo_stairs: #3, 4(3%)
minecraft.dropped.moss_block: #4, 1560(4%)
minecraft.used.cyan_carpet: #4, 96(7%)
minecraft.used.yellow_dye: #5, 90(10%)
minecraft.dropped.stripped_birch_log: #3, 3(2%)
minecraft.used.golden_chestplate: #3, 1(5%)
minecraft.picked_up.daylight_detector: #4, 28(8%)
minecraft.dropped.mangrove_propagule: #4, 32(8%)
minecraft.dropped.prismarine_wall: #3, 4(4%)
minecraft.picked_up.bone_meal: #5, 10741(7%)
minecraft.dropped.sandstone_stairs: #3, 2(3%)
minecraft.mined.orange_wool: #4, 126(6%)
minecraft.dropped.white_terracotta: #4, 65(8%)
minecraft.mined.enchanting_table: #4, 4(8%)
minecraft.picked_up.cactus_flower: #4, 22(9%)
minecraft.used.waxed_weathered_cut_copper: #4, 268(8%)
minecraft.crafted.birch_hanging_sign: #4, 18(9%)
minecraft.used.leather_helmet: #4, 2(9%)
minecraft.mined.brown_wall_banner: #4, 17(10%)
minecraft.dropped.dark_prismarine_slab: #3, 1(3%)
minecraft.picked_up.warped_nylium: #4, 360(5%)
minecraft.mined.dead_tube_coral: #3, 1(3%)
minecraft.crafted.tuff_slab: #4, 192(5%)
minecraft.used.small_amethyst_bud: #3, 22(1%)
minecraft.dropped.glow_ink_sac: #4, 67(6%)
minecraft.mined.azalea_leaves: #5, 12136(9%)
minecraft.picked_up.dead_tube_coral: #3, 1(2%)
minecraft.picked_up.magenta_banner: #3, 1(1%)
minecraft.mined.pale_oak_wood: #4, 23(12%)
minecraft.mined.pale_oak_wall_sign: #4, 8(9%)
minecraft.mined.prismarine_wall: #3, 8(1%)
minecraft.dropped.smooth_red_sandstone_stairs: #3, 2(2%)
minecraft.picked_up.cracked_stone_bricks: #4, 454(5%)
minecraft.dropped.light_blue_candle: #3, 1(2%)
minecraft.mined.stripped_dark_oak_log: #5, 846(8%)
minecraft.mined.stone_stairs: #5, 146(8%)
minecraft.used.map: #4, 59(6%)
minecraft.dropped.acacia_trapdoor: #4, 28(7%)
minecraft.crafted.jungle_hanging_sign: #4, 18(11%)
minecraft.picked_up.mud_brick_stairs: #4, 32(7%)
minecraft.crafted.jungle_sign: #5, 99(11%)
minecraft.dropped.birch_slab: #4, 35(12%)
minecraft.crafted.cyan_banner: #4, 23(8%)
minecraft.used.warped_nylium: #4, 177(5%)
minecraft.mined.flowering_azalea_leaves: #5, 3900(9%)
minecraft.picked_up.stripped_dark_oak_log: #5, 879(8%)
minecraft.mined.granite_wall: #4, 10(7%)
minecraft.dropped.granite_wall: #4, 25(16%)
minecraft.mined.jungle_button: #4, 10(12%)
minecraft.picked_up.dark_oak_sign: #4, 29(5%)
minecraft.crafted.gold_ingot: #5, 14848(8%)
minecraft.used.glow_ink_sac: #5, 373(7%)
minecraft.crafted.red_shulker_box: #4, 30(4%)
minecraft.used.spruce_pressure_plate: #4, 18(5%)
minecraft.used.waxed_weathered_cut_copper_slab: #4, 117(8%)
minecraft.crafted.detector_rail: #4, 102(5%)
