stat, rank, value, (percentage) 
minecraft.picked_up.mud_brick_slab: #1, 418(32%)
minecraft.picked_up.exposed_copper_grate: #1, 68(39%)
minecraft.crafted.mud_brick_stairs: #1, 272(42%)
minecraft.used.lime_concrete_powder: #1, 3755(32%)
minecraft.mined.exposed_copper_grate: #1, 68(38%)
minecraft.used.jack_o_lantern: #1, 601(49%)
minecraft.mined.mud_brick_slab: #1, 249(30%)
minecraft.dropped.bamboo_mosaic: #1, 72(89%)
minecraft.crafted.dark_oak_fence: #1, 1668(22%)
minecraft.crafted.chiseled_polished_blackstone: #1, 60(48%)
minecraft.dropped.jungle_fence: #1, 140(44%)
minecraft.mined.dark_oak_planks: #1, 870(23%)
minecraft.used.honeycomb: #1, 4194(22%)
minecraft.dropped.crimson_fungus: #1, 118(58%)
minecraft.dropped.loom: #1, 31(74%)
minecraft.dropped.light_gray_concrete: #1, 187(52%)
minecraft.dropped.stripped_spruce_wood: #1, 49(47%)
minecraft.crafted.tuff_brick_wall: #1, 180(30%)
minecraft.crafted.white_concrete_powder: #1, 26272(22%)
minecraft.crafted.pale_oak_wood: #1, 1488(36%)
minecraft.crafted.mud_brick_wall: #1, 798(28%)
minecraft.crafted.black_concrete_powder: #1, 14976(23%)
minecraft.crafted.dark_oak_hanging_sign: #1, 124(50%)
minecraft.dropped.dark_oak_slab: #1, 353(41%)
minecraft.picked_up.candle: #1, 378(27%)
minecraft.crafted.nether_bricks: #1, 3507(26%)
minecraft.used.light_blue_concrete_powder: #1, 6473(27%)
minecraft.picked_up.chiseled_polished_blackstone: #1, 60(37%)
minecraft.picked_up.mossy_stone_brick_slab: #1, 96(32%)
minecraft.picked_up.dark_oak_slab: #1, 951(19%)
minecraft.used.jungle_leaves: #1, 2238(25%)
minecraft.dropped.cracked_deepslate_tiles: #1, 146(69%)
minecraft.crafted.orange_concrete_powder: #2, 8192(36%)
minecraft.mined.weathered_cut_copper_slab: #1, 69(43%)
minecraft.picked_up.weathered_cut_copper_slab: #1, 69(43%)
minecraft.used.magenta_concrete_powder: #1, 3397(36%)
minecraft.picked_up.magenta_concrete_powder: #1, 3024(42%)
minecraft.crafted.waxed_exposed_copper_grate: #1, 260(58%)
minecraft.dropped.rose_bush: #2, 273(33%)
minecraft.crafted.stone_brick_stairs: #1, 644(22%)
minecraft.mined.dried_ghast: #1, 89(46%)
minecraft.dropped.cyan_concrete_powder: #1, 78(65%)
minecraft.used.cracked_deepslate_bricks: #1, 480(50%)
minecraft.dropped.jungle_planks: #1, 150(23%)
minecraft.mined.poppy: #2, 1525(22%)
minecraft.crafted.dark_oak_planks: #1, 28216(18%)
minecraft.used.melon: #1, 184(17%)
minecraft.used.mossy_cobblestone: #1, 1852(19%)
minecraft.used.cherry_wood: #1, 243(33%)
minecraft.dropped.magenta_terracotta: #1, 64(72%)
minecraft.used.blue_banner: #1, 29(39%)
minecraft.crafted.dark_oak_slab: #1, 4388(17%)
minecraft.mined.red_wool: #1, 419(19%)
minecraft.mined.cut_copper_slab: #1, 168(39%)
minecraft.dropped.purple_concrete_powder: #1, 65(84%)
minecraft.used.waxed_exposed_copper_grate: #1, 808(38%)
minecraft.mined.jungle_wall_hanging_sign: #1, 16(70%)
minecraft.used.dark_oak_fence: #2, 1718(21%)
minecraft.used.warped_door: #1, 29(46%)
minecraft.mined.dark_oak_slab: #1, 528(17%)
minecraft.picked_up.dark_oak_planks: #2, 1310(21%)
minecraft.dropped.chiseled_polished_blackstone: #1, 60(82%)
minecraft.used.nether_brick_fence: #1, 213(29%)
minecraft.used.green_banner: #1, 43(25%)
minecraft.crafted.pink_dye: #2, 3127(21%)
minecraft.dropped.mud_brick_slab: #1, 169(57%)
minecraft.dropped.packed_mud: #2, 849(29%)
minecraft.crafted.cherry_wood: #1, 288(28%)
minecraft.crafted.gray_concrete_powder: #2, 18048(22%)
minecraft.crafted.orange_glazed_terracotta: #1, 94(65%)
minecraft.dropped.warped_fungus: #1, 103(39%)
minecraft.custom.open_chest: #1, 86667(10%)
minecraft.dropped.magenta_concrete_powder: #1, 13(65%)
minecraft.used.dark_oak_slab: #2, 3742(20%)
minecraft.used.gray_dye: #1, 14(39%)
minecraft.used.dark_oak_log: #1, 4136(16%)
minecraft.dropped.peony: #1, 73(20%)
minecraft.mined.jungle_sign: #1, 9(32%)
minecraft.crafted.stone_slab: #1, 5232(15%)
minecraft.crafted.jack_o_lantern: #1, 543(35%)
minecraft.used.exposed_cut_copper: #1, 82(95%)
minecraft.mined.cracked_deepslate_bricks: #1, 88(42%)
minecraft.dropped.black_concrete: #1, 134(25%)
minecraft.mined.seagrass: #1, 1239(15%)
minecraft.dropped.cracked_deepslate_bricks: #1, 73(75%)
minecraft.picked_up.dark_oak_hanging_sign: #1, 58(42%)
minecraft.mined.red_sandstone: #1, 182(25%)
minecraft.crafted.player_head: #1, 2640(19%)
minecraft.dropped.dark_oak_fence_gate: #1, 119(74%)
minecraft.mined.acacia_fence: #1, 79(21%)
minecraft.crafted.oxidized_copper_trapdoor: #1, 242(23%)
minecraft.crafted.brick_wall: #1, 132(28%)
minecraft.dropped.brick_wall: #1, 13(72%)
minecraft.picked_up.cyan_glazed_terracotta: #1, 55(45%)
minecraft.used.dark_oak_boat: #1, 33(33%)
minecraft.dropped.spruce_slab: #1, 296(18%)
minecraft.mined.exposed_cut_copper_slab: #1, 35(32%)
minecraft.picked_up.jack_o_lantern: #1, 173(32%)
minecraft.dropped.jungle_stairs: #1, 32(35%)
minecraft.crafted.polished_andesite_stairs: #1, 84(27%)
minecraft.dropped.light_blue_concrete_powder: #1, 21(44%)
minecraft.picked_up.dark_oak_fence_gate: #2, 149(30%)
minecraft.mined.dark_oak_hanging_sign: #1, 40(87%)
minecraft.mined.polished_blackstone_brick_slab: #1, 149(50%)
minecraft.picked_up.blue_banner: #1, 15(58%)
minecraft.used.dirt: #1, 115508(13%)
minecraft.crafted.coarse_dirt: #2, 16900(19%)
minecraft.picked_up.exposed_cut_copper_slab: #1, 35(29%)
minecraft.dropped.jack_o_lantern: #1, 78(57%)
minecraft.crafted.dried_kelp: #1, 605(28%)
minecraft.used.resin_clump: #2, 3601(28%)
minecraft.dropped.sand: #2, 10137(18%)
minecraft.mined.glow_lichen: #2, 4221(16%)
minecraft.picked_up.jungle_trapdoor: #2, 264(21%)
minecraft.used.orange_concrete_powder: #2, 4928(26%)
minecraft.dropped.stripped_dark_oak_wood: #1, 20(67%)
minecraft.dropped.mud_brick_wall: #1, 52(41%)
minecraft.crafted.waxed_exposed_cut_copper: #1, 197(41%)
minecraft.dropped.coarse_dirt: #2, 606(25%)
minecraft.used.cut_copper_slab: #1, 275(32%)
minecraft.used.seagrass: #2, 316(28%)
minecraft.dropped.polished_basalt: #1, 65(29%)
minecraft.crafted.waxed_weathered_cut_copper: #1, 211(29%)
minecraft.killed.wandering_trader: #1, 26(14%)
minecraft.crafted.diorite_stairs: #1, 88(31%)
minecraft.used.brown_stained_glass_pane: #1, 425(31%)
minecraft.used.dark_oak_fence_gate: #2, 274(23%)
minecraft.used.diamond_helmet: #2, 36(19%)
minecraft.picked_up.crimson_fungus: #2, 801(19%)
minecraft.crafted.pink_terracotta: #2, 5200(34%)
minecraft.crafted.cut_copper: #1, 208(24%)
minecraft.used.waxed_oxidized_copper_trapdoor: #1, 253(25%)
minecraft.mined.warped_door: #1, 16(76%)
minecraft.picked_up.warped_door: #1, 17(61%)
minecraft.dropped.carved_pumpkin: #2, 177(14%)
minecraft.mined.mud_brick_wall: #1, 148(17%)
minecraft.dropped.magenta_concrete: #1, 2127(99%)
minecraft.killed.trader_llama: #1, 49(13%)
minecraft.mined.spruce_slab: #1, 1223(11%)
minecraft.used.purple_banner: #1, 12(32%)
minecraft.picked_up.lime_concrete: #1, 734(17%)
minecraft.dropped.stone_bricks: #2, 827(17%)
minecraft.picked_up.leather_horse_armor: #1, 15(71%)
minecraft.dropped.purple_concrete: #1, 985(71%)
minecraft.dropped.warped_roots: #2, 600(24%)
minecraft.dropped.red_concrete_powder: #1, 46(57%)
minecraft.mined.gray_banner: #1, 21(57%)
minecraft.mined.waxed_exposed_copper_grate: #1, 120(40%)
minecraft.dropped.lantern: #2, 99(21%)
minecraft.dropped.jungle_fence_gate: #1, 38(69%)
minecraft.dropped.pale_oak_wood: #1, 53(55%)
minecraft.picked_up.brown_shulker_box: #2, 675(17%)
minecraft.picked_up.dark_oak_leaves: #2, 1762(17%)
minecraft.mined.green_shulker_box: #2, 609(15%)
minecraft.crafted.leather_horse_armor: #1, 24(55%)
minecraft.picked_up.green_shulker_box: #2, 613(15%)
minecraft.picked_up.jungle_hanging_sign: #1, 17(34%)
minecraft.crafted.enchanting_table: #1, 5(14%)
minecraft.mined.potted_mangrove_propagule: #1, 7(54%)
minecraft.mined.mossy_cobblestone_slab: #1, 28(17%)
minecraft.mined.green_wall_banner: #1, 12(33%)
minecraft.dropped.green_stained_glass: #1, 34(67%)
minecraft.mined.light_gray_wall_banner: #1, 17(53%)
minecraft.mined.jungle_leaves: #2, 5404(15%)
minecraft.used.mossy_stone_bricks: #2, 1140(18%)
minecraft.dropped.white_stained_glass: #2, 123(26%)
minecraft.used.green_shulker_box: #2, 609(15%)
minecraft.used.polished_blackstone_brick_wall: #1, 46(52%)
minecraft.used.rose_bush: #2, 191(17%)
minecraft.crafted.lime_shulker_box: #2, 23(17%)
minecraft.dropped.short_grass: #2, 561(19%)
minecraft.dropped.white_dye: #2, 318(16%)
minecraft.used.black_concrete_powder: #2, 9709(15%)
minecraft.crafted.saddle: #1, 75(64%)
minecraft.mined.blue_wall_banner: #1, 12(63%)
minecraft.picked_up.red_dye: #2, 232(14%)
minecraft.used.jungle_trapdoor: #2, 927(17%)
minecraft.mined.jack_o_lantern: #2, 72(27%)
minecraft.crafted.orange_stained_glass: #2, 5096(21%)
minecraft.picked_up.dark_oak_stairs: #2, 293(16%)
minecraft.dropped.warped_hanging_sign: #1, 11(61%)
minecraft.mined.brown_shulker_box: #2, 670(17%)
minecraft.mined.magenta_wool: #2, 242(38%)
minecraft.used.cracked_stone_bricks: #2, 1003(19%)
minecraft.used.gray_banner: #2, 63(25%)
minecraft.mined.kelp: #2, 619(14%)
minecraft.dropped.yellow_concrete_powder: #1, 64(48%)
minecraft.mined.pink_candle: #1, 19(30%)
minecraft.picked_up.waxed_exposed_copper_grate: #1, 118(34%)
minecraft.dropped.melon_slice: #3, 4538(17%)
minecraft.picked_up.dark_oak_boat: #2, 33(28%)
minecraft.picked_up.gray_banner: #2, 28(34%)
minecraft.picked_up.warped_roots: #2, 4990(15%)
minecraft.crafted.chiseled_sandstone: #1, 30(39%)
minecraft.used.oxidized_chiseled_copper: #2, 577(22%)
minecraft.crafted.stone_brick_wall: #2, 486(18%)
minecraft.crafted.jungle_button: #2, 133(24%)
minecraft.dropped.cyan_glazed_terracotta: #1, 46(78%)
minecraft.mined.sunflower: #2, 729(14%)
minecraft.picked_up.purple_banner: #1, 7(39%)
minecraft.crafted.sponge: #1, 315(39%)
minecraft.killed.creaking: #2, 67(28%)
minecraft.used.brown_shulker_box: #2, 675(16%)
minecraft.crafted.yellow_shulker_box: #2, 40(15%)
minecraft.mined.wall_torch: #2, 1482(13%)
minecraft.dropped.dark_oak_hanging_sign: #1, 8(57%)
minecraft.dropped.oxidized_copper_grate: #1, 113(57%)
minecraft.used.gray_concrete_powder: #2, 10612(14%)
minecraft.mined.oak_wall_sign: #2, 63(13%)
minecraft.dropped.spore_blossom: #1, 8(22%)
minecraft.used.mangrove_leaves: #2, 3745(17%)
minecraft.dropped.mossy_cobblestone: #2, 445(15%)
minecraft.picked_up.light_blue_terracotta: #2, 402(16%)
minecraft.mined.cocoa: #2, 286(14%)
minecraft.mined.red_banner: #1, 7(54%)
minecraft.picked_up.loom: #2, 46(15%)
minecraft.mined.dark_oak_stairs: #2, 209(14%)
minecraft.crafted.brown_stained_glass_pane: #1, 432(24%)
minecraft.picked_up.oak_sign: #2, 220(11%)
minecraft.crafted.waxed_exposed_chiseled_copper: #2, 96(26%)
minecraft.mined.rose_bush: #2, 180(14%)
minecraft.used.golden_helmet: #2, 16(31%)
minecraft.crafted.gray_banner: #2, 85(24%)
minecraft.picked_up.yellow_concrete_powder: #2, 2449(19%)
minecraft.picked_up.weathered_copper_grate: #2, 25(22%)
minecraft.dropped.light_gray_stained_glass: #2, 64(20%)
minecraft.dropped.dead_tube_coral_block: #1, 9(50%)
minecraft.dropped.birch_leaves: #2, 683(16%)
minecraft.picked_up.dead_bush: #2, 886(15%)
minecraft.mined.weathered_copper_grate: #2, 25(21%)
minecraft.crafted.magenta_shulker_box: #2, 10(19%)
minecraft.picked_up.jungle_leaves: #2, 2591(13%)
minecraft.used.red_banner: #2, 60(15%)
minecraft.crafted.mossy_cobblestone_slab: #2, 168(15%)
minecraft.dropped.polished_blackstone_brick_wall: #1, 29(97%)
minecraft.picked_up.pitcher_plant: #2, 243(11%)
minecraft.picked_up.jungle_fence: #2, 193(16%)
minecraft.used.brown_stained_glass: #2, 1339(29%)
minecraft.used.spruce_slab: #2, 5937(12%)
minecraft.crafted.jungle_trapdoor: #2, 792(15%)
minecraft.dropped.leather_horse_armor: #1, 15(94%)
minecraft.picked_up.brown_stained_glass_pane: #2, 47(29%)
minecraft.dropped.small_dripleaf: #1, 26(93%)
minecraft.mined.dark_oak_fence: #2, 381(11%)
minecraft.crafted.small_dripleaf: #1, 36(30%)
minecraft.picked_up.cut_copper_slab: #2, 160(23%)
minecraft.used.orange_dye: #2, 51(17%)
minecraft.dropped.jungle_sign: #2, 33(35%)
minecraft.crafted.jungle_fence: #2, 594(13%)
minecraft.used.red_sandstone: #2, 370(28%)
minecraft.crafted.jungle_planks: #2, 10528(12%)
minecraft.used.water_bucket: #2, 6378(10%)
minecraft.dropped.decorated_pot: #2, 71(17%)
minecraft.dropped.prismarine: #2, 408(28%)
minecraft.crafted.field_masoned_banner_pattern: #1, 2(25%)
minecraft.used.glow_lichen: #3, 5374(15%)
minecraft.dropped.spruce_fence: #2, 127(16%)
