stat, rank, value, (percentage) 
minecraft.picked_up.cherry_button: #2, 2(22%)
minecraft.dropped.piglin_banner_pattern: #2, 1(33%)
minecraft.mined.mangrove_fence_gate: #3, 8(24%)
minecraft.crafted.mangrove_fence: #3, 393(8%)
minecraft.used.chiseled_copper: #3, 89(14%)
minecraft.used.gray_stained_glass_pane: #3, 515(12%)
minecraft.used.soul_campfire: #3, 63(15%)
minecraft.crafted.red_stained_glass_pane: #3, 448(13%)
minecraft.used.red_stained_glass_pane: #3, 402(14%)
minecraft.crafted.mangrove_wood: #3, 636(9%)
minecraft.picked_up.quartz_pillar: #3, 46(9%)
minecraft.used.bamboo_hanging_sign: #3, 16(11%)
minecraft.used.melon: #4, 109(10%)
minecraft.mined.light_gray_concrete: #4, 1281(11%)
minecraft.dropped.warped_wart_block: #3, 262(11%)
minecraft.dropped.cyan_glazed_terracotta: #2, 11(19%)
minecraft.dropped.purple_stained_glass_pane: #2, 5(28%)
minecraft.used.light_gray_carpet: #3, 823(7%)
minecraft.picked_up.resin_brick_wall: #2, 10(11%)
minecraft.crafted.golden_carrot: #3, 9707(7%)
minecraft.mined.deepslate_tile_slab: #4, 445(11%)
minecraft.killed_by.ghast: #2, 1(25%)
minecraft.custom.sneak_time: #5, 7699867(6%)
minecraft.dropped.rotten_flesh: #4, 10620(8%)
minecraft.mined.yellow_banner: #3, 5(19%)
minecraft.crafted.cherry_button: #3, 4(21%)
minecraft.mined.cracked_polished_blackstone_bricks: #2, 164(3%)
minecraft.used.cobblestone_slab: #4, 2721(11%)
minecraft.mined.crimson_wall_sign: #3, 6(15%)
minecraft.picked_up.rotten_flesh: #4, 13386(8%)
minecraft.mined.quartz_pillar: #3, 47(10%)
minecraft.dropped.dried_kelp_block: #2, 141(5%)
minecraft.picked_up.waxed_exposed_cut_copper: #2, 53(7%)
minecraft.used.blackstone_slab: #3, 507(7%)
minecraft.picked_up.jungle_pressure_plate: #3, 8(16%)
minecraft.mined.deepslate_tiles: #3, 731(6%)
minecraft.dropped.silence_armor_trim_smithing_template: #2, 1(20%)
minecraft.picked_up.polished_deepslate_stairs: #4, 270(11%)
minecraft.mined.big_dripleaf: #3, 43(8%)
minecraft.crafted.furnace: #4, 697(9%)
minecraft.used.music_disc_blocks: #2, 2(18%)
minecraft.used.mangrove_wood: #3, 466(8%)
minecraft.dropped.glass_pane: #4, 173(14%)
minecraft.picked_up.music_disc_far: #3, 4(27%)
minecraft.mined.respawn_anchor: #3, 6(17%)
minecraft.dropped.quartz: #3, 215(7%)
minecraft.dropped.flint: #4, 819(10%)
minecraft.picked_up.dripstone_block: #4, 3925(9%)
minecraft.mined.crimson_pressure_plate: #2, 2(15%)
minecraft.crafted.light_gray_carpet: #3, 851(7%)
minecraft.crafted.mushroom_stew: #2, 2(10%)
minecraft.dropped.elytra: #4, 22(7%)
minecraft.crafted.warped_button: #3, 20(8%)
minecraft.dropped.lime_wool: #3, 72(12%)
minecraft.picked_up.fishing_rod: #4, 107(8%)
minecraft.custom.minecart_one_cm: #3, 6727413(5%)
minecraft.crafted.podzol: #3, 18(32%)
minecraft.used.soul_sand: #4, 1023(9%)
minecraft.dropped.stone_shovel: #4, 18(13%)
minecraft.dropped.resin_block: #3, 151(16%)
minecraft.crafted.cracked_deepslate_tiles: #2, 8(8%)
minecraft.picked_up.waxed_copper_block: #4, 1289(12%)
minecraft.crafted.polished_deepslate_slab: #4, 384(12%)
minecraft.used.acacia_leaves: #3, 132(8%)
minecraft.dropped.pale_oak_stairs: #2, 7(7%)
minecraft.used.blackstone: #4, 2601(9%)
minecraft.mined.waxed_copper_block: #4, 1314(12%)
minecraft.used.verdant_froglight: #3, 2829(6%)
minecraft.picked_up.wooden_shovel: #3, 12(9%)
minecraft.used.chainmail_leggings: #2, 1(10%)
minecraft.killed_by.skeleton: #4, 27(10%)
minecraft.picked_up.magenta_stained_glass_pane: #3, 17(9%)
minecraft.mined.polished_diorite: #4, 67(9%)
minecraft.picked_up.deepslate_tiles: #3, 768(5%)
minecraft.crafted.purple_candle: #2, 16(3%)
minecraft.dropped.bookshelf: #3, 15(13%)
minecraft.crafted.acacia_trapdoor: #4, 820(10%)
minecraft.crafted.netherite_chestplate: #3, 4(10%)
minecraft.used.golden_sword: #3, 2(29%)
minecraft.picked_up.wind_charge: #4, 1442(8%)
minecraft.picked_up.warped_button: #3, 13(13%)
minecraft.dropped.end_rod: #3, 64(10%)
minecraft.dropped.mangrove_door: #3, 3(19%)
minecraft.used.black_wool: #3, 1911(5%)
minecraft.mined.pumpkin_stem: #4, 49(10%)
minecraft.used.beacon: #4, 62(8%)
minecraft.mined.end_stone_bricks: #4, 181(10%)
minecraft.dropped.lime_glazed_terracotta: #2, 3(5%)
minecraft.crafted.white_concrete_powder: #4, 10952(9%)
minecraft.crafted.purpur_block: #2, 252(2%)
minecraft.mined.blackstone_slab: #4, 80(12%)
minecraft.picked_up.quartz_bricks: #3, 69(11%)
minecraft.crafted.waxed_exposed_copper_bulb: #2, 8(1%)
minecraft.custom.total_world_time: #5, 124401234(6%)
minecraft.custom.play_time: #5, 124401234(6%)
minecraft.used.netherite_chestplate: #3, 47(9%)
minecraft.crafted.white_stained_glass_pane: #4, 1863(10%)
minecraft.dropped.prismarine_brick_slab: #2, 3(2%)
minecraft.crafted.end_rod: #4, 1152(14%)
minecraft.mined.gold_block: #4, 627(9%)
minecraft.used.white_concrete_powder: #4, 8661(9%)
minecraft.picked_up.netherite_upgrade_smithing_template: #3, 5(7%)
minecraft.dropped.pink_stained_glass_pane: #2, 1(2%)
minecraft.used.minecart: #4, 258(8%)
minecraft.picked_up.smooth_stone_slab: #4, 1278(8%)
minecraft.dropped.mangrove_log: #3, 140(7%)
minecraft.mined.jukebox: #4, 36(8%)
minecraft.mined.polished_tuff: #4, 891(8%)
minecraft.killed_by.hoglin: #3, 1(33%)
minecraft.used.music_disc_11: #3, 1(33%)
minecraft.crafted.yellow_harness: #3, 1(33%)
minecraft.crafted.ender_eye: #3, 131(5%)
minecraft.picked_up.brick_slab: #4, 27(15%)
minecraft.picked_up.chorus_flower: #3, 173(5%)
minecraft.crafted.respawn_anchor: #4, 43(18%)
minecraft.picked_up.mangrove_wood: #4, 80(13%)
minecraft.crafted.magenta_terracotta: #4, 534(12%)
minecraft.mined.dried_kelp_block: #3, 6(10%)
minecraft.dropped.cobbled_deepslate_wall: #3, 10(19%)
minecraft.used.cherry_button: #3, 4(24%)
minecraft.mined.cornflower: #4, 148(8%)
minecraft.crafted.anvil: #4, 415(8%)
minecraft.used.purpur_block: #3, 667(5%)
minecraft.mined.polished_blackstone_wall: #3, 14(9%)
minecraft.picked_up.crimson_button: #3, 16(15%)
minecraft.dropped.enchanted_golden_apple: #3, 7(7%)
minecraft.mined.bamboo_hanging_sign: #3, 5(15%)
minecraft.picked_up.music_disc_strad: #3, 7(11%)
minecraft.used.deepslate_brick_wall: #4, 265(10%)
minecraft.crafted.cobblestone_stairs: #3, 244(4%)
minecraft.killed.allay: #3, 7(17%)
minecraft.picked_up.gold_block: #4, 673(8%)
minecraft.picked_up.deepslate_bricks: #4, 854(8%)
minecraft.picked_up.honey_block: #4, 1787(8%)
minecraft.used.polished_diorite_slab: #3, 113(6%)
minecraft.crafted.pink_stained_glass_pane: #3, 224(9%)
minecraft.used.white_concrete: #4, 7793(8%)
minecraft.used.bamboo_raft: #4, 31(11%)
minecraft.used.chorus_flower: #3, 73(6%)
minecraft.mined.cobblestone_stairs: #3, 106(4%)
minecraft.picked_up.netherite_chestplate: #4, 8(10%)
minecraft.mined.polished_diorite_stairs: #4, 54(14%)
minecraft.picked_up.polished_diorite_stairs: #4, 66(14%)
minecraft.picked_up.tnt: #4, 929(8%)
minecraft.dropped.observer: #4, 94(11%)
minecraft.used.respawn_anchor: #3, 7(7%)
minecraft.used.pale_oak_pressure_plate: #3, 7(16%)
minecraft.dropped.wind_charge: #4, 514(9%)
minecraft.dropped.soul_soil: #4, 98(10%)
minecraft.picked_up.waxed_oxidized_cut_copper: #4, 387(9%)
minecraft.picked_up.pale_oak_button: #3, 22(9%)
minecraft.mined.tuff_stairs: #4, 26(13%)
minecraft.mined.waxed_oxidized_cut_copper: #4, 377(9%)
minecraft.used.yellow_concrete_powder: #4, 2051(8%)
minecraft.picked_up.golden_carrot: #5, 4463(7%)
minecraft.used.polished_deepslate_slab: #4, 1355(9%)
minecraft.dropped.netherrack: #4, 7472(7%)
minecraft.used.crimson_trapdoor: #4, 246(11%)
minecraft.used.netherrack: #4, 4561(7%)
minecraft.crafted.lime_glazed_terracotta: #3, 64(14%)
minecraft.mined.cut_copper: #3, 30(5%)
minecraft.mined.lime_glazed_terracotta: #3, 7(17%)
minecraft.killed.endermite: #4, 18(8%)
minecraft.picked_up.white_candle: #3, 56(7%)
minecraft.dropped.soul_torch: #3, 13(10%)
minecraft.picked_up.cobbled_deepslate_wall: #4, 79(11%)
minecraft.mined.waxed_oxidized_copper_door: #3, 4(10%)
minecraft.crafted.copper_grate: #4, 164(13%)
minecraft.used.crossbow: #4, 285(10%)
minecraft.picked_up.glowstone: #4, 606(8%)
minecraft.used.furnace_minecart: #3, 12(7%)
minecraft.used.ochre_froglight: #4, 1684(7%)
minecraft.used.waxed_weathered_copper_grate: #4, 585(13%)
minecraft.mined.emerald_block: #4, 495(8%)
minecraft.mined.cherry_sign: #3, 2(12%)
minecraft.crafted.yellow_carpet: #4, 654(11%)
minecraft.mined.smooth_basalt: #4, 690(7%)
minecraft.picked_up.light_gray_stained_glass: #4, 139(8%)
minecraft.picked_up.lime_carpet: #3, 144(5%)
minecraft.crafted.blue_dye: #4, 3106(6%)
minecraft.used.black_dye: #3, 1(20%)
minecraft.dropped.bamboo_hanging_sign: #3, 2(14%)
minecraft.mined.end_rod: #4, 382(6%)
minecraft.used.purpur_stairs: #3, 89(5%)
minecraft.picked_up.blackstone_slab: #4, 136(9%)
minecraft.mined.polished_andesite: #4, 321(6%)
minecraft.dropped.waxed_cut_copper_slab: #4, 7(11%)
minecraft.used.cobbled_deepslate_wall: #4, 386(9%)
minecraft.used.lime_stained_glass_pane: #4, 385(12%)
minecraft.dropped.lime_concrete: #3, 70(7%)
minecraft.used.ender_pearl: #5, 1041(8%)
minecraft.picked_up.gray_concrete: #4, 1981(7%)
minecraft.crafted.ward_armor_trim_smithing_template: #3, 6(17%)
minecraft.dropped.crimson_roots: #3, 39(4%)
minecraft.picked_up.dispenser: #4, 242(6%)
minecraft.mined.cracked_deepslate_tiles: #3, 22(5%)
minecraft.dropped.cactus: #4, 1787(7%)
minecraft.dropped.raw_gold_block: #3, 4(12%)
minecraft.picked_up.polished_deepslate_slab: #4, 266(7%)
minecraft.mined.scaffolding: #5, 7493(10%)
minecraft.used.chiseled_deepslate: #3, 632(3%)
minecraft.crafted.clock: #4, 12(8%)
minecraft.dropped.waxed_oxidized_copper_trapdoor: #3, 2(10%)
minecraft.picked_up.smooth_basalt: #4, 678(6%)
minecraft.mined.magenta_terracotta: #3, 20(3%)
minecraft.used.crimson_pressure_plate: #3, 3(10%)
minecraft.used.exposed_copper_bulb: #3, 2(6%)
minecraft.broken.iron_hoe: #4, 2(15%)
minecraft.dropped.compass: #4, 12(10%)
minecraft.picked_up.crimson_pressure_plate: #3, 2(12%)
minecraft.picked_up.music_disc_precipice: #4, 8(11%)
minecraft.custom.damage_taken: #3, 2900791(1%)
minecraft.crafted.cauldron: #4, 108(5%)
minecraft.used.dropper: #5, 729(9%)
minecraft.used.cracked_polished_blackstone_bricks: #4, 64(12%)
minecraft.mined.waxed_exposed_cut_copper: #3, 40(6%)
minecraft.crafted.beetroot_soup: #3, 1(11%)
minecraft.crafted.light_gray_wool: #4, 828(9%)
minecraft.mined.crimson_button: #3, 5(5%)
minecraft.crafted.tide_armor_trim_smithing_template: #3, 6(11%)
minecraft.used.tuff_stairs: #4, 149(9%)
minecraft.crafted.yellow_concrete_powder: #4, 2048(7%)
minecraft.custom.interact_with_beacon: #4, 75(5%)
minecraft.used.mutton: #3, 5(6%)
minecraft.dropped.white_candle: #3, 6(11%)
minecraft.crafted.yellow_banner: #4, 45(10%)
minecraft.mined.stone: #4, 358616(5%)
minecraft.crafted.crimson_pressure_plate: #3, 2(8%)
minecraft.dropped.deepslate_tile_stairs: #3, 6(4%)
minecraft.picked_up.green_harness: #3, 1(10%)
minecraft.mined.purple_candle: #3, 1(10%)
minecraft.mined.cobblestone_slab: #4, 225(5%)
minecraft.dropped.raw_copper: #4, 771(6%)
minecraft.used.yellow_concrete: #4, 1320(6%)
minecraft.picked_up.end_stone_bricks: #4, 174(6%)
minecraft.used.purple_candle: #3, 10(7%)
minecraft.used.lime_glazed_terracotta: #3, 16(7%)
minecraft.custom.climb_one_cm: #5, 4983263(6%)
minecraft.killed_by.slime: #5, 38(7%)
minecraft.killed_by.stray: #4, 62(11%)
minecraft.dropped.waxed_oxidized_cut_copper_stairs: #4, 18(10%)
minecraft.picked_up.bamboo_raft: #4, 21(8%)
minecraft.crafted.white_stained_glass: #4, 2607(6%)
minecraft.crafted.chiseled_tuff: #4, 38(6%)
minecraft.used.polished_diorite: #4, 489(6%)
minecraft.crafted.magenta_glazed_terracotta: #4, 8(17%)
minecraft.crafted.dropper: #5, 876(9%)
minecraft.dropped.oxidized_cut_copper: #3, 1(7%)
minecraft.dropped.polished_andesite_slab: #3, 22(4%)
minecraft.crafted.spruce_door: #4, 36(5%)
minecraft.mined.purple_carpet: #3, 33(2%)
minecraft.used.lime_banner: #3, 12(2%)
minecraft.crafted.magenta_stained_glass: #3, 344(2%)
minecraft.crafted.mangrove_propagule: #4, 8(20%)
minecraft.used.mushroom_stem: #4, 485(6%)
minecraft.crafted.cobbled_deepslate_stairs: #4, 260(6%)
minecraft.used.dragon_head: #4, 3(10%)
minecraft.used.waxed_exposed_cut_copper: #3, 57(2%)
minecraft.picked_up.purple_carpet: #3, 37(1%)
minecraft.picked_up.music_disc_mellohi: #3, 2(5%)
minecraft.mined.lime_wall_banner: #3, 2(4%)
minecraft.mined.pale_oak_stairs: #4, 25(10%)
minecraft.mined.ladder: #5, 217(8%)
minecraft.picked_up.gray_stained_glass_pane: #4, 33(9%)
minecraft.picked_up.ender_chest: #5, 1736(8%)
minecraft.picked_up.bamboo_stairs: #4, 46(6%)
minecraft.crafted.dark_oak_boat: #4, 3(9%)
minecraft.used.gray_concrete: #5, 5184(10%)
minecraft.custom.open_chest: #5, 46009(5%)
minecraft.dropped.mycelium: #3, 1(2%)
minecraft.picked_up.tuff_stairs: #4, 26(8%)
minecraft.crafted.yellow_candle: #3, 8(1%)
minecraft.used.music_disc_13: #4, 7(7%)
minecraft.used.yellow_wool: #4, 1190(5%)
minecraft.used.sugar_cane: #4, 576(4%)
minecraft.dropped.red_stained_glass: #3, 4(1%)
minecraft.dropped.pale_oak_log: #4, 64(11%)
minecraft.crafted.amethyst_block: #3, 32(1%)
minecraft.mined.waxed_copper_trapdoor: #4, 16(7%)
minecraft.dropped.cyan_stained_glass: #3, 1(1%)
minecraft.dropped.dried_ghast: #3, 2(1%)
minecraft.killed.phantom: #4, 55(5%)
minecraft.dropped.black_concrete: #4, 36(7%)
minecraft.crafted.stone_axe: #5, 12(8%)
minecraft.picked_up.pearlescent_froglight: #5, 2760(10%)
minecraft.dropped.prismarine_shard: #3, 98(0%)
minecraft.broken.diamond_chestplate: #4, 1(25%)
minecraft.crafted.mojang_banner_pattern: #4, 1(25%)
minecraft.custom.player_kills: #5, 82(7%)
minecraft.custom.walk_under_water_one_cm: #6, 17872052(6%)
minecraft.crafted.stonecutter: #4, 46(4%)
minecraft.dropped.sunflower: #4, 88(4%)
minecraft.dropped.waxed_copper_bulb: #4, 5(10%)
minecraft.dropped.stripped_spruce_wood: #4, 9(9%)
minecraft.picked_up.music_disc_chirp: #4, 7(16%)
minecraft.dropped.diamond_helmet: #5, 7(8%)
minecraft.picked_up.cooked_mutton: #4, 311(4%)
minecraft.picked_up.stone_button: #5, 225(8%)
minecraft.mined.waxed_oxidized_copper_trapdoor: #4, 46(8%)
minecraft.used.packed_ice: #4, 1677(4%)
minecraft.mined.iron_bars: #5, 318(8%)
minecraft.crafted.nether_brick: #4, 640(6%)
minecraft.picked_up.deepslate_tile_stairs: #5, 260(9%)
minecraft.mined.oxidized_copper_trapdoor: #4, 243(5%)
minecraft.dropped.white_banner: #4, 208(4%)
minecraft.used.jukebox: #5, 43(8%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #4, 49(5%)
minecraft.mined.kelp: #5, 332(7%)
minecraft.picked_up.purple_dye: #4, 78(4%)
minecraft.picked_up.kelp: #5, 6571(7%)
minecraft.used.ancient_debris: #4, 4(9%)
minecraft.mined.blue_ice: #4, 325(5%)
minecraft.dropped.waxed_exposed_copper_bulb: #4, 2(17%)
minecraft.mined.pale_oak_trapdoor: #5, 63(9%)
minecraft.crafted.polished_deepslate_wall: #4, 43(5%)
minecraft.crafted.waxed_oxidized_copper_trapdoor: #4, 84(12%)
minecraft.crafted.light_gray_dye: #5, 2178(8%)
minecraft.mined.skeleton_skull: #4, 5(12%)
minecraft.picked_up.ladder: #5, 602(7%)
minecraft.picked_up.waxed_weathered_cut_copper: #4, 48(7%)
minecraft.crafted.gray_stained_glass_pane: #5, 800(12%)
minecraft.dropped.orange_tulip: #4, 34(5%)
minecraft.picked_up.waxed_oxidized_copper_trapdoor: #4, 40(7%)
minecraft.crafted.iron_ingot: #5, 59392(7%)
minecraft.broken.fishing_rod: #5, 11(9%)
minecraft.used.blue_ice: #4, 169(4%)
minecraft.picked_up.granite: #5, 15519(7%)
minecraft.dropped.glow_berries: #4, 32(4%)
minecraft.picked_up.polished_tuff: #5, 872(7%)
minecraft.picked_up.cyan_glazed_terracotta: #4, 11(9%)
minecraft.crafted.cooked_mutton: #4, 122(4%)
minecraft.mined.oxidized_copper_bulb: #4, 17(4%)
minecraft.dropped.white_concrete: #4, 80(4%)
minecraft.crafted.pale_oak_planks: #5, 3288(8%)
minecraft.mined.piston: #5, 294(7%)
minecraft.dropped.waxed_oxidized_cut_copper: #4, 10(5%)
minecraft.dropped.blaze_rod: #4, 120(4%)
minecraft.picked_up.iron_block: #5, 4035(6%)
minecraft.dropped.guster_banner_pattern: #4, 1(17%)
minecraft.dropped.stripped_mangrove_wood: #4, 1(17%)
minecraft.mined.glass: #5, 1461(7%)
minecraft.dropped.carved_pumpkin: #5, 72(6%)
minecraft.picked_up.andesite_wall: #5, 104(8%)
minecraft.picked_up.pale_oak_trapdoor: #5, 58(8%)
minecraft.mined.gray_concrete: #5, 2759(7%)
minecraft.picked_up.lever: #5, 595(7%)
minecraft.picked_up.blue_carpet: #4, 49(7%)
minecraft.dropped.crying_obsidian: #4, 68(4%)
minecraft.used.netherite_pickaxe: #5, 478288(8%)
minecraft.mined.polished_blackstone_bricks: #4, 238(3%)
minecraft.picked_up.lightning_rod: #5, 162(7%)
minecraft.used.crimson_button: #4, 12(10%)
minecraft.used.blue_terracotta: #4, 310(4%)
minecraft.used.music_disc_strad: #4, 2(14%)
minecraft.picked_up.gilded_blackstone: #4, 48(5%)
minecraft.picked_up.waxed_chiseled_copper: #5, 57(9%)
minecraft.crafted.soul_campfire: #4, 65(5%)
minecraft.dropped.cooked_beef: #5, 213(5%)
minecraft.used.pink_stained_glass_pane: #4, 134(7%)
minecraft.used.bow: #5, 5119(6%)
minecraft.crafted.pink_dye: #5, 949(6%)
minecraft.mined.observer: #5, 552(6%)
minecraft.picked_up.birch_sign: #5, 56(6%)
minecraft.crafted.birch_button: #5, 40(8%)
minecraft.picked_up.respawn_anchor: #4, 5(5%)
minecraft.crafted.waxed_exposed_copper_grate: #4, 27(6%)
minecraft.used.polished_tuff_wall: #5, 792(7%)
minecraft.dropped.soul_sand: #5, 338(6%)
minecraft.mined.polished_tuff_wall: #5, 102(7%)
minecraft.dropped.granite: #5, 1149(6%)
minecraft.killed.shulker: #5, 302(7%)
minecraft.used.cookie: #4, 56(2%)
minecraft.crafted.waxed_oxidized_chiseled_copper: #4, 16(12%)
minecraft.used.waxed_weathered_chiseled_copper: #4, 52(5%)
minecraft.mined.waxed_copper_grate: #5, 232(8%)
minecraft.dropped.dried_kelp: #4, 68(4%)
minecraft.crafted.dune_armor_trim_smithing_template: #4, 4(9%)
minecraft.mined.polished_blackstone_stairs: #4, 8(3%)
minecraft.picked_up.oak_boat: #5, 97(6%)
minecraft.crafted.waxed_copper_block: #4, 258(5%)
minecraft.picked_up.carrot_on_a_stick: #5, 5(13%)
minecraft.used.weathered_chiseled_copper: #4, 1(10%)
minecraft.mined.black_glazed_terracotta: #4, 22(4%)
minecraft.picked_up.waxed_copper_grate: #5, 213(8%)
minecraft.used.trapped_chest: #4, 3(5%)
minecraft.picked_up.yellow_concrete: #5, 1379(6%)
minecraft.used.sculk_sensor: #4, 24(2%)
minecraft.picked_up.ink_sac: #5, 1479(5%)
minecraft.picked_up.netherite_axe: #5, 20(7%)
minecraft.used.waxed_chiseled_copper: #4, 96(2%)
minecraft.dropped.black_stained_glass_pane: #4, 5(4%)
minecraft.used.black_concrete: #5, 1718(6%)
minecraft.mined.white_candle: #4, 26(4%)
minecraft.used.magenta_bed: #4, 4(6%)
minecraft.used.smoker: #5, 29(7%)
minecraft.crafted.pink_stained_glass: #4, 152(3%)
minecraft.dropped.gray_concrete_powder: #4, 60(5%)
minecraft.picked_up.stripped_crimson_stem: #4, 30(2%)
minecraft.crafted.glass_pane: #5, 800(6%)
minecraft.picked_up.deepslate_tile_wall: #5, 122(7%)
minecraft.mined.waxed_weathered_cut_copper: #4, 17(3%)
minecraft.dropped.jungle_leaves: #5, 64(9%)
minecraft.crafted.blackstone_stairs: #5, 23(9%)
minecraft.crafted.purpur_slab: #4, 6(7%)
minecraft.killed_by.drowned: #5, 19(7%)
minecraft.used.pink_stained_glass: #4, 64(2%)
minecraft.crafted.trapped_chest: #4, 3(3%)
minecraft.mined.stripped_crimson_stem: #4, 30(2%)
minecraft.used.bone_block: #5, 1139(5%)
minecraft.dropped.pink_tulip: #4, 8(2%)
minecraft.picked_up.acacia_fence: #5, 46(7%)
minecraft.mined.smooth_stone_slab: #5, 477(5%)
minecraft.killed.squid: #5, 338(5%)
minecraft.picked_up.lime_glazed_terracotta: #4, 9(6%)
minecraft.dropped.verdant_froglight: #4, 168(2%)
minecraft.mined.gray_stained_glass_pane: #5, 18(10%)
minecraft.mined.chiseled_bookshelf: #5, 34(6%)
minecraft.picked_up.slime_block: #5, 707(5%)
minecraft.dropped.iron_hoe: #5, 3(11%)
minecraft.dropped.leather_leggings: #6, 25(8%)
minecraft.dropped.golden_carrot: #6, 935(7%)
minecraft.mined.polished_deepslate_slab: #5, 119(6%)
minecraft.mined.infested_deepslate: #5, 15(8%)
minecraft.crafted.red_wool: #5, 413(6%)
minecraft.picked_up.lime_dye: #5, 77(5%)
minecraft.used.daylight_detector: #5, 171(6%)
minecraft.mined.nether_wart_block: #5, 1254(6%)
minecraft.dropped.iron_pickaxe: #5, 7(7%)
minecraft.used.purple_carpet: #4, 59(1%)
minecraft.mined.pale_oak_log: #5, 2297(6%)
minecraft.crafted.glow_item_frame: #5, 210(6%)
minecraft.dropped.pearlescent_froglight: #4, 73(2%)
minecraft.mined.light_blue_concrete: #5, 1100(6%)
minecraft.crafted.dried_kelp_block: #4, 27(1%)
minecraft.used.pale_oak_button: #4, 21(1%)
minecraft.dropped.resin_clump: #4, 65(1%)
minecraft.used.mud: #5, 4500(5%)
minecraft.picked_up.magenta_dye: #5, 47(5%)
minecraft.used.waxed_oxidized_copper_trapdoor: #5, 92(9%)
minecraft.crafted.black_glazed_terracotta: #4, 14(2%)
minecraft.picked_up.lime_banner: #4, 2(1%)
minecraft.mined.mushroom_stem: #5, 532(5%)
minecraft.crafted.blue_glazed_terracotta: #4, 7(2%)
minecraft.used.white_stained_glass: #5, 1667(5%)
minecraft.picked_up.blue_ice: #5, 315(6%)
minecraft.crafted.lime_banner: #4, 10(1%)
minecraft.dropped.ochre_froglight: #4, 95(1%)
minecraft.crafted.waxed_oxidized_copper_bulb: #4, 12(1%)
minecraft.picked_up.light_blue_concrete: #5, 1107(6%)
minecraft.crafted.redstone: #5, 14660(4%)
minecraft.crafted.waxed_weathered_cut_copper: #5, 72(10%)
minecraft.dropped.quartz_slab: #4, 3(1%)
minecraft.crafted.bamboo_button: #4, 72(0%)
minecraft.picked_up.pale_oak_log: #5, 2087(5%)
minecraft.used.glass: #5, 8287(4%)
minecraft.crafted.gray_terracotta: #5, 536(6%)
minecraft.dropped.yellow_stained_glass: #4, 3(1%)
minecraft.used.black_stained_glass: #5, 2139(5%)
minecraft.crafted.prismarine_bricks: #4, 149(1%)
minecraft.used.mangrove_fence: #5, 261(5%)
minecraft.mined.chorus_plant: #5, 70(5%)
minecraft.picked_up.cooked_porkchop: #6, 1194(7%)
minecraft.picked_up.prismarine_shard: #4, 143(0%)
minecraft.crafted.magenta_carpet: #4, 9(0%)
minecraft.dropped.glow_ink_sac: #5, 64(6%)
minecraft.crafted.blue_terracotta: #5, 524(5%)
minecraft.dropped.diamond_boots: #6, 16(7%)
minecraft.dropped.raw_iron: #5, 93(5%)
minecraft.crafted.yellow_wool: #5, 354(6%)
minecraft.picked_up.music_disc_creator_music_box: #5, 8(7%)
minecraft.picked_up.yellow_stained_glass: #5, 100(8%)
minecraft.broken.iron_boots: #5, 1(20%)
minecraft.dropped.netherite_chestplate: #5, 3(12%)
minecraft.mined.white_stained_glass: #5, 168(5%)
minecraft.mined.green_terracotta: #5, 79(6%)
minecraft.mined.warped_stairs: #5, 30(7%)
minecraft.mined.chiseled_polished_blackstone: #5, 6(9%)
minecraft.mined.deepslate_bricks: #5, 375(4%)
minecraft.crafted.deepslate_tile_slab: #5, 144(5%)
minecraft.picked_up.waxed_copper_trapdoor: #5, 16(7%)
minecraft.mined.chiseled_deepslate: #5, 42(5%)
minecraft.crafted.black_wool: #5, 761(6%)
minecraft.mined.smooth_stone: #5, 1094(4%)
minecraft.dropped.bricks: #5, 71(7%)
minecraft.crafted.black_stained_glass: #5, 2344(4%)
minecraft.mined.gray_concrete_powder: #5, 75(6%)
minecraft.used.orange_glazed_terracotta: #5, 22(10%)
minecraft.killed.silverfish: #5, 3779(4%)
minecraft.mined.pointed_dripstone: #6, 521(8%)
minecraft.mined.potted_dead_bush: #5, 2(7%)
minecraft.mined.brown_mushroom_block: #5, 2567(4%)
minecraft.picked_up.chainmail_boots: #5, 7(4%)
minecraft.used.copper_grate: #5, 222(5%)
minecraft.used.light_blue_concrete: #5, 950(5%)
minecraft.crafted.crimson_sign: #5, 27(8%)
minecraft.broken.netherite_pickaxe: #5, 1(17%)
minecraft.picked_up.gunpowder: #5, 5577(3%)
minecraft.used.cobbled_deepslate_stairs: #5, 245(4%)
minecraft.picked_up.nether_brick: #5, 199(7%)
minecraft.picked_up.chorus_fruit: #5, 820(3%)
minecraft.mined.purple_wool: #5, 28(6%)
minecraft.crafted.iron_block: #5, 974(3%)
minecraft.picked_up.purple_stained_glass: #5, 126(7%)
minecraft.used.cooked_mutton: #5, 104(3%)
minecraft.killed.sheep: #5, 128(3%)
minecraft.picked_up.light_gray_concrete: #6, 821(8%)
minecraft.dropped.redstone_block: #5, 130(4%)
minecraft.mined.kelp_plant: #5, 218(3%)
minecraft.used.detector_rail: #6, 50(9%)
minecraft.used.crafter: #6, 210(7%)
minecraft.picked_up.cherry_sign: #5, 4(6%)
minecraft.dropped.obsidian: #6, 130(8%)
minecraft.crafted.polished_blackstone_wall: #5, 42(8%)
minecraft.mined.grindstone: #6, 48(7%)
minecraft.picked_up.water_bucket: #6, 65(6%)
minecraft.dropped.ward_armor_trim_smithing_template: #5, 1(14%)
