stat, rank, value, (percentage) 
minecraft.used.acacia_planks: #1, 4054(38%)
minecraft.picked_up.orange_wool: #1, 2291(31%)
minecraft.used.bubble_coral_block: #1, 352(79%)
minecraft.used.tropical_fish_bucket: #1, 329(64%)
minecraft.picked_up.stripped_oak_log: #1, 2366(29%)
minecraft.picked_up.diamond_sword: #1, 353(25%)
minecraft.mined.horn_coral: #1, 424(47%)
minecraft.picked_up.andesite_slab: #1, 647(30%)
minecraft.picked_up.firework_rocket: #1, 30721(19%)
minecraft.dropped.yellow_terracotta: #1, 261(63%)
minecraft.used.granite_slab: #1, 2073(46%)
minecraft.used.horn_coral_block: #1, 472(53%)
minecraft.dropped.allium: #1, 115(46%)
minecraft.used.moss_block: #1, 49165(27%)
minecraft.used.acacia_log: #1, 5272(29%)
minecraft.picked_up.mud: #1, 52880(28%)
minecraft.mined.stripped_oak_log: #1, 2346(30%)
minecraft.mined.azalea_leaves: #1, 39867(31%)
minecraft.used.diamond_hoe: #1, 188096(27%)
minecraft.mined.blackstone: #1, 12859(27%)
minecraft.picked_up.azalea_leaves: #1, 40866(32%)
minecraft.picked_up.light_gray_stained_glass_pane: #1, 411(37%)
minecraft.picked_up.diamond_helmet: #1, 122(22%)
minecraft.crafted.bricks: #1, 8083(28%)
minecraft.crafted.birch_boat: #1, 53(60%)
minecraft.picked_up.muddy_mangrove_roots: #1, 4834(30%)
minecraft.mined.deepslate_coal_ore: #1, 167(44%)
minecraft.mined.oxeye_daisy: #1, 383(26%)
minecraft.dropped.orange_tulip: #1, 276(39%)
minecraft.picked_up.iron_ore: #1, 4845(25%)
minecraft.mined.flowering_azalea_leaves: #1, 12754(31%)
minecraft.crafted.acacia_fence_gate: #1, 331(38%)
minecraft.used.birch_fence_gate: #1, 426(49%)
minecraft.used.firework_rocket: #1, 109630(16%)
minecraft.used.poppy: #1, 3149(30%)
minecraft.mined.lime_wool: #1, 664(37%)
minecraft.killed_by.vex: #1, 50(79%)
minecraft.picked_up.polished_blackstone_stairs: #1, 182(42%)
minecraft.mined.stripped_jungle_log: #1, 1296(32%)
minecraft.picked_up.blue_egg: #1, 130(63%)
minecraft.mined.dead_tube_coral_block: #1, 419(63%)
minecraft.mined.dead_brain_coral_block: #1, 426(53%)
minecraft.used.golden_carrot: #1, 14210(16%)
minecraft.picked_up.flowering_azalea_leaves: #1, 12710(31%)
minecraft.mined.pink_tulip: #1, 322(33%)
minecraft.picked_up.blackstone: #1, 13899(25%)
minecraft.custom.player_kills: #1, 253(20%)
minecraft.mined.kelp: #1, 1102(24%)
minecraft.picked_up.mossy_cobblestone_slab: #1, 211(38%)
minecraft.picked_up.stripped_jungle_log: #1, 1361(30%)
minecraft.used.bubble_coral: #1, 138(86%)
minecraft.picked_up.cyan_dye: #2, 357(28%)
minecraft.picked_up.purple_candle: #1, 65(75%)
minecraft.picked_up.lever: #1, 2186(25%)
minecraft.dropped.flint: #1, 2087(25%)
minecraft.picked_up.yellow_candle: #1, 147(84%)
minecraft.crafted.birch_stairs: #1, 976(36%)
minecraft.picked_up.lead: #1, 1754(19%)
minecraft.mined.oxidized_copper_bulb: #1, 139(36%)
minecraft.used.honey_bottle: #1, 1736(29%)
minecraft.mined.stripped_birch_log: #1, 1677(25%)
minecraft.mined.sand: #1, 306685(23%)
minecraft.mined.red_tulip: #1, 550(27%)
minecraft.used.fire_coral_block: #1, 525(41%)
minecraft.mined.polished_blackstone_stairs: #1, 106(41%)
minecraft.mined.acacia_sapling: #1, 233(38%)
minecraft.mined.smooth_sandstone_slab: #1, 253(36%)
minecraft.custom.interact_with_blast_furnace: #1, 953(20%)
minecraft.picked_up.dead_brain_coral_block: #1, 485(41%)
minecraft.used.diamond_shovel: #1, 940892(22%)
minecraft.crafted.clock: #1, 48(32%)
minecraft.picked_up.stripped_birch_log: #1, 1686(25%)
minecraft.dropped.red_tulip: #1, 209(31%)
minecraft.used.polished_granite_stairs: #1, 758(51%)
minecraft.picked_up.light_blue_wool: #1, 2298(28%)
minecraft.crafted.stripped_dark_oak_wood: #1, 444(56%)
minecraft.crafted.nether_brick_wall: #1, 524(80%)
minecraft.used.seagrass: #1, 420(37%)
minecraft.picked_up.orange_bed: #1, 63(31%)
minecraft.custom.leave_game: #1, 3423(10%)
minecraft.mined.blackstone_slab: #1, 211(31%)
