stat, rank, value, (percentage) 
minecraft.picked_up.waxed_copper_grate: #3, 345(12%)
minecraft.used.lime_wool: #3, 960(13%)
minecraft.used.red_wool: #3, 606(10%)
minecraft.dropped.red_concrete_powder: #2, 20(25%)
minecraft.crafted.spruce_slab: #3, 5791(9%)
minecraft.crafted.pale_moss_carpet: #2, 945(11%)
minecraft.picked_up.stick: #3, 10802(7%)
minecraft.dropped.redstone_ore: #2, 14(15%)
minecraft.used.diamond: #3, 139(10%)
minecraft.dropped.shield: #3, 17(10%)
minecraft.dropped.gray_terracotta: #2, 45(30%)
minecraft.dropped.pufferfish_bucket: #2, 3(30%)
minecraft.dropped.acacia_pressure_plate: #2, 4(40%)
minecraft.picked_up.dead_tube_coral: #2, 18(40%)
minecraft.dropped.acacia_planks: #2, 56(8%)
minecraft.mined.dark_oak_log: #3, 7238(9%)
minecraft.mined.waxed_copper_grate: #3, 350(12%)
minecraft.picked_up.cherry_leaves: #3, 2910(10%)
minecraft.crafted.pale_oak_sign: #2, 102(8%)
minecraft.mined.waxed_oxidized_copper_trapdoor: #3, 111(20%)
minecraft.dropped.diamond_leggings: #3, 12(8%)
minecraft.mined.mangrove_log: #4, 4339(13%)
minecraft.picked_up.red_nether_brick_slab: #2, 9(39%)
minecraft.crafted.smooth_stone_slab: #3, 3216(9%)
minecraft.used.tripwire_hook: #3, 63(10%)
minecraft.used.light_gray_concrete: #4, 1531(14%)
minecraft.killed_by.iron_golem: #2, 3(23%)
minecraft.custom.total_world_time: #4, 127248413(6%)
minecraft.custom.play_time: #4, 127248413(6%)
minecraft.picked_up.brick_slab: #3, 29(16%)
minecraft.dropped.oak_fence: #3, 47(12%)
minecraft.mined.end_stone_bricks: #3, 184(10%)
minecraft.used.wheat_seeds: #4, 27047(12%)
minecraft.picked_up.arrow: #3, 8263(8%)
minecraft.used.polished_tuff_slab: #3, 1558(9%)
minecraft.picked_up.dirt: #3, 171678(8%)
minecraft.mined.grindstone: #3, 59(9%)
minecraft.used.pale_oak_pressure_plate: #2, 10(22%)
minecraft.picked_up.totem_of_undying: #4, 97(12%)
minecraft.used.red_nether_brick_slab: #2, 53(27%)
minecraft.mined.red_concrete_powder: #2, 34(11%)
minecraft.dropped.jungle_fence_gate: #2, 15(27%)
minecraft.mined.poppy: #3, 589(8%)
minecraft.picked_up.yellow_stained_glass: #3, 207(17%)
minecraft.picked_up.red_candle: #2, 57(8%)
minecraft.dropped.bundle: #3, 13(9%)
minecraft.mined.mangrove_leaves: #3, 15147(8%)
minecraft.used.pale_oak_stairs: #3, 135(14%)
minecraft.picked_up.sugar_cane: #3, 39546(8%)
minecraft.crafted.red_nether_brick_wall: #2, 59(15%)
minecraft.crafted.warped_hyphae: #2, 174(8%)
minecraft.mined.small_dripleaf: #3, 40(12%)
minecraft.mined.cyan_wool: #3, 226(11%)
minecraft.picked_up.cactus_flower: #3, 41(17%)
minecraft.picked_up.raw_gold_block: #3, 118(16%)
minecraft.killed_by.enderman: #3, 5(19%)
minecraft.picked_up.granite: #3, 18105(8%)
minecraft.used.horn_coral: #2, 55(15%)
minecraft.picked_up.smooth_sandstone: #3, 722(10%)
minecraft.used.bamboo: #3, 1722(8%)
minecraft.crafted.oak_boat: #2, 80(4%)
minecraft.used.stripped_mangrove_wood: #3, 171(18%)
minecraft.crafted.nether_brick_slab: #3, 108(18%)
minecraft.picked_up.cherry_boat: #2, 18(20%)
minecraft.crafted.acacia_sapling: #2, 8(50%)
minecraft.broken.diamond_boots: #2, 1(50%)
minecraft.broken.golden_pickaxe: #2, 1(50%)
minecraft.dropped.warped_fungus_on_a_stick: #2, 1(50%)
minecraft.dropped.polished_blackstone_wall: #2, 1(50%)
minecraft.dropped.flower_banner_pattern: #2, 1(50%)
minecraft.dropped.weathered_cut_copper_slab: #2, 1(50%)
minecraft.dropped.deepslate_coal_ore: #2, 10(50%)
minecraft.crafted.orange_harness: #2, 1(50%)
minecraft.picked_up.orange_harness: #2, 1(50%)
minecraft.broken.crossbow: #2, 1(50%)
minecraft.used.dead_bubble_coral_fan: #2, 1(50%)
minecraft.mined.dead_bubble_coral_fan: #2, 1(50%)
minecraft.picked_up.dead_bubble_coral_fan: #2, 1(50%)
minecraft.crafted.black_candle: #2, 189(20%)
minecraft.used.splash_potion: #3, 151(8%)
minecraft.crafted.orange_stained_glass: #3, 2904(12%)
minecraft.used.red_nether_bricks: #2, 99(14%)
minecraft.mined.vine: #3, 1227(8%)
minecraft.used.brick_stairs: #3, 77(12%)
minecraft.dropped.mace: #3, 14(9%)
minecraft.dropped.polished_blackstone_button: #2, 5(12%)
minecraft.picked_up.acacia_fence: #3, 71(10%)
minecraft.picked_up.torch: #3, 9060(7%)
minecraft.used.pale_oak_fence_gate: #2, 69(12%)
minecraft.crafted.polished_blackstone_slab: #2, 212(7%)
minecraft.picked_up.azure_bluet: #3, 1266(8%)
minecraft.picked_up.green_wool: #3, 2484(8%)
minecraft.crafted.cake: #3, 29(14%)
minecraft.dropped.bamboo_mosaic_slab: #2, 6(46%)
minecraft.picked_up.goat_horn: #2, 32(5%)
minecraft.used.flint_and_steel: #3, 567(7%)
minecraft.crafted.mangrove_slab: #4, 1524(13%)
minecraft.picked_up.dark_oak_log: #3, 7308(8%)
minecraft.crafted.diamond_hoe: #3, 8(8%)
minecraft.picked_up.bamboo_slab: #3, 632(10%)
minecraft.mined.pale_oak_fence_gate: #2, 9(30%)
minecraft.dropped.enchanted_golden_apple: #2, 7(7%)
minecraft.dropped.chain: #3, 137(10%)
minecraft.mined.gray_terracotta: #2, 86(6%)
minecraft.used.oak_fence: #3, 535(8%)
minecraft.crafted.pale_oak_planks: #3, 3660(9%)
minecraft.crafted.gray_wool: #3, 668(11%)
minecraft.mined.cyan_terracotta: #3, 669(8%)
minecraft.used.light_gray_stained_glass_pane: #3, 700(11%)
minecraft.mined.dead_tube_coral: #2, 11(28%)
minecraft.picked_up.bamboo_fence_gate: #2, 80(6%)
minecraft.dropped.lapis_ore: #3, 21(10%)
minecraft.dropped.orange_stained_glass_pane: #2, 17(28%)
minecraft.crafted.oxidized_chiseled_copper: #3, 60(15%)
minecraft.killed.pufferfish: #3, 19(12%)
minecraft.picked_up.birch_sapling: #3, 1124(7%)
minecraft.killed.wandering_trader: #3, 15(8%)
minecraft.dropped.light_gray_stained_glass_pane: #3, 41(15%)
minecraft.crafted.oxidized_cut_copper_slab: #3, 194(13%)
minecraft.dropped.pale_oak_sign: #2, 4(16%)
minecraft.picked_up.splash_potion: #4, 167(11%)
minecraft.dropped.birch_fence: #3, 26(20%)
minecraft.crafted.lime_stained_glass_pane: #3, 592(15%)
minecraft.picked_up.mangrove_roots: #4, 9863(11%)
minecraft.custom.strider_one_cm: #2, 130478(38%)
minecraft.mined.rooted_dirt: #3, 1394(8%)
minecraft.crafted.cherry_boat: #3, 7(19%)
minecraft.picked_up.brush: #3, 7(19%)
minecraft.used.brown_egg: #2, 54(19%)
minecraft.used.light_gray_candle: #2, 20(12%)
minecraft.picked_up.spruce_fence_gate: #3, 164(8%)
minecraft.picked_up.music_disc_cat: #3, 26(8%)
minecraft.picked_up.chainmail_leggings: #3, 10(8%)
minecraft.picked_up.cobbled_deepslate: #3, 56029(7%)
minecraft.crafted.cut_copper_slab: #3, 136(16%)
minecraft.dropped.mangrove_propagule: #3, 48(12%)
minecraft.dropped.pale_moss_block: #3, 80(13%)
minecraft.picked_up.dispenser: #3, 275(7%)
minecraft.used.pale_oak_sapling: #3, 339(9%)
minecraft.dropped.polished_deepslate_wall: #3, 75(24%)
minecraft.mined.warped_stem: #4, 2030(11%)
minecraft.mined.dripstone_block: #4, 4993(11%)
minecraft.used.cyan_wool: #3, 495(8%)
minecraft.used.dark_prismarine_slab: #3, 307(14%)
minecraft.picked_up.acacia_fence_gate: #3, 20(14%)
minecraft.killed_by.panda: #2, 1(33%)
minecraft.crafted.golden_hoe: #2, 1(33%)
minecraft.dropped.apple: #3, 122(8%)
minecraft.dropped.short_grass: #3, 261(9%)
minecraft.picked_up.mangrove_log: #4, 4443(11%)
minecraft.picked_up.yellow_wool: #3, 2167(7%)
minecraft.mined.birch_stairs: #3, 54(9%)
minecraft.used.stripped_mangrove_log: #2, 398(4%)
minecraft.used.peony: #3, 21(9%)
minecraft.dropped.large_amethyst_bud: #2, 5(12%)
minecraft.dropped.brown_egg: #2, 6(21%)
minecraft.used.brick: #2, 4(31%)
minecraft.used.pale_oak_log: #3, 864(8%)
minecraft.used.stripped_dark_oak_log: #4, 905(11%)
minecraft.used.spore_blossom: #3, 32(11%)
minecraft.custom.sleep_in_bed: #4, 3316(8%)
minecraft.dropped.copper_ore: #4, 294(12%)
minecraft.used.dark_oak_fence_gate: #4, 170(14%)
minecraft.used.chorus_fruit: #3, 27(16%)
minecraft.dropped.bamboo_fence: #2, 7(7%)
minecraft.dropped.azure_bluet: #4, 152(12%)
minecraft.mined.red_terracotta: #4, 4318(12%)
minecraft.used.oxidized_cut_copper_slab: #3, 545(8%)
minecraft.mined.sunflower: #4, 553(11%)
minecraft.crafted.cherry_wood: #3, 111(11%)
minecraft.picked_up.polished_tuff_slab: #4, 495(10%)
minecraft.dropped.oak_button: #4, 38(14%)
minecraft.used.sand: #3, 24634(6%)
minecraft.crafted.chiseled_tuff: #3, 47(8%)
minecraft.picked_up.red_terracotta: #4, 4230(11%)
minecraft.picked_up.gilded_blackstone: #3, 129(14%)
minecraft.dropped.warped_planks: #3, 113(15%)
minecraft.picked_up.deepslate: #4, 27896(10%)
minecraft.mined.polished_tuff_stairs: #3, 141(7%)
minecraft.mined.crimson_nylium: #3, 355(6%)
minecraft.mined.polished_tuff_slab: #4, 283(10%)
minecraft.dropped.warped_button: #2, 7(12%)
minecraft.picked_up.mangrove_boat: #3, 7(18%)
minecraft.killed.camel: #2, 2(12%)
minecraft.picked_up.shulker_shell: #4, 1892(10%)
minecraft.picked_up.polished_deepslate_wall: #4, 174(11%)
minecraft.dropped.emerald_block: #3, 242(10%)
minecraft.dropped.netherite_leggings: #3, 5(8%)
minecraft.picked_up.red_stained_glass: #3, 235(10%)
minecraft.crafted.armor_stand: #3, 499(6%)
minecraft.dropped.coarse_dirt: #3, 205(8%)
minecraft.dropped.tropical_fish: #3, 25(9%)
minecraft.dropped.brick_stairs: #3, 13(24%)
minecraft.crafted.yellow_stained_glass: #3, 2576(10%)
minecraft.crafted.brick_slab: #3, 50(10%)
minecraft.dropped.birch_trapdoor: #3, 16(14%)
minecraft.custom.open_chest: #4, 53638(6%)
minecraft.picked_up.red_shulker_box: #4, 1335(9%)
minecraft.used.chiseled_nether_bricks: #2, 5(14%)
minecraft.dropped.bubble_coral: #2, 1(20%)
minecraft.dropped.blue_orchid: #2, 1(20%)
minecraft.dropped.pink_candle: #2, 8(20%)
minecraft.dropped.mangrove_pressure_plate: #2, 1(20%)
minecraft.mined.nether_brick_wall: #3, 10(20%)
minecraft.dropped.nether_sprouts: #2, 6(8%)
minecraft.dropped.cornflower: #4, 112(10%)
minecraft.picked_up.small_dripleaf: #3, 36(13%)
minecraft.picked_up.crimson_nylium: #3, 331(6%)
minecraft.crafted.nether_brick: #3, 993(10%)
minecraft.picked_up.fire_coral_block: #4, 525(16%)
minecraft.picked_up.end_stone_bricks: #3, 187(6%)
minecraft.crafted.golden_boots: #3, 9(10%)
minecraft.picked_up.ladder: #4, 784(9%)
minecraft.crafted.yellow_stained_glass_pane: #3, 912(12%)
minecraft.used.polished_blackstone: #4, 648(13%)
minecraft.crafted.polished_blackstone_pressure_plate: #3, 22(13%)
minecraft.custom.interact_with_stonecutter: #4, 1016(9%)
minecraft.picked_up.writable_book: #3, 34(5%)
minecraft.used.red_shulker_box: #4, 1323(9%)
minecraft.picked_up.waxed_weathered_copper_bulb: #3, 37(11%)
minecraft.picked_up.cyan_wool: #3, 551(6%)
minecraft.dropped.cherry_slab: #2, 6(11%)
minecraft.crafted.polished_tuff_slab: #4, 340(9%)
minecraft.used.jungle_slab: #4, 773(11%)
minecraft.used.dead_tube_coral: #2, 5(16%)
minecraft.picked_up.nether_brick_wall: #3, 13(19%)
minecraft.dropped.iron_block: #3, 458(5%)
minecraft.picked_up.torchflower_seeds: #3, 143(7%)
minecraft.dropped.smooth_stone_slab: #4, 477(12%)
minecraft.dropped.white_concrete: #3, 149(8%)
minecraft.used.gilded_blackstone: #2, 26(7%)
minecraft.used.spruce_fence: #4, 1851(9%)
minecraft.dropped.spruce_chest_boat: #2, 1(14%)
minecraft.dropped.oxidized_copper_bulb: #2, 1(14%)
minecraft.used.ice: #3, 1492(6%)
minecraft.dropped.music_disc_otherside: #3, 2(18%)
minecraft.crafted.black_terracotta: #3, 1568(7%)
minecraft.picked_up.oxeye_daisy: #3, 474(5%)
minecraft.picked_up.brick_stairs: #3, 34(8%)
minecraft.dropped.polished_basalt: #3, 26(11%)
minecraft.dropped.smooth_sandstone: #3, 69(13%)
minecraft.used.beehive: #3, 680(7%)
minecraft.used.yellow_stained_glass_pane: #3, 789(11%)
minecraft.mined.polished_granite: #3, 103(6%)
minecraft.used.green_wool: #4, 1174(10%)
minecraft.dropped.black_banner: #2, 4(2%)
minecraft.dropped.name_tag: #4, 32(10%)
minecraft.mined.torchflower: #3, 108(8%)
minecraft.picked_up.jungle_fence_gate: #3, 23(8%)
minecraft.crafted.nether_bricks: #4, 1587(12%)
minecraft.broken.shield: #3, 5(9%)
minecraft.mined.stripped_cherry_wood: #3, 49(15%)
minecraft.used.cooked_beef: #5, 2101(8%)
minecraft.crafted.polished_granite_slab: #3, 34(15%)
minecraft.used.music_disc_13: #3, 8(8%)
minecraft.used.cracked_nether_bricks: #2, 5(10%)
minecraft.crafted.diamond_sword: #4, 15(9%)
minecraft.used.dirt: #4, 73495(8%)
minecraft.crafted.dark_prismarine: #3, 1140(11%)
minecraft.dropped.birch_sign: #4, 19(11%)
minecraft.crafted.diorite_wall: #2, 95(1%)
minecraft.crafted.packed_mud: #4, 9790(9%)
minecraft.used.soul_soil: #4, 859(9%)
minecraft.picked_up.stripped_cherry_wood: #3, 49(15%)
minecraft.dropped.golden_apple: #3, 15(7%)
minecraft.dropped.red_carpet: #3, 23(13%)
minecraft.crafted.smooth_quartz_stairs: #3, 68(8%)
minecraft.used.red_nether_brick_wall: #3, 92(13%)
minecraft.used.green_concrete: #3, 342(7%)
minecraft.dropped.jungle_pressure_plate: #3, 2(29%)
minecraft.crafted.painting: #4, 231(9%)
minecraft.crafted.end_stone_brick_slab: #2, 14(3%)
minecraft.crafted.pale_oak_pressure_plate: #3, 10(19%)
minecraft.mined.fire_coral_block: #4, 541(15%)
minecraft.mined.purpur_pillar: #3, 107(6%)
minecraft.picked_up.black_wool: #3, 1500(5%)
minecraft.picked_up.dried_kelp_block: #3, 1334(7%)
minecraft.picked_up.resin_block: #3, 346(7%)
minecraft.crafted.hay_block: #4, 2034(9%)
minecraft.dropped.brown_terracotta: #3, 24(12%)
minecraft.used.torchflower_seeds: #3, 111(8%)
minecraft.used.warped_nylium: #3, 197(5%)
minecraft.crafted.red_stained_glass: #4, 2536(12%)
minecraft.used.dark_oak_log: #4, 2201(8%)
minecraft.picked_up.lily_of_the_valley: #4, 134(11%)
minecraft.crafted.pink_candle: #2, 12(1%)
minecraft.used.pale_moss_carpet: #3, 709(5%)
minecraft.used.lime_bed: #4, 119(12%)
minecraft.picked_up.warped_slab: #4, 156(11%)
minecraft.used.purpur_pillar: #3, 24(7%)
minecraft.dropped.chipped_anvil: #3, 6(15%)
minecraft.used.brown_bed: #3, 12(12%)
minecraft.crafted.lapis_lazuli: #4, 1791(9%)
minecraft.crafted.mangrove_pressure_plate: #3, 19(12%)
minecraft.dropped.blackstone_stairs: #3, 12(21%)
minecraft.used.light_blue_candle: #2, 13(1%)
minecraft.picked_up.water_bucket: #4, 77(7%)
minecraft.mined.allium: #4, 148(11%)
minecraft.used.light_blue_glazed_terracotta: #3, 28(11%)
minecraft.picked_up.pale_oak_slab: #4, 123(14%)
minecraft.mined.pink_petals: #4, 629(9%)
minecraft.picked_up.rooted_dirt: #4, 1751(9%)
minecraft.dropped.cyan_stained_glass: #2, 1(1%)
minecraft.used.horn_coral_fan: #3, 44(10%)
minecraft.picked_up.birch_stairs: #3, 44(5%)
minecraft.used.yellow_stained_glass: #3, 1190(8%)
minecraft.used.light_gray_wool: #4, 988(11%)
minecraft.dropped.turtle_helmet: #3, 1(33%)
minecraft.broken.diamond_chestplate: #3, 1(25%)
minecraft.dropped.acacia_boat: #3, 1(33%)
minecraft.broken.leather_chestplate: #3, 1(33%)
minecraft.dropped.deepslate_emerald_ore: #3, 1(25%)
minecraft.mined.sandstone_wall: #4, 39(18%)
minecraft.crafted.polished_tuff: #4, 3381(8%)
minecraft.picked_up.red_nether_brick_wall: #3, 19(11%)
minecraft.used.pink_candle: #3, 38(11%)
minecraft.picked_up.cooked_beef: #4, 1253(6%)
minecraft.used.cyan_bed: #4, 122(9%)
minecraft.crafted.flower_pot: #4, 301(8%)
minecraft.picked_up.cyan_concrete: #4, 316(10%)
minecraft.used.flower_pot: #4, 209(8%)
minecraft.used.granite: #4, 2197(8%)
minecraft.dropped.diorite_wall: #3, 25(16%)
minecraft.picked_up.pufferfish_bucket: #3, 3(11%)
minecraft.crafted.raw_gold: #3, 648(11%)
minecraft.picked_up.mud_brick_wall: #4, 144(11%)
minecraft.crafted.jungle_boat: #3, 14(6%)
minecraft.used.nether_bricks: #4, 302(11%)
minecraft.dropped.white_bed: #4, 13(9%)
minecraft.mined.granite: #4, 19373(8%)
minecraft.used.hanging_roots: #3, 26(8%)
minecraft.crafted.chiseled_nether_bricks: #3, 6(12%)
minecraft.dropped.polished_blackstone: #3, 6(12%)
minecraft.picked_up.nether_brick_slab: #3, 21(9%)
minecraft.used.oak_boat: #4, 100(8%)
minecraft.picked_up.polished_tuff_wall: #4, 282(8%)
minecraft.mined.oxidized_copper: #3, 1042(4%)
minecraft.dropped.pumpkin_seeds: #4, 1146(8%)
minecraft.crafted.cherry_slab: #4, 342(13%)
minecraft.used.waxed_cut_copper_slab: #3, 41(8%)
minecraft.dropped.oak_log: #4, 753(9%)
minecraft.picked_up.sponge: #3, 640(5%)
minecraft.mined.copper_bulb: #4, 37(11%)
minecraft.mined.light_gray_stained_glass_pane: #4, 36(11%)
minecraft.mined.mud_brick_wall: #4, 93(10%)
minecraft.picked_up.pale_oak_log: #4, 3703(9%)
minecraft.crafted.composter: #4, 572(8%)
minecraft.crafted.grindstone: #4, 256(8%)
minecraft.crafted.shulker_box: #4, 898(8%)
minecraft.picked_up.pale_oak_fence_gate: #3, 7(18%)
minecraft.mined.red_stained_glass_pane: #3, 18(9%)
minecraft.used.iron_sword: #4, 1796(8%)
minecraft.mined.white_terracotta: #5, 2836(12%)
minecraft.picked_up.spore_blossom: #4, 97(11%)
minecraft.mined.lilac: #4, 77(9%)
minecraft.mined.rail: #4, 2526(7%)
minecraft.used.polished_tuff: #4, 3463(7%)
minecraft.picked_up.brown_candle: #4, 65(14%)
minecraft.crafted.brown_bed: #3, 12(14%)
minecraft.mined.acacia_slab: #4, 42(12%)
minecraft.mined.nether_brick_slab: #3, 19(9%)
minecraft.picked_up.end_crystal: #3, 9(14%)
minecraft.dropped.birch_door: #3, 4(21%)
minecraft.mined.powered_rail: #4, 519(7%)
minecraft.mined.spore_blossom: #4, 66(11%)
minecraft.picked_up.polished_blackstone_wall: #3, 23(8%)
minecraft.used.green_terracotta: #4, 627(10%)
minecraft.picked_up.waxed_cut_copper_slab: #4, 42(11%)
minecraft.mined.pale_oak_log: #4, 3619(9%)
minecraft.picked_up.deepslate_brick_wall: #4, 129(11%)
minecraft.picked_up.orange_candle: #3, 3(27%)
minecraft.picked_up.chainmail_helmet: #4, 9(9%)
minecraft.picked_up.stripped_warped_hyphae: #4, 74(16%)
minecraft.used.orange_stained_glass_pane: #4, 573(12%)
minecraft.dropped.pale_hanging_moss: #3, 33(13%)
minecraft.dropped.cooked_beef: #4, 248(6%)
minecraft.mined.sponge: #3, 584(5%)
minecraft.used.wind_charge: #4, 570(7%)
minecraft.dropped.warped_sign: #3, 19(13%)
minecraft.picked_up.polished_andesite: #4, 482(7%)
minecraft.dropped.shulker_shell: #3, 186(6%)
minecraft.custom.interact_with_crafting_table: #4, 5315(6%)
minecraft.picked_up.gray_bundle: #3, 2(11%)
minecraft.dropped.trident: #4, 14(10%)
minecraft.dropped.stone: #4, 18624(7%)
minecraft.dropped.dark_oak_sign: #3, 5(8%)
minecraft.used.golden_apple: #4, 65(13%)
minecraft.picked_up.black_dye: #5, 200(11%)
minecraft.dropped.mangrove_stairs: #3, 20(13%)
minecraft.mined.bamboo_fence_gate: #4, 30(12%)
minecraft.mined.frosted_ice: #3, 1(25%)
minecraft.dropped.coal_ore: #4, 268(8%)
minecraft.mined.moss_block: #5, 7043(10%)
minecraft.mined.black_stained_glass: #3, 195(3%)
minecraft.dropped.polished_blackstone_slab: #3, 23(10%)
minecraft.mined.dispenser: #4, 129(7%)
minecraft.picked_up.polished_blackstone: #4, 72(10%)
minecraft.mined.waxed_cut_copper_slab: #4, 42(11%)
minecraft.used.cobbled_deepslate: #4, 6582(7%)
minecraft.crafted.iron_axe: #4, 10(7%)
minecraft.mined.stripped_warped_hyphae: #4, 74(15%)
minecraft.broken.shears: #4, 51(8%)
minecraft.mined.tube_coral_block: #4, 445(11%)
minecraft.mined.water_cauldron: #4, 10(10%)
minecraft.killed.creeper: #3, 580(3%)
minecraft.crafted.cobbled_deepslate_wall: #4, 118(12%)
minecraft.used.closed_eyeblossom: #4, 13(13%)
minecraft.picked_up.brain_coral_block: #4, 431(12%)
minecraft.mined.flower_pot: #4, 22(8%)
minecraft.used.amethyst_cluster: #3, 100(4%)
minecraft.mined.beehive: #3, 142(4%)
minecraft.mined.torchflower_crop: #3, 5(22%)
minecraft.used.sponge: #3, 442(4%)
minecraft.crafted.bamboo_raft: #4, 34(10%)
minecraft.mined.magenta_candle: #3, 3(16%)
minecraft.crafted.mossy_cobblestone_wall: #4, 38(12%)
minecraft.mined.light_gray_wall_banner: #3, 4(12%)
minecraft.broken.iron_sword: #3, 4(9%)
minecraft.dropped.glass: #3, 819(3%)
minecraft.crafted.granite_wall: #3, 49(5%)
minecraft.dropped.deepslate: #4, 2214(7%)
minecraft.picked_up.red_sandstone_wall: #3, 61(9%)
minecraft.crafted.loom: #4, 141(7%)
minecraft.dropped.tube_coral_block: #3, 4(12%)
minecraft.dropped.phantom_membrane: #4, 20(8%)
minecraft.mined.cake: #3, 1(20%)
minecraft.picked_up.tube_coral_block: #4, 427(11%)
minecraft.dropped.pointed_dripstone: #4, 174(7%)
minecraft.used.stone_shovel: #4, 2308(7%)
minecraft.mined.red_sandstone_wall: #3, 39(8%)
minecraft.dropped.polished_blackstone_pressure_plate: #3, 6(14%)
minecraft.crafted.mangrove_door: #4, 12(9%)
minecraft.picked_up.polished_blackstone_button: #4, 20(9%)
minecraft.used.wet_sponge: #3, 542(5%)
minecraft.picked_up.acacia_planks: #4, 124(7%)
minecraft.used.cut_sandstone_slab: #3, 96(8%)
minecraft.mined.chiseled_bookshelf: #4, 43(8%)
minecraft.crafted.bow: #4, 136(6%)
minecraft.dropped.pink_banner: #3, 2(13%)
minecraft.used.jungle_boat: #4, 19(8%)
minecraft.dropped.acacia_button: #3, 3(13%)
minecraft.mined.wet_sponge: #3, 399(3%)
minecraft.used.cake: #4, 9(9%)
minecraft.dropped.torchflower_seeds: #3, 77(4%)
minecraft.crafted.ladder: #4, 759(6%)
minecraft.picked_up.dandelion: #3, 1285(2%)
minecraft.picked_up.purpur_pillar: #3, 105(2%)
minecraft.killed_by.zombie_villager: #3, 1(17%)
minecraft.dropped.lime_carpet: #3, 3(17%)
minecraft.used.deepslate: #5, 8047(10%)
minecraft.mined.big_dripleaf_stem: #4, 17(9%)
minecraft.dropped.raw_gold: #4, 47(11%)
minecraft.picked_up.cherry_log: #4, 1952(6%)
minecraft.dropped.wooden_axe: #4, 2(13%)
minecraft.used.cut_sandstone: #4, 410(7%)
minecraft.crafted.polished_tuff_wall: #4, 177(7%)
minecraft.mined.gray_concrete_powder: #4, 120(10%)
minecraft.mined.stripped_warped_stem: #4, 242(7%)
minecraft.dropped.dead_tube_coral_block: #3, 2(11%)
minecraft.mined.chest: #4, 969(6%)
minecraft.dropped.quartz_stairs: #3, 16(9%)
minecraft.dropped.stripped_birch_wood: #3, 10(11%)
minecraft.dropped.dark_oak_wood: #3, 3(14%)
minecraft.killed_by.magma_cube: #3, 1(14%)
minecraft.mined.red_shulker_box: #5, 1315(9%)
minecraft.used.smooth_quartz_slab: #5, 1235(11%)
minecraft.mined.brain_coral_block: #4, 452(13%)
minecraft.dropped.ominous_bottle: #4, 5(9%)
minecraft.used.end_stone_brick_wall: #3, 40(8%)
minecraft.crafted.magenta_stained_glass_pane: #3, 112(4%)
minecraft.picked_up.carrot_on_a_stick: #4, 5(13%)
minecraft.dropped.warped_stairs: #3, 3(10%)
minecraft.dropped.tuff_stairs: #3, 5(8%)
minecraft.used.diorite_wall: #3, 323(2%)
minecraft.crafted.blackstone_wall: #4, 48(12%)
minecraft.picked_up.gray_stained_glass: #4, 114(9%)
minecraft.picked_up.polished_blackstone_slab: #4, 353(14%)
minecraft.picked_up.magenta_stained_glass: #4, 87(10%)
minecraft.dropped.gray_concrete_powder: #3, 66(5%)
minecraft.picked_up.gray_bed: #3, 18(2%)
minecraft.mined.cactus_flower: #4, 12(13%)
minecraft.crafted.weathered_cut_copper_slab: #3, 64(12%)
minecraft.crafted.blackstone_slab: #4, 142(9%)
minecraft.killed.skeleton_horse: #3, 1(8%)
minecraft.picked_up.golden_hoe: #3, 1(11%)
minecraft.mined.stripped_pale_oak_log: #4, 245(7%)
minecraft.dropped.oxidized_copper_grate: #3, 16(8%)
minecraft.picked_up.prismarine_wall: #3, 49(4%)
minecraft.dropped.mud: #4, 233(7%)
minecraft.picked_up.green_stained_glass_pane: #4, 70(9%)
minecraft.picked_up.stripped_pale_oak_log: #4, 243(7%)
minecraft.dropped.brain_coral_block: #3, 4(5%)
minecraft.mined.nether_wart: #5, 1033(10%)
minecraft.killed.iron_golem: #4, 29(7%)
minecraft.dropped.light_gray_glazed_terracotta: #3, 1(10%)
minecraft.crafted.oxidized_cut_copper: #4, 84(8%)
minecraft.crafted.oak_wood: #4, 636(6%)
minecraft.dropped.tuff_brick_slab: #4, 64(11%)
minecraft.used.dark_prismarine_stairs: #4, 97(10%)
minecraft.dropped.lead: #5, 89(9%)
minecraft.mined.waxed_weathered_copper_bulb: #4, 30(9%)
minecraft.crafted.golden_chestplate: #4, 8(11%)
minecraft.dropped.ender_chest: #4, 44(6%)
minecraft.mined.crimson_fungus: #4, 55(6%)
minecraft.dropped.crimson_fungus: #3, 6(3%)
minecraft.picked_up.blue_orchid: #3, 161(2%)
minecraft.dropped.golden_chestplate: #4, 20(5%)
minecraft.used.lightning_rod: #4, 378(6%)
minecraft.picked_up.stripped_warped_stem: #4, 240(6%)
minecraft.dropped.gilded_blackstone: #3, 8(7%)
minecraft.used.nether_wart: #5, 1190(9%)
minecraft.dropped.crimson_nylium: #4, 14(21%)
minecraft.mined.gray_bed: #3, 13(1%)
minecraft.mined.birch_slab: #4, 71(7%)
minecraft.custom.happy_ghast_one_cm: #5, 1930837(8%)
minecraft.dropped.clay_ball: #4, 362(7%)
minecraft.picked_up.warped_sign: #4, 22(10%)
minecraft.used.purple_stained_glass_pane: #3, 84(2%)
minecraft.picked_up.ender_eye: #4, 13(9%)
minecraft.crafted.wooden_axe: #4, 2(11%)
minecraft.crafted.mangrove_trapdoor: #5, 444(9%)
minecraft.dropped.dried_kelp_block: #3, 65(2%)
minecraft.dropped.mangrove_fence: #4, 30(12%)
