stat, rank, value, (percentage) 
minecraft.picked_up.diamond_helmet: #27, 2(0%)
minecraft.mined.spruce_wall_sign: #27, 1(0%)
minecraft.picked_up.water_bucket: #27, 1(0%)
minecraft.used.firework_rocket: #27, 337(0%)
minecraft.picked_up.cyan_shulker_box: #27, 3(0%)
minecraft.used.cyan_shulker_box: #27, 2(0%)
minecraft.picked_up.melon_slice: #27, 13(0%)
minecraft.used.potion: #27, 8(0%)
minecraft.crafted.oak_planks: #27, 24(0%)
minecraft.custom.sleep_in_bed: #27, 2(0%)
minecraft.used.glass_bottle: #27, 3(0%)
minecraft.picked_up.bone_meal: #27, 7(0%)
minecraft.mined.short_grass: #27, 4(0%)
minecraft.mined.melon: #27, 1(0%)
minecraft.crafted.stick: #27, 4(0%)
minecraft.picked_up.gunpowder: #27, 1(0%)
minecraft.dropped.wheat_seeds: #27, 1(0%)
minecraft.used.bone_meal: #27, 1(0%)
minecraft.used.diamond_pickaxe: #27, 20(0%)
minecraft.picked_up.firework_rocket: #28, 445(0%)
minecraft.custom.sprint_one_cm: #28, 1777272(0%)
minecraft.custom.walk_one_cm: #28, 1194280(0%)
minecraft.custom.sneak_time: #28, 30706(0%)
minecraft.picked_up.spruce_planks: #28, 10(0%)
minecraft.custom.climb_one_cm: #28, 23831(0%)
minecraft.dropped.cooked_beef: #28, 1(0%)
minecraft.used.spyglass: #28, 1(0%)
minecraft.mined.crafting_table: #28, 1(0%)
minecraft.custom.open_chest: #28, 74(0%)
minecraft.picked_up.egg: #28, 2(0%)
minecraft.picked_up.sweet_berries: #28, 1(0%)
minecraft.custom.talked_to_villager: #28, 1(0%)
minecraft.picked_up.rotten_flesh: #28, 2(0%)
minecraft.dropped.rotten_flesh: #28, 1(0%)
minecraft.picked_up.wheat_seeds: #28, 1(0%)
minecraft.killed_by.player: #29, 5(0%)
minecraft.custom.deaths: #29, 31(0%)
minecraft.picked_up.golden_carrot: #29, 71(0%)
minecraft.custom.jump: #29, 4504(0%)
minecraft.custom.open_barrel: #29, 57(0%)
minecraft.picked_up.crafting_table: #29, 1(0%)
minecraft.picked_up.iron_nugget: #29, 1(0%)
minecraft.custom.open_shulker_box: #29, 55(0%)
minecraft.custom.interact_with_crafting_table: #29, 3(0%)
minecraft.custom.walk_under_water_one_cm: #30, 402770(0%)
minecraft.custom.interact_with_loom: #30, 2(0%)
minecraft.custom.open_enderchest: #30, 19(0%)
minecraft.custom.damage_taken: #30, 30471(0%)
minecraft.picked_up.glass_bottle: #30, 2(0%)
minecraft.picked_up.stick: #30, 3(0%)
minecraft.picked_up.shulker_box: #30, 1(0%)
minecraft.custom.fall_one_cm: #31, 385726(0%)
minecraft.custom.swim_one_cm: #31, 110086(0%)
minecraft.custom.damage_resisted: #31, 186(0%)
minecraft.picked_up.diamond_pickaxe: #31, 1(0%)
minecraft.picked_up.ender_pearl: #31, 12(0%)
minecraft.custom.drop: #32, 29(0%)
minecraft.dropped.firework_rocket: #32, 1(0%)
minecraft.used.shulker_box: #32, 1(0%)
minecraft.custom.interact_with_lectern: #33, 7(0%)
minecraft.custom.inspect_dropper: #33, 4(0%)
minecraft.picked_up.carved_pumpkin: #34, 2(0%)
minecraft.used.cooked_beef: #35, 13(0%)
minecraft.custom.walk_on_water_one_cm: #35, 23480(0%)
minecraft.picked_up.armadillo_scute: #35, 2(0%)
minecraft.custom.leave_game: #37, 22(0%)
minecraft.custom.total_world_time: #38, 791890(0%)
minecraft.custom.play_time: #38, 791890(0%)
minecraft.custom.fly_one_cm: #41, 932279(0%)
minecraft.custom.time_since_rest: #43, 6441(0%)
minecraft.custom.time_since_death: #45, 6410(0%)
