stat, rank, value, (percentage) 
minecraft.mined.cyan_wall_banner: #6, 2(4%)
minecraft.picked_up.spire_armor_trim_smithing_template: #6, 1(4%)
minecraft.picked_up.nether_brick_stairs: #6, 2(3%)
minecraft.used.melon: #7, 51(5%)
minecraft.picked_up.melon_slice: #7, 2793(4%)
minecraft.mined.lantern: #7, 76(5%)
minecraft.mined.tuff_bricks: #7, 1545(5%)
minecraft.used.red_nether_bricks: #6, 16(2%)
minecraft.used.yellow_shulker_box: #7, 251(4%)
minecraft.crafted.red_carpet: #6, 96(1%)
minecraft.mined.nether_wart: #7, 507(5%)
minecraft.picked_up.tuff_brick_slab: #7, 206(5%)
minecraft.picked_up.melon_seeds: #7, 73(5%)
minecraft.used.chiseled_deepslate: #6, 123(1%)
minecraft.picked_up.light_gray_concrete_powder: #7, 342(4%)
minecraft.picked_up.tuff_brick_stairs: #7, 113(5%)
minecraft.crafted.spruce_door: #7, 30(5%)
minecraft.crafted.iron_helmet: #7, 6(4%)
minecraft.picked_up.mangrove_slab: #7, 139(4%)
minecraft.used.bricks: #7, 678(4%)
minecraft.crafted.iron_leggings: #7, 6(4%)
minecraft.picked_up.light_gray_stained_glass: #7, 75(4%)
minecraft.crafted.iron_boots: #7, 6(3%)
minecraft.picked_up.polished_tuff_slab: #8, 350(7%)
minecraft.crafted.netherite_scrap: #7, 36(5%)
minecraft.picked_up.chainmail_boots: #7, 6(4%)
minecraft.used.cyan_carpet: #7, 60(4%)
minecraft.mined.melon_stem: #7, 9(3%)
minecraft.picked_up.cyan_carpet: #7, 27(3%)
minecraft.mined.cyan_carpet: #7, 19(3%)
minecraft.used.spruce_planks: #8, 2867(6%)
minecraft.mined.lily_pad: #7, 69(2%)
minecraft.mined.mangrove_fence: #7, 26(3%)
minecraft.picked_up.spruce_stairs: #8, 347(5%)
minecraft.dropped.nether_wart: #7, 15(3%)
minecraft.mined.acacia_wall_hanging_sign: #7, 1(6%)
minecraft.crafted.spruce_slab: #8, 3588(5%)
minecraft.mined.chorus_plant: #7, 25(2%)
minecraft.used.light_gray_stained_glass: #7, 309(2%)
minecraft.mined.polished_tuff: #8, 594(5%)
minecraft.dropped.mossy_cobblestone: #7, 45(2%)
minecraft.used.cyan_banner: #7, 4(2%)
minecraft.dropped.dragon_head: #7, 2(4%)
minecraft.crafted.cobblestone_stairs: #7, 76(1%)
minecraft.dropped.cobbled_deepslate: #7, 1467(1%)
minecraft.used.tuff_brick_slab: #8, 542(6%)
minecraft.mined.peony: #8, 32(5%)
minecraft.mined.oak_hanging_sign: #7, 1(2%)
minecraft.picked_up.mangrove_pressure_plate: #7, 1(2%)
minecraft.mined.mangrove_stairs: #8, 43(6%)
minecraft.used.nether_brick_slab: #7, 13(2%)
minecraft.picked_up.polished_tuff_wall: #8, 166(5%)
minecraft.crafted.tuff_stairs: #7, 6(1%)
minecraft.picked_up.nether_bricks: #8, 411(5%)
minecraft.used.exposed_cut_copper_slab: #7, 1(1%)
minecraft.used.red_carpet: #7, 73(0%)
minecraft.crafted.polished_basalt: #8, 512(4%)
minecraft.used.iron_chestplate: #8, 2(6%)
minecraft.mined.attached_melon_stem: #8, 7(4%)
minecraft.used.polished_deepslate_wall: #8, 340(4%)
minecraft.crafted.netherite_axe: #8, 1(7%)
minecraft.picked_up.copper_bulb: #8, 21(4%)
minecraft.mined.polished_deepslate: #8, 150(3%)
minecraft.used.dark_oak_door: #8, 9(5%)
minecraft.used.copper_bulb: #8, 33(4%)
minecraft.used.iron_leggings: #8, 1(7%)
minecraft.used.tnt: #8, 409(3%)
minecraft.used.polished_deepslate_stairs: #8, 222(3%)
minecraft.used.cyan_wool: #8, 179(3%)
minecraft.crafted.mangrove_stairs: #8, 132(3%)
minecraft.mined.polished_basalt: #8, 40(3%)
minecraft.mined.coarse_dirt: #8, 499(2%)
minecraft.used.mangrove_stairs: #8, 124(3%)
minecraft.mined.tnt: #8, 64(3%)
minecraft.crafted.netherite_sword: #8, 1(5%)
minecraft.dropped.cooked_chicken: #8, 77(2%)
minecraft.broken.stone_pickaxe: #8, 2(4%)
minecraft.used.polished_basalt: #8, 215(2%)
minecraft.used.polished_tuff: #9, 2554(5%)
minecraft.mined.tuff: #9, 14007(5%)
minecraft.picked_up.mangrove_fence: #8, 26(2%)
minecraft.picked_up.cyan_banner: #8, 2(2%)
minecraft.mined.dark_oak_door: #8, 2(2%)
minecraft.crafted.chiseled_deepslate: #8, 3(2%)
minecraft.killed.creeper: #8, 211(1%)
minecraft.used.cobblestone_stairs: #8, 101(1%)
minecraft.mined.exposed_cut_copper_slab: #8, 2(2%)
minecraft.broken.stone_hoe: #8, 1(2%)
minecraft.used.brick_slab: #8, 28(1%)
minecraft.mined.oak_wall_hanging_sign: #8, 1(1%)
minecraft.crafted.cut_copper_stairs: #8, 4(1%)
minecraft.used.nether_gold_ore: #8, 4(1%)
minecraft.crafted.cherry_stairs: #8, 4(1%)
minecraft.crafted.purple_bed: #8, 1(1%)
minecraft.crafted.oak_fence: #9, 186(4%)
minecraft.picked_up.mangrove_planks: #9, 170(4%)
minecraft.used.green_terracotta: #9, 293(4%)
minecraft.crafted.netherite_pickaxe: #9, 2(5%)
minecraft.mined.pumpkin_stem: #9, 19(4%)
minecraft.mined.end_rod: #9, 175(3%)
minecraft.mined.smithing_table: #9, 15(3%)
minecraft.crafted.dark_oak_stairs: #9, 192(3%)
minecraft.crafted.green_terracotta: #9, 504(3%)
minecraft.picked_up.smithing_table: #9, 15(3%)
minecraft.used.bundle: #9, 28(2%)
minecraft.crafted.netherite_shovel: #9, 1(5%)
minecraft.mined.polished_deepslate_slab: #9, 50(2%)
minecraft.crafted.dark_oak_door: #9, 9(3%)
minecraft.picked_up.coarse_dirt: #9, 498(2%)
