stat, rank, value, (percentage) 
minecraft.picked_up.purple_shulker_box: #16, 20(1%)
minecraft.picked_up.andesite_slab: #16, 13(1%)
minecraft.used.purple_shulker_box: #16, 20(1%)
minecraft.crafted.firework_rocket: #16, 2130(1%)
minecraft.picked_up.netherite_sword: #16, 2(1%)
minecraft.picked_up.heavy_weighted_pressure_plate: #16, 1(1%)
minecraft.mined.mossy_cobblestone_slab: #16, 1(1%)
minecraft.picked_up.tuff_brick_wall: #16, 7(0%)
minecraft.used.shroomlight: #16, 13(0%)
minecraft.picked_up.brown_carpet: #16, 8(0%)
minecraft.picked_up.wither_skeleton_skull: #16, 3(0%)
minecraft.picked_up.bookshelf: #16, 7(0%)
minecraft.used.oxeye_daisy: #16, 1(0%)
minecraft.mined.cobbled_deepslate_stairs: #16, 4(0%)
minecraft.crafted.leather_helmet: #16, 1(0%)
minecraft.mined.mossy_stone_bricks: #16, 17(0%)
minecraft.mined.acacia_wood: #16, 3(0%)
minecraft.crafted.raw_iron_block: #16, 17(0%)
minecraft.picked_up.honey_block: #16, 64(0%)
minecraft.picked_up.dandelion: #16, 156(0%)
minecraft.crafted.red_banner: #16, 2(0%)
minecraft.crafted.mossy_stone_bricks: #16, 47(0%)
minecraft.used.lilac: #16, 2(0%)
minecraft.dropped.packed_mud: #16, 4(0%)
minecraft.picked_up.blackstone_slab: #16, 1(0%)
minecraft.picked_up.ender_pearl: #17, 5708(2%)
minecraft.picked_up.rotten_flesh: #17, 2623(2%)
minecraft.used.spruce_log: #17, 838(2%)
minecraft.used.iron_pickaxe: #17, 1008(2%)
minecraft.picked_up.iron_leggings: #17, 4(2%)
minecraft.used.white_bed: #17, 110(2%)
minecraft.picked_up.wheat_seeds: #17, 9572(1%)
minecraft.picked_up.quartz: #17, 1136(2%)
minecraft.picked_up.filled_map: #17, 263(1%)
minecraft.used.piston: #17, 205(1%)
minecraft.picked_up.diamond_chestplate: #17, 5(1%)
minecraft.mined.oak_fence: #17, 53(1%)
minecraft.picked_up.oak_trapdoor: #17, 32(1%)
minecraft.broken.iron_axe: #17, 1(2%)
minecraft.used.decorated_pot: #17, 46(1%)
minecraft.used.bookshelf: #17, 43(1%)
minecraft.mined.moss_block: #17, 722(1%)
minecraft.used.enchanting_table: #17, 1(1%)
minecraft.killed.magma_cube: #17, 73(1%)
minecraft.crafted.flower_pot: #17, 38(1%)
minecraft.mined.redstone_block: #17, 49(1%)
minecraft.crafted.enchanted_book: #17, 51(1%)
minecraft.picked_up.rose_bush: #17, 88(1%)
minecraft.crafted.dark_oak_fence: #17, 72(1%)
minecraft.used.cobbled_deepslate: #17, 890(1%)
minecraft.mined.sunflower: #17, 49(1%)
minecraft.mined.blackstone: #17, 398(1%)
minecraft.mined.nether_gold_ore: #17, 36(1%)
minecraft.picked_up.dripstone_block: #17, 331(1%)
minecraft.mined.dripstone_block: #17, 360(1%)
minecraft.crafted.cauldron: #17, 15(1%)
minecraft.mined.mangrove_propagule: #17, 19(1%)
minecraft.mined.cauldron: #17, 2(1%)
minecraft.mined.mangrove_trapdoor: #17, 6(1%)
minecraft.crafted.fishing_rod: #17, 3(1%)
minecraft.used.andesite_slab: #17, 65(1%)
minecraft.mined.stone_stairs: #17, 11(1%)
minecraft.mined.cactus: #17, 14(1%)
minecraft.crafted.tuff_slab: #17, 26(1%)
minecraft.crafted.smoker: #17, 4(1%)
minecraft.picked_up.mangrove_log: #17, 223(1%)
minecraft.used.damaged_anvil: #17, 1(1%)
minecraft.dropped.iron_nugget: #17, 85(0%)
minecraft.picked_up.smooth_quartz_slab: #17, 15(0%)
minecraft.crafted.polished_tuff_wall: #17, 13(1%)
minecraft.mined.nether_brick_fence: #17, 2(0%)
minecraft.used.ender_pearl: #17, 39(0%)
minecraft.mined.red_tulip: #17, 8(0%)
minecraft.crafted.polished_andesite: #17, 64(0%)
minecraft.crafted.tripwire_hook: #17, 8(0%)
minecraft.picked_up.cobblestone_slab: #17, 20(0%)
minecraft.used.quartz_stairs: #17, 27(0%)
minecraft.crafted.white_stained_glass_pane: #17, 64(0%)
minecraft.mined.cobblestone_slab: #17, 12(0%)
minecraft.picked_up.nether_gold_ore: #17, 4(0%)
minecraft.picked_up.mangrove_leaves: #17, 267(0%)
minecraft.crafted.charcoal: #17, 34(0%)
minecraft.used.mangrove_trapdoor: #17, 12(0%)
minecraft.mined.quartz_stairs: #17, 6(0%)
minecraft.used.mangrove_roots: #17, 68(0%)
minecraft.picked_up.cobblestone_stairs: #17, 7(0%)
minecraft.mined.lily_of_the_valley: #17, 2(0%)
minecraft.dropped.sugar_cane: #17, 40(0%)
minecraft.used.deepslate_gold_ore: #17, 8(0%)
minecraft.mined.blackstone_slab: #17, 1(0%)
minecraft.mined.light_blue_wool: #17, 1(0%)
minecraft.used.mangrove_propagule: #17, 7(0%)
minecraft.used.mossy_cobblestone_slab: #17, 1(0%)
minecraft.picked_up.orange_stained_glass: #17, 1(0%)
minecraft.crafted.air: #17, 0(0%)
minecraft.picked_up.golden_helmet: #18, 8(2%)
minecraft.picked_up.obsidian: #18, 418(2%)
minecraft.crafted.diamond_helmet: #18, 2(2%)
minecraft.crafted.rail: #18, 640(2%)
minecraft.picked_up.golden_leggings: #18, 7(2%)
minecraft.mined.obsidian: #18, 270(1%)
minecraft.custom.interact_with_stonecutter: #18, 160(1%)
minecraft.used.iron_axe: #18, 361(2%)
minecraft.crafted.iron_pickaxe: #18, 5(1%)
minecraft.mined.oak_trapdoor: #18, 26(1%)
minecraft.crafted.iron_axe: #18, 2(1%)
minecraft.picked_up.oak_fence: #18, 61(1%)
minecraft.mined.oxeye_daisy: #18, 17(1%)
minecraft.crafted.painting: #18, 31(1%)
minecraft.mined.cornflower: #18, 22(1%)
minecraft.crafted.oak_button: #18, 8(1%)
minecraft.picked_up.diamond: #18, 808(1%)
minecraft.picked_up.vine: #18, 65(1%)
minecraft.crafted.polished_tuff_slab: #18, 30(1%)
minecraft.used.kelp: #18, 141(1%)
minecraft.picked_up.dark_oak_stairs: #18, 15(1%)
minecraft.mined.chain: #18, 30(1%)
minecraft.mined.tripwire: #18, 12(1%)
minecraft.used.mace: #18, 118(1%)
minecraft.used.oak_planks: #18, 95(1%)
minecraft.picked_up.shulker_shell: #18, 125(1%)
minecraft.broken.fishing_rod: #18, 1(1%)
minecraft.used.fishing_rod: #18, 265(1%)
minecraft.picked_up.flower_pot: #18, 7(1%)
minecraft.picked_up.terracotta: #18, 1106(1%)
minecraft.picked_up.dark_oak_planks: #18, 39(1%)
minecraft.mined.mangrove_log: #18, 183(1%)
minecraft.killed.piglin: #18, 6(1%)
minecraft.picked_up.glass_pane: #18, 15(1%)
minecraft.picked_up.nautilus_shell: #18, 4(1%)
minecraft.picked_up.music_disc_13: #18, 2(1%)
minecraft.mined.dark_oak_fence: #18, 15(0%)
minecraft.picked_up.nether_brick_fence: #18, 3(0%)
minecraft.used.smoker: #18, 2(0%)
minecraft.mined.redstone_lamp: #18, 3(0%)
minecraft.mined.oak_stairs: #18, 9(0%)
minecraft.crafted.decorated_pot: #18, 37(0%)
minecraft.picked_up.netherite_axe: #18, 1(0%)
minecraft.crafted.cyan_dye: #18, 66(0%)
minecraft.crafted.light_blue_dye: #18, 64(0%)
minecraft.mined.white_tulip: #18, 4(0%)
minecraft.used.deepslate_lapis_ore: #18, 5(0%)
minecraft.crafted.mangrove_trapdoor: #18, 10(0%)
minecraft.picked_up.cherry_trapdoor: #18, 2(0%)
minecraft.picked_up.redstone_lamp: #18, 3(0%)
minecraft.used.brown_carpet: #18, 8(0%)
minecraft.picked_up.flint_and_steel: #18, 3(0%)
minecraft.picked_up.quartz_stairs: #18, 6(0%)
minecraft.picked_up.acacia_wood: #18, 3(0%)
minecraft.picked_up.lily_of_the_valley: #18, 2(0%)
minecraft.crafted.wooden_shovel: #18, 1(0%)
minecraft.crafted.cobblestone_slab: #18, 12(0%)
minecraft.used.smooth_quartz: #18, 34(0%)
minecraft.crafted.stone_brick_slab: #18, 12(0%)
minecraft.used.stripped_dark_oak_wood: #18, 2(0%)
minecraft.used.terracotta: #18, 22(0%)
minecraft.picked_up.white_stained_glass_pane: #18, 1(0%)
minecraft.mined.raw_iron_block: #18, 1(0%)
minecraft.picked_up.raw_iron_block: #18, 1(0%)
minecraft.used.oxidized_cut_copper_slab: #18, 1(0%)
minecraft.killed.zombified_piglin: #18, 17(0%)
minecraft.crafted.chest: #19, 1009(1%)
minecraft.picked_up.spruce_trapdoor: #19, 233(1%)
minecraft.mined.deepslate: #19, 11144(1%)
minecraft.used.painting: #19, 77(1%)
minecraft.used.soul_sand: #19, 149(1%)
minecraft.crafted.stone_pickaxe: #19, 2(1%)
minecraft.used.white_shulker_box: #19, 94(1%)
minecraft.picked_up.spruce_sapling: #19, 427(1%)
minecraft.mined.nether_quartz_ore: #19, 497(1%)
minecraft.crafted.iron_bars: #19, 304(1%)
minecraft.mined.oak_slab: #19, 18(1%)
minecraft.mined.azure_bluet: #19, 21(1%)
minecraft.mined.sugar_cane: #19, 867(1%)
minecraft.used.dark_oak_fence: #19, 63(1%)
minecraft.crafted.oak_door: #19, 3(1%)
minecraft.used.redstone_block: #19, 100(1%)
minecraft.mined.deepslate_gold_ore: #19, 143(1%)
minecraft.picked_up.mangrove_trapdoor: #19, 6(1%)
minecraft.crafted.spruce_wood: #19, 48(0%)
minecraft.crafted.shulker_box: #19, 50(0%)
minecraft.used.stone_bricks: #19, 463(0%)
minecraft.used.diamond_hoe: #19, 2770(0%)
minecraft.mined.mangrove_leaves: #19, 689(0%)
minecraft.picked_up.sugar_cane: #19, 1747(0%)
minecraft.mined.cherry_trapdoor: #19, 2(0%)
minecraft.picked_up.oak_stairs: #19, 13(0%)
minecraft.killed.blaze: #19, 43(0%)
minecraft.used.spruce_wood: #19, 41(0%)
minecraft.crafted.raw_copper_block: #19, 137(0%)
minecraft.picked_up.red_mushroom: #19, 6(0%)
minecraft.crafted.dark_oak_trapdoor: #19, 34(0%)
minecraft.picked_up.orange_shulker_box: #19, 13(0%)
minecraft.picked_up.acacia_sign: #19, 1(0%)
minecraft.used.mangrove_log: #19, 40(0%)
minecraft.dropped.gunpowder: #19, 71(0%)
minecraft.mined.orange_shulker_box: #19, 13(0%)
minecraft.used.orange_shulker_box: #19, 13(0%)
minecraft.picked_up.oxeye_daisy: #19, 21(0%)
minecraft.mined.smooth_quartz_stairs: #19, 5(0%)
minecraft.crafted.orange_shulker_box: #19, 1(0%)
minecraft.picked_up.mossy_stone_bricks: #19, 17(0%)
minecraft.mined.potatoes: #19, 15(0%)
minecraft.picked_up.smooth_quartz_stairs: #19, 5(0%)
minecraft.mined.smooth_quartz: #19, 25(0%)
minecraft.used.smooth_quartz_slab: #19, 24(0%)
minecraft.mined.cobblestone_stairs: #19, 6(0%)
minecraft.picked_up.smooth_quartz: #19, 25(0%)
minecraft.dropped.moss_block: #19, 57(0%)
minecraft.picked_up.chorus_fruit: #19, 43(0%)
minecraft.used.stone_brick_wall: #19, 8(0%)
minecraft.picked_up.tuff_slab: #19, 3(0%)
minecraft.picked_up.cyan_bed: #19, 2(0%)
minecraft.used.birch_planks: #19, 21(0%)
minecraft.crafted.polished_tuff: #19, 50(0%)
minecraft.picked_up.end_stone_bricks: #19, 4(0%)
minecraft.crafted.acacia_stairs: #19, 4(0%)
minecraft.used.bread: #19, 11(0%)
minecraft.used.basalt: #19, 16(0%)
minecraft.used.oak_sapling: #19, 30(0%)
minecraft.used.cherry_trapdoor: #19, 2(0%)
minecraft.mined.smooth_stone: #19, 18(0%)
minecraft.used.quartz_block: #19, 19(0%)
minecraft.used.podzol: #19, 2(0%)
minecraft.used.spruce_leaves: #19, 9(0%)
minecraft.used.blackstone_slab: #19, 1(0%)
minecraft.picked_up.light_blue_wool: #19, 1(0%)
minecraft.crafted.wooden_pickaxe: #20, 1(2%)
minecraft.mined.chest: #20, 304(2%)
minecraft.picked_up.iron_boots: #20, 4(1%)
minecraft.picked_up.painting: #20, 59(1%)
minecraft.mined.soul_sand: #20, 270(1%)
minecraft.picked_up.soul_sand: #20, 335(1%)
minecraft.mined.stonecutter: #20, 17(1%)
minecraft.used.stonecutter: #20, 18(1%)
minecraft.picked_up.chest: #20, 305(1%)
minecraft.killed.cow: #20, 101(1%)
minecraft.mined.cobbled_deepslate: #20, 176(1%)
minecraft.dropped.netherrack: #20, 949(1%)
minecraft.used.obsidian: #20, 154(1%)
minecraft.crafted.emerald: #20, 3856(1%)
minecraft.used.observer: #20, 213(1%)
minecraft.picked_up.blue_dye: #20, 7(1%)
minecraft.crafted.cooked_beef: #20, 90(1%)
minecraft.picked_up.blackstone: #20, 379(1%)
minecraft.picked_up.netherite_pickaxe: #20, 4(1%)
minecraft.crafted.chiseled_tuff_bricks: #20, 6(1%)
minecraft.used.iron_bars: #20, 144(1%)
minecraft.used.flint_and_steel: #20, 42(1%)
minecraft.dropped.golden_chestplate: #20, 2(1%)
minecraft.picked_up.tnt: #20, 64(1%)
minecraft.picked_up.oak_leaves: #20, 851(0%)
minecraft.crafted.powered_rail: #20, 96(0%)
minecraft.killed.enderman: #20, 4516(0%)
minecraft.mined.deepslate_iron_ore: #20, 95(0%)
minecraft.mined.andesite_slab: #20, 5(0%)
minecraft.mined.damaged_anvil: #20, 1(1%)
minecraft.picked_up.damaged_anvil: #20, 1(0%)
minecraft.dropped.leather_boots: #20, 2(0%)
minecraft.picked_up.tropical_fish: #20, 5(0%)
minecraft.crafted.smooth_stone: #20, 131(0%)
minecraft.mined.glow_lichen: #20, 86(0%)
minecraft.picked_up.dark_oak_fence: #20, 15(0%)
minecraft.used.coarse_dirt: #20, 236(0%)
minecraft.picked_up.grass_block: #20, 3401(0%)
minecraft.crafted.ender_chest: #20, 3(0%)
minecraft.used.moss_carpet: #20, 98(0%)
minecraft.mined.brewing_stand: #20, 2(0%)
minecraft.crafted.redstone_torch: #20, 140(0%)
minecraft.picked_up.cobbled_deepslate_stairs: #20, 4(0%)
minecraft.mined.bookshelf: #20, 7(0%)
minecraft.mined.cyan_bed: #20, 2(0%)
minecraft.picked_up.cornflower: #20, 25(0%)
minecraft.picked_up.mangrove_propagule: #20, 29(0%)
minecraft.crafted.quartz_block: #20, 144(0%)
minecraft.crafted.red_shulker_box: #20, 1(0%)
minecraft.crafted.jungle_stairs: #20, 4(0%)
minecraft.picked_up.red_tulip: #20, 9(0%)
minecraft.used.tuff_slab: #20, 6(0%)
minecraft.mined.white_stained_glass_pane: #20, 1(0%)
minecraft.picked_up.cyan_dye: #20, 1(0%)
minecraft.crafted.raw_copper: #20, 189(0%)
minecraft.used.sunflower: #20, 2(0%)
minecraft.mined.orange_tulip: #20, 1(0%)
minecraft.used.stone_shovel: #20, 19(0%)
minecraft.used.iron_shovel: #20, 40(0%)
minecraft.used.sea_pickle: #20, 2(0%)
minecraft.dropped.armadillo_scute: #20, 3(0%)
minecraft.crafted.tuff_bricks: #20, 2(0%)
minecraft.used.glowstone: #20, 1(0%)
minecraft.used.poppy: #20, 1(0%)
minecraft.picked_up.leather_leggings: #21, 7(1%)
minecraft.custom.open_enderchest: #21, 1162(1%)
minecraft.picked_up.leather_boots: #21, 7(1%)
minecraft.used.cauldron: #21, 13(1%)
minecraft.mined.andesite: #21, 3157(1%)
minecraft.mined.iron_bars: #21, 47(1%)
minecraft.custom.interact_with_smithing_table: #21, 14(1%)
minecraft.mined.spruce_wall_sign: #21, 6(1%)
minecraft.crafted.furnace: #21, 79(1%)
minecraft.custom.talked_to_villager: #21, 558(1%)
minecraft.used.shulker_box: #21, 568(1%)
minecraft.picked_up.golden_boots: #21, 6(1%)
minecraft.mined.deepslate_redstone_ore: #21, 475(1%)
minecraft.mined.deepslate_lapis_ore: #21, 76(1%)
minecraft.mined.shulker_box: #21, 569(1%)
minecraft.picked_up.porkchop: #21, 36(1%)
minecraft.used.cooked_beef: #21, 131(1%)
minecraft.dropped.saddle: #21, 1(1%)
minecraft.used.spruce_trapdoor: #21, 446(1%)
minecraft.crafted.redstone_block: #21, 201(1%)
minecraft.dropped.netherite_pickaxe: #21, 1(1%)
minecraft.picked_up.salmon: #21, 45(1%)
minecraft.picked_up.blaze_rod: #21, 84(1%)
minecraft.crafted.cyan_shulker_box: #21, 1(1%)
minecraft.custom.happy_ghast_one_cm: #21, 113000(0%)
minecraft.crafted.spruce_trapdoor: #21, 246(0%)
minecraft.used.stone_axe: #21, 53(0%)
minecraft.dropped.oak_planks: #21, 12(0%)
minecraft.crafted.stone_bricks: #21, 532(0%)
minecraft.picked_up.decorated_pot: #21, 9(0%)
minecraft.mined.mangrove_roots: #21, 268(0%)
minecraft.used.oak_door: #21, 1(0%)
minecraft.used.grass_block: #21, 1511(0%)
minecraft.picked_up.moss_carpet: #21, 246(0%)
minecraft.custom.horse_one_cm: #21, 2347199(0%)
minecraft.picked_up.netherite_helmet: #21, 1(0%)
minecraft.picked_up.chicken: #21, 26(0%)
minecraft.picked_up.mangrove_roots: #21, 266(0%)
minecraft.used.glass_pane: #21, 10(0%)
minecraft.picked_up.netherite_leggings: #21, 1(0%)
minecraft.custom.time_since_rest: #21, 110675(0%)
minecraft.picked_up.brewing_stand: #21, 2(0%)
minecraft.used.dark_oak_slab: #21, 33(0%)
minecraft.used.glow_lichen: #21, 61(0%)
minecraft.used.iron_sword: #21, 40(0%)
minecraft.used.potato: #21, 15(0%)
minecraft.picked_up.glow_lichen: #21, 85(0%)
minecraft.picked_up.azure_bluet: #21, 25(0%)
minecraft.mined.dark_oak_slab: #21, 4(0%)
minecraft.mined.smooth_stone_slab: #21, 11(0%)
minecraft.picked_up.gunpowder: #21, 195(0%)
minecraft.crafted.stone: #21, 16(0%)
minecraft.used.acacia_sign: #21, 1(0%)
minecraft.mined.end_stone_bricks: #21, 2(0%)
minecraft.crafted.ender_eye: #21, 3(0%)
minecraft.mined.cherry_leaves: #21, 32(0%)
minecraft.mined.pink_petals: #21, 6(0%)
minecraft.used.smooth_quartz_stairs: #21, 5(0%)
minecraft.mined.fern: #21, 4(0%)
minecraft.mined.acacia_leaves: #21, 21(0%)
minecraft.crafted.smooth_stone_slab: #21, 24(0%)
minecraft.picked_up.white_tulip: #21, 4(0%)
minecraft.mined.polished_granite: #21, 1(0%)
minecraft.mined.gray_carpet: #21, 1(0%)
minecraft.mined.quartz_block: #21, 4(0%)
minecraft.picked_up.sculk_sensor: #21, 2(0%)
minecraft.mined.sea_pickle: #21, 1(0%)
minecraft.picked_up.purple_wool: #21, 3(0%)
minecraft.used.stone_brick_slab: #21, 7(0%)
minecraft.picked_up.quartz_block: #21, 4(0%)
minecraft.picked_up.podzol: #21, 4(0%)
minecraft.used.brown_shulker_box: #21, 1(0%)
minecraft.picked_up.orange_tulip: #21, 1(0%)
minecraft.used.gray_carpet: #21, 1(0%)
minecraft.crafted.polished_deepslate: #21, 2(0%)
minecraft.used.oak_sign: #22, 32(1%)
minecraft.picked_up.andesite: #22, 3145(1%)
minecraft.used.diamond_axe: #22, 11772(1%)
minecraft.picked_up.iron_chestplate: #22, 3(1%)
minecraft.crafted.diamond_sword: #22, 2(1%)
minecraft.picked_up.stonecutter: #22, 17(1%)
minecraft.picked_up.redstone: #22, 2883(1%)
minecraft.used.netherrack: #22, 680(1%)
minecraft.picked_up.iron_nugget: #22, 93(1%)
minecraft.crafted.diamond_hoe: #22, 1(1%)
minecraft.mined.iron_block: #22, 355(1%)
minecraft.picked_up.diamond_helmet: #22, 4(1%)
minecraft.picked_up.shulker_box: #22, 571(1%)
minecraft.picked_up.saddle: #22, 6(1%)
minecraft.picked_up.coal: #22, 1956(1%)
minecraft.mined.barrel: #22, 28(1%)
minecraft.picked_up.raw_iron: #22, 490(1%)
minecraft.crafted.paper: #22, 1365(1%)
minecraft.crafted.book: #22, 53(1%)
minecraft.mined.anvil: #22, 5(1%)
minecraft.mined.oak_leaves: #22, 1052(1%)
minecraft.killed.trader_llama: #22, 2(1%)
minecraft.killed.wandering_trader: #22, 1(1%)
minecraft.picked_up.chain: #22, 30(0%)
minecraft.crafted.hopper_minecart: #22, 5(0%)
minecraft.mined.fire: #22, 76(0%)
minecraft.picked_up.oak_slab: #22, 19(0%)
minecraft.picked_up.redstone_block: #22, 54(0%)
minecraft.picked_up.name_tag: #22, 4(0%)
minecraft.mined.deepslate_diamond_ore: #22, 239(0%)
minecraft.picked_up.fishing_rod: #22, 4(0%)
minecraft.used.dark_oak_trapdoor: #22, 39(0%)
minecraft.crafted.iron_sword: #22, 1(0%)
minecraft.used.oak_log: #22, 60(0%)
minecraft.mined.brown_mushroom: #22, 7(0%)
minecraft.mined.stone_bricks: #22, 127(0%)
minecraft.mined.kelp_plant: #22, 22(0%)
minecraft.crafted.lapis_lazuli: #22, 63(0%)
minecraft.mined.redstone_wall_torch: #22, 4(0%)
minecraft.custom.enchant_item: #22, 10(0%)
minecraft.used.elytra: #22, 5(0%)
minecraft.picked_up.netherite_boots: #22, 1(0%)
minecraft.killed.skeleton: #22, 143(0%)
minecraft.mined.poppy: #22, 16(0%)
minecraft.picked_up.gold_ingot: #22, 67(0%)
minecraft.crafted.armor_stand: #22, 19(0%)
minecraft.used.tuff: #22, 159(0%)
minecraft.picked_up.flowering_azalea: #22, 30(0%)
minecraft.picked_up.moss_block: #22, 725(0%)
minecraft.dropped.golden_boots: #22, 1(0%)
minecraft.used.brewing_stand: #22, 2(0%)
minecraft.mined.blast_furnace: #22, 1(0%)
minecraft.crafted.iron_shovel: #22, 1(0%)
minecraft.mined.decorated_pot: #22, 10(0%)
minecraft.picked_up.azalea: #22, 42(0%)
minecraft.picked_up.blast_furnace: #22, 1(0%)
minecraft.mined.birch_planks: #22, 6(0%)
minecraft.picked_up.gray_shulker_box: #22, 9(0%)
minecraft.crafted.red_dye: #22, 92(0%)
minecraft.picked_up.spider_eye: #22, 80(0%)
minecraft.crafted.composter: #22, 10(0%)
minecraft.used.air: #22, 65(0%)
minecraft.used.stone_brick_stairs: #22, 14(0%)
minecraft.mined.gray_shulker_box: #22, 7(0%)
minecraft.used.gray_shulker_box: #22, 7(0%)
minecraft.used.bamboo_sign: #22, 5(0%)
minecraft.picked_up.potato: #22, 45(0%)
minecraft.picked_up.packed_ice: #22, 204(0%)
minecraft.picked_up.dark_oak_slab: #22, 5(0%)
minecraft.used.deepslate_diamond_ore: #22, 21(0%)
minecraft.mined.dark_oak_leaves: #22, 38(0%)
minecraft.mined.cocoa: #22, 2(0%)
minecraft.mined.packed_ice: #22, 204(0%)
minecraft.mined.stripped_dark_oak_log: #22, 8(0%)
minecraft.picked_up.stripped_dark_oak_log: #22, 8(0%)
minecraft.picked_up.stripped_oak_log: #22, 6(0%)
minecraft.mined.stripped_oak_log: #22, 6(0%)
minecraft.crafted.green_dye: #22, 9(0%)
minecraft.crafted.white_shulker_box: #22, 1(0%)
minecraft.picked_up.cherry_sapling: #22, 7(0%)
minecraft.picked_up.cactus: #22, 22(0%)
minecraft.used.stripped_dark_oak_log: #22, 4(0%)
minecraft.picked_up.polished_granite: #22, 1(0%)
minecraft.picked_up.packed_mud: #22, 22(0%)
minecraft.crafted.bread: #22, 12(0%)
minecraft.mined.black_stained_glass: #22, 2(0%)
minecraft.picked_up.black_stained_glass: #22, 2(0%)
minecraft.picked_up.brown_shulker_box: #22, 1(0%)
minecraft.mined.packed_mud: #22, 10(0%)
minecraft.picked_up.pink_petals: #22, 9(0%)
minecraft.picked_up.glowstone_dust: #22, 3(0%)
minecraft.picked_up.gray_carpet: #22, 1(0%)
minecraft.used.sweet_berries: #22, 2(0%)
minecraft.crafted.bamboo_block: #22, 4(0%)
minecraft.used.nether_quartz_ore: #22, 1(0%)
minecraft.crafted.sugar: #22, 1(0%)
minecraft.mined.yellow_terracotta: #22, 1(0%)
minecraft.custom.walk_under_water_one_cm: #23, 2917611(1%)
minecraft.picked_up.leather_chestplate: #23, 8(1%)
minecraft.mined.short_grass: #23, 1609(1%)
minecraft.custom.swim_one_cm: #23, 1490357(1%)
minecraft.used.diamond_pickaxe: #23, 66552(1%)
minecraft.crafted.torch: #23, 1596(1%)
minecraft.mined.wall_torch: #23, 137(1%)
minecraft.picked_up.oak_sign: #23, 17(1%)
minecraft.picked_up.granite: #23, 2110(1%)
minecraft.mined.tall_grass: #23, 217(1%)
minecraft.custom.boat_one_cm: #23, 874606(1%)
minecraft.mined.granite: #23, 2037(1%)
minecraft.crafted.diamond_axe: #23, 1(1%)
minecraft.mined.furnace: #23, 21(1%)
minecraft.picked_up.item_frame: #23, 50(1%)
minecraft.picked_up.oak_boat: #23, 11(1%)
minecraft.used.rail: #23, 382(1%)
minecraft.used.hopper_minecart: #23, 6(1%)
minecraft.picked_up.iron_bars: #23, 47(1%)
minecraft.picked_up.cobblestone: #23, 13557(1%)
minecraft.picked_up.furnace: #23, 21(1%)
minecraft.picked_up.leather: #23, 219(1%)
minecraft.mined.vine: #23, 85(1%)
minecraft.used.beacon: #23, 4(1%)
minecraft.picked_up.bone: #23, 578(1%)
minecraft.custom.animals_bred: #23, 101(1%)
minecraft.picked_up.barrel: #23, 28(1%)
minecraft.dropped.wheat_seeds: #23, 864(0%)
minecraft.crafted.dark_oak_planks: #23, 752(0%)
minecraft.mined.hopper: #23, 48(0%)
minecraft.used.iron_block: #23, 367(0%)
minecraft.mined.kelp: #23, 20(0%)
minecraft.used.redstone_torch: #23, 59(0%)
minecraft.used.bamboo: #23, 86(0%)
minecraft.mined.oak_sign: #23, 1(0%)
minecraft.picked_up.hopper: #23, 46(0%)
minecraft.mined.oak_planks: #23, 29(0%)
minecraft.picked_up.anvil: #23, 5(0%)
minecraft.killed.spider: #23, 24(0%)
minecraft.picked_up.bamboo_sign: #23, 6(0%)
minecraft.mined.dirt_path: #23, 72(0%)
minecraft.picked_up.gold_nugget: #23, 227(0%)
minecraft.used.carved_pumpkin: #23, 2(0%)
minecraft.crafted.iron_block: #23, 98(0%)
minecraft.picked_up.writable_book: #23, 2(0%)
minecraft.mined.ladder: #23, 8(0%)
minecraft.mined.tall_seagrass: #23, 18(0%)
minecraft.crafted.oak_slab: #23, 108(0%)
minecraft.picked_up.sunflower: #23, 49(0%)
minecraft.mined.chipped_anvil: #23, 1(0%)
minecraft.mined.campfire: #23, 3(0%)
minecraft.picked_up.chipped_anvil: #23, 1(0%)
minecraft.used.comparator: #23, 28(0%)
minecraft.crafted.stone_sword: #23, 1(0%)
minecraft.used.powered_rail: #23, 59(0%)
minecraft.crafted.dark_oak_slab: #23, 60(0%)
minecraft.crafted.redstone: #23, 783(0%)
minecraft.picked_up.comparator: #23, 11(0%)
minecraft.mined.jukebox: #23, 1(0%)
minecraft.custom.fill_cauldron: #23, 2(0%)
minecraft.crafted.glass_pane: #23, 32(0%)
minecraft.mined.seagrass: #23, 17(0%)
minecraft.mined.bamboo_wall_sign: #23, 1(0%)
minecraft.killed.sheep: #23, 8(0%)
minecraft.used.jukebox: #23, 1(0%)
minecraft.picked_up.jukebox: #23, 1(0%)
minecraft.used.chain: #23, 24(0%)
minecraft.picked_up.pumpkin_seeds: #23, 41(0%)
minecraft.crafted.blue_dye: #23, 65(0%)
minecraft.crafted.anvil: #23, 7(0%)
minecraft.used.campfire: #23, 5(0%)
minecraft.crafted.spruce_sign: #23, 9(0%)
minecraft.mined.crafter: #23, 2(0%)
minecraft.mined.red_shulker_box: #23, 15(0%)
minecraft.picked_up.crafter: #23, 2(0%)
minecraft.picked_up.red_shulker_box: #23, 15(0%)
minecraft.picked_up.golden_apple: #23, 1(0%)
minecraft.mined.dropper: #23, 2(0%)
minecraft.used.red_shulker_box: #23, 15(0%)
minecraft.mined.shroomlight: #23, 3(0%)
minecraft.used.dropper: #23, 8(0%)
minecraft.crafted.oak_boat: #23, 2(0%)
