stat, rank, value, (percentage) 
minecraft.mined.hay_block: #7, 89(2%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #7, 36(3%)
minecraft.killed.pig: #7, 23(2%)
minecraft.picked_up.raw_gold: #7, 763(2%)
minecraft.mined.blue_concrete: #7, 66(3%)
minecraft.used.cyan_candle: #7, 17(3%)
minecraft.picked_up.quartz: #8, 4078(6%)
minecraft.picked_up.blue_concrete: #7, 66(2%)
minecraft.used.iron_helmet: #7, 1(4%)
minecraft.killed_by.enderman: #7, 1(4%)
minecraft.crafted.raw_iron: #7, 270(3%)
minecraft.used.stone_brick_stairs: #8, 625(6%)
minecraft.mined.farmland: #8, 252(6%)
minecraft.picked_up.granite_slab: #7, 15(3%)
minecraft.dropped.purpur_block: #7, 37(2%)
minecraft.mined.dark_oak_leaves: #7, 598(1%)
minecraft.crafted.cracked_stone_bricks: #7, 128(2%)
minecraft.picked_up.acacia_slab: #7, 22(2%)
minecraft.picked_up.brick_wall: #7, 5(3%)
minecraft.crafted.brush: #7, 4(2%)
minecraft.picked_up.redstone_ore: #7, 35(2%)
minecraft.picked_up.stripped_cherry_log: #7, 42(2%)
minecraft.mined.suspicious_gravel: #7, 16(3%)
minecraft.crafted.brown_concrete_powder: #7, 192(2%)
minecraft.crafted.raw_gold: #7, 216(4%)
minecraft.picked_up.crimson_planks: #7, 26(2%)
minecraft.crafted.brick_stairs: #7, 4(2%)
minecraft.mined.end_stone: #8, 833(5%)
minecraft.used.nether_wart_block: #7, 74(2%)
minecraft.used.birch_sapling: #7, 263(1%)
minecraft.used.sniffer_egg: #7, 2(4%)
minecraft.used.jungle_door: #7, 3(3%)
minecraft.dropped.end_stone_bricks: #7, 12(2%)
minecraft.picked_up.carrot: #8, 3435(5%)
minecraft.picked_up.heart_pottery_sherd: #7, 1(3%)
minecraft.mined.iron_bars: #8, 213(5%)
minecraft.killed.armadillo: #7, 1(2%)
minecraft.crafted.jungle_door: #7, 3(2%)
minecraft.used.oak_sapling: #7, 357(1%)
minecraft.mined.light_gray_bed: #7, 20(1%)
minecraft.mined.oak_slab: #8, 107(5%)
minecraft.mined.acacia_stairs: #7, 6(1%)
minecraft.picked_up.melon_slice: #8, 2745(4%)
minecraft.mined.spruce_planks: #8, 591(5%)
minecraft.used.birch_wood: #7, 42(1%)
minecraft.picked_up.white_candle: #7, 13(2%)
minecraft.used.oak_log: #8, 877(5%)
minecraft.dropped.red_carpet: #7, 3(2%)
minecraft.picked_up.angler_pottery_sherd: #7, 1(2%)
minecraft.picked_up.end_stone: #8, 887(5%)
minecraft.used.light_gray_banner: #7, 4(1%)
minecraft.picked_up.purple_candle: #7, 1(1%)
minecraft.mined.waxed_weathered_cut_copper: #7, 5(1%)
minecraft.used.stripped_cherry_wood: #7, 3(1%)
minecraft.picked_up.waxed_weathered_cut_copper: #7, 5(1%)
minecraft.mined.stripped_cherry_wood: #7, 3(1%)
minecraft.picked_up.stripped_cherry_wood: #7, 3(1%)
minecraft.mined.deepslate_iron_ore: #8, 884(4%)
minecraft.dropped.white_bed: #8, 7(5%)
minecraft.picked_up.yellow_concrete_powder: #7, 38(0%)
minecraft.crafted.end_stone_bricks: #7, 4(0%)
minecraft.picked_up.green_candle: #7, 1(0%)
minecraft.used.stripped_crimson_stem: #7, 2(0%)
minecraft.mined.stripped_spruce_log: #8, 783(4%)
minecraft.crafted.firework_star: #7, 32(0%)
minecraft.picked_up.raw_iron: #8, 2758(4%)
minecraft.picked_up.iron_helmet: #8, 7(4%)
minecraft.picked_up.stripped_spruce_log: #8, 788(4%)
minecraft.mined.oxeye_daisy: #8, 54(4%)
minecraft.picked_up.tuff_brick_stairs: #8, 97(4%)
minecraft.broken.iron_axe: #8, 3(5%)
minecraft.crafted.oak_wood: #8, 429(4%)
minecraft.used.baked_potato: #8, 255(4%)
minecraft.mined.rooted_dirt: #8, 672(4%)
minecraft.crafted.netherite_pickaxe: #8, 2(5%)
minecraft.mined.polished_andesite: #8, 174(4%)
minecraft.mined.copper_trapdoor: #8, 62(4%)
minecraft.mined.deepslate_copper_ore: #8, 241(3%)
minecraft.mined.redstone_ore: #8, 99(3%)
minecraft.mined.smoker: #8, 5(4%)
minecraft.crafted.spruce_fence_gate: #8, 207(3%)
minecraft.used.coarse_dirt: #8, 2561(3%)
minecraft.killed.pufferfish: #8, 8(5%)
minecraft.crafted.coal: #8, 2070(3%)
minecraft.mined.acacia_slab: #8, 16(4%)
minecraft.mined.dark_oak_fence_gate: #8, 11(5%)
minecraft.mined.brown_carpet: #8, 30(3%)
minecraft.dropped.light_gray_terracotta: #8, 24(5%)
minecraft.picked_up.stone_brick_slab: #8, 299(3%)
minecraft.picked_up.brick_stairs: #8, 17(4%)
minecraft.used.nether_quartz_ore: #8, 312(3%)
minecraft.used.muddy_mangrove_roots: #8, 278(3%)
minecraft.mined.white_terracotta: #8, 587(2%)
minecraft.mined.oxidized_copper_door: #8, 2(4%)
minecraft.used.spruce_stairs: #9, 1030(6%)
minecraft.mined.spruce_wood: #8, 34(3%)
minecraft.crafted.warped_button: #8, 8(3%)
minecraft.crafted.stone_brick_wall: #8, 71(3%)
minecraft.dropped.white_terracotta: #8, 28(3%)
minecraft.mined.stone_brick_slab: #8, 135(2%)
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #8, 21(3%)
minecraft.used.lead: #8, 2(3%)
minecraft.dropped.stone_bricks: #8, 90(2%)
minecraft.picked_up.mud_brick_slab: #8, 32(2%)
minecraft.picked_up.dark_oak_sign: #8, 13(2%)
minecraft.used.end_stone_bricks: #8, 11(2%)
minecraft.crafted.soul_lantern: #8, 88(3%)
minecraft.picked_up.sniffer_egg: #8, 4(5%)
minecraft.crafted.cyan_concrete_powder: #8, 272(2%)
minecraft.crafted.cherry_wood: #8, 27(3%)
minecraft.crafted.light_gray_shulker_box: #8, 7(2%)
minecraft.mined.birch_leaves: #8, 1685(1%)
minecraft.dropped.chiseled_tuff: #8, 6(3%)
minecraft.picked_up.music_disc_blocks: #8, 2(3%)
minecraft.picked_up.soul_lantern: #8, 35(2%)
minecraft.picked_up.rabbit_foot: #8, 1(3%)
minecraft.picked_up.purpur_block: #8, 223(1%)
minecraft.picked_up.burn_pottery_sherd: #8, 1(4%)
minecraft.killed_by.piglin: #8, 1(3%)
minecraft.crafted.jungle_planks: #9, 4928(6%)
minecraft.crafted.bamboo_mosaic: #8, 69(2%)
minecraft.used.yellow_banner: #8, 4(2%)
minecraft.crafted.brick_wall: #8, 10(2%)
minecraft.mined.orange_carpet: #8, 7(2%)
minecraft.mined.carrots: #9, 531(5%)
minecraft.mined.sea_lantern: #8, 18(1%)
minecraft.picked_up.howl_pottery_sherd: #8, 1(3%)
minecraft.dropped.rooted_dirt: #8, 26(2%)
minecraft.used.stone_sword: #8, 130(1%)
minecraft.dropped.dark_oak_fence: #8, 7(2%)
minecraft.picked_up.small_dripleaf: #8, 6(2%)
minecraft.picked_up.birch_stairs: #8, 10(1%)
minecraft.picked_up.orange_banner: #8, 2(1%)
minecraft.used.blackstone_stairs: #8, 19(1%)
minecraft.picked_up.pink_concrete: #8, 116(1%)
minecraft.dropped.rabbit: #8, 3(1%)
minecraft.dropped.stonecutter: #8, 1(2%)
minecraft.picked_up.dark_oak_leaves: #8, 85(1%)
minecraft.mined.cut_copper_slab: #8, 7(2%)
minecraft.mined.soul_campfire: #8, 1(2%)
minecraft.crafted.birch_wood: #8, 42(1%)
minecraft.dropped.copper_ingot: #8, 55(1%)
minecraft.crafted.blue_concrete_powder: #8, 96(1%)
minecraft.used.jungle_sapling: #8, 82(1%)
minecraft.used.blue_banner: #8, 1(1%)
minecraft.mined.pink_wool: #8, 8(1%)
minecraft.mined.spruce_trapdoor: #9, 487(5%)
minecraft.used.weathered_copper_trapdoor: #8, 6(1%)
minecraft.picked_up.cut_copper_slab: #8, 7(1%)
minecraft.mined.stone_button: #9, 65(5%)
minecraft.picked_up.spruce_door: #9, 12(5%)
minecraft.used.light_gray_bed: #8, 12(1%)
minecraft.mined.jack_o_lantern: #8, 2(1%)
minecraft.crafted.melon: #8, 244(1%)
minecraft.dropped.cracked_stone_bricks: #8, 37(1%)
minecraft.dropped.warped_stem: #8, 4(1%)
minecraft.used.iron_hoe: #9, 306(5%)
minecraft.crafted.cyan_glazed_terracotta: #8, 2(1%)
minecraft.crafted.light_gray_banner: #8, 2(1%)
minecraft.crafted.blue_banner: #8, 1(0%)
minecraft.dropped.stone_brick_wall: #8, 1(1%)
minecraft.used.red_mushroom: #8, 1(0%)
minecraft.mined.oak_fence: #9, 177(4%)
minecraft.used.waxed_weathered_cut_copper: #8, 5(0%)
minecraft.picked_up.orange_concrete_powder: #8, 11(0%)
minecraft.crafted.mossy_stone_brick_stairs: #8, 1(0%)
minecraft.mined.cauldron: #9, 12(4%)
minecraft.custom.animals_bred: #9, 756(4%)
minecraft.used.nether_wart: #9, 502(4%)
minecraft.used.oak_slab: #9, 319(4%)
minecraft.dropped.diamond: #9, 399(4%)
minecraft.dropped.netherrack: #9, 3937(4%)
minecraft.picked_up.beetroot_seeds: #9, 979(3%)
minecraft.picked_up.wheat_seeds: #9, 21495(3%)
minecraft.picked_up.tuff_bricks: #9, 1150(3%)
minecraft.picked_up.oak_sign: #9, 63(3%)
minecraft.mined.tuff_bricks: #9, 1153(4%)
minecraft.mined.wheat: #9, 5921(3%)
minecraft.crafted.spruce_boat: #9, 10(4%)
minecraft.crafted.iron_axe: #9, 5(4%)
minecraft.mined.sunflower: #9, 179(3%)
minecraft.picked_up.light_gray_concrete: #9, 376(3%)
minecraft.used.dark_oak_trapdoor: #9, 385(3%)
minecraft.mined.tripwire_hook: #9, 5(4%)
minecraft.mined.light_gray_concrete: #9, 376(3%)
minecraft.picked_up.smoker: #9, 5(4%)
minecraft.used.redstone_block: #9, 415(3%)
minecraft.picked_up.tripwire_hook: #9, 20(3%)
minecraft.picked_up.copper_trapdoor: #9, 62(3%)
minecraft.crafted.coarse_dirt: #9, 2484(3%)
minecraft.broken.fishing_rod: #9, 4(3%)
minecraft.mined.bamboo_door: #9, 3(4%)
minecraft.used.copper_bulb: #9, 30(3%)
minecraft.mined.deepslate_lapis_ore: #9, 203(2%)
minecraft.mined.azure_bluet: #9, 61(2%)
minecraft.picked_up.white_terracotta: #9, 599(2%)
minecraft.mined.oak_leaves: #9, 4407(2%)
minecraft.mined.deepslate_gold_ore: #9, 559(2%)
minecraft.mined.twisting_vines: #9, 10(4%)
minecraft.picked_up.cobblestone_wall: #9, 30(3%)
minecraft.dropped.filled_map: #9, 61(2%)
minecraft.mined.big_dripleaf: #9, 16(3%)
minecraft.picked_up.smooth_stone_slab: #9, 309(2%)
minecraft.picked_up.brown_carpet: #9, 45(2%)
minecraft.crafted.netherite_scrap: #9, 21(3%)
minecraft.picked_up.shelter_pottery_sherd: #9, 2(3%)
minecraft.crafted.cobblestone_wall: #9, 48(2%)
minecraft.picked_up.cooked_chicken: #9, 157(1%)
minecraft.picked_up.waxed_oxidized_cut_copper: #9, 83(2%)
minecraft.crafted.dark_oak_boat: #9, 1(3%)
minecraft.mined.small_dripleaf: #9, 7(2%)
minecraft.picked_up.clock: #9, 2(2%)
minecraft.mined.lily_pad: #9, 54(2%)
minecraft.picked_up.dark_oak_fence_gate: #9, 11(2%)
minecraft.crafted.warped_hyphae: #9, 54(2%)
minecraft.used.enchanted_book: #9, 34(1%)
minecraft.used.oak_leaves: #9, 1473(1%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #9, 18(2%)
minecraft.mined.smooth_quartz: #9, 152(1%)
minecraft.mined.brick_slab: #9, 3(2%)
minecraft.used.small_dripleaf: #9, 6(2%)
minecraft.used.pufferfish_bucket: #9, 3(2%)
minecraft.picked_up.jungle_sapling: #9, 122(1%)
minecraft.crafted.stripped_spruce_wood: #9, 18(2%)
minecraft.used.crimson_roots: #9, 8(1%)
minecraft.picked_up.azure_bluet: #9, 147(1%)
minecraft.used.short_grass: #9, 329(1%)
minecraft.mined.flower_pot: #10, 16(5%)
minecraft.used.birch_leaves: #9, 640(1%)
minecraft.mined.cyan_concrete_powder: #9, 3(1%)
minecraft.picked_up.coal_block: #9, 46(1%)
minecraft.mined.nether_quartz_ore: #10, 2213(5%)
minecraft.used.warped_hyphae: #9, 35(1%)
minecraft.used.bread: #9, 81(1%)
minecraft.mined.bamboo_mosaic: #9, 4(1%)
minecraft.used.twisting_vines: #9, 11(1%)
minecraft.picked_up.soul_campfire: #9, 1(2%)
minecraft.used.warped_door: #9, 1(2%)
minecraft.mined.snow: #9, 3538(1%)
minecraft.used.stripped_bamboo_block: #9, 9(1%)
minecraft.picked_up.gray_concrete_powder: #9, 123(1%)
minecraft.crafted.mangrove_fence_gate: #9, 4(1%)
minecraft.used.mangrove_fence_gate: #9, 4(1%)
minecraft.picked_up.fletching_table: #9, 1(1%)
minecraft.used.pink_concrete_powder: #9, 46(1%)
minecraft.mined.brown_concrete_powder: #9, 6(1%)
minecraft.dropped.milk_bucket: #9, 1(1%)
minecraft.crafted.crimson_sign: #9, 3(1%)
minecraft.mined.crimson_hyphae: #9, 1(1%)
minecraft.mined.spruce_slab: #10, 447(4%)
minecraft.used.cut_copper_slab: #9, 7(1%)
minecraft.mined.oak_planks: #10, 335(4%)
minecraft.picked_up.spruce_planks: #10, 853(4%)
minecraft.used.lapis_block: #9, 23(0%)
minecraft.crafted.birch_stairs: #9, 12(0%)
minecraft.used.black_terracotta: #9, 77(0%)
minecraft.mined.oxidized_cut_copper_slab: #9, 6(0%)
minecraft.picked_up.jack_o_lantern: #9, 2(0%)
minecraft.killed.turtle: #9, 1(0%)
minecraft.dropped.smooth_quartz: #9, 2(0%)
minecraft.mined.stripped_birch_wood: #9, 8(0%)
minecraft.picked_up.stripped_birch_wood: #9, 8(0%)
minecraft.crafted.lime_bed: #9, 1(0%)
minecraft.picked_up.light_blue_carpet: #9, 3(0%)
minecraft.mined.light_blue_carpet: #9, 3(0%)
minecraft.picked_up.polished_tuff_wall: #10, 147(4%)
minecraft.picked_up.leather_leggings: #10, 16(3%)
minecraft.dropped.hopper: #10, 48(5%)
minecraft.picked_up.shield: #10, 16(4%)
minecraft.used.spruce_fence: #10, 757(4%)
minecraft.mined.pumpkin: #10, 1430(3%)
minecraft.picked_up.wheat: #10, 6167(3%)
minecraft.picked_up.chest: #10, 1027(3%)
minecraft.picked_up.rooted_dirt: #10, 669(3%)
minecraft.picked_up.flower_pot: #10, 35(3%)
minecraft.used.spruce_door: #10, 15(3%)
minecraft.crafted.stone_brick_stairs: #10, 102(3%)
minecraft.picked_up.acacia_trapdoor: #10, 95(3%)
minecraft.mined.oak_sign: #10, 7(3%)
minecraft.picked_up.baked_potato: #10, 265(3%)
minecraft.picked_up.polished_andesite: #10, 174(3%)
minecraft.mined.birch_sign: #10, 4(3%)
minecraft.mined.chiseled_bookshelf: #10, 17(3%)
minecraft.mined.bamboo_block: #10, 76(3%)
minecraft.picked_up.deepslate_gold_ore: #10, 236(2%)
minecraft.used.oxidized_copper_door: #10, 3(4%)
minecraft.used.stone_brick_wall: #10, 109(3%)
minecraft.crafted.glow_item_frame: #10, 102(3%)
minecraft.picked_up.light_gray_shulker_box: #10, 106(2%)
minecraft.crafted.oak_fence_gate: #10, 25(2%)
minecraft.mined.light_gray_shulker_box: #10, 102(2%)
minecraft.mined.melon_stem: #10, 8(3%)
minecraft.crafted.mud_bricks: #10, 642(2%)
minecraft.picked_up.feather: #10, 279(2%)
minecraft.crafted.tripwire_hook: #10, 52(2%)
minecraft.crafted.green_terracotta: #10, 384(2%)
minecraft.mined.black_stained_glass_pane: #10, 10(2%)
minecraft.used.waxed_oxidized_cut_copper_slab: #10, 101(4%)
minecraft.used.light_gray_shulker_box: #10, 104(2%)
minecraft.used.brick_stairs: #10, 16(3%)
minecraft.used.mud_brick_wall: #10, 225(2%)
minecraft.crafted.copper_bulb: #10, 28(2%)
minecraft.mined.waxed_oxidized_cut_copper: #10, 83(2%)
minecraft.killed.cod: #10, 5(2%)
minecraft.dropped.stone_shovel: #10, 3(2%)
minecraft.picked_up.smooth_quartz: #10, 212(2%)
minecraft.mined.brown_terracotta: #10, 502(2%)
minecraft.picked_up.brown_terracotta: #10, 498(2%)
minecraft.used.jungle_stairs: #10, 57(2%)
minecraft.dropped.oak_sapling: #10, 69(2%)
minecraft.crafted.smooth_quartz_stairs: #10, 21(2%)
minecraft.picked_up.deepslate_tiles: #10, 233(1%)
minecraft.used.white_terracotta: #10, 169(1%)
minecraft.mined.chorus_flower: #10, 5(3%)
minecraft.used.stone_brick_slab: #10, 331(1%)
minecraft.mined.stripped_spruce_wood: #10, 50(2%)
minecraft.picked_up.stripped_spruce_wood: #10, 50(1%)
minecraft.mined.purple_bed: #10, 7(2%)
minecraft.crafted.fishing_rod: #10, 6(1%)
minecraft.used.smooth_quartz: #10, 666(1%)
minecraft.picked_up.iron_hoe: #10, 1(2%)
minecraft.picked_up.deepslate_copper_ore: #10, 51(1%)
minecraft.picked_up.oxidized_copper_door: #10, 2(2%)
minecraft.used.dark_oak_fence_gate: #10, 20(2%)
minecraft.used.stripped_spruce_wood: #10, 47(2%)
minecraft.used.brick_wall: #10, 15(2%)
minecraft.crafted.polished_blackstone_button: #10, 25(1%)
minecraft.picked_up.red_bed: #10, 6(1%)
minecraft.mined.bell: #10, 3(2%)
minecraft.crafted.mossy_cobblestone_wall: #10, 6(2%)
minecraft.picked_up.light_gray_terracotta: #10, 283(1%)
minecraft.mined.light_gray_terracotta: #10, 277(1%)
minecraft.dropped.stripped_spruce_log: #10, 4(1%)
minecraft.mined.mud_brick_stairs: #10, 5(2%)
minecraft.crafted.blackstone_stairs: #10, 4(2%)
minecraft.mined.waxed_oxidized_cut_copper_slab: #10, 7(2%)
minecraft.used.cooked_chicken: #10, 55(1%)
minecraft.picked_up.cornflower: #10, 130(1%)
minecraft.used.heavy_weighted_pressure_plate: #10, 4(1%)
minecraft.picked_up.acacia_stairs: #10, 8(1%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #10, 7(1%)
minecraft.dropped.cyan_terracotta: #10, 14(1%)
minecraft.crafted.dark_oak_fence_gate: #10, 14(1%)
minecraft.picked_up.netherite_hoe: #10, 2(1%)
minecraft.picked_up.stripped_dark_oak_wood: #10, 19(1%)
minecraft.used.sponge: #10, 109(1%)
minecraft.dropped.podzol: #10, 13(1%)
minecraft.killed.cave_spider: #10, 536(1%)
minecraft.mined.stripped_dark_oak_wood: #10, 19(1%)
minecraft.picked_up.light_gray_bed: #10, 12(1%)
minecraft.used.big_dripleaf: #10, 13(1%)
minecraft.picked_up.lapis_block: #10, 25(1%)
minecraft.mined.cyan_candle: #10, 1(1%)
minecraft.mined.yellow_carpet: #10, 6(1%)
minecraft.picked_up.cooked_mutton: #10, 38(1%)
minecraft.picked_up.yellow_carpet: #10, 9(1%)
minecraft.dropped.wooden_shovel: #10, 1(1%)
minecraft.dropped.brown_wool: #10, 2(1%)
minecraft.mined.beehive: #10, 22(1%)
minecraft.mined.spawner: #10, 1(1%)
minecraft.used.birch_stairs: #10, 12(1%)
minecraft.used.allium: #10, 3(1%)
minecraft.mined.blue_wool: #10, 5(1%)
minecraft.picked_up.bamboo_mosaic: #10, 4(1%)
minecraft.picked_up.crimson_hyphae: #10, 1(1%)
minecraft.crafted.light_blue_banner: #10, 1(0%)
minecraft.used.stripped_oak_wood: #10, 9(0%)
minecraft.picked_up.crimson_fence: #10, 1(0%)
minecraft.picked_up.oxidized_cut_copper_slab: #10, 6(0%)
minecraft.dropped.flint_and_steel: #10, 3(0%)
minecraft.dropped.purpur_pillar: #10, 2(0%)
minecraft.crafted.yellow_wool: #10, 12(0%)
minecraft.used.purpur_slab: #10, 2(0%)
minecraft.used.cherry_planks: #10, 7(0%)
minecraft.dropped.black_wool: #10, 3(0%)
minecraft.crafted.orange_banner: #10, 1(0%)
minecraft.mined.stripped_crimson_stem: #10, 2(0%)
minecraft.mined.oxidized_cut_copper: #10, 2(0%)
minecraft.crafted.soul_campfire: #10, 1(0%)
minecraft.mined.bamboo_button: #10, 1(0%)
minecraft.used.light_blue_carpet: #10, 3(0%)
minecraft.used.iron_axe: #11, 999(4%)
minecraft.crafted.light_blue_carpet: #10, 3(0%)
minecraft.used.netherrack: #11, 2586(4%)
minecraft.mined.short_grass: #11, 4303(3%)
minecraft.dropped.polished_tuff: #11, 48(4%)
minecraft.picked_up.gold_nugget: #11, 2547(3%)
minecraft.used.soul_sand: #11, 416(4%)
minecraft.crafted.shield: #11, 12(4%)
minecraft.picked_up.cauldron: #11, 15(4%)
minecraft.picked_up.oak_fence: #11, 176(4%)
minecraft.used.dark_oak_slab: #11, 657(3%)
minecraft.mined.lantern: #11, 52(3%)
minecraft.used.oak_fence: #11, 230(4%)
minecraft.picked_up.dirt: #11, 65195(3%)
minecraft.dropped.shield: #11, 6(4%)
minecraft.used.kelp: #11, 527(3%)
minecraft.mined.spruce_log: #11, 5919(3%)
minecraft.crafted.polished_tuff_stairs: #11, 26(3%)
minecraft.crafted.item_frame: #11, 319(3%)
minecraft.crafted.copper_ingot: #11, 4316(3%)
minecraft.mined.cornflower: #11, 54(3%)
minecraft.mined.stonecutter: #11, 43(3%)
minecraft.mined.iron_ore: #11, 1053(3%)
minecraft.crafted.oak_fence: #11, 138(3%)
minecraft.crafted.spruce_fence: #11, 516(3%)
minecraft.used.yellow_shulker_box: #11, 126(2%)
minecraft.mined.dispenser: #11, 43(2%)
minecraft.mined.gold_block: #11, 169(2%)
minecraft.mined.yellow_shulker_box: #11, 114(2%)
minecraft.mined.water_cauldron: #11, 3(3%)
minecraft.picked_up.lapis_lazuli: #11, 2352(2%)
minecraft.used.bamboo_block: #11, 234(2%)
minecraft.used.lime_terracotta: #11, 297(3%)
minecraft.dropped.wooden_pickaxe: #11, 1(3%)
minecraft.picked_up.trident: #11, 10(2%)
minecraft.crafted.stone_button: #11, 173(2%)
minecraft.picked_up.glass_pane: #11, 57(2%)
minecraft.used.iron_chestplate: #11, 1(3%)
minecraft.picked_up.porkchop: #11, 74(1%)
minecraft.picked_up.mangrove_sign: #11, 8(2%)
minecraft.mined.jungle_leaves: #11, 606(2%)
minecraft.picked_up.spruce_wood: #11, 33(2%)
minecraft.picked_up.red_dye: #11, 25(1%)
minecraft.mined.yellow_terracotta: #11, 256(2%)
minecraft.mined.warped_planks: #11, 26(2%)
minecraft.custom.interact_with_furnace: #12, 2546(4%)
minecraft.crafted.coal_block: #11, 344(1%)
minecraft.used.polished_blackstone_button: #11, 23(2%)
minecraft.used.birch_sign: #11, 19(1%)
minecraft.used.acacia_fence_gate: #11, 11(2%)
minecraft.picked_up.beetroot: #11, 352(1%)
minecraft.used.brown_carpet: #11, 54(2%)
minecraft.picked_up.bamboo_raft: #11, 5(2%)
minecraft.picked_up.rabbit: #11, 5(2%)
minecraft.used.soul_soil: #11, 103(1%)
minecraft.crafted.warped_sign: #11, 15(2%)
minecraft.used.netherite_axe: #11, 6978(2%)
minecraft.dropped.trident: #11, 2(1%)
minecraft.custom.use_cauldron: #11, 79(1%)
minecraft.crafted.clock: #11, 2(1%)
minecraft.crafted.quartz_block: #11, 961(1%)
minecraft.mined.chorus_plant: #11, 15(1%)
minecraft.dropped.note_block: #11, 3(1%)
minecraft.mined.heavy_weighted_pressure_plate: #11, 1(2%)
minecraft.used.cobblestone_wall: #11, 35(1%)
minecraft.mined.deepslate_coal_ore: #11, 5(1%)
minecraft.picked_up.quartz_block: #11, 109(1%)
minecraft.crafted.heavy_weighted_pressure_plate: #11, 4(1%)
minecraft.mined.mud_bricks: #11, 34(1%)
minecraft.used.light_blue_shulker_box: #11, 46(1%)
minecraft.dropped.coarse_dirt: #11, 25(1%)
minecraft.mined.light_blue_shulker_box: #11, 45(1%)
minecraft.mined.infested_deepslate: #11, 2(1%)
minecraft.mined.wet_sponge: #11, 105(1%)
minecraft.crafted.white_shulker_box: #11, 8(1%)
minecraft.picked_up.orange_carpet: #11, 7(1%)
minecraft.picked_up.bamboo_door: #11, 4(1%)
minecraft.dropped.mud_bricks: #11, 3(1%)
minecraft.crafted.blue_wool: #11, 7(1%)
minecraft.used.acacia_stairs: #11, 17(1%)
minecraft.used.light_blue_banner: #11, 1(1%)
minecraft.used.cherry_wood: #11, 6(1%)
minecraft.picked_up.wooden_shovel: #11, 1(1%)
minecraft.used.beehive: #11, 50(0%)
minecraft.used.yellow_carpet: #11, 20(1%)
minecraft.crafted.cobbled_deepslate_wall: #11, 6(1%)
minecraft.crafted.pink_concrete_powder: #11, 64(0%)
minecraft.crafted.stone_brick_slab: #11, 68(0%)
minecraft.used.cyan_banner: #11, 1(1%)
minecraft.used.red_concrete: #11, 49(0%)
minecraft.crafted.beehive: #11, 33(0%)
minecraft.used.pink_banner: #11, 1(0%)
minecraft.picked_up.beehive: #11, 24(0%)
minecraft.crafted.granite_slab: #11, 12(1%)
minecraft.picked_up.black_concrete_powder: #11, 64(0%)
minecraft.crafted.gold_nugget: #11, 459(0%)
minecraft.picked_up.cyan_candle: #11, 1(0%)
minecraft.picked_up.diorite_wall: #11, 2(0%)
minecraft.used.seagrass: #11, 3(0%)
minecraft.crafted.pink_banner: #11, 1(0%)
minecraft.used.torchflower: #11, 1(0%)
minecraft.dropped.gray_carpet: #11, 1(0%)
minecraft.dropped.mossy_stone_bricks: #11, 3(0%)
minecraft.dropped.sweet_berries: #11, 5(0%)
minecraft.used.soul_campfire: #11, 1(0%)
minecraft.dropped.deepslate_tile_slab: #11, 1(0%)
minecraft.mined.torchflower: #11, 2(0%)
minecraft.picked_up.brown_concrete_powder: #11, 6(0%)
minecraft.dropped.lime_wool: #11, 1(0%)
minecraft.picked_up.spruce_slab: #12, 618(4%)
minecraft.crafted.diorite_wall: #11, 6(0%)
minecraft.picked_up.oxidized_cut_copper: #11, 2(0%)
minecraft.used.stripped_cherry_log: #11, 1(0%)
minecraft.crafted.spruce_stairs: #12, 580(4%)
minecraft.mined.bamboo_planks: #12, 74(4%)
minecraft.picked_up.spruce_trapdoor: #12, 517(3%)
minecraft.picked_up.stonecutter: #12, 46(3%)
minecraft.used.stonecutter: #12, 47(3%)
minecraft.used.polished_tuff_wall: #12, 373(3%)
minecraft.mined.lapis_ore: #12, 143(3%)
minecraft.used.diamond_pickaxe: #12, 135571(2%)
minecraft.mined.lightning_rod: #12, 49(3%)
minecraft.crafted.diamond_block: #12, 349(3%)
minecraft.picked_up.coal: #12, 6435(2%)
minecraft.crafted.paper: #12, 5238(2%)
minecraft.picked_up.birch_sign: #12, 23(3%)
minecraft.used.glass_pane: #12, 94(3%)
minecraft.mined.acacia_leaves: #12, 744(3%)
minecraft.picked_up.oak_door: #12, 8(2%)
minecraft.picked_up.yellow_shulker_box: #12, 114(2%)
minecraft.crafted.black_shulker_box: #12, 3(3%)
minecraft.picked_up.deepslate: #12, 5969(2%)
minecraft.picked_up.birch_sapling: #12, 325(2%)
minecraft.picked_up.nether_quartz_ore: #12, 312(2%)
minecraft.picked_up.polished_diorite: #12, 32(2%)
minecraft.picked_up.lightning_rod: #12, 50(2%)
minecraft.mined.nether_wart: #12, 203(2%)
minecraft.used.stone_button: #12, 144(2%)
minecraft.used.dark_oak_sign: #12, 21(2%)
minecraft.mined.oak_fence_gate: #12, 5(2%)
minecraft.crafted.lapis_block: #12, 195(2%)
minecraft.mined.powder_snow: #12, 19(2%)
minecraft.crafted.dark_oak_trapdoor: #12, 192(2%)
minecraft.crafted.soul_torch: #12, 128(3%)
minecraft.killed.piglin: #12, 18(2%)
minecraft.mined.green_carpet: #12, 14(2%)
minecraft.picked_up.yellow_terracotta: #12, 257(1%)
minecraft.picked_up.chiseled_bookshelf: #12, 13(2%)
