stat, rank, value, (percentage) 
minecraft.crafted.stone: #3, 1237(9%)
minecraft.used.chiseled_tuff_bricks: #3, 1567(9%)
minecraft.mined.dark_oak_trapdoor: #3, 198(9%)
minecraft.used.dragon_head: #2, 3(10%)
minecraft.picked_up.salmon_bucket: #2, 31(28%)
minecraft.picked_up.exposed_copper_door: #2, 3(19%)
minecraft.used.exposed_copper_door: #2, 3(38%)
minecraft.picked_up.crimson_roots: #3, 2398(9%)
minecraft.used.cherry_slab: #3, 231(17%)
minecraft.dropped.cooked_salmon: #3, 82(10%)
minecraft.picked_up.painting: #3, 377(8%)
minecraft.used.painting: #3, 436(8%)
minecraft.picked_up.stone_hoe: #3, 16(16%)
minecraft.crafted.pufferfish_bucket: #2, 3(30%)
minecraft.mined.infested_cracked_stone_bricks: #2, 2(29%)
minecraft.used.shield: #3, 435(8%)
minecraft.dropped.crimson_roots: #2, 64(6%)
minecraft.crafted.skull_banner_pattern: #2, 1(20%)
minecraft.dropped.music_disc_blocks: #2, 2(40%)
minecraft.used.polished_tuff_stairs: #3, 725(8%)
minecraft.used.warped_fungus: #2, 363(6%)
minecraft.dropped.dark_prismarine_slab: #2, 9(26%)
minecraft.mined.potted_acacia_sapling: #2, 1(25%)
minecraft.used.waxed_oxidized_cut_copper: #3, 650(10%)
minecraft.used.end_stone_brick_slab: #2, 34(15%)
minecraft.dropped.gray_shulker_box: #2, 3(6%)
minecraft.picked_up.crimson_fungus: #3, 336(8%)
minecraft.picked_up.polished_tuff_stairs: #3, 191(8%)
minecraft.broken.diamond_leggings: #2, 1(33%)
minecraft.picked_up.granite_stairs: #3, 15(11%)
minecraft.mined.potted_oak_sapling: #2, 1(14%)
minecraft.picked_up.warped_hanging_sign: #3, 13(17%)
minecraft.mined.gray_concrete_powder: #3, 123(10%)
minecraft.mined.yellow_concrete_powder: #3, 37(9%)
minecraft.dropped.muddy_mangrove_roots: #4, 62(20%)
minecraft.used.sweet_berries: #3, 982(6%)
minecraft.dropped.wooden_hoe: #3, 5(14%)
minecraft.dropped.green_candle: #2, 1(17%)
minecraft.picked_up.weeping_vines: #3, 330(6%)
minecraft.dropped.tuff_brick_slab: #3, 64(11%)
minecraft.mined.oak_trapdoor: #4, 170(9%)
minecraft.mined.tuff_brick_stairs: #3, 97(6%)
minecraft.dropped.acacia_log: #4, 60(12%)
minecraft.mined.polished_tuff_wall: #4, 148(10%)
minecraft.dropped.raw_copper_block: #3, 104(14%)
minecraft.crafted.end_stone_brick_wall: #2, 6(2%)
minecraft.picked_up.jungle_door: #3, 6(11%)
minecraft.crafted.sugar: #3, 577(5%)
minecraft.used.vine: #4, 103(10%)
minecraft.picked_up.poisonous_potato: #4, 48(11%)
minecraft.crafted.amethyst_block: #2, 50(1%)
minecraft.mined.dragon_head: #3, 2(10%)
minecraft.picked_up.tuff_brick_wall: #4, 154(10%)
minecraft.dropped.diamond_ore: #3, 1(14%)
minecraft.crafted.oak_trapdoor: #4, 440(8%)
minecraft.used.acacia_button: #3, 24(6%)
minecraft.used.book: #4, 201(9%)
minecraft.crafted.cake: #4, 28(13%)
minecraft.used.magenta_banner: #3, 1(14%)
minecraft.used.music_disc_strad: #3, 3(21%)
minecraft.crafted.cooked_porkchop: #3, 86(4%)
minecraft.picked_up.snow: #3, 3530(4%)
minecraft.mined.pink_terracotta: #3, 126(7%)
minecraft.used.dandelion: #4, 65(8%)
minecraft.custom.damage_blocked_by_shield: #4, 28448(8%)
minecraft.used.gray_terracotta: #4, 455(13%)
minecraft.mined.birch_sapling: #4, 22(10%)
minecraft.used.amethyst_block: #3, 250(3%)
minecraft.picked_up.campfire: #4, 98(6%)
minecraft.used.pink_terracotta: #3, 386(6%)
