stat, rank, value, (percentage) 
minecraft.mined.mangrove_fence: #1, 388(38%)
minecraft.mined.chiseled_quartz_block: #1, 1116(92%)
minecraft.crafted.red_sandstone: #1, 10883(34%)
minecraft.picked_up.mangrove_roots: #1, 23017(27%)
minecraft.used.light_blue_stained_glass_pane: #1, 1255(40%)
minecraft.crafted.cut_red_sandstone: #1, 3952(91%)
minecraft.used.gray_bed: #1, 490(49%)
minecraft.dropped.polished_granite: #1, 435(80%)
minecraft.used.air: #2, 14582(31%)
minecraft.dropped.light_gray_wool: #1, 772(33%)
minecraft.dropped.white_terracotta: #1, 374(45%)
minecraft.picked_up.red_sand: #1, 46116(28%)
minecraft.used.red_sandstone_slab: #1, 952(69%)
minecraft.picked_up.deepslate_tile_wall: #1, 576(31%)
minecraft.mined.red_sand: #1, 44470(28%)
minecraft.custom.traded_with_villager: #1, 122557(25%)
minecraft.picked_up.orange_stained_glass_pane: #1, 319(44%)
minecraft.dropped.spruce_button: #1, 172(44%)
minecraft.dropped.lightning_rod: #1, 143(47%)
minecraft.dropped.chorus_fruit: #1, 1274(51%)
minecraft.dropped.light_blue_shulker_box: #1, 45(75%)
minecraft.used.cut_red_sandstone_slab: #1, 6242(100%)
minecraft.picked_up.furnace_minecart: #1, 105(60%)
minecraft.crafted.oak_door: #1, 96(28%)
minecraft.used.melon_slice: #1, 1108(27%)
minecraft.used.brown_carpet: #1, 1074(31%)
minecraft.used.exposed_copper_trapdoor: #1, 225(37%)
minecraft.dropped.bread: #1, 4340(27%)
minecraft.mined.lime_stained_glass_pane: #1, 212(49%)
minecraft.crafted.brick: #1, 31919(24%)
minecraft.used.glow_lichen: #1, 8440(23%)
minecraft.used.gray_concrete: #1, 14576(29%)
minecraft.used.tube_coral_fan: #1, 108(58%)
minecraft.picked_up.smooth_red_sandstone_stairs: #1, 370(58%)
minecraft.picked_up.smooth_quartz_stairs: #1, 574(28%)
minecraft.mined.smooth_red_sandstone_stairs: #1, 202(58%)
minecraft.dropped.water_bucket: #1, 109(24%)
minecraft.used.furnace_minecart: #1, 106(58%)
minecraft.dropped.chiseled_stone_bricks: #1, 1249(44%)
minecraft.dropped.medium_amethyst_bud: #1, 137(96%)
minecraft.used.spore_blossom: #1, 115(38%)
minecraft.killed.endermite: #1, 61(29%)
minecraft.used.acacia_trapdoor: #1, 2427(28%)
minecraft.dropped.wind_charge: #1, 1638(30%)
minecraft.mined.waxed_copper_trapdoor: #1, 88(40%)
minecraft.used.horn_coral_fan: #1, 244(56%)
minecraft.picked_up.mud_brick_stairs: #1, 179(37%)
minecraft.dropped.oak_door: #1, 92(51%)
minecraft.used.mycelium: #1, 5337(92%)
minecraft.crafted.acacia_button: #2, 257(41%)
minecraft.crafted.bone_block: #1, 14244(23%)
minecraft.mined.quartz_stairs: #1, 634(28%)
minecraft.dropped.light_gray_carpet: #1, 60(55%)
minecraft.picked_up.red_sandstone_slab: #1, 519(55%)
minecraft.picked_up.polished_deepslate_slab: #1, 1012(26%)
minecraft.dropped.packed_mud: #1, 935(32%)
minecraft.crafted.acacia_trapdoor: #1, 2082(26%)
minecraft.used.pink_bed: #1, 198(50%)
minecraft.used.lime_stained_glass_pane: #1, 1385(42%)
minecraft.used.weathered_copper_trapdoor: #1, 239(36%)
minecraft.mined.orange_stained_glass_pane: #1, 215(39%)
minecraft.used.waxed_copper_trapdoor: #1, 833(36%)
minecraft.mined.deepslate_tile_wall: #2, 339(33%)
minecraft.mined.tube_coral_block: #1, 1413(33%)
minecraft.mined.red_sandstone_slab: #1, 324(59%)
minecraft.mined.pink_stained_glass: #1, 162(53%)
minecraft.dropped.polished_diorite: #1, 284(53%)
minecraft.dropped.black_carpet: #1, 192(75%)
minecraft.picked_up.waxed_copper_trapdoor: #1, 87(38%)
minecraft.used.soul_soil: #1, 2078(23%)
minecraft.dropped.honey_block: #1, 575(31%)
minecraft.dropped.polished_andesite: #1, 333(31%)
minecraft.picked_up.iron_trapdoor: #1, 511(22%)
minecraft.picked_up.tube_coral_block: #1, 1385(35%)
minecraft.dropped.gray_concrete_powder: #1, 957(74%)
minecraft.dropped.deepslate_tile_slab: #1, 206(42%)
minecraft.mined.red_sandstone_wall: #1, 336(71%)
minecraft.mined.cut_red_sandstone_slab: #1, 2825(100%)
minecraft.custom.talked_to_villager: #1, 11093(18%)
minecraft.picked_up.melon_slice: #1, 11468(18%)
minecraft.dropped.soul_soil: #1, 273(29%)
minecraft.mined.copper_trapdoor: #1, 363(22%)
minecraft.mined.glow_lichen: #1, 4709(18%)
minecraft.used.warped_roots: #1, 282(29%)
minecraft.dropped.dark_oak_log: #1, 847(28%)
minecraft.crafted.lime_shulker_box: #1, 31(23%)
minecraft.picked_up.acacia_button: #1, 48(48%)
minecraft.mined.end_stone: #1, 3083(20%)
minecraft.mined.nether_sprouts: #1, 1335(24%)
minecraft.used.light_blue_banner: #1, 41(34%)
minecraft.used.waxed_cut_copper_slab: #1, 217(43%)
minecraft.mined.suspicious_sand: #1, 50(48%)
minecraft.picked_up.smooth_quartz_slab: #1, 653(22%)
minecraft.picked_up.lightning_rod: #1, 484(22%)
minecraft.picked_up.weathered_copper_trapdoor: #1, 374(26%)
minecraft.mined.birch_fence_gate: #1, 95(39%)
minecraft.picked_up.smooth_red_sandstone_slab: #1, 219(47%)
minecraft.crafted.resin_clump: #1, 7389(36%)
minecraft.picked_up.mangrove_slab: #1, 694(20%)
minecraft.dropped.splash_potion: #1, 225(28%)
minecraft.dropped.bamboo_door: #1, 93(78%)
minecraft.mined.suspicious_gravel: #1, 228(39%)
minecraft.used.end_rod: #2, 3138(23%)
minecraft.picked_up.white_stained_glass_pane: #1, 403(26%)
minecraft.mined.smooth_quartz_stairs: #1, 413(22%)
minecraft.dropped.iron_nugget: #2, 4032(22%)
minecraft.mined.wheat: #1, 31231(17%)
minecraft.mined.pink_concrete: #1, 1879(27%)
minecraft.picked_up.wheat: #1, 33975(16%)
minecraft.dropped.spruce_log: #1, 969(21%)
minecraft.dropped.brick: #2, 1643(25%)
minecraft.crafted.red_sandstone_wall: #1, 191(65%)
minecraft.mined.vine: #1, 2823(18%)
minecraft.dropped.sandstone_slab: #1, 101(76%)
minecraft.mined.chiseled_red_sandstone: #1, 140(91%)
minecraft.picked_up.cut_sandstone: #2, 758(25%)
minecraft.picked_up.red_sandstone_wall: #1, 454(65%)
minecraft.crafted.pink_bed: #1, 117(91%)
minecraft.crafted.lime_stained_glass_pane: #1, 1528(38%)
