stat, rank, value, (percentage) 
minecraft.dropped.quartz_slab: #2, 124(39%)
minecraft.mined.soul_fire: #2, 228(12%)
minecraft.picked_up.prize_pottery_sherd: #1, 14(42%)
minecraft.dropped.grindstone: #2, 24(27%)
minecraft.picked_up.potato: #3, 6471(13%)
minecraft.used.dead_tube_coral: #1, 26(84%)
minecraft.dropped.tropical_fish: #2, 47(18%)
minecraft.dropped.pink_glazed_terracotta: #1, 10(83%)
minecraft.killed_by.bogged: #1, 2(33%)
minecraft.picked_up.ladder: #2, 883(11%)
minecraft.picked_up.light_blue_bed: #2, 66(15%)
minecraft.custom.open_barrel: #3, 24552(9%)
minecraft.dropped.diamond_axe: #2, 29(11%)
minecraft.crafted.white_bed: #2, 68(11%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #3, 257(20%)
minecraft.mined.spruce_log: #2, 19989(10%)
minecraft.used.flower_pot: #2, 264(10%)
minecraft.used.gold_block: #3, 1611(15%)
minecraft.dropped.jungle_slab: #2, 98(17%)
minecraft.dropped.wooden_axe: #1, 2(13%)
minecraft.picked_up.compass: #2, 172(12%)
minecraft.used.red_sand: #2, 528(12%)
minecraft.picked_up.red_dye: #3, 227(13%)
minecraft.used.diamond_axe: #2, 95903(9%)
minecraft.used.waxed_exposed_copper_bulb: #2, 64(16%)
minecraft.picked_up.light_blue_stained_glass: #3, 1223(16%)
minecraft.dropped.end_stone_brick_wall: #1, 150(71%)
minecraft.picked_up.dead_tube_coral_fan: #1, 7(70%)
minecraft.crafted.golden_leggings: #2, 16(24%)
minecraft.picked_up.spruce_log: #2, 21356(9%)
minecraft.used.brain_coral_fan: #2, 67(16%)
minecraft.picked_up.quartz: #2, 6750(9%)
minecraft.dropped.black_terracotta: #2, 89(47%)
minecraft.picked_up.golden_helmet: #2, 37(9%)
minecraft.used.golden_carrot: #3, 7516(9%)
minecraft.picked_up.stone_axe: #2, 6(15%)
minecraft.crafted.white_terracotta: #3, 1360(17%)
minecraft.dropped.iron_pickaxe: #2, 14(14%)
minecraft.dropped.resin_brick_slab: #1, 2(67%)
minecraft.crafted.chiseled_red_sandstone: #1, 8(44%)
minecraft.dropped.cherry_door: #1, 2(67%)
minecraft.killed_by.endermite: #1, 2(67%)
minecraft.used.waxed_cut_copper_stairs: #2, 150(33%)
minecraft.mined.smooth_sandstone: #2, 388(12%)
minecraft.crafted.pink_stained_glass_pane: #2, 624(26%)
minecraft.mined.fire_coral: #2, 115(15%)
minecraft.picked_up.archer_pottery_sherd: #1, 10(32%)
minecraft.picked_up.brick_slab: #2, 31(18%)
minecraft.dropped.polished_granite_slab: #1, 9(64%)
minecraft.dropped.black_stained_glass: #2, 68(16%)
minecraft.dropped.black_stained_glass_pane: #2, 33(28%)
minecraft.mined.sculk_vein: #2, 5920(11%)
minecraft.dropped.small_amethyst_bud: #2, 49(32%)
minecraft.picked_up.fire_coral: #2, 113(15%)
minecraft.picked_up.mud: #3, 25032(13%)
minecraft.broken.wooden_sword: #1, 5(62%)
minecraft.dropped.tnt: #2, 325(12%)
minecraft.mined.decorated_pot: #3, 757(13%)
minecraft.mined.orange_stained_glass: #2, 188(16%)
minecraft.picked_up.diamond_axe: #2, 100(8%)
minecraft.dropped.acacia_pressure_plate: #1, 4(40%)
minecraft.picked_up.waxed_exposed_copper_door: #1, 2(40%)
minecraft.picked_up.acacia_sign: #2, 35(11%)
minecraft.mined.honey_block: #3, 935(14%)
minecraft.mined.tube_coral: #2, 103(15%)
minecraft.mined.mud_bricks: #3, 600(13%)
minecraft.picked_up.glow_lichen: #3, 7038(13%)
minecraft.mined.sculk: #2, 15416(11%)
minecraft.dropped.white_concrete: #2, 248(14%)
minecraft.crafted.waxed_chiseled_copper: #2, 126(24%)
minecraft.used.golden_sword: #1, 2(29%)
minecraft.dropped.red_sandstone_slab: #1, 16(57%)
minecraft.picked_up.waxed_cut_copper_slab: #2, 49(13%)
minecraft.crafted.furnace_minecart: #2, 7(21%)
minecraft.dropped.baked_potato: #3, 492(13%)
minecraft.mined.light_blue_bed: #2, 51(12%)
minecraft.picked_up.plenty_pottery_sherd: #1, 7(28%)
minecraft.picked_up.paper: #3, 1140(11%)
minecraft.used.waxed_oxidized_cut_copper_slab: #2, 450(16%)
minecraft.crafted.birch_fence_gate: #2, 151(15%)
minecraft.used.smooth_red_sandstone_slab: #2, 537(19%)
minecraft.picked_up.tube_coral: #2, 100(14%)
minecraft.custom.drop: #3, 24534(8%)
minecraft.picked_up.popped_chorus_fruit: #2, 182(35%)
minecraft.crafted.black_banner: #2, 179(12%)
minecraft.crafted.acacia_planks: #3, 7800(12%)
minecraft.used.honey_block: #3, 2159(13%)
minecraft.killed.pig: #2, 101(8%)
minecraft.crafted.iron_trapdoor: #3, 1304(12%)
minecraft.dropped.stone_brick_wall: #2, 46(25%)
minecraft.mined.rose_bush: #3, 175(14%)
minecraft.used.iron_leggings: #2, 3(20%)
minecraft.crafted.light_blue_harness: #1, 1(100%)
minecraft.crafted.acacia_sapling: #1, 8(50%)
minecraft.crafted.granite: #1, 2(100%)
minecraft.used.dead_horn_coral: #1, 2(100%)
minecraft.used.dead_fire_coral: #1, 13(100%)
minecraft.used.amethyst_shard: #1, 23(100%)
minecraft.used.dead_tube_coral_fan: #1, 5(100%)
minecraft.dropped.granite_stairs: #1, 6(100%)
minecraft.dropped.resin_bricks: #1, 1(50%)
minecraft.dropped.weathered_copper_trapdoor: #1, 1(100%)
minecraft.dropped.dead_horn_coral_fan: #1, 6(100%)
minecraft.dropped.dead_horn_coral: #1, 1(100%)
minecraft.dropped.dead_tube_coral_fan: #1, 1(100%)
minecraft.dropped.resin_brick_stairs: #1, 1(100%)
minecraft.dropped.dead_brain_coral: #1, 1(100%)
minecraft.dropped.furnace_minecart: #1, 1(25%)
minecraft.dropped.dead_bubble_coral_block: #1, 2(100%)
minecraft.dropped.dead_bubble_coral: #1, 3(100%)
minecraft.dropped.dead_fire_coral: #1, 3(100%)
minecraft.dropped.black_harness: #1, 1(100%)
minecraft.mined.waxed_exposed_copper_door: #1, 1(50%)
minecraft.mined.dead_horn_coral: #1, 4(100%)
minecraft.mined.dead_tube_coral_fan: #1, 7(100%)
minecraft.picked_up.black_bundle: #1, 3(100%)
minecraft.picked_up.dead_horn_coral: #1, 3(100%)
minecraft.killed_by.polar_bear: #1, 2(100%)
minecraft.crafted.light_blue_bundle: #1, 1(33%)
minecraft.killed_by.hoglin: #1, 1(33%)
minecraft.used.black_banner: #2, 131(12%)
minecraft.used.acacia_sign: #3, 122(14%)
minecraft.used.chest: #2, 2928(8%)
minecraft.used.acacia_pressure_plate: #2, 17(21%)
minecraft.picked_up.polished_diorite: #3, 184(13%)
minecraft.dropped.polished_deepslate_wall: #2, 84(27%)
minecraft.crafted.quartz_slab: #2, 424(14%)
minecraft.used.wooden_axe: #2, 80(16%)
minecraft.used.gray_concrete_powder: #3, 9266(12%)
minecraft.used.chiseled_resin_bricks: #2, 47(46%)
minecraft.picked_up.golden_chestplate: #2, 35(7%)
minecraft.picked_up.acacia_hanging_sign: #2, 11(18%)
minecraft.crafted.magenta_terracotta: #3, 766(17%)
minecraft.mined.wither_skeleton_skull: #2, 6(18%)
minecraft.picked_up.black_bed: #3, 117(18%)
minecraft.used.dried_ghast: #2, 188(23%)
minecraft.used.brain_coral_block: #2, 165(14%)
minecraft.mined.bush: #2, 307(18%)
minecraft.crafted.cut_copper_stairs: #2, 80(23%)
minecraft.used.bush: #2, 188(18%)
minecraft.picked_up.baked_potato: #3, 1115(11%)
minecraft.crafted.quartz_bricks: #2, 88(16%)
minecraft.picked_up.polished_granite_slab: #2, 62(22%)
minecraft.mined.sandstone_slab: #2, 112(18%)
minecraft.dropped.filled_map: #3, 327(11%)
minecraft.mined.cut_copper_stairs: #2, 65(22%)
minecraft.mined.packed_ice: #2, 18064(7%)
minecraft.used.soul_campfire: #2, 67(16%)
minecraft.crafted.smooth_red_sandstone_stairs: #2, 59(25%)
minecraft.used.stripped_birch_wood: #3, 930(19%)
minecraft.mined.mossy_stone_bricks: #2, 395(8%)
minecraft.crafted.apple: #2, 816(11%)
minecraft.picked_up.bone: #3, 11438(11%)
minecraft.picked_up.bush: #2, 285(17%)
minecraft.used.black_bed: #3, 113(16%)
minecraft.dropped.green_banner: #2, 9(33%)
minecraft.crafted.smooth_quartz: #2, 1831(9%)
minecraft.crafted.light_blue_banner: #2, 32(13%)
minecraft.crafted.bone_meal: #3, 154036(11%)
minecraft.dropped.bricks: #2, 127(12%)
minecraft.dropped.moss_carpet: #3, 2629(10%)
minecraft.dropped.elytra: #3, 25(8%)
minecraft.dropped.brush: #2, 4(20%)
minecraft.dropped.bone: #3, 1877(10%)
minecraft.crafted.golden_apple: #2, 297(11%)
minecraft.picked_up.diamond_pickaxe: #3, 156(8%)
minecraft.picked_up.cut_copper_stairs: #2, 74(20%)
minecraft.picked_up.dead_horn_coral_fan: #2, 23(32%)
minecraft.used.pink_stained_glass_pane: #2, 394(20%)
minecraft.dropped.diamond_sword: #3, 26(10%)
minecraft.crafted.brown_carpet: #3, 899(15%)
minecraft.dropped.decorated_pot: #3, 66(16%)
minecraft.picked_up.music_disc_tears: #2, 5(31%)
minecraft.crafted.mangrove_boat: #2, 4(22%)
minecraft.dropped.bamboo_trapdoor: #2, 86(16%)
minecraft.crafted.copper_trapdoor: #3, 1928(12%)
minecraft.crafted.end_rod: #3, 1424(17%)
minecraft.used.baked_potato: #3, 747(11%)
minecraft.mined.black_bed: #3, 113(17%)
minecraft.picked_up.firefly_bush: #3, 430(16%)
minecraft.crafted.gray_concrete_powder: #3, 9288(12%)
minecraft.crafted.birch_wood: #3, 645(17%)
minecraft.picked_up.diamond_shovel: #3, 104(9%)
minecraft.used.birch_wood: #3, 620(18%)
minecraft.killed.armadillo: #2, 6(14%)
minecraft.used.cornflower: #3, 20(14%)
minecraft.dropped.milk_bucket: #3, 26(21%)
minecraft.dropped.diorite_slab: #2, 72(18%)
minecraft.dropped.egg: #3, 608(9%)
minecraft.mined.gold_block: #3, 744(11%)
minecraft.used.short_dry_grass: #2, 100(20%)
minecraft.dropped.birch_fence_gate: #2, 29(36%)
minecraft.used.end_stone: #3, 773(11%)
minecraft.dropped.brick_stairs: #2, 13(24%)
minecraft.crafted.pale_oak_button: #2, 195(12%)
minecraft.dropped.birch_boat: #2, 7(23%)
minecraft.mined.jungle_leaves: #3, 3555(10%)
minecraft.dropped.gray_carpet: #2, 52(11%)
minecraft.picked_up.sandstone_slab: #2, 107(14%)
minecraft.crafted.firework_rocket: #3, 39966(11%)
minecraft.picked_up.flower_pot: #3, 108(10%)
minecraft.mined.dead_horn_coral_fan: #2, 22(34%)
minecraft.used.tall_dry_grass: #2, 36(12%)
minecraft.used.turtle_egg: #3, 120(17%)
minecraft.crafted.waxed_exposed_cut_copper_stairs: #2, 64(17%)
minecraft.mined.bricks: #3, 493(10%)
minecraft.used.melon_seeds: #3, 149(10%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #2, 4(19%)
minecraft.dropped.dark_oak_button: #2, 13(17%)
minecraft.mined.dead_horn_coral_wall_fan: #2, 4(33%)
minecraft.crafted.polished_diorite_slab: #2, 30(16%)
minecraft.dropped.mud_brick_slab: #2, 55(19%)
minecraft.dropped.purpur_block: #2, 131(7%)
minecraft.used.pale_oak_boat: #2, 10(32%)
minecraft.used.tube_coral_block: #3, 202(18%)
minecraft.mined.light_blue_wall_banner: #2, 4(18%)
minecraft.picked_up.tuff_brick_wall: #3, 172(11%)
minecraft.used.white_concrete: #3, 9651(10%)
minecraft.used.minecart: #3, 286(9%)
minecraft.crafted.white_stained_glass_pane: #3, 2032(11%)
minecraft.dropped.mangrove_boat: #2, 2(25%)
minecraft.used.dead_horn_coral_fan: #2, 17(31%)
minecraft.picked_up.mangrove_leaves: #3, 10469(9%)
minecraft.used.iron_helmet: #2, 3(11%)
minecraft.crafted.wooden_axe: #2, 2(11%)
minecraft.used.stone_sword: #3, 1157(10%)
minecraft.crafted.acacia_fence_gate: #3, 114(13%)
minecraft.dropped.emerald: #2, 2118(6%)
minecraft.dropped.carrot: #4, 4741(12%)
minecraft.picked_up.mangrove_sign: #3, 43(12%)
minecraft.mined.seagrass: #3, 723(9%)
minecraft.crafted.iron_axe: #3, 13(10%)
minecraft.used.golden_apple: #3, 81(16%)
minecraft.picked_up.danger_pottery_sherd: #2, 5(24%)
minecraft.mined.pointed_dripstone: #3, 600(9%)
minecraft.picked_up.packed_ice: #3, 17528(9%)
minecraft.used.orange_banner: #3, 42(14%)
minecraft.mined.dark_oak_leaves: #4, 5189(13%)
minecraft.picked_up.pale_oak_boat: #2, 9(29%)
minecraft.picked_up.mud_brick_slab: #3, 164(13%)
minecraft.picked_up.dried_kelp: #3, 1056(13%)
minecraft.picked_up.polished_deepslate: #3, 545(9%)
minecraft.dropped.horn_coral_fan: #2, 2(29%)
minecraft.crafted.leather_helmet: #3, 27(13%)
minecraft.mined.muddy_mangrove_roots: #3, 1317(10%)
minecraft.dropped.leaf_litter: #3, 44(18%)
minecraft.mined.horn_coral_fan: #3, 78(14%)
minecraft.picked_up.dune_armor_trim_smithing_template: #2, 2(18%)
minecraft.picked_up.pink_petals: #3, 3907(9%)
minecraft.mined.black_stained_glass_pane: #3, 44(10%)
minecraft.dropped.oak_trapdoor: #3, 32(11%)
minecraft.crafted.cactus: #2, 8(27%)
minecraft.used.light_blue_glazed_terracotta: #2, 29(12%)
minecraft.mined.magenta_candle: #2, 5(26%)
minecraft.dropped.chipped_anvil: #2, 6(15%)
minecraft.dropped.quartz_stairs: #2, 38(21%)
minecraft.picked_up.medium_amethyst_bud: #2, 200(12%)
minecraft.used.beetroot: #3, 40(14%)
minecraft.crafted.chiseled_deepslate: #2, 12(9%)
minecraft.crafted.birch_sign: #3, 120(8%)
minecraft.mined.rail: #3, 2732(8%)
minecraft.dropped.sandstone_stairs: #2, 17(25%)
minecraft.dropped.purpur_stairs: #3, 24(17%)
minecraft.picked_up.sculk: #2, 6569(5%)
minecraft.crafted.gray_terracotta: #3, 1016(12%)
minecraft.mined.orange_carpet: #3, 51(13%)
minecraft.crafted.gray_stained_glass_pane: #3, 888(13%)
minecraft.dropped.diamond_ore: #2, 1(14%)
minecraft.crafted.magenta_bundle: #2, 1(50%)
minecraft.dropped.waxed_oxidized_chiseled_copper: #2, 1(25%)
minecraft.dropped.cherry_sign: #2, 2(25%)
minecraft.dropped.black_bed: #2, 2(17%)
minecraft.dropped.dead_fire_coral_block: #2, 1(33%)
minecraft.used.wooden_sword: #3, 232(11%)
minecraft.used.deepslate_tile_stairs: #3, 950(9%)
minecraft.mined.pale_oak_button: #2, 13(14%)
minecraft.used.light_blue_stained_glass: #3, 2773(9%)
minecraft.used.amethyst_cluster: #2, 150(5%)
minecraft.dropped.diamond_hoe: #3, 5(10%)
minecraft.picked_up.magenta_candle: #2, 21(16%)
minecraft.used.stonecutter: #3, 130(8%)
minecraft.picked_up.brain_coral_block: #3, 504(14%)
minecraft.mined.soul_soil: #4, 3227(12%)
minecraft.mined.furnace: #3, 230(8%)
minecraft.dropped.chorus_flower: #3, 22(28%)
minecraft.mined.polished_deepslate_wall: #4, 128(14%)
minecraft.picked_up.horn_coral_fan: #3, 318(11%)
minecraft.crafted.brown_wool: #3, 292(11%)
minecraft.crafted.light_blue_wool: #3, 750(12%)
minecraft.picked_up.sea_pickle: #3, 859(7%)
minecraft.mined.leaf_litter: #3, 156(9%)
minecraft.dropped.dead_brain_coral_block: #2, 1(14%)
minecraft.mined.potted_azure_bluet: #2, 2(29%)
minecraft.killed_by.wither_skeleton: #2, 1(14%)
minecraft.dropped.black_dye: #3, 41(12%)
minecraft.crafted.spire_armor_trim_smithing_template: #2, 10(21%)
minecraft.crafted.black_shulker_box: #3, 10(9%)
minecraft.mined.sea_pickle: #3, 211(8%)
minecraft.used.poisonous_potato: #2, 1(20%)
minecraft.dropped.copper_trapdoor: #2, 10(13%)
minecraft.dropped.goat_horn: #3, 12(9%)
minecraft.crafted.pumpkin_pie: #3, 760(15%)
minecraft.mined.tall_dry_grass: #3, 78(12%)
minecraft.picked_up.black_dye: #4, 202(11%)
minecraft.crafted.diamond: #3, 5688(7%)
minecraft.dropped.red_terracotta: #3, 161(11%)
minecraft.picked_up.spyglass: #3, 14(7%)
minecraft.used.pale_oak_button: #2, 115(7%)
minecraft.used.soul_torch: #3, 52(22%)
minecraft.dropped.mangrove_roots: #3, 282(10%)
minecraft.used.light_blue_bed: #3, 53(11%)
minecraft.picked_up.cobbled_deepslate_wall: #3, 83(12%)
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #3, 80(13%)
minecraft.mined.potted_warped_fungus: #2, 1(25%)
minecraft.mined.waxed_cut_copper_slab: #3, 43(11%)
minecraft.dropped.orange_stained_glass: #2, 23(12%)
minecraft.mined.polished_deepslate_stairs: #3, 132(9%)
minecraft.mined.horn_coral_wall_fan: #3, 245(10%)
minecraft.crafted.paper: #4, 23026(11%)
minecraft.dropped.tipped_arrow: #3, 194(10%)
minecraft.dropped.coal_block: #3, 132(19%)
minecraft.dropped.brown_carpet: #3, 39(21%)
minecraft.dropped.brain_coral_fan: #2, 3(23%)
minecraft.dropped.spyglass: #3, 8(9%)
minecraft.dropped.stone_brick_stairs: #3, 64(11%)
minecraft.crafted.waxed_copper_grate: #2, 126(10%)
minecraft.mined.gray_banner: #2, 5(14%)
minecraft.killed.frog: #2, 8(10%)
minecraft.crafted.black_bundle: #2, 1(33%)
minecraft.crafted.pink_tulip: #2, 12(22%)
minecraft.dropped.guster_banner_pattern: #2, 1(17%)
minecraft.picked_up.dead_bubble_coral: #2, 7(33%)
minecraft.mined.cut_copper_slab: #3, 65(15%)
minecraft.dropped.stone_bricks: #3, 352(7%)
minecraft.mined.resin_clump: #3, 700(9%)
minecraft.used.heavy_core: #2, 3(11%)
minecraft.picked_up.resin_brick: #2, 3(21%)
minecraft.picked_up.tall_dry_grass: #3, 76(13%)
minecraft.dropped.nether_brick_slab: #2, 8(16%)
minecraft.dropped.golden_carrot: #4, 1105(8%)
minecraft.dropped.orange_concrete: #2, 66(9%)
minecraft.mined.waxed_cut_copper_stairs: #3, 28(16%)
minecraft.picked_up.beetroot_seeds: #4, 2831(10%)
minecraft.used.mangrove_fence: #3, 406(8%)
minecraft.used.sea_pickle: #3, 462(8%)
minecraft.dropped.pale_oak_boat: #2, 1(20%)
minecraft.mined.dead_bubble_coral: #2, 6(30%)
minecraft.dropped.light_blue_concrete: #2, 72(7%)
minecraft.mined.brain_coral_block: #3, 505(14%)
minecraft.dropped.dried_ghast: #2, 54(14%)
minecraft.picked_up.horn_coral: #3, 89(10%)
minecraft.mined.mangrove_sign: #3, 4(14%)
minecraft.mined.medium_amethyst_bud: #2, 70(4%)
minecraft.picked_up.beetroot: #4, 2877(10%)
minecraft.picked_up.small_amethyst_bud: #2, 124(5%)
minecraft.picked_up.waxed_cut_copper_stairs: #3, 28(17%)
minecraft.crafted.pale_oak_boat: #2, 2(13%)
minecraft.dropped.pink_banner: #2, 2(13%)
minecraft.mined.heavy_core: #2, 2(11%)
minecraft.crafted.stripped_birch_wood: #3, 174(17%)
minecraft.used.firework_rocket: #4, 43300(6%)
minecraft.mined.horn_coral: #3, 91(10%)
minecraft.crafted.tube_coral_block: #2, 8(25%)
minecraft.mined.dead_brain_coral_wall_fan: #2, 1(25%)
minecraft.mined.potted_pink_tulip: #2, 1(17%)
minecraft.used.iron_trapdoor: #4, 988(10%)
minecraft.picked_up.acacia_pressure_plate: #3, 10(19%)
minecraft.mined.mangrove_slab: #4, 182(10%)
minecraft.dropped.magenta_terracotta: #2, 7(8%)
minecraft.used.dead_bubble_coral: #2, 4(24%)
minecraft.used.flowering_azalea: #4, 176(12%)
minecraft.mined.red_bed: #3, 31(7%)
minecraft.crafted.yellow_terracotta: #4, 1833(13%)
minecraft.picked_up.red_bed: #3, 31(7%)
minecraft.used.bundle: #5, 159(12%)
minecraft.dropped.green_shulker_box: #2, 3(7%)
minecraft.crafted.cornflower: #2, 12(20%)
minecraft.broken.wooden_axe: #2, 1(20%)
minecraft.used.gray_banner: #4, 44(17%)
minecraft.mined.dead_brain_coral_block: #3, 94(12%)
minecraft.crafted.pink_stained_glass: #3, 648(11%)
minecraft.used.bubble_coral: #2, 9(6%)
minecraft.dropped.stone_axe: #3, 6(8%)
minecraft.picked_up.copper_block: #2, 1782(2%)
minecraft.mined.birch_wall_sign: #3, 23(8%)
minecraft.mined.twisting_vines: #3, 26(10%)
minecraft.dropped.light_blue_stained_glass: #2, 139(5%)
minecraft.dropped.stripped_pale_oak_log: #2, 2(18%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #3, 64(14%)
minecraft.crafted.cookie: #3, 792(9%)
minecraft.dropped.beetroot_seeds: #4, 2238(10%)
minecraft.mined.warped_nylium: #3, 420(6%)
minecraft.crafted.dried_ghast: #2, 66(8%)
minecraft.mined.white_concrete_powder: #4, 228(12%)
minecraft.crafted.orange_shulker_box: #3, 24(6%)
minecraft.dropped.waxed_oxidized_cut_copper_stairs: #3, 19(11%)
minecraft.picked_up.white_concrete: #4, 4980(9%)
minecraft.picked_up.coarse_dirt: #4, 2332(9%)
minecraft.dropped.open_eyeblossom: #2, 2(11%)
minecraft.dropped.lime_shulker_box: #2, 1(3%)
minecraft.picked_up.music_disc_11: #3, 9(16%)
minecraft.mined.fire_coral_fan: #3, 35(7%)
minecraft.used.red_sandstone_wall: #3, 1411(13%)
minecraft.crafted.red_sandstone_slab: #3, 74(12%)
minecraft.dropped.leather_leggings: #4, 26(8%)
minecraft.picked_up.rabbit_foot: #3, 4(11%)
minecraft.dropped.bubble_coral_block: #2, 7(6%)
minecraft.dropped.beetroot: #4, 2624(11%)
minecraft.dropped.gold_ingot: #4, 953(9%)
minecraft.crafted.oxidized_copper_grate: #3, 64(8%)
minecraft.used.iron_chestplate: #3, 3(9%)
minecraft.crafted.brush: #3, 15(9%)
minecraft.picked_up.experience_bottle: #3, 341(8%)
minecraft.picked_up.deepslate_tile_stairs: #4, 313(11%)
minecraft.mined.jack_o_lantern: #3, 26(10%)
minecraft.dropped.chainmail_chestplate: #3, 6(7%)
minecraft.mined.red_sandstone: #4, 110(15%)
minecraft.dropped.gray_stained_glass_pane: #2, 4(6%)
minecraft.custom.happy_ghast_one_cm: #4, 1936468(8%)
minecraft.used.pufferfish: #2, 1(3%)
minecraft.picked_up.snort_pottery_sherd: #3, 7(21%)
minecraft.picked_up.pink_wool: #3, 565(6%)
minecraft.dropped.red_sandstone_wall: #3, 18(20%)
minecraft.dropped.bucket: #4, 186(9%)
minecraft.crafted.golden_sword: #2, 1(11%)
minecraft.used.rooted_dirt: #4, 1596(12%)
minecraft.killed_by.piglin: #3, 4(12%)
minecraft.mined.dark_oak_sapling: #3, 27(6%)
minecraft.crafted.oxidized_copper_door: #3, 6(13%)
minecraft.dropped.mycelium: #2, 3(7%)
minecraft.picked_up.warped_nylium: #3, 395(5%)
minecraft.mined.tube_coral_fan: #3, 40(8%)
minecraft.dropped.light_blue_concrete_powder: #3, 7(15%)
minecraft.dropped.poisonous_potato: #4, 15(14%)
minecraft.mined.pitcher_plant: #4, 19(13%)
minecraft.used.medium_amethyst_bud: #2, 44(4%)
minecraft.used.light_blue_concrete_powder: #4, 2872(12%)
minecraft.used.small_amethyst_bud: #2, 44(3%)
minecraft.crafted.waxed_exposed_copper_grate: #3, 64(14%)
minecraft.mined.acacia_sign: #3, 3(10%)
minecraft.picked_up.iron_horse_armor: #3, 5(8%)
minecraft.mined.orange_glazed_terracotta: #3, 27(16%)
minecraft.mined.mud_brick_slab: #4, 99(12%)
minecraft.picked_up.polished_granite: #4, 201(10%)
minecraft.crafted.birch_boat: #3, 9(10%)
minecraft.crafted.host_armor_trim_smithing_template: #2, 2(6%)
minecraft.used.spyglass: #4, 522(7%)
minecraft.mined.bone_block: #4, 610(8%)
minecraft.crafted.ender_chest: #4, 98(10%)
minecraft.dropped.purpur_slab: #3, 6(9%)
minecraft.picked_up.dead_bush: #4, 626(11%)
minecraft.mined.bubble_coral_fan: #3, 43(8%)
minecraft.used.iron_axe: #4, 2076(9%)
minecraft.picked_up.diamond_ore: #4, 23(11%)
minecraft.used.mangrove_boat: #3, 6(15%)
minecraft.dropped.pale_oak_fence: #2, 4(2%)
minecraft.picked_up.orange_carpet: #4, 111(12%)
minecraft.picked_up.shelter_pottery_sherd: #3, 5(9%)
minecraft.picked_up.black_harness: #2, 1(2%)
minecraft.used.bone_meal: #4, 17388(8%)
minecraft.used.copper_trapdoor: #4, 1273(9%)
minecraft.used.magenta_candle: #3, 22(20%)
minecraft.picked_up.shroomlight: #4, 273(8%)
minecraft.picked_up.granite: #4, 17950(8%)
minecraft.used.sculk_vein: #2, 87(0%)
minecraft.dropped.pale_oak_trapdoor: #3, 12(14%)
minecraft.crafted.waxed_copper_bulb: #3, 147(10%)
minecraft.used.wheat: #4, 62(12%)
minecraft.dropped.brain_coral: #3, 2(17%)
minecraft.crafted.stone: #4, 1125(8%)
minecraft.mined.blue_ice: #3, 383(6%)
minecraft.crafted.black_bed: #3, 10(9%)
minecraft.picked_up.gray_banner: #3, 8(10%)
minecraft.picked_up.oak_slab: #4, 338(8%)
minecraft.used.orange_carpet: #4, 208(12%)
minecraft.used.horn_coral: #3, 51(14%)
minecraft.mined.brain_coral_fan: #3, 38(7%)
minecraft.mined.waxed_exposed_cut_copper_slab: #3, 11(10%)
minecraft.dropped.magenta_stained_glass: #3, 3(13%)
minecraft.used.acacia_boat: #3, 8(15%)
minecraft.crafted.black_stained_glass_pane: #4, 1016(10%)
minecraft.picked_up.angler_pottery_sherd: #3, 6(10%)
minecraft.picked_up.acacia_boat: #3, 6(13%)
minecraft.picked_up.deepslate_tile_slab: #4, 473(8%)
minecraft.picked_up.muddy_mangrove_roots: #4, 1381(9%)
minecraft.mined.waxed_chiseled_copper: #4, 68(10%)
minecraft.dropped.purple_shulker_box: #3, 2(8%)
minecraft.mined.acacia_pressure_plate: #3, 6(15%)
minecraft.picked_up.brain_coral: #3, 38(5%)
minecraft.dropped.blue_dye: #4, 33(10%)
minecraft.custom.damage_absorbed: #4, 2774(11%)
minecraft.picked_up.stripped_mangrove_log: #3, 436(4%)
minecraft.mined.potted_flowering_azalea_bush: #3, 2(14%)
minecraft.mined.brain_coral: #3, 39(5%)
minecraft.picked_up.sculk_vein: #3, 2351(4%)
minecraft.crafted.gray_wool: #4, 657(11%)
minecraft.dropped.acacia_sign: #3, 3(9%)
minecraft.mined.stripped_mangrove_log: #3, 426(4%)
minecraft.picked_up.leaf_litter: #4, 402(9%)
minecraft.picked_up.waxed_chiseled_copper: #4, 67(10%)
minecraft.dropped.glow_lichen: #3, 322(6%)
minecraft.killed_by.pillager: #3, 2(17%)
minecraft.dropped.mossy_stone_bricks: #3, 94(5%)
minecraft.used.pale_oak_leaves: #3, 105(5%)
minecraft.crafted.smooth_red_sandstone: #4, 785(17%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #3, 13(8%)
minecraft.dropped.pufferfish_bucket: #3, 2(20%)
minecraft.dropped.acacia_fence: #3, 15(11%)
minecraft.crafted.chiseled_quartz_block: #3, 11(13%)
minecraft.picked_up.birch_planks: #4, 490(7%)
minecraft.dropped.light_gray_concrete_powder: #3, 100(5%)
minecraft.used.white_stained_glass_pane: #4, 1393(9%)
minecraft.mined.brick_stairs: #4, 29(13%)
minecraft.mined.bamboo_wall_sign: #4, 35(7%)
minecraft.mined.bubble_coral: #3, 35(5%)
minecraft.dropped.jungle_sign: #3, 9(9%)
minecraft.mined.copper_door: #3, 5(7%)
minecraft.crafted.netherite_hoe: #3, 1(8%)
minecraft.dropped.red_bed: #3, 1(12%)
