stat, rank, value, (percentage) 
minecraft.dropped.wooden_hoe: #2, 6(17%)
minecraft.picked_up.sheaf_pottery_sherd: #2, 6(21%)
minecraft.mined.white_tulip: #3, 191(13%)
minecraft.picked_up.cooked_chicken: #3, 1063(10%)
minecraft.dropped.beetroot_seeds: #3, 2514(11%)
minecraft.picked_up.polished_granite_stairs: #2, 87(23%)
minecraft.mined.dark_prismarine_stairs: #2, 25(16%)
minecraft.mined.red_tulip: #3, 248(12%)
minecraft.mined.soul_fire: #3, 218(12%)
minecraft.picked_up.saddle: #3, 82(10%)
minecraft.mined.chipped_anvil: #3, 36(10%)
minecraft.picked_up.waxed_oxidized_copper_grate: #2, 146(9%)
minecraft.picked_up.diorite_wall: #3, 104(18%)
minecraft.killed_by.husk: #2, 7(39%)
minecraft.picked_up.piglin_banner_pattern: #2, 4(22%)
minecraft.picked_up.deepslate_tile_stairs: #3, 351(12%)
minecraft.picked_up.coast_armor_trim_smithing_template: #2, 6(17%)
minecraft.used.yellow_stained_glass: #2, 1825(12%)
minecraft.used.waxed_oxidized_copper_grate: #3, 438(13%)
minecraft.crafted.black_dye: #3, 8147(10%)
minecraft.crafted.brown_stained_glass: #2, 1192(14%)
minecraft.used.bone_meal: #3, 21444(9%)
minecraft.picked_up.tuff_wall: #2, 98(10%)
minecraft.crafted.waxed_oxidized_cut_copper: #2, 192(11%)
minecraft.picked_up.mud_brick_stairs: #3, 79(16%)
minecraft.dropped.soul_torch: #2, 28(21%)
minecraft.crafted.yellow_dye: #3, 3497(10%)
minecraft.picked_up.music_disc_11: #2, 10(18%)
minecraft.dropped.acacia_log: #3, 67(13%)
minecraft.mined.pink_petals: #3, 760(11%)
minecraft.custom.happy_ghast_one_cm: #3, 2096210(9%)
minecraft.picked_up.podzol: #3, 1722(12%)
minecraft.crafted.packed_mud: #3, 10938(10%)
minecraft.mined.oxeye_daisy: #3, 142(10%)
minecraft.mined.green_banner: #2, 8(29%)
minecraft.picked_up.bricks: #3, 648(10%)
minecraft.crafted.spruce_planks: #3, 62256(9%)
minecraft.custom.deaths: #4, 1987(8%)
minecraft.used.yellow_wool: #2, 1617(7%)
minecraft.mined.jungle_button: #2, 15(18%)
minecraft.picked_up.light_gray_stained_glass_pane: #3, 147(13%)
minecraft.crafted.acacia_sign: #3, 102(12%)
minecraft.broken.iron_hoe: #2, 2(15%)
minecraft.mined.oak_stairs: #3, 250(11%)
minecraft.used.powder_snow_bucket: #3, 409(14%)
minecraft.dropped.warped_trapdoor: #2, 30(14%)
minecraft.crafted.acacia_slab: #3, 870(14%)
minecraft.crafted.brewing_stand: #2, 89(7%)
minecraft.mined.birch_planks: #3, 383(9%)
minecraft.picked_up.acacia_slab: #3, 149(15%)
minecraft.used.granite: #3, 2612(9%)
minecraft.picked_up.music_disc_far: #2, 4(27%)
minecraft.killed.bat: #3, 21(13%)
minecraft.picked_up.rib_armor_trim_smithing_template: #2, 2(33%)
minecraft.dropped.mossy_cobblestone_wall: #2, 6(33%)
minecraft.used.warped_planks: #3, 1419(13%)
minecraft.mined.lime_concrete: #3, 1006(14%)
minecraft.dropped.torchflower: #2, 23(13%)
minecraft.used.red_sandstone: #3, 306(23%)
minecraft.picked_up.rooted_dirt: #3, 1972(10%)
minecraft.picked_up.jungle_sapling: #2, 610(5%)
minecraft.picked_up.chiseled_red_sandstone: #2, 65(25%)
minecraft.used.yellow_concrete: #3, 2345(11%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #2, 4(18%)
minecraft.picked_up.waxed_exposed_copper_bulb: #3, 35(14%)
minecraft.picked_up.disc_fragment_5: #2, 23(14%)
minecraft.picked_up.mossy_cobblestone_wall: #2, 51(11%)
minecraft.dropped.sea_lantern: #2, 11(12%)
minecraft.crafted.spruce_pressure_plate: #3, 51(13%)
minecraft.picked_up.mace: #3, 26(9%)
minecraft.picked_up.oak_planks: #3, 1301(8%)
minecraft.picked_up.host_armor_trim_smithing_template: #2, 4(17%)
minecraft.picked_up.mossy_stone_brick_slab: #3, 44(15%)
minecraft.picked_up.polished_blackstone_brick_stairs: #2, 42(10%)
minecraft.mined.mud_brick_stairs: #3, 49(15%)
minecraft.used.pitcher_plant: #3, 55(13%)
minecraft.picked_up.tuff_slab: #3, 172(11%)
minecraft.used.wheat: #3, 68(13%)
minecraft.used.spruce_slab: #3, 4528(9%)
minecraft.picked_up.magenta_concrete_powder: #3, 1422(20%)
minecraft.mined.waxed_exposed_copper_bulb: #3, 35(14%)
minecraft.used.golden_axe: #2, 32(30%)
minecraft.mined.acacia_stairs: #3, 69(17%)
minecraft.used.lime_dye: #3, 19(14%)
minecraft.picked_up.archer_pottery_sherd: #2, 9(29%)
minecraft.picked_up.cooked_rabbit: #2, 9(29%)
minecraft.used.iron_axe: #3, 2147(9%)
minecraft.dropped.jungle_trapdoor: #2, 21(12%)
minecraft.used.yellow_concrete_powder: #3, 2546(10%)
minecraft.dropped.yellow_dye: #3, 74(9%)
minecraft.picked_up.golden_axe: #2, 3(14%)
minecraft.used.player_head: #3, 405(8%)
minecraft.mined.mangrove_trapdoor: #3, 80(9%)
minecraft.dropped.water_bucket: #3, 40(9%)
minecraft.killed.piglin: #3, 101(10%)
minecraft.picked_up.red_concrete_powder: #2, 549(8%)
minecraft.picked_up.suspicious_stew: #2, 8(22%)
minecraft.used.dispenser: #3, 433(8%)
minecraft.picked_up.spruce_log: #3, 18841(8%)
minecraft.used.cherry_leaves: #3, 1052(12%)
minecraft.picked_up.prize_pottery_sherd: #2, 9(27%)
minecraft.mined.birch_trapdoor: #3, 48(11%)
minecraft.dropped.waxed_oxidized_copper: #3, 87(13%)
minecraft.picked_up.green_concrete_powder: #3, 135(13%)
minecraft.mined.wall_torch: #3, 934(8%)
minecraft.picked_up.spruce_sign: #4, 257(11%)
minecraft.picked_up.birch_planks: #3, 566(8%)
minecraft.picked_up.milk_bucket: #3, 24(12%)
minecraft.mined.stone_button: #3, 120(9%)
minecraft.used.wildflowers: #3, 196(19%)
minecraft.mined.crimson_button: #2, 16(17%)
minecraft.picked_up.howl_pottery_sherd: #2, 4(13%)
minecraft.crafted.vex_armor_trim_smithing_template: #2, 22(34%)
minecraft.used.cooked_cod: #3, 476(8%)
minecraft.used.acacia_planks: #3, 1153(11%)
minecraft.picked_up.warped_stairs: #3, 87(14%)
minecraft.picked_up.quartz: #3, 5757(8%)
minecraft.dropped.ender_chest: #3, 69(9%)
minecraft.crafted.oak_stairs: #4, 496(14%)
minecraft.used.netherite_axe: #3, 54973(14%)
minecraft.dropped.blue_egg: #2, 5(25%)
minecraft.killed.tadpole: #2, 1(50%)
minecraft.dropped.turtle_helmet: #2, 1(33%)
minecraft.picked_up.mangrove_trapdoor: #3, 103(9%)
minecraft.picked_up.blue_orchid: #2, 596(8%)
minecraft.mined.ancient_debris: #3, 139(9%)
minecraft.used.spruce_log: #3, 3453(8%)
minecraft.picked_up.crimson_button: #2, 17(16%)
minecraft.picked_up.exposed_copper_bulb: #2, 4(10%)
minecraft.used.spruce_door: #3, 38(8%)
minecraft.mined.warped_trapdoor: #3, 63(11%)
minecraft.mined.exposed_copper_bulb: #2, 4(11%)
minecraft.crafted.netherite_ingot: #3, 33(10%)
minecraft.used.copper_bulb: #3, 94(11%)
minecraft.used.brown_wool: #3, 343(10%)
minecraft.used.acacia_pressure_plate: #3, 17(21%)
minecraft.picked_up.axolotl_bucket: #2, 5(45%)
minecraft.crafted.light_weighted_pressure_plate: #3, 32(16%)
minecraft.used.crimson_button: #2, 18(15%)
minecraft.picked_up.glow_berries: #3, 444(8%)
minecraft.picked_up.lime_concrete_powder: #3, 941(19%)
minecraft.mined.water_cauldron: #3, 11(11%)
minecraft.killed_by.guardian: #3, 16(13%)
minecraft.picked_up.red_sandstone_wall: #2, 85(12%)
minecraft.dropped.mangrove_slab: #3, 53(13%)
minecraft.picked_up.bone_block: #2, 2355(3%)
minecraft.picked_up.chiseled_sandstone: #3, 79(12%)
minecraft.used.moss_block: #4, 20104(11%)
minecraft.used.barrel: #3, 735(7%)
minecraft.picked_up.spire_armor_trim_smithing_template: #2, 3(12%)
minecraft.dropped.honey_bottle: #3, 59(10%)
minecraft.picked_up.diamond_chestplate: #4, 44(12%)
minecraft.mined.tripwire: #3, 125(7%)
minecraft.used.magenta_concrete_powder: #3, 1282(14%)
minecraft.mined.warped_stairs: #3, 54(13%)
minecraft.picked_up.shield: #3, 30(7%)
minecraft.mined.oak_button: #3, 20(9%)
minecraft.mined.moss_block: #4, 7108(10%)
minecraft.mined.blue_orchid: #3, 74(15%)
minecraft.dropped.detector_rail: #2, 13(10%)
minecraft.killed.llama: #2, 8(38%)
minecraft.dropped.nether_quartz_ore: #3, 40(15%)
minecraft.dropped.netherrack: #3, 7635(7%)
minecraft.picked_up.prismarine_bricks: #3, 2477(9%)
minecraft.picked_up.brown_egg: #2, 28(15%)
minecraft.killed.spider: #4, 711(11%)
minecraft.picked_up.ancient_debris: #3, 139(8%)
minecraft.picked_up.salmon: #3, 545(6%)
minecraft.picked_up.pink_terracotta: #3, 275(14%)
minecraft.picked_up.note_block: #4, 276(11%)
minecraft.picked_up.green_stained_glass_pane: #3, 91(12%)
minecraft.killed.strider: #2, 8(24%)
minecraft.mined.smooth_sandstone_slab: #3, 75(11%)
minecraft.mined.dark_prismarine_slab: #3, 65(14%)
minecraft.crafted.netherite_pickaxe: #3, 4(11%)
minecraft.picked_up.black_stained_glass_pane: #3, 62(8%)
minecraft.picked_up.lime_shulker_box: #4, 405(11%)
minecraft.dropped.oak_sign: #3, 35(8%)
minecraft.picked_up.field_masoned_banner_pattern: #2, 1(17%)
minecraft.picked_up.bamboo_trapdoor: #4, 330(12%)
minecraft.crafted.prismarine_brick_slab: #3, 90(21%)
minecraft.picked_up.blue_ice: #3, 478(9%)
minecraft.used.coarse_dirt: #4, 8775(11%)
minecraft.picked_up.snout_armor_trim_smithing_template: #2, 5(22%)
minecraft.used.lime_shulker_box: #4, 400(11%)
minecraft.dropped.waxed_cut_copper: #2, 8(9%)
minecraft.picked_up.spruce_boat: #3, 44(7%)
minecraft.dropped.tuff_brick_wall: #3, 51(23%)
minecraft.picked_up.tube_coral_fan: #3, 202(9%)
minecraft.crafted.yellow_concrete_powder: #3, 2528(8%)
minecraft.picked_up.nautilus_shell: #3, 54(7%)
minecraft.mined.chiseled_bookshelf: #3, 45(9%)
minecraft.picked_up.cod: #4, 1714(8%)
minecraft.killed.pig: #3, 80(6%)
minecraft.picked_up.music_disc_mellohi: #2, 8(20%)
minecraft.used.pink_dye: #2, 9(5%)
minecraft.picked_up.acacia_trapdoor: #3, 216(7%)
minecraft.dropped.blue_ice: #2, 76(5%)
minecraft.used.exposed_copper_bulb: #2, 3(10%)
minecraft.used.jungle_sapling: #2, 305(3%)
minecraft.picked_up.spruce_planks: #4, 2042(9%)
minecraft.used.stone_pickaxe: #3, 664(6%)
minecraft.killed_by.silverfish: #3, 9(14%)
minecraft.dropped.oak_pressure_plate: #3, 6(14%)
minecraft.mined.potted_closed_eyeblossom: #2, 2(29%)
minecraft.mined.lime_shulker_box: #4, 402(11%)
minecraft.broken.fishing_rod: #4, 16(13%)
minecraft.crafted.mace: #3, 3(12%)
minecraft.used.melon_slice: #4, 477(12%)
minecraft.used.fern: #3, 1316(11%)
minecraft.dropped.waxed_cut_copper_slab: #3, 7(11%)
minecraft.crafted.cut_red_sandstone: #2, 322(7%)
minecraft.used.golden_carrot: #4, 5663(6%)
minecraft.mined.orange_terracotta: #4, 4790(10%)
minecraft.crafted.furnace_minecart: #3, 5(15%)
minecraft.mined.waxed_oxidized_copper_grate: #3, 139(8%)
minecraft.crafted.green_banner: #3, 29(9%)
minecraft.mined.gray_stained_glass: #3, 103(10%)
minecraft.picked_up.tuff_bricks: #4, 3213(10%)
minecraft.picked_up.wolf_armor: #2, 1(25%)
minecraft.picked_up.music_disc_5: #3, 3(17%)
minecraft.crafted.jungle_door: #3, 21(13%)
minecraft.dropped.beehive: #3, 68(24%)
minecraft.crafted.oak_chest_boat: #2, 2(7%)
minecraft.used.baked_potato: #4, 719(10%)
minecraft.used.spruce_planks: #4, 4812(9%)
minecraft.dropped.cooked_chicken: #3, 228(6%)
minecraft.picked_up.dark_prismarine_slab: #3, 69(13%)
minecraft.picked_up.allium: #3, 458(8%)
minecraft.mined.dragon_wall_head: #3, 12(8%)
minecraft.mined.smooth_red_sandstone_slab: #3, 52(16%)
minecraft.dropped.pitcher_plant: #2, 10(4%)
minecraft.killed.goat: #2, 33(10%)
minecraft.picked_up.netherite_boots: #4, 39(10%)
minecraft.crafted.waxed_oxidized_copper_bulb: #2, 60(6%)
minecraft.dropped.jungle_fence: #3, 37(12%)
minecraft.picked_up.bubble_coral_fan: #3, 263(9%)
minecraft.custom.interact_with_beacon: #3, 80(6%)
minecraft.crafted.lead: #4, 294(12%)
minecraft.picked_up.trial_key: #4, 150(12%)
minecraft.killed.warden: #3, 15(20%)
minecraft.used.orange_concrete: #3, 1603(11%)
minecraft.used.stripped_birch_log: #4, 511(12%)
minecraft.used.orange_concrete_powder: #3, 1550(8%)
minecraft.used.cut_red_sandstone: #2, 214(4%)
minecraft.mined.coarse_dirt: #4, 2045(9%)
minecraft.picked_up.orange_terracotta: #4, 4897(10%)
minecraft.killed.mooshroom: #2, 26(17%)
minecraft.crafted.beetroot_soup: #2, 1(11%)
minecraft.picked_up.chipped_anvil: #4, 36(9%)
minecraft.crafted.magenta_concrete_powder: #3, 1296(9%)
minecraft.picked_up.lime_stained_glass_pane: #3, 88(12%)
minecraft.picked_up.armadillo_scute: #3, 446(4%)
minecraft.used.birch_leaves: #3, 4431(7%)
minecraft.picked_up.cut_red_sandstone: #2, 90(3%)
minecraft.used.cookie: #3, 157(7%)
minecraft.used.jungle_pressure_plate: #3, 8(13%)
minecraft.used.smithing_table: #4, 392(10%)
minecraft.broken.iron_shovel: #3, 14(7%)
minecraft.picked_up.enchanted_book: #4, 128(9%)
minecraft.mined.spruce_log: #4, 18223(9%)
minecraft.picked_up.brown_concrete: #3, 183(8%)
minecraft.picked_up.music_disc_mall: #3, 9(16%)
minecraft.mined.green_stained_glass_pane: #3, 34(10%)
minecraft.used.stone_brick_stairs: #4, 1014(9%)
minecraft.crafted.mud_brick_stairs: #3, 63(10%)
minecraft.mined.bamboo_mosaic_slab: #3, 25(21%)
minecraft.picked_up.honeycomb_block: #3, 576(12%)
minecraft.used.prismarine_brick_slab: #3, 161(12%)
minecraft.used.waxed_exposed_cut_copper_stairs: #3, 95(12%)
minecraft.used.cyan_concrete_powder: #4, 888(12%)
minecraft.used.fishing_rod: #4, 3806(8%)
minecraft.used.end_stone: #4, 707(10%)
minecraft.crafted.yellow_candle: #2, 30(3%)
minecraft.picked_up.waxed_exposed_copper_grate: #3, 59(17%)
minecraft.dropped.polished_blackstone_brick_stairs: #2, 5(3%)
minecraft.mined.bamboo_trapdoor: #4, 203(10%)
minecraft.picked_up.large_fern: #2, 2(10%)
minecraft.mined.waxed_exposed_copper_grate: #3, 51(17%)
minecraft.dropped.item_frame: #3, 29(7%)
minecraft.used.tall_dry_grass: #3, 31(11%)
minecraft.custom.play_record: #4, 97(9%)
minecraft.mined.brick_wall: #3, 15(12%)
minecraft.mined.warped_planks: #4, 156(11%)
minecraft.mined.polished_granite_stairs: #3, 64(17%)
minecraft.crafted.orange_concrete_powder: #3, 1656(7%)
minecraft.mined.stone_stairs: #4, 156(9%)
minecraft.mined.oak_slab: #4, 194(9%)
minecraft.dropped.netherite_helmet: #3, 3(9%)
minecraft.picked_up.cyan_stained_glass: #3, 112(10%)
minecraft.broken.stone_pickaxe: #3, 5(9%)
minecraft.picked_up.smooth_red_sandstone_slab: #3, 53(11%)
minecraft.used.waxed_exposed_copper_trapdoor: #3, 94(8%)
minecraft.used.iron_pickaxe: #4, 4494(8%)
minecraft.picked_up.netherite_axe: #4, 31(11%)
minecraft.picked_up.spruce_hanging_sign: #4, 35(11%)
minecraft.broken.iron_pickaxe: #4, 16(11%)
minecraft.picked_up.warped_trapdoor: #4, 117(11%)
minecraft.mined.acacia_trapdoor: #3, 110(5%)
minecraft.used.light_blue_terracotta: #3, 747(5%)
minecraft.used.mud_brick_slab: #4, 536(10%)
minecraft.used.sugar: #3, 9(16%)
minecraft.crafted.oak_button: #4, 66(9%)
minecraft.picked_up.music_disc_relic: #3, 5(12%)
minecraft.picked_up.fire_coral_fan: #3, 166(6%)
minecraft.mined.yellow_concrete: #4, 2703(9%)
minecraft.dropped.brown_wool: #3, 20(6%)
minecraft.used.waxed_oxidized_copper: #4, 903(9%)
minecraft.dropped.allium: #3, 17(7%)
minecraft.picked_up.glow_ink_sac: #4, 375(7%)
minecraft.crafted.mangrove_planks: #4, 4924(8%)
minecraft.mined.stripped_birch_log: #4, 581(9%)
minecraft.used.waxed_oxidized_copper_door: #3, 6(20%)
minecraft.crafted.jungle_hanging_sign: #3, 18(11%)
minecraft.crafted.small_dripleaf: #3, 20(17%)
minecraft.crafted.green_harness: #3, 1(33%)
minecraft.picked_up.blue_egg: #3, 20(10%)
minecraft.picked_up.stripped_birch_log: #4, 587(9%)
minecraft.used.orange_dye: #4, 36(12%)
minecraft.mined.redstone_wire: #4, 1360(8%)
minecraft.used.mace: #5, 2062(10%)
minecraft.crafted.book: #4, 662(8%)
minecraft.dropped.bowl: #4, 34(13%)
minecraft.mined.orange_wall_banner: #3, 9(10%)
minecraft.picked_up.danger_pottery_sherd: #3, 4(19%)
minecraft.picked_up.gold_nugget: #4, 5347(7%)
minecraft.used.ominous_bottle: #4, 30(12%)
minecraft.mined.red_sand: #4, 13975(9%)
minecraft.picked_up.oak_stairs: #4, 280(9%)
minecraft.mined.jungle_sapling: #4, 20(13%)
minecraft.used.netherite_boots: #3, 23(7%)
minecraft.picked_up.pumpkin_pie: #4, 87(13%)
minecraft.killed.slime: #4, 965(8%)
minecraft.mined.white_stained_glass: #4, 321(9%)
minecraft.crafted.orange_banner: #3, 41(8%)
minecraft.used.hay_block: #4, 169(8%)
minecraft.mined.potatoes: #4, 513(7%)
minecraft.picked_up.pink_stained_glass: #3, 54(9%)
minecraft.picked_up.light_gray_glazed_terracotta: #3, 40(10%)
minecraft.killed.squid: #4, 508(7%)
minecraft.picked_up.brain_coral_fan: #3, 159(5%)
minecraft.crafted.white_shulker_box: #3, 54(4%)
minecraft.mined.jungle_fence: #4, 67(11%)
minecraft.picked_up.cut_sandstone_slab: #3, 104(17%)
minecraft.picked_up.orange_concrete: #4, 674(12%)
minecraft.used.beetroot_soup: #3, 2(29%)
minecraft.mined.polished_blackstone_bricks: #3, 340(5%)
minecraft.custom.interact_with_smithing_table: #4, 93(7%)
minecraft.used.sniffer_egg: #3, 6(12%)
minecraft.crafted.campfire: #4, 321(7%)
minecraft.mined.smooth_red_sandstone_stairs: #3, 29(8%)
minecraft.mined.smooth_stone: #4, 2176(7%)
minecraft.dropped.pufferfish: #3, 20(5%)
minecraft.killed.ender_dragon: #3, 3(14%)
minecraft.dropped.waxed_copper_grate: #4, 40(11%)
minecraft.picked_up.popped_chorus_fruit: #3, 70(13%)
minecraft.used.spruce_boat: #4, 44(8%)
minecraft.picked_up.bubble_coral: #3, 40(6%)
minecraft.crafted.spruce_boat: #4, 21(8%)
minecraft.crafted.light_blue_terracotta: #3, 680(4%)
minecraft.killed.happy_ghast: #3, 26(6%)
minecraft.mined.spruce_planks: #5, 1395(11%)
minecraft.dropped.red_dye: #4, 79(8%)
minecraft.crafted.dark_oak_slab: #4, 1812(7%)
minecraft.mined.warped_wall_sign: #3, 6(9%)
minecraft.crafted.oak_fence: #4, 360(8%)
minecraft.killed.husk: #4, 193(9%)
minecraft.picked_up.sandstone_stairs: #3, 64(9%)
minecraft.picked_up.vex_armor_trim_smithing_template: #3, 1(25%)
minecraft.used.deepslate_emerald_ore: #3, 1(25%)
minecraft.crafted.leather_chestplate: #4, 152(8%)
minecraft.custom.inspect_hopper: #4, 5359(7%)
minecraft.picked_up.ink_sac: #4, 1875(7%)
minecraft.custom.inspect_dispenser: #4, 1887(6%)
minecraft.mined.cracked_deepslate_bricks: #3, 17(8%)
minecraft.crafted.cooked_cod: #3, 385(7%)
minecraft.picked_up.cherry_sign: #3, 4(6%)
minecraft.picked_up.spruce_trapdoor: #4, 1120(7%)
minecraft.picked_up.pufferfish: #4, 296(7%)
minecraft.mined.carrots: #4, 715(6%)
minecraft.picked_up.flower_banner_pattern: #3, 1(14%)
minecraft.crafted.tuff_bricks: #4, 1215(8%)
minecraft.picked_up.tropical_fish: #4, 85(7%)
minecraft.mined.repeater: #4, 350(7%)
minecraft.dropped.chicken: #3, 123(3%)
minecraft.used.white_stained_glass: #4, 2585(8%)
minecraft.crafted.wind_charge: #3, 3580(5%)
minecraft.custom.open_barrel: #5, 18256(7%)
minecraft.custom.sprint_one_cm: #5, 229679680(6%)
minecraft.picked_up.sea_pickle: #4, 774(6%)
minecraft.dropped.mace: #4, 12(8%)
minecraft.picked_up.netherite_shovel: #4, 27(8%)
minecraft.picked_up.music_disc_wait: #3, 4(17%)
minecraft.dropped.guster_banner_pattern: #3, 1(17%)
minecraft.picked_up.brewing_stand: #4, 67(7%)
minecraft.dropped.tipped_arrow: #4, 187(10%)
minecraft.mined.beacon: #4, 33(7%)
minecraft.used.heavy_core: #3, 3(11%)
minecraft.mined.clay: #4, 3050(7%)
minecraft.picked_up.smoker: #4, 11(9%)
minecraft.mined.brown_concrete: #4, 203(10%)
minecraft.dropped.pink_terracotta: #3, 9(10%)
minecraft.mined.brown_carpet: #4, 70(8%)
minecraft.crafted.pale_oak_fence: #3, 258(4%)
minecraft.dropped.stripped_jungle_log: #3, 19(6%)
minecraft.picked_up.music_disc_cat: #4, 24(7%)
minecraft.dropped.pale_oak_sign: #3, 3(12%)
minecraft.used.sculk_sensor: #3, 37(3%)
minecraft.dropped.cracked_polished_blackstone_bricks: #3, 23(7%)
minecraft.picked_up.silence_armor_trim_smithing_template: #3, 1(14%)
minecraft.mined.potted_oak_sapling: #3, 1(14%)
minecraft.picked_up.white_stained_glass: #4, 360(7%)
minecraft.used.oak_log: #4, 1187(6%)
minecraft.used.bamboo_mosaic_slab: #3, 52(6%)
minecraft.used.weathered_copper_bulb: #3, 5(14%)
minecraft.picked_up.iron_door: #4, 50(6%)
minecraft.used.dried_kelp: #4, 26(19%)
minecraft.used.brown_egg: #3, 40(14%)
minecraft.used.sunflower: #4, 162(6%)
minecraft.mined.podzol: #4, 1111(6%)
minecraft.picked_up.sandstone: #4, 9978(6%)
minecraft.picked_up.golden_leggings: #4, 24(7%)
minecraft.picked_up.apple: #4, 347(6%)
minecraft.mined.iron_door: #4, 49(7%)
minecraft.used.acacia_trapdoor: #4, 649(8%)
minecraft.used.light_gray_stained_glass: #4, 1363(8%)
minecraft.picked_up.chicken: #4, 521(6%)
minecraft.picked_up.miner_pottery_sherd: #3, 4(12%)
minecraft.picked_up.stone_brick_wall: #4, 96(9%)
minecraft.picked_up.green_stained_glass: #3, 39(3%)
minecraft.picked_up.music_disc_pigstep: #4, 9(16%)
minecraft.picked_up.smooth_stone: #4, 3599(6%)
minecraft.mined.cracked_polished_blackstone_bricks: #3, 159(3%)
minecraft.mined.deepslate_emerald_ore: #3, 1(9%)
minecraft.used.mossy_stone_brick_stairs: #4, 84(10%)
minecraft.used.flowering_azalea_leaves: #3, 248(2%)
minecraft.picked_up.soul_torch: #4, 58(12%)
minecraft.mined.brown_wool: #4, 85(7%)
minecraft.used.beef: #3, 4(7%)
minecraft.picked_up.prismarine_brick_slab: #3, 32(7%)
minecraft.used.tuff_bricks: #4, 3544(6%)
minecraft.mined.waxed_exposed_copper: #4, 66(10%)
minecraft.used.oak_fence: #4, 392(6%)
minecraft.picked_up.firework_star: #3, 19(13%)
minecraft.mined.exposed_cut_copper: #3, 5(3%)
minecraft.dropped.music_disc_13: #4, 4(10%)
minecraft.mined.powder_snow: #4, 67(8%)
minecraft.used.string: #3, 403(1%)
minecraft.picked_up.stripped_bamboo_block: #4, 158(8%)
minecraft.dropped.netherite_chestplate: #4, 4(17%)
minecraft.crafted.wheat: #5, 10374(11%)
minecraft.used.red_sandstone_stairs: #3, 45(3%)
minecraft.picked_up.andesite_stairs: #4, 45(7%)
minecraft.used.packed_mud: #4, 6994(5%)
minecraft.used.deepslate_gold_ore: #4, 391(7%)
minecraft.dropped.nautilus_shell: #4, 5(15%)
minecraft.picked_up.cooked_porkchop: #5, 1367(8%)
minecraft.dropped.magenta_shulker_box: #3, 1(6%)
minecraft.picked_up.dried_ghast: #4, 78(13%)
minecraft.mined.birch_leaves: #4, 6155(5%)
minecraft.used.jungle_button: #4, 40(11%)
minecraft.used.orange_tulip: #4, 17(11%)
minecraft.killed.breeze: #4, 276(7%)
minecraft.crafted.jungle_button: #4, 51(9%)
minecraft.picked_up.white_concrete: #5, 4890(9%)
minecraft.picked_up.bamboo_block: #4, 3585(5%)
minecraft.mined.waxed_oxidized_chiseled_copper: #3, 5(2%)
minecraft.mined.horn_coral_fan: #4, 46(8%)
minecraft.picked_up.red_sandstone_stairs: #3, 21(2%)
minecraft.picked_up.mossy_cobblestone_stairs: #4, 20(10%)
minecraft.killed.camel: #3, 1(6%)
minecraft.dropped.book: #4, 43(7%)
minecraft.crafted.warped_stairs: #4, 180(7%)
minecraft.picked_up.tall_dry_grass: #4, 57(9%)
minecraft.picked_up.mossy_cobblestone: #4, 493(5%)
minecraft.dropped.blue_concrete_powder: #3, 5(3%)
minecraft.crafted.oxidized_copper_door: #4, 6(13%)
minecraft.killed.donkey: #3, 3(4%)
minecraft.picked_up.slime_ball: #5, 3126(9%)
minecraft.crafted.gold_nugget: #4, 9178(6%)
minecraft.picked_up.writable_book: #4, 30(4%)
minecraft.picked_up.waxed_oxidized_chiseled_copper: #3, 4(2%)
minecraft.mined.sandstone: #4, 6916(5%)
minecraft.used.tadpole_bucket: #3, 4(4%)
minecraft.used.iron_shovel: #4, 3823(5%)
minecraft.killed.fox: #3, 1(5%)
minecraft.picked_up.magenta_glazed_terracotta: #3, 3(4%)
minecraft.dropped.chiseled_sandstone: #3, 4(1%)
minecraft.used.waxed_oxidized_copper_trapdoor: #4, 94(9%)
minecraft.mined.yellow_carpet: #4, 60(8%)
minecraft.crafted.wolf_armor: #3, 3(3%)
minecraft.dropped.porkchop: #3, 119(1%)
minecraft.picked_up.light_weighted_pressure_plate: #4, 27(14%)
minecraft.picked_up.warped_planks: #5, 223(11%)
minecraft.picked_up.deepslate_redstone_ore: #4, 1056(4%)
minecraft.used.green_concrete: #4, 334(7%)
minecraft.picked_up.red_terracotta: #5, 3563(9%)
minecraft.dropped.pitcher_pod: #3, 14(1%)
minecraft.used.deepslate_diamond_ore: #4, 975(4%)
minecraft.picked_up.cherry_fence: #4, 44(10%)
minecraft.picked_up.powder_snow_bucket: #4, 31(10%)
minecraft.crafted.netherite_shovel: #4, 2(9%)
minecraft.mined.calibrated_sculk_sensor: #5, 19(10%)
minecraft.mined.jungle_hanging_sign: #4, 2(15%)
minecraft.picked_up.smooth_sandstone_slab: #4, 107(7%)
minecraft.picked_up.orange_banner: #4, 10(7%)
minecraft.used.oak_leaves: #4, 4897(4%)
minecraft.crafted.fire_charge: #3, 192(1%)
minecraft.crafted.coarse_dirt: #5, 7828(9%)
minecraft.used.gray_stained_glass: #4, 806(7%)
minecraft.picked_up.bookshelf: #4, 87(5%)
minecraft.dropped.paper: #5, 346(8%)
minecraft.picked_up.deepslate_lapis_ore: #4, 157(4%)
minecraft.picked_up.big_dripleaf: #5, 400(10%)
minecraft.used.brush: #4, 160(8%)
minecraft.picked_up.shelter_pottery_sherd: #4, 5(9%)
minecraft.picked_up.prismarine_shard: #3, 198(0%)
