stat, rank, value, (percentage) 
minecraft.picked_up.oak_sign: #1, 346(18%)
minecraft.picked_up.loom: #1, 72(23%)
minecraft.used.gold_nugget: #1, 384(29%)
minecraft.crafted.mud_bricks: #1, 6116(21%)
minecraft.picked_up.flow_banner_pattern: #1, 45(30%)
minecraft.crafted.purpur_block: #1, 13500(97%)
minecraft.picked_up.stone_stairs: #1, 501(19%)
minecraft.crafted.jungle_fence: #1, 1035(23%)
minecraft.used.enchanted_book: #2, 616(24%)
minecraft.used.spruce_fence: #1, 3900(19%)
minecraft.crafted.waxed_oxidized_copper_grate: #1, 180(40%)
minecraft.picked_up.cartography_table: #1, 94(28%)
minecraft.crafted.beehive: #2, 2700(34%)
minecraft.picked_up.flow_armor_trim_smithing_template: #1, 64(32%)
minecraft.crafted.bundle: #2, 226(41%)
minecraft.picked_up.jungle_fence: #1, 313(26%)
minecraft.used.beetroot_seeds: #2, 1493(23%)
minecraft.picked_up.cooked_cod: #2, 1315(21%)
minecraft.used.oak_trapdoor: #1, 1247(19%)
minecraft.dropped.cooked_cod: #2, 677(26%)
minecraft.used.jungle_fence: #1, 929(23%)
minecraft.picked_up.arrow: #1, 17809(17%)
minecraft.picked_up.guster_banner_pattern: #1, 17(33%)
minecraft.used.purpur_slab: #1, 283(38%)
minecraft.picked_up.enchanted_golden_apple: #1, 104(25%)
minecraft.picked_up.rotten_flesh: #1, 24853(15%)
minecraft.crafted.glass_pane: #1, 2768(20%)
minecraft.mined.cartography_table: #1, 78(27%)
minecraft.picked_up.music_disc_creator_music_box: #1, 36(32%)
minecraft.used.horn_coral: #1, 243(65%)
minecraft.picked_up.jungle_stairs: #1, 239(22%)
minecraft.used.oak_stairs: #1, 726(20%)
minecraft.mined.smithing_table: #1, 96(20%)
minecraft.mined.mangrove_planks: #1, 534(21%)
minecraft.used.birch_planks: #1, 2589(18%)
minecraft.dropped.waxed_oxidized_copper_grate: #1, 43(32%)
minecraft.picked_up.polished_blackstone_button: #1, 57(25%)
minecraft.picked_up.purple_terracotta: #1, 430(34%)
minecraft.picked_up.lime_dye: #2, 354(22%)
minecraft.used.wind_charge: #1, 1412(18%)
minecraft.dropped.glistering_melon_slice: #1, 103(31%)
minecraft.killed.stray: #1, 783(24%)
minecraft.used.oak_sign: #1, 418(16%)
minecraft.picked_up.barrel: #1, 943(17%)
minecraft.used.oak_pressure_plate: #1, 40(26%)
minecraft.picked_up.white_dye: #1, 655(16%)
minecraft.crafted.jungle_slab: #1, 1714(19%)
minecraft.used.gold_ingot: #1, 23(38%)
minecraft.mined.spruce_wall_sign: #1, 91(16%)
minecraft.crafted.jungle_trapdoor: #1, 1158(22%)
minecraft.crafted.spruce_fence: #1, 3546(18%)
minecraft.picked_up.jungle_door: #1, 23(42%)
minecraft.crafted.birch_pressure_plate: #1, 26(46%)
minecraft.picked_up.bowl: #1, 111(20%)
minecraft.used.blue_egg: #1, 150(60%)
minecraft.dropped.blue_dye: #1, 73(22%)
minecraft.mined.jungle_door: #1, 16(52%)
minecraft.mined.magenta_stained_glass: #1, 82(24%)
minecraft.picked_up.waxed_oxidized_copper_door: #1, 19(45%)
minecraft.picked_up.jungle_log: #1, 8132(16%)
minecraft.picked_up.acacia_door: #1, 16(57%)
minecraft.picked_up.oak_trapdoor: #1, 429(16%)
minecraft.mined.beetroots: #2, 959(21%)
minecraft.dropped.orange_dye: #1, 90(23%)
minecraft.picked_up.granite_wall: #1, 114(30%)
minecraft.picked_up.vine: #1, 1093(16%)
