stat, rank, value, (percentage) 
minecraft.mined.mossy_stone_brick_wall: #1, 8(44%)
minecraft.picked_up.deepslate_tile_wall: #2, 377(20%)
minecraft.mined.prismarine_slab: #1, 101(43%)
minecraft.crafted.oak_door: #2, 63(19%)
minecraft.dropped.prismarine_brick_slab: #1, 148(97%)
minecraft.used.red_sandstone_wall: #2, 4106(38%)
minecraft.used.prismarine_stairs: #1, 453(55%)
minecraft.picked_up.lime_concrete_powder: #1, 1392(27%)
minecraft.mined.resin_brick_wall: #1, 46(68%)
minecraft.dropped.prismarine_wall: #1, 81(89%)
minecraft.crafted.black_concrete_powder: #2, 11008(17%)
minecraft.mined.kelp_plant: #2, 1071(15%)
minecraft.picked_up.composter: #2, 400(15%)
minecraft.dropped.copper_ore: #2, 415(17%)
minecraft.crafted.prismarine_stairs: #1, 32(52%)
minecraft.picked_up.torch: #2, 16030(13%)
minecraft.picked_up.blackstone: #2, 7730(14%)
minecraft.crafted.emerald: #2, 72273(14%)
minecraft.mined.smooth_sandstone_slab: #2, 147(21%)
minecraft.picked_up.gold_nugget: #2, 9074(12%)
minecraft.picked_up.silence_armor_trim_smithing_template: #1, 4(57%)
minecraft.crafted.pumpkin_seeds: #1, 216(14%)
minecraft.mined.prismarine_stairs: #1, 57(75%)
minecraft.picked_up.pufferfish: #2, 552(14%)
minecraft.crafted.blue_ice: #2, 960(20%)
minecraft.mined.gray_concrete: #3, 7058(18%)
minecraft.crafted.hay_block: #2, 2996(14%)
minecraft.crafted.netherite_pickaxe: #1, 5(13%)
minecraft.used.stone_stairs: #2, 961(13%)
minecraft.crafted.cyan_stained_glass_pane: #2, 800(22%)
minecraft.used.blackstone_slab: #2, 1084(16%)
minecraft.dropped.orange_stained_glass_pane: #1, 40(66%)
minecraft.dropped.iron_ore: #2, 297(15%)
minecraft.dropped.prismarine_brick_stairs: #1, 28(97%)
minecraft.mined.andesite: #2, 31440(11%)
minecraft.crafted.conduit: #1, 5(24%)
minecraft.mined.smoker: #2, 18(15%)
minecraft.crafted.leather_chestplate: #2, 252(14%)
minecraft.crafted.cherry_planks: #2, 4608(12%)
minecraft.used.blackstone: #2, 3341(11%)
minecraft.mined.spruce_door: #2, 20(14%)
minecraft.used.cooked_porkchop: #3, 2735(13%)
minecraft.picked_up.smoker: #2, 19(15%)
minecraft.picked_up.melon_seeds: #2, 186(12%)
minecraft.dropped.diorite: #2, 2168(11%)
minecraft.used.torch: #2, 20403(11%)
minecraft.dropped.trident: #2, 21(15%)
minecraft.mined.sand: #2, 137257(10%)
minecraft.used.cyan_carpet: #3, 296(21%)
minecraft.used.cyan_concrete_powder: #2, 1024(14%)
minecraft.killed.phantom: #2, 138(12%)
minecraft.picked_up.poppy: #3, 6723(13%)
minecraft.crafted.wooden_shovel: #2, 128(14%)
minecraft.mined.oak_door: #2, 22(14%)
minecraft.used.melon_seeds: #2, 156(11%)
minecraft.mined.black_stained_glass_pane: #2, 50(11%)
minecraft.used.netherite_pickaxe: #2, 701023(11%)
minecraft.dropped.coal_ore: #2, 357(11%)
minecraft.used.tinted_glass: #3, 1780(17%)
minecraft.picked_up.ender_pearl: #3, 32062(10%)
minecraft.dropped.deepslate_tile_slab: #2, 94(19%)
minecraft.crafted.black_stained_glass_pane: #2, 1216(11%)
minecraft.used.waxed_copper_bulb: #2, 293(14%)
minecraft.crafted.gold_ingot: #3, 24587(13%)
minecraft.mined.gravel: #3, 67187(13%)
minecraft.crafted.tinted_glass: #2, 1542(14%)
minecraft.dropped.cod: #2, 3709(10%)
minecraft.mined.copper_grate: #2, 68(13%)
minecraft.used.deepslate_tiles: #2, 7709(9%)
minecraft.custom.talked_to_villager: #2, 4748(8%)
minecraft.mined.red_sand: #3, 22418(14%)
minecraft.dropped.tripwire_hook: #2, 27(14%)
minecraft.picked_up.deepslate_bricks: #3, 1425(13%)
minecraft.dropped.ender_pearl: #3, 32518(12%)
minecraft.crafted.blue_terracotta: #3, 1552(16%)
minecraft.crafted.rabbit_stew: #1, 27(100%)
minecraft.used.lapis_lazuli: #1, 1(100%)
minecraft.dropped.cyan_harness: #1, 1(100%)
minecraft.dropped.prismarine_stairs: #1, 28(100%)
minecraft.picked_up.red_sand: #3, 22150(14%)
minecraft.used.cyan_concrete: #3, 583(18%)
minecraft.crafted.prismarine_brick_slab: #2, 104(24%)
minecraft.picked_up.mossy_stone_brick_wall: #2, 8(27%)
minecraft.picked_up.cod: #3, 1873(9%)
minecraft.mined.polished_andesite_stairs: #2, 46(8%)
minecraft.used.cyan_stained_glass_pane: #3, 624(20%)
minecraft.crafted.emerald_block: #3, 3821(14%)
minecraft.mined.snow_block: #3, 3317(12%)
minecraft.used.orange_carpet: #3, 292(16%)
minecraft.picked_up.blackstone_stairs: #3, 41(18%)
minecraft.used.polished_blackstone_stairs: #3, 319(18%)
minecraft.crafted.red_sandstone: #3, 4553(14%)
minecraft.crafted.orange_bed: #2, 9(19%)
minecraft.used.conduit: #2, 6(19%)
minecraft.used.closed_eyeblossom: #2, 13(13%)
minecraft.picked_up.iron_ingot: #3, 12647(11%)
minecraft.mined.waxed_cut_copper_stairs: #2, 29(17%)
minecraft.used.gravel: #2, 8187(7%)
minecraft.dropped.andesite: #3, 2762(11%)
minecraft.dropped.snow_block: #3, 494(16%)
minecraft.picked_up.waxed_cut_copper_stairs: #2, 29(18%)
minecraft.mined.deepslate_brick_stairs: #2, 386(8%)
minecraft.used.cobbled_deepslate: #3, 9896(10%)
minecraft.dropped.prismarine_slab: #2, 123(38%)
minecraft.used.blue_terracotta: #3, 1350(17%)
minecraft.picked_up.gravel: #3, 51697(10%)
minecraft.picked_up.deepslate_brick_stairs: #2, 391(8%)
minecraft.picked_up.prismarine_stairs: #2, 56(48%)
minecraft.crafted.coal: #3, 7065(10%)
minecraft.dropped.shulker_box: #2, 147(6%)
minecraft.crafted.cyan_concrete_powder: #2, 1024(8%)
minecraft.used.waxed_exposed_copper_bulb: #3, 64(16%)
minecraft.picked_up.weathered_copper_grate: #3, 20(17%)
minecraft.mined.diorite: #3, 24308(10%)
minecraft.mined.weathered_copper_grate: #3, 20(17%)
minecraft.custom.interact_with_grindstone: #3, 188(10%)
minecraft.crafted.prismarine: #2, 1664(23%)
minecraft.used.dark_prismarine: #3, 1039(16%)
minecraft.picked_up.prismarine_slab: #2, 95(17%)
minecraft.crafted.bread: #3, 3018(10%)
minecraft.crafted.prismarine_wall: #2, 192(19%)
minecraft.used.water_bucket: #3, 5294(9%)
minecraft.mined.polished_blackstone_stairs: #3, 41(16%)
minecraft.used.lime_concrete_powder: #3, 1536(13%)
minecraft.used.resin_brick_stairs: #2, 24(39%)
minecraft.mined.azalea: #3, 224(9%)
minecraft.picked_up.cobblestone_wall: #3, 124(11%)
minecraft.mined.granite: #3, 21282(9%)
minecraft.mined.cobblestone_wall: #3, 85(11%)
minecraft.used.composter: #3, 653(8%)
minecraft.crafted.dark_oak_planks: #3, 13057(8%)
minecraft.picked_up.trident: #3, 42(10%)
minecraft.dropped.resin_bricks: #2, 1(50%)
minecraft.broken.leather_chestplate: #2, 1(33%)
minecraft.broken.netherite_shovel: #2, 1(33%)
minecraft.custom.enchant_item: #3, 290(8%)
minecraft.picked_up.deepslate_redstone_ore: #3, 1853(8%)
minecraft.mined.red_sandstone_wall: #2, 65(14%)
minecraft.used.stone_brick_slab: #3, 1923(9%)
minecraft.used.coal_ore: #3, 4064(8%)
minecraft.picked_up.coal_ore: #3, 6528(8%)
minecraft.picked_up.deepslate_brick_wall: #3, 136(11%)
minecraft.mined.cyan_stained_glass_pane: #3, 35(16%)
minecraft.used.dark_prismarine_stairs: #3, 143(15%)
minecraft.dropped.stone: #3, 19972(7%)
minecraft.used.trident: #2, 1018(4%)
minecraft.dropped.phantom_membrane: #3, 23(10%)
minecraft.crafted.prismarine_brick_stairs: #2, 35(16%)
minecraft.mined.white_banner: #3, 11(10%)
minecraft.used.open_eyeblossom: #3, 13(16%)
minecraft.used.resin_brick_wall: #2, 112(14%)
minecraft.killed.wolf: #2, 6(9%)
minecraft.picked_up.birch_button: #3, 17(8%)
minecraft.mined.deepslate_brick_slab: #3, 269(8%)
minecraft.picked_up.leather_horse_armor: #2, 3(14%)
minecraft.picked_up.waxed_copper_trapdoor: #3, 26(11%)
minecraft.crafted.lime_concrete_powder: #3, 1536(9%)
minecraft.crafted.cyan_dye: #4, 2752(11%)
minecraft.used.netherite_shovel: #3, 202456(10%)
minecraft.mined.cyan_carpet: #3, 63(10%)
minecraft.dropped.orange_carpet: #2, 12(11%)
minecraft.mined.chest: #3, 1017(6%)
minecraft.dropped.deepslate_tile_wall: #3, 80(17%)
minecraft.picked_up.copper_grate: #3, 68(9%)
minecraft.picked_up.smooth_sandstone_slab: #3, 149(9%)
minecraft.picked_up.white_concrete_powder: #3, 4263(7%)
minecraft.killed.elder_guardian: #3, 14(15%)
minecraft.crafted.coast_armor_trim_smithing_template: #2, 6(16%)
minecraft.picked_up.netherrack: #4, 29193(9%)
minecraft.used.rail: #3, 3419(6%)
minecraft.picked_up.polished_andesite_stairs: #3, 55(7%)
minecraft.picked_up.polished_blackstone_stairs: #3, 41(10%)
minecraft.dropped.ominous_bottle: #3, 5(9%)
minecraft.mined.spruce_fence_gate: #4, 116(11%)
minecraft.crafted.mossy_cobblestone_stairs: #3, 17(10%)
minecraft.dropped.cyan_dye: #3, 27(8%)
minecraft.used.gray_concrete: #4, 5800(12%)
minecraft.crafted.orange_carpet: #3, 456(10%)
minecraft.dropped.light_gray_glazed_terracotta: #2, 1(10%)
minecraft.used.oak_door: #4, 26(10%)
minecraft.crafted.black_dye: #4, 7376(9%)
minecraft.crafted.resin_bricks: #3, 341(16%)
minecraft.dropped.prismarine_crystals: #2, 51(2%)
minecraft.dropped.fire_coral_block: #3, 2(20%)
minecraft.crafted.cyan_carpet: #3, 300(7%)
minecraft.crafted.dark_oak_stairs: #4, 668(9%)
minecraft.used.black_stained_glass_pane: #4, 840(10%)
minecraft.used.dark_oak_stairs: #4, 654(9%)
minecraft.mined.mossy_stone_bricks: #3, 262(5%)
minecraft.used.observer: #4, 2548(9%)
minecraft.picked_up.oak_door: #4, 30(9%)
minecraft.used.emerald: #2, 4(6%)
minecraft.used.dark_oak_planks: #4, 2103(9%)
minecraft.crafted.orange_stained_glass_pane: #4, 1040(15%)
minecraft.picked_up.iron_trapdoor: #4, 204(9%)
minecraft.picked_up.deepslate_lapis_ore: #3, 160(4%)
minecraft.crafted.copper_bulb: #4, 144(12%)
minecraft.dropped.deepslate_copper_ore: #3, 6(15%)
minecraft.mined.potted_spruce_sapling: #3, 1(33%)
minecraft.picked_up.iron_ore: #4, 1443(8%)
minecraft.dropped.deepslate_lapis_ore: #3, 13(9%)
minecraft.picked_up.iron_block: #4, 4673(7%)
minecraft.mined.flowering_azalea: #4, 135(8%)
minecraft.crafted.gray_concrete_powder: #4, 6848(8%)
minecraft.crafted.waxed_cut_copper_slab: #3, 32(14%)
minecraft.mined.deepslate: #4, 59064(7%)
minecraft.mined.netherrack: #4, 32073(7%)
minecraft.used.resin_bricks: #3, 33(12%)
minecraft.mined.stone_brick_slab: #4, 536(8%)
minecraft.used.bucket: #4, 5485(7%)
minecraft.mined.gray_carpet: #4, 196(8%)
minecraft.used.stone_brick_wall: #4, 341(8%)
minecraft.dropped.music_disc_precipice: #3, 1(25%)
minecraft.mined.potted_acacia_sapling: #3, 1(25%)
minecraft.used.chest: #4, 2609(7%)
minecraft.mined.coal_block: #3, 73(5%)
minecraft.dropped.moss_carpet: #4, 1649(6%)
minecraft.crafted.tnt_minecart: #4, 54(13%)
minecraft.used.iron_ore: #4, 718(7%)
minecraft.mined.stone_brick_wall: #4, 80(9%)
minecraft.crafted.cyan_stained_glass: #4, 800(9%)
minecraft.picked_up.salmon: #4, 500(6%)
minecraft.picked_up.dark_prismarine: #4, 507(9%)
minecraft.used.spruce_fence_gate: #4, 381(6%)
minecraft.crafted.hopper: #4, 1817(6%)
minecraft.mined.wall_torch: #4, 694(6%)
minecraft.crafted.waxed_cut_copper_stairs: #3, 36(11%)
minecraft.crafted.spruce_hanging_sign: #4, 42(9%)
minecraft.mined.resin_bricks: #3, 5(7%)
minecraft.used.crimson_roots: #4, 54(10%)
minecraft.picked_up.red_concrete_powder: #3, 248(4%)
minecraft.dropped.cobbled_deepslate_slab: #4, 117(10%)
minecraft.dropped.clay: #4, 84(7%)
minecraft.crafted.raw_iron: #4, 963(10%)
minecraft.mined.potted_azure_bluet: #3, 1(14%)
minecraft.crafted.waxed_copper_grate: #3, 76(6%)
minecraft.crafted.waxed_chiseled_copper: #4, 81(15%)
minecraft.dropped.waxed_weathered_copper: #3, 1(12%)
minecraft.used.birch_slab: #4, 590(7%)
minecraft.used.dark_prismarine_slab: #4, 249(11%)
minecraft.killed.cod: #4, 18(8%)
minecraft.mined.deepslate_tiles: #4, 693(5%)
minecraft.used.birch_planks: #5, 1322(9%)
minecraft.used.piston: #5, 1376(9%)
minecraft.dropped.mossy_stone_brick_stairs: #3, 2(5%)
minecraft.mined.polished_deepslate_slab: #4, 121(6%)
minecraft.dropped.polished_granite: #3, 15(3%)
minecraft.picked_up.cyan_stained_glass_pane: #4, 34(11%)
minecraft.picked_up.cyan_carpet: #4, 63(7%)
minecraft.crafted.snow_block: #4, 1308(6%)
minecraft.picked_up.golden_boots: #4, 30(5%)
minecraft.killed.spider: #5, 547(8%)
minecraft.dropped.dark_prismarine: #3, 11(2%)
minecraft.mined.cobbled_deepslate: #4, 864(4%)
minecraft.dropped.lapis_ore: #4, 12(6%)
minecraft.picked_up.deepslate_tiles: #4, 683(4%)
minecraft.picked_up.spruce_door: #5, 22(9%)
minecraft.dropped.red_sandstone: #3, 7(0%)
minecraft.used.cobblestone_wall: #5, 355(10%)
minecraft.mined.seagrass: #5, 657(8%)
minecraft.dropped.spruce_door: #4, 6(11%)
minecraft.crafted.waxed_copper_bulb: #4, 135(9%)
minecraft.used.cracked_stone_bricks: #4, 267(5%)
minecraft.used.smooth_sandstone_slab: #4, 378(6%)
minecraft.dropped.wooden_shovel: #4, 8(6%)
minecraft.crafted.orange_dye: #5, 1792(8%)
minecraft.broken.netherite_pickaxe: #4, 1(17%)
minecraft.crafted.waxed_weathered_copper_grate: #4, 36(9%)
minecraft.dropped.gravel: #5, 3756(7%)
minecraft.mined.iron_ore: #5, 2733(7%)
minecraft.picked_up.light_gray_concrete_powder: #5, 560(7%)
minecraft.dropped.netherite_upgrade_smithing_template: #4, 2(6%)
minecraft.crafted.birch_slab: #5, 972(8%)
minecraft.crafted.raw_gold: #4, 477(8%)
minecraft.crafted.white_wool: #4, 937(4%)
minecraft.mined.chiseled_stone_bricks: #4, 72(4%)
minecraft.dropped.prismarine: #4, 100(7%)
minecraft.crafted.smooth_stone_slab: #4, 990(3%)
minecraft.crafted.written_book: #4, 17(6%)
minecraft.dropped.leather_boots: #5, 33(7%)
