stat, rank, value, (percentage) 
minecraft.mined.creaking_heart: #2, 105(21%)
minecraft.dropped.brown_bed: #1, 8(47%)
minecraft.dropped.nether_bricks: #2, 179(32%)
minecraft.killed_by.stray: #2, 142(26%)
minecraft.mined.pink_petals: #2, 892(13%)
minecraft.dropped.mangrove_boat: #1, 3(38%)
minecraft.picked_up.music_disc_blocks: #1, 11(17%)
minecraft.crafted.chiseled_bookshelf: #2, 417(14%)
minecraft.used.polished_blackstone_bricks: #2, 894(19%)
minecraft.picked_up.enchanted_book: #2, 159(11%)
minecraft.picked_up.iron_boots: #2, 33(11%)
minecraft.picked_up.large_fern: #1, 19(90%)
minecraft.picked_up.netherite_leggings: #2, 48(12%)
minecraft.used.black_dye: #1, 3(60%)
minecraft.mined.orange_wool: #2, 315(15%)
minecraft.dropped.dirt: #2, 13899(10%)
minecraft.picked_up.iron_chestplate: #2, 28(11%)
minecraft.mined.brown_concrete: #2, 346(17%)
minecraft.used.shears: #2, 25147(11%)
minecraft.dropped.diamond_sword: #2, 28(11%)
minecraft.picked_up.brown_wool: #2, 625(13%)
minecraft.picked_up.brush: #1, 7(19%)
minecraft.picked_up.spore_blossom: #2, 143(16%)
minecraft.picked_up.dark_oak_hanging_sign: #2, 42(30%)
minecraft.dropped.horn_coral_fan: #1, 3(43%)
minecraft.dropped.music_disc_mall: #1, 3(43%)
minecraft.crafted.shield: #2, 36(11%)
minecraft.dropped.tinted_glass: #2, 111(34%)
minecraft.dropped.soul_sand: #2, 615(12%)
minecraft.dropped.cherry_trapdoor: #2, 51(45%)
minecraft.crafted.honey_bottle: #1, 3672(84%)
minecraft.crafted.snow: #2, 9802(24%)
minecraft.used.warped_fungus_on_a_stick: #1, 25(56%)
minecraft.dropped.nether_wart: #2, 96(21%)
minecraft.killed.mooshroom: #1, 129(83%)
minecraft.picked_up.crimson_planks: #2, 218(16%)
minecraft.crafted.smooth_red_sandstone: #2, 1148(24%)
minecraft.dropped.smooth_red_sandstone_stairs: #1, 64(55%)
minecraft.used.stick: #1, 3(27%)
minecraft.dropped.blaze_powder: #2, 21(20%)
minecraft.crafted.wheat: #2, 11644(12%)
minecraft.dropped.brain_coral_fan: #1, 7(54%)
minecraft.picked_up.amethyst_block: #2, 1775(11%)
minecraft.used.honey_bottle: #3, 1079(18%)
minecraft.picked_up.iron_shovel: #2, 35(11%)
minecraft.mined.yellow_carpet: #2, 138(17%)
minecraft.picked_up.chainmail_leggings: #2, 15(12%)
minecraft.used.gray_bundle: #1, 4(80%)
minecraft.broken.leather_helmet: #1, 2(40%)
minecraft.dropped.lime_banner: #1, 2(40%)
minecraft.dropped.bubble_coral: #1, 4(80%)
minecraft.mined.potted_blue_orchid: #1, 4(40%)
minecraft.picked_up.green_stained_glass_pane: #2, 138(19%)
minecraft.picked_up.coal: #2, 26873(10%)
minecraft.dropped.cartography_table: #1, 9(53%)
minecraft.mined.fletching_table: #2, 23(29%)
minecraft.picked_up.crafting_table: #2, 709(9%)
minecraft.picked_up.leather_helmet: #2, 28(9%)
minecraft.mined.chiseled_bookshelf: #2, 71(13%)
minecraft.picked_up.end_stone: #3, 2766(15%)
minecraft.crafted.torch: #2, 13068(10%)
minecraft.picked_up.lily_of_the_valley: #2, 165(14%)
minecraft.custom.aviate_one_cm: #3, 1499432277(9%)
minecraft.dropped.waxed_copper_grate: #2, 56(16%)
minecraft.crafted.iron_axe: #2, 15(11%)
minecraft.used.quartz_slab: #2, 1519(13%)
minecraft.crafted.stone_brick_stairs: #2, 356(12%)
minecraft.dropped.crimson_nylium: #1, 17(25%)
minecraft.crafted.stripped_birch_wood: #2, 288(28%)
minecraft.mined.spawner: #2, 27(19%)
minecraft.killed.magma_cube: #2, 683(11%)
minecraft.picked_up.vex_armor_trim_smithing_template: #1, 2(50%)
minecraft.dropped.end_stone_brick_slab: #1, 3(75%)
minecraft.dropped.diamond_horse_armor: #1, 3(50%)
minecraft.crafted.warped_fungus_on_a_stick: #1, 3(38%)
minecraft.dropped.blue_bed: #1, 2(50%)
minecraft.dropped.fletching_table: #1, 2(50%)
minecraft.killed_by.spider: #1, 2(25%)
minecraft.killed_by.shulker: #1, 2(50%)
minecraft.used.spruce_planks: #2, 4925(10%)
minecraft.crafted.end_stone_bricks: #2, 240(28%)
minecraft.mined.birch_fence_gate: #2, 50(21%)
minecraft.used.stone_brick_wall: #2, 476(12%)
minecraft.mined.diamond_ore: #2, 30(12%)
minecraft.mined.sculk_sensor: #3, 719(15%)
minecraft.dropped.tipped_arrow: #2, 278(14%)
minecraft.custom.interact_with_cartography_table: #2, 71(14%)
minecraft.killed.sniffer: #1, 8(73%)
minecraft.used.red_concrete: #3, 2228(18%)
minecraft.killed.bat: #2, 22(14%)
minecraft.crafted.jukebox: #3, 42(16%)
minecraft.picked_up.hay_block: #3, 1158(15%)
minecraft.dropped.ward_armor_trim_smithing_template: #1, 2(29%)
minecraft.dropped.chainmail_leggings: #2, 12(13%)
minecraft.picked_up.red_concrete: #3, 1772(16%)
minecraft.mined.spruce_fence_gate: #2, 118(12%)
minecraft.dropped.echo_shard: #1, 18(47%)
minecraft.dropped.chicken: #2, 421(11%)
minecraft.dropped.iron_door: #2, 17(20%)
minecraft.mined.spruce_sign: #3, 22(16%)
minecraft.used.dark_oak_boat: #2, 22(22%)
minecraft.custom.play_record: #2, 106(10%)
minecraft.mined.cracked_deepslate_bricks: #2, 55(26%)
minecraft.picked_up.tuff_brick_stairs: #2, 258(11%)
minecraft.killed.rabbit: #2, 23(16%)
minecraft.mined.water_cauldron: #2, 14(14%)
minecraft.used.orange_tulip: #2, 31(20%)
minecraft.mined.nether_brick_fence: #2, 50(12%)
minecraft.dropped.obsidian: #2, 177(11%)
minecraft.picked_up.music_disc_far: #1, 4(27%)
minecraft.crafted.bordure_indented_banner_pattern: #1, 2(22%)
minecraft.dropped.coast_armor_trim_smithing_template: #1, 4(67%)
minecraft.dropped.wild_armor_trim_smithing_template: #1, 4(67%)
minecraft.dropped.sentry_armor_trim_smithing_template: #1, 2(67%)
minecraft.dropped.piglin_banner_pattern: #1, 2(67%)
minecraft.dropped.bush: #1, 2(33%)
minecraft.killed_by.panda: #1, 2(67%)
minecraft.picked_up.experience_bottle: #2, 625(15%)
minecraft.killed_by.slime: #3, 56(11%)
minecraft.dropped.end_rod: #2, 132(21%)
minecraft.picked_up.dark_oak_pressure_plate: #2, 36(23%)
minecraft.mined.deepslate_bricks: #3, 1269(15%)
minecraft.dropped.cyan_shulker_box: #2, 9(23%)
minecraft.killed.trader_llama: #2, 38(10%)
minecraft.picked_up.elytra: #3, 167(9%)
minecraft.killed.wandering_trader: #2, 19(10%)
minecraft.killed.cat: #2, 22(33%)
minecraft.killed.guardian: #2, 34(16%)
minecraft.mined.red_concrete: #3, 1734(16%)
minecraft.crafted.item_frame: #3, 1479(13%)
minecraft.used.granite_slab: #2, 678(15%)
minecraft.killed.ravager: #2, 7(21%)
minecraft.killed.llama: #1, 13(62%)
minecraft.mined.hanging_roots: #2, 232(19%)
minecraft.dropped.pale_oak_fence_gate: #1, 8(62%)
minecraft.mined.lime_carpet: #2, 117(20%)
minecraft.dropped.stripped_oak_wood: #2, 6(32%)
minecraft.picked_up.item_frame: #3, 917(11%)
minecraft.dropped.music_disc_blocks: #1, 3(60%)
minecraft.dropped.pale_oak_door: #1, 3(60%)
minecraft.dropped.diamond_helmet: #2, 8(9%)
minecraft.used.oak_leaves: #2, 10117(9%)
minecraft.used.brown_bed: #2, 25(24%)
minecraft.dropped.clay: #3, 181(15%)
minecraft.dropped.purpur_stairs: #2, 26(18%)
minecraft.custom.fall_one_cm: #3, 29226559(8%)
minecraft.mined.nether_gold_ore: #2, 391(10%)
minecraft.dropped.lime_dye: #3, 51(18%)
minecraft.picked_up.filled_map: #3, 2164(12%)
minecraft.crafted.yellow_wool: #3, 1103(19%)
minecraft.used.fire_charge: #1, 4(57%)
minecraft.picked_up.flint_and_steel: #2, 146(9%)
minecraft.killed.horse: #2, 149(21%)
minecraft.dropped.cherry_sapling: #2, 107(15%)
minecraft.used.chiseled_polished_blackstone: #2, 48(19%)
minecraft.used.iron_chestplate: #2, 5(15%)
minecraft.mined.andesite_stairs: #3, 55(16%)
minecraft.dropped.birch_pressure_plate: #1, 2(22%)
minecraft.mined.damaged_anvil: #3, 29(15%)
minecraft.picked_up.totem_of_undying: #3, 97(12%)
minecraft.killed.elder_guardian: #2, 20(21%)
minecraft.picked_up.mangrove_boat: #2, 10(26%)
minecraft.picked_up.allium: #2, 674(11%)
minecraft.picked_up.axolotl_bucket: #1, 6(55%)
minecraft.dropped.jungle_stairs: #2, 19(21%)
minecraft.crafted.iron_helmet: #3, 19(12%)
minecraft.crafted.mace: #2, 4(16%)
minecraft.killed.shulker: #2, 427(9%)
minecraft.dropped.deepslate: #3, 4225(13%)
minecraft.picked_up.andesite_stairs: #3, 104(16%)
minecraft.mined.white_carpet: #3, 296(15%)
minecraft.dropped.blackstone: #2, 966(11%)
minecraft.crafted.wild_armor_trim_smithing_template: #1, 34(53%)
minecraft.used.written_book: #2, 428(8%)
minecraft.dropped.light_gray_stained_glass_pane: #2, 46(17%)
minecraft.picked_up.note_block: #3, 309(13%)
minecraft.used.oak_boat: #2, 106(8%)
minecraft.dropped.leather_helmet: #3, 28(11%)
minecraft.mined.dark_oak_planks: #3, 493(13%)
minecraft.picked_up.glass_bottle: #3, 4158(9%)
minecraft.picked_up.glowstone: #2, 733(10%)
minecraft.mined.moss_block: #3, 7712(11%)
minecraft.crafted.diorite_stairs: #2, 56(20%)
minecraft.dropped.smooth_quartz_slab: #2, 53(20%)
minecraft.crafted.flower_banner_pattern: #1, 1(11%)
minecraft.used.explorer_pottery_sherd: #1, 1(100%)
minecraft.used.lime_bundle: #1, 18(100%)
minecraft.used.light_blue_bundle: #1, 56(100%)
minecraft.used.blue_bundle: #1, 180(100%)
minecraft.used.yellow_bundle: #1, 18(100%)
minecraft.killed.tadpole: #1, 1(50%)
minecraft.killed.panda: #1, 207(100%)
minecraft.broken.golden_pickaxe: #1, 1(50%)
minecraft.dropped.large_fern: #1, 3(100%)
minecraft.dropped.waxed_copper_trapdoor: #1, 12(100%)
minecraft.dropped.music_disc_chirp: #1, 2(100%)
minecraft.dropped.light_blue_bundle: #1, 1(100%)
minecraft.dropped.snout_armor_trim_smithing_template: #1, 7(100%)
minecraft.dropped.music_disc_wait: #1, 2(100%)
minecraft.dropped.warped_fungus_on_a_stick: #1, 1(50%)
minecraft.dropped.cut_copper: #1, 3(50%)
minecraft.dropped.crimson_slab: #1, 6(100%)
minecraft.dropped.axolotl_bucket: #1, 1(100%)
minecraft.dropped.music_disc_mellohi: #1, 3(100%)
minecraft.dropped.tube_coral: #1, 2(100%)
minecraft.dropped.pale_oak_hanging_sign: #1, 2(100%)
minecraft.dropped.music_disc_strad: #1, 1(100%)
minecraft.dropped.music_disc_far: #1, 1(100%)
minecraft.dropped.exposed_cut_copper: #1, 1(50%)
minecraft.mined.magenta_banner: #1, 1(50%)
minecraft.mined.frogspawn: #1, 1(100%)
minecraft.mined.potted_white_tulip: #1, 1(50%)
minecraft.picked_up.light_blue_bundle: #1, 1(100%)
minecraft.killed_by.witch: #1, 1(25%)
minecraft.used.armadillo_scute: #1, 1(33%)
minecraft.killed_by.ender_dragon: #1, 1(33%)
minecraft.dropped.polished_andesite: #2, 126(12%)
minecraft.used.azalea_leaves: #3, 11413(15%)
minecraft.picked_up.pale_oak_door: #2, 16(22%)
minecraft.picked_up.soul_torch: #2, 80(16%)
minecraft.dropped.waxed_oxidized_copper_grate: #2, 19(14%)
minecraft.crafted.diamond_shovel: #3, 28(12%)
minecraft.used.deepslate_brick_wall: #3, 420(16%)
minecraft.used.firefly_bush: #3, 254(18%)
minecraft.picked_up.flint: #3, 2261(12%)
minecraft.mined.mossy_stone_brick_wall: #2, 5(28%)
minecraft.picked_up.coal_block: #3, 734(16%)
minecraft.picked_up.oak_sign: #3, 207(10%)
minecraft.picked_up.hanging_roots: #2, 214(16%)
minecraft.crafted.diamond: #2, 6120(8%)
minecraft.mined.pale_oak_door: #2, 12(27%)
minecraft.mined.chest: #2, 1277(8%)
minecraft.picked_up.iron_helmet: #3, 21(12%)
minecraft.picked_up.red_wool: #3, 803(12%)
minecraft.mined.allium: #3, 209(15%)
minecraft.crafted.iron_sword: #3, 36(12%)
minecraft.dropped.lapis_ore: #2, 21(10%)
minecraft.picked_up.rabbit_hide: #2, 33(12%)
minecraft.picked_up.birch_boat: #3, 51(20%)
minecraft.picked_up.black_dye: #3, 204(11%)
minecraft.used.chiseled_bookshelf: #3, 295(13%)
minecraft.dropped.white_terracotta: #2, 107(13%)
minecraft.dropped.sugar_cane: #3, 3473(13%)
minecraft.dropped.waxed_copper_block: #3, 102(16%)
minecraft.dropped.beef: #3, 485(16%)
minecraft.picked_up.cooked_porkchop: #4, 2235(14%)
minecraft.picked_up.map: #2, 104(14%)
minecraft.crafted.stone_brick_wall: #3, 403(15%)
minecraft.crafted.white_carpet: #2, 687(7%)
minecraft.mined.sunflower: #3, 609(12%)
minecraft.used.stripped_dark_oak_log: #3, 971(12%)
minecraft.picked_up.birch_fence_gate: #2, 74(16%)
minecraft.used.fishing_rod: #3, 4733(10%)
minecraft.picked_up.purpur_pillar: #2, 369(8%)
minecraft.dropped.coal_block: #2, 136(20%)
minecraft.used.leather_chestplate: #3, 20(9%)
minecraft.picked_up.pumpkin_pie: #3, 126(18%)
minecraft.dropped.white_stained_glass: #3, 93(20%)
minecraft.dropped.ominous_trial_key: #2, 12(11%)
minecraft.crafted.granite_stairs: #2, 52(13%)
minecraft.dropped.flow_banner_pattern: #2, 4(29%)
minecraft.used.spider_eye: #2, 12(34%)
minecraft.mined.dark_oak_fence: #3, 369(11%)
minecraft.mined.purpur_slab: #3, 95(13%)
minecraft.picked_up.flowering_azalea_leaves: #3, 5477(14%)
minecraft.crafted.brush: #2, 20(12%)
minecraft.crafted.netherite_pickaxe: #2, 4(11%)
minecraft.dropped.sand: #4, 8487(15%)
minecraft.crafted.sandstone_stairs: #2, 92(24%)
minecraft.dropped.clay_ball: #2, 491(10%)
minecraft.picked_up.crying_obsidian: #3, 593(12%)
minecraft.picked_up.stripped_dark_oak_log: #4, 1632(14%)
minecraft.mined.gray_stained_glass: #2, 112(11%)
minecraft.dropped.beacon: #2, 4(18%)
minecraft.used.tropical_fish: #2, 6(18%)
minecraft.mined.skeleton_skull: #2, 10(23%)
minecraft.dropped.twisting_vines: #2, 10(23%)
minecraft.used.dark_oak_fence_gate: #3, 174(15%)
minecraft.dropped.blue_wool: #2, 50(15%)
minecraft.picked_up.azalea_leaves: #3, 15907(12%)
minecraft.dropped.gold_ore: #2, 15(15%)
minecraft.dropped.diorite: #3, 2064(10%)
minecraft.mined.smooth_quartz: #3, 1300(11%)
minecraft.used.damaged_anvil: #3, 22(13%)
minecraft.dropped.copper_ore: #3, 297(12%)
minecraft.mined.end_stone_brick_slab: #2, 24(40%)
minecraft.crafted.clay: #2, 395(11%)
minecraft.dropped.spruce_pressure_plate: #2, 5(13%)
minecraft.dropped.saddle: #3, 13(12%)
minecraft.crafted.netherite_sword: #2, 3(14%)
minecraft.dropped.leather_leggings: #3, 29(9%)
minecraft.mined.andesite_wall: #3, 107(13%)
minecraft.used.wither_rose: #2, 384(13%)
minecraft.dropped.magma_cream: #2, 34(11%)
minecraft.picked_up.leather_leggings: #3, 42(8%)
minecraft.mined.purple_carpet: #2, 248(15%)
minecraft.picked_up.birch_pressure_plate: #2, 12(15%)
minecraft.mined.stone_stairs: #3, 183(10%)
minecraft.dropped.lantern: #3, 66(14%)
minecraft.killed.dolphin: #2, 5(22%)
minecraft.mined.deepslate_iron_ore: #3, 2098(10%)
minecraft.killed_by.skeleton: #3, 31(11%)
minecraft.dropped.diorite_stairs: #2, 28(38%)
minecraft.crafted.soul_lantern: #3, 543(16%)
minecraft.picked_up.bread: #3, 729(11%)
minecraft.dropped.red_bed: #2, 2(25%)
minecraft.used.glow_item_frame: #3, 420(11%)
minecraft.killed.warden: #2, 16(21%)
minecraft.used.dirt: #3, 83166(10%)
minecraft.dropped.cobblestone_stairs: #3, 49(25%)
minecraft.picked_up.dark_oak_trapdoor: #3, 342(10%)
minecraft.dropped.spruce_door: #2, 9(16%)
minecraft.dropped.wooden_axe: #2, 2(13%)
minecraft.crafted.red_carpet: #3, 1773(14%)
minecraft.dropped.ancient_debris: #2, 18(16%)
minecraft.dropped.polished_blackstone_slab: #2, 46(21%)
minecraft.picked_up.chiseled_bookshelf: #3, 94(13%)
minecraft.mined.magenta_stained_glass: #3, 49(14%)
minecraft.used.birch_boat: #3, 41(19%)
minecraft.picked_up.bundle: #3, 39(8%)
minecraft.used.cooked_beef: #4, 2243(9%)
minecraft.mined.potted_cherry_sapling: #2, 8(18%)
minecraft.dropped.packed_mud: #3, 413(14%)
minecraft.used.purple_dye: #2, 15(14%)
minecraft.crafted.dark_oak_stairs: #3, 740(10%)
minecraft.used.cracked_deepslate_bricks: #2, 149(16%)
minecraft.picked_up.cracked_stone_bricks: #3, 1042(11%)
minecraft.dropped.redstone_lamp: #2, 21(28%)
minecraft.dropped.diamond_boots: #3, 19(9%)
minecraft.used.ominous_bottle: #3, 37(15%)
minecraft.used.diorite_stairs: #2, 76(12%)
minecraft.custom.interact_with_loom: #4, 322(11%)
minecraft.mined.stripped_dark_oak_log: #4, 1409(13%)
minecraft.dropped.lapis_block: #2, 186(20%)
minecraft.mined.deepslate_emerald_ore: #2, 3(27%)
minecraft.used.lodestone: #2, 116(19%)
minecraft.picked_up.ender_eye: #3, 25(18%)
minecraft.used.enchanting_table: #2, 5(7%)
minecraft.used.red_carpet: #2, 1722(6%)
minecraft.picked_up.music_disc_wait: #2, 8(33%)
minecraft.picked_up.music_disc_chirp: #2, 10(22%)
minecraft.crafted.oak_sign: #3, 210(9%)
minecraft.used.dark_oak_pressure_plate: #2, 21(12%)
minecraft.used.axolotl_bucket: #2, 25(17%)
minecraft.crafted.purple_concrete_powder: #2, 832(9%)
minecraft.picked_up.sculk_shrieker: #3, 92(14%)
minecraft.mined.firefly_bush: #3, 303(14%)
minecraft.crafted.purple_carpet: #3, 1689(26%)
minecraft.mined.oak_trapdoor: #3, 171(9%)
minecraft.dropped.red_candle: #2, 11(22%)
minecraft.crafted.netherite_boots: #3, 9(15%)
minecraft.mined.spore_blossom: #3, 82(13%)
minecraft.dropped.purple_bed: #2, 2(18%)
minecraft.dropped.nether_brick: #2, 346(10%)
minecraft.picked_up.dragon_breath: #2, 60(21%)
minecraft.picked_up.diamond_ore: #3, 25(12%)
minecraft.picked_up.smooth_quartz: #3, 1288(10%)
minecraft.used.sniffer_egg: #2, 9(18%)
minecraft.used.soul_sand: #3, 1025(9%)
minecraft.dropped.jungle_planks: #3, 76(12%)
minecraft.dropped.furnace: #3, 42(16%)
minecraft.crafted.spruce_trapdoor: #3, 4624(9%)
minecraft.used.smooth_red_sandstone: #3, 982(20%)
minecraft.picked_up.calcite: #3, 3472(9%)
minecraft.dropped.cyan_bed: #2, 2(10%)
minecraft.picked_up.black_concrete_powder: #3, 2200(11%)
minecraft.dropped.cobweb: #3, 236(20%)
minecraft.picked_up.orange_tulip: #3, 745(11%)
minecraft.dropped.tube_coral_block: #2, 8(24%)
minecraft.picked_up.lime_wool: #3, 780(12%)
minecraft.picked_up.pink_tulip: #3, 356(10%)
minecraft.picked_up.open_eyeblossom: #2, 33(9%)
minecraft.dropped.fire_coral_block: #2, 2(20%)
minecraft.used.sculk_sensor: #2, 76(7%)
minecraft.dropped.spruce_slab: #3, 181(11%)
minecraft.picked_up.lime_dye: #4, 208(13%)
minecraft.killed.hoglin: #3, 23(13%)
minecraft.killed.creaking: #3, 44(18%)
minecraft.picked_up.obsidian: #3, 1956(8%)
minecraft.crafted.enchanting_table: #3, 4(11%)
minecraft.mined.bone_block: #3, 620(9%)
minecraft.mined.fern: #4, 731(13%)
minecraft.dropped.popped_chorus_fruit: #2, 50(38%)
minecraft.used.bread: #2, 548(5%)
minecraft.dropped.heart_of_the_sea: #2, 4(29%)
minecraft.mined.potted_orange_tulip: #2, 2(29%)
minecraft.killed.bogged: #3, 412(13%)
minecraft.dropped.granite: #4, 2454(13%)
minecraft.picked_up.pale_oak_fence_gate: #2, 9(22%)
minecraft.mined.jukebox: #3, 38(9%)
minecraft.used.black_concrete: #3, 2709(10%)
minecraft.killed_by.creaking: #2, 2(22%)
minecraft.mined.black_concrete: #3, 2788(8%)
minecraft.crafted.lapis_lazuli: #3, 1836(9%)
minecraft.mined.potted_poppy: #2, 3(27%)
minecraft.used.leather_helmet: #2, 2(9%)
minecraft.picked_up.oak_leaves: #3, 14464(8%)
minecraft.picked_up.compass: #3, 146(10%)
minecraft.crafted.deepslate_brick_wall: #3, 63(19%)
minecraft.used.polished_blackstone_brick_wall: #2, 19(22%)
minecraft.crafted.diamond_axe: #3, 11(9%)
minecraft.picked_up.lime_concrete: #3, 521(12%)
minecraft.dropped.raw_gold_block: #2, 9(26%)
minecraft.dropped.orange_bed: #2, 5(26%)
minecraft.crafted.stone_slab: #4, 4148(12%)
minecraft.dropped.end_stone: #3, 201(13%)
minecraft.crafted.pumpkin_seeds: #3, 196(13%)
minecraft.used.bow: #3, 6816(8%)
minecraft.picked_up.paper: #4, 1111(11%)
minecraft.dropped.blackstone_stairs: #2, 12(21%)
minecraft.used.tropical_fish_bucket: #2, 48(9%)
minecraft.used.purple_concrete_powder: #3, 839(14%)
minecraft.custom.interact_with_smithing_table: #3, 102(8%)
minecraft.picked_up.purpur_slab: #3, 92(9%)
minecraft.dropped.crying_obsidian: #2, 115(7%)
minecraft.broken.iron_boots: #2, 1(20%)
minecraft.mined.potted_dark_oak_sapling: #2, 1(25%)
minecraft.crafted.light_blue_bundle: #2, 1(33%)
minecraft.mined.potted_spruce_sapling: #2, 1(33%)
minecraft.dropped.music_disc_creator: #2, 2(33%)
minecraft.dropped.recovery_compass: #2, 4(33%)
minecraft.picked_up.golden_hoe: #2, 3(33%)
minecraft.dropped.dark_oak_fence: #2, 28(7%)
minecraft.used.pale_oak_door: #2, 12(10%)
minecraft.crafted.black_carpet: #3, 1422(11%)
minecraft.used.snow: #3, 9208(11%)
minecraft.used.enchanted_book: #3, 209(8%)
minecraft.killed.donkey: #2, 15(19%)
minecraft.mined.black_carpet: #2, 311(6%)
minecraft.dropped.arrow: #3, 2908(7%)
minecraft.used.salmon: #3, 14(13%)
minecraft.picked_up.wild_armor_trim_smithing_template: #2, 8(47%)
minecraft.mined.crafting_table: #3, 502(7%)
minecraft.dropped.iron_ore: #3, 194(10%)
minecraft.used.bookshelf: #3, 291(8%)
minecraft.crafted.cracked_polished_blackstone_bricks: #2, 7(47%)
minecraft.dropped.orange_tulip: #3, 81(11%)
minecraft.picked_up.iron_nugget: #3, 749(7%)
minecraft.used.spruce_boat: #3, 47(8%)
minecraft.crafted.yellow_carpet: #3, 771(13%)
minecraft.used.crafting_table: #3, 559(7%)
minecraft.crafted.rail: #3, 2688(8%)
minecraft.used.ender_eye: #2, 19(18%)
minecraft.crafted.tinted_glass: #3, 1362(13%)
minecraft.crafted.green_bed: #2, 25(13%)
minecraft.crafted.filled_map: #2, 2910(7%)
minecraft.picked_up.breeze_rod: #3, 1400(10%)
minecraft.used.tadpole_bucket: #2, 22(22%)
minecraft.crafted.purple_shulker_box: #3, 10(9%)
minecraft.crafted.dark_oak_trapdoor: #3, 938(8%)
minecraft.crafted.wolf_armor: #2, 20(22%)
minecraft.used.stripped_spruce_wood: #4, 463(16%)
minecraft.picked_up.short_grass: #3, 4760(7%)
minecraft.crafted.campfire: #3, 326(7%)
minecraft.mined.pink_carpet: #3, 23(17%)
minecraft.crafted.brown_bed: #2, 12(14%)
minecraft.picked_up.netherite_scrap: #2, 16(29%)
minecraft.crafted.lime_carpet: #3, 1299(19%)
minecraft.used.fletching_table: #3, 25(23%)
minecraft.picked_up.recovery_compass: #2, 5(28%)
minecraft.killed_by.bogged: #2, 1(17%)
minecraft.mined.birch_door: #3, 6(17%)
minecraft.dropped.brown_banner: #2, 6(21%)
minecraft.dropped.spruce_fence_gate: #2, 10(8%)
minecraft.dropped.dark_oak_boat: #2, 2(12%)
minecraft.picked_up.red_carpet: #2, 969(4%)
minecraft.mined.loom: #3, 17(9%)
minecraft.crafted.dark_oak_boat: #3, 5(15%)
minecraft.crafted.black_wool: #3, 1476(12%)
minecraft.picked_up.oak_boat: #3, 123(7%)
minecraft.mined.potted_jungle_sapling: #2, 1(20%)
minecraft.mined.pale_oak_pressure_plate: #2, 2(20%)
minecraft.picked_up.music_disc_pigstep: #3, 11(20%)
minecraft.crafted.soul_torch: #3, 608(12%)
minecraft.crafted.map: #2, 1833(5%)
minecraft.dropped.seagrass: #3, 54(18%)
minecraft.used.lingering_potion: #2, 4(15%)
minecraft.picked_up.chicken: #3, 618(7%)
minecraft.mined.emerald_block: #3, 537(9%)
minecraft.mined.brown_carpet: #3, 76(9%)
minecraft.picked_up.grindstone: #3, 64(8%)
minecraft.picked_up.green_bed: #3, 65(15%)
minecraft.used.campfire: #3, 277(7%)
minecraft.crafted.netherite_leggings: #3, 7(12%)
minecraft.used.deepslate_emerald_ore: #2, 1(25%)
minecraft.dropped.deepslate_brick_slab: #3, 43(17%)
minecraft.picked_up.golden_carrot: #4, 4483(7%)
minecraft.picked_up.firework_rocket: #4, 11997(8%)
minecraft.dropped.chorus_fruit: #3, 362(14%)
minecraft.dropped.cracked_deepslate_bricks: #2, 14(14%)
minecraft.mined.diorite_slab: #3, 51(11%)
minecraft.picked_up.packed_mud: #3, 4060(7%)
minecraft.mined.oak_leaves: #3, 13499(7%)
minecraft.picked_up.mangrove_stairs: #3, 99(9%)
minecraft.mined.open_eyeblossom: #2, 17(5%)
minecraft.dropped.spruce_boat: #3, 8(17%)
minecraft.mined.red_wool: #4, 264(12%)
minecraft.crafted.netherite_helmet: #3, 6(13%)
minecraft.mined.spruce_button: #2, 71(4%)
minecraft.mined.potted_red_tulip: #2, 1(17%)
minecraft.dropped.copper_door: #2, 2(22%)
minecraft.dropped.light_blue_banner: #2, 1(33%)
minecraft.dropped.dragon_breath: #2, 6(33%)
minecraft.dropped.blackstone_wall: #2, 2(33%)
minecraft.mined.purpur_stairs: #4, 275(15%)
minecraft.broken.brush: #2, 12(11%)
minecraft.mined.flower_pot: #3, 22(8%)
minecraft.dropped.dark_oak_fence_gate: #2, 21(13%)
minecraft.crafted.netherite_shovel: #3, 3(14%)
minecraft.dropped.green_stained_glass: #2, 8(16%)
minecraft.used.azalea: #4, 429(12%)
minecraft.dropped.firework_rocket: #4, 3088(8%)
minecraft.picked_up.pale_oak_fence: #3, 140(13%)
minecraft.mined.rose_bush: #4, 152(12%)
minecraft.used.pink_petals: #4, 1705(12%)
minecraft.mined.pale_oak_stairs: #3, 35(13%)
minecraft.broken.diamond_shovel: #3, 6(13%)
minecraft.dropped.closed_eyeblossom: #2, 13(20%)
minecraft.dropped.salmon: #3, 92(8%)
minecraft.dropped.porkchop: #2, 546(3%)
minecraft.picked_up.mangrove_planks: #4, 491(12%)
minecraft.picked_up.sculk_catalyst: #3, 84(10%)
minecraft.mined.red_wall_banner: #3, 15(12%)
minecraft.dropped.red_tulip: #4, 95(14%)
minecraft.killed.enderman: #3, 60696(6%)
minecraft.mined.yellow_wool: #3, 1321(8%)
minecraft.used.pink_carpet: #3, 119(10%)
minecraft.picked_up.ominous_bottle: #4, 74(12%)
minecraft.crafted.slime_block: #4, 755(13%)
minecraft.picked_up.cod_bucket: #2, 3(27%)
minecraft.used.dead_bush: #3, 104(9%)
minecraft.killed.phantom: #3, 83(7%)
minecraft.picked_up.shulker_box: #4, 6925(8%)
