stat, rank, value, (percentage) 
minecraft.dropped.ender_pearl: #1, 68404(25%)
minecraft.used.green_stained_glass: #1, 1906(38%)
minecraft.dropped.leather_boots: #1, 126(25%)
minecraft.mined.tinted_glass: #1, 930(33%)
minecraft.killed.player: #1, 542(20%)
minecraft.used.totem_of_undying: #1, 130(37%)
minecraft.picked_up.chainmail_chestplate: #1, 35(28%)
minecraft.picked_up.dark_oak_stairs: #1, 531(28%)
minecraft.picked_up.cherry_trapdoor: #1, 268(33%)
minecraft.dropped.sculk_vein: #1, 141(37%)
minecraft.dropped.cooked_mutton: #1, 259(44%)
minecraft.used.deepslate_brick_slab: #1, 5243(31%)
minecraft.picked_up.purple_stained_glass: #1, 987(51%)
minecraft.mined.dark_oak_fence_gate: #1, 96(43%)
minecraft.mined.lilac: #1, 250(29%)
minecraft.used.andesite_slab: #1, 2572(26%)
minecraft.dropped.mutton: #1, 301(34%)
minecraft.dropped.waxed_oxidized_copper: #1, 250(37%)
minecraft.mined.spruce_wall_hanging_sign: #1, 47(43%)
minecraft.crafted.red_bed: #1, 35(40%)
minecraft.dropped.stripped_dark_oak_log: #1, 120(54%)
minecraft.crafted.stripped_spruce_wood: #1, 474(46%)
minecraft.used.porkchop: #1, 69(42%)
minecraft.used.red_bed: #1, 145(30%)
minecraft.killed.wolf: #1, 50(71%)
minecraft.dropped.cracked_polished_blackstone_bricks: #1, 224(71%)
minecraft.dropped.chainmail_boots: #1, 44(33%)
minecraft.mined.purple_stained_glass: #1, 755(47%)
minecraft.crafted.deepslate_bricks: #1, 8976(31%)
minecraft.dropped.stone_brick_slab: #1, 603(51%)
minecraft.dropped.chainmail_chestplate: #1, 27(31%)
minecraft.mined.tnt: #2, 769(30%)
minecraft.dropped.yellow_carpet: #1, 57(80%)
minecraft.crafted.polished_deepslate: #1, 9860(25%)
minecraft.picked_up.lantern: #1, 962(22%)
minecraft.picked_up.spruce_hanging_sign: #1, 91(29%)
minecraft.dropped.diorite_slab: #1, 270(69%)
minecraft.used.splash_potion: #1, 416(22%)
minecraft.crafted.granite_slab: #1, 986(42%)
minecraft.picked_up.cooked_beef: #2, 4037(19%)
minecraft.picked_up.spruce_planks: #1, 4282(19%)
minecraft.dropped.netherite_pickaxe: #1, 37(22%)
minecraft.dropped.polished_blackstone_brick_stairs: #1, 136(89%)
minecraft.killed.frog: #1, 64(76%)
minecraft.picked_up.brown_candle: #1, 186(41%)
minecraft.dropped.filled_map: #2, 742(25%)
minecraft.dropped.deepslate_brick_stairs: #1, 67(75%)
minecraft.crafted.iron_chestplate: #1, 32(21%)
minecraft.picked_up.yellow_dye: #2, 830(22%)
minecraft.picked_up.golden_helmet: #1, 83(21%)
minecraft.picked_up.chainmail_helmet: #1, 26(25%)
minecraft.mined.soul_lantern: #1, 120(37%)
