stat, rank, value, (percentage) 
minecraft.mined.sticky_piston: #1, 703(23%)
minecraft.used.smooth_sandstone: #1, 5889(29%)
minecraft.crafted.iron_boots: #1, 43(23%)
minecraft.dropped.glowstone_dust: #1, 1478(41%)
minecraft.crafted.arrow: #1, 1452(62%)
minecraft.picked_up.birch_sapling: #2, 4078(26%)
minecraft.mined.enchanting_table: #1, 20(39%)
minecraft.picked_up.iron_ingot: #1, 25956(22%)
minecraft.picked_up.oak_chest_boat: #1, 25(78%)
minecraft.used.netherite_sword: #1, 253028(42%)
minecraft.picked_up.sugar: #1, 2159(28%)
minecraft.picked_up.cobbled_deepslate: #2, 206311(25%)
minecraft.mined.tuff_bricks: #1, 7030(21%)
minecraft.picked_up.sticky_piston: #1, 925(21%)
minecraft.mined.gray_carpet: #1, 583(24%)
minecraft.used.hopper: #1, 8591(21%)
minecraft.mined.slime_block: #2, 1682(25%)
minecraft.picked_up.slime_ball: #1, 7541(21%)
minecraft.crafted.white_wool: #2, 8240(33%)
minecraft.picked_up.cooked_porkchop: #1, 3041(18%)
minecraft.crafted.oak_slab: #1, 7316(20%)
minecraft.custom.pig_one_cm: #1, 662738829(32%)
minecraft.crafted.observer: #1, 4855(23%)
minecraft.crafted.bone_meal: #1, 294050(20%)
minecraft.used.observer: #1, 6023(20%)
minecraft.used.dropper: #1, 1531(20%)
minecraft.picked_up.enchanting_table: #1, 20(35%)
minecraft.used.minecart: #1, 620(20%)
minecraft.custom.interact_with_cartography_table: #1, 141(27%)
minecraft.custom.climb_one_cm: #1, 10721818(12%)
minecraft.mined.sculk_catalyst: #2, 436(36%)
minecraft.used.stripped_birch_wood: #1, 1645(34%)
minecraft.crafted.acacia_sign: #1, 204(24%)
minecraft.used.orange_wool: #1, 853(24%)
minecraft.crafted.chest: #1, 13042(19%)
minecraft.crafted.oak_chest_boat: #1, 21(78%)
minecraft.used.mace: #2, 3924(18%)
minecraft.picked_up.netherite_helmet: #1, 60(22%)
minecraft.mined.oak_button: #1, 52(24%)
minecraft.picked_up.netherite_hoe: #1, 55(38%)
minecraft.crafted.shulker_box: #2, 2656(22%)
minecraft.mined.pumpkin: #1, 7448(18%)
minecraft.mined.melon: #1, 5175(17%)
minecraft.used.stripped_acacia_wood: #1, 237(37%)
minecraft.picked_up.netherite_boots: #1, 72(18%)
minecraft.dropped.waxed_copper_bulb: #1, 23(44%)
minecraft.picked_up.disc_fragment_5: #1, 80(49%)
minecraft.picked_up.hay_block: #1, 1453(19%)
minecraft.custom.crouch_one_cm: #1, 58252223(10%)
minecraft.used.acacia_sign: #1, 177(20%)
minecraft.mined.piston_head: #1, 42(21%)
minecraft.used.oak_boat: #1, 224(17%)
minecraft.picked_up.light_blue_stained_glass: #2, 1868(24%)
minecraft.used.stripped_oak_log: #1, 834(22%)
minecraft.crafted.diamond_leggings: #1, 18(17%)
minecraft.crafted.waxed_weathered_copper_grate: #1, 186(46%)
minecraft.dropped.acacia_log: #1, 112(22%)
minecraft.used.cobbled_deepslate_wall: #1, 1041(26%)
minecraft.picked_up.netherite_leggings: #1, 70(17%)
minecraft.picked_up.cobblestone_wall: #2, 293(25%)
minecraft.killed.silverfish: #2, 21370(20%)
minecraft.killed.tropical_fish: #1, 125(37%)
minecraft.mined.pink_carpet: #1, 50(37%)
minecraft.mined.cobbled_deepslate: #2, 4065(20%)
minecraft.picked_up.blaze_powder: #1, 79(22%)
minecraft.crafted.powered_rail: #2, 4062(20%)
minecraft.crafted.black_wool: #1, 3194(26%)
minecraft.used.orange_carpet: #1, 410(23%)
minecraft.crafted.light_blue_dye: #2, 5361(19%)
