stat, rank, value, (percentage) 
minecraft.dropped.iron_chestplate: #2, 20(13%)
minecraft.picked_up.lapis_block: #3, 785(21%)
minecraft.picked_up.jack_o_lantern: #2, 145(27%)
minecraft.broken.stone_shovel: #2, 43(19%)
minecraft.killed_by.blaze: #1, 10(31%)
minecraft.crafted.leather: #1, 23(92%)
minecraft.picked_up.iron_leggings: #2, 24(11%)
minecraft.dropped.shield: #2, 21(12%)
minecraft.killed_by.wither_skeleton: #1, 2(29%)
minecraft.picked_up.amethyst_shard: #2, 5728(12%)
minecraft.used.salmon: #2, 19(18%)
minecraft.dropped.melon_seeds: #2, 106(14%)
minecraft.dropped.purple_glazed_terracotta: #1, 7(78%)
minecraft.dropped.apple: #2, 187(13%)
minecraft.picked_up.glass: #3, 9585(14%)
minecraft.dropped.diamond: #2, 1099(10%)
minecraft.killed_by.ghast: #1, 3(75%)
minecraft.dropped.tuff_bricks: #2, 496(12%)
minecraft.dropped.mutton: #2, 124(14%)
minecraft.dropped.chest_minecart: #2, 27(31%)
minecraft.dropped.oak_log: #3, 1356(16%)
minecraft.dropped.granite: #3, 2669(14%)
minecraft.picked_up.stone_hoe: #2, 20(20%)
minecraft.picked_up.melon: #3, 4816(13%)
minecraft.dropped.bamboo_slab: #2, 339(18%)
minecraft.crafted.wooden_pickaxe: #2, 4(9%)
minecraft.dropped.bone_meal: #3, 11891(13%)
minecraft.used.jack_o_lantern: #2, 253(21%)
minecraft.picked_up.iron_pickaxe: #3, 34(13%)
minecraft.picked_up.iron_sword: #3, 80(13%)
minecraft.picked_up.feather: #3, 1759(13%)
minecraft.crafted.pumpkin_seeds: #2, 208(14%)
minecraft.picked_up.red_nether_brick_wall: #2, 40(23%)
minecraft.dropped.jack_o_lantern: #2, 46(34%)
minecraft.crafted.stone_shovel: #3, 59(13%)
minecraft.killed.pufferfish: #2, 21(13%)
minecraft.dropped.tuff_brick_slab: #2, 100(17%)
minecraft.broken.golden_sword: #1, 1(100%)
minecraft.dropped.clock: #2, 8(20%)
minecraft.mined.amethyst_cluster: #2, 879(8%)
minecraft.dropped.iron_leggings: #3, 20(12%)
minecraft.picked_up.copper_ingot: #3, 2342(13%)
minecraft.dropped.flint: #3, 1001(12%)
minecraft.picked_up.cobblestone: #2, 159850(7%)
minecraft.used.stripped_acacia_wood: #2, 94(15%)
minecraft.mined.smooth_stone_slab: #3, 1049(11%)
minecraft.picked_up.bone_meal: #3, 13827(9%)
minecraft.dropped.peony: #3, 51(14%)
minecraft.mined.bamboo_planks: #3, 233(12%)
minecraft.dropped.crimson_sign: #2, 10(28%)
minecraft.dropped.smooth_stone_slab: #3, 544(13%)
minecraft.dropped.iron_helmet: #3, 21(15%)
minecraft.dropped.ghast_tear: #2, 64(9%)
minecraft.picked_up.pink_carpet: #3, 65(20%)
minecraft.dropped.diamond_pickaxe: #3, 45(10%)
minecraft.dropped.cobbled_deepslate: #3, 13920(10%)
minecraft.used.green_dye: #3, 212(14%)
minecraft.dropped.stone_hoe: #2, 20(10%)
minecraft.used.egg: #4, 5102(12%)
minecraft.dropped.observer: #3, 128(14%)
minecraft.picked_up.dark_oak_slab: #3, 481(10%)
minecraft.killed.chicken: #3, 565(10%)
minecraft.picked_up.pink_bed: #3, 63(19%)
minecraft.used.pink_concrete: #3, 1140(17%)
minecraft.dropped.chiseled_tuff: #2, 22(10%)
minecraft.picked_up.iron_chestplate: #3, 23(9%)
minecraft.dropped.grindstone: #3, 19(21%)
minecraft.picked_up.deepslate_gold_ore: #3, 855(8%)
minecraft.used.beef: #2, 10(18%)
minecraft.used.pumpkin_seeds: #3, 202(8%)
minecraft.killed_by.zombie_villager: #2, 2(33%)
minecraft.dropped.pink_carpet: #2, 2(33%)
minecraft.dropped.hopper: #3, 99(10%)
minecraft.dropped.pufferfish: #2, 22(5%)
minecraft.picked_up.furnace: #3, 246(7%)
minecraft.used.pink_bed: #3, 64(16%)
minecraft.crafted.wooden_shovel: #3, 90(10%)
minecraft.dropped.blast_furnace: #2, 8(18%)
minecraft.dropped.yellow_carpet: #2, 7(10%)
minecraft.mined.pink_bed: #3, 59(15%)
minecraft.dropped.experience_bottle: #2, 1581(7%)
minecraft.killed_by.zombified_piglin: #3, 3(14%)
minecraft.dropped.jungle_sapling: #3, 19(12%)
minecraft.used.stone_axe: #4, 1146(10%)
minecraft.dropped.lever: #4, 170(11%)
minecraft.crafted.pink_carpet: #3, 351(9%)
minecraft.used.quartz_block: #3, 1937(6%)
minecraft.dropped.flint_and_steel: #2, 27(2%)
minecraft.picked_up.pink_concrete_powder: #2, 124(3%)
minecraft.mined.glass: #4, 2073(9%)
minecraft.crafted.stripped_acacia_wood: #3, 42(22%)
minecraft.used.golden_chestplate: #2, 2(10%)
minecraft.crafted.experience_bottle: #2, 615(3%)
minecraft.crafted.pink_bed: #2, 7(5%)
minecraft.picked_up.piston: #4, 692(9%)
minecraft.dropped.leather_helmet: #4, 21(8%)
minecraft.dropped.deepslate_iron_ore: #3, 48(8%)
minecraft.dropped.black_stained_glass: #4, 64(15%)
minecraft.mined.pink_concrete: #4, 875(13%)
minecraft.dropped.pink_concrete: #2, 40(2%)
minecraft.picked_up.leather_helmet: #4, 23(7%)
minecraft.dropped.lava_bucket: #3, 19(8%)
minecraft.used.stone_sword: #4, 1084(9%)
minecraft.picked_up.iron_boots: #4, 24(8%)
minecraft.dropped.emerald: #3, 1824(5%)
minecraft.dropped.rose_bush: #3, 51(6%)
minecraft.mined.stone_pressure_plate: #3, 103(5%)
minecraft.dropped.blue_wool: #3, 30(9%)
minecraft.used.smooth_stone_slab: #4, 4754(8%)
minecraft.used.pink_concrete_powder: #4, 891(11%)
minecraft.dropped.slime_block: #3, 194(6%)
minecraft.dropped.purpur_block: #3, 95(5%)
minecraft.picked_up.iron_ingot: #4, 8912(8%)
minecraft.mined.oak_pressure_plate: #4, 5(12%)
minecraft.crafted.melon_seeds: #4, 171(11%)
minecraft.dropped.scaffolding: #4, 772(8%)
minecraft.dropped.nether_bricks: #3, 52(9%)
minecraft.dropped.redstone_block: #3, 140(4%)
minecraft.killed_by.shulker: #3, 1(25%)
minecraft.dropped.leather_chestplate: #4, 26(6%)
minecraft.used.dark_oak_slab: #4, 1318(7%)
minecraft.crafted.quartz_pillar: #3, 81(5%)
minecraft.dropped.target: #3, 22(9%)
minecraft.picked_up.lever: #4, 599(7%)
minecraft.dropped.dark_oak_log: #4, 285(10%)
minecraft.picked_up.oak_sapling: #4, 2240(6%)
minecraft.custom.traded_with_villager: #4, 31275(6%)
minecraft.picked_up.pink_concrete: #4, 881(9%)
minecraft.crafted.stripped_mangrove_wood: #3, 39(9%)
minecraft.picked_up.red_nether_bricks: #3, 3(7%)
minecraft.used.rabbit: #3, 1(17%)
minecraft.broken.stone_sword: #3, 8(6%)
minecraft.picked_up.crimson_sign: #4, 15(11%)
minecraft.crafted.smooth_stone: #4, 2086(6%)
minecraft.dropped.wooden_pickaxe: #4, 3(9%)
minecraft.broken.stone_axe: #4, 8(11%)
minecraft.crafted.stripped_jungle_wood: #3, 30(7%)
minecraft.dropped.nether_brick_slab: #3, 5(10%)
minecraft.picked_up.golden_chestplate: #4, 26(5%)
minecraft.mined.stripped_acacia_wood: #4, 65(9%)
minecraft.picked_up.stripped_acacia_wood: #4, 65(9%)
minecraft.dropped.stone_bricks: #4, 282(6%)
minecraft.dropped.bamboo_trapdoor: #4, 73(13%)
minecraft.mined.light_weighted_pressure_plate: #3, 5(6%)
minecraft.picked_up.slime_block: #4, 719(5%)
minecraft.used.nether_brick_stairs: #4, 26(18%)
minecraft.dropped.gold_ingot: #5, 936(9%)
minecraft.picked_up.yellow_wool: #4, 1582(5%)
minecraft.mined.quartz_block: #4, 513(5%)
minecraft.dropped.pale_moss_carpet: #4, 72(8%)
minecraft.mined.stripped_mangrove_wood: #4, 56(7%)
minecraft.dropped.tuff_wall: #4, 4(19%)
minecraft.dropped.cooked_mutton: #4, 47(8%)
minecraft.picked_up.stripped_mangrove_wood: #4, 56(7%)
minecraft.mined.nether_brick_wall: #4, 8(16%)
minecraft.dropped.dropper: #4, 39(9%)
minecraft.crafted.jack_o_lantern: #4, 153(10%)
minecraft.picked_up.quartz_block: #4, 636(5%)
minecraft.dropped.hopper_minecart: #3, 4(1%)
minecraft.crafted.andesite: #3, 504(1%)
minecraft.crafted.pink_concrete_powder: #4, 784(6%)
minecraft.picked_up.stone_pressure_plate: #4, 110(5%)
minecraft.used.dark_oak_pressure_plate: #4, 16(9%)
minecraft.used.stripped_mangrove_wood: #4, 86(9%)
minecraft.picked_up.chipped_anvil: #5, 31(8%)
minecraft.crafted.pink_harness: #4, 1(25%)
minecraft.dropped.jungle_boat: #4, 5(9%)
minecraft.picked_up.sea_lantern: #4, 74(5%)
minecraft.dropped.red_wool: #4, 15(5%)
minecraft.picked_up.yellow_carpet: #4, 70(6%)
minecraft.killed_by.enderman: #4, 2(7%)
minecraft.mined.nether_bricks: #5, 522(9%)
minecraft.dropped.heavy_weighted_pressure_plate: #4, 4(8%)
minecraft.dropped.dark_oak_slab: #4, 57(7%)
minecraft.picked_up.melon_seeds: #5, 118(8%)
minecraft.dropped.quartz_pillar: #4, 12(13%)
minecraft.crafted.dark_oak_pressure_plate: #4, 15(6%)
minecraft.picked_up.bamboo: #5, 28764(6%)
minecraft.dropped.redstone_ore: #4, 8(9%)
minecraft.picked_up.shield: #5, 28(7%)
minecraft.dropped.diorite: #5, 1295(7%)
minecraft.picked_up.nether_brick_stairs: #4, 5(9%)
minecraft.used.golden_sword: #4, 1(14%)
minecraft.crafted.chest_minecart: #4, 13(5%)
minecraft.dropped.polished_tuff_stairs: #4, 10(6%)
minecraft.crafted.purple_glazed_terracotta: #4, 7(9%)
minecraft.dropped.birch_planks: #4, 94(3%)
minecraft.mined.nether_brick_fence: #5, 32(8%)
minecraft.dropped.piston: #5, 160(12%)
minecraft.picked_up.flint_and_steel: #4, 30(2%)
minecraft.crafted.terracotta: #4, 74(4%)
minecraft.picked_up.shears: #5, 92(6%)
minecraft.mined.heavy_weighted_pressure_plate: #5, 7(12%)
minecraft.picked_up.name_tag: #5, 54(5%)
minecraft.used.nether_brick_wall: #4, 28(4%)
minecraft.used.mutton: #4, 5(6%)
minecraft.crafted.black_shulker_box: #5, 7(6%)
minecraft.dropped.melon: #4, 147(2%)
minecraft.dropped.golden_chestplate: #5, 20(5%)
minecraft.crafted.clock: #5, 10(7%)
minecraft.crafted.mangrove_propagule: #5, 8(20%)
minecraft.picked_up.stone_axe: #5, 3(7%)
minecraft.dropped.cobblestone_slab: #5, 105(6%)
minecraft.crafted.black_carpet: #5, 770(6%)
minecraft.crafted.magma_block: #4, 62(1%)
minecraft.mined.cut_sandstone_slab: #4, 3(1%)
minecraft.dropped.chest: #5, 228(4%)
minecraft.dropped.bamboo_planks: #5, 338(4%)
minecraft.used.chicken: #5, 7(10%)
minecraft.picked_up.birch_sapling: #5, 532(3%)
minecraft.used.iron_helmet: #5, 2(7%)
minecraft.used.heavy_weighted_pressure_plate: #5, 16(4%)
minecraft.picked_up.chest_minecart: #5, 26(5%)
minecraft.mined.yellow_carpet: #5, 39(5%)
minecraft.used.lapis_ore: #5, 44(4%)
minecraft.picked_up.nether_bricks: #6, 619(8%)
minecraft.dropped.glistering_melon_slice: #5, 15(5%)
minecraft.mined.piston: #6, 285(7%)
minecraft.used.hay_block: #6, 145(7%)
minecraft.used.red_nether_brick_wall: #5, 45(6%)
minecraft.used.gray_dye: #5, 2(6%)
minecraft.crafted.glowstone: #6, 627(8%)
minecraft.mined.piston_head: #6, 15(8%)
minecraft.picked_up.comparator: #6, 295(6%)
minecraft.used.black_carpet: #5, 847(3%)
minecraft.crafted.stone_axe: #6, 9(6%)
minecraft.crafted.tuff_brick_stairs: #5, 45(3%)
minecraft.dropped.mud_brick_stairs: #5, 2(8%)
minecraft.dropped.mossy_cobblestone: #5, 65(2%)
minecraft.picked_up.flint: #6, 1118(6%)
minecraft.picked_up.emerald: #6, 2543(6%)
minecraft.dropped.crimson_fence: #5, 1(9%)
minecraft.used.wooden_shovel: #5, 110(4%)
minecraft.crafted.flint_and_steel: #5, 40(2%)
minecraft.used.golden_helmet: #5, 2(4%)
minecraft.dropped.blaze_powder: #5, 3(3%)
