stat, rank, value, (percentage) 
minecraft.dropped.cobblestone_wall: #8, 7(2%)
minecraft.dropped.nether_wart: #8, 7(1%)
minecraft.crafted.nether_brick_slab: #8, 10(2%)
minecraft.used.wooden_pickaxe: #9, 26(5%)
minecraft.dropped.bamboo_fence: #8, 2(2%)
minecraft.picked_up.light_blue_stained_glass_pane: #8, 5(1%)
minecraft.picked_up.dark_oak_button: #8, 3(1%)
minecraft.dropped.lime_wool: #8, 4(1%)
minecraft.dropped.quartz_block: #8, 66(1%)
minecraft.dropped.detector_rail: #8, 1(1%)
minecraft.picked_up.black_carpet: #8, 78(0%)
minecraft.picked_up.observer: #9, 473(4%)
minecraft.dropped.tinted_glass: #8, 1(0%)
minecraft.crafted.emerald: #9, 21226(4%)
minecraft.mined.dark_oak_planks: #9, 152(4%)
minecraft.picked_up.enchanted_book: #9, 51(4%)
minecraft.mined.bamboo_sapling: #9, 10(4%)
minecraft.mined.repeater: #9, 164(3%)
minecraft.picked_up.dripstone_block: #9, 1357(3%)
minecraft.crafted.iron_sword: #9, 10(3%)
minecraft.picked_up.dark_oak_fence: #9, 139(3%)
minecraft.used.yellow_dye: #9, 32(4%)
minecraft.mined.blast_furnace: #9, 17(3%)
minecraft.picked_up.dark_oak_planks: #9, 188(3%)
minecraft.picked_up.birch_button: #9, 7(3%)
minecraft.crafted.stone_stairs: #9, 101(3%)
minecraft.picked_up.tuff_brick_slab: #9, 123(3%)
minecraft.dropped.tnt: #9, 96(4%)
minecraft.used.tnt: #9, 409(3%)
minecraft.picked_up.jungle_boat: #9, 10(3%)
minecraft.dropped.iron_ore: #9, 63(3%)
minecraft.picked_up.cobblestone_slab: #9, 166(3%)
minecraft.used.iron_boots: #9, 1(6%)
minecraft.mined.target: #9, 23(3%)
minecraft.crafted.glass_bottle: #9, 705(2%)
minecraft.crafted.sticky_piston: #9, 174(2%)
minecraft.used.iron_sword: #9, 505(2%)
minecraft.dropped.birch_log: #9, 57(2%)
minecraft.dropped.iron_boots: #9, 20(2%)
minecraft.crafted.redstone_torch: #9, 1269(2%)
minecraft.picked_up.purpur_slab: #9, 22(2%)
minecraft.picked_up.cobbled_deepslate: #9, 15085(2%)
minecraft.dropped.brick: #9, 135(2%)
minecraft.used.dripstone_block: #9, 305(2%)
minecraft.mined.bell: #9, 5(3%)
minecraft.dropped.pink_dye: #9, 7(2%)
minecraft.used.black_stained_glass: #9, 904(2%)
minecraft.used.nether_bricks: #9, 67(2%)
minecraft.picked_up.bell: #9, 5(2%)
minecraft.picked_up.dried_kelp: #9, 195(2%)
minecraft.crafted.stone_pressure_plate: #9, 57(2%)
minecraft.dropped.ender_eye: #9, 1(4%)
minecraft.used.porkchop: #9, 4(2%)
minecraft.crafted.iron_pickaxe: #10, 18(5%)
minecraft.dropped.black_dye: #9, 6(2%)
minecraft.used.deepslate_iron_ore: #9, 71(1%)
minecraft.used.apple: #9, 13(1%)
minecraft.mined.dark_oak_leaves: #9, 434(1%)
minecraft.dropped.stone_stairs: #9, 6(2%)
minecraft.dropped.polished_tuff_slab: #9, 12(2%)
minecraft.picked_up.lead: #10, 379(4%)
minecraft.picked_up.purpur_stairs: #9, 27(1%)
minecraft.used.dark_oak_boat: #9, 2(2%)
minecraft.dropped.deepslate_redstone_ore: #9, 10(1%)
minecraft.dropped.salmon: #9, 12(1%)
minecraft.dropped.sugar_cane: #9, 248(1%)
minecraft.crafted.brick_wall: #9, 7(1%)
minecraft.picked_up.dark_oak_pressure_plate: #9, 3(2%)
minecraft.crafted.white_shulker_box: #9, 12(1%)
minecraft.picked_up.black_concrete_powder: #9, 161(1%)
minecraft.killed.trader_llama: #10, 19(5%)
minecraft.mined.birch_fence_gate: #9, 3(1%)
minecraft.picked_up.stripped_acacia_log: #9, 65(1%)
minecraft.picked_up.deepslate_coal_ore: #9, 5(1%)
minecraft.mined.stripped_acacia_log: #9, 56(1%)
minecraft.dropped.green_wool: #9, 13(1%)
minecraft.crafted.pumpkin_pie: #9, 48(1%)
minecraft.dropped.light_weighted_pressure_plate: #9, 1(1%)
minecraft.crafted.chiseled_stone_bricks: #9, 48(1%)
minecraft.dropped.bookshelf: #9, 1(1%)
minecraft.used.lectern: #10, 338(5%)
minecraft.picked_up.birch_fence_gate: #9, 3(1%)
minecraft.dropped.andesite_wall: #9, 1(0%)
minecraft.mined.medium_amethyst_bud: #9, 3(0%)
minecraft.dropped.dried_kelp_block: #9, 1(0%)
minecraft.mined.glowstone: #10, 232(4%)
minecraft.mined.obsidian: #10, 715(4%)
minecraft.crafted.scaffolding: #10, 2116(4%)
minecraft.mined.furnace: #10, 110(4%)
minecraft.picked_up.wooden_axe: #10, 1(8%)
minecraft.crafted.iron_chestplate: #10, 5(3%)
minecraft.picked_up.dirt: #10, 66357(3%)
minecraft.picked_up.deepslate: #10, 9044(3%)
minecraft.picked_up.diamond_sword: #10, 40(3%)
minecraft.mined.damaged_anvil: #10, 7(4%)
minecraft.mined.pumpkin_stem: #10, 17(3%)
minecraft.used.oak_planks: #10, 421(3%)
minecraft.mined.dark_oak_fence: #10, 98(3%)
minecraft.picked_up.damaged_anvil: #10, 7(3%)
minecraft.mined.bamboo: #10, 1281(3%)
minecraft.dropped.lapis_ore: #10, 8(4%)
minecraft.used.redstone: #10, 2284(3%)
minecraft.crafted.comparator: #10, 178(3%)
minecraft.custom.climb_one_cm: #11, 3667920(4%)
minecraft.dropped.rail: #10, 86(3%)
minecraft.crafted.repeater: #10, 297(3%)
minecraft.picked_up.mangrove_planks: #10, 122(3%)
minecraft.used.glass: #10, 4859(2%)
minecraft.custom.drop: #11, 12817(4%)
minecraft.used.repeater: #10, 516(2%)
minecraft.picked_up.lapis_lazuli: #10, 2462(2%)
minecraft.used.gunpowder: #10, 12(2%)
minecraft.used.nether_quartz_ore: #10, 255(2%)
minecraft.mined.stone_stairs: #10, 33(2%)
minecraft.dropped.player_head: #10, 267(1%)
minecraft.picked_up.end_stone_bricks: #10, 60(2%)
minecraft.crafted.observer: #10, 415(2%)
minecraft.mined.andesite_wall: #10, 18(2%)
minecraft.crafted.polished_basalt: #10, 244(2%)
minecraft.crafted.redstone: #10, 5687(2%)
minecraft.dropped.dark_oak_sapling: #10, 7(3%)
minecraft.mined.polished_blackstone_button: #10, 4(3%)
minecraft.used.deepslate_gold_ore: #10, 118(2%)
minecraft.used.cod: #10, 5(2%)
minecraft.mined.hay_block: #10, 70(2%)
minecraft.picked_up.deepslate_iron_ore: #10, 120(2%)
minecraft.picked_up.bamboo_planks: #10, 496(1%)
minecraft.dropped.pink_petals: #10, 64(2%)
minecraft.killed.sheep: #10, 55(1%)
minecraft.picked_up.diamond_horse_armor: #10, 1(3%)
minecraft.used.sea_lantern: #10, 78(2%)
minecraft.used.deepslate_lapis_ore: #10, 30(2%)
minecraft.crafted.golden_boots: #10, 2(2%)
minecraft.used.paper: #10, 8(2%)
minecraft.crafted.tuff_brick_wall: #10, 10(2%)
minecraft.used.bell: #10, 4(2%)
minecraft.picked_up.stripped_mangrove_log: #10, 128(1%)
minecraft.mined.stripped_mangrove_log: #10, 128(1%)
minecraft.used.nether_brick_fence: #10, 13(2%)
minecraft.picked_up.green_dye: #10, 91(1%)
minecraft.crafted.white_wool: #10, 317(1%)
minecraft.mined.sea_lantern: #10, 16(1%)
minecraft.used.redstone_ore: #10, 17(1%)
minecraft.mined.deepslate_tile_slab: #10, 35(1%)
minecraft.used.light_blue_stained_glass_pane: #10, 38(1%)
minecraft.mined.quartz_stairs: #10, 18(1%)
minecraft.mined.crying_obsidian: #10, 11(1%)
minecraft.picked_up.brick_wall: #10, 2(1%)
minecraft.used.lever: #11, 424(4%)
minecraft.used.yellow_concrete_powder: #10, 149(1%)
minecraft.used.bamboo_stairs: #10, 18(1%)
minecraft.mined.exposed_chiseled_copper: #10, 1(1%)
minecraft.picked_up.gray_dye: #10, 9(0%)
minecraft.used.cut_sandstone: #10, 28(0%)
minecraft.dropped.purple_wool: #10, 2(1%)
minecraft.dropped.spruce_fence_gate: #10, 1(1%)
minecraft.used.stripped_mangrove_log: #10, 50(1%)
minecraft.crafted.cut_sandstone: #10, 21(1%)
minecraft.dropped.end_rod: #10, 4(1%)
minecraft.used.chorus_fruit: #10, 1(1%)
minecraft.dropped.cobblestone_stairs: #10, 1(1%)
minecraft.dropped.mangrove_fence: #10, 1(0%)
minecraft.used.red_carpet: #10, 41(0%)
minecraft.dropped.light_gray_concrete: #10, 1(0%)
minecraft.dropped.smooth_sandstone: #10, 1(0%)
minecraft.dropped.breeze_rod: #10, 1(0%)
minecraft.mined.amethyst_block: #11, 601(4%)
minecraft.picked_up.compass: #11, 65(4%)
minecraft.used.tuff_brick_wall: #11, 85(4%)
minecraft.used.chipped_anvil: #11, 10(3%)
minecraft.dropped.wooden_axe: #11, 1(7%)
minecraft.custom.inspect_dropper: #11, 1041(2%)
minecraft.picked_up.pumpkin_seeds: #11, 802(3%)
minecraft.mined.ladder: #11, 71(3%)
minecraft.picked_up.nether_quartz_ore: #11, 398(3%)
minecraft.picked_up.coal: #11, 6624(2%)
minecraft.used.mossy_cobblestone: #11, 267(3%)
minecraft.used.written_book: #11, 131(2%)
minecraft.used.splash_potion: #11, 47(2%)
minecraft.crafted.wooden_axe: #11, 1(6%)
minecraft.used.observer: #11, 731(2%)
minecraft.used.black_concrete_powder: #11, 1558(2%)
minecraft.dropped.tuff: #11, 499(2%)
minecraft.used.comparator: #11, 231(2%)
minecraft.picked_up.dropper: #11, 75(2%)
minecraft.mined.dragon_head: #11, 1(5%)
minecraft.dropped.stick: #11, 1552(2%)
minecraft.mined.dropper: #11, 36(2%)
minecraft.picked_up.writable_book: #11, 12(2%)
minecraft.dropped.stone_axe: #11, 2(3%)
minecraft.broken.iron_shovel: #11, 5(3%)
minecraft.crafted.enchanted_book: #11, 95(2%)
minecraft.picked_up.bamboo_stairs: #11, 18(3%)
minecraft.dropped.oak_slab: #11, 16(2%)
minecraft.mined.mud_brick_wall: #11, 17(2%)
minecraft.picked_up.glistering_melon_slice: #11, 16(2%)
minecraft.used.polished_basalt: #11, 158(2%)
minecraft.used.diamond_leggings: #11, 3(1%)
minecraft.used.polished_blackstone_wall: #11, 22(2%)
minecraft.picked_up.mud_brick_wall: #11, 22(2%)
minecraft.picked_up.redstone_ore: #11, 30(1%)
minecraft.picked_up.purpur_block: #11, 200(1%)
minecraft.used.slime_block: #11, 165(1%)
minecraft.dropped.pumpkin_seeds: #11, 157(1%)
minecraft.mined.jungle_fence_gate: #11, 2(2%)
minecraft.mined.cobblestone_stairs: #11, 30(1%)
minecraft.used.coal_ore: #11, 473(1%)
minecraft.used.mangrove_planks: #11, 164(1%)
minecraft.mined.light_gray_concrete_powder: #11, 23(1%)
minecraft.used.stone_hoe: #11, 125(1%)
minecraft.crafted.light_blue_stained_glass_pane: #11, 48(1%)
minecraft.used.gold_ingot: #11, 1(2%)
minecraft.used.gold_nugget: #11, 13(1%)
minecraft.used.cooked_mutton: #11, 21(1%)
minecraft.dropped.lily_pad: #11, 3(1%)
minecraft.used.pink_dye: #11, 2(1%)
minecraft.picked_up.deepslate_tile_slab: #11, 32(1%)
minecraft.dropped.rabbit_hide: #11, 1(1%)
minecraft.picked_up.exposed_chiseled_copper: #11, 1(1%)
minecraft.used.respawn_anchor: #11, 1(1%)
minecraft.picked_up.birch_boat: #11, 2(1%)
minecraft.used.cookie: #11, 13(1%)
minecraft.dropped.ice: #11, 11(1%)
minecraft.dropped.brown_wool: #11, 2(1%)
minecraft.dropped.packed_mud: #11, 17(1%)
minecraft.dropped.polished_basalt: #11, 2(1%)
minecraft.crafted.yellow_concrete_powder: #11, 144(0%)
minecraft.crafted.golden_apple: #11, 17(1%)
minecraft.used.turtle_egg: #11, 4(1%)
minecraft.crafted.written_book: #11, 2(1%)
minecraft.crafted.cooked_mutton: #11, 13(0%)
minecraft.used.acacia_planks: #11, 42(0%)
minecraft.used.birch_fence_gate: #11, 4(0%)
minecraft.crafted.pink_wool: #11, 6(0%)
minecraft.crafted.deepslate_tiles: #11, 18(0%)
minecraft.dropped.stripped_dark_oak_log: #11, 1(0%)
minecraft.crafted.respawn_anchor: #11, 1(0%)
minecraft.used.brick_slab: #11, 8(0%)
minecraft.used.salmon_bucket: #11, 1(0%)
minecraft.dropped.porkchop: #11, 22(0%)
minecraft.dropped.cobweb: #11, 1(0%)
minecraft.dropped.dried_kelp: #11, 1(0%)
minecraft.picked_up.obsidian: #12, 820(3%)
minecraft.picked_up.amethyst_block: #12, 581(4%)
minecraft.killed.salmon: #12, 98(3%)
minecraft.crafted.dark_oak_planks: #12, 5004(3%)
minecraft.dropped.diamond_chestplate: #12, 3(4%)
minecraft.dropped.netherite_pickaxe: #12, 5(3%)
minecraft.used.flint_and_steel: #12, 203(3%)
minecraft.used.oak_boat: #12, 35(3%)
minecraft.crafted.iron_helmet: #12, 4(3%)
minecraft.mined.redstone_wire: #12, 447(3%)
minecraft.mined.carved_pumpkin: #12, 164(2%)
minecraft.crafted.shield: #12, 8(3%)
minecraft.dropped.oak_sign: #12, 12(3%)
minecraft.crafted.birch_sign: #12, 33(2%)
minecraft.picked_up.gravel: #12, 11402(2%)
minecraft.crafted.iron_shovel: #12, 12(2%)
minecraft.crafted.iron_boots: #12, 4(2%)
minecraft.picked_up.paper: #12, 191(2%)
minecraft.crafted.black_concrete_powder: #12, 1560(2%)
minecraft.picked_up.coal_ore: #12, 1727(2%)
minecraft.used.diamond_boots: #12, 8(2%)
minecraft.picked_up.phantom_membrane: #12, 35(2%)
minecraft.picked_up.chiseled_tuff: #12, 38(2%)
minecraft.used.dragon_head: #12, 1(3%)
minecraft.picked_up.stripped_jungle_log: #12, 83(2%)
minecraft.crafted.dark_oak_boat: #12, 1(3%)
minecraft.mined.stripped_jungle_log: #12, 72(2%)
minecraft.used.chiseled_tuff: #12, 133(2%)
minecraft.picked_up.hopper_minecart: #12, 17(1%)
minecraft.crafted.red_bed: #12, 2(2%)
minecraft.used.target: #12, 47(2%)
minecraft.picked_up.polished_blackstone_button: #12, 4(2%)
minecraft.crafted.tuff_brick_slab: #12, 36(1%)
minecraft.used.dropper: #12, 87(1%)
minecraft.killed.endermite: #12, 3(1%)
minecraft.crafted.orange_shulker_box: #12, 5(1%)
minecraft.mined.tuff_brick_slab: #12, 22(1%)
minecraft.dropped.soul_sand: #12, 56(1%)
minecraft.used.polished_blackstone_button: #12, 16(1%)
minecraft.crafted.brick_slab: #12, 8(2%)
minecraft.crafted.redstone_lamp: #12, 29(1%)
minecraft.picked_up.bowl: #12, 6(1%)
minecraft.dropped.honey_bottle: #12, 7(1%)
minecraft.picked_up.yellow_concrete: #12, 204(1%)
minecraft.mined.deepslate_coal_ore: #12, 5(1%)
minecraft.picked_up.glowstone_dust: #12, 130(1%)
minecraft.dropped.sand: #12, 450(1%)
minecraft.mined.dark_oak_wall_sign: #12, 2(1%)
minecraft.crafted.emerald_block: #12, 258(1%)
minecraft.crafted.netherite_scrap: #12, 8(1%)
minecraft.used.ender_pearl: #12, 69(1%)
minecraft.used.ice: #12, 179(1%)
minecraft.mined.yellow_concrete: #12, 199(1%)
minecraft.mined.smooth_stone: #12, 178(1%)
minecraft.dropped.iron_door: #12, 1(1%)
minecraft.used.experience_bottle: #12, 98(1%)
minecraft.used.blackstone_stairs: #12, 12(1%)
minecraft.picked_up.blackstone_stairs: #12, 2(1%)
minecraft.dropped.chicken: #12, 23(1%)
minecraft.picked_up.quartz_stairs: #12, 18(1%)
minecraft.crafted.yellow_bed: #12, 1(1%)
minecraft.used.jungle_planks: #12, 101(1%)
minecraft.mined.dark_oak_fence_gate: #12, 2(1%)
minecraft.dropped.white_wool: #12, 32(1%)
minecraft.picked_up.blue_ice: #12, 34(1%)
minecraft.crafted.cobblestone_slab: #12, 78(1%)
minecraft.used.stripped_jungle_log: #12, 18(1%)
minecraft.picked_up.jungle_fence_gate: #12, 2(1%)
minecraft.picked_up.dark_oak_boat: #12, 1(1%)
minecraft.dropped.shulker_shell: #12, 23(1%)
minecraft.used.bread: #12, 43(0%)
minecraft.crafted.nether_brick: #12, 64(1%)
minecraft.crafted.mangrove_fence: #12, 21(0%)
minecraft.used.mangrove_fence: #12, 22(0%)
minecraft.used.pale_moss_carpet: #12, 52(0%)
minecraft.mined.turtle_egg: #12, 5(0%)
minecraft.mined.red_carpet: #12, 20(0%)
minecraft.dropped.glow_berries: #12, 3(0%)
minecraft.mined.blue_ice: #12, 26(0%)
minecraft.dropped.light_gray_concrete_powder: #12, 8(0%)
minecraft.picked_up.tuff_wall: #12, 4(0%)
minecraft.crafted.light_weighted_pressure_plate: #12, 1(0%)
minecraft.crafted.popped_chorus_fruit: #12, 7(0%)
minecraft.picked_up.crimson_fence: #12, 1(0%)
minecraft.mined.pink_wool: #12, 2(0%)
minecraft.crafted.red_nether_bricks: #12, 8(0%)
minecraft.crafted.red_carpet: #12, 21(0%)
minecraft.used.wooden_axe: #12, 1(0%)
minecraft.picked_up.red_carpet: #12, 21(0%)
minecraft.dropped.sculk: #12, 2(0%)
minecraft.used.netherrack: #13, 2193(3%)
minecraft.picked_up.diamond_boots: #13, 28(2%)
minecraft.picked_up.dark_oak_log: #13, 3109(3%)
minecraft.picked_up.crafting_table: #13, 213(3%)
minecraft.picked_up.chest: #13, 956(3%)
minecraft.used.obsidian: #13, 534(3%)
minecraft.crafted.furnace: #13, 218(3%)
minecraft.used.spruce_sign: #13, 182(3%)
minecraft.mined.smooth_basalt: #13, 282(3%)
minecraft.mined.dark_oak_log: #13, 2170(3%)
minecraft.picked_up.stone_slab: #13, 351(2%)
minecraft.picked_up.stone_stairs: #13, 62(2%)
minecraft.picked_up.birch_sign: #13, 22(2%)
minecraft.crafted.diamond_sword: #13, 4(2%)
minecraft.picked_up.bucket: #13, 86(2%)
minecraft.picked_up.rose_bush: #13, 217(2%)
minecraft.dropped.mace: #13, 4(3%)
minecraft.used.enchanting_table: #13, 2(3%)
minecraft.crafted.mossy_cobblestone: #13, 373(3%)
minecraft.picked_up.tuff_bricks: #13, 618(2%)
minecraft.used.bamboo: #13, 387(2%)
minecraft.picked_up.wooden_pickaxe: #13, 1(3%)
minecraft.picked_up.netherite_pickaxe: #13, 11(2%)
minecraft.picked_up.diamond: #13, 1443(1%)
minecraft.used.deepslate_redstone_ore: #13, 254(2%)
minecraft.killed.phantom: #13, 20(2%)
minecraft.picked_up.magma_block: #13, 568(1%)
minecraft.picked_up.emerald_block: #13, 169(2%)
minecraft.picked_up.splash_potion: #13, 20(1%)
minecraft.dropped.carrot: #13, 483(1%)
minecraft.dropped.stone_button: #13, 14(1%)
minecraft.used.glowstone: #13, 114(2%)
minecraft.mined.magma_block: #13, 518(1%)
minecraft.picked_up.andesite_wall: #13, 19(1%)
minecraft.picked_up.cobblestone_wall: #13, 16(1%)
minecraft.picked_up.peony: #13, 59(1%)
minecraft.picked_up.pufferfish: #13, 46(1%)
minecraft.crafted.pink_dye: #13, 160(1%)
minecraft.picked_up.cobweb: #13, 99(1%)
minecraft.mined.jungle_planks: #13, 36(1%)
minecraft.used.basalt: #13, 212(1%)
minecraft.dropped.compass: #13, 2(2%)
minecraft.crafted.brick_stairs: #13, 3(1%)
minecraft.crafted.golden_carrot: #13, 1290(1%)
minecraft.used.red_bed: #13, 5(1%)
minecraft.dropped.purpur_slab: #13, 1(1%)
minecraft.used.cobblestone_wall: #13, 32(1%)
minecraft.used.mangrove_log: #13, 119(1%)
minecraft.dropped.cooked_cod: #13, 21(1%)
minecraft.used.yellow_bed: #13, 9(1%)
minecraft.mined.yellow_concrete_powder: #13, 4(1%)
minecraft.picked_up.yellow_bed: #13, 8(1%)
minecraft.picked_up.cobblestone_stairs: #13, 27(1%)
minecraft.mined.yellow_bed: #13, 8(1%)
minecraft.dropped.deepslate_tiles: #13, 10(1%)
minecraft.used.acacia_fence: #13, 31(1%)
minecraft.crafted.acacia_fence: #13, 30(1%)
minecraft.crafted.polished_blackstone_button: #13, 12(1%)
minecraft.crafted.bamboo_stairs: #13, 20(1%)
minecraft.crafted.white_terracotta: #13, 48(1%)
minecraft.used.smooth_sandstone: #13, 112(1%)
minecraft.crafted.mud_brick_wall: #13, 17(1%)
minecraft.dropped.stone_pressure_plate: #13, 2(1%)
minecraft.mined.red_wall_banner: #13, 1(1%)
minecraft.dropped.splash_potion: #13, 5(1%)
minecraft.used.gray_stained_glass: #13, 78(1%)
minecraft.dropped.sculk_vein: #13, 2(1%)
minecraft.crafted.mud_brick_stairs: #13, 4(1%)
minecraft.used.deepslate_tile_slab: #13, 144(0%)
minecraft.picked_up.turtle_egg: #13, 5(0%)
minecraft.picked_up.dark_oak_fence_gate: #13, 2(0%)
minecraft.used.birch_boat: #13, 1(0%)
minecraft.crafted.snow_block: #13, 46(0%)
minecraft.used.bamboo_fence_gate: #13, 2(0%)
minecraft.dropped.packed_ice: #13, 4(0%)
minecraft.used.dark_oak_button: #13, 3(0%)
minecraft.picked_up.dried_kelp_block: #13, 19(0%)
minecraft.picked_up.yellow_concrete_powder: #13, 5(0%)
minecraft.killed.zombified_piglin: #13, 40(0%)
minecraft.crafted.lever: #14, 218(3%)
minecraft.mined.crafting_table: #14, 183(3%)
minecraft.crafted.iron_leggings: #14, 4(3%)
minecraft.mined.stone_button: #14, 31(2%)
minecraft.mined.hopper: #14, 218(2%)
minecraft.picked_up.melon_slice: #14, 1209(2%)
minecraft.dropped.written_book: #14, 6(2%)
minecraft.dropped.bow: #14, 54(2%)
minecraft.mined.calcite: #14, 707(2%)
minecraft.dropped.netherrack: #14, 2168(2%)
minecraft.picked_up.stone_button: #14, 55(2%)
minecraft.picked_up.ladder: #14, 150(2%)
minecraft.used.bamboo_sign: #14, 81(2%)
minecraft.crafted.dispenser: #14, 31(2%)
minecraft.custom.damage_blocked_by_shield: #14, 6614(2%)
minecraft.used.minecart: #14, 51(2%)
minecraft.custom.interact_with_campfire: #14, 242(2%)
minecraft.crafted.oak_door: #14, 6(2%)
minecraft.mined.polished_andesite_stairs: #14, 9(2%)
minecraft.used.iron_shovel: #14, 1046(1%)
minecraft.crafted.dark_oak_stairs: #14, 96(1%)
minecraft.mined.bamboo_wall_sign: #14, 6(1%)
minecraft.used.stone_stairs: #14, 94(1%)
minecraft.dropped.paper: #14, 50(1%)
minecraft.dropped.raw_iron: #14, 26(1%)
minecraft.mined.enchanting_table: #14, 1(2%)
minecraft.mined.stone_slab: #14, 82(1%)
minecraft.mined.sweet_berry_bush: #14, 15(1%)
minecraft.picked_up.enchanting_table: #14, 1(2%)
minecraft.broken.shield: #14, 1(2%)
minecraft.used.jungle_boat: #14, 3(1%)
minecraft.mined.acacia_planks: #14, 11(1%)
minecraft.dropped.lead: #14, 9(1%)
minecraft.crafted.smooth_sandstone: #14, 107(1%)
minecraft.picked_up.tuff_slab: #14, 16(1%)
minecraft.crafted.charcoal: #14, 121(1%)
minecraft.picked_up.blue_wool: #14, 56(1%)
minecraft.dropped.stone_slab: #14, 45(1%)
minecraft.mined.tuff_brick_wall: #14, 7(1%)
minecraft.mined.basalt: #14, 722(1%)
minecraft.picked_up.raw_gold: #14, 324(1%)
minecraft.mined.red_bed: #14, 4(1%)
minecraft.mined.green_carpet: #14, 7(1%)
minecraft.picked_up.honey_bottle: #14, 14(1%)
minecraft.mined.tuff_brick_stairs: #14, 12(1%)
minecraft.crafted.dropper: #14, 60(1%)
minecraft.used.quartz_stairs: #14, 54(1%)
minecraft.dropped.beetroot_seeds: #14, 132(1%)
minecraft.picked_up.mud_brick_stairs: #14, 4(1%)
minecraft.mined.bamboo_fence_gate: #14, 2(1%)
minecraft.mined.bamboo_fence: #14, 7(1%)
minecraft.mined.birch_fence: #14, 5(0%)
minecraft.picked_up.purple_bed: #14, 2(1%)
minecraft.mined.brown_mushroom_block: #14, 227(0%)
minecraft.used.cobblestone_stairs: #14, 36(0%)
minecraft.used.jungle_fence_gate: #14, 4(0%)
minecraft.used.mud_brick_wall: #14, 42(0%)
minecraft.picked_up.brick_stairs: #14, 2(0%)
minecraft.used.diamond_chestplate: #14, 2(0%)
minecraft.crafted.tuff_wall: #14, 6(0%)
minecraft.mined.red_mushroom_block: #14, 21(0%)
minecraft.dropped.magma_cream: #14, 1(0%)
minecraft.used.dark_oak_fence_gate: #14, 3(0%)
minecraft.used.blackstone_slab: #14, 14(0%)
minecraft.picked_up.activator_rail: #14, 5(0%)
minecraft.dropped.mangrove_slab: #14, 1(0%)
minecraft.used.crimson_sign: #14, 1(0%)
minecraft.mined.ice: #14, 397(0%)
minecraft.dropped.snow_block: #14, 6(0%)
minecraft.used.gold_ore: #14, 2(0%)
minecraft.crafted.light_blue_stained_glass: #14, 64(0%)
minecraft.dropped.white_stained_glass: #14, 1(0%)
minecraft.dropped.gray_wool: #14, 3(0%)
minecraft.picked_up.bamboo_fence_gate: #14, 2(0%)
minecraft.crafted.bamboo_fence_gate: #14, 2(0%)
minecraft.mined.black_concrete_powder: #14, 5(0%)
minecraft.crafted.birch_fence_gate: #14, 1(0%)
minecraft.dropped.glowstone_dust: #14, 1(0%)
minecraft.picked_up.sculk_vein: #14, 7(0%)
minecraft.mined.chipped_anvil: #15, 10(3%)
minecraft.picked_up.hopper: #15, 309(3%)
minecraft.picked_up.andesite: #15, 6274(2%)
minecraft.used.scaffolding: #15, 4616(2%)
minecraft.mined.farmland: #15, 105(2%)
minecraft.mined.powered_rail: #15, 157(2%)
minecraft.used.iron_bars: #15, 508(2%)
minecraft.used.diamond_pickaxe: #15, 108846(2%)
minecraft.picked_up.iron_shovel: #15, 7(2%)
minecraft.picked_up.stonecutter: #15, 32(2%)
minecraft.mined.comparator: #15, 52(2%)
minecraft.picked_up.dark_oak_trapdoor: #15, 66(2%)
minecraft.picked_up.oak_boat: #15, 32(2%)
minecraft.used.iron_axe: #15, 453(2%)
minecraft.picked_up.lapis_ore: #15, 53(2%)
minecraft.mined.dripstone_block: #15, 783(2%)
minecraft.used.snowball: #15, 85(1%)
minecraft.mined.redstone_ore: #15, 49(2%)
minecraft.dropped.water_bucket: #15, 7(2%)
minecraft.mined.scaffolding: #15, 1057(1%)
minecraft.killed_by.creeper: #15, 2(2%)
minecraft.mined.fire: #15, 227(1%)
minecraft.picked_up.oak_trapdoor: #15, 35(1%)
minecraft.dropped.ink_sac: #15, 12(1%)
minecraft.used.redstone_torch: #15, 168(1%)
minecraft.used.birch_sign: #15, 16(1%)
minecraft.picked_up.deepslate_redstone_ore: #15, 272(1%)
minecraft.killed.slime: #15, 141(1%)
minecraft.crafted.polished_tuff_stairs: #15, 10(1%)
minecraft.mined.nether_gold_ore: #15, 48(1%)
minecraft.mined.deepslate_gold_ore: #15, 266(1%)
minecraft.dropped.wheat: #15, 181(1%)
minecraft.crafted.iron_block: #15, 295(1%)
minecraft.picked_up.polished_andesite_stairs: #15, 9(1%)
minecraft.crafted.lapis_block: #15, 114(1%)
minecraft.used.baked_potato: #15, 69(1%)
minecraft.picked_up.black_concrete: #15, 190(1%)
minecraft.mined.chiseled_tuff: #15, 16(1%)
minecraft.used.tuff_brick_slab: #15, 100(1%)
minecraft.used.lead: #15, 1(1%)
minecraft.used.iron_ore: #15, 87(1%)
minecraft.dropped.oak_trapdoor: #15, 3(1%)
minecraft.picked_up.tuff_brick_stairs: #15, 21(1%)
minecraft.crafted.hopper_minecart: #15, 8(1%)
minecraft.dropped.tipped_arrow: #15, 21(1%)
minecraft.picked_up.red_bed: #15, 4(1%)
minecraft.mined.cobweb: #15, 110(1%)
minecraft.crafted.shears: #15, 93(1%)
minecraft.picked_up.emerald_ore: #15, 5(1%)
minecraft.crafted.polished_tuff_wall: #15, 20(1%)
minecraft.mined.bamboo_block: #15, 20(1%)
minecraft.mined.tnt: #15, 18(1%)
