stat, rank, value, (percentage) 
minecraft.picked_up.smooth_sandstone_stairs: #6, 28(2%)
minecraft.picked_up.polished_deepslate_stairs: #7, 223(5%)
minecraft.crafted.clay: #6, 226(1%)
minecraft.used.black_shulker_box: #7, 229(4%)
minecraft.picked_up.golden_axe: #6, 1(2%)
minecraft.used.bubble_coral_block: #6, 39(2%)
minecraft.dropped.grindstone: #6, 2(2%)
minecraft.used.chiseled_deepslate: #6, 34(1%)
minecraft.dropped.polished_andesite_stairs: #6, 4(1%)
minecraft.mined.deepslate_tile_wall: #7, 57(6%)
minecraft.used.weathered_cut_copper_stairs: #6, 4(2%)
minecraft.crafted.raw_copper_block: #7, 801(5%)
minecraft.used.polished_deepslate_stairs: #7, 638(5%)
minecraft.used.lime_bed: #6, 7(1%)
minecraft.crafted.brick_stairs: #6, 8(1%)
minecraft.mined.sea_lantern: #7, 96(5%)
minecraft.used.bubble_coral_fan: #6, 8(1%)
minecraft.picked_up.blast_furnace: #7, 23(5%)
minecraft.mined.purple_shulker_box: #7, 83(6%)
minecraft.crafted.brick_wall: #6, 8(1%)
minecraft.picked_up.music_disc_pigstep: #6, 1(2%)
minecraft.dropped.name_tag: #6, 4(1%)
minecraft.mined.spruce_sapling: #7, 33(4%)
minecraft.used.horn_coral_block: #6, 28(1%)
minecraft.used.stripped_oak_log: #6, 90(1%)
minecraft.dropped.beacon: #6, 1(1%)
minecraft.dropped.clay_ball: #6, 115(0%)
minecraft.used.raw_gold_block: #6, 17(0%)
minecraft.dropped.verdant_froglight: #6, 1(1%)
minecraft.crafted.mushroom_stew: #6, 1(1%)
minecraft.dropped.prismarine_shard: #6, 23(0%)
minecraft.dropped.granite: #7, 1010(4%)
minecraft.used.heavy_weighted_pressure_plate: #6, 12(0%)
minecraft.picked_up.stripped_spruce_log: #7, 481(4%)
minecraft.used.raw_iron_block: #6, 22(0%)
minecraft.used.netherite_axe: #7, 29836(7%)
minecraft.picked_up.polished_andesite: #7, 418(4%)
minecraft.crafted.hopper_minecart: #7, 182(4%)
minecraft.custom.enchant_item: #7, 74(3%)
minecraft.picked_up.black_bed: #7, 41(6%)
minecraft.crafted.blast_furnace: #7, 38(5%)
minecraft.picked_up.deepslate_brick_slab: #7, 187(4%)
minecraft.used.stripped_spruce_log: #7, 359(4%)
minecraft.picked_up.dark_oak_sapling: #7, 644(3%)
minecraft.mined.netherrack: #7, 51253(3%)
minecraft.used.deepslate_tile_wall: #7, 421(4%)
minecraft.mined.moss_block: #7, 3831(2%)
minecraft.picked_up.music_disc_otherside: #7, 9(4%)
minecraft.crafted.spruce_planks: #8, 31076(5%)
minecraft.crafted.packed_mud: #7, 1152(4%)
minecraft.crafted.netherite_axe: #7, 1(6%)
minecraft.crafted.red_stained_glass_pane: #7, 160(5%)
minecraft.used.sculk_sensor: #7, 15(3%)
minecraft.dropped.cobblestone_stairs: #7, 26(5%)
minecraft.used.snow: #7, 1831(3%)
minecraft.dropped.end_stone_bricks: #7, 19(4%)
minecraft.crafted.brush: #7, 4(5%)
minecraft.picked_up.tuff: #8, 8576(5%)
minecraft.picked_up.acacia_door: #7, 3(8%)
minecraft.picked_up.chiseled_deepslate: #7, 43(4%)
minecraft.dropped.deepslate_diamond_ore: #7, 53(4%)
minecraft.crafted.birch_fence: #7, 144(3%)
minecraft.picked_up.coal: #8, 8164(5%)
minecraft.dropped.purpur_stairs: #7, 5(4%)
minecraft.crafted.acacia_slab: #7, 84(3%)
minecraft.mined.redstone_torch: #7, 63(2%)
minecraft.dropped.bread: #7, 918(3%)
minecraft.crafted.fletching_table: #7, 6(4%)
minecraft.used.lily_of_the_valley: #7, 6(4%)
minecraft.dropped.red_terracotta: #7, 70(3%)
minecraft.mined.white_wall_banner: #7, 4(4%)
minecraft.crafted.coal_block: #7, 536(2%)
minecraft.dropped.copper_ore: #7, 60(2%)
minecraft.picked_up.minecart: #8, 184(6%)
minecraft.used.dead_bush: #7, 32(4%)
minecraft.picked_up.polished_deepslate_wall: #8, 249(7%)
minecraft.mined.bamboo_sapling: #7, 4(2%)
minecraft.dropped.flowering_azalea: #7, 19(2%)
minecraft.crafted.brown_concrete_powder: #7, 192(2%)
minecraft.crafted.fermented_spider_eye: #7, 41(2%)
minecraft.used.ochre_froglight: #7, 228(2%)
minecraft.picked_up.sandstone_wall: #7, 33(3%)
minecraft.used.iron_pickaxe: #8, 4200(5%)
minecraft.used.magenta_dye: #7, 2(4%)
minecraft.mined.andesite_wall: #7, 33(3%)
minecraft.mined.dark_oak_button: #7, 5(3%)
minecraft.custom.interact_with_blast_furnace: #8, 287(5%)
minecraft.crafted.lime_stained_glass: #7, 448(2%)
minecraft.used.netherite_hoe: #7, 7894(3%)
minecraft.dropped.redstone_ore: #7, 3(5%)
minecraft.dropped.warped_nylium: #7, 11(4%)
minecraft.used.red_candle: #7, 41(3%)
minecraft.mined.jungle_door: #7, 2(5%)
minecraft.used.painting: #8, 119(6%)
minecraft.mined.ochre_froglight: #7, 33(2%)
minecraft.dropped.white_stained_glass_pane: #7, 16(4%)
minecraft.mined.spawner: #7, 5(3%)
minecraft.mined.lantern: #8, 53(5%)
minecraft.dropped.rooted_dirt: #7, 14(3%)
minecraft.picked_up.gold_ore: #8, 93(6%)
minecraft.used.red_stained_glass_pane: #7, 38(2%)
minecraft.crafted.name_tag: #7, 76(2%)
minecraft.mined.green_glazed_terracotta: #7, 7(3%)
minecraft.picked_up.polished_diorite_stairs: #7, 10(3%)
minecraft.mined.prismarine_bricks: #7, 101(1%)
minecraft.picked_up.netherite_scrap: #7, 2(4%)
minecraft.picked_up.spruce_stairs: #8, 247(4%)
minecraft.dropped.smooth_stone: #7, 61(2%)
minecraft.mined.suspicious_sand: #7, 4(3%)
minecraft.picked_up.clay_ball: #7, 1743(1%)
minecraft.mined.quartz_bricks: #7, 6(1%)
minecraft.mined.blue_stained_glass_pane: #7, 1(3%)
minecraft.mined.chiseled_polished_blackstone: #7, 7(2%)
minecraft.mined.polished_blackstone_wall: #7, 17(2%)
minecraft.dropped.prismarine: #7, 22(2%)
minecraft.dropped.diamond_shovel: #8, 8(4%)
minecraft.crafted.polished_diorite_stairs: #7, 9(2%)
minecraft.used.goat_horn: #7, 4(1%)
minecraft.used.moss_carpet: #8, 868(4%)
minecraft.used.soul_torch: #7, 12(1%)
minecraft.used.smooth_sandstone_slab: #7, 118(2%)
minecraft.mined.magenta_concrete: #7, 16(1%)
minecraft.picked_up.purple_shulker_box: #8, 83(6%)
minecraft.mined.cyan_stained_glass_pane: #7, 2(2%)
minecraft.used.brain_coral_fan: #7, 7(1%)
minecraft.used.iron_bars: #8, 941(4%)
minecraft.used.netherite_pickaxe: #8, 263865(5%)
minecraft.used.stripped_crimson_stem: #8, 55(4%)
minecraft.used.end_stone: #7, 341(1%)
minecraft.crafted.minecart: #8, 272(4%)
minecraft.crafted.black_carpet: #7, 339(1%)
minecraft.mined.crimson_fence: #7, 2(1%)
minecraft.dropped.soul_sand: #7, 80(1%)
minecraft.dropped.orange_wool: #7, 20(1%)
minecraft.crafted.polished_diorite_slab: #7, 10(1%)
minecraft.dropped.cracked_polished_blackstone_bricks: #7, 13(1%)
minecraft.used.purple_shulker_box: #8, 86(5%)
minecraft.picked_up.raw_gold_block: #7, 16(1%)
minecraft.picked_up.green_glazed_terracotta: #7, 7(1%)
minecraft.mined.andesite: #8, 10773(3%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #7, 160(0%)
minecraft.used.lead: #8, 4(5%)
minecraft.dropped.end_stone: #7, 7(1%)
minecraft.dropped.mud_brick_slab: #7, 1(1%)
minecraft.used.horn_coral: #7, 2(1%)
minecraft.crafted.raw_iron_block: #8, 286(5%)
minecraft.mined.waxed_cut_copper_slab: #7, 2(1%)
minecraft.used.lime_glazed_terracotta: #7, 3(1%)
minecraft.picked_up.waxed_cut_copper_slab: #7, 2(1%)
minecraft.crafted.bamboo_trapdoor: #7, 4(0%)
minecraft.dropped.raw_iron_block: #7, 1(1%)
minecraft.mined.soul_torch: #7, 1(0%)
minecraft.used.purpur_slab: #7, 2(0%)
minecraft.crafted.heavy_weighted_pressure_plate: #7, 7(0%)
minecraft.used.fire_coral_block: #7, 8(0%)
minecraft.dropped.wooden_pickaxe: #8, 2(4%)
minecraft.dropped.cod: #7, 11(0%)
minecraft.used.cut_sandstone: #7, 63(0%)
minecraft.dropped.ancient_debris: #7, 1(0%)
minecraft.picked_up.iron_door: #8, 20(4%)
minecraft.mined.cobweb: #8, 221(4%)
minecraft.used.spruce_fence_gate: #8, 117(4%)
minecraft.mined.grindstone: #8, 19(4%)
minecraft.mined.nether_gold_ore: #8, 311(3%)
minecraft.crafted.iron_door: #8, 24(4%)
minecraft.crafted.bone_block: #8, 7585(4%)
minecraft.mined.large_fern: #8, 141(4%)
minecraft.mined.dark_oak_leaves: #8, 1812(3%)
minecraft.picked_up.golden_pickaxe: #8, 2(6%)
minecraft.mined.andesite_slab: #8, 24(4%)
minecraft.picked_up.chainmail_boots: #8, 5(4%)
minecraft.mined.end_stone_bricks: #8, 91(4%)
minecraft.used.glass: #8, 2360(3%)
minecraft.used.grass: #8, 357(4%)
minecraft.picked_up.lapis_lazuli: #9, 4851(5%)
minecraft.crafted.tripwire_hook: #8, 68(3%)
minecraft.killed.ghast: #8, 35(3%)
minecraft.used.birch_fence: #8, 145(3%)
minecraft.picked_up.amethyst_cluster: #8, 180(3%)
minecraft.picked_up.stone_brick_stairs: #8, 87(2%)
minecraft.picked_up.andesite_wall: #8, 81(4%)
minecraft.used.spore_blossom: #8, 10(3%)
minecraft.crafted.spruce_boat: #8, 8(3%)
minecraft.mined.deepslate_gold_ore: #9, 838(5%)
minecraft.mined.jungle_leaves: #8, 772(2%)
minecraft.dropped.dark_oak_sapling: #8, 47(2%)
minecraft.used.end_crystal: #8, 4(5%)
minecraft.used.spruce_slab: #9, 2427(5%)
minecraft.picked_up.red_stained_glass_pane: #8, 28(3%)
minecraft.mined.chain: #9, 125(5%)
minecraft.picked_up.sniffer_egg: #8, 4(3%)
minecraft.used.warped_door: #8, 4(3%)
minecraft.dropped.end_rod: #8, 18(3%)
minecraft.crafted.lime_concrete_powder: #8, 408(3%)
minecraft.picked_up.netherite_shovel: #8, 8(3%)
minecraft.broken.iron_sword: #8, 1(4%)
minecraft.used.sniffer_egg: #8, 4(3%)
minecraft.picked_up.red_candle: #8, 13(3%)
minecraft.mined.exposed_cut_copper: #8, 4(3%)
minecraft.used.netherite_shovel: #8, 57458(4%)
minecraft.mined.smooth_sandstone_slab: #8, 24(3%)
minecraft.killed.slime: #8, 359(2%)
minecraft.used.andesite_wall: #8, 275(2%)
minecraft.crafted.cobbled_deepslate_wall: #8, 29(3%)
minecraft.mined.spruce_wood: #8, 36(2%)
minecraft.used.coal_block: #8, 62(1%)
minecraft.mined.cut_copper_slab: #8, 14(2%)
minecraft.dropped.cookie: #8, 32(2%)
minecraft.mined.lime_stained_glass: #8, 48(2%)
minecraft.mined.mossy_stone_brick_stairs: #8, 2(2%)
minecraft.used.purpur_block: #8, 17(1%)
minecraft.dropped.red_sand: #8, 7(2%)
minecraft.picked_up.spruce_sapling: #9, 1032(4%)
minecraft.used.sandstone_slab: #8, 134(2%)
minecraft.picked_up.smooth_sandstone_slab: #8, 25(2%)
minecraft.dropped.cut_sandstone: #8, 10(1%)
minecraft.mined.polished_blackstone_stairs: #8, 12(1%)
minecraft.mined.green_stained_glass: #8, 17(1%)
minecraft.custom.interact_with_stonecutter: #9, 430(4%)
minecraft.used.polished_diorite_stairs: #8, 18(1%)
minecraft.crafted.chiseled_polished_blackstone: #8, 4(1%)
minecraft.used.tube_coral: #8, 2(1%)
minecraft.picked_up.mossy_stone_brick_stairs: #8, 2(1%)
minecraft.picked_up.polished_blackstone_wall: #8, 17(1%)
minecraft.dropped.clay: #8, 71(1%)
minecraft.used.chiseled_sandstone: #8, 5(1%)
minecraft.dropped.blue_terracotta: #8, 3(1%)
minecraft.killed.ravager: #8, 1(1%)
minecraft.mined.polished_diorite_slab: #8, 2(1%)
minecraft.used.brick_wall: #8, 9(1%)
minecraft.used.beef: #8, 1(2%)
minecraft.used.stripped_warped_hyphae: #8, 19(1%)
minecraft.used.brick_stairs: #8, 8(1%)
minecraft.dropped.clock: #8, 1(1%)
minecraft.crafted.iron_bars: #9, 1200(4%)
minecraft.picked_up.polished_deepslate: #9, 568(4%)
minecraft.used.magenta_concrete: #8, 8(1%)
minecraft.dropped.warped_sign: #8, 1(1%)
minecraft.mined.spruce_log: #9, 8127(3%)
minecraft.picked_up.writable_book: #9, 12(4%)
minecraft.picked_up.polished_diorite_slab: #8, 2(1%)
minecraft.dropped.acacia_wood: #8, 1(1%)
minecraft.picked_up.crimson_fence: #8, 2(0%)
minecraft.used.bamboo_block: #8, 15(0%)
minecraft.dropped.prismarine_crystals: #8, 10(0%)
minecraft.picked_up.black_carpet: #8, 141(0%)
minecraft.mined.prismarine_brick_slab: #8, 2(0%)
minecraft.picked_up.soul_lantern: #9, 50(4%)
minecraft.crafted.redstone_block: #9, 1680(3%)
minecraft.used.white_concrete: #9, 2238(3%)
minecraft.mined.smooth_quartz_slab: #9, 78(4%)
minecraft.picked_up.nether_quartz_ore: #9, 642(4%)
minecraft.picked_up.netherrack: #9, 25741(3%)
minecraft.picked_up.emerald_ore: #9, 29(3%)
minecraft.mined.iron_door: #9, 21(4%)
minecraft.picked_up.amethyst_shard: #9, 4826(3%)
minecraft.used.smooth_quartz_stairs: #9, 303(3%)
minecraft.mined.player_wall_head: #9, 20(3%)
minecraft.crafted.bone_meal: #9, 83152(3%)
minecraft.mined.white_concrete: #9, 2301(3%)
minecraft.used.stone_brick_stairs: #9, 273(3%)
minecraft.picked_up.deepslate_tile_wall: #9, 76(3%)
minecraft.picked_up.grass: #9, 404(3%)
minecraft.mined.jungle_log: #9, 1346(3%)
minecraft.crafted.lead: #9, 30(3%)
minecraft.picked_up.bell: #9, 14(3%)
minecraft.used.diamond_ore: #9, 7(5%)
minecraft.dropped.netherite_leggings: #9, 2(4%)
minecraft.crafted.diamond_hoe: #9, 3(3%)
minecraft.used.oak_log: #9, 751(2%)
minecraft.picked_up.end_stone_bricks: #9, 86(3%)
minecraft.dropped.mossy_cobblestone: #9, 43(3%)
minecraft.crafted.black_stained_glass_pane: #9, 240(4%)
minecraft.mined.cauldron: #9, 11(3%)
minecraft.crafted.lapis_lazuli: #9, 1053(2%)
minecraft.used.leather_chestplate: #9, 2(4%)
minecraft.used.flowering_azalea: #9, 47(2%)
minecraft.used.birch_log: #9, 543(2%)
minecraft.picked_up.netherite_sword: #9, 9(3%)
minecraft.dropped.netherite_hoe: #9, 1(4%)
minecraft.used.stone_stairs: #9, 289(2%)
minecraft.mined.stone_brick_stairs: #9, 52(2%)
minecraft.picked_up.netherite_hoe: #9, 3(2%)
minecraft.mined.bee_nest: #9, 17(2%)
minecraft.mined.stone_pressure_plate: #9, 8(3%)
minecraft.used.chest_minecart: #9, 4(3%)
minecraft.picked_up.chest_minecart: #9, 2(4%)
minecraft.crafted.slime_ball: #9, 711(2%)
minecraft.crafted.brown_terracotta: #9, 128(3%)
minecraft.used.sea_lantern: #9, 180(2%)
minecraft.crafted.target: #9, 64(2%)
minecraft.mined.smooth_stone: #9, 127(2%)
minecraft.dropped.gold_ore: #9, 4(3%)
minecraft.broken.diamond_shovel: #9, 2(3%)
minecraft.crafted.soul_lantern: #9, 93(2%)
minecraft.used.light_blue_dye: #9, 3(3%)
minecraft.crafted.decorated_pot: #9, 16(3%)
minecraft.used.lime_stained_glass: #9, 310(2%)
minecraft.used.blue_concrete: #9, 44(2%)
minecraft.used.lime_concrete_powder: #9, 256(2%)
minecraft.picked_up.exposed_cut_copper: #9, 4(2%)
minecraft.used.enchanted_golden_apple: #9, 1(4%)
minecraft.crafted.iron_pickaxe: #10, 19(5%)
minecraft.picked_up.cut_copper_slab: #9, 17(2%)
minecraft.crafted.firework_rocket: #9, 13512(1%)
minecraft.crafted.polished_andesite_stairs: #9, 32(2%)
minecraft.picked_up.oak_slab: #10, 137(5%)
minecraft.mined.bubble_coral_block: #9, 53(2%)
minecraft.picked_up.smooth_sandstone: #9, 173(1%)
minecraft.crafted.white_carpet: #9, 306(1%)
minecraft.used.oxidized_cut_copper_stairs: #9, 74(1%)
minecraft.dropped.shulker_shell: #9, 61(2%)
minecraft.picked_up.lime_concrete_powder: #9, 11(1%)
minecraft.picked_up.brown_concrete: #9, 48(1%)
minecraft.mined.smooth_sandstone: #9, 95(1%)
minecraft.dropped.music_disc_wait: #9, 1(2%)
minecraft.dropped.brick: #9, 56(2%)
minecraft.picked_up.bundle: #10, 62(5%)
minecraft.crafted.lantern: #10, 535(4%)
minecraft.used.dark_oak_leaves: #9, 86(2%)
minecraft.crafted.white_banner: #9, 22(1%)
minecraft.dropped.dropper: #9, 6(2%)
minecraft.crafted.cobbled_deepslate_stairs: #9, 28(1%)
minecraft.picked_up.bubble_coral_block: #9, 46(2%)
minecraft.dropped.dark_oak_sign: #9, 4(1%)
minecraft.picked_up.cooked_porkchop: #9, 555(1%)
minecraft.mined.stripped_bamboo_block: #9, 6(2%)
minecraft.dropped.cobblestone_slab: #9, 24(1%)
minecraft.picked_up.quartz_bricks: #9, 6(1%)
minecraft.picked_up.stripped_bamboo_block: #9, 6(2%)
minecraft.used.coal_ore: #10, 1077(4%)
minecraft.crafted.dark_oak_boat: #9, 4(1%)
minecraft.used.horn_coral_fan: #9, 3(1%)
minecraft.picked_up.tube_coral_block: #9, 32(1%)
minecraft.mined.ancient_debris: #9, 67(1%)
minecraft.picked_up.magenta_stained_glass: #9, 22(1%)
minecraft.mined.polished_blackstone_bricks: #9, 351(1%)
minecraft.used.cobbled_deepslate_wall: #9, 36(1%)
minecraft.picked_up.cyan_carpet: #9, 29(1%)
minecraft.picked_up.ancient_debris: #9, 69(1%)
minecraft.crafted.snow: #9, 354(1%)
minecraft.picked_up.andesite: #10, 10143(4%)
minecraft.dropped.brown_mushroom_block: #9, 36(1%)
minecraft.used.cyan_wool: #9, 83(1%)
minecraft.mined.fletching_table: #9, 2(2%)
minecraft.picked_up.fletching_table: #9, 2(2%)
minecraft.mined.blackstone_wall: #9, 4(1%)
minecraft.dropped.emerald_ore: #9, 1(1%)
minecraft.dropped.lapis_ore: #9, 2(1%)
minecraft.used.netherite_sword: #9, 4398(1%)
minecraft.mined.black_shulker_box: #10, 199(4%)
minecraft.dropped.purpur_pillar: #9, 2(1%)
minecraft.used.white_carpet: #9, 316(1%)
minecraft.picked_up.horn_coral_block: #9, 34(1%)
minecraft.crafted.blackstone_stairs: #9, 4(1%)
minecraft.mined.stripped_oak_log: #9, 91(0%)
minecraft.used.black_stained_glass: #9, 776(1%)
minecraft.used.light_gray_dye: #9, 2(1%)
minecraft.mined.sandstone_slab: #9, 11(1%)
minecraft.picked_up.stripped_oak_log: #9, 91(0%)
minecraft.mined.cut_sandstone: #9, 43(1%)
minecraft.dropped.glass_pane: #9, 10(1%)
minecraft.mined.horn_coral_block: #9, 34(1%)
minecraft.used.magenta_concrete_powder: #9, 8(1%)
minecraft.dropped.saddle: #9, 2(1%)
minecraft.killed.creeper: #9, 256(0%)
minecraft.picked_up.black_shulker_box: #10, 195(4%)
minecraft.mined.stripped_warped_stem: #9, 64(0%)
minecraft.used.sandstone_wall: #9, 50(1%)
minecraft.picked_up.sandstone_slab: #9, 12(1%)
minecraft.used.polished_blackstone_wall: #9, 61(1%)
minecraft.mined.cyan_wool: #9, 4(0%)
minecraft.picked_up.chiseled_polished_blackstone: #9, 7(1%)
minecraft.mined.chiseled_quartz_block: #9, 1(1%)
minecraft.picked_up.polished_blackstone_stairs: #9, 12(0%)
minecraft.dropped.polished_blackstone_bricks: #9, 23(1%)
minecraft.picked_up.magenta_concrete: #9, 7(0%)
minecraft.mined.red_concrete_powder: #9, 6(0%)
minecraft.picked_up.blackstone_wall: #9, 4(1%)
minecraft.picked_up.cyan_shulker_box: #10, 240(3%)
minecraft.dropped.jungle_sapling: #9, 2(1%)
minecraft.dropped.heavy_weighted_pressure_plate: #9, 1(1%)
minecraft.used.item_frame: #10, 386(4%)
minecraft.mined.black_carpet: #9, 37(0%)
minecraft.crafted.cyan_banner: #9, 1(1%)
minecraft.crafted.sugar: #9, 72(0%)
minecraft.used.bamboo_trapdoor: #9, 4(0%)
minecraft.used.bubble_coral: #9, 1(0%)
minecraft.used.blue_stained_glass_pane: #9, 1(0%)
minecraft.dropped.polished_granite_slab: #9, 1(0%)
minecraft.dropped.blaze_rod: #9, 2(0%)
minecraft.used.black_carpet: #9, 224(0%)
minecraft.picked_up.copper_ore: #10, 1038(4%)
minecraft.used.mangrove_propagule: #9, 10(0%)
minecraft.picked_up.dead_tube_coral_block: #9, 1(0%)
minecraft.used.polished_blackstone_brick_slab: #9, 2(0%)
minecraft.crafted.ladder: #10, 384(3%)
minecraft.mined.cyan_shulker_box: #10, 240(3%)
minecraft.picked_up.spruce_fence: #10, 214(3%)
minecraft.picked_up.clay: #10, 2079(4%)
minecraft.picked_up.raw_copper: #10, 8306(3%)
minecraft.used.white_shulker_box: #10, 218(4%)
minecraft.mined.deepslate_iron_ore: #10, 638(3%)
minecraft.mined.dark_oak_log: #10, 5402(3%)
minecraft.mined.white_shulker_box: #10, 206(3%)
minecraft.picked_up.white_shulker_box: #10, 205(3%)
minecraft.used.cooked_beef: #10, 351(3%)
minecraft.dropped.diamond_helmet: #10, 4(4%)
minecraft.mined.stonecutter: #10, 64(3%)
minecraft.picked_up.diamond_chestplate: #10, 11(4%)
minecraft.used.hopper: #10, 1075(3%)
minecraft.mined.dead_bush: #10, 151(3%)
minecraft.picked_up.iron_bars: #10, 204(3%)
minecraft.dropped.diamond_leggings: #10, 6(3%)
minecraft.killed.silverfish: #10, 12(4%)
minecraft.used.polished_deepslate_slab: #10, 1332(3%)
minecraft.crafted.oak_slab: #10, 738(3%)
minecraft.crafted.moss_carpet: #10, 276(3%)
minecraft.picked_up.shulker_shell: #10, 559(3%)
minecraft.killed.cow: #10, 141(2%)
minecraft.mined.clay: #10, 2568(2%)
minecraft.crafted.bread: #10, 924(3%)
minecraft.picked_up.cobblestone_wall: #10, 75(2%)
minecraft.picked_up.netherite_helmet: #10, 9(3%)
minecraft.dropped.iron_sword: #10, 5(3%)
minecraft.used.smooth_stone: #10, 580(2%)
minecraft.picked_up.smooth_stone: #10, 314(2%)
minecraft.picked_up.dark_oak_slab: #10, 187(2%)
minecraft.used.podzol: #10, 95(2%)
minecraft.picked_up.brick: #10, 116(3%)
minecraft.picked_up.trident: #10, 6(2%)
minecraft.crafted.paper: #10, 10242(2%)
minecraft.used.nether_quartz_ore: #10, 333(2%)
minecraft.used.acacia_log: #10, 264(2%)
minecraft.picked_up.jungle_log: #10, 1298(2%)
minecraft.crafted.brown_carpet: #10, 105(3%)
minecraft.picked_up.cyan_concrete: #10, 292(2%)
minecraft.mined.black_concrete: #10, 1300(2%)
minecraft.picked_up.podzol: #10, 382(2%)
minecraft.picked_up.netherite_ingot: #10, 3(2%)
minecraft.dropped.azalea: #10, 39(2%)
minecraft.mined.seagrass: #10, 112(2%)
minecraft.picked_up.baked_potato: #10, 40(2%)
minecraft.crafted.powered_rail: #10, 576(2%)
minecraft.used.written_book: #10, 485(1%)
minecraft.mined.purpur_block: #10, 98(2%)
minecraft.used.moss_block: #10, 2774(1%)
minecraft.picked_up.andesite_slab: #10, 29(2%)
minecraft.used.obsidian: #10, 627(2%)
minecraft.picked_up.dead_bush: #10, 82(2%)
minecraft.used.dark_oak_slab: #10, 503(1%)
minecraft.picked_up.quartz_slab: #10, 61(2%)
minecraft.crafted.andesite_stairs: #10, 31(2%)
minecraft.used.bee_nest: #10, 12(2%)
minecraft.used.purple_dye: #10, 2(3%)
minecraft.dropped.white_shulker_box: #10, 1(3%)
minecraft.dropped.mutton: #10, 9(2%)
minecraft.used.slime_block: #10, 333(1%)
minecraft.crafted.chest_minecart: #10, 2(2%)
minecraft.mined.crying_obsidian: #10, 11(2%)
minecraft.mined.dark_oak_planks: #11, 365(4%)
minecraft.mined.polished_basalt: #10, 52(1%)
minecraft.mined.smithing_table: #10, 5(1%)
minecraft.used.smooth_quartz_slab: #10, 193(1%)
minecraft.picked_up.white_stained_glass_pane: #10, 29(2%)
minecraft.used.mud_bricks: #10, 146(1%)
minecraft.mined.brown_concrete: #10, 48(2%)
minecraft.dropped.oak_leaves: #10, 40(1%)
minecraft.used.dark_prismarine_slab: #10, 95(2%)
minecraft.picked_up.snort_pottery_sherd: #10, 1(3%)
minecraft.used.target: #10, 33(1%)
minecraft.dropped.black_shulker_box: #10, 1(2%)
minecraft.used.spyglass: #10, 74(1%)
minecraft.dropped.dark_prismarine: #10, 14(2%)
minecraft.crafted.brown_dye: #10, 124(1%)
minecraft.used.brown_concrete_powder: #10, 48(1%)
minecraft.dropped.rotten_flesh: #10, 1930(1%)
minecraft.dropped.coal_block: #10, 7(2%)
minecraft.dropped.purpur_slab: #10, 2(2%)
minecraft.used.salmon: #10, 1(2%)
minecraft.used.conduit: #10, 1(2%)
minecraft.used.black_concrete: #10, 1162(1%)
minecraft.crafted.blue_concrete_powder: #10, 240(1%)
minecraft.mined.acacia_wood: #10, 6(1%)
minecraft.mined.tube_coral_block: #10, 33(2%)
minecraft.picked_up.prismarine_bricks: #10, 98(1%)
minecraft.crafted.deepslate_brick_wall: #10, 10(2%)
minecraft.picked_up.ochre_froglight: #10, 33(1%)
minecraft.picked_up.lime_concrete: #10, 139(1%)
minecraft.crafted.sandstone: #10, 414(1%)
minecraft.used.polished_blackstone_button: #10, 30(1%)
minecraft.mined.polished_blackstone_button: #10, 5(1%)
minecraft.used.cyan_concrete_powder: #10, 288(1%)
minecraft.mined.verdant_froglight: #10, 22(1%)
minecraft.mined.lime_concrete: #10, 135(1%)
minecraft.mined.raw_copper_block: #10, 8(1%)
minecraft.mined.decorated_pot: #10, 4(1%)
minecraft.killed.guardian: #10, 3(1%)
minecraft.used.cyan_carpet: #10, 39(1%)
minecraft.dropped.big_dripleaf: #10, 5(1%)
minecraft.used.cobweb: #10, 18(1%)
minecraft.dropped.pointed_dripstone: #10, 17(1%)
minecraft.picked_up.decorated_pot: #10, 4(1%)
minecraft.crafted.crossbow: #10, 2(1%)
minecraft.picked_up.lime_stained_glass: #10, 48(1%)
minecraft.mined.sandstone_stairs: #10, 5(1%)
minecraft.mined.water_cauldron: #10, 2(1%)
minecraft.crafted.polished_blackstone_button: #10, 29(1%)
minecraft.crafted.black_stained_glass: #10, 1096(1%)
minecraft.dropped.leather: #10, 39(1%)
minecraft.picked_up.sandstone_stairs: #10, 5(1%)
minecraft.picked_up.lapis_block: #10, 69(1%)
minecraft.picked_up.spruce_log: #11, 9174(3%)
minecraft.used.dark_oak_button: #10, 19(1%)
minecraft.picked_up.orange_stained_glass_pane: #10, 4(1%)
minecraft.used.brown_carpet: #10, 76(1%)
minecraft.picked_up.brown_dye: #10, 8(1%)
minecraft.picked_up.green_stained_glass: #10, 17(1%)
minecraft.crafted.hay_block: #10, 71(0%)
minecraft.dropped.cooked_porkchop: #10, 167(0%)
minecraft.used.polished_blackstone_stairs: #10, 25(0%)
minecraft.picked_up.cyan_stained_glass_pane: #10, 2(1%)
minecraft.crafted.candle: #10, 128(0%)
minecraft.used.weathered_cut_copper: #10, 2(0%)
minecraft.dropped.nether_wart_block: #10, 19(0%)
minecraft.dropped.white_stained_glass: #10, 6(0%)
minecraft.mined.cracked_polished_blackstone_bricks: #10, 73(0%)
minecraft.used.polished_diorite_slab: #10, 6(0%)
minecraft.mined.polished_blackstone_brick_stairs: #10, 8(0%)
minecraft.used.activator_rail: #10, 5(0%)
minecraft.dropped.pumpkin: #10, 24(0%)
