stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #14, 6663056(2%)
minecraft.custom.time_since_death: #15, 6663056(2%)
minecraft.custom.fly_one_cm: #34, 24984220(1%)
minecraft.mined.torch: #35, 2(0%)
minecraft.custom.walk_on_water_one_cm: #36, 87863(0%)
minecraft.used.torch: #37, 2(0%)
minecraft.picked_up.torch: #38, 2(0%)
minecraft.picked_up.rotten_flesh: #38, 1(0%)
minecraft.custom.play_time: #40, 6663056(0%)
minecraft.custom.total_world_time: #40, 6663056(0%)
minecraft.custom.leave_game: #40, 71(0%)
minecraft.custom.walk_under_water_one_cm: #44, 79614(0%)
minecraft.custom.sneak_time: #46, 33936(0%)
minecraft.custom.walk_one_cm: #51, 2625(0%)
minecraft.custom.sprint_one_cm: #54, 575(0%)
minecraft.custom.jump: #55, 2(0%)
