stat, rank, value, (percentage) 
minecraft.used.diorite_slab: #3, 170(15%)
minecraft.crafted.acacia_wood: #3, 876(12%)
minecraft.crafted.cyan_banner: #2, 18(10%)
minecraft.picked_up.salmon: #3, 176(7%)
minecraft.dropped.golden_axe: #2, 5(14%)
minecraft.crafted.black_stained_glass_pane: #3, 760(13%)
minecraft.dropped.mud_brick_slab: #2, 15(12%)
minecraft.picked_up.fern: #3, 1138(9%)
minecraft.dropped.waxed_exposed_cut_copper: #2, 4(31%)
minecraft.dropped.jungle_fence: #2, 16(23%)
minecraft.picked_up.mangrove_sign: #3, 19(11%)
minecraft.crafted.acacia_trapdoor: #3, 1156(11%)
minecraft.dropped.goat_horn: #3, 8(8%)
minecraft.dropped.waxed_oxidized_cut_copper: #2, 2(29%)
minecraft.used.black_stained_glass_pane: #3, 516(12%)
minecraft.crafted.jungle_stairs: #3, 240(17%)
minecraft.picked_up.acacia_button: #3, 6(11%)
minecraft.used.lime_banner: #2, 19(14%)
minecraft.mined.oak_pressure_plate: #3, 4(13%)
minecraft.crafted.enchanted_book: #3, 1554(11%)
minecraft.mined.andesite_stairs: #3, 39(10%)
minecraft.crafted.waxed_exposed_cut_copper_stairs: #2, 96(16%)
minecraft.mined.birch_planks: #3, 965(6%)
minecraft.picked_up.mangrove_wood: #3, 92(15%)
minecraft.picked_up.brown_bed: #2, 17(19%)
minecraft.dropped.spruce_leaves: #4, 463(13%)
minecraft.broken.fishing_rod: #3, 6(15%)
minecraft.crafted.chiseled_red_sandstone: #2, 3(15%)
minecraft.dropped.waxed_exposed_cut_copper_slab: #2, 5(25%)
minecraft.picked_up.acacia_slab: #3, 74(12%)
minecraft.killed.vindicator: #3, 259132(12%)
minecraft.dropped.rabbit_foot: #2, 2(18%)
minecraft.dropped.rabbit: #3, 6(11%)
minecraft.crafted.dark_prismarine_slab: #3, 138(12%)
minecraft.dropped.silence_armor_trim_smithing_template: #2, 1(33%)
minecraft.crafted.waxed_weathered_cut_copper_stairs: #2, 65(13%)
minecraft.dropped.nether_brick_stairs: #2, 23(9%)
minecraft.used.orange_dye: #3, 30(11%)
minecraft.dropped.jungle_button: #2, 6(13%)
minecraft.killed_by.piglin_brute: #2, 2(12%)
minecraft.used.smooth_red_sandstone_slab: #2, 252(10%)
minecraft.crafted.bamboo_block: #4, 2386(14%)
minecraft.killed.evoker: #3, 65819(12%)
minecraft.dropped.charcoal: #3, 67(11%)
minecraft.used.acacia_wood: #3, 547(10%)
minecraft.dropped.brown_bed: #2, 6(30%)
minecraft.crafted.stonecutter: #3, 78(6%)
minecraft.used.deepslate_coal_ore: #3, 11(22%)
minecraft.used.iron_ore: #4, 1094(10%)
minecraft.mined.lime_wall_banner: #2, 9(18%)
minecraft.mined.brown_bed: #2, 17(27%)
minecraft.crafted.diamond_hoe: #3, 7(7%)
minecraft.mined.purpur_stairs: #3, 78(8%)
minecraft.mined.snow: #3, 34663(5%)
minecraft.crafted.lime_wool: #3, 224(15%)
minecraft.dropped.stripped_mangrove_wood: #2, 2(25%)
minecraft.used.waxed_exposed_cut_copper_stairs: #3, 98(14%)
minecraft.dropped.bread: #3, 2460(7%)
minecraft.picked_up.bamboo_trapdoor: #2, 11(5%)
minecraft.crafted.light_blue_concrete: #3, 112(30%)
minecraft.mined.bamboo_trapdoor: #2, 12(5%)
minecraft.mined.jungle_trapdoor: #2, 193(4%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #2, 142(12%)
minecraft.picked_up.magenta_banner: #2, 2(8%)
minecraft.picked_up.glowstone_dust: #4, 1599(10%)
minecraft.mined.waxed_exposed_cut_copper_slab: #3, 37(13%)
minecraft.mined.stonecutter: #4, 176(9%)
minecraft.dropped.bone_meal: #4, 2431(9%)
minecraft.mined.dead_tube_coral_block: #2, 63(5%)
minecraft.crafted.andesite: #3, 3680(14%)
minecraft.mined.bamboo_stairs: #2, 1(20%)
minecraft.mined.nether_wart_block: #4, 3588(10%)
minecraft.crafted.diamond_axe: #4, 14(7%)
minecraft.used.deepslate_iron_ore: #4, 374(11%)
minecraft.crafted.red_terracotta: #3, 3660(7%)
minecraft.dropped.spruce_log: #4, 823(9%)
minecraft.dropped.stone_brick_wall: #3, 61(12%)
minecraft.used.magenta_banner: #2, 2(12%)
minecraft.dropped.lead: #4, 38(9%)
minecraft.dropped.black_stained_glass_pane: #2, 8(6%)
minecraft.picked_up.chiseled_red_sandstone: #2, 1(17%)
minecraft.crafted.jungle_door: #3, 12(11%)
minecraft.mined.dead_horn_coral_fan: #3, 2(22%)
minecraft.dropped.tube_coral_fan: #2, 5(7%)
minecraft.used.end_stone_bricks: #4, 344(15%)
minecraft.mined.glass_pane: #4, 105(10%)
minecraft.picked_up.cod_bucket: #2, 2(15%)
minecraft.picked_up.stonecutter: #4, 176(8%)
minecraft.dropped.glowstone_dust: #4, 694(13%)
minecraft.picked_up.waxed_exposed_copper: #3, 131(10%)
minecraft.mined.podzol: #4, 3182(7%)
minecraft.mined.stone_stairs: #4, 229(9%)
minecraft.broken.golden_hoe: #3, 3(21%)
minecraft.crafted.purple_stained_glass_pane: #3, 480(10%)
minecraft.picked_up.cherry_sapling: #4, 382(11%)
minecraft.mined.smooth_red_sandstone_slab: #2, 13(9%)
minecraft.killed.bee: #3, 11(8%)
minecraft.used.cut_red_sandstone_slab: #2, 21(8%)
minecraft.crafted.spruce_slab: #4, 5436(8%)
minecraft.mined.cut_red_sandstone_slab: #2, 3(6%)
minecraft.crafted.brick_stairs: #3, 64(9%)
minecraft.crafted.smoker: #4, 25(12%)
minecraft.crafted.cod_bucket: #3, 20(24%)
minecraft.mined.loom: #4, 25(11%)
minecraft.mined.yellow_banner: #2, 1(10%)
minecraft.mined.tube_coral_block: #3, 165(9%)
minecraft.used.chain: #4, 893(8%)
minecraft.mined.deepslate_coal_ore: #4, 34(10%)
minecraft.crafted.lever: #4, 433(8%)
minecraft.picked_up.smooth_red_sandstone_slab: #2, 6(4%)
minecraft.used.dark_oak_fence_gate: #3, 132(6%)
minecraft.broken.golden_axe: #3, 3(14%)
minecraft.crafted.jungle_sign: #3, 30(10%)
minecraft.mined.lime_banner: #2, 1(7%)
minecraft.mined.chain: #4, 180(8%)
minecraft.picked_up.snowball: #4, 35397(6%)
minecraft.picked_up.hopper_minecart: #3, 271(6%)
minecraft.crafted.rabbit_stew: #3, 12(16%)
minecraft.used.mangrove_fence_gate: #3, 15(12%)
minecraft.picked_up.acacia_trapdoor: #4, 223(11%)
minecraft.dropped.slime_block: #3, 211(7%)
minecraft.dropped.oak_wood: #3, 34(16%)
minecraft.crafted.birch_pressure_plate: #3, 18(9%)
minecraft.dropped.cooked_rabbit: #2, 5(5%)
minecraft.dropped.cyan_stained_glass: #2, 9(2%)
minecraft.crafted.chain: #4, 920(8%)
minecraft.mined.granite_stairs: #3, 10(14%)
minecraft.crafted.white_concrete: #3, 256(15%)
minecraft.dropped.prismarine_brick_slab: #2, 1(3%)
minecraft.mined.waxed_oxidized_cut_copper_slab: #2, 13(1%)
minecraft.used.oak_door: #4, 16(10%)
minecraft.used.waxed_oxidized_cut_copper: #3, 150(21%)
minecraft.used.diamond_sword: #4, 57572(5%)
minecraft.dropped.nether_brick_slab: #2, 12(0%)
minecraft.killed.villager: #3, 13(8%)
minecraft.used.jungle_stairs: #3, 108(10%)
minecraft.dropped.waxed_weathered_cut_copper_slab: #3, 2(20%)
minecraft.mined.dead_bubble_coral_fan: #3, 1(25%)
minecraft.dropped.spruce_chest_boat: #3, 1(33%)
minecraft.mined.potted_lily_of_the_valley: #3, 1(33%)
minecraft.dropped.rabbit_stew: #3, 1(20%)
minecraft.dropped.netherite_leggings: #4, 6(11%)
minecraft.dropped.spruce_wood: #3, 94(12%)
minecraft.picked_up.spruce_slab: #4, 916(7%)
minecraft.picked_up.acacia_stairs: #3, 13(11%)
minecraft.picked_up.diorite_slab: #3, 19(9%)
minecraft.used.polished_diorite_slab: #3, 140(10%)
minecraft.crafted.nether_brick_stairs: #3, 160(12%)
minecraft.picked_up.smooth_quartz_slab: #4, 332(8%)
minecraft.mined.waxed_exposed_copper: #3, 100(9%)
minecraft.crafted.lime_shulker_box: #4, 17(10%)
minecraft.crafted.green_banner: #3, 65(8%)
minecraft.dropped.coarse_dirt: #4, 309(9%)
minecraft.mined.iron_bars: #4, 222(8%)
minecraft.crafted.black_concrete: #3, 344(15%)
minecraft.crafted.diorite_wall: #4, 259(14%)
minecraft.mined.water_cauldron: #3, 12(7%)
minecraft.dropped.andesite_stairs: #3, 33(18%)
minecraft.dropped.mangrove_planks: #3, 20(6%)
minecraft.picked_up.brick_stairs: #3, 30(6%)
minecraft.picked_up.glass_bottle: #5, 1793(9%)
minecraft.used.stone_brick_wall: #4, 667(8%)
minecraft.dropped.yellow_concrete: #3, 17(12%)
minecraft.used.lime_candle: #3, 24(14%)
minecraft.crafted.blast_furnace: #4, 77(9%)
minecraft.dropped.observer: #3, 53(6%)
minecraft.mined.andesite_wall: #4, 137(12%)
minecraft.mined.white_candle: #3, 5(10%)
minecraft.picked_up.bread: #4, 963(9%)
minecraft.dropped.birch_log: #4, 215(8%)
minecraft.crafted.magenta_wool: #3, 64(10%)
minecraft.used.blast_furnace: #4, 78(8%)
minecraft.dropped.end_stone: #3, 74(6%)
minecraft.killed_by.vex: #4, 15(7%)
minecraft.crafted.blue_banner: #3, 12(13%)
minecraft.dropped.golden_hoe: #3, 2(25%)
minecraft.dropped.bamboo_trapdoor: #3, 1(25%)
minecraft.mined.flower_pot: #4, 17(8%)
minecraft.custom.damage_blocked_by_shield: #4, 17640(8%)
minecraft.mined.acacia_wood: #4, 43(10%)
minecraft.dropped.spruce_sapling: #4, 238(7%)
minecraft.used.oak_fence_gate: #4, 70(9%)
minecraft.mined.cactus: #4, 168(7%)
minecraft.dropped.crimson_stem: #4, 503(12%)
minecraft.picked_up.golden_pickaxe: #4, 4(12%)
minecraft.crafted.spruce_stairs: #4, 1236(6%)
minecraft.crafted.brown_carpet: #4, 364(9%)
minecraft.dropped.dead_bush: #3, 10(10%)
minecraft.dropped.jungle_log: #3, 125(5%)
minecraft.picked_up.wet_sponge: #4, 1671(9%)
minecraft.used.sponge: #4, 1692(10%)
minecraft.dropped.stone_slab: #4, 538(8%)
minecraft.crafted.cherry_pressure_plate: #3, 1(17%)
minecraft.mined.smooth_red_sandstone: #3, 40(16%)
minecraft.used.green_concrete: #3, 557(3%)
minecraft.dropped.fern: #3, 25(7%)
minecraft.mined.red_sandstone_wall: #3, 9(10%)
minecraft.crafted.stone_brick_stairs: #4, 505(8%)
minecraft.picked_up.birch_planks: #4, 1016(5%)
minecraft.crafted.snow_block: #4, 8638(6%)
minecraft.crafted.stone_button: #4, 1698(6%)
minecraft.picked_up.polished_diorite_slab: #3, 21(7%)
minecraft.dropped.light_blue_dye: #3, 6(6%)
minecraft.mined.wet_sponge: #4, 1642(9%)
minecraft.picked_up.deepslate_iron_ore: #5, 500(10%)
minecraft.dropped.wheat_seeds: #5, 6180(8%)
minecraft.mined.muddy_mangrove_roots: #4, 655(9%)
minecraft.mined.red_sand: #4, 3417(8%)
minecraft.mined.polished_diorite_slab: #3, 9(6%)
minecraft.crafted.bamboo_pressure_plate: #3, 1(14%)
minecraft.dropped.dark_oak_door: #4, 39(16%)
minecraft.crafted.sandstone_wall: #3, 96(5%)
minecraft.dropped.redstone: #5, 1373(10%)
minecraft.used.orange_banner: #3, 4(9%)
minecraft.dropped.cooked_chicken: #4, 39(10%)
minecraft.dropped.warped_hyphae: #3, 26(8%)
minecraft.dropped.andesite_slab: #4, 25(17%)
minecraft.dropped.warped_stem: #3, 96(5%)
minecraft.picked_up.dead_tube_coral_block: #3, 88(5%)
minecraft.used.sugar_cane: #4, 709(6%)
minecraft.crafted.birch_trapdoor: #4, 206(7%)
minecraft.dropped.red_dye: #4, 76(8%)
minecraft.mined.orange_tulip: #4, 21(11%)
minecraft.dropped.shears: #5, 108(10%)
minecraft.dropped.oak_log: #4, 752(5%)
minecraft.picked_up.red_sand: #4, 3217(7%)
minecraft.picked_up.muddy_mangrove_roots: #4, 686(9%)
minecraft.dropped.stripped_acacia_wood: #3, 2(11%)
minecraft.dropped.yellow_carpet: #3, 6(7%)
minecraft.used.totem_of_undying: #5, 93(9%)
minecraft.dropped.dead_bubble_coral_block: #3, 1(14%)
minecraft.used.andesite: #5, 5759(8%)
minecraft.dropped.red_sand: #4, 44(12%)
minecraft.dropped.bamboo_block: #3, 20(6%)
minecraft.mined.kelp: #4, 330(6%)
minecraft.dropped.blue_concrete: #3, 16(14%)
minecraft.dropped.stone_button: #4, 371(8%)
minecraft.dropped.candle: #3, 13(10%)
minecraft.crafted.cherry_fence_gate: #3, 1(10%)
minecraft.crafted.stripped_dark_oak_wood: #3, 48(4%)
minecraft.mined.bamboo: #4, 1325(5%)
minecraft.picked_up.andesite_stairs: #4, 55(7%)
minecraft.used.brown_mushroom: #3, 118(2%)
minecraft.used.wooden_axe: #4, 56(7%)
minecraft.dropped.mangrove_wood: #3, 6(8%)
minecraft.dropped.pink_bed: #3, 1(12%)
minecraft.picked_up.bamboo_stairs: #3, 1(12%)
minecraft.picked_up.waxed_oxidized_copper: #3, 39(3%)
minecraft.crafted.waxed_oxidized_copper: #3, 136(6%)
minecraft.picked_up.bamboo: #5, 23170(9%)
minecraft.used.end_stone_brick_slab: #3, 8(6%)
minecraft.used.red_sandstone_slab: #3, 10(11%)
minecraft.used.golden_axe: #3, 27(3%)
minecraft.crafted.bamboo_fence_gate: #3, 2(8%)
minecraft.dropped.bubble_coral_fan: #3, 5(4%)
minecraft.used.crimson_nylium: #3, 204(1%)
minecraft.dropped.copper_block: #4, 768(22%)
minecraft.crafted.light_blue_banner: #4, 12(16%)
minecraft.used.hanging_roots: #4, 62(9%)
minecraft.picked_up.bone: #5, 5867(7%)
minecraft.picked_up.smooth_red_sandstone: #3, 29(6%)
minecraft.dropped.coal_block: #4, 35(10%)
minecraft.dropped.chain: #4, 91(7%)
minecraft.dropped.jungle_stairs: #3, 1(9%)
minecraft.dropped.globe_banner_pattern: #3, 2(9%)
minecraft.picked_up.lime_banner: #3, 10(5%)
minecraft.picked_up.mud_brick_slab: #4, 79(8%)
minecraft.crafted.dark_oak_boat: #4, 26(7%)
minecraft.crafted.bamboo_planks: #4, 1064(7%)
minecraft.dropped.note_block: #3, 5(3%)
minecraft.crafted.purpur_stairs: #4, 20(16%)
minecraft.crafted.mangrove_fence_gate: #4, 15(11%)
minecraft.crafted.jungle_fence: #4, 180(11%)
minecraft.used.acacia_stairs: #4, 45(14%)
minecraft.used.stonecutter: #5, 185(8%)
minecraft.crafted.spruce_planks: #5, 38816(7%)
minecraft.custom.mob_kills: #5, 802053(6%)
minecraft.used.waxed_oxidized_copper: #4, 178(11%)
minecraft.mined.potted_torchflower: #3, 1(8%)
minecraft.picked_up.jungle_slab: #4, 170(9%)
minecraft.picked_up.chest_minecart: #4, 5(9%)
minecraft.mined.mangrove_door: #4, 6(11%)
minecraft.used.jungle_planks: #4, 1280(7%)
minecraft.mined.lime_candle: #3, 2(4%)
minecraft.dropped.diamond_sword: #5, 13(7%)
minecraft.picked_up.mangrove_door: #4, 7(10%)
minecraft.dropped.blaze_rod: #4, 82(12%)
minecraft.picked_up.oak_log: #5, 9578(6%)
minecraft.dropped.yellow_shulker_box: #4, 3(11%)
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #3, 32(4%)
minecraft.mined.white_glazed_terracotta: #3, 27(3%)
minecraft.custom.interact_with_cartography_table: #4, 42(6%)
minecraft.crafted.polished_diorite_stairs: #4, 49(10%)
minecraft.crafted.red_sandstone: #4, 709(8%)
minecraft.mined.white_concrete_powder: #3, 92(1%)
minecraft.used.brick_wall: #4, 81(10%)
minecraft.crafted.lime_candle: #3, 33(2%)
minecraft.picked_up.copper_block: #5, 968(8%)
minecraft.used.golden_shovel: #3, 11(2%)
minecraft.mined.cyan_terracotta: #4, 584(4%)
minecraft.dropped.gilded_blackstone: #3, 4(4%)
minecraft.dropped.spruce_planks: #5, 295(8%)
minecraft.dropped.dark_oak_fence_gate: #3, 6(2%)
minecraft.used.smooth_quartz_slab: #5, 1320(8%)
minecraft.used.andesite_wall: #4, 949(6%)
minecraft.dropped.quartz_pillar: #3, 26(1%)
minecraft.used.white_glazed_terracotta: #3, 31(1%)
minecraft.used.andesite_slab: #4, 528(5%)
minecraft.dropped.diamond_axe: #5, 13(7%)
minecraft.crafted.firework_star: #3, 768(1%)
minecraft.used.diamond_hoe: #5, 38107(8%)
minecraft.dropped.cobblestone_wall: #4, 72(7%)
minecraft.dropped.smooth_red_sandstone: #3, 4(2%)
minecraft.picked_up.nether_bricks: #5, 1924(8%)
minecraft.crafted.sandstone: #4, 1909(6%)
minecraft.used.jungle_button: #3, 2(1%)
minecraft.dropped.red_stained_glass: #3, 7(1%)
minecraft.dropped.stone_brick_stairs: #4, 55(7%)
minecraft.crafted.deepslate_tile_wall: #4, 65(6%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #3, 7(0%)
minecraft.picked_up.birch_stairs: #4, 39(5%)
minecraft.mined.honey_block: #5, 137(8%)
minecraft.crafted.cobbled_deepslate_stairs: #4, 124(6%)
minecraft.killed.donkey: #4, 1(25%)
minecraft.mined.purple_wall_banner: #4, 1(25%)
minecraft.used.sculk: #5, 2986(10%)
minecraft.mined.blackstone_stairs: #4, 23(11%)
minecraft.crafted.barrel: #5, 532(7%)
minecraft.used.mangrove_roots: #4, 372(5%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #4, 30(10%)
minecraft.dropped.cake: #4, 7(11%)
minecraft.mined.horn_coral_fan: #4, 23(6%)
minecraft.used.blackstone_stairs: #4, 182(8%)
minecraft.used.golden_pickaxe: #4, 53(7%)
minecraft.used.yellow_stained_glass: #4, 652(5%)
minecraft.dropped.redstone_torch: #4, 57(4%)
minecraft.crafted.cooked_chicken: #4, 135(6%)
minecraft.crafted.oak_planks: #5, 14116(5%)
minecraft.used.warped_nylium: #4, 162(4%)
minecraft.used.seagrass: #4, 41(8%)
minecraft.crafted.yellow_wool: #4, 161(6%)
minecraft.used.acacia_door: #4, 6(11%)
minecraft.used.barrel: #5, 539(6%)
minecraft.used.warped_sign: #5, 145(9%)
minecraft.mined.bell: #4, 15(5%)
minecraft.used.nether_brick_stairs: #4, 60(8%)
minecraft.picked_up.purpur_stairs: #4, 60(4%)
minecraft.used.snow_block: #5, 10518(6%)
minecraft.picked_up.red_sandstone_slab: #4, 2(20%)
minecraft.mined.cyan_wall_banner: #4, 4(11%)
minecraft.dropped.lapis_ore: #4, 11(6%)
minecraft.picked_up.spruce_hanging_sign: #4, 4(10%)
minecraft.mined.birch_wood: #4, 9(7%)
minecraft.picked_up.tube_coral_block: #4, 131(5%)
minecraft.dropped.brick_stairs: #4, 21(13%)
minecraft.dropped.clay: #4, 396(4%)
minecraft.picked_up.moss_carpet: #6, 3949(8%)
minecraft.picked_up.conduit: #4, 3(8%)
minecraft.dropped.netherite_boots: #5, 6(8%)
minecraft.picked_up.brick_slab: #4, 82(4%)
minecraft.used.black_banner: #4, 31(7%)
minecraft.crafted.tnt_minecart: #4, 4(9%)
minecraft.picked_up.dead_horn_coral_fan: #4, 2(12%)
minecraft.mined.waxed_oxidized_cut_copper: #4, 11(12%)
minecraft.used.fishing_rod: #5, 266(8%)
minecraft.used.grass: #5, 807(9%)
minecraft.used.golden_apple: #4, 9(3%)
minecraft.dropped.cherry_leaves: #4, 16(11%)
minecraft.dropped.ladder: #5, 109(9%)
minecraft.crafted.redstone_block: #6, 4693(9%)
minecraft.mined.andesite_slab: #5, 48(9%)
minecraft.used.smooth_sandstone: #4, 2811(4%)
minecraft.picked_up.waxed_oxidized_cut_copper: #4, 12(11%)
minecraft.picked_up.jungle_button: #4, 4(11%)
minecraft.killed.silverfish: #5, 25(7%)
minecraft.picked_up.oak_door: #5, 12(8%)
minecraft.mined.nether_brick_stairs: #4, 9(6%)
minecraft.mined.bamboo_block: #4, 24(6%)
minecraft.crafted.polished_deepslate_wall: #4, 82(3%)
minecraft.crafted.yellow_banner: #4, 27(6%)
minecraft.picked_up.spruce_door: #5, 26(6%)
minecraft.mined.end_stone_brick_stairs: #4, 5(10%)
minecraft.crafted.lime_concrete: #4, 88(12%)
minecraft.used.crossbow: #5, 69(6%)
minecraft.mined.oak_wall_sign: #5, 55(6%)
minecraft.dropped.stripped_spruce_wood: #4, 6(7%)
minecraft.crafted.black_banner: #4, 65(4%)
minecraft.picked_up.packed_mud: #5, 153(7%)
minecraft.mined.mangrove_fence_gate: #4, 2(14%)
minecraft.mined.yellow_stained_glass: #4, 56(4%)
minecraft.dropped.lime_stained_glass: #4, 13(7%)
minecraft.picked_up.nether_brick_stairs: #4, 7(5%)
minecraft.dropped.warped_fungus_on_a_stick: #4, 1(11%)
minecraft.picked_up.string: #6, 7856(7%)
minecraft.dropped.oak_stairs: #4, 24(6%)
minecraft.mined.budding_amethyst: #5, 27(7%)
minecraft.dropped.dropper: #4, 14(4%)
minecraft.crafted.end_stone_brick_stairs: #4, 32(6%)
minecraft.mined.redstone_wall_torch: #5, 96(6%)
minecraft.used.bamboo_stairs: #4, 3(13%)
minecraft.mined.spruce_door: #5, 17(7%)
minecraft.used.acacia_button: #5, 18(8%)
minecraft.mined.infested_stone_bricks: #4, 12(6%)
minecraft.crafted.waxed_oxidized_cut_copper: #4, 56(10%)
minecraft.picked_up.dead_bubble_coral_fan: #4, 1(10%)
minecraft.dropped.netherite_scrap: #4, 2(12%)
minecraft.used.granite_wall: #4, 100(5%)
minecraft.picked_up.oak_pressure_plate: #5, 5(9%)
minecraft.used.tube_coral_block: #4, 55(3%)
minecraft.mined.gray_concrete: #6, 4002(10%)
minecraft.used.brain_coral_block: #4, 66(4%)
minecraft.mined.crimson_nylium: #4, 447(2%)
minecraft.used.spruce_fence: #5, 1070(5%)
minecraft.used.brewing_stand: #5, 29(6%)
minecraft.used.cobblestone_wall: #5, 493(6%)
minecraft.crafted.gray_wool: #5, 529(10%)
minecraft.dropped.fire_coral: #4, 1(9%)
minecraft.mined.dragon_wall_head: #5, 8(8%)
minecraft.crafted.anvil: #5, 227(5%)
minecraft.dropped.smooth_sandstone: #4, 49(4%)
minecraft.used.brain_coral: #4, 7(3%)
minecraft.dropped.mutton: #5, 37(9%)
minecraft.used.birch_planks: #4, 2323(1%)
minecraft.picked_up.end_stone_brick_stairs: #4, 3(7%)
minecraft.picked_up.golden_axe: #4, 2(4%)
minecraft.dropped.orange_concrete: #4, 13(4%)
minecraft.crafted.orange_banner: #4, 4(6%)
minecraft.mined.end_stone_brick_slab: #4, 2(10%)
minecraft.used.end_stone_brick_stairs: #4, 31(5%)
minecraft.dropped.magenta_stained_glass: #4, 12(3%)
minecraft.mined.mud_brick_wall: #5, 14(11%)
minecraft.dropped.beehive: #4, 1(9%)
minecraft.picked_up.purpur_slab: #5, 28(8%)
minecraft.dropped.spruce_slab: #5, 145(6%)
minecraft.used.jungle_trapdoor: #4, 273(3%)
minecraft.dropped.jungle_planks: #5, 64(8%)
minecraft.crafted.silence_armor_trim_smithing_template: #4, 12(4%)
minecraft.mined.dead_brain_coral_block: #4, 55(4%)
minecraft.dropped.cobblestone_slab: #5, 157(7%)
minecraft.dropped.dark_oak_boat: #5, 7(9%)
minecraft.dropped.honey_bottle: #4, 11(4%)
minecraft.crafted.mangrove_sign: #5, 45(9%)
minecraft.mined.jungle_wall_sign: #4, 5(3%)
minecraft.crafted.red_concrete: #4, 64(4%)
minecraft.dropped.mossy_stone_bricks: #4, 21(2%)
minecraft.crafted.cyan_glazed_terracotta: #4, 32(3%)
minecraft.dropped.emerald: #4, 1419(1%)
minecraft.used.andesite_stairs: #5, 206(7%)
minecraft.killed.piglin_brute: #4, 18(4%)
minecraft.mined.white_banner: #4, 3(3%)
minecraft.dropped.spruce_door: #5, 11(8%)
minecraft.picked_up.warped_hyphae: #4, 66(2%)
minecraft.used.experience_bottle: #5, 2002(5%)
minecraft.used.red_terracotta: #5, 2723(5%)
minecraft.crafted.weathered_cut_copper_stairs: #4, 8(4%)
minecraft.dropped.salmon: #4, 26(2%)
minecraft.used.waxed_weathered_cut_copper_stairs: #4, 47(2%)
minecraft.dropped.granite: #5, 1217(5%)
minecraft.dropped.bamboo_mosaic: #4, 1(6%)
minecraft.used.birch_trapdoor: #5, 120(6%)
minecraft.picked_up.jungle_trapdoor: #4, 136(2%)
minecraft.dropped.birch_sign: #5, 40(5%)
minecraft.mined.green_wall_banner: #4, 2(4%)
minecraft.used.golden_hoe: #4, 18(3%)
minecraft.crafted.gray_stained_glass_pane: #5, 248(7%)
minecraft.crafted.dark_oak_trapdoor: #5, 828(4%)
minecraft.crafted.nether_brick_fence: #4, 72(2%)
minecraft.dropped.water_bucket: #5, 19(4%)
minecraft.picked_up.cooked_rabbit: #4, 5(4%)
minecraft.crafted.wheat: #5, 5290(6%)
minecraft.used.mangrove_door: #5, 11(9%)
minecraft.used.dead_brain_coral_block: #4, 38(3%)
minecraft.dropped.bamboo_slab: #4, 1(4%)
minecraft.mined.jungle_planks: #4, 81(1%)
minecraft.crafted.crimson_door: #5, 9(8%)
minecraft.picked_up.purple_stained_glass_pane: #5, 38(9%)
minecraft.crafted.diamond_shovel: #5, 12(4%)
minecraft.mined.dead_horn_coral_block: #4, 33(2%)
minecraft.mined.blue_orchid: #5, 66(9%)
minecraft.mined.candle: #5, 7(6%)
minecraft.used.dripstone_block: #5, 307(5%)
minecraft.crafted.stripped_warped_hyphae: #5, 48(16%)
minecraft.used.dead_horn_coral_block: #4, 31(2%)
minecraft.crafted.cherry_button: #4, 1(3%)
minecraft.mined.warped_nylium: #5, 311(5%)
minecraft.used.horn_coral_block: #4, 35(1%)
minecraft.mined.waxed_oxidized_copper: #4, 12(1%)
minecraft.crafted.cyan_stained_glass: #5, 1237(7%)
minecraft.mined.oak_slab: #6, 146(8%)
minecraft.killed.turtle: #4, 17(2%)
minecraft.dropped.gray_stained_glass_pane: #4, 3(2%)
minecraft.dropped.diamond_hoe: #5, 4(7%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #4, 33(1%)
minecraft.crafted.stone_brick_slab: #5, 1302(5%)
minecraft.dropped.ender_eye: #4, 1(2%)
minecraft.crafted.lime_carpet: #4, 135(1%)
minecraft.dropped.barrel: #5, 14(5%)
minecraft.dropped.dark_prismarine_slab: #4, 1(2%)
minecraft.picked_up.dead_horn_coral_block: #4, 33(1%)
minecraft.used.waxed_oxidized_cut_copper_slab: #4, 85(1%)
minecraft.crafted.suspicious_stew: #5, 43(11%)
minecraft.used.chiseled_quartz_block: #5, 93(8%)
minecraft.custom.inspect_hopper: #6, 3076(6%)
minecraft.used.smooth_red_sandstone: #4, 40(1%)
minecraft.dropped.decorated_pot: #4, 1(2%)
minecraft.mined.waxed_weathered_cut_copper_slab: #4, 11(1%)
minecraft.picked_up.dead_bubble_coral_block: #4, 17(1%)
minecraft.dropped.mossy_stone_brick_stairs: #4, 1(1%)
minecraft.dropped.blaze_powder: #4, 10(1%)
minecraft.picked_up.sculk_catalyst: #5, 65(7%)
minecraft.crafted.firework_rocket: #5, 48121(4%)
minecraft.dropped.nether_brick_fence: #4, 6(1%)
minecraft.crafted.light_gray_glazed_terracotta: #4, 19(1%)
minecraft.mined.yellow_bed: #5, 41(5%)
minecraft.picked_up.warped_nylium: #5, 318(4%)
minecraft.used.spyglass: #5, 282(4%)
minecraft.mined.bamboo_mosaic: #4, 1(1%)
minecraft.dropped.jack_o_lantern: #4, 1(0%)
minecraft.used.crimson_door: #5, 8(9%)
minecraft.dropped.torch: #6, 749(6%)
minecraft.dropped.cyan_terracotta: #5, 123(6%)
