stat, rank, value, (percentage) 
minecraft.picked_up.pointed_dripstone: #3, 1938(10%)
minecraft.used.gravel: #3, 3327(10%)
minecraft.picked_up.green_concrete_powder: #2, 1933(10%)
minecraft.mined.terracotta: #3, 23188(10%)
minecraft.broken.netherite_boots: #1, 1(100%)
minecraft.broken.diamond_boots: #1, 1(20%)
minecraft.broken.netherite_helmet: #1, 1(100%)
minecraft.broken.netherite_chestplate: #1, 1(100%)
minecraft.broken.netherite_leggings: #1, 1(100%)
minecraft.used.llama_spawn_egg: #1, 1(100%)
minecraft.used.shulker_spawn_egg: #1, 1(100%)
minecraft.used.enderman_spawn_egg: #1, 3(100%)
minecraft.used.zombified_piglin_spawn_egg: #1, 10(100%)
minecraft.dropped.pitcher_plant: #1, 1(50%)
minecraft.dropped.dead_fire_coral_fan: #1, 1(100%)
minecraft.broken.golden_chestplate: #1, 1(33%)
minecraft.dropped.trapped_chest: #1, 1(33%)
minecraft.crafted.pink_concrete: #1, 8(33%)
minecraft.crafted.muddy_mangrove_roots: #2, 194(20%)
minecraft.mined.end_stone_brick_wall: #2, 27(28%)
minecraft.mined.cut_sandstone_slab: #2, 205(33%)
minecraft.picked_up.quartz_slab: #3, 482(14%)
minecraft.used.exposed_cut_copper_slab: #2, 48(25%)
minecraft.picked_up.end_stone_brick_wall: #2, 21(25%)
minecraft.mined.white_glazed_terracotta: #2, 316(33%)
minecraft.picked_up.green_bed: #3, 159(14%)
minecraft.used.lever: #3, 647(10%)
minecraft.dropped.light_gray_terracotta: #2, 180(12%)
minecraft.picked_up.raw_gold: #3, 3582(10%)
minecraft.used.white_bed: #3, 312(10%)
minecraft.used.black_concrete: #3, 13544(12%)
minecraft.dropped.stripped_birch_log: #2, 22(17%)
minecraft.used.lily_of_the_valley: #2, 21(15%)
minecraft.crafted.end_crystal: #2, 18(17%)
minecraft.used.end_stone_brick_wall: #2, 49(23%)
minecraft.dropped.trident: #2, 5(14%)
minecraft.picked_up.terracotta: #3, 22376(9%)
minecraft.used.birch_fence_gate: #3, 203(19%)
minecraft.dropped.redstone_lamp: #2, 31(18%)
minecraft.used.golden_sword: #2, 15(22%)
minecraft.mined.mossy_stone_brick_stairs: #2, 15(14%)
minecraft.crafted.netherite_pickaxe: #2, 5(12%)
minecraft.mined.copper_ore: #3, 5956(9%)
minecraft.used.waxed_oxidized_cut_copper: #2, 251(35%)
minecraft.picked_up.stone_button: #3, 531(10%)
minecraft.crafted.diamond_hoe: #2, 8(8%)
minecraft.mined.mossy_cobblestone_slab: #2, 23(9%)
minecraft.used.netherite_boots: #3, 61(15%)
minecraft.picked_up.ghast_tear: #3, 65(11%)
minecraft.used.copper_ore: #3, 1951(11%)
minecraft.mined.diorite: #3, 21639(8%)
minecraft.dropped.andesite_slab: #2, 28(19%)
minecraft.crafted.activator_rail: #2, 390(19%)
minecraft.used.redstone: #3, 8114(9%)
minecraft.picked_up.diamond_pickaxe: #3, 122(7%)
minecraft.mined.tall_grass: #3, 1420(8%)
minecraft.killed.evoker: #2, 68642(13%)
minecraft.used.white_concrete: #4, 9449(13%)
minecraft.dropped.stripped_acacia_log: #2, 24(21%)
minecraft.dropped.stripped_mangrove_log: #2, 23(19%)
minecraft.used.deepslate_redstone_ore: #3, 880(11%)
minecraft.picked_up.azalea_leaves: #3, 7855(10%)
minecraft.mined.infested_stone_bricks: #2, 39(18%)
minecraft.picked_up.phantom_membrane: #3, 122(10%)
minecraft.used.white_glazed_terracotta: #2, 585(27%)
minecraft.used.sand: #3, 35415(10%)
minecraft.picked_up.iron_trapdoor: #3, 206(13%)
minecraft.picked_up.netherite_leggings: #3, 48(12%)
minecraft.mined.magenta_concrete: #3, 230(19%)
minecraft.crafted.chainmail_boots: #2, 8(20%)
minecraft.picked_up.mangrove_stairs: #2, 28(11%)
minecraft.crafted.terracotta: #2, 516(26%)
minecraft.used.dragon_head: #2, 7(14%)
minecraft.crafted.ladder: #3, 987(9%)
minecraft.mined.target: #3, 70(14%)
minecraft.mined.red_bed: #3, 172(11%)
minecraft.dropped.stripped_acacia_wood: #2, 7(39%)
minecraft.crafted.slime_block: #2, 4805(9%)
minecraft.used.waxed_weathered_cut_copper: #2, 123(17%)
minecraft.picked_up.scaffolding: #3, 22225(10%)
minecraft.used.gray_concrete: #3, 4724(13%)
minecraft.used.netherite_shovel: #2, 235330(17%)
minecraft.used.stone_button: #2, 1009(5%)
minecraft.picked_up.oak_log: #3, 10988(7%)
minecraft.picked_up.red_bed: #3, 177(11%)
minecraft.used.spruce_fence_gate: #3, 308(11%)
minecraft.used.diamond_hoe: #3, 46322(10%)
minecraft.mined.dragon_head: #2, 4(25%)
minecraft.dropped.red_shulker_box: #3, 14(14%)
minecraft.crafted.raw_gold_block: #3, 351(12%)
minecraft.dropped.light_gray_stained_glass: #2, 69(15%)
minecraft.picked_up.warped_trapdoor: #3, 157(12%)
minecraft.picked_up.clay: #3, 5320(10%)
minecraft.used.diamond_boots: #3, 20(11%)
minecraft.used.oak_stairs: #3, 302(9%)
minecraft.custom.interact_with_stonecutter: #3, 897(8%)
minecraft.crafted.netherite_sword: #2, 2(14%)
minecraft.picked_up.blue_bed: #3, 61(12%)
minecraft.mined.blue_bed: #3, 60(12%)
minecraft.used.stripped_dark_oak_log: #3, 559(11%)
minecraft.crafted.trapped_chest: #2, 4(15%)
minecraft.custom.fly_one_cm: #4, 138514167(5%)
minecraft.crafted.bamboo_mosaic: #2, 76(23%)
minecraft.mined.cut_copper_stairs: #3, 71(13%)
minecraft.used.oak_slab: #3, 827(8%)
minecraft.used.iron_chestplate: #3, 8(11%)
minecraft.crafted.chainmail_leggings: #2, 7(27%)
minecraft.dropped.bundle: #3, 62(10%)
minecraft.used.black_wool: #4, 1600(15%)
minecraft.mined.oak_log: #3, 7414(7%)
minecraft.dropped.terracotta: #3, 287(11%)
minecraft.crafted.stripped_jungle_wood: #2, 174(26%)
minecraft.dropped.chorus_fruit: #3, 320(11%)
minecraft.used.polished_granite: #3, 1527(13%)
minecraft.dropped.dead_bush: #2, 19(19%)
minecraft.picked_up.netherite_boots: #3, 45(10%)
minecraft.used.magenta_concrete_powder: #3, 180(16%)
minecraft.dropped.glass_bottle: #4, 904(10%)
minecraft.picked_up.diamond_axe: #3, 66(7%)
minecraft.crafted.cut_sandstone_slab: #2, 376(16%)
minecraft.crafted.redstone: #4, 42248(11%)
minecraft.picked_up.scute: #2, 123(41%)
minecraft.used.red_bed: #3, 172(10%)
minecraft.picked_up.stripped_dark_oak_log: #3, 647(8%)
minecraft.crafted.lever: #3, 435(8%)
minecraft.crafted.pink_concrete_powder: #3, 2240(17%)
minecraft.mined.ochre_froglight: #3, 186(13%)
minecraft.mined.granite: #3, 19065(7%)
minecraft.crafted.exposed_cut_copper: #2, 48(23%)
minecraft.mined.sandstone_wall: #3, 117(14%)
minecraft.used.blue_bed: #3, 59(12%)
minecraft.mined.budding_amethyst: #3, 37(9%)
minecraft.crafted.birch_door: #2, 12(7%)
minecraft.used.iron_boots: #3, 8(11%)
minecraft.used.yellow_terracotta: #3, 1546(10%)
minecraft.mined.fire: #4, 2081(9%)
minecraft.mined.white_concrete: #4, 9561(12%)
minecraft.crafted.birch_wood: #4, 714(16%)
minecraft.used.birch_stairs: #3, 234(11%)
minecraft.dropped.poppy: #4, 10966(11%)
minecraft.used.stripped_jungle_log: #3, 491(18%)
minecraft.mined.mangrove_wood: #3, 62(18%)
minecraft.dropped.fishing_rod: #3, 11(13%)
minecraft.picked_up.moss_carpet: #4, 4311(9%)
minecraft.picked_up.redstone_ore: #3, 63(9%)
minecraft.crafted.air: #1, 0(0%)
minecraft.mined.tnt: #3, 262(9%)
minecraft.mined.stripped_dark_oak_log: #3, 581(8%)
minecraft.mined.stone_button: #4, 97(12%)
minecraft.dropped.bow: #3, 251(6%)
minecraft.used.azalea_leaves: #3, 3010(7%)
minecraft.used.fire_coral: #3, 28(18%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #2, 93(19%)
minecraft.used.iron_helmet: #3, 8(9%)
minecraft.crafted.green_terracotta: #3, 4720(9%)
minecraft.used.comparator: #4, 1302(11%)
minecraft.used.oxidized_copper: #3, 1630(9%)
minecraft.crafted.redstone_torch: #4, 8427(10%)
minecraft.crafted.birch_planks: #3, 17805(6%)
minecraft.killed.goat: #2, 4(15%)
minecraft.used.waxed_exposed_copper: #3, 132(16%)
minecraft.broken.diamond_helmet: #2, 1(12%)
minecraft.killed_by.pillager: #2, 1(14%)
minecraft.mined.lava_cauldron: #2, 4(10%)
minecraft.custom.damage_taken: #5, 1009669(7%)
minecraft.used.muddy_mangrove_roots: #3, 210(14%)
minecraft.crafted.tripwire_hook: #3, 180(9%)
minecraft.used.red_nether_bricks: #2, 112(12%)
minecraft.dropped.flowering_azalea_leaves: #3, 175(14%)
minecraft.dropped.light_gray_stained_glass_pane: #3, 37(12%)
minecraft.broken.bow: #2, 1(20%)
minecraft.mined.dead_brain_coral_fan: #2, 2(13%)
minecraft.picked_up.dead_brain_coral_fan: #2, 2(13%)
minecraft.picked_up.rail: #4, 5342(10%)
minecraft.used.sea_lantern: #3, 688(7%)
minecraft.used.andesite: #4, 6641(9%)
minecraft.picked_up.shears: #4, 107(10%)
minecraft.picked_up.cobblestone_stairs: #4, 244(12%)
minecraft.crafted.bamboo_slab: #3, 276(18%)
minecraft.mined.lily_pad: #3, 39(12%)
minecraft.crafted.mossy_cobblestone_slab: #3, 180(9%)
minecraft.crafted.glass_bottle: #4, 10920(13%)
minecraft.mined.frosted_ice: #2, 8(9%)
minecraft.custom.mob_kills: #4, 989168(7%)
minecraft.dropped.stripped_bamboo_block: #2, 1(25%)
minecraft.mined.potted_crimson_fungus: #2, 1(25%)
minecraft.picked_up.redstone_torch: #3, 530(6%)
minecraft.picked_up.lead: #4, 331(8%)
minecraft.used.magenta_concrete: #3, 209(19%)
minecraft.crafted.end_stone_brick_slab: #2, 38(8%)
minecraft.used.stripped_mangrove_wood: #3, 249(19%)
minecraft.picked_up.bee_nest: #3, 53(8%)
minecraft.used.black_glazed_terracotta: #2, 202(10%)
minecraft.dropped.purple_concrete: #2, 95(24%)
minecraft.picked_up.daylight_detector: #3, 44(16%)
minecraft.crafted.white_terracotta: #4, 1736(14%)
minecraft.crafted.redstone_block: #4, 4830(10%)
minecraft.mined.brown_terracotta: #4, 12076(12%)
minecraft.killed.iron_golem: #3, 33(13%)
minecraft.used.mossy_stone_brick_wall: #3, 89(15%)
minecraft.crafted.spruce_fence_gate: #4, 327(11%)
minecraft.dropped.mutton: #3, 44(11%)
minecraft.used.dragon_egg: #2, 1766(7%)
minecraft.used.dead_brain_coral_fan: #2, 2(22%)
minecraft.used.cracked_nether_bricks: #2, 32(11%)
minecraft.dropped.horn_coral: #2, 1(17%)
minecraft.dropped.warped_fence_gate: #2, 1(33%)
minecraft.mined.warped_button: #3, 10(12%)
minecraft.used.bee_nest: #3, 54(9%)
minecraft.crafted.light_blue_terracotta: #3, 1800(9%)
minecraft.crafted.composter: #4, 538(10%)
minecraft.dropped.birch_slab: #2, 42(6%)
minecraft.dropped.acacia_wood: #3, 33(20%)
minecraft.dropped.magenta_shulker_box: #2, 1(12%)
minecraft.used.scaffolding: #4, 25532(10%)
minecraft.used.light_blue_terracotta: #3, 1727(11%)
minecraft.used.lead: #3, 6(8%)
minecraft.picked_up.diamond: #4, 2859(7%)
minecraft.mined.muddy_mangrove_roots: #3, 666(9%)
minecraft.used.coal_ore: #4, 2348(9%)
minecraft.used.stripped_jungle_wood: #3, 129(15%)
minecraft.mined.grass_block: #4, 68359(7%)
minecraft.mined.bee_nest: #3, 54(7%)
minecraft.mined.potted_fern: #2, 1(20%)
minecraft.crafted.waxed_exposed_copper: #2, 118(29%)
minecraft.picked_up.anvil: #4, 211(10%)
minecraft.picked_up.cracked_nether_bricks: #2, 5(10%)
minecraft.picked_up.mossy_cobblestone_stairs: #3, 26(12%)
minecraft.killed_by.zombie_villager: #2, 1(14%)
minecraft.dropped.smooth_sandstone_stairs: #2, 2(29%)
minecraft.picked_up.diamond_boots: #4, 68(7%)
minecraft.mined.fire_coral_wall_fan: #3, 184(9%)
minecraft.used.netherite_helmet: #3, 45(14%)
minecraft.picked_up.fire_coral_fan: #3, 202(9%)
minecraft.picked_up.birch_slab: #3, 175(7%)
minecraft.used.shroomlight: #4, 356(10%)
minecraft.used.waxed_copper_block: #4, 433(16%)
minecraft.mined.spawner: #3, 21(14%)
minecraft.crafted.rail: #4, 3664(9%)
minecraft.used.fletching_table: #3, 35(15%)
minecraft.mined.black_stained_glass_pane: #3, 52(11%)
minecraft.crafted.black_wool: #3, 1491(9%)
minecraft.dropped.white_stained_glass: #3, 198(12%)
minecraft.crafted.turtle_helmet: #2, 43(17%)
minecraft.dropped.bubble_coral: #2, 2(17%)
minecraft.used.dark_oak_leaves: #3, 557(10%)
minecraft.crafted.birch_sign: #4, 343(8%)
minecraft.crafted.red_sandstone_wall: #3, 48(21%)
minecraft.mined.smooth_sandstone_slab: #3, 97(13%)
minecraft.picked_up.diorite: #4, 15375(7%)
minecraft.dropped.acacia_button: #3, 5(21%)
minecraft.dropped.fire_coral: #2, 1(9%)
minecraft.killed.husk: #3, 17(9%)
minecraft.dropped.tube_coral: #2, 1(14%)
minecraft.crafted.ender_eye: #4, 136(9%)
minecraft.crafted.waxed_weathered_cut_copper: #3, 126(24%)
minecraft.used.copper_block: #4, 4041(9%)
minecraft.dropped.crafting_table: #4, 75(9%)
minecraft.mined.oak_button: #3, 11(12%)
minecraft.custom.raid_trigger: #3, 14608(11%)
minecraft.picked_up.compass: #4, 277(7%)
minecraft.picked_up.jungle_wood: #3, 39(15%)
minecraft.mined.fire_coral_fan: #3, 36(9%)
minecraft.crafted.green_stained_glass_pane: #3, 208(10%)
minecraft.dropped.sand: #4, 2929(9%)
minecraft.crafted.crimson_fence_gate: #3, 164(12%)
minecraft.used.stripped_warped_stem: #3, 972(8%)
minecraft.dropped.daylight_detector: #2, 1(10%)
minecraft.mined.oak_trapdoor: #4, 101(8%)
minecraft.used.white_wool: #4, 2707(8%)
minecraft.picked_up.comparator: #4, 427(9%)
minecraft.used.salmon: #3, 5(12%)
minecraft.dropped.black_terracotta: #3, 192(14%)
minecraft.custom.sprint_one_cm: #5, 174163285(6%)
minecraft.used.brown_wool: #3, 516(9%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #3, 19(12%)
minecraft.used.ender_eye: #3, 22(15%)
minecraft.dropped.player_head: #5, 1193(9%)
minecraft.crafted.stone_hoe: #4, 11(11%)
minecraft.picked_up.black_terracotta: #3, 792(7%)
minecraft.picked_up.gunpowder: #4, 8119(6%)
minecraft.dropped.weeping_vines: #3, 53(6%)
minecraft.crafted.orange_glazed_terracotta: #2, 22(3%)
minecraft.crafted.orange_terracotta: #3, 512(9%)
minecraft.picked_up.mud: #4, 7799(8%)
minecraft.used.gray_concrete_powder: #4, 5235(10%)
minecraft.picked_up.golden_carrot: #5, 2880(7%)
minecraft.crafted.lime_terracotta: #3, 3104(5%)
minecraft.used.end_crystal: #3, 9(10%)
minecraft.picked_up.mossy_stone_brick_slab: #3, 17(8%)
minecraft.crafted.stripped_warped_hyphae: #3, 48(16%)
minecraft.picked_up.brown_concrete_powder: #4, 128(11%)
minecraft.crafted.hopper: #4, 2657(8%)
minecraft.used.terracotta: #3, 1577(4%)
minecraft.mined.coal_block: #4, 65(12%)
minecraft.picked_up.blue_glazed_terracotta: #2, 4(3%)
minecraft.used.stripped_acacia_wood: #3, 37(12%)
minecraft.mined.blue_glazed_terracotta: #2, 4(3%)
minecraft.used.smooth_sandstone_slab: #3, 676(10%)
minecraft.used.experience_bottle: #4, 3276(8%)
minecraft.used.cyan_glazed_terracotta: #2, 1(1%)
minecraft.mined.heavy_weighted_pressure_plate: #2, 24(0%)
minecraft.killed.ravager: #3, 8(10%)
minecraft.picked_up.pumpkin_pie: #5, 1451(9%)
minecraft.crafted.warped_fence: #4, 246(12%)
minecraft.picked_up.repeater: #4, 626(7%)
minecraft.used.blue_glazed_terracotta: #2, 5(1%)
minecraft.crafted.daylight_detector: #4, 176(14%)
minecraft.used.sweet_berries: #5, 1913(9%)
minecraft.mined.waxed_oxidized_cut_copper: #3, 16(17%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #3, 19(8%)
minecraft.crafted.netherite_upgrade_smithing_template: #3, 18(17%)
minecraft.picked_up.waxed_oxidized_cut_copper: #3, 19(17%)
minecraft.crafted.acacia_button: #4, 40(11%)
minecraft.picked_up.turtle_egg: #3, 88(8%)
minecraft.used.acacia_log: #4, 1044(9%)
minecraft.custom.bell_ring: #4, 212(8%)
minecraft.used.red_wool: #4, 892(9%)
minecraft.crafted.moss_carpet: #4, 811(8%)
minecraft.picked_up.lime_glazed_terracotta: #3, 38(12%)
minecraft.dropped.spruce_fence: #4, 64(10%)
minecraft.used.oak_trapdoor: #4, 594(7%)
minecraft.mined.turtle_egg: #3, 96(8%)
minecraft.mined.andesite: #4, 19435(6%)
minecraft.picked_up.yellow_bed: #4, 77(9%)
minecraft.picked_up.oak_trapdoor: #4, 114(6%)
minecraft.crafted.scaffolding: #4, 7517(9%)
minecraft.picked_up.pink_concrete_powder: #3, 428(8%)
minecraft.killed.fox: #3, 2(18%)
minecraft.custom.damage_resisted: #4, 10430(5%)
minecraft.used.green_concrete_powder: #3, 1868(4%)
minecraft.dropped.egg: #4, 926(7%)
minecraft.picked_up.brown_mushroom_block: #4, 4073(9%)
minecraft.picked_up.shulker_shell: #4, 1608(8%)
minecraft.used.white_terracotta: #4, 1775(8%)
minecraft.killed.ender_dragon: #3, 2(10%)
minecraft.used.dark_prismarine: #4, 1190(10%)
minecraft.picked_up.music_disc_5: #3, 4(9%)
minecraft.picked_up.lava_bucket: #3, 45(5%)
minecraft.used.brown_mushroom_block: #4, 514(9%)
minecraft.crafted.cobbled_deepslate_slab: #4, 866(8%)
minecraft.mined.yellow_bed: #4, 71(9%)
minecraft.mined.redstone_lamp: #4, 69(8%)
minecraft.mined.damaged_anvil: #4, 15(8%)
minecraft.used.music_disc_5: #3, 3(9%)
minecraft.used.waxed_exposed_cut_copper_slab: #3, 87(9%)
minecraft.mined.deepslate_copper_ore: #4, 219(7%)
minecraft.dropped.netherite_shovel: #3, 3(6%)
minecraft.mined.acacia_trapdoor: #4, 150(10%)
minecraft.picked_up.oxidized_cut_copper: #4, 57(10%)
minecraft.crafted.oxidized_cut_copper_stairs: #4, 115(11%)
minecraft.killed_by.phantom: #3, 1(8%)
minecraft.crafted.green_concrete_powder: #3, 1872(4%)
minecraft.used.diamond_helmet: #4, 12(10%)
minecraft.used.waxed_weathered_copper: #4, 226(13%)
minecraft.custom.sleep_in_bed: #5, 2428(6%)
minecraft.killed_by.endermite: #3, 1(7%)
minecraft.picked_up.beacon: #4, 49(7%)
minecraft.dropped.activator_rail: #3, 5(8%)
minecraft.used.polished_granite_stairs: #3, 96(10%)
minecraft.mined.weathered_cut_copper_stairs: #3, 3(10%)
minecraft.mined.white_terracotta: #4, 1716(6%)
minecraft.broken.iron_helmet: #3, 1(8%)
minecraft.picked_up.brown_terracotta: #5, 11591(11%)
minecraft.crafted.waxed_cut_copper: #3, 52(10%)
minecraft.mined.dark_oak_wall_sign: #4, 35(8%)
minecraft.picked_up.sweet_berries: #5, 2657(8%)
minecraft.used.andesite_stairs: #4, 263(9%)
minecraft.picked_up.stripped_warped_stem: #4, 1137(6%)
minecraft.picked_up.seagrass: #4, 313(8%)
minecraft.mined.gray_concrete: #5, 4257(10%)
minecraft.picked_up.sandstone_wall: #4, 120(11%)
minecraft.dropped.birch_leaves: #4, 253(9%)
minecraft.crafted.honey_block: #3, 1965(6%)
minecraft.used.netherite_hoe: #4, 30369(11%)
minecraft.mined.attached_pumpkin_stem: #3, 2(6%)
minecraft.picked_up.light_gray_glazed_terracotta: #3, 56(7%)
minecraft.used.lime_glazed_terracotta: #3, 32(7%)
minecraft.used.crimson_fence_gate: #3, 99(9%)
minecraft.crafted.weathered_cut_copper_stairs: #3, 20(10%)
minecraft.picked_up.andesite: #4, 14039(5%)
minecraft.custom.inspect_dispenser: #4, 1692(5%)
minecraft.dropped.raw_gold: #3, 36(4%)
minecraft.dropped.netherite_pickaxe: #4, 14(7%)
minecraft.used.turtle_egg: #3, 66(6%)
minecraft.used.bone_block: #4, 2975(6%)
minecraft.crafted.white_glazed_terracotta: #3, 144(7%)
minecraft.crafted.end_stone_brick_stairs: #3, 34(6%)
minecraft.picked_up.sculk_catalyst: #4, 96(10%)
minecraft.killed_by.witch: #3, 1(11%)
minecraft.crafted.coast_armor_trim_smithing_template: #3, 2(11%)
minecraft.crafted.gray_stained_glass_pane: #4, 320(9%)
minecraft.picked_up.emerald_block: #4, 2163(6%)
minecraft.mined.oak_planks: #4, 749(5%)
minecraft.mined.crimson_button: #3, 1(10%)
minecraft.crafted.weathered_cut_copper_slab: #3, 8(12%)
minecraft.used.cooked_chicken: #4, 172(7%)
minecraft.killed.vex: #4, 33(11%)
minecraft.custom.eat_cake_slice: #4, 16(7%)
minecraft.picked_up.quartz_stairs: #4, 62(8%)
minecraft.custom.raid_win: #3, 3528(7%)
minecraft.used.redstone_torch: #5, 1308(9%)
minecraft.crafted.exposed_cut_copper_stairs: #3, 4(9%)
minecraft.mined.stripped_warped_stem: #4, 1101(7%)
minecraft.dropped.waxed_oxidized_cut_copper: #3, 1(14%)
minecraft.picked_up.azalea: #5, 1233(8%)
minecraft.killed.drowned: #3, 53617(1%)
minecraft.crafted.music_disc_5: #3, 1(5%)
minecraft.used.honeycomb_block: #3, 93(3%)
minecraft.used.yellow_bed: #4, 71(7%)
minecraft.crafted.snout_armor_trim_smithing_template: #3, 2(8%)
minecraft.mined.stripped_cherry_wood: #3, 2(6%)
minecraft.dropped.oak_planks: #5, 271(8%)
minecraft.used.cobblestone_slab: #4, 900(5%)
minecraft.used.bamboo_mosaic: #3, 12(7%)
minecraft.dropped.smooth_basalt: #4, 143(6%)
minecraft.crafted.light_gray_wool: #4, 469(7%)
minecraft.picked_up.birch_fence_gate: #4, 40(9%)
minecraft.picked_up.bow: #5, 384(6%)
minecraft.dropped.heavy_weighted_pressure_plate: #3, 6(3%)
minecraft.used.iron_trapdoor: #5, 579(10%)
minecraft.picked_up.deepslate_redstone_ore: #5, 1309(9%)
minecraft.used.diamond_pickaxe: #5, 448399(6%)
minecraft.used.green_stained_glass_pane: #4, 190(12%)
minecraft.crafted.red_concrete_powder: #4, 2136(6%)
minecraft.picked_up.stripped_cherry_wood: #3, 2(5%)
minecraft.crafted.light_blue_concrete_powder: #4, 608(8%)
minecraft.crafted.honey_bottle: #3, 112(9%)
minecraft.mined.bamboo_planks: #4, 5(11%)
minecraft.picked_up.activator_rail: #4, 97(11%)
minecraft.picked_up.lily_of_the_valley: #3, 47(1%)
minecraft.picked_up.raw_copper: #5, 19607(7%)
minecraft.mined.cracked_nether_bricks: #3, 2(4%)
minecraft.picked_up.white_terracotta: #4, 1706(4%)
minecraft.used.hopper: #5, 2920(8%)
minecraft.killed.turtle: #3, 38(4%)
minecraft.crafted.netherite_boots: #4, 5(10%)
minecraft.crafted.heavy_weighted_pressure_plate: #4, 277(6%)
minecraft.mined.nether_wart_block: #5, 3375(9%)
minecraft.used.white_concrete_powder: #5, 9378(10%)
minecraft.mined.clay: #4, 5354(4%)
minecraft.crafted.cracked_nether_bricks: #3, 56(6%)
minecraft.mined.beehive: #4, 77(9%)
minecraft.dropped.brush: #3, 1(4%)
minecraft.crafted.furnace: #5, 263(6%)
minecraft.mined.waxed_oxidized_copper: #3, 23(3%)
minecraft.mined.dandelion: #5, 351(8%)
minecraft.used.end_stone: #3, 644(1%)
minecraft.picked_up.black_stained_glass_pane: #4, 77(8%)
minecraft.mined.brown_wool: #4, 57(9%)
minecraft.used.crimson_roots: #3, 18(2%)
minecraft.dropped.cut_copper_slab: #3, 1(4%)
minecraft.picked_up.trapped_chest: #3, 1(4%)
minecraft.dropped.minecart: #4, 34(6%)
minecraft.picked_up.black_bed: #4, 51(7%)
minecraft.mined.fire_coral: #4, 36(8%)
minecraft.mined.sea_lantern: #5, 184(10%)
minecraft.used.quartz_slab: #4, 749(6%)
minecraft.dropped.tube_coral_fan: #3, 3(4%)
minecraft.used.magenta_shulker_box: #4, 152(6%)
minecraft.crafted.white_concrete_powder: #5, 9616(11%)
minecraft.mined.grass: #5, 4773(6%)
minecraft.used.cobweb: #4, 118(7%)
minecraft.used.mushroom_stem: #4, 1593(6%)
minecraft.mined.small_dripleaf: #4, 22(5%)
minecraft.picked_up.purple_wool: #4, 275(8%)
minecraft.dropped.stripped_birch_wood: #3, 2(3%)
minecraft.custom.inspect_hopper: #5, 3147(6%)
minecraft.picked_up.glass: #5, 4862(8%)
minecraft.mined.black_bed: #4, 48(7%)
minecraft.picked_up.cooked_chicken: #4, 233(5%)
minecraft.picked_up.magenta_shulker_box: #4, 155(6%)
minecraft.mined.honeycomb_block: #3, 13(1%)
minecraft.dropped.glistering_melon_slice: #3, 1(3%)
minecraft.dropped.fire_charge: #3, 19(1%)
minecraft.picked_up.lever: #5, 330(7%)
minecraft.used.birch_log: #5, 1974(7%)
minecraft.picked_up.fire_coral: #4, 30(7%)
minecraft.dropped.diorite: #4, 962(4%)
minecraft.picked_up.ender_chest: #5, 1166(6%)
minecraft.dropped.mushroom_stem: #4, 26(10%)
minecraft.dropped.beetroot: #3, 3(2%)
minecraft.mined.mud: #5, 9099(8%)
minecraft.dropped.nether_brick_fence: #3, 9(1%)
minecraft.mined.soul_fire: #4, 52(6%)
minecraft.used.orange_glazed_terracotta: #3, 4(1%)
minecraft.dropped.horn_coral_block: #3, 1(1%)
minecraft.dropped.quartz_stairs: #3, 1(1%)
minecraft.crafted.red_nether_brick_slab: #3, 2(1%)
minecraft.dropped.lime_glazed_terracotta: #3, 1(2%)
minecraft.mined.magenta_shulker_box: #4, 154(6%)
minecraft.mined.lever: #5, 111(7%)
minecraft.crafted.yellow_terracotta: #5, 1424(11%)
minecraft.used.red_nether_brick_slab: #3, 1(0%)
minecraft.crafted.light_blue_glazed_terracotta: #3, 2(0%)
minecraft.crafted.nether_wart_block: #3, 1(0%)
minecraft.mined.oak_wood: #4, 51(8%)
minecraft.used.oak_planks: #5, 1516(7%)
minecraft.crafted.ender_pearl: #4, 64(14%)
minecraft.crafted.bucket: #5, 611(6%)
minecraft.dropped.chicken: #4, 1151(4%)
minecraft.picked_up.mossy_stone_brick_stairs: #4, 14(8%)
minecraft.used.small_dripleaf: #4, 9(9%)
minecraft.mined.shroomlight: #5, 381(7%)
minecraft.mined.sandstone_slab: #4, 95(9%)
minecraft.crafted.shulker_box: #5, 1020(7%)
minecraft.used.green_terracotta: #5, 4614(8%)
minecraft.picked_up.blue_wool: #4, 272(6%)
minecraft.picked_up.beehive: #4, 61(7%)
minecraft.picked_up.granite: #5, 14510(6%)
minecraft.crafted.netherite_shovel: #4, 2(12%)
minecraft.used.gold_block: #5, 616(8%)
minecraft.picked_up.tadpole_bucket: #4, 8(12%)
minecraft.used.granite: #5, 1590(6%)
minecraft.mined.lilac: #5, 42(8%)
minecraft.used.iron_leggings: #5, 7(7%)
minecraft.picked_up.purple_concrete: #4, 401(5%)
minecraft.crafted.ender_chest: #5, 75(7%)
minecraft.dropped.compass: #5, 201(6%)
minecraft.crafted.netherite_helmet: #4, 3(8%)
minecraft.dropped.nether_gold_ore: #4, 35(6%)
minecraft.picked_up.smooth_sandstone_slab: #4, 106(9%)
minecraft.killed.ghast: #5, 101(7%)
minecraft.dropped.stone_hoe: #5, 8(13%)
minecraft.dropped.lever: #5, 39(9%)
minecraft.used.netherite_pickaxe: #5, 435762(8%)
