stat, rank, value, (percentage) 
minecraft.used.iron_chestplate: #20, 1(1%)
minecraft.used.oak_boat: #20, 8(1%)
minecraft.killed.sheep: #20, 7(1%)
minecraft.picked_up.potato: #20, 173(1%)
minecraft.crafted.wooden_axe: #20, 1(1%)
minecraft.picked_up.mutton: #20, 11(1%)
minecraft.used.hopper_minecart: #20, 10(1%)
minecraft.killed.silverfish: #20, 2(1%)
minecraft.picked_up.poisonous_potato: #20, 1(1%)
minecraft.used.shield: #20, 21(0%)
minecraft.mined.blackstone: #20, 422(0%)
minecraft.mined.deepslate_coal_ore: #20, 1(0%)
minecraft.mined.deepslate_tile_stairs: #20, 5(0%)
minecraft.dropped.flowering_azalea: #20, 2(0%)
minecraft.picked_up.cobbled_deepslate_stairs: #20, 3(0%)
minecraft.picked_up.stone_brick_wall: #20, 2(0%)
minecraft.used.deepslate_tile_stairs: #20, 13(0%)
minecraft.mined.polished_blackstone: #20, 2(0%)
minecraft.crafted.stone_brick_wall: #20, 6(0%)
minecraft.picked_up.weathered_copper: #20, 2(0%)
minecraft.mined.weathered_copper: #20, 2(0%)
minecraft.used.rotten_flesh: #20, 1(0%)
minecraft.crafted.heavy_weighted_pressure_plate: #20, 1(0%)
minecraft.picked_up.shield: #21, 5(2%)
minecraft.crafted.diamond_pickaxe: #21, 5(1%)
minecraft.used.stone_pickaxe: #21, 189(1%)
minecraft.mined.powder_snow: #21, 21(1%)
minecraft.mined.emerald_ore: #21, 6(1%)
minecraft.picked_up.oak_boat: #21, 6(0%)
minecraft.used.oak_door: #21, 1(1%)
minecraft.used.potato: #21, 38(0%)
minecraft.picked_up.polished_deepslate: #21, 61(0%)
minecraft.crafted.redstone: #21, 1413(0%)
minecraft.crafted.coal_block: #21, 95(0%)
minecraft.mined.cobbled_deepslate_stairs: #21, 3(0%)
minecraft.used.carrot: #21, 75(0%)
minecraft.crafted.cooked_beef: #21, 15(0%)
minecraft.crafted.stone_sword: #21, 1(0%)
minecraft.dropped.oak_planks: #21, 6(0%)
minecraft.custom.damage_blocked_by_shield: #21, 490(0%)
minecraft.used.cooked_beef: #21, 17(0%)
minecraft.mined.copper_block: #21, 7(0%)
minecraft.picked_up.enchanted_book: #21, 2(0%)
minecraft.used.smooth_stone: #21, 21(0%)
minecraft.mined.exposed_copper: #21, 2(0%)
minecraft.picked_up.exposed_copper: #21, 2(0%)
minecraft.picked_up.deepslate_tile_stairs: #21, 2(0%)
minecraft.used.stone_shovel: #21, 9(0%)
minecraft.used.pointed_dripstone: #21, 2(0%)
minecraft.crafted.ladder: #22, 132(1%)
minecraft.picked_up.iron_pickaxe: #22, 2(1%)
minecraft.mined.deepslate_iron_ore: #22, 114(1%)
minecraft.used.iron_shovel: #22, 435(0%)
minecraft.dropped.cobblestone: #22, 301(0%)
minecraft.crafted.iron_door: #22, 3(0%)
minecraft.picked_up.carrot: #22, 237(0%)
minecraft.used.iron_door: #22, 2(0%)
minecraft.used.oak_stairs: #22, 9(0%)
minecraft.picked_up.blackstone: #22, 417(0%)
minecraft.crafted.deepslate_brick_stairs: #22, 4(0%)
minecraft.mined.oak_planks: #22, 22(0%)
minecraft.used.powered_rail: #22, 62(0%)
minecraft.used.polished_deepslate: #22, 96(0%)
minecraft.dropped.white_wool: #22, 4(0%)
minecraft.used.stone_brick_wall: #22, 6(0%)
minecraft.picked_up.polished_blackstone: #22, 2(0%)
minecraft.dropped.potato: #22, 1(0%)
minecraft.used.polished_basalt: #22, 2(0%)
minecraft.used.oxidized_copper: #22, 1(0%)
minecraft.used.iron_leggings: #23, 1(1%)
minecraft.killed.pig: #23, 4(1%)
minecraft.picked_up.birch_planks: #23, 75(0%)
minecraft.dropped.leather_helmet: #23, 1(0%)
minecraft.broken.iron_shovel: #23, 1(0%)
minecraft.crafted.coal: #23, 144(0%)
minecraft.used.glass: #23, 188(0%)
minecraft.used.oak_planks: #23, 36(0%)
minecraft.crafted.smooth_stone: #23, 25(0%)
minecraft.mined.iron_door: #23, 1(0%)
minecraft.dropped.dandelion: #23, 3(0%)
minecraft.picked_up.salmon: #23, 3(0%)
minecraft.picked_up.azure_bluet: #23, 7(0%)
minecraft.mined.deepslate_copper_ore: #23, 3(0%)
minecraft.picked_up.copper_block: #23, 7(0%)
minecraft.dropped.leather_boots: #23, 1(0%)
minecraft.mined.polished_basalt: #23, 2(0%)
minecraft.picked_up.polished_basalt: #23, 2(0%)
minecraft.crafted.wooden_pickaxe: #24, 1(2%)
minecraft.mined.deepslate_redstone_ore: #24, 337(1%)
minecraft.used.iron_axe: #24, 181(1%)
minecraft.mined.azalea: #24, 10(0%)
minecraft.dropped.tuff: #24, 46(0%)
minecraft.mined.birch_sapling: #24, 1(0%)
minecraft.crafted.birch_sign: #24, 6(0%)
minecraft.crafted.minecart: #24, 10(0%)
minecraft.crafted.oak_stairs: #24, 8(0%)
minecraft.crafted.copper_ingot: #24, 128(0%)
minecraft.picked_up.stone_sword: #24, 1(0%)
minecraft.crafted.stone_shovel: #24, 1(0%)
minecraft.dropped.gunpowder: #24, 6(0%)
minecraft.crafted.copper_block: #24, 8(0%)
minecraft.dropped.poppy: #24, 7(0%)
minecraft.picked_up.polished_blackstone_bricks: #24, 3(0%)
minecraft.mined.oxidized_copper: #24, 1(0%)
minecraft.mined.coal_ore: #25, 1389(1%)
minecraft.picked_up.coal: #25, 1536(1%)
minecraft.killed_by.creeper: #25, 1(1%)
minecraft.mined.furnace: #25, 13(0%)
