stat, rank, value, (percentage) 
minecraft.used.iron_sword: #1, 2279(17%)
minecraft.crafted.blue_shulker_box: #1, 23(26%)
minecraft.mined.soul_torch: #1, 154(71%)
minecraft.crafted.raw_copper_block: #1, 3429(23%)
minecraft.mined.soul_wall_torch: #1, 152(83%)
minecraft.crafted.wooden_pickaxe: #1, 12(19%)
minecraft.used.cooked_porkchop: #3, 7761(19%)
minecraft.picked_up.yellow_shulker_box: #1, 951(17%)
minecraft.mined.potatoes: #1, 1230(19%)
minecraft.mined.yellow_shulker_box: #1, 941(18%)
minecraft.crafted.dried_kelp: #1, 3768(37%)
minecraft.picked_up.blue_ice: #1, 2891(28%)
minecraft.used.diamond_pickaxe: #2, 1114067(14%)
minecraft.mined.kelp: #1, 1104(20%)
minecraft.used.stone_hoe: #1, 1404(23%)
minecraft.used.yellow_shulker_box: #1, 947(17%)
minecraft.picked_up.potato: #1, 4727(16%)
minecraft.mined.mossy_cobblestone_wall: #1, 48(47%)
minecraft.crafted.purple_shulker_box: #1, 30(26%)
minecraft.used.jungle_planks: #2, 5954(33%)
minecraft.custom.climb_one_cm: #2, 10257926(12%)
minecraft.used.tropical_fish_bucket: #1, 114(51%)
minecraft.used.dead_bush: #1, 288(35%)
minecraft.mined.polished_andesite_slab: #2, 996(24%)
minecraft.picked_up.golden_chestplate: #2, 84(21%)
minecraft.used.iron_ore: #1, 1916(17%)
minecraft.crafted.lime_shulker_box: #1, 39(23%)
minecraft.crafted.red_stained_glass_pane: #1, 992(30%)
minecraft.used.basalt: #1, 12812(16%)
minecraft.picked_up.diamond_sword: #2, 195(14%)
minecraft.used.smooth_basalt: #2, 5371(24%)
minecraft.picked_up.flint: #3, 4209(19%)
minecraft.picked_up.arrow: #2, 12987(14%)
minecraft.picked_up.cornflower: #2, 14456(21%)
minecraft.mined.farmland: #1, 172(19%)
minecraft.used.iron_leggings: #1, 15(16%)
minecraft.used.iron_axe: #1, 4705(14%)
minecraft.mined.cave_vines: #2, 410(17%)
minecraft.picked_up.chainmail_leggings: #1, 22(20%)
minecraft.picked_up.lapis_ore: #1, 347(17%)
minecraft.picked_up.bamboo_slab: #1, 138(57%)
minecraft.broken.diamond_pickaxe: #1, 11(27%)
minecraft.used.potato: #1, 1189(15%)
minecraft.mined.blackstone: #1, 22292(15%)
minecraft.picked_up.bone: #2, 12410(14%)
minecraft.picked_up.rabbit_stew: #1, 37(64%)
minecraft.custom.crouch_one_cm: #2, 68523384(9%)
minecraft.used.elytra: #3, 205(16%)
minecraft.crafted.warped_sign: #1, 329(19%)
minecraft.mined.iron_ore: #1, 6653(11%)
minecraft.mined.sand: #2, 262541(15%)
minecraft.mined.pink_stained_glass: #1, 116(29%)
minecraft.picked_up.gold_ore: #1, 258(16%)
minecraft.crafted.raw_copper: #1, 19197(19%)
minecraft.picked_up.dead_bush: #1, 755(20%)
minecraft.crafted.torch: #1, 18772(11%)
minecraft.broken.iron_sword: #1, 8(30%)
minecraft.mined.basalt: #2, 49784(16%)
minecraft.picked_up.mangrove_leaves: #2, 14243(24%)
minecraft.used.bone_meal: #2, 49122(15%)
minecraft.used.dark_oak_fence: #2, 2170(16%)
minecraft.used.chainmail_boots: #1, 21(88%)
minecraft.picked_up.pink_glazed_terracotta: #1, 115(35%)
minecraft.used.hay_block: #2, 220(21%)
minecraft.picked_up.raw_copper: #2, 38569(14%)
minecraft.used.diamond_shovel: #2, 526694(13%)
minecraft.picked_up.golden_boots: #2, 94(18%)
minecraft.used.blue_ice: #2, 4848(28%)
minecraft.used.crimson_slab: #2, 6748(20%)
minecraft.used.snow: #2, 11758(17%)
