stat, rank, value, (percentage) 
minecraft.crafted.yellow_wool: #3, 273(10%)
minecraft.mined.white_stained_glass: #3, 539(7%)
minecraft.picked_up.glowstone: #4, 1190(9%)
minecraft.picked_up.iron_ore: #4, 2098(8%)
minecraft.dropped.white_shulker_box: #3, 4(13%)
minecraft.mined.mangrove_propagule: #3, 169(7%)
minecraft.used.end_stone_brick_wall: #3, 37(18%)
minecraft.used.music_disc_13: #4, 32(12%)
minecraft.used.diamond_hoe: #4, 43968(10%)
minecraft.crafted.coal_block: #3, 1388(5%)
minecraft.used.gray_carpet: #3, 2825(6%)
minecraft.picked_up.bubble_coral_fan: #3, 180(7%)
minecraft.picked_up.tuff: #4, 12410(7%)
minecraft.picked_up.black_stained_glass: #4, 625(10%)
minecraft.mined.tube_coral_wall_fan: #3, 157(7%)
minecraft.mined.detector_rail: #3, 23(10%)
minecraft.mined.bubble_coral_wall_fan: #3, 149(7%)
minecraft.picked_up.jungle_planks: #3, 674(7%)
minecraft.used.golden_leggings: #2, 3(5%)
minecraft.crafted.gray_carpet: #4, 2690(9%)
minecraft.mined.polished_blackstone_bricks: #3, 2523(5%)
minecraft.used.red_tulip: #3, 8(13%)
minecraft.mined.dead_horn_coral_wall_fan: #2, 1(14%)
minecraft.mined.blue_orchid: #4, 130(18%)
minecraft.picked_up.tinted_glass: #4, 661(11%)
minecraft.used.shears: #4, 17427(8%)
minecraft.broken.golden_pickaxe: #3, 3(16%)
minecraft.crafted.raw_iron_block: #4, 606(10%)
minecraft.mined.scaffolding: #4, 8765(9%)
minecraft.killed.tropical_fish: #3, 23(8%)
minecraft.picked_up.yellow_banner: #3, 15(18%)
minecraft.used.tuff: #4, 3544(7%)
minecraft.crafted.cooked_mutton: #4, 81(10%)
minecraft.crafted.end_stone_bricks: #3, 424(15%)
minecraft.picked_up.horn_coral: #3, 25(7%)
minecraft.dropped.tropical_fish_bucket: #2, 1(6%)
minecraft.dropped.terracotta: #4, 273(10%)
minecraft.crafted.black_dye: #4, 9230(8%)
minecraft.crafted.golden_hoe: #2, 1(5%)
minecraft.mined.tuff: #4, 11653(7%)
minecraft.used.light_blue_bed: #3, 19(10%)
minecraft.picked_up.lever: #4, 341(7%)
minecraft.mined.horn_coral: #3, 26(7%)
minecraft.picked_up.stone_shovel: #4, 11(10%)
minecraft.mined.stone_pressure_plate: #4, 34(11%)
minecraft.mined.rose_bush: #4, 38(8%)
minecraft.crafted.iron_axe: #4, 22(7%)
minecraft.picked_up.cyan_stained_glass_pane: #4, 62(18%)
minecraft.used.yellow_stained_glass: #3, 806(6%)
minecraft.used.small_dripleaf: #3, 10(10%)
minecraft.dropped.snow_block: #4, 2088(9%)
minecraft.mined.gray_terracotta: #2, 143(0%)
minecraft.mined.iron_block: #4, 2223(8%)
minecraft.mined.poppy: #4, 256(7%)
minecraft.picked_up.yellow_stained_glass: #4, 603(13%)
minecraft.used.golden_pickaxe: #3, 62(8%)
minecraft.picked_up.ghast_tear: #4, 49(8%)
minecraft.used.pink_concrete_powder: #4, 1200(12%)
minecraft.crafted.gray_concrete: #3, 176(18%)
minecraft.crafted.end_stone_brick_wall: #3, 30(13%)
minecraft.mined.yellow_concrete: #4, 1316(8%)
minecraft.crafted.light_blue_shulker_box: #3, 64(5%)
minecraft.mined.fire: #5, 2042(9%)
minecraft.used.dead_fire_coral_fan: #2, 1(1%)
minecraft.mined.dead_fire_coral_wall_fan: #2, 1(1%)
minecraft.used.amethyst_block: #4, 1330(9%)
minecraft.mined.brain_coral_fan: #3, 25(7%)
minecraft.picked_up.magenta_concrete_powder: #3, 68(13%)
minecraft.crafted.pink_concrete: #3, 8(33%)
minecraft.used.splash_potion: #4, 80(7%)
minecraft.dropped.polished_basalt: #3, 294(7%)
minecraft.picked_up.rabbit_hide: #4, 42(12%)
minecraft.picked_up.cooked_porkchop: #3, 2398(2%)
minecraft.picked_up.end_stone_brick_slab: #3, 4(15%)
minecraft.picked_up.cocoa_beans: #5, 3691(12%)
minecraft.used.red_glazed_terracotta: #3, 43(10%)
minecraft.broken.iron_leggings: #3, 1(12%)
minecraft.custom.open_shulker_box: #5, 68071(6%)
minecraft.crafted.wooden_hoe: #3, 4(7%)
minecraft.used.cherry_leaves: #4, 1091(14%)
minecraft.crafted.red_concrete: #3, 168(9%)
minecraft.killed_by.hoglin: #3, 1(17%)
minecraft.mined.yellow_terracotta: #4, 1178(8%)
minecraft.crafted.red_shulker_box: #4, 43(8%)
minecraft.broken.bow: #3, 1(20%)
minecraft.mined.end_stone_brick_slab: #3, 4(19%)
minecraft.picked_up.brick_wall: #3, 15(9%)
minecraft.used.map: #4, 57(8%)
minecraft.mined.red_concrete_powder: #3, 69(5%)
minecraft.mined.brick_wall: #3, 15(9%)
minecraft.custom.interact_with_grindstone: #4, 84(6%)
minecraft.mined.snow_block: #5, 9648(9%)
minecraft.used.cyan_stained_glass: #4, 1175(11%)
minecraft.mined.yellow_stained_glass_pane: #3, 25(5%)
minecraft.picked_up.netherrack: #4, 52125(5%)
minecraft.picked_up.map: #3, 73(4%)
minecraft.dropped.blue_ice: #3, 65(10%)
minecraft.picked_up.diamond_ore: #4, 30(9%)
minecraft.crafted.cooked_porkchop: #4, 81(8%)
minecraft.used.cocoa_beans: #5, 1237(12%)
minecraft.custom.interact_with_anvil: #5, 900(7%)
minecraft.mined.deepslate: #5, 112243(8%)
minecraft.picked_up.cherry_log: #4, 690(7%)
minecraft.crafted.orange_concrete: #3, 112(10%)
minecraft.picked_up.music_disc_ward: #3, 4(6%)
minecraft.mined.white_carpet: #4, 684(7%)
minecraft.used.dead_bubble_coral_block: #3, 72(11%)
minecraft.mined.cracked_polished_blackstone_bricks: #3, 885(3%)
minecraft.dropped.dark_oak_boat: #4, 8(11%)
minecraft.crafted.white_carpet: #4, 1656(7%)
minecraft.picked_up.leather_chestplate: #4, 39(6%)
minecraft.crafted.coal: #4, 3411(6%)
minecraft.mined.bubble_coral: #4, 37(9%)
minecraft.killed.skeleton_horse: #3, 1(17%)
minecraft.mined.cherry_log: #4, 693(7%)
minecraft.crafted.black_terracotta: #4, 1648(7%)
minecraft.crafted.oak_boat: #4, 22(6%)
minecraft.picked_up.bubble_coral: #4, 33(9%)
minecraft.used.dead_fire_coral_block: #3, 128(11%)
minecraft.dropped.powder_snow_bucket: #3, 3(5%)
minecraft.used.bubble_coral_block: #3, 88(4%)
minecraft.picked_up.dead_fire_coral_block: #3, 154(5%)
minecraft.dropped.bee_nest: #3, 1(7%)
minecraft.mined.orange_concrete_powder: #3, 60(5%)
minecraft.picked_up.music_disc_stal: #3, 6(4%)
minecraft.picked_up.mossy_cobblestone_stairs: #4, 23(11%)
minecraft.killed.rabbit: #4, 17(11%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #3, 800(2%)
minecraft.dropped.horn_coral_fan: #3, 6(6%)
minecraft.crafted.amethyst_block: #4, 685(11%)
minecraft.mined.dead_bubble_coral_block: #3, 84(4%)
minecraft.crafted.end_stone_brick_slab: #3, 18(4%)
minecraft.mined.green_stained_glass_pane: #3, 14(4%)
minecraft.crafted.mossy_cobblestone_stairs: #4, 39(10%)
minecraft.used.fire_charge: #3, 1(5%)
minecraft.used.dead_brain_coral_fan: #3, 1(11%)
minecraft.picked_up.dead_bubble_coral_block: #3, 86(3%)
minecraft.crafted.cherry_boat: #3, 2(5%)
minecraft.used.mangrove_propagule: #3, 135(2%)
minecraft.used.green_shulker_box: #4, 137(5%)
minecraft.crafted.cherry_wood: #3, 48(3%)
minecraft.used.bucket: #5, 7769(6%)
minecraft.crafted.diamond_shovel: #4, 13(4%)
minecraft.crafted.smooth_basalt: #3, 266(4%)
minecraft.crafted.golden_pickaxe: #3, 1(4%)
minecraft.dropped.purple_bed: #3, 2(4%)
minecraft.picked_up.orange_bed: #4, 38(8%)
minecraft.used.iron_shovel: #5, 6941(7%)
minecraft.picked_up.stripped_birch_log: #4, 385(4%)
minecraft.used.bee_nest: #4, 40(7%)
minecraft.dropped.bundle: #5, 59(9%)
minecraft.picked_up.cooked_mutton: #4, 49(7%)
minecraft.crafted.polished_basalt: #4, 1404(6%)
minecraft.crafted.cyan_stained_glass: #4, 1328(8%)
minecraft.mined.chorus_flower: #4, 15(9%)
minecraft.used.pearlescent_froglight: #5, 485(10%)
minecraft.crafted.stone_axe: #5, 14(8%)
minecraft.used.pink_glazed_terracotta: #3, 81(3%)
minecraft.picked_up.spyglass: #4, 7(6%)
minecraft.crafted.muddy_mangrove_roots: #4, 111(11%)
minecraft.picked_up.lime_bed: #3, 8(2%)
minecraft.used.black_terracotta: #4, 1311(6%)
minecraft.used.shroomlight: #5, 297(9%)
minecraft.picked_up.purple_stained_glass: #4, 195(7%)
minecraft.mined.lime_bed: #3, 8(2%)
minecraft.custom.damage_absorbed: #5, 2013(8%)
minecraft.crafted.white_bed: #4, 37(4%)
minecraft.picked_up.diamond_shovel: #5, 62(6%)
minecraft.custom.pig_one_cm: #4, 141925(6%)
minecraft.picked_up.magenta_carpet: #3, 22(1%)
minecraft.picked_up.dead_fire_coral_fan: #3, 1(1%)
minecraft.picked_up.cyan_stained_glass: #4, 114(6%)
minecraft.picked_up.firework_star: #3, 2(0%)
minecraft.picked_up.dark_oak_stairs: #5, 316(7%)
minecraft.used.brown_terracotta: #4, 1018(5%)
minecraft.crafted.snow: #5, 4320(11%)
minecraft.used.tadpole_bucket: #4, 11(9%)
minecraft.picked_up.netherite_boots: #5, 39(9%)
minecraft.picked_up.polished_blackstone_bricks: #4, 2353(4%)
minecraft.crafted.blackstone_stairs: #4, 32(8%)
minecraft.crafted.iron_sword: #5, 17(7%)
minecraft.killed_by.ravager: #5, 86(6%)
minecraft.mined.warped_planks: #5, 805(8%)
minecraft.mined.slime_block: #4, 607(4%)
minecraft.picked_up.bamboo_planks: #4, 23(7%)
minecraft.picked_up.rabbit_foot: #4, 4(9%)
minecraft.mined.dark_oak_pressure_plate: #4, 2(15%)
minecraft.used.mossy_cobblestone_stairs: #4, 94(6%)
minecraft.picked_up.deepslate: #5, 30476(7%)
minecraft.picked_up.leather_boots: #4, 54(3%)
minecraft.dropped.raw_gold_block: #4, 20(15%)
minecraft.custom.open_enderchest: #6, 7205(6%)
minecraft.mined.yellow_carpet: #4, 115(6%)
minecraft.mined.deepslate_coal_ore: #5, 29(8%)
minecraft.used.birch_boat: #5, 19(6%)
minecraft.used.diamond_boots: #5, 15(8%)
minecraft.used.pink_petals: #4, 303(7%)
minecraft.mined.tall_grass: #5, 963(6%)
minecraft.mined.bubble_coral_fan: #4, 29(5%)
minecraft.mined.light_blue_stained_glass_pane: #4, 66(7%)
minecraft.used.white_carpet: #4, 2075(4%)
minecraft.used.iron_block: #5, 3522(6%)
minecraft.picked_up.green_glazed_terracotta: #4, 65(7%)
minecraft.used.slime_block: #4, 783(3%)
minecraft.used.pink_concrete: #4, 282(7%)
minecraft.dropped.bone_block: #4, 192(6%)
minecraft.picked_up.bubble_coral_block: #4, 162(6%)
minecraft.picked_up.waxed_exposed_copper: #4, 78(6%)
minecraft.used.goat_horn: #4, 15(5%)
minecraft.picked_up.yellow_terracotta: #5, 1248(7%)
minecraft.picked_up.music_disc_13: #5, 41(8%)
minecraft.picked_up.birch_boat: #5, 20(6%)
minecraft.mined.blue_stained_glass_pane: #4, 3(9%)
minecraft.mined.bubble_coral_block: #4, 137(5%)
minecraft.dropped.red_shulker_box: #4, 4(4%)
minecraft.used.black_concrete: #5, 7966(7%)
minecraft.used.pink_terracotta: #4, 280(6%)
minecraft.dropped.oak_pressure_plate: #4, 2(9%)
minecraft.picked_up.cherry_boat: #4, 7(6%)
minecraft.dropped.sculk_catalyst: #4, 16(7%)
minecraft.crafted.soul_torch: #4, 332(4%)
minecraft.mined.attached_pumpkin_stem: #4, 2(6%)
minecraft.mined.gray_carpet: #4, 258(3%)
minecraft.broken.netherite_pickaxe: #4, 1(12%)
minecraft.crafted.golden_helmet: #5, 7(8%)
minecraft.picked_up.orange_shulker_box: #5, 253(6%)
minecraft.used.orange_shulker_box: #5, 255(6%)
minecraft.dropped.sculk: #4, 192(5%)
minecraft.crafted.mud_brick_wall: #4, 27(4%)
minecraft.picked_up.pink_concrete_powder: #4, 264(5%)
minecraft.crafted.dark_prismarine_slab: #5, 126(11%)
minecraft.custom.damage_taken: #7, 927438(7%)
minecraft.crafted.iron_pickaxe: #5, 22(5%)
minecraft.mined.orange_shulker_box: #5, 251(6%)
minecraft.used.apple: #5, 36(7%)
minecraft.crafted.wooden_shovel: #4, 80(3%)
minecraft.killed_by.skeleton: #5, 7(7%)
minecraft.mined.lime_stained_glass_pane: #4, 50(4%)
minecraft.used.pink_bed: #4, 30(4%)
minecraft.custom.eat_cake_slice: #5, 16(7%)
minecraft.used.copper_block: #5, 2483(5%)
minecraft.used.crying_obsidian: #4, 340(3%)
minecraft.crafted.green_candle: #4, 128(6%)
minecraft.used.pumpkin_pie: #5, 1315(4%)
minecraft.picked_up.pufferfish_bucket: #4, 1(9%)
minecraft.used.iron_helmet: #5, 6(7%)
minecraft.dropped.white_carpet: #4, 30(3%)
minecraft.used.cherry_boat: #4, 7(6%)
minecraft.mined.hay_block: #5, 213(6%)
minecraft.picked_up.music_disc_wait: #4, 5(3%)
minecraft.crafted.candle: #4, 852(2%)
minecraft.used.prismarine_stairs: #4, 29(10%)
minecraft.mined.large_fern: #5, 218(7%)
minecraft.custom.play_time: #7, 110438657(5%)
minecraft.custom.total_world_time: #7, 110438657(5%)
minecraft.picked_up.bee_nest: #5, 42(6%)
minecraft.mined.brown_carpet: #4, 40(2%)
minecraft.picked_up.crimson_trapdoor: #5, 42(7%)
minecraft.picked_up.lime_stained_glass_pane: #4, 42(3%)
minecraft.mined.tinted_glass: #5, 218(6%)
minecraft.dropped.tnt: #4, 858(2%)
minecraft.used.fire_coral: #4, 5(3%)
minecraft.picked_up.pink_bed: #4, 18(2%)
minecraft.dropped.writable_book: #5, 9(7%)
minecraft.used.wooden_axe: #5, 54(7%)
minecraft.picked_up.prismarine: #5, 663(6%)
minecraft.dropped.deepslate_tile_slab: #5, 64(8%)
minecraft.dropped.green_concrete: #4, 7(4%)
minecraft.crafted.raw_gold_block: #5, 186(7%)
minecraft.used.blue_stained_glass: #5, 94(10%)
minecraft.mined.birch_fence_gate: #5, 15(9%)
minecraft.mined.crying_obsidian: #5, 44(7%)
minecraft.crafted.jungle_planks: #5, 5808(6%)
minecraft.crafted.terracotta: #4, 95(5%)
minecraft.picked_up.blast_furnace: #5, 26(6%)
minecraft.used.light_gray_bed: #4, 33(2%)
minecraft.crafted.brick_wall: #4, 18(2%)
minecraft.picked_up.lily_of_the_valley: #4, 44(1%)
minecraft.used.wheat_seeds: #6, 4523(8%)
minecraft.used.diamond_sword: #5, 34453(3%)
minecraft.picked_up.diamond_pickaxe: #6, 100(5%)
minecraft.mined.green_shulker_box: #5, 130(4%)
minecraft.mined.crimson_trapdoor: #5, 27(6%)
minecraft.crafted.calibrated_sculk_sensor: #4, 5(2%)
minecraft.used.orange_bed: #5, 34(7%)
minecraft.picked_up.dark_oak_pressure_plate: #4, 4(2%)
minecraft.used.end_stone_brick_slab: #4, 4(3%)
minecraft.crafted.cyan_concrete: #4, 64(4%)
minecraft.crafted.green_concrete: #4, 8(3%)
minecraft.crafted.pink_concrete_powder: #5, 1184(9%)
minecraft.used.exposed_copper: #5, 72(5%)
minecraft.used.diamond_axe: #6, 73956(6%)
minecraft.used.calibrated_sculk_sensor: #4, 3(2%)
minecraft.picked_up.coal_block: #5, 266(5%)
minecraft.dropped.trident: #5, 3(9%)
minecraft.mined.blackstone_wall: #5, 30(9%)
minecraft.picked_up.crimson_sign: #5, 8(8%)
minecraft.crafted.orange_carpet: #4, 96(1%)
minecraft.mined.tube_coral_fan: #5, 31(7%)
minecraft.used.jungle_sapling: #5, 167(7%)
minecraft.used.yellow_dye: #5, 16(6%)
minecraft.picked_up.dead_tube_coral_block: #4, 12(1%)
minecraft.mined.dead_tube_coral_block: #4, 11(1%)
minecraft.picked_up.magenta_concrete: #5, 109(8%)
minecraft.mined.orange_bed: #5, 35(8%)
minecraft.dropped.red_concrete_powder: #4, 2(2%)
minecraft.mined.orange_carpet: #4, 40(1%)
minecraft.used.yellow_wool: #6, 1095(9%)
minecraft.picked_up.oxidized_copper: #5, 1299(4%)
minecraft.crafted.copper_block: #5, 2927(4%)
minecraft.mined.magenta_carpet: #4, 1(0%)
minecraft.mined.netherrack: #5, 61784(3%)
minecraft.picked_up.potion: #6, 227(6%)
minecraft.custom.damage_dealt: #5, 1950992(2%)
minecraft.crafted.black_bed: #5, 3(8%)
minecraft.picked_up.white_stained_glass: #5, 552(5%)
minecraft.used.carrot: #6, 2008(7%)
minecraft.picked_up.polished_andesite_stairs: #6, 199(7%)
minecraft.used.green_stained_glass_pane: #5, 137(9%)
minecraft.picked_up.pink_stained_glass: #5, 113(7%)
minecraft.used.nether_wart_block: #5, 181(4%)
minecraft.used.bricks: #5, 596(4%)
minecraft.used.melon_seeds: #5, 19(8%)
minecraft.picked_up.elytra: #6, 82(4%)
minecraft.crafted.iron_shovel: #6, 28(6%)
minecraft.mined.shroomlight: #6, 359(7%)
minecraft.picked_up.mangrove_planks: #5, 65(4%)
minecraft.picked_up.wheat: #6, 3076(6%)
minecraft.used.big_dripleaf: #5, 35(4%)
minecraft.mined.stripped_birch_log: #5, 387(3%)
minecraft.crafted.pink_terracotta: #6, 1328(10%)
minecraft.dropped.music_disc_13: #5, 4(6%)
minecraft.used.red_mushroom_block: #5, 352(5%)
minecraft.mined.oxidized_copper: #5, 1046(3%)
minecraft.picked_up.prismarine_bricks: #6, 763(7%)
minecraft.used.polished_andesite: #6, 2806(7%)
minecraft.picked_up.tube_coral: #5, 25(5%)
minecraft.mined.tube_coral: #5, 26(5%)
minecraft.picked_up.mangrove_propagule: #5, 385(4%)
minecraft.picked_up.red_sand: #5, 1671(4%)
minecraft.used.light_blue_concrete_powder: #5, 160(4%)
minecraft.picked_up.brain_coral_block: #5, 161(6%)
minecraft.mined.magenta_concrete: #5, 66(5%)
minecraft.mined.deepslate_gold_ore: #6, 951(6%)
minecraft.picked_up.raw_gold: #6, 2135(6%)
minecraft.used.shulker_box: #6, 3927(5%)
minecraft.picked_up.netherite_leggings: #6, 32(8%)
minecraft.mined.black_banner: #5, 2(9%)
minecraft.crafted.golden_chestplate: #5, 5(7%)
minecraft.broken.iron_helmet: #5, 1(8%)
minecraft.used.blackstone_stairs: #5, 137(6%)
minecraft.used.magenta_concrete_powder: #5, 54(5%)
minecraft.picked_up.carrot: #6, 5033(5%)
minecraft.broken.stone_pickaxe: #5, 3(4%)
minecraft.used.nether_gold_ore: #5, 53(7%)
minecraft.used.waxed_exposed_copper: #5, 46(5%)
minecraft.used.warped_wart_block: #5, 560(3%)
minecraft.mined.red_sand: #5, 1365(3%)
minecraft.picked_up.redstone: #6, 11088(5%)
minecraft.picked_up.blackstone_wall: #5, 38(5%)
minecraft.used.rose_bush: #5, 30(2%)
minecraft.picked_up.blaze_powder: #5, 40(3%)
minecraft.crafted.bamboo_slab: #5, 90(6%)
minecraft.used.stripped_birch_log: #5, 176(3%)
minecraft.mined.deepslate_redstone_ore: #6, 2040(5%)
minecraft.dropped.redstone_ore: #5, 4(6%)
minecraft.dropped.observer: #5, 36(4%)
minecraft.picked_up.black_concrete: #6, 3293(6%)
minecraft.mined.waxed_exposed_copper: #5, 57(5%)
minecraft.picked_up.ink_sac: #6, 2679(5%)
minecraft.killed.glow_squid: #6, 94(6%)
minecraft.picked_up.totem_of_undying: #6, 103(5%)
minecraft.mined.jungle_sapling: #5, 9(6%)
minecraft.picked_up.light_blue_terracotta: #5, 168(3%)
minecraft.used.cherry_sign: #5, 6(10%)
minecraft.mined.orange_wool: #6, 153(7%)
minecraft.dropped.netherite_boots: #6, 5(7%)
minecraft.crafted.ender_chest: #6, 57(5%)
minecraft.picked_up.blue_orchid: #5, 130(3%)
minecraft.dropped.sponge: #5, 23(6%)
minecraft.crafted.pink_carpet: #5, 288(3%)
minecraft.mined.emerald_block: #6, 766(5%)
minecraft.picked_up.string: #7, 7393(7%)
minecraft.mined.dead_brain_coral_fan: #5, 1(7%)
minecraft.picked_up.dead_brain_coral_fan: #5, 1(7%)
minecraft.picked_up.brown_mushroom: #6, 559(6%)
minecraft.picked_up.white_carpet: #5, 751(2%)
minecraft.used.brain_coral_block: #5, 55(3%)
minecraft.mined.quartz_pillar: #6, 133(7%)
minecraft.mined.respawn_anchor: #5, 2(5%)
minecraft.used.chiseled_stone_bricks: #6, 468(6%)
minecraft.used.seagrass: #5, 17(3%)
minecraft.used.acacia_leaves: #5, 22(4%)
minecraft.used.mangrove_slab: #6, 225(6%)
minecraft.mined.azure_bluet: #6, 41(5%)
minecraft.killed_by.slime: #5, 1(5%)
minecraft.mined.blue_concrete_powder: #5, 1(4%)
minecraft.mined.bricks: #6, 186(6%)
minecraft.used.cyan_bed: #5, 14(2%)
minecraft.picked_up.shulker_shell: #6, 1137(5%)
minecraft.used.iron_boots: #6, 5(7%)
minecraft.used.emerald_block: #6, 1056(5%)
minecraft.picked_up.respawn_anchor: #5, 2(4%)
minecraft.crafted.white_shulker_box: #6, 18(6%)
minecraft.picked_up.music_disc_11: #5, 2(4%)
minecraft.mined.bee_nest: #6, 43(6%)
minecraft.crafted.lime_concrete: #5, 40(5%)
minecraft.used.crimson_stem: #6, 1873(5%)
minecraft.picked_up.furnace_minecart: #5, 3(4%)
minecraft.dropped.cut_copper_stairs: #5, 2(4%)
minecraft.picked_up.melon_slice: #5, 214(1%)
minecraft.dropped.wet_sponge: #5, 7(4%)
minecraft.mined.end_stone_brick_stairs: #5, 2(4%)
minecraft.picked_up.stone_pressure_plate: #6, 35(6%)
minecraft.picked_up.light_gray_bed: #5, 21(1%)
minecraft.picked_up.green_shulker_box: #6, 130(4%)
minecraft.mined.light_gray_shulker_box: #6, 164(5%)
minecraft.mined.granite_stairs: #5, 2(3%)
minecraft.used.light_gray_shulker_box: #6, 166(5%)
minecraft.crafted.slime_block: #5, 652(1%)
minecraft.mined.light_gray_bed: #5, 20(1%)
minecraft.picked_up.golden_axe: #5, 1(2%)
minecraft.used.carrot_on_a_stick: #5, 1(3%)
minecraft.picked_up.light_gray_shulker_box: #6, 164(5%)
minecraft.used.iron_chestplate: #6, 4(5%)
minecraft.picked_up.jungle_leaves: #6, 641(6%)
minecraft.used.ancient_debris: #5, 3(1%)
minecraft.mined.melon: #5, 42(1%)
minecraft.picked_up.jungle_sapling: #6, 201(6%)
minecraft.mined.pink_bed: #5, 9(1%)
minecraft.crafted.end_stone_brick_stairs: #5, 8(1%)
minecraft.picked_up.end_stone_brick_stairs: #5, 1(2%)
minecraft.used.magenta_concrete: #5, 13(1%)
minecraft.mined.obsidian: #6, 2345(4%)
minecraft.dropped.purple_dye: #5, 2(1%)
minecraft.mined.copper_block: #6, 182(4%)
minecraft.dropped.birch_sign: #6, 36(5%)
minecraft.used.blue_candle: #5, 3(2%)
minecraft.crafted.cherry_planks: #6, 252(5%)
minecraft.crafted.filled_map: #5, 139(1%)
minecraft.dropped.brown_terracotta: #6, 52(6%)
minecraft.picked_up.orange_concrete_powder: #5, 57(1%)
minecraft.picked_up.dark_oak_boat: #6, 32(5%)
minecraft.picked_up.yellow_carpet: #5, 115(0%)
minecraft.dropped.map: #5, 3(1%)
minecraft.mined.calibrated_sculk_sensor: #5, 1(1%)
minecraft.dropped.dark_oak_pressure_plate: #5, 2(1%)
minecraft.picked_up.sea_lantern: #6, 347(4%)
minecraft.used.light_blue_shulker_box: #6, 563(3%)
minecraft.dropped.blaze_powder: #5, 8(1%)
minecraft.mined.honeycomb_block: #5, 5(1%)
minecraft.used.dark_oak_boat: #6, 28(4%)
minecraft.picked_up.orange_carpet: #5, 40(0%)
minecraft.used.orange_carpet: #5, 42(0%)
minecraft.dropped.jungle_planks: #6, 48(6%)
minecraft.crafted.waxed_weathered_copper: #5, 1(0%)
minecraft.picked_up.detector_rail: #6, 27(6%)
minecraft.used.sea_lantern: #6, 371(4%)
minecraft.used.birch_fence: #6, 219(4%)
minecraft.used.deepslate_redstone_ore: #6, 308(4%)
minecraft.used.wooden_pickaxe: #6, 20(4%)
minecraft.picked_up.glow_berries: #7, 439(6%)
minecraft.crafted.green_stained_glass_pane: #6, 144(7%)
minecraft.mined.ochre_froglight: #6, 80(5%)
minecraft.mined.raw_copper_block: #6, 37(5%)
minecraft.picked_up.quartz_pillar: #6, 131(4%)
minecraft.picked_up.diamond: #7, 2077(5%)
minecraft.picked_up.netherite_helmet: #6, 14(5%)
minecraft.used.cobweb: #6, 88(5%)
minecraft.used.stone_pressure_plate: #6, 38(4%)
minecraft.mined.clay: #6, 3499(3%)
minecraft.crafted.birch_fence: #6, 192(4%)
minecraft.used.lime_stained_glass: #6, 629(4%)
minecraft.used.bread: #6, 262(4%)
minecraft.killed.snow_golem: #6, 5(5%)
minecraft.crafted.spruce_boat: #6, 11(3%)
minecraft.crafted.lime_stained_glass_pane: #6, 88(5%)
minecraft.mined.lime_concrete_powder: #6, 8(4%)
minecraft.picked_up.coal_ore: #7, 2928(6%)
minecraft.crafted.chiseled_polished_blackstone: #6, 18(5%)
minecraft.picked_up.clock: #6, 7(4%)
minecraft.used.prismarine: #6, 407(4%)
minecraft.used.cherry_sapling: #6, 68(4%)
minecraft.custom.interact_with_smithing_table: #7, 85(5%)
minecraft.mined.brain_coral_block: #6, 161(6%)
minecraft.mined.shulker_box: #7, 3836(5%)
minecraft.picked_up.lava_bucket: #6, 36(4%)
minecraft.killed_by.cave_spider: #6, 1(6%)
minecraft.picked_up.music_disc_mellohi: #6, 4(5%)
minecraft.crafted.diamond_hoe: #6, 3(3%)
minecraft.mined.polished_basalt: #6, 107(3%)
minecraft.crafted.green_shulker_box: #6, 8(3%)
minecraft.used.smithing_table: #6, 75(3%)
minecraft.crafted.yellow_stained_glass: #6, 736(4%)
minecraft.mined.chest: #7, 866(5%)
minecraft.picked_up.bone_block: #7, 1224(6%)
minecraft.picked_up.lime_concrete: #6, 378(3%)
minecraft.mined.dark_oak_button: #6, 7(5%)
minecraft.used.leather_chestplate: #6, 2(4%)
minecraft.used.cod: #6, 4(5%)
minecraft.used.light_blue_stained_glass_pane: #6, 66(4%)
minecraft.crafted.melon_seeds: #6, 18(6%)
minecraft.picked_up.ochre_froglight: #6, 80(3%)
minecraft.crafted.conduit: #6, 1(6%)
minecraft.used.ladder: #7, 453(5%)
minecraft.picked_up.birch_fence_gate: #6, 15(3%)
minecraft.used.poppy: #7, 35(6%)
minecraft.picked_up.iron_block: #7, 2294(5%)
minecraft.used.lime_concrete_powder: #6, 324(2%)
minecraft.mined.smooth_basalt: #7, 1169(6%)
minecraft.crafted.stone_shovel: #6, 15(2%)
minecraft.used.acacia_boat: #6, 5(4%)
minecraft.crafted.blackstone_wall: #6, 18(4%)
minecraft.dropped.mangrove_log: #6, 15(3%)
minecraft.picked_up.smooth_basalt: #7, 1262(6%)
minecraft.mined.deepslate_tiles: #7, 447(5%)
minecraft.mined.pink_shulker_box: #7, 124(6%)
minecraft.picked_up.pink_shulker_box: #7, 126(6%)
minecraft.crafted.red_carpet: #6, 288(2%)
minecraft.used.lime_concrete: #6, 226(3%)
minecraft.used.pink_shulker_box: #7, 126(6%)
minecraft.used.light_gray_terracotta: #6, 174(2%)
minecraft.used.golden_sword: #6, 3(4%)
minecraft.used.gray_terracotta: #6, 803(2%)
minecraft.mined.red_carpet: #6, 49(2%)
minecraft.used.lime_stained_glass_pane: #6, 56(2%)
minecraft.killed.pig: #7, 28(5%)
minecraft.picked_up.wooden_axe: #6, 3(2%)
minecraft.killed_by.drowned: #7, 7(5%)
