stat, rank, value, (percentage) 
minecraft.mined.cyan_carpet: #14, 3(0%)
minecraft.used.oxidized_cut_copper_stairs: #14, 18(0%)
minecraft.used.quartz_block: #14, 61(0%)
minecraft.mined.white_carpet: #14, 11(0%)
minecraft.mined.quartz_block: #14, 10(0%)
minecraft.mined.warped_slab: #14, 1(0%)
minecraft.dropped.diamond_axe: #15, 4(2%)
minecraft.dropped.iron_shovel: #15, 2(2%)
minecraft.broken.iron_axe: #15, 2(2%)
minecraft.crafted.lead: #15, 8(1%)
minecraft.used.smoker: #15, 1(1%)
minecraft.mined.red_tulip: #15, 1(1%)
minecraft.crafted.quartz_slab: #15, 12(0%)
minecraft.used.warped_stairs: #15, 13(0%)
minecraft.crafted.white_banner: #15, 2(0%)
minecraft.mined.blue_terracotta: #15, 3(0%)
minecraft.picked_up.blue_terracotta: #15, 3(0%)
minecraft.mined.stripped_mangrove_log: #15, 2(0%)
minecraft.used.jungle_planks: #15, 3(0%)
minecraft.used.gray_terracotta: #15, 3(0%)
minecraft.used.iron_axe: #16, 698(2%)
minecraft.picked_up.oak_sign: #16, 26(1%)
minecraft.picked_up.oak_pressure_plate: #16, 1(2%)
minecraft.picked_up.cookie: #16, 15(1%)
minecraft.used.stripped_crimson_stem: #16, 11(1%)
minecraft.used.diamond_leggings: #16, 2(1%)
minecraft.picked_up.warped_planks: #16, 79(1%)
minecraft.used.birch_trapdoor: #16, 13(1%)
minecraft.crafted.birch_stairs: #16, 16(1%)
minecraft.mined.oxidized_cut_copper_stairs: #16, 5(1%)
minecraft.crafted.smoker: #16, 1(0%)
minecraft.mined.warped_trapdoor: #16, 4(0%)
minecraft.crafted.warped_trapdoor: #16, 18(0%)
minecraft.mined.warped_stem: #16, 73(0%)
minecraft.picked_up.iron_axe: #16, 2(0%)
minecraft.used.warped_trapdoor: #16, 9(0%)
minecraft.picked_up.acacia_sign: #16, 1(0%)
minecraft.used.white_banner: #16, 1(0%)
minecraft.crafted.white_carpet: #16, 30(0%)
minecraft.used.crimson_stairs: #16, 4(0%)
minecraft.picked_up.light_gray_concrete_powder: #16, 11(0%)
minecraft.used.diorite_wall: #16, 2(0%)
minecraft.picked_up.raw_gold_block: #16, 1(0%)
minecraft.picked_up.netherite_pickaxe: #17, 6(1%)
minecraft.crafted.birch_trapdoor: #17, 12(0%)
minecraft.picked_up.yellow_wool: #17, 25(0%)
minecraft.used.crimson_stem: #17, 121(0%)
minecraft.picked_up.coal_block: #17, 18(0%)
minecraft.used.lime_terracotta: #17, 157(0%)
minecraft.crafted.crimson_trapdoor: #17, 10(0%)
minecraft.crafted.crimson_stairs: #17, 8(0%)
minecraft.used.oxidized_cut_copper_slab: #17, 2(0%)
minecraft.dropped.diamond_leggings: #18, 3(1%)
minecraft.mined.stripped_crimson_stem: #18, 34(1%)
minecraft.picked_up.stripped_crimson_stem: #18, 31(1%)
minecraft.dropped.pumpkin_pie: #18, 28(0%)
minecraft.crafted.iron_door: #18, 3(0%)
minecraft.picked_up.oxidized_cut_copper_stairs: #18, 5(0%)
minecraft.used.crimson_trapdoor: #18, 10(0%)
minecraft.picked_up.book: #18, 149(0%)
minecraft.crafted.warped_stairs: #18, 8(0%)
minecraft.mined.green_concrete_powder: #18, 2(0%)
minecraft.used.quartz_stairs: #18, 2(0%)
minecraft.picked_up.white_carpet: #18, 11(0%)
minecraft.mined.gray_terracotta: #18, 3(0%)
minecraft.picked_up.gray_terracotta: #18, 3(0%)
minecraft.used.warped_slab: #18, 1(0%)
minecraft.picked_up.diamond_axe: #19, 12(1%)
minecraft.mined.flower_pot: #19, 1(0%)
minecraft.used.birch_fence: #19, 20(0%)
minecraft.crafted.warped_sign: #19, 3(0%)
minecraft.crafted.warped_planks: #19, 160(0%)
minecraft.picked_up.acacia_log: #19, 40(0%)
minecraft.used.warped_sign: #19, 2(0%)
minecraft.mined.diamond_block: #19, 3(0%)
minecraft.used.yellow_bed: #19, 1(0%)
minecraft.picked_up.green_bed: #19, 1(0%)
minecraft.mined.quartz_slab: #19, 1(0%)
minecraft.crafted.warped_slab: #19, 6(0%)
minecraft.used.light_gray_concrete_powder: #19, 11(0%)
minecraft.mined.spruce_sign: #20, 1(1%)
minecraft.used.birch_boat: #20, 2(1%)
minecraft.picked_up.goat_horn: #20, 2(1%)
minecraft.picked_up.crimson_planks: #20, 30(1%)
minecraft.used.calcite: #20, 68(0%)
minecraft.picked_up.salmon: #20, 6(0%)
minecraft.used.spruce_sign: #20, 5(0%)
minecraft.crafted.acacia_planks: #20, 128(0%)
minecraft.mined.birch_fence: #20, 2(0%)
minecraft.custom.trigger_trapped_chest: #20, 1(0%)
minecraft.picked_up.stripped_birch_log: #20, 9(0%)
minecraft.dropped.calcite: #20, 4(0%)
minecraft.used.yellow_wool: #20, 11(0%)
minecraft.mined.stripped_birch_log: #20, 9(0%)
minecraft.crafted.red_carpet: #20, 9(0%)
minecraft.used.pumpkin: #20, 11(0%)
minecraft.picked_up.red_tulip: #20, 1(0%)
minecraft.crafted.firework_rocket: #20, 378(0%)
minecraft.used.quartz_slab: #20, 3(0%)
minecraft.used.cyan_wool: #20, 1(0%)
minecraft.picked_up.green_concrete_powder: #20, 1(0%)
minecraft.used.netherite_pickaxe: #20, 136(0%)
minecraft.custom.player_kills: #21, 11(1%)
minecraft.dropped.diamond_helmet: #21, 1(1%)
minecraft.crafted.iron_helmet: #21, 1(0%)
minecraft.used.pumpkin_pie: #21, 32(0%)
minecraft.used.loom: #21, 1(0%)
minecraft.mined.smooth_quartz_stairs: #21, 1(0%)
minecraft.mined.yellow_wool: #21, 3(0%)
minecraft.picked_up.quartz_slab: #21, 1(0%)
minecraft.mined.crimson_roots: #21, 2(0%)
minecraft.picked_up.diamond_boots: #22, 9(1%)
minecraft.crafted.iron_axe: #22, 3(1%)
minecraft.custom.pot_flower: #22, 10(1%)
minecraft.picked_up.end_rod: #22, 21(0%)
minecraft.used.flower_pot: #22, 10(0%)
minecraft.crafted.iron_sword: #22, 1(0%)
minecraft.custom.interact_with_loom: #22, 3(0%)
minecraft.picked_up.iron_door: #22, 2(0%)
minecraft.dropped.carved_pumpkin: #22, 7(0%)
minecraft.picked_up.birch_boat: #22, 1(0%)
minecraft.mined.ladder: #22, 5(0%)
minecraft.crafted.lectern: #22, 3(0%)
minecraft.picked_up.totem_of_undying: #22, 4(0%)
minecraft.used.cooked_porkchop: #22, 55(0%)
minecraft.mined.glass_pane: #22, 2(0%)
minecraft.used.lectern: #22, 8(0%)
minecraft.mined.mushroom_stem: #22, 33(0%)
minecraft.used.sea_lantern: #22, 5(0%)
minecraft.mined.red_carpet: #22, 1(0%)
minecraft.crafted.cauldron: #22, 1(0%)
minecraft.dropped.emerald: #22, 21(0%)
minecraft.used.red_carpet: #22, 4(0%)
minecraft.crafted.scaffolding: #22, 6(0%)
minecraft.dropped.diamond_boots: #23, 1(1%)
minecraft.picked_up.phantom_membrane: #23, 6(0%)
minecraft.mined.azure_bluet: #23, 3(0%)
minecraft.crafted.iron_boots: #23, 1(0%)
minecraft.dropped.water_bucket: #23, 1(0%)
minecraft.used.diorite: #23, 47(0%)
minecraft.used.bookshelf: #23, 45(0%)
minecraft.picked_up.iron_bars: #23, 14(0%)
minecraft.picked_up.calcite: #23, 80(0%)
minecraft.crafted.iron_leggings: #23, 1(0%)
minecraft.used.end_rod: #23, 10(0%)
minecraft.picked_up.snow_block: #23, 128(0%)
minecraft.picked_up.mushroom_stem: #23, 63(0%)
minecraft.used.written_book: #23, 21(0%)
minecraft.picked_up.smooth_quartz_stairs: #23, 1(0%)
minecraft.picked_up.pumpkin_seeds: #23, 32(0%)
minecraft.picked_up.lectern: #23, 3(0%)
minecraft.used.cauldron: #23, 1(0%)
minecraft.mined.light_gray_carpet: #23, 1(0%)
minecraft.picked_up.light_gray_carpet: #23, 1(0%)
minecraft.picked_up.diamond_leggings: #24, 8(1%)
minecraft.picked_up.furnace: #24, 19(1%)
minecraft.killed.player: #24, 11(1%)
minecraft.crafted.iron_chestplate: #24, 1(0%)
minecraft.used.iron_door: #24, 1(0%)
minecraft.dropped.birch_planks: #24, 3(0%)
minecraft.picked_up.ladder: #24, 7(0%)
minecraft.crafted.white_bed: #24, 1(0%)
minecraft.mined.composter: #24, 2(0%)
minecraft.picked_up.cooked_porkchop: #24, 66(0%)
minecraft.crafted.campfire: #24, 3(0%)
minecraft.crafted.crimson_planks: #24, 88(0%)
minecraft.crafted.armor_stand: #24, 2(0%)
minecraft.used.diamond_block: #24, 2(0%)
minecraft.picked_up.feather: #24, 12(0%)
minecraft.mined.acacia_log: #24, 8(0%)
minecraft.mined.bookshelf: #24, 5(0%)
minecraft.picked_up.crimson_roots: #24, 2(0%)
minecraft.used.player_head: #25, 18(1%)
minecraft.used.crossbow: #25, 6(0%)
minecraft.mined.player_wall_head: #25, 3(0%)
minecraft.mined.barrel: #25, 9(0%)
minecraft.crafted.birch_slab: #25, 12(0%)
minecraft.used.totem_of_undying: #25, 1(0%)
minecraft.used.campfire: #25, 3(0%)
minecraft.used.birch_sign: #25, 4(0%)
minecraft.mined.birch_wall_sign: #25, 1(0%)
minecraft.crafted.item_frame: #25, 6(0%)
minecraft.crafted.iron_bars: #25, 16(0%)
minecraft.crafted.cyan_dye: #25, 20(0%)
minecraft.used.flowering_azalea_leaves: #25, 4(0%)
minecraft.mined.calcite: #25, 12(0%)
minecraft.crafted.paper: #25, 126(0%)
minecraft.crafted.bow: #25, 1(0%)
minecraft.used.white_wool: #25, 5(0%)
minecraft.mined.crimson_stem: #25, 2(0%)
minecraft.picked_up.red_carpet: #25, 1(0%)
minecraft.picked_up.diamond_shovel: #26, 7(1%)
minecraft.picked_up.diamond_sword: #26, 8(1%)
minecraft.picked_up.golden_carrot: #26, 182(0%)
minecraft.dropped.golden_carrot: #26, 26(0%)
minecraft.used.elytra: #26, 3(0%)
minecraft.mined.player_head: #26, 3(0%)
minecraft.used.moss_carpet: #26, 28(0%)
minecraft.mined.pumpkin: #26, 11(0%)
