stat, rank, value, (percentage) 
minecraft.custom.fly_one_cm: #5, 136150745(5%)
minecraft.custom.time_since_rest: #7, 17103640(5%)
minecraft.custom.time_since_death: #7, 17103640(5%)
minecraft.custom.walk_on_water_one_cm: #25, 603092(0%)
minecraft.custom.walk_under_water_one_cm: #26, 931682(0%)
minecraft.custom.leave_game: #27, 383(1%)
minecraft.custom.play_time: #31, 17103640(1%)
minecraft.custom.total_world_time: #31, 17103640(1%)
minecraft.custom.sneak_time: #31, 100017(0%)
