stat, rank, value, (percentage) 
minecraft.crafted.red_sand: #1, 24(33%)
minecraft.mined.pink_bed: #2, 127(18%)
minecraft.dropped.wooden_axe: #2, 9(12%)
minecraft.used.smooth_sandstone: #2, 8545(11%)
minecraft.picked_up.cherry_trapdoor: #2, 26(31%)
minecraft.used.pink_carpet: #2, 1512(15%)
minecraft.crafted.prismarine_slab: #2, 246(35%)
minecraft.crafted.mossy_stone_bricks: #2, 930(9%)
minecraft.used.birch_log: #3, 2497(9%)
minecraft.mined.spruce_planks: #3, 1960(8%)
minecraft.mined.red_nether_bricks: #2, 56(20%)
minecraft.crafted.cherry_trapdoor: #2, 56(20%)
minecraft.used.cherry_trapdoor: #2, 67(26%)
minecraft.mined.cherry_trapdoor: #2, 27(39%)
minecraft.dropped.sea_lantern: #2, 320(11%)
minecraft.mined.yellow_wool: #3, 402(11%)
minecraft.dropped.jungle_slab: #2, 52(19%)
minecraft.crafted.light_blue_banner: #2, 14(19%)
minecraft.mined.smooth_quartz_stairs: #3, 117(10%)
minecraft.crafted.pink_terracotta: #3, 1793(13%)
minecraft.crafted.cod_bucket: #2, 24(29%)
minecraft.mined.gray_concrete_powder: #3, 115(13%)
minecraft.dropped.cauldron: #2, 9(16%)
minecraft.dropped.hopper: #3, 137(14%)
minecraft.custom.fish_caught: #2, 60(12%)
minecraft.dropped.birch_stairs: #2, 20(20%)
minecraft.crafted.wayfinder_armor_trim_smithing_template: #2, 6(23%)
minecraft.crafted.deepslate_bricks: #3, 4080(10%)
minecraft.used.pitcher_plant: #2, 22(12%)
minecraft.mined.prismarine_slab: #2, 72(46%)
minecraft.used.cherry_stairs: #2, 17(27%)
minecraft.picked_up.prismarine_stairs: #2, 9(33%)
minecraft.crafted.sandstone: #3, 4267(14%)
minecraft.used.prismarine_brick_slab: #2, 1333(12%)
minecraft.picked_up.cherry_slab: #2, 11(32%)
minecraft.picked_up.prismarine_slab: #2, 61(42%)
minecraft.used.pink_petals: #2, 460(11%)
minecraft.crafted.wooden_axe: #2, 8(6%)
minecraft.used.red_wool: #3, 991(10%)
minecraft.crafted.chiseled_stone_bricks: #3, 1860(10%)
minecraft.used.light_blue_banner: #2, 11(19%)
minecraft.crafted.raiser_armor_trim_smithing_template: #2, 6(23%)
minecraft.used.nether_sprouts: #2, 38(23%)
minecraft.mined.prismarine_stairs: #2, 9(28%)
minecraft.picked_up.smooth_sandstone: #3, 1280(11%)
minecraft.mined.pink_glazed_terracotta: #2, 30(26%)
minecraft.crafted.small_dripleaf: #2, 10(25%)
minecraft.used.smooth_quartz: #4, 3492(11%)
minecraft.crafted.cooked_salmon: #3, 129(15%)
minecraft.used.cherry_leaves: #3, 1147(15%)
minecraft.crafted.prismarine_stairs: #2, 8(24%)
minecraft.used.trident: #3, 1347(9%)
minecraft.picked_up.cherry_boat: #3, 20(17%)
minecraft.dropped.wooden_sword: #3, 59(9%)
minecraft.mined.birch_button: #2, 7(10%)
minecraft.picked_up.pink_candle: #2, 10(9%)
minecraft.crafted.pink_stained_glass: #3, 1728(12%)
minecraft.used.weathered_cut_copper: #2, 28(7%)
minecraft.crafted.cherry_fence_gate: #2, 2(20%)
minecraft.dropped.light_blue_stained_glass: #3, 44(25%)
minecraft.mined.potted_oak_sapling: #2, 5(25%)
minecraft.dropped.wet_sponge: #2, 21(12%)
minecraft.mined.potted_cherry_sapling: #2, 1(33%)
minecraft.mined.cherry_sign: #2, 1(33%)
minecraft.dropped.chiseled_bookshelf: #2, 1(33%)
minecraft.crafted.brewing_stand: #4, 66(11%)
minecraft.used.polished_diorite: #3, 1175(8%)
minecraft.mined.polished_diorite_slab: #2, 9(6%)
minecraft.crafted.polished_diorite: #3, 1572(8%)
minecraft.used.acacia_planks: #2, 516(3%)
minecraft.picked_up.dried_kelp: #2, 192(4%)
minecraft.picked_up.spruce_leaves: #4, 6708(9%)
minecraft.mined.attached_melon_stem: #2, 1(10%)
minecraft.picked_up.black_bed: #3, 59(8%)
minecraft.mined.pink_carpet: #2, 46(4%)
minecraft.picked_up.wooden_hoe: #3, 8(10%)
minecraft.mined.cauldron: #3, 24(6%)
minecraft.broken.iron_sword: #3, 3(11%)
minecraft.dropped.wooden_hoe: #3, 7(11%)
minecraft.crafted.lectern: #4, 118(10%)
minecraft.used.iron_sword: #4, 1040(8%)
minecraft.mined.birch_sapling: #4, 51(10%)
minecraft.mined.black_bed: #3, 56(8%)
minecraft.dropped.dried_kelp: #2, 64(1%)
minecraft.dropped.golden_leggings: #3, 26(6%)
minecraft.picked_up.pink_stained_glass: #3, 149(9%)
minecraft.used.cobblestone_stairs: #4, 519(10%)
minecraft.picked_up.sponge: #3, 837(7%)
