stat, rank, value, (percentage) 
minecraft.picked_up.sweet_berries: #8, 1968(6%)
minecraft.picked_up.netherite_axe: #7, 16(5%)
minecraft.custom.climb_one_cm: #8, 3601854(4%)
minecraft.mined.farmland: #7, 40(4%)
minecraft.mined.diorite_slab: #7, 7(8%)
minecraft.picked_up.cherry_sapling: #7, 155(5%)
minecraft.used.dark_oak_sapling: #7, 325(4%)
minecraft.used.spruce_sapling: #7, 626(3%)
minecraft.mined.glow_lichen: #7, 949(3%)
minecraft.mined.cherry_log: #7, 389(4%)
minecraft.crafted.mossy_cobblestone_stairs: #7, 24(6%)
minecraft.used.glow_item_frame: #7, 94(4%)
minecraft.used.end_rod: #7, 190(3%)
minecraft.mined.birch_planks: #7, 438(3%)
minecraft.dropped.netherite_pickaxe: #7, 7(3%)
minecraft.picked_up.birch_slab: #7, 88(4%)
minecraft.picked_up.phantom_membrane: #7, 36(3%)
minecraft.picked_up.glow_item_frame: #7, 56(3%)
minecraft.crafted.dark_prismarine_slab: #7, 60(5%)
minecraft.mined.decorated_pot: #7, 15(5%)
minecraft.mined.stone_brick_stairs: #7, 70(3%)
minecraft.used.spruce_slab: #8, 2735(6%)
minecraft.used.crimson_planks: #7, 284(3%)
minecraft.crafted.dark_oak_slab: #7, 1224(2%)
minecraft.killed_by.cave_spider: #7, 1(6%)
minecraft.used.warped_slab: #7, 372(4%)
minecraft.used.string: #7, 764(3%)
minecraft.used.cyan_stained_glass_pane: #7, 46(5%)
minecraft.crafted.decorated_pot: #7, 26(4%)
minecraft.crafted.wooden_sword: #7, 62(3%)
minecraft.picked_up.pink_dye: #7, 46(4%)
minecraft.mined.dark_oak_slab: #8, 169(6%)
minecraft.used.leather_chestplate: #7, 2(4%)
minecraft.used.cod: #7, 4(5%)
minecraft.used.sandstone: #7, 966(2%)
minecraft.picked_up.stone_shovel: #7, 3(3%)
minecraft.crafted.conduit: #7, 1(6%)
minecraft.picked_up.orange_dye: #7, 53(4%)
minecraft.dropped.netherite_hoe: #7, 1(4%)
minecraft.crafted.quartz_block: #8, 6090(5%)
minecraft.picked_up.warped_fence: #7, 22(3%)
minecraft.dropped.netherite_shovel: #7, 2(4%)
minecraft.used.dark_oak_wood: #7, 168(3%)
minecraft.used.blue_bed: #7, 14(3%)
minecraft.crafted.smooth_quartz_slab: #7, 242(3%)
minecraft.picked_up.sniffer_egg: #7, 4(3%)
minecraft.mined.tnt: #7, 60(2%)
minecraft.crafted.cauldron: #7, 91(2%)
minecraft.used.white_terracotta: #7, 426(2%)
minecraft.picked_up.oak_wood: #7, 31(3%)
minecraft.used.allium: #7, 5(3%)
minecraft.used.sniffer_egg: #7, 4(3%)
minecraft.used.leather_helmet: #7, 1(4%)
minecraft.mined.cobbled_deepslate: #8, 1054(5%)
minecraft.killed_by.player: #8, 87(3%)
minecraft.picked_up.spruce_door: #8, 22(5%)
minecraft.picked_up.diamond_helmet: #8, 20(4%)
minecraft.used.cyan_shulker_box: #8, 386(4%)
minecraft.mined.green_concrete_powder: #7, 42(2%)
minecraft.used.green_terracotta: #7, 789(1%)
minecraft.killed_by.drowned: #8, 7(5%)
minecraft.mined.conduit: #7, 1(4%)
minecraft.mined.sandstone_stairs: #7, 10(3%)
minecraft.picked_up.birch_log: #8, 5090(4%)
minecraft.used.birch_button: #7, 17(2%)
minecraft.dropped.jukebox: #7, 1(4%)
minecraft.crafted.birch_fence_gate: #7, 20(2%)
minecraft.dropped.glow_lichen: #7, 26(2%)
minecraft.dropped.black_shulker_box: #7, 1(2%)
minecraft.used.grass_block: #8, 23060(4%)
minecraft.picked_up.water_bucket: #8, 50(4%)
minecraft.picked_up.birch_sapling: #8, 1082(4%)
minecraft.used.purple_bed: #7, 14(2%)
minecraft.mined.cherry_sapling: #7, 7(2%)
minecraft.used.golden_sword: #7, 2(3%)
minecraft.used.chiseled_bookshelf: #7, 14(2%)
minecraft.used.music_disc_chirp: #7, 2(3%)
minecraft.mined.torchflower: #7, 5(2%)
minecraft.mined.smooth_quartz_slab: #8, 111(6%)
minecraft.picked_up.pink_wool: #7, 59(1%)
minecraft.used.brain_coral: #7, 3(1%)
minecraft.mined.end_rod: #8, 109(4%)
minecraft.used.brick_stairs: #7, 12(1%)
minecraft.dropped.glass_pane: #7, 14(1%)
minecraft.picked_up.cherry_planks: #7, 5(2%)
minecraft.used.sculk_vein: #7, 38(1%)
minecraft.used.glow_berries: #8, 163(4%)
minecraft.used.stonecutter: #8, 90(4%)
minecraft.killed.frog: #7, 1(1%)
minecraft.dropped.deepslate_brick_wall: #7, 5(1%)
minecraft.dropped.map: #7, 2(0%)
minecraft.picked_up.white_tulip: #7, 10(0%)
minecraft.picked_up.stone_axe: #8, 4(5%)
minecraft.used.warped_hanging_sign: #7, 1(0%)
minecraft.used.smooth_sandstone_stairs: #7, 28(0%)
minecraft.mined.dried_kelp_block: #7, 1(1%)
minecraft.used.golden_carrot: #9, 2517(4%)
minecraft.picked_up.polished_granite_stairs: #7, 2(0%)
minecraft.dropped.smithing_table: #7, 1(0%)
minecraft.dropped.fern: #7, 1(0%)
minecraft.picked_up.white_glazed_terracotta: #7, 2(0%)
minecraft.used.raw_iron_block: #7, 14(0%)
minecraft.mined.kelp: #8, 234(4%)
minecraft.used.stone_bricks: #8, 5403(4%)
minecraft.dropped.iron_pickaxe: #8, 4(4%)
minecraft.picked_up.stonecutter: #8, 74(3%)
minecraft.picked_up.dark_oak_slab: #8, 320(3%)
minecraft.picked_up.green_concrete: #8, 456(4%)
minecraft.used.map: #8, 30(4%)
minecraft.used.pearlescent_froglight: #8, 203(4%)
minecraft.crafted.warped_fence: #8, 108(5%)
minecraft.mined.glass_pane: #8, 39(4%)
minecraft.mined.dark_oak_fence: #8, 80(4%)
minecraft.mined.spruce_trapdoor: #8, 181(3%)
minecraft.crafted.smooth_quartz: #8, 820(4%)
minecraft.used.honey_bottle: #8, 32(4%)
minecraft.picked_up.birch_planks: #8, 484(2%)
minecraft.dropped.cooked_beef: #8, 62(4%)
minecraft.used.big_dripleaf: #8, 31(4%)
minecraft.used.decorated_pot: #8, 37(5%)
minecraft.killed_by.ravager: #9, 77(5%)
minecraft.mined.cartography_table: #8, 6(4%)
minecraft.crafted.deepslate_brick_stairs: #8, 59(3%)
minecraft.dropped.netherite_leggings: #8, 2(4%)
minecraft.picked_up.lime_wool: #8, 134(3%)
minecraft.picked_up.chainmail_helmet: #8, 4(3%)
minecraft.picked_up.glass_pane: #8, 81(3%)
minecraft.dropped.cobblestone_stairs: #8, 24(4%)
minecraft.crafted.quartz_slab: #8, 168(4%)
minecraft.picked_up.golden_carrot: #9, 1419(4%)
minecraft.picked_up.iron_nugget: #9, 3660(4%)
minecraft.used.quartz_stairs: #8, 110(3%)
minecraft.crafted.bookshelf: #8, 584(2%)
minecraft.picked_up.acacia_planks: #8, 74(3%)
minecraft.dropped.bundle: #8, 14(2%)
minecraft.crafted.dripstone_block: #8, 448(3%)
minecraft.mined.blue_bed: #8, 13(3%)
minecraft.picked_up.blue_bed: #8, 13(3%)
minecraft.picked_up.compass: #9, 178(4%)
minecraft.dropped.item_frame: #8, 9(2%)
minecraft.crafted.quartz_stairs: #8, 32(3%)
minecraft.custom.interact_with_brewingstand: #8, 192(2%)
minecraft.dropped.netherite_sword: #8, 2(3%)
minecraft.crafted.dark_oak_wood: #8, 177(2%)
minecraft.broken.stone_pickaxe: #8, 2(3%)
minecraft.mined.cave_vines_plant: #8, 34(2%)
minecraft.crafted.birch_button: #8, 22(3%)
minecraft.custom.pot_flower: #9, 81(5%)
minecraft.mined.crimson_slab: #8, 56(2%)
minecraft.crafted.flower_pot: #8, 104(2%)
minecraft.picked_up.beetroot_seeds: #8, 129(2%)
minecraft.picked_up.diorite_slab: #8, 8(4%)
minecraft.dropped.yellow_shulker_box: #8, 1(4%)
minecraft.dropped.compass: #9, 146(5%)
minecraft.used.cherry_log: #8, 54(2%)
minecraft.picked_up.jungle_slab: #8, 52(3%)
minecraft.mined.polished_diorite_stairs: #8, 4(4%)
minecraft.mined.cherry_leaves: #8, 578(2%)
minecraft.dropped.baked_potato: #8, 7(2%)
minecraft.picked_up.tadpole_bucket: #8, 3(4%)
minecraft.crafted.birch_wood: #8, 81(2%)
minecraft.dropped.soul_soil: #8, 64(2%)
minecraft.dropped.arrow: #8, 1721(1%)
minecraft.mined.crimson_stairs: #8, 8(2%)
minecraft.used.flower_pot: #9, 100(5%)
minecraft.picked_up.sandstone_stairs: #8, 10(2%)
minecraft.picked_up.snort_pottery_sherd: #8, 1(3%)
minecraft.used.orange_wool: #8, 169(1%)
minecraft.used.birch_fence_gate: #8, 20(2%)
minecraft.used.spruce_sign: #9, 106(4%)
minecraft.picked_up.purple_wool: #8, 65(2%)
minecraft.picked_up.mud_brick_wall: #8, 4(2%)
minecraft.picked_up.pink_terracotta: #8, 30(1%)
minecraft.used.crimson_stairs: #8, 40(1%)
minecraft.picked_up.conduit: #8, 1(3%)
minecraft.picked_up.cyan_shulker_box: #9, 281(4%)
minecraft.picked_up.oxidized_cut_copper_slab: #8, 26(1%)
minecraft.used.melon_seeds: #8, 5(2%)
minecraft.used.light_blue_stained_glass_pane: #8, 27(2%)
minecraft.crafted.chiseled_bookshelf: #8, 15(2%)
minecraft.mined.diorite_wall: #8, 4(2%)
minecraft.used.dragon_head: #8, 1(2%)
minecraft.crafted.soul_campfire: #8, 21(2%)
minecraft.mined.redstone_lamp: #9, 46(5%)
minecraft.crafted.bowl: #8, 16(2%)
minecraft.mined.twisting_vines: #8, 9(1%)
minecraft.used.oxeye_daisy: #8, 1(2%)
minecraft.picked_up.torchflower: #8, 5(1%)
minecraft.picked_up.cyan_carpet: #8, 29(1%)
minecraft.crafted.mud_brick_slab: #8, 24(1%)
minecraft.mined.yellow_stained_glass: #8, 17(1%)
minecraft.mined.birch_wood: #8, 2(2%)
minecraft.used.twisting_vines: #8, 12(1%)
minecraft.crafted.dried_kelp: #8, 128(1%)
minecraft.mined.stripped_dark_oak_wood: #8, 16(1%)
minecraft.mined.player_head: #9, 44(3%)
minecraft.picked_up.pitcher_pod: #8, 23(1%)
minecraft.picked_up.jungle_door: #8, 1(1%)
minecraft.picked_up.blue_stained_glass_pane: #8, 2(1%)
minecraft.dropped.purpur_pillar: #8, 2(1%)
minecraft.picked_up.smoker: #8, 1(1%)
minecraft.dropped.nether_gold_ore: #8, 5(1%)
minecraft.mined.cyan_shulker_box: #9, 270(4%)
minecraft.picked_up.stripped_dark_oak_wood: #8, 15(1%)
minecraft.picked_up.magenta_terracotta: #8, 17(1%)
minecraft.mined.frosted_ice: #8, 1(1%)
minecraft.dropped.potato: #8, 16(0%)
minecraft.crafted.brick_wall: #8, 6(1%)
minecraft.used.sandstone_wall: #8, 55(1%)
minecraft.mined.quartz_block: #8, 56(0%)
minecraft.dropped.golden_carrot: #9, 329(3%)
minecraft.used.dried_kelp: #8, 4(1%)
minecraft.picked_up.magenta_stained_glass_pane: #8, 1(1%)
minecraft.picked_up.dried_kelp_block: #8, 3(1%)
minecraft.dropped.note_block: #8, 1(1%)
minecraft.used.sculk_shrieker: #8, 3(0%)
minecraft.picked_up.pink_concrete_powder: #8, 23(0%)
minecraft.picked_up.scaffolding: #9, 9191(4%)
minecraft.used.bubble_coral: #8, 1(0%)
minecraft.picked_up.red_concrete_powder: #8, 30(0%)
minecraft.used.cracked_deepslate_bricks: #8, 31(0%)
minecraft.used.calcite: #9, 872(4%)
minecraft.picked_up.netherite_boots: #9, 20(4%)
minecraft.crafted.brick_slab: #8, 18(0%)
minecraft.picked_up.wither_rose: #8, 4(0%)
minecraft.picked_up.lime_carpet: #8, 24(0%)
minecraft.used.light_weighted_pressure_plate: #8, 8(0%)
minecraft.picked_up.light_blue_carpet: #8, 2(0%)
minecraft.picked_up.red_wool: #9, 489(4%)
minecraft.killed_by.warden: #9, 11(4%)
minecraft.dropped.shield: #9, 4(4%)
minecraft.dropped.stone_pickaxe: #9, 4(3%)
minecraft.used.baked_potato: #9, 207(4%)
minecraft.used.podzol: #9, 145(4%)
minecraft.used.iron_leggings: #9, 3(3%)
minecraft.used.deepslate_bricks: #9, 3088(3%)
minecraft.picked_up.peony: #9, 380(3%)
minecraft.crafted.pink_dye: #9, 1029(3%)
minecraft.used.warped_fence: #9, 94(5%)
minecraft.picked_up.smooth_quartz_slab: #9, 130(3%)
minecraft.used.bookshelf: #9, 533(2%)
minecraft.crafted.netherite_pickaxe: #9, 2(5%)
minecraft.picked_up.leather_leggings: #9, 13(3%)
minecraft.used.cooked_porkchop: #9, 784(2%)
minecraft.mined.birch_fence_gate: #9, 8(5%)
minecraft.picked_up.bread: #9, 370(3%)
minecraft.mined.cave_vines: #9, 56(2%)
minecraft.crafted.coarse_dirt: #9, 1120(2%)
minecraft.used.diamond_block: #9, 107(3%)
minecraft.used.netherite_axe: #9, 19243(5%)
minecraft.used.mossy_cobblestone: #9, 450(3%)
minecraft.crafted.oak_wood: #9, 228(3%)
minecraft.dropped.spruce_door: #9, 5(4%)
minecraft.mined.birch_slab: #9, 19(3%)
minecraft.mined.stone_stairs: #9, 57(2%)
minecraft.picked_up.campfire: #9, 40(3%)
minecraft.used.sea_pickle: #9, 62(2%)
minecraft.mined.soul_lantern: #9, 15(3%)
minecraft.used.potion: #9, 128(1%)
minecraft.crafted.spruce_boat: #9, 7(2%)
minecraft.picked_up.podzol: #9, 396(2%)
minecraft.mined.redstone_torch: #9, 53(2%)
minecraft.used.glass_bottle: #9, 189(2%)
minecraft.used.coarse_dirt: #9, 768(2%)
minecraft.picked_up.fishing_rod: #9, 3(3%)
minecraft.picked_up.flower_pot: #9, 47(2%)
minecraft.picked_up.polished_diorite: #9, 98(2%)
minecraft.mined.stone_brick_slab: #9, 73(2%)
minecraft.crafted.golden_leggings: #9, 2(3%)
minecraft.dropped.netherite_axe: #9, 2(2%)
minecraft.crafted.green_stained_glass_pane: #9, 64(3%)
minecraft.picked_up.dark_oak_wood: #9, 33(3%)
minecraft.mined.stone_bricks: #9, 629(2%)
minecraft.crafted.stonecutter: #9, 19(1%)
minecraft.crafted.light_blue_stained_glass_pane: #9, 64(2%)
minecraft.used.blue_stained_glass: #9, 27(3%)
minecraft.dropped.spruce_boat: #9, 3(2%)
minecraft.used.deepslate_tile_stairs: #9, 200(2%)
minecraft.dropped.dark_prismarine: #9, 18(3%)
minecraft.crafted.brush: #9, 2(2%)
minecraft.used.cherry_sapling: #9, 31(2%)
minecraft.picked_up.warped_slab: #9, 73(2%)
minecraft.used.smoker: #9, 3(2%)
minecraft.mined.diamond_block: #9, 42(1%)
minecraft.dropped.chainmail_leggings: #9, 2(2%)
minecraft.used.mud_brick_wall: #9, 26(2%)
minecraft.crafted.fletching_table: #9, 3(2%)
minecraft.used.lily_of_the_valley: #9, 3(2%)
minecraft.mined.dark_oak_button: #9, 3(2%)
minecraft.crafted.cobblestone_slab: #9, 156(1%)
minecraft.mined.bamboo_planks: #9, 1(2%)
minecraft.picked_up.shield: #10, 12(4%)
minecraft.mined.green_terracotta: #9, 147(1%)
minecraft.picked_up.birch_fence_gate: #9, 7(2%)
minecraft.used.soul_sand: #9, 258(1%)
minecraft.mined.weeping_vines: #9, 14(1%)
minecraft.used.light_gray_terracotta: #9, 108(1%)
minecraft.used.green_stained_glass_pane: #9, 32(2%)
minecraft.used.green_concrete: #9, 188(1%)
minecraft.killed.tropical_fish: #9, 4(1%)
minecraft.picked_up.gray_concrete_powder: #9, 154(1%)
minecraft.mined.warped_fence: #9, 7(1%)
minecraft.crafted.prismarine_wall: #9, 6(2%)
minecraft.dropped.flower_pot: #9, 5(2%)
minecraft.crafted.diorite_wall: #9, 24(1%)
minecraft.dropped.sweet_berries: #9, 27(1%)
minecraft.picked_up.sandstone_wall: #9, 11(1%)
minecraft.used.fletching_table: #9, 3(1%)
minecraft.picked_up.polished_diorite_stairs: #9, 4(1%)
minecraft.picked_up.purple_terracotta: #9, 28(1%)
minecraft.used.jungle_door: #9, 1(1%)
minecraft.mined.pumpkin_stem: #9, 1(1%)
minecraft.crafted.polished_diorite_stairs: #9, 4(1%)
minecraft.used.magenta_terracotta: #9, 17(1%)
minecraft.used.purple_terracotta: #9, 28(1%)
minecraft.used.fire_coral_fan: #9, 3(1%)
minecraft.mined.cyan_stained_glass_pane: #9, 1(1%)
minecraft.dropped.yellow_wool: #9, 8(1%)
minecraft.crafted.polished_blackstone_brick_stairs: #9, 4(1%)
minecraft.picked_up.small_dripleaf: #9, 2(1%)
minecraft.crafted.spruce_sign: #10, 93(4%)
minecraft.mined.dark_oak_stairs: #10, 86(4%)
minecraft.used.raw_gold_block: #9, 13(0%)
minecraft.dropped.bamboo_planks: #9, 1(1%)
minecraft.picked_up.end_rod: #10, 163(4%)
minecraft.picked_up.green_concrete_powder: #9, 42(0%)
minecraft.used.purpur_stairs: #9, 1(0%)
minecraft.used.crimson_roots: #9, 2(0%)
minecraft.dropped.warped_slab: #9, 1(0%)
minecraft.used.brick_slab: #9, 17(0%)
minecraft.picked_up.light_weighted_pressure_plate: #9, 8(0%)
minecraft.used.lapis_block: #9, 6(0%)
minecraft.used.spruce_log: #10, 1521(3%)
minecraft.used.redstone_lamp: #10, 145(4%)
minecraft.mined.birch_leaves: #10, 2453(3%)
minecraft.used.scaffolding: #10, 8431(3%)
minecraft.used.dripstone_block: #10, 226(4%)
minecraft.picked_up.polished_deepslate_stairs: #10, 151(3%)
minecraft.used.wooden_pickaxe: #10, 16(3%)
minecraft.crafted.baked_potato: #10, 227(4%)
minecraft.used.poppy: #10, 16(3%)
minecraft.mined.birch_sign: #10, 10(3%)
minecraft.crafted.smooth_stone: #10, 357(2%)
minecraft.picked_up.chainmail_chestplate: #10, 4(4%)
minecraft.picked_up.dark_oak_fence: #10, 94(2%)
minecraft.mined.deepslate_bricks: #10, 342(2%)
minecraft.picked_up.birch_stairs: #10, 22(3%)
minecraft.mined.tall_seagrass: #10, 121(2%)
minecraft.picked_up.soul_soil: #10, 659(2%)
minecraft.dropped.diamond_hoe: #10, 2(3%)
minecraft.crafted.cobblestone_stairs: #10, 62(3%)
minecraft.picked_up.spruce_boat: #10, 17(2%)
minecraft.killed_by.piglin: #10, 1(4%)
minecraft.mined.mossy_cobblestone: #10, 146(2%)
minecraft.crafted.crafting_table: #11, 122(4%)
minecraft.crafted.glow_item_frame: #10, 38(2%)
minecraft.crafted.warped_slab: #10, 360(2%)
minecraft.mined.soul_soil: #10, 649(2%)
minecraft.crafted.note_block: #10, 96(2%)
minecraft.used.note_block: #10, 88(2%)
minecraft.used.hay_block: #10, 22(2%)
minecraft.picked_up.cartography_table: #10, 6(2%)
minecraft.picked_up.shelter_pottery_sherd: #10, 2(4%)
minecraft.custom.play_noteblock: #10, 83(1%)
minecraft.mined.cobbled_deepslate_stairs: #10, 16(2%)
minecraft.picked_up.oak_leaves: #10, 1435(1%)
minecraft.mined.gold_block: #10, 87(2%)
minecraft.used.sculk_sensor: #10, 8(2%)
minecraft.used.leather_leggings: #10, 1(2%)
minecraft.mined.quartz_slab: #10, 44(2%)
minecraft.mined.podzol: #10, 478(1%)
minecraft.mined.quartz_stairs: #10, 9(2%)
minecraft.custom.boat_one_cm: #11, 13852894(4%)
minecraft.crafted.loom: #10, 33(2%)
minecraft.dropped.spruce_sapling: #10, 44(1%)
minecraft.dropped.red_dye: #10, 16(2%)
minecraft.picked_up.arrow: #11, 3248(3%)
minecraft.dropped.carrot: #10, 405(1%)
minecraft.picked_up.crimson_slab: #10, 74(2%)
minecraft.picked_up.iron_horse_armor: #10, 1(2%)
minecraft.crafted.crimson_stairs: #10, 48(2%)
minecraft.mined.acacia_sign: #10, 1(2%)
minecraft.crafted.polished_granite: #10, 256(1%)
minecraft.used.oxidized_cut_copper_stairs: #10, 70(1%)
minecraft.crafted.stone_brick_stairs: #10, 79(1%)
minecraft.used.diorite_wall: #10, 59(2%)
minecraft.dropped.stonecutter: #10, 1(2%)
minecraft.mined.spruce_button: #10, 2(1%)
minecraft.mined.pearlescent_froglight: #10, 11(1%)
minecraft.mined.nether_sprouts: #10, 41(1%)
minecraft.used.red_terracotta: #10, 476(1%)
minecraft.picked_up.green_terracotta: #10, 150(1%)
minecraft.dropped.porkchop: #10, 8(1%)
minecraft.picked_up.redstone_lamp: #11, 79(5%)
minecraft.picked_up.oxidized_cut_copper_stairs: #10, 11(1%)
minecraft.picked_up.crimson_stairs: #10, 8(1%)
minecraft.picked_up.fern: #10, 109(1%)
minecraft.crafted.player_head: #10, 120(1%)
minecraft.used.stone_shovel: #10, 140(1%)
minecraft.used.mossy_cobblestone_stairs: #10, 17(1%)
minecraft.used.crimson_slab: #10, 251(1%)
minecraft.mined.suspicious_gravel: #10, 4(1%)
minecraft.picked_up.sculk: #10, 321(1%)
minecraft.crafted.beehive: #10, 20(1%)
minecraft.mined.blue_orchid: #10, 8(1%)
minecraft.used.brown_terracotta: #10, 141(1%)
minecraft.crafted.cooked_chicken: #10, 21(1%)
minecraft.used.azure_bluet: #10, 9(1%)
minecraft.picked_up.lily_of_the_valley: #10, 15(0%)
minecraft.mined.fletching_table: #10, 1(1%)
minecraft.picked_up.fletching_table: #10, 1(1%)
minecraft.used.brain_coral_fan: #10, 3(0%)
minecraft.picked_up.sculk_vein: #10, 60(0%)
minecraft.used.raw_copper_block: #10, 7(0%)
minecraft.mined.green_stained_glass: #10, 6(0%)
minecraft.dropped.white_carpet: #10, 4(0%)
minecraft.mined.cyan_wool: #10, 3(0%)
minecraft.mined.daylight_detector: #10, 1(1%)
minecraft.used.green_stained_glass: #10, 25(0%)
minecraft.picked_up.blue_stained_glass: #10, 3(0%)
minecraft.dropped.white_banner: #10, 16(0%)
minecraft.used.mossy_stone_brick_stairs: #10, 6(0%)
minecraft.picked_up.jungle_fence_gate: #10, 1(0%)
minecraft.dropped.stone_brick_stairs: #10, 2(0%)
minecraft.picked_up.yellow_candle: #10, 1(0%)
minecraft.picked_up.diorite_wall: #10, 3(0%)
minecraft.picked_up.raw_gold_block: #10, 6(0%)
minecraft.dropped.spectral_arrow: #10, 21(0%)
minecraft.mined.mycelium: #10, 32(0%)
minecraft.picked_up.cyan_wool: #10, 3(0%)
minecraft.crafted.dried_kelp_block: #10, 7(0%)
minecraft.used.melon: #10, 7(0%)
minecraft.mined.yellow_concrete_powder: #10, 2(0%)
minecraft.used.honeycomb_block: #10, 3(0%)
minecraft.dropped.sea_pickle: #10, 1(0%)
minecraft.used.yellow_candle: #10, 1(0%)
minecraft.crafted.firework_star: #10, 4(0%)
minecraft.killed.evoker: #10, 1(0%)
minecraft.crafted.air: #10, 0(0%)
minecraft.picked_up.spruce_stairs: #11, 189(3%)
minecraft.dropped.birch_log: #11, 110(4%)
minecraft.picked_up.spruce_sign: #11, 44(3%)
minecraft.used.wooden_axe: #11, 35(4%)
minecraft.picked_up.purple_shulker_box: #11, 59(4%)
minecraft.picked_up.iron_sword: #11, 8(3%)
minecraft.dropped.spruce_planks: #11, 114(3%)
minecraft.mined.purple_shulker_box: #11, 58(4%)
minecraft.used.stone_pickaxe: #11, 383(3%)
minecraft.used.purple_shulker_box: #11, 60(4%)
minecraft.picked_up.netherite_pickaxe: #11, 23(3%)
minecraft.mined.spruce_wall_sign: #11, 17(3%)
minecraft.custom.deaths: #12, 248(4%)
minecraft.mined.stone_slab: #11, 424(3%)
minecraft.broken.iron_axe: #11, 3(3%)
minecraft.custom.enchant_item: #11, 47(2%)
minecraft.used.andesite_stairs: #11, 88(3%)
minecraft.picked_up.bundle: #11, 28(2%)
minecraft.used.dark_oak_log: #11, 997(2%)
minecraft.used.birch_trapdoor: #11, 52(3%)
minecraft.used.spruce_boat: #11, 16(2%)
minecraft.used.smooth_stone: #11, 523(2%)
minecraft.crafted.polished_andesite: #11, 1024(2%)
minecraft.picked_up.deepslate_tile_stairs: #11, 79(2%)
minecraft.picked_up.diamond_hoe: #11, 7(2%)
minecraft.mined.soul_sand: #11, 839(2%)
minecraft.picked_up.note_block: #11, 32(2%)
minecraft.picked_up.music_disc_otherside: #11, 5(2%)
minecraft.mined.loom: #11, 5(2%)
minecraft.crafted.blue_shulker_box: #11, 2(2%)
minecraft.picked_up.dark_oak_door: #11, 7(2%)
minecraft.mined.green_concrete: #11, 378(2%)
minecraft.used.bundle: #11, 35(2%)
minecraft.used.stone_stairs: #11, 212(1%)
minecraft.mined.birch_wall_sign: #11, 17(1%)
minecraft.mined.cobblestone_wall: #11, 26(1%)
minecraft.crafted.birch_trapdoor: #11, 50(2%)
minecraft.mined.warped_roots: #11, 83(1%)
minecraft.picked_up.blue_shulker_box: #11, 78(2%)
minecraft.used.blue_shulker_box: #11, 77(2%)
minecraft.mined.candle: #11, 2(2%)
minecraft.mined.light_gray_shulker_box: #11, 44(1%)
minecraft.picked_up.light_gray_shulker_box: #11, 45(1%)
minecraft.mined.blue_shulker_box: #11, 76(2%)
minecraft.dropped.filled_map: #11, 704(1%)
minecraft.crafted.spruce_slab: #12, 3168(5%)
minecraft.picked_up.book: #11, 719(1%)
minecraft.crafted.brick: #11, 1570(1%)
minecraft.dropped.poisonous_potato: #11, 1(2%)
minecraft.used.apple: #11, 7(1%)
minecraft.mined.enchanting_table: #11, 1(2%)
minecraft.picked_up.enchanting_table: #11, 1(2%)
minecraft.used.tadpole_bucket: #11, 3(2%)
minecraft.crafted.smoker: #11, 3(1%)
minecraft.dropped.brown_mushroom: #11, 15(1%)
minecraft.crafted.bone_block: #11, 2160(1%)
minecraft.mined.jungle_fence_gate: #11, 1(2%)
minecraft.dropped.bread: #11, 393(1%)
minecraft.picked_up.ladder: #12, 293(4%)
minecraft.picked_up.quartz_stairs: #11, 9(1%)
minecraft.picked_up.music_disc_chirp: #11, 2(2%)
minecraft.picked_up.green_candle: #11, 1(2%)
minecraft.picked_up.diamond_horse_armor: #11, 1(2%)
minecraft.picked_up.quartz_block: #11, 224(1%)
minecraft.used.crafting_table: #12, 262(3%)
minecraft.crafted.spyglass: #11, 1(1%)
minecraft.mined.blue_wool: #11, 15(1%)
minecraft.used.amethyst_cluster: #11, 23(1%)
minecraft.dropped.spruce_leaves: #11, 30(1%)
minecraft.dropped.sugar_cane: #11, 74(1%)
minecraft.crafted.stone_sword: #11, 3(1%)
minecraft.used.cooked_chicken: #11, 20(1%)
minecraft.mined.torch: #12, 875(3%)
minecraft.custom.sprint_one_cm: #13, 115027749(4%)
minecraft.crafted.smooth_quartz_stairs: #11, 28(1%)
minecraft.picked_up.brain_coral: #11, 3(1%)
minecraft.crafted.green_dye: #11, 133(1%)
minecraft.used.dark_oak_button: #11, 17(1%)
minecraft.used.ladder: #12, 332(4%)
minecraft.used.cut_copper: #11, 29(1%)
minecraft.used.purpur_block: #11, 8(1%)
minecraft.picked_up.light_blue_terracotta: #11, 36(1%)
minecraft.mined.sculk: #11, 314(0%)
minecraft.used.terracotta: #11, 136(0%)
minecraft.dropped.bone_block: #11, 23(1%)
minecraft.used.warped_nylium: #11, 16(0%)
minecraft.used.mud_brick_slab: #11, 26(1%)
minecraft.picked_up.wooden_shovel: #11, 1(1%)
minecraft.used.mangrove_leaves: #11, 43(0%)
minecraft.mined.water_cauldron: #11, 1(1%)
minecraft.crafted.cake: #11, 1(1%)
minecraft.used.tube_coral: #11, 1(1%)
minecraft.mined.dark_prismarine_slab: #11, 13(0%)
minecraft.crafted.chiseled_deepslate: #11, 2(0%)
minecraft.picked_up.copper_ingot: #11, 143(0%)
minecraft.dropped.gold_ingot: #11, 82(0%)
minecraft.dropped.green_terracotta: #11, 7(0%)
minecraft.used.tube_coral_block: #11, 6(0%)
minecraft.used.pumpkin_seeds: #11, 14(0%)
minecraft.mined.sculk_shrieker: #11, 3(0%)
minecraft.mined.light_gray_carpet: #11, 10(0%)
