stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_stairs: #16, 33(1%)
minecraft.crafted.spruce_fence_gate: #16, 24(1%)
minecraft.used.acacia_button: #16, 2(1%)
minecraft.dropped.lapis_lazuli: #16, 31(1%)
minecraft.picked_up.yellow_concrete: #16, 62(0%)
minecraft.crafted.soul_lantern: #16, 23(0%)
minecraft.picked_up.warped_fence: #16, 4(1%)
minecraft.mined.yellow_concrete: #16, 52(0%)
minecraft.picked_up.enchanted_book: #16, 5(0%)
minecraft.crafted.smooth_sandstone: #16, 33(0%)
minecraft.dropped.raw_iron: #16, 6(0%)
minecraft.dropped.oak_sign: #16, 2(0%)
minecraft.used.yellow_concrete: #16, 37(0%)
minecraft.picked_up.weathered_copper: #16, 8(0%)
minecraft.mined.weathered_copper: #16, 8(0%)
minecraft.crafted.leather_chestplate: #16, 2(0%)
minecraft.mined.soul_lantern: #16, 1(0%)
minecraft.crafted.light_blue_stained_glass: #16, 8(0%)
minecraft.used.quartz_block: #16, 25(0%)
minecraft.used.smooth_sandstone: #16, 35(0%)
minecraft.picked_up.pink_concrete: #16, 1(0%)
minecraft.dropped.elytra: #17, 8(2%)
minecraft.used.lantern: #17, 88(1%)
minecraft.picked_up.splash_potion: #17, 6(1%)
minecraft.dropped.spruce_log: #17, 66(1%)
minecraft.picked_up.spyglass: #17, 1(1%)
minecraft.mined.spruce_sapling: #17, 4(1%)
minecraft.picked_up.yellow_terracotta: #17, 84(0%)
minecraft.mined.mangrove_slab: #17, 5(0%)
minecraft.used.nether_quartz_ore: #17, 59(0%)
minecraft.used.warped_sign: #17, 6(0%)
minecraft.crafted.warped_sign: #17, 6(0%)
minecraft.used.yellow_concrete_powder: #17, 54(0%)
minecraft.used.red_concrete: #17, 49(0%)
minecraft.mined.warped_stem: #17, 59(0%)
minecraft.used.warped_slab: #17, 22(0%)
minecraft.mined.quartz_stairs: #17, 1(0%)
minecraft.dropped.cooked_porkchop: #17, 68(0%)
minecraft.picked_up.quartz_pillar: #17, 5(0%)
minecraft.used.weathered_copper: #17, 2(0%)
minecraft.crafted.warped_slab: #17, 24(0%)
minecraft.picked_up.cyan_concrete: #17, 16(0%)
minecraft.crafted.warped_fence: #17, 3(0%)
minecraft.picked_up.quartz_stairs: #17, 1(0%)
minecraft.used.cyan_concrete: #17, 16(0%)
minecraft.dropped.red_dye: #17, 1(0%)
minecraft.dropped.raw_copper: #17, 4(0%)
minecraft.dropped.diamond_sword: #18, 4(2%)
minecraft.dropped.cyan_shulker_box: #18, 2(2%)
minecraft.used.dark_oak_fence: #18, 117(1%)
minecraft.used.elytra: #18, 8(1%)
minecraft.picked_up.chorus_fruit: #18, 47(0%)
minecraft.mined.smooth_quartz: #18, 22(0%)
minecraft.picked_up.mangrove_slab: #18, 7(0%)
minecraft.used.dripstone_block: #18, 18(0%)
minecraft.crafted.leather_leggings: #18, 2(0%)
minecraft.used.warped_trapdoor: #18, 8(0%)
minecraft.used.mangrove_slab: #18, 6(0%)
minecraft.crafted.warped_trapdoor: #18, 8(0%)
minecraft.mined.dripstone_block: #18, 18(0%)
minecraft.crafted.leather_boots: #18, 2(0%)
