stat, rank, value, (percentage) 
minecraft.mined.spruce_planks: #28, 9(0%)
minecraft.used.pumpkin_pie: #28, 9(0%)
minecraft.mined.dropper: #28, 1(0%)
minecraft.dropped.gravel: #28, 21(0%)
minecraft.picked_up.terracotta: #28, 68(0%)
minecraft.mined.cobbled_deepslate: #28, 6(0%)
minecraft.crafted.dark_oak_slab: #28, 12(0%)
minecraft.custom.mob_kills: #28, 2031(0%)
minecraft.dropped.flint: #28, 2(0%)
minecraft.used.stone: #28, 110(0%)
minecraft.used.stone_button: #28, 2(0%)
minecraft.used.moss_block: #28, 19(0%)
minecraft.picked_up.rail: #28, 5(0%)
minecraft.mined.vine: #28, 1(0%)
minecraft.picked_up.lime_terracotta: #28, 1(0%)
minecraft.killed.creeper: #28, 6(0%)
minecraft.crafted.blue_dye: #28, 3(0%)
minecraft.crafted.white_dye: #28, 3(0%)
minecraft.picked_up.chicken: #28, 1(0%)
minecraft.crafted.snow_block: #28, 3(0%)
minecraft.dropped.stone: #28, 3(0%)
minecraft.picked_up.elytra: #29, 11(1%)
minecraft.crafted.diamond_pickaxe: #29, 2(1%)
minecraft.picked_up.furnace: #29, 12(0%)
minecraft.custom.sprint_one_cm: #29, 4045650(0%)
minecraft.custom.aviate_one_cm: #29, 26523574(0%)
minecraft.mined.deepslate_diamond_ore: #29, 43(0%)
minecraft.custom.sleep_in_bed: #29, 35(0%)
minecraft.custom.drop: #29, 268(0%)
minecraft.used.cobbled_deepslate: #29, 96(0%)
minecraft.mined.torch: #29, 19(0%)
minecraft.used.oak_sign: #29, 3(0%)
minecraft.picked_up.ender_chest: #29, 13(0%)
minecraft.crafted.birch_sign: #29, 3(0%)
minecraft.used.ender_chest: #29, 13(0%)
minecraft.used.ender_pearl: #29, 5(0%)
minecraft.custom.open_enderchest: #29, 52(0%)
minecraft.custom.interact_with_grindstone: #29, 1(0%)
minecraft.used.diamond_shovel: #29, 2114(0%)
minecraft.used.armor_stand: #29, 2(0%)
minecraft.mined.oak_leaves: #29, 71(0%)
minecraft.picked_up.oak_planks: #29, 10(0%)
minecraft.used.diamond_sword: #29, 355(0%)
minecraft.picked_up.diamond_block: #29, 2(0%)
minecraft.used.stonecutter: #29, 1(0%)
minecraft.used.written_book: #29, 9(0%)
minecraft.mined.poppy: #29, 1(0%)
minecraft.dropped.dirt: #29, 21(0%)
minecraft.dropped.stick: #29, 16(0%)
minecraft.used.bone_meal: #29, 61(0%)
minecraft.picked_up.obsidian: #29, 8(0%)
minecraft.picked_up.moss_carpet: #29, 6(0%)
minecraft.dropped.cobbled_deepslate: #29, 6(0%)
minecraft.mined.pumpkin: #29, 1(0%)
minecraft.custom.inspect_dispenser: #29, 3(0%)
minecraft.crafted.shears: #29, 1(0%)
minecraft.picked_up.azalea: #29, 1(0%)
minecraft.picked_up.gunpowder: #29, 7(0%)
minecraft.crafted.bone_meal: #29, 102(0%)
minecraft.picked_up.coal_ore: #29, 1(0%)
minecraft.mined.clay: #29, 2(0%)
minecraft.used.netherrack: #29, 1(0%)
minecraft.mined.sand: #29, 9(0%)
minecraft.custom.interact_with_furnace: #30, 108(0%)
minecraft.picked_up.coal: #30, 345(0%)
minecraft.picked_up.diamond: #30, 72(0%)
minecraft.custom.open_chest: #30, 876(0%)
minecraft.custom.open_barrel: #30, 177(0%)
minecraft.used.firework_rocket: #30, 681(0%)
minecraft.used.chest: #30, 38(0%)
minecraft.crafted.spruce_trapdoor: #30, 26(0%)
minecraft.custom.interact_with_anvil: #30, 10(0%)
minecraft.used.spruce_trapdoor: #30, 25(0%)
minecraft.picked_up.cobbled_deepslate: #30, 813(0%)
minecraft.crafted.birch_planks: #30, 196(0%)
minecraft.picked_up.birch_log: #30, 77(0%)
minecraft.mined.deepslate_iron_ore: #30, 13(0%)
minecraft.custom.minecart_one_cm: #30, 45276(0%)
minecraft.used.golden_carrot: #30, 22(0%)
minecraft.used.diamond_pickaxe: #30, 3195(0%)
minecraft.used.dark_oak_trapdoor: #30, 9(0%)
minecraft.mined.moss_carpet: #30, 4(0%)
minecraft.mined.azalea: #30, 1(0%)
minecraft.picked_up.flint: #30, 4(0%)
minecraft.crafted.iron_ingot: #30, 84(0%)
minecraft.picked_up.moss_block: #30, 20(0%)
minecraft.used.redstone: #30, 9(0%)
minecraft.mined.cyan_terracotta: #30, 1(0%)
minecraft.mined.birch_planks: #30, 1(0%)
minecraft.picked_up.cyan_terracotta: #30, 1(0%)
minecraft.picked_up.poppy: #30, 1(0%)
minecraft.picked_up.sand: #30, 9(0%)
minecraft.mined.netherrack: #30, 2(0%)
minecraft.custom.jump: #31, 15234(0%)
minecraft.picked_up.golden_carrot: #31, 78(0%)
minecraft.custom.fall_one_cm: #31, 407051(0%)
minecraft.picked_up.diamond_helmet: #31, 1(0%)
minecraft.mined.coal_ore: #31, 174(0%)
minecraft.crafted.stick: #31, 388(0%)
minecraft.crafted.torch: #31, 200(0%)
minecraft.custom.interact_with_crafting_table: #31, 79(0%)
minecraft.used.torch: #31, 174(0%)
minecraft.picked_up.raw_iron: #31, 76(0%)
minecraft.picked_up.spruce_sign: #31, 1(0%)
minecraft.mined.deepslate: #31, 851(0%)
minecraft.custom.crouch_one_cm: #31, 265158(0%)
minecraft.mined.deepslate_redstone_ore: #31, 22(0%)
minecraft.mined.iron_ore: #31, 27(0%)
minecraft.picked_up.oak_log: #31, 64(0%)
minecraft.custom.open_shulker_box: #31, 297(0%)
minecraft.mined.grass_block: #31, 316(0%)
minecraft.crafted.chest: #31, 22(0%)
minecraft.mined.dirt: #31, 246(0%)
minecraft.mined.grass: #31, 19(0%)
minecraft.picked_up.birch_sign: #31, 1(0%)
minecraft.custom.damage_dealt: #31, 13954(0%)
minecraft.picked_up.dark_oak_planks: #31, 4(0%)
minecraft.picked_up.gravel: #31, 99(0%)
minecraft.mined.gravel: #31, 35(0%)
minecraft.crafted.glass: #31, 16(0%)
minecraft.used.moss_carpet: #31, 1(0%)
minecraft.killed.skeleton: #31, 4(0%)
minecraft.killed.zombie: #31, 9(0%)
minecraft.picked_up.pumpkin: #31, 1(0%)
minecraft.mined.podzol: #31, 1(0%)
minecraft.dropped.rotten_flesh: #31, 4(0%)
minecraft.picked_up.netherrack: #31, 2(0%)
minecraft.picked_up.torch: #32, 102(0%)
minecraft.mined.deepslate_lapis_ore: #32, 4(0%)
minecraft.used.cobblestone: #32, 56(0%)
minecraft.mined.wall_torch: #32, 5(0%)
minecraft.picked_up.redstone: #32, 106(0%)
minecraft.picked_up.rotten_flesh: #32, 10(0%)
minecraft.mined.stone: #32, 344(0%)
minecraft.picked_up.birch_planks: #32, 1(0%)
minecraft.picked_up.carrot: #32, 1(0%)
minecraft.mined.crafting_table: #33, 5(0%)
minecraft.picked_up.crafting_table: #33, 5(0%)
minecraft.custom.swim_one_cm: #33, 49684(0%)
minecraft.picked_up.bow: #33, 2(0%)
minecraft.picked_up.stick: #33, 33(0%)
minecraft.picked_up.dirt: #33, 257(0%)
minecraft.picked_up.cobblestone: #33, 314(0%)
minecraft.crafted.oak_planks: #33, 32(0%)
minecraft.used.shulker_box: #33, 2(0%)
minecraft.picked_up.shulker_box: #33, 2(0%)
minecraft.dropped.wheat_seeds: #33, 2(0%)
minecraft.used.water_bucket: #33, 2(0%)
minecraft.used.crafting_table: #34, 6(0%)
minecraft.mined.fire: #34, 2(0%)
minecraft.picked_up.bone: #34, 1(0%)
minecraft.picked_up.wheat_seeds: #34, 3(0%)
minecraft.custom.walk_under_water_one_cm: #35, 217735(0%)
minecraft.crafted.crafting_table: #35, 3(0%)
minecraft.custom.walk_one_cm: #35, 1333115(0%)
minecraft.mined.cobblestone: #35, 4(0%)
minecraft.used.bucket: #35, 2(0%)
minecraft.custom.sneak_time: #36, 69875(0%)
minecraft.custom.climb_one_cm: #40, 4432(0%)
minecraft.custom.time_since_death: #43, 71656(0%)
minecraft.custom.leave_game: #45, 55(0%)
minecraft.custom.fly_one_cm: #46, 3741680(0%)
minecraft.custom.play_time: #51, 1304878(0%)
minecraft.custom.total_world_time: #51, 1304878(0%)
minecraft.custom.walk_on_water_one_cm: #51, 11196(0%)
minecraft.custom.time_since_rest: #61, 2480(0%)
