stat, rank, value, (percentage) 
minecraft.crafted.jungle_fence: #2, 231(15%)
minecraft.picked_up.golden_carrot: #4, 3273(8%)
minecraft.picked_up.danger_pottery_sherd: #2, 5(20%)
minecraft.picked_up.plenty_pottery_sherd: #2, 9(26%)
minecraft.picked_up.sculk_shrieker: #3, 175(12%)
minecraft.picked_up.burn_pottery_sherd: #2, 6(26%)
minecraft.used.shroomlight: #3, 357(10%)
minecraft.mined.nether_wart_block: #3, 3853(10%)
minecraft.mined.jungle_door: #2, 8(20%)
minecraft.picked_up.stripped_mangrove_wood: #3, 145(18%)
minecraft.custom.sneak_time: #5, 9231794(7%)
minecraft.used.warped_nylium: #3, 475(13%)
minecraft.used.jungle_hanging_sign: #2, 19(39%)
minecraft.picked_up.blue_dye: #3, 250(18%)
minecraft.picked_up.granite_wall: #2, 68(15%)
minecraft.used.end_crystal: #2, 12(14%)
minecraft.picked_up.red_sandstone_wall: #2, 59(30%)
minecraft.used.dark_prismarine: #3, 1631(14%)
minecraft.picked_up.pink_concrete: #3, 784(15%)
minecraft.used.cyan_stained_glass_pane: #2, 108(11%)
minecraft.used.bamboo_door: #2, 9(38%)
minecraft.picked_up.brown_mushroom: #3, 1000(10%)
minecraft.crafted.light_gray_terracotta: #3, 1496(16%)
minecraft.used.gray_concrete_powder: #3, 5967(11%)
minecraft.picked_up.bowl: #3, 49(13%)
minecraft.picked_up.angler_pottery_sherd: #2, 7(18%)
minecraft.picked_up.deepslate_diamond_ore: #3, 2000(9%)
minecraft.crafted.bamboo_door: #2, 15(29%)
minecraft.crafted.jungle_hanging_sign: #2, 30(29%)
minecraft.used.brown_wool: #2, 613(11%)
minecraft.mined.light_gray_wool: #3, 301(13%)
minecraft.picked_up.jukebox: #3, 58(10%)
minecraft.dropped.iron_hoe: #2, 6(18%)
minecraft.picked_up.rabbit_stew: #2, 14(24%)
minecraft.picked_up.polished_deepslate_wall: #3, 404(11%)
minecraft.dropped.jungle_sign: #2, 15(23%)
minecraft.mined.stripped_mangrove_wood: #3, 143(18%)
minecraft.mined.brown_shulker_box: #3, 341(11%)
minecraft.picked_up.brown_shulker_box: #3, 342(11%)
minecraft.mined.amethyst_block: #3, 2081(9%)
minecraft.crafted.blast_furnace: #3, 99(12%)
minecraft.used.birch_door: #2, 7(10%)
minecraft.picked_up.dark_prismarine_slab: #2, 272(8%)
minecraft.crafted.cyan_stained_glass_pane: #2, 112(9%)
minecraft.picked_up.moss_block: #4, 14993(9%)
minecraft.picked_up.brown_concrete_powder: #3, 141(12%)
minecraft.crafted.jungle_door: #2, 12(11%)
minecraft.picked_up.acacia_pressure_plate: #2, 5(33%)
minecraft.used.enchanted_book: #2, 32(33%)
minecraft.used.brown_shulker_box: #3, 353(11%)
minecraft.crafted.daylight_detector: #3, 203(17%)
minecraft.picked_up.netherite_axe: #3, 38(12%)
minecraft.picked_up.warped_fence: #3, 95(13%)
minecraft.picked_up.piston: #4, 1238(12%)
minecraft.used.stone_brick_wall: #3, 829(10%)
minecraft.dropped.netherite_shovel: #2, 5(9%)
minecraft.picked_up.redstone_block: #3, 1789(8%)
minecraft.mined.smooth_red_sandstone_stairs: #2, 28(32%)
minecraft.killed.ender_dragon: #2, 3(14%)
minecraft.used.netherite_leggings: #3, 65(18%)
minecraft.picked_up.brown_carpet: #2, 900(7%)
minecraft.used.bamboo_sign: #2, 19(18%)
minecraft.mined.acacia_pressure_plate: #2, 5(42%)
minecraft.picked_up.wooden_pickaxe: #3, 6(11%)
minecraft.used.cobbled_deepslate: #3, 7719(7%)
minecraft.dropped.yellow_stained_glass: #2, 99(17%)
minecraft.mined.clay: #3, 9537(8%)
minecraft.picked_up.cyan_stained_glass_pane: #3, 65(18%)
minecraft.picked_up.white_banner: #4, 627(12%)
minecraft.dropped.warped_fungus: #3, 78(17%)
minecraft.used.light_gray_stained_glass_pane: #3, 342(12%)
minecraft.crafted.moss_carpet: #3, 891(9%)
minecraft.used.anvil: #3, 258(7%)
minecraft.used.light_gray_wool: #3, 3358(10%)
minecraft.picked_up.seagrass: #3, 403(11%)
minecraft.mined.light_blue_wool: #3, 227(11%)
minecraft.picked_up.smooth_red_sandstone_stairs: #2, 26(28%)
minecraft.picked_up.granite: #3, 15875(7%)
minecraft.picked_up.light_gray_bed: #2, 99(6%)
minecraft.mined.potted_azalea_bush: #2, 2(18%)
minecraft.custom.damage_blocked_by_shield: #3, 20942(9%)
minecraft.mined.birch_door: #2, 3(21%)
minecraft.picked_up.amethyst_block: #3, 2087(8%)
minecraft.mined.jungle_slab: #3, 97(21%)
minecraft.mined.light_gray_bed: #2, 103(6%)
minecraft.picked_up.map: #2, 112(7%)
minecraft.picked_up.gray_terracotta: #2, 1795(5%)
minecraft.used.light_gray_dye: #2, 18(10%)
minecraft.picked_up.campfire: #4, 218(14%)
minecraft.picked_up.mushroom_stew: #3, 27(22%)
minecraft.picked_up.glow_item_frame: #3, 147(8%)
minecraft.used.granite_wall: #2, 206(10%)
minecraft.picked_up.smithing_table: #4, 113(13%)
minecraft.picked_up.birch_trapdoor: #3, 106(9%)
minecraft.picked_up.music_disc_otherside: #3, 22(9%)
minecraft.picked_up.dead_bubble_coral: #2, 1(25%)
minecraft.mined.dead_bubble_coral_fan: #2, 1(25%)
minecraft.killed_by.ghast: #2, 1(25%)
minecraft.picked_up.deepslate_gold_ore: #3, 477(9%)
minecraft.dropped.mud: #3, 128(12%)
minecraft.crafted.smooth_red_sandstone_stairs: #2, 25(16%)
minecraft.dropped.green_shulker_box: #2, 3(10%)
minecraft.used.hanging_roots: #3, 94(14%)
minecraft.picked_up.deepslate_redstone_ore: #4, 1677(11%)
minecraft.picked_up.orange_carpet: #2, 2890(11%)
minecraft.crafted.lime_shulker_box: #3, 17(10%)
minecraft.used.purple_glazed_terracotta: #2, 340(24%)
minecraft.mined.deepslate_gold_ore: #3, 1058(6%)
minecraft.mined.deepslate_redstone_ore: #3, 2511(6%)
minecraft.used.light_gray_bed: #2, 111(6%)
minecraft.custom.clean_shulker_box: #2, 7(23%)
minecraft.picked_up.polished_diorite_stairs: #3, 64(17%)
minecraft.picked_up.cyan_dye: #3, 206(16%)
minecraft.used.magenta_shulker_box: #3, 238(9%)
minecraft.dropped.crimson_fungus: #3, 28(13%)
minecraft.picked_up.mangrove_planks: #3, 141(9%)
minecraft.picked_up.light_gray_dye: #3, 237(13%)
minecraft.dropped.trident: #3, 5(14%)
minecraft.mined.acacia_trapdoor: #3, 158(11%)
minecraft.crafted.spruce_planks: #4, 49322(8%)
minecraft.dropped.black_shulker_box: #2, 3(7%)
minecraft.used.chest_minecart: #3, 15(12%)
minecraft.mined.cartography_table: #3, 16(10%)
minecraft.picked_up.lime_banner: #2, 31(17%)
minecraft.mined.redstone_block: #3, 1129(7%)
minecraft.mined.candle: #3, 11(10%)
minecraft.picked_up.jungle_stairs: #2, 79(8%)
minecraft.used.red_stained_glass_pane: #3, 213(14%)
minecraft.crafted.warped_sign: #4, 243(14%)
minecraft.dropped.acacia_log: #3, 201(14%)
minecraft.mined.sculk_sensor: #3, 498(8%)
minecraft.picked_up.red_shulker_box: #4, 970(8%)
minecraft.used.cut_red_sandstone: #2, 10(38%)
minecraft.picked_up.acacia_wood: #3, 86(9%)
minecraft.used.lime_stained_glass: #3, 1422(10%)
minecraft.crafted.light_gray_stained_glass_pane: #3, 416(10%)
minecraft.picked_up.silence_armor_trim_smithing_template: #2, 1(25%)
minecraft.crafted.cyan_terracotta: #4, 7024(11%)
minecraft.picked_up.acacia_sapling: #4, 1093(11%)
minecraft.dropped.wooden_axe: #3, 8(11%)
minecraft.mined.red_shulker_box: #4, 962(8%)
minecraft.used.sunflower: #3, 20(7%)
minecraft.mined.shroomlight: #4, 519(10%)
minecraft.picked_up.acacia_sign: #3, 45(9%)
minecraft.used.honeycomb: #4, 1307(12%)
minecraft.crafted.suspicious_stew: #3, 67(17%)
minecraft.used.yellow_stained_glass_pane: #3, 197(12%)
minecraft.mined.brown_wall_banner: #2, 2(17%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #3, 4(18%)
minecraft.picked_up.horn_coral_block: #3, 456(11%)
minecraft.mined.warped_planks: #4, 1086(11%)
minecraft.picked_up.polished_granite: #4, 722(12%)
minecraft.mined.mangrove_planks: #3, 64(9%)
minecraft.used.moss_carpet: #4, 1877(8%)
minecraft.used.acacia_button: #3, 19(8%)
minecraft.used.red_shulker_box: #4, 997(8%)
minecraft.custom.interact_with_cartography_table: #3, 58(8%)
minecraft.picked_up.light_blue_bed: #2, 9(7%)
minecraft.picked_up.lime_dye: #3, 386(11%)
minecraft.mined.cobbled_deepslate: #4, 1901(8%)
minecraft.picked_up.jungle_door: #3, 11(16%)
minecraft.picked_up.tnt_minecart: #2, 2(29%)
minecraft.used.jungle_trapdoor: #2, 445(4%)
minecraft.mined.light_blue_bed: #2, 9(8%)
minecraft.picked_up.magenta_shulker_box: #3, 219(9%)
minecraft.picked_up.crimson_stem: #4, 4054(10%)
minecraft.used.stone: #4, 70517(7%)
minecraft.used.warped_hanging_sign: #2, 14(7%)
minecraft.picked_up.gray_banner: #3, 20(17%)
minecraft.picked_up.blade_pottery_sherd: #2, 6(9%)
minecraft.used.prismarine_wall: #3, 96(14%)
minecraft.crafted.warped_hanging_sign: #2, 18(9%)
minecraft.mined.crimson_fungus: #4, 195(13%)
minecraft.picked_up.warped_fungus: #3, 640(6%)
minecraft.picked_up.lapis_block: #3, 755(9%)
minecraft.crafted.jungle_pressure_plate: #2, 6(6%)
minecraft.used.warped_door: #3, 13(11%)
minecraft.crafted.light_blue_banner: #3, 14(19%)
minecraft.mined.crimson_stem: #4, 2798(10%)
minecraft.used.jungle_slab: #3, 777(12%)
minecraft.used.wooden_axe: #3, 60(7%)
minecraft.crafted.bamboo_button: #2, 2(7%)
minecraft.mined.magenta_shulker_box: #3, 218(9%)
minecraft.dropped.gray_stained_glass: #3, 53(16%)
minecraft.picked_up.polished_andesite: #4, 1053(9%)
minecraft.crafted.prismarine_bricks: #3, 3200(21%)
minecraft.mined.waxed_weathered_cut_copper: #2, 28(5%)
minecraft.mined.spruce_wall_sign: #4, 56(10%)
minecraft.picked_up.netherite_pickaxe: #4, 75(8%)
minecraft.mined.spruce_fence_gate: #3, 65(7%)
minecraft.picked_up.glow_berries: #4, 559(8%)
minecraft.crafted.purple_glazed_terracotta: #3, 395(16%)
minecraft.picked_up.pink_terracotta: #4, 288(14%)
minecraft.picked_up.magenta_bed: #2, 3(9%)
minecraft.picked_up.stone_hoe: #3, 5(9%)
minecraft.dropped.dead_bubble_coral_block: #2, 1(14%)
minecraft.picked_up.mangrove_slab: #4, 200(11%)
minecraft.used.torchflower_seeds: #3, 33(11%)
minecraft.mined.daylight_detector: #3, 25(14%)
minecraft.used.rooted_dirt: #3, 531(6%)
minecraft.dropped.diamond_hoe: #3, 5(9%)
minecraft.mined.magenta_bed: #2, 3(9%)
minecraft.picked_up.fire_coral_block: #3, 427(10%)
minecraft.used.red_candle: #3, 134(10%)
minecraft.used.beef: #3, 11(17%)
minecraft.picked_up.prismarine_brick_slab: #2, 308(3%)
minecraft.picked_up.brown_wool: #3, 474(8%)
minecraft.picked_up.black_wool: #3, 1303(5%)
minecraft.mined.deepslate_lapis_ore: #4, 438(7%)
minecraft.crafted.light_gray_stained_glass: #3, 4328(7%)
minecraft.used.cyan_candle: #2, 24(4%)
minecraft.picked_up.sunflower: #4, 1797(8%)
minecraft.crafted.lime_stained_glass: #4, 2368(12%)
minecraft.mined.cyan_terracotta: #3, 684(4%)
minecraft.picked_up.orange_wool: #4, 426(12%)
minecraft.used.spruce_slab: #4, 3736(8%)
minecraft.picked_up.melon_seeds: #4, 49(12%)
minecraft.used.sculk_vein: #3, 413(9%)
minecraft.dropped.copper_block: #3, 770(22%)
minecraft.picked_up.red_nether_brick_wall: #2, 5(10%)
minecraft.crafted.magenta_bed: #2, 3(7%)
minecraft.mined.wall_torch: #4, 694(7%)
minecraft.mined.jukebox: #4, 56(10%)
minecraft.crafted.weathered_cut_copper: #3, 28(14%)
minecraft.picked_up.spruce_planks: #4, 2460(7%)
minecraft.used.stone_stairs: #4, 1229(8%)
minecraft.mined.orange_wall_banner: #2, 1(12%)
minecraft.picked_up.jungle_sapling: #4, 394(11%)
minecraft.picked_up.oak_leaves: #3, 4533(4%)
minecraft.crafted.dark_prismarine_stairs: #3, 46(11%)
minecraft.picked_up.white_carpet: #3, 2326(6%)
minecraft.picked_up.polished_granite_slab: #4, 270(11%)
minecraft.killed.enderman: #4, 64669(7%)
minecraft.picked_up.nether_brick_wall: #3, 14(17%)
minecraft.picked_up.ladder: #4, 524(8%)
minecraft.mined.grindstone: #4, 45(9%)
minecraft.mined.sculk: #4, 6882(10%)
minecraft.picked_up.raiser_armor_trim_smithing_template: #3, 3(15%)
minecraft.mined.potted_dead_bush: #3, 2(20%)
minecraft.mined.seagrass: #3, 296(5%)
minecraft.picked_up.granite_slab: #4, 216(13%)
minecraft.mined.brown_concrete: #4, 357(12%)
minecraft.mined.pink_wool: #3, 147(9%)
minecraft.mined.polished_granite_slab: #4, 182(11%)
minecraft.picked_up.chorus_fruit: #4, 741(7%)
minecraft.picked_up.phantom_membrane: #4, 100(8%)
minecraft.picked_up.polished_deepslate: #4, 1147(8%)
minecraft.picked_up.dark_oak_fence_gate: #3, 58(8%)
minecraft.crafted.purple_banner: #3, 10(14%)
minecraft.crafted.end_crystal: #3, 11(10%)
minecraft.picked_up.firework_star: #2, 14(4%)
minecraft.picked_up.golden_horse_armor: #3, 6(11%)
minecraft.picked_up.torch: #4, 6495(5%)
minecraft.dropped.quartz_pillar: #2, 34(1%)
minecraft.picked_up.jungle_leaves: #4, 1158(11%)
minecraft.dropped.red_sandstone_wall: #2, 2(4%)
minecraft.picked_up.grass_block: #4, 46130(7%)
minecraft.used.purple_shulker_box: #4, 166(11%)
minecraft.dropped.beetroot_seeds: #3, 70(7%)
minecraft.mined.smithing_table: #4, 34(9%)
minecraft.picked_up.netherite_shovel: #4, 37(12%)
minecraft.used.jungle_button: #2, 4(1%)
minecraft.picked_up.chiseled_quartz_block: #4, 38(15%)
minecraft.dropped.nautilus_shell: #3, 8(11%)
minecraft.picked_up.iron_sword: #4, 20(9%)
minecraft.mined.moss_carpet: #4, 723(7%)
minecraft.used.stripped_crimson_hyphae: #3, 180(13%)
minecraft.used.packed_mud: #4, 1183(10%)
minecraft.used.allium: #3, 12(7%)
minecraft.crafted.dried_kelp: #3, 828(8%)
minecraft.picked_up.shelter_pottery_sherd: #3, 5(10%)
minecraft.crafted.warped_door: #3, 12(6%)
minecraft.mined.andesite_slab: #4, 59(11%)
minecraft.mined.mangrove_leaves: #4, 6058(10%)
minecraft.used.rabbit_stew: #3, 1(20%)
minecraft.killed.donkey: #3, 1(25%)
minecraft.picked_up.heartbreak_pottery_sherd: #3, 3(17%)
minecraft.crafted.gunpowder: #3, 8(33%)
minecraft.crafted.small_dripleaf: #3, 10(25%)
minecraft.crafted.sea_pickle: #3, 5(20%)
minecraft.picked_up.iron_axe: #4, 78(9%)
minecraft.picked_up.nether_sprouts: #3, 83(11%)
minecraft.mined.pink_petals: #3, 127(5%)
minecraft.dropped.white_stained_glass_pane: #3, 42(10%)
minecraft.picked_up.music_disc_13: #4, 46(9%)
minecraft.picked_up.exposed_cut_copper: #3, 11(6%)
minecraft.mined.jungle_log: #4, 3821(9%)
minecraft.used.warped_planks: #4, 2452(8%)
minecraft.mined.sculk_shrieker: #4, 121(10%)
minecraft.picked_up.pink_dye: #4, 144(14%)
minecraft.used.dripstone_block: #4, 518(9%)
minecraft.mined.exposed_cut_copper: #3, 10(7%)
minecraft.picked_up.netherite_sword: #4, 31(10%)
minecraft.used.flower_pot: #4, 149(7%)
minecraft.picked_up.jungle_fence: #3, 37(9%)
minecraft.dropped.compass: #4, 203(6%)
minecraft.used.green_stained_glass: #4, 994(14%)
minecraft.mined.blue_concrete: #4, 271(11%)
minecraft.picked_up.lime_terracotta: #5, 1332(10%)
minecraft.used.blue_orchid: #3, 19(13%)
minecraft.crafted.gray_concrete_powder: #4, 5779(10%)
minecraft.crafted.jungle_fence_gate: #4, 64(14%)
minecraft.used.sculk_sensor: #4, 41(9%)
minecraft.crafted.light_gray_shulker_box: #4, 20(9%)
minecraft.dropped.jungle_planks: #4, 90(11%)
minecraft.used.dark_oak_door: #4, 27(9%)
minecraft.used.smooth_stone_slab: #4, 1808(7%)
minecraft.used.grass: #4, 894(10%)
minecraft.mined.warped_door: #3, 4(11%)
minecraft.killed.wither: #3, 14(6%)
minecraft.used.lapis_ore: #4, 79(10%)
minecraft.crafted.cyan_banner: #3, 16(9%)
minecraft.crafted.gray_terracotta: #4, 2192(11%)
minecraft.mined.warped_nylium: #4, 510(7%)
minecraft.mined.cut_copper: #4, 59(9%)
minecraft.picked_up.bamboo_door: #3, 2(17%)
minecraft.picked_up.golden_hoe: #3, 2(17%)
minecraft.picked_up.sculk_vein: #4, 1610(11%)
minecraft.mined.jungle_planks: #3, 396(5%)
minecraft.crafted.raw_copper: #4, 9502(10%)
minecraft.used.stripped_crimson_stem: #4, 89(7%)
minecraft.mined.magenta_terracotta: #3, 42(9%)
minecraft.crafted.acacia_door: #3, 21(7%)
minecraft.used.weathered_cut_copper: #3, 28(7%)
minecraft.used.tube_coral: #3, 11(6%)
minecraft.broken.iron_pickaxe: #4, 15(6%)
minecraft.used.beetroot_soup: #3, 1(20%)
minecraft.mined.dead_bubble_coral: #3, 1(20%)
minecraft.mined.jungle_sapling: #3, 14(9%)
minecraft.used.glow_ink_sac: #4, 234(6%)
minecraft.picked_up.iron_pickaxe: #4, 11(7%)
minecraft.used.pink_wool: #4, 1047(11%)
minecraft.mined.acacia_wall_sign: #4, 19(15%)
minecraft.picked_up.crossbow: #4, 119(8%)
minecraft.used.yellow_terracotta: #4, 1306(8%)
minecraft.used.oak_button: #4, 42(9%)
minecraft.used.cyan_banner: #3, 11(8%)
minecraft.crafted.mud_brick_stairs: #3, 41(7%)
minecraft.mined.dragon_head: #3, 2(12%)
minecraft.used.light_gray_stained_glass: #4, 4207(9%)
minecraft.picked_up.lingering_potion: #3, 2(9%)
minecraft.used.brown_stained_glass_pane: #3, 29(10%)
minecraft.picked_up.red_concrete_powder: #3, 648(4%)
minecraft.picked_up.end_crystal: #3, 6(24%)
minecraft.picked_up.polished_blackstone_slab: #4, 360(9%)
minecraft.picked_up.dragon_head: #4, 16(9%)
minecraft.picked_up.netherite_helmet: #4, 27(10%)
minecraft.crafted.nautilus_shell: #3, 5(14%)
minecraft.picked_up.rooted_dirt: #4, 1137(7%)
minecraft.dropped.netherite_axe: #4, 8(10%)
minecraft.used.music_disc_blocks: #3, 5(6%)
minecraft.mined.green_wool: #4, 142(10%)
minecraft.used.iron_helmet: #4, 7(8%)
minecraft.picked_up.spruce_fence: #5, 586(10%)
minecraft.picked_up.explorer_pottery_sherd: #3, 5(8%)
minecraft.mined.acacia_door: #3, 2(13%)
minecraft.crafted.acacia_hanging_sign: #3, 6(17%)
minecraft.picked_up.oak_planks: #4, 1002(5%)
minecraft.crafted.campfire: #4, 211(6%)
minecraft.mined.soul_lantern: #4, 46(9%)
minecraft.picked_up.acacia_fence_gate: #3, 3(16%)
minecraft.used.weeping_vines: #3, 45(6%)
minecraft.picked_up.mangrove_log: #4, 1588(7%)
minecraft.picked_up.mangrove_wood: #4, 84(13%)
minecraft.used.azalea: #4, 328(6%)
minecraft.picked_up.lapis_ore: #4, 138(7%)
minecraft.used.deepslate_diamond_ore: #4, 1407(6%)
minecraft.used.skeleton_skull: #3, 3(20%)
minecraft.mined.bamboo_door: #3, 1(20%)
minecraft.mined.cave_vines: #4, 130(5%)
minecraft.crafted.jungle_planks: #4, 7164(7%)
minecraft.used.granite_stairs: #4, 45(14%)
minecraft.picked_up.echo_shard: #3, 11(6%)
minecraft.crafted.brown_shulker_box: #4, 22(7%)
minecraft.dropped.weathered_cut_copper: #3, 1(14%)
minecraft.used.magenta_terracotta: #4, 305(12%)
minecraft.used.elytra: #5, 90(7%)
minecraft.crafted.red_candle: #3, 171(5%)
minecraft.picked_up.cut_red_sandstone: #3, 2(18%)
minecraft.crafted.cut_red_sandstone: #3, 14(11%)
minecraft.mined.spruce_slab: #4, 507(6%)
minecraft.used.mud_brick_stairs: #4, 244(12%)
minecraft.picked_up.brown_concrete: #4, 289(8%)
minecraft.crafted.jungle_slab: #4, 726(9%)
minecraft.crafted.silence_armor_trim_smithing_template: #3, 18(6%)
minecraft.picked_up.mangrove_sign: #4, 15(8%)
minecraft.used.grass_block: #4, 26983(5%)
minecraft.picked_up.dead_bubble_coral_fan: #3, 1(10%)
minecraft.picked_up.gravel: #5, 37015(8%)
minecraft.used.orange_stained_glass: #4, 1473(9%)
minecraft.crafted.jungle_button: #3, 18(4%)
minecraft.used.magenta_bed: #3, 6(8%)
minecraft.used.crimson_planks: #4, 615(6%)
minecraft.crafted.warped_fence_gate: #4, 43(14%)
minecraft.picked_up.green_wool: #4, 740(8%)
minecraft.picked_up.cooked_salmon: #4, 54(9%)
minecraft.used.campfire: #4, 193(5%)
minecraft.crafted.acacia_pressure_plate: #3, 6(5%)
minecraft.mined.ladder: #5, 163(8%)
minecraft.mined.dragon_wall_head: #4, 8(8%)
minecraft.used.stripped_bamboo_block: #3, 6(6%)
minecraft.picked_up.black_carpet: #3, 2478(2%)
minecraft.mined.birch_slab: #4, 48(8%)
minecraft.custom.walk_under_water_one_cm: #6, 15452140(5%)
minecraft.mined.black_terracotta: #3, 244(3%)
minecraft.picked_up.waxed_weathered_cut_copper: #3, 29(4%)
minecraft.used.chest: #5, 2869(7%)
minecraft.used.stone_pressure_plate: #4, 65(6%)
minecraft.used.bamboo_block: #3, 142(3%)
minecraft.picked_up.miner_pottery_sherd: #3, 3(10%)
minecraft.picked_up.yellow_shulker_box: #5, 473(9%)
minecraft.picked_up.coal: #5, 12286(7%)
minecraft.picked_up.sea_lantern: #4, 454(6%)
minecraft.mined.light_gray_candle: #3, 3(8%)
minecraft.used.amethyst_cluster: #4, 176(6%)
minecraft.used.acacia_trapdoor: #4, 801(8%)
minecraft.used.yellow_shulker_box: #5, 482(9%)
minecraft.used.orange_bed: #4, 40(9%)
minecraft.custom.clean_banner: #3, 8(13%)
minecraft.picked_up.brewer_pottery_sherd: #3, 2(12%)
minecraft.picked_up.archer_pottery_sherd: #3, 3(9%)
minecraft.used.lime_dye: #4, 19(9%)
minecraft.mined.mud_brick_wall: #4, 14(11%)
minecraft.mined.dead_brain_coral_block: #3, 58(4%)
minecraft.mined.yellow_shulker_box: #5, 463(9%)
minecraft.mined.jungle_wall_hanging_sign: #3, 1(11%)
minecraft.killed_by.cave_spider: #4, 2(11%)
minecraft.picked_up.warped_planks: #5, 1039(9%)
minecraft.picked_up.lime_stained_glass: #5, 704(14%)
minecraft.picked_up.light_blue_wool: #4, 498(7%)
minecraft.used.acacia_sapling: #4, 772(9%)
minecraft.mined.orange_stained_glass_pane: #4, 19(15%)
minecraft.used.mushroom_stew: #4, 27(19%)
minecraft.mined.sculk_vein: #4, 1407(9%)
minecraft.dropped.smooth_quartz: #4, 64(9%)
minecraft.used.redstone_block: #4, 1138(5%)
minecraft.picked_up.magenta_concrete: #4, 133(9%)
minecraft.picked_up.green_banner: #4, 19(13%)
minecraft.used.jungle_sapling: #4, 198(9%)
minecraft.picked_up.compass: #5, 270(7%)
minecraft.crafted.jukebox: #4, 24(5%)
minecraft.crafted.brush: #4, 8(9%)
minecraft.crafted.light_gray_banner: #4, 32(11%)
minecraft.used.warped_fence_gate: #4, 44(14%)
minecraft.crafted.green_stained_glass: #4, 1128(8%)
minecraft.killed_by.zombified_piglin: #3, 1(5%)
minecraft.mined.gravel: #5, 32423(7%)
minecraft.picked_up.milk_bucket: #4, 6(9%)
minecraft.crafted.cut_copper: #4, 132(8%)
minecraft.mined.crimson_trapdoor: #4, 28(7%)
minecraft.crafted.yellow_stained_glass_pane: #4, 208(9%)
minecraft.mined.deepslate_diamond_ore: #5, 2312(7%)
minecraft.mined.acacia_fence_gate: #3, 1(6%)
minecraft.dropped.heart_of_the_sea: #3, 1(8%)
minecraft.dropped.waxed_exposed_cut_copper: #3, 1(8%)
minecraft.used.music_disc_13: #5, 30(11%)
minecraft.picked_up.dragon_breath: #3, 7(6%)
minecraft.mined.spore_blossom: #5, 40(9%)
minecraft.picked_up.blue_concrete: #5, 271(12%)
minecraft.picked_up.flowering_azalea: #5, 656(8%)
minecraft.picked_up.light_blue_dye: #4, 57(10%)
minecraft.crafted.red_sandstone_wall: #4, 39(17%)
minecraft.used.spruce_planks: #5, 4879(7%)
minecraft.mined.jungle_trapdoor: #3, 82(2%)
minecraft.mined.potted_white_tulip: #3, 1(7%)
minecraft.picked_up.jungle_log: #5, 5710(10%)
minecraft.picked_up.cartography_table: #4, 16(6%)
minecraft.mined.chest: #5, 1154(6%)
minecraft.mined.trapped_chest: #3, 1(4%)
minecraft.mined.polished_blackstone_wall: #4, 84(9%)
minecraft.mined.cobbled_deepslate_slab: #4, 385(4%)
minecraft.mined.orange_bed: #4, 38(8%)
minecraft.picked_up.chainmail_chestplate: #4, 7(7%)
minecraft.dropped.jungle_sapling: #4, 37(10%)
minecraft.picked_up.white_candle: #4, 23(10%)
minecraft.mined.potted_oak_sapling: #3, 1(5%)
minecraft.used.acacia_hanging_sign: #3, 1(5%)
minecraft.crafted.acacia_trapdoor: #4, 690(7%)
minecraft.mined.brown_mushroom_block: #5, 4137(9%)
minecraft.dropped.smooth_sandstone_slab: #3, 1(3%)
minecraft.dropped.wither_skeleton_skull: #4, 64(16%)
minecraft.crafted.brown_concrete_powder: #4, 456(6%)
minecraft.used.bamboo_button: #3, 2(3%)
minecraft.dropped.terracotta: #5, 260(10%)
minecraft.crafted.cyan_candle: #3, 31(1%)
minecraft.used.chainmail_leggings: #3, 1(3%)
minecraft.dropped.suspicious_stew: #4, 34(8%)
minecraft.used.oak_stairs: #5, 260(8%)
minecraft.dropped.ender_eye: #3, 1(2%)
minecraft.crafted.mangrove_planks: #5, 2516(8%)
minecraft.used.prismarine_brick_slab: #3, 89(1%)
minecraft.picked_up.crimson_fungus: #4, 447(5%)
minecraft.picked_up.nether_wart_block: #5, 3915(8%)
minecraft.picked_up.tube_coral: #4, 34(7%)
minecraft.dropped.spruce_leaves: #5, 346(9%)
minecraft.used.cut_red_sandstone_slab: #3, 5(2%)
minecraft.picked_up.copper_ore: #5, 2082(8%)
minecraft.picked_up.honeycomb: #5, 691(9%)
minecraft.picked_up.deepslate_lapis_ore: #5, 203(9%)
minecraft.mined.suspicious_gravel: #4, 26(9%)
minecraft.used.dead_tube_coral_fan: #3, 3(1%)
minecraft.used.red_sand: #4, 100(6%)
minecraft.mined.tube_coral: #4, 35(7%)
minecraft.dropped.twisting_vines: #4, 17(9%)
minecraft.killed.husk: #4, 12(6%)
minecraft.picked_up.twisting_vines: #5, 284(10%)
minecraft.used.crimson_door: #4, 8(9%)
minecraft.crafted.polished_granite: #4, 976(5%)
minecraft.crafted.magenta_shulker_box: #4, 4(6%)
minecraft.picked_up.purple_shulker_box: #5, 143(10%)
minecraft.picked_up.cobbled_deepslate_stairs: #5, 143(9%)
minecraft.picked_up.netherite_leggings: #5, 37(9%)
minecraft.crafted.mossy_cobblestone_wall: #4, 30(9%)
minecraft.picked_up.diamond_horse_armor: #4, 5(8%)
minecraft.crafted.bamboo_sign: #4, 18(12%)
minecraft.picked_up.host_armor_trim_smithing_template: #4, 3(14%)
minecraft.picked_up.pink_stained_glass: #4, 121(7%)
minecraft.mined.oak_sign: #5, 18(8%)
minecraft.mined.prismarine_wall: #4, 4(12%)
minecraft.dropped.piston: #4, 46(7%)
