stat, rank, value, (percentage) 
minecraft.used.coarse_dirt: #2, 10701(22%)
minecraft.used.warped_roots: #1, 411(45%)
minecraft.picked_up.black_shulker_box: #1, 972(19%)
minecraft.mined.blue_wool: #1, 428(38%)
minecraft.picked_up.light_gray_banner: #1, 45(67%)
minecraft.used.clay: #2, 8749(29%)
minecraft.used.smithing_table: #2, 729(25%)
minecraft.used.smooth_red_sandstone_slab: #1, 2141(88%)
minecraft.used.small_dripleaf: #1, 48(48%)
minecraft.crafted.jungle_sign: #1, 138(44%)
minecraft.picked_up.cooked_cod: #1, 180(29%)
minecraft.mined.coarse_dirt: #2, 3954(22%)
minecraft.mined.beehive: #1, 323(40%)
minecraft.used.black_shulker_box: #1, 978(18%)
minecraft.picked_up.beehive: #1, 329(39%)
minecraft.dropped.acacia_leaves: #1, 446(46%)
minecraft.crafted.smithing_table: #2, 747(24%)
minecraft.picked_up.cobblestone_slab: #2, 3196(23%)
minecraft.picked_up.acacia_leaves: #1, 4214(34%)
minecraft.used.light_gray_terracotta: #2, 2906(29%)
minecraft.used.birch_wood: #1, 859(28%)
minecraft.crafted.yellow_concrete_powder: #1, 5504(25%)
minecraft.crafted.smooth_stone: #2, 3154(22%)
minecraft.used.acacia_slab: #1, 418(35%)
minecraft.used.lime_shulker_box: #1, 613(21%)
minecraft.dropped.mushroom_stew: #1, 52(60%)
minecraft.picked_up.lime_shulker_box: #1, 599(21%)
minecraft.mined.lime_shulker_box: #1, 590(21%)
minecraft.mined.brown_stained_glass: #1, 298(68%)
minecraft.used.sniffer_egg: #1, 44(32%)
minecraft.picked_up.nautilus_shell: #1, 84(26%)
minecraft.used.green_dye: #1, 77(37%)
minecraft.picked_up.clay: #1, 10188(20%)
minecraft.used.yellow_wool: #1, 2521(20%)
minecraft.crafted.smooth_red_sandstone: #1, 2693(78%)
minecraft.picked_up.magenta_banner: #1, 20(77%)
minecraft.picked_up.brown_mushroom_block: #1, 9997(23%)
minecraft.crafted.orange_concrete_powder: #1, 6384(35%)
minecraft.crafted.jungle_wood: #1, 960(32%)
minecraft.used.red_sandstone_wall: #1, 219(57%)
minecraft.used.pink_concrete_powder: #1, 2624(26%)
minecraft.picked_up.heavy_weighted_pressure_plate: #2, 3793(34%)
minecraft.used.orange_wool: #2, 3331(26%)
minecraft.crafted.warped_hyphae: #1, 1984(28%)
