stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #56, 5297(0%)
minecraft.custom.leave_game: #62, 2(0%)
minecraft.custom.time_since_death: #64, 5297(0%)
minecraft.custom.walk_under_water_one_cm: #66, 151(0%)
minecraft.custom.walk_on_water_one_cm: #68, 64(0%)
minecraft.custom.play_time: #69, 5297(0%)
minecraft.custom.total_world_time: #69, 5297(0%)
minecraft.custom.fly_one_cm: #70, 2622(0%)
minecraft.custom.sneak_time: #70, 22(0%)
