stat, rank, value, (percentage) 
minecraft.used.pointed_dripstone: #1, 91050(95%)
minecraft.picked_up.feather: #1, 26439(64%)
minecraft.picked_up.chicken: #1, 29163(68%)
minecraft.used.powder_snow_bucket: #1, 8282(87%)
minecraft.used.cauldron: #1, 3306(72%)
minecraft.dropped.chicken: #1, 20326(73%)
minecraft.crafted.cauldron: #1, 3167(63%)
minecraft.killed.chicken: #1, 12708(58%)
minecraft.custom.inspect_dispenser: #1, 16476(48%)
minecraft.used.flint_and_steel: #1, 9848(52%)
minecraft.dropped.cornflower: #1, 5345(89%)
minecraft.crafted.writable_book: #1, 773(57%)
minecraft.used.spyglass: #1, 3874(59%)
minecraft.custom.interact_with_brewingstand: #1, 5234(50%)
minecraft.picked_up.egg: #1, 13844(41%)
minecraft.crafted.stone_shovel: #1, 430(52%)
minecraft.crafted.fermented_spider_eye: #1, 1108(64%)
minecraft.crafted.crimson_sign: #1, 3005(91%)
minecraft.custom.target_hit: #1, 1233(41%)
minecraft.custom.use_cauldron: #1, 9573(83%)
minecraft.mined.red_carpet: #1, 1693(55%)
minecraft.crafted.diamond_leggings: #1, 128(45%)
minecraft.used.jack_o_lantern: #1, 9567(80%)
minecraft.picked_up.big_dripleaf: #1, 2164(45%)
minecraft.used.cake: #1, 85(61%)
minecraft.crafted.diamond_chestplate: #1, 120(46%)
minecraft.used.goat_horn: #1, 216(74%)
minecraft.crafted.magenta_dye: #1, 12092(46%)
minecraft.used.crimson_sign: #1, 3079(92%)
minecraft.used.pumpkin_pie: #1, 9876(33%)
minecraft.picked_up.nether_wart: #1, 17737(45%)
minecraft.crafted.flint_and_steel: #1, 213(40%)
minecraft.mined.nether_wart: #1, 4471(45%)
minecraft.used.magenta_shulker_box: #1, 1354(53%)
minecraft.used.nether_wart: #1, 4999(44%)
minecraft.dropped.pointed_dripstone: #1, 1035(46%)
minecraft.used.pumpkin_seeds: #1, 2992(65%)
minecraft.picked_up.polished_andesite_slab: #1, 2607(42%)
minecraft.mined.hanging_roots: #1, 3798(69%)
minecraft.mined.verdant_froglight: #1, 1129(54%)
minecraft.mined.polished_andesite_slab: #1, 1858(45%)
minecraft.crafted.purple_dye: #1, 13704(45%)
minecraft.crafted.light_weighted_pressure_plate: #1, 5236(72%)
minecraft.crafted.sugar: #1, 15220(44%)
minecraft.mined.smooth_stone: #1, 2900(46%)
minecraft.crafted.written_book: #1, 600(84%)
minecraft.crafted.blue_dye: #1, 25566(35%)
minecraft.picked_up.verdant_froglight: #1, 1249(50%)
minecraft.picked_up.powder_snow_bucket: #1, 485(70%)
minecraft.picked_up.magenta_shulker_box: #1, 1354(54%)
minecraft.crafted.yellow_dye: #1, 18890(37%)
minecraft.custom.walk_under_water_one_cm: #1, 43009298(14%)
minecraft.crafted.gold_nugget: #1, 49251(64%)
minecraft.custom.eat_cake_slice: #1, 103(45%)
minecraft.picked_up.ender_chest: #1, 5335(29%)
minecraft.picked_up.turtle_egg: #1, 848(73%)
minecraft.used.leather_boots: #1, 52(53%)
minecraft.picked_up.seagrass: #1, 1776(47%)
minecraft.used.egg: #1, 11473(31%)
minecraft.crafted.polished_deepslate_wall: #1, 1233(52%)
minecraft.custom.open_enderchest: #1, 23498(20%)
minecraft.picked_up.cauldron: #1, 313(43%)
minecraft.killed.pufferfish: #1, 207(72%)
minecraft.custom.fill_cauldron: #1, 420(49%)
minecraft.crafted.firework_star: #1, 113713(93%)
minecraft.used.dispenser: #1, 2278(35%)
minecraft.mined.magenta_shulker_box: #1, 1355(54%)
minecraft.crafted.lime_dye: #1, 15386(40%)
minecraft.crafted.pink_dye: #1, 11850(38%)
minecraft.mined.ender_chest: #1, 5291(31%)
minecraft.mined.gray_shulker_box: #1, 1289(39%)
minecraft.broken.flint_and_steel: #1, 110(65%)
minecraft.mined.lime_stained_glass_pane: #1, 893(75%)
minecraft.mined.mangrove_propagule: #1, 1080(47%)
minecraft.custom.animals_bred: #1, 5556(36%)
minecraft.picked_up.pufferfish: #1, 209(47%)
minecraft.used.crimson_stem: #1, 13152(34%)
minecraft.picked_up.blue_shulker_box: #1, 1989(42%)
minecraft.mined.birch_wall_sign: #1, 403(33%)
minecraft.picked_up.gray_shulker_box: #1, 1295(39%)
minecraft.used.ender_chest: #1, 5316(31%)
minecraft.used.big_dripleaf: #1, 362(47%)
minecraft.used.blue_shulker_box: #1, 1987(42%)
minecraft.dropped.leather_helmet: #1, 100(35%)
minecraft.crafted.orange_dye: #1, 11485(38%)
minecraft.used.gray_shulker_box: #1, 1289(38%)
minecraft.picked_up.carved_pumpkin: #2, 6213(23%)
minecraft.mined.cauldron: #1, 153(41%)
minecraft.mined.blue_shulker_box: #1, 1986(42%)
