stat, rank, value, (percentage) 
minecraft.picked_up.item_frame: #31, 3(0%)
minecraft.picked_up.tuff: #31, 78(0%)
minecraft.mined.tuff: #31, 76(0%)
minecraft.custom.interact_with_furnace: #31, 18(0%)
minecraft.mined.furnace: #31, 1(0%)
minecraft.picked_up.wheat_seeds: #31, 31(0%)
minecraft.mined.deepslate_gold_ore: #31, 2(0%)
minecraft.crafted.crafting_table: #32, 5(0%)
minecraft.picked_up.lapis_lazuli: #32, 62(0%)
minecraft.used.furnace: #32, 3(0%)
minecraft.used.dirt: #32, 344(0%)
minecraft.picked_up.diamond: #32, 19(0%)
minecraft.custom.boat_one_cm: #32, 164418(0%)
minecraft.picked_up.oak_log: #32, 63(0%)
minecraft.used.birch_sign: #32, 2(0%)
minecraft.picked_up.stick: #32, 40(0%)
minecraft.crafted.chest: #32, 10(0%)
minecraft.crafted.iron_ingot: #32, 57(0%)
minecraft.used.written_book: #32, 2(0%)
minecraft.used.bucket: #32, 6(0%)
minecraft.custom.walk_one_cm: #33, 1431152(0%)
minecraft.crafted.furnace: #33, 2(0%)
minecraft.picked_up.furnace: #33, 1(0%)
minecraft.mined.grass_block: #33, 174(0%)
minecraft.mined.moss_block: #33, 4(0%)
minecraft.custom.interact_with_crafting_table: #34, 47(0%)
minecraft.used.chest: #34, 8(0%)
minecraft.picked_up.chest: #34, 3(0%)
minecraft.dropped.cobblestone: #34, 1(0%)
minecraft.used.crafting_table: #35, 6(0%)
minecraft.picked_up.moss_block: #35, 2(0%)
minecraft.killed.zombie: #35, 3(0%)
minecraft.custom.open_chest: #36, 150(0%)
minecraft.mined.chest: #36, 1(0%)
minecraft.mined.crafting_table: #37, 1(0%)
minecraft.picked_up.rotten_flesh: #37, 3(0%)
minecraft.custom.damage_dealt: #37, 988(0%)
minecraft.picked_up.filled_map: #37, 1(0%)
minecraft.custom.mob_kills: #37, 6(0%)
minecraft.picked_up.crafting_table: #38, 1(0%)
minecraft.custom.time_since_death: #39, 95580(0%)
minecraft.custom.deaths: #40, 3(0%)
minecraft.custom.crouch_one_cm: #40, 32130(0%)
minecraft.custom.open_enderchest: #41, 2(0%)
minecraft.custom.swim_one_cm: #41, 1490(0%)
minecraft.custom.jump: #42, 984(0%)
minecraft.custom.walk_under_water_one_cm: #43, 91308(0%)
minecraft.custom.damage_taken: #43, 1385(0%)
minecraft.custom.sprint_one_cm: #43, 183588(0%)
minecraft.custom.open_barrel: #44, 5(0%)
minecraft.custom.open_shulker_box: #44, 9(0%)
minecraft.custom.fall_one_cm: #45, 7421(0%)
minecraft.custom.leave_game: #48, 43(0%)
minecraft.custom.sneak_time: #48, 28639(0%)
minecraft.custom.drop: #50, 1(0%)
minecraft.custom.play_time: #55, 637364(0%)
minecraft.custom.total_world_time: #55, 637364(0%)
minecraft.custom.fly_one_cm: #69, 5186(0%)
