stat, rank, value, (percentage) 
minecraft.mined.deepslate_redstone_ore: #4, 2247(6%)
minecraft.custom.interact_with_blast_furnace: #5, 544(10%)
minecraft.picked_up.creeper_head: #3, 3(14%)
minecraft.used.enchanting_table: #4, 7(8%)
minecraft.crafted.magenta_stained_glass: #3, 840(6%)
minecraft.used.deepslate_copper_ore: #4, 99(11%)
minecraft.crafted.ladder: #4, 651(6%)
minecraft.killed.endermite: #4, 13(10%)
minecraft.dropped.cooked_beef: #4, 135(9%)
minecraft.custom.talked_to_villager: #5, 7241(9%)
minecraft.mined.suspicious_sand: #3, 10(7%)
minecraft.picked_up.gold_ore: #4, 115(7%)
minecraft.picked_up.feather: #4, 2280(6%)
minecraft.dropped.shroomlight: #3, 63(5%)
minecraft.used.dandelion: #4, 30(7%)
minecraft.killed_by.zombie: #4, 7(9%)
minecraft.crafted.armor_stand: #4, 186(6%)
minecraft.dropped.allium: #3, 10(6%)
minecraft.picked_up.dead_horn_coral: #3, 1(20%)
minecraft.mined.dead_horn_coral: #3, 1(20%)
minecraft.crafted.mangrove_hanging_sign: #3, 6(20%)
minecraft.crafted.bamboo_chest_raft: #3, 1(20%)
minecraft.picked_up.cherry_slab: #3, 5(15%)
minecraft.dropped.orange_dye: #3, 12(7%)
minecraft.dropped.bow: #4, 202(5%)
minecraft.dropped.armor_stand: #4, 22(14%)
minecraft.dropped.mossy_cobblestone_wall: #3, 3(14%)
minecraft.picked_up.armor_stand: #5, 197(9%)
minecraft.picked_up.blue_dye: #4, 151(11%)
minecraft.dropped.cherry_planks: #3, 7(8%)
minecraft.dropped.written_book: #5, 16(9%)
minecraft.crafted.deepslate_brick_wall: #4, 65(10%)
minecraft.dropped.mangrove_fence: #3, 2(10%)
minecraft.dropped.soul_sand: #3, 347(2%)
minecraft.crafted.pumpkin_seeds: #4, 140(12%)
minecraft.dropped.birch_hanging_sign: #3, 5(15%)
minecraft.picked_up.fermented_spider_eye: #3, 22(11%)
minecraft.picked_up.birch_fence: #4, 166(7%)
minecraft.used.diamond_block: #5, 407(10%)
minecraft.dropped.warped_stairs: #3, 3(7%)
minecraft.killed_by.blaze: #3, 1(14%)
minecraft.picked_up.snort_pottery_sherd: #4, 5(14%)
minecraft.dropped.red_sandstone: #3, 2(11%)
minecraft.mined.big_dripleaf: #4, 21(6%)
minecraft.dropped.glow_berries: #4, 50(7%)
minecraft.used.iron_ore: #5, 1017(9%)
minecraft.dropped.golden_axe: #3, 2(5%)
minecraft.picked_up.pufferfish: #4, 32(7%)
minecraft.dropped.bamboo_slab: #3, 2(9%)
minecraft.crafted.jungle_pressure_plate: #3, 4(4%)
minecraft.picked_up.diorite_wall: #4, 118(10%)
minecraft.picked_up.quartz_block: #4, 1571(5%)
minecraft.dropped.purpur_block: #4, 52(9%)
minecraft.used.deepslate_emerald_ore: #3, 2(8%)
minecraft.mined.light_gray_glazed_terracotta: #3, 27(4%)
minecraft.dropped.salmon: #3, 32(2%)
minecraft.used.music_disc_far: #3, 4(5%)
minecraft.picked_up.deepslate_coal_ore: #4, 16(10%)
minecraft.used.deepslate_iron_ore: #5, 360(10%)
minecraft.dropped.fishing_rod: #4, 7(9%)
minecraft.picked_up.cut_red_sandstone_slab: #3, 3(6%)
minecraft.mined.bamboo_fence: #3, 2(7%)
minecraft.mined.jukebox: #5, 55(9%)
minecraft.picked_up.weathered_cut_copper: #4, 6(10%)
minecraft.picked_up.brown_dye: #4, 96(11%)
minecraft.picked_up.popped_chorus_fruit: #3, 27(6%)
minecraft.picked_up.cooked_cod: #4, 42(7%)
minecraft.crafted.pink_banner: #3, 1(7%)
minecraft.dropped.diamond_helmet: #5, 10(9%)
minecraft.dropped.golden_apple: #4, 22(6%)
minecraft.crafted.brown_bed: #3, 2(5%)
minecraft.dropped.red_candle: #3, 4(2%)
minecraft.crafted.exposed_cut_copper: #3, 8(4%)
minecraft.dropped.popped_chorus_fruit: #3, 9(6%)
minecraft.crafted.turtle_helmet: #3, 15(6%)
minecraft.crafted.cut_red_sandstone_slab: #3, 2(6%)
minecraft.mined.lapis_block: #3, 102(2%)
minecraft.custom.interact_with_lectern: #4, 308(3%)
minecraft.picked_up.jukebox: #5, 51(9%)
minecraft.dropped.cooked_mutton: #4, 6(11%)
minecraft.used.music_disc_stal: #3, 4(4%)
minecraft.picked_up.yellow_glazed_terracotta: #4, 32(14%)
minecraft.picked_up.bamboo_mosaic: #3, 4(3%)
minecraft.crafted.golden_shovel: #3, 1(5%)
minecraft.crafted.spruce_chest_boat: #3, 1(5%)
minecraft.picked_up.red_stained_glass_pane: #4, 64(7%)
minecraft.picked_up.pink_banner: #3, 1(4%)
minecraft.picked_up.bamboo_fence: #3, 4(3%)
minecraft.dropped.deepslate_gold_ore: #4, 32(10%)
minecraft.dropped.name_tag: #4, 40(5%)
minecraft.dropped.firework_star: #3, 2(2%)
minecraft.crafted.prismarine_brick_stairs: #3, 1(3%)
minecraft.picked_up.orange_banner: #3, 1(3%)
minecraft.dropped.shulker_shell: #4, 247(8%)
minecraft.used.chainmail_helmet: #3, 1(3%)
minecraft.picked_up.stone_slab: #5, 1522(7%)
minecraft.crafted.cookie: #4, 992(15%)
minecraft.dropped.cyan_stained_glass: #3, 7(2%)
minecraft.used.mangrove_hanging_sign: #3, 1(2%)
minecraft.dropped.melon_slice: #3, 49(0%)
minecraft.picked_up.green_stained_glass_pane: #4, 57(12%)
minecraft.picked_up.glistering_melon_slice: #3, 1(1%)
minecraft.crafted.spectral_arrow: #3, 2(1%)
minecraft.picked_up.diamond_sword: #5, 74(5%)
minecraft.picked_up.gray_candle: #3, 1(1%)
minecraft.picked_up.blue_glazed_terracotta: #3, 1(1%)
minecraft.dropped.warped_nylium: #4, 27(9%)
minecraft.picked_up.suspicious_gravel: #3, 1(1%)
minecraft.picked_up.scute: #3, 1(0%)
minecraft.mined.infested_stone: #4, 14(6%)
minecraft.dropped.string: #5, 5258(7%)
minecraft.crafted.blue_glazed_terracotta: #3, 1(0%)
minecraft.crafted.gray_candle: #3, 1(0%)
minecraft.picked_up.dead_bubble_coral: #4, 1(25%)
minecraft.used.music_disc_mall: #4, 5(12%)
minecraft.mined.dead_bubble_coral_fan: #4, 1(25%)
minecraft.dropped.jungle_boat: #4, 4(12%)
minecraft.killed_by.ghast: #4, 1(25%)
minecraft.dropped.netherite_chestplate: #4, 1(25%)
minecraft.dropped.dried_kelp_block: #4, 1(25%)
minecraft.crafted.oak_chest_boat: #4, 1(25%)
minecraft.dropped.splash_potion: #4, 35(6%)
minecraft.dropped.cut_sandstone: #4, 53(7%)
minecraft.custom.interact_with_brewingstand: #4, 375(4%)
minecraft.picked_up.music_disc_relic: #4, 3(12%)
minecraft.crafted.oak_fence: #5, 390(7%)
minecraft.dropped.potato: #4, 157(4%)
minecraft.crafted.experience_bottle: #4, 4603(6%)
minecraft.dropped.polished_deepslate_wall: #4, 69(7%)
minecraft.mined.bricks: #5, 263(8%)
minecraft.dropped.deepslate_redstone_ore: #5, 46(13%)
minecraft.dropped.end_stone_bricks: #5, 54(12%)
minecraft.mined.gold_block: #4, 202(4%)
minecraft.picked_up.iron_sword: #5, 18(8%)
minecraft.picked_up.bamboo_door: #4, 2(17%)
minecraft.used.jungle_pressure_plate: #4, 3(14%)
minecraft.picked_up.magenta_stained_glass: #4, 98(4%)
minecraft.mined.polished_blackstone_button: #4, 19(5%)
minecraft.picked_up.light_gray_stained_glass: #4, 274(4%)
minecraft.picked_up.wild_armor_trim_smithing_template: #4, 1(20%)
minecraft.mined.dead_bubble_coral: #4, 1(20%)
minecraft.crafted.skull_banner_pattern: #4, 1(20%)
minecraft.dropped.raw_copper: #5, 895(9%)
minecraft.crafted.yellow_shulker_box: #5, 22(8%)
minecraft.picked_up.smooth_quartz_slab: #5, 293(7%)
minecraft.crafted.purple_banner: #4, 6(9%)
minecraft.picked_up.mangrove_fence_gate: #4, 2(13%)
minecraft.picked_up.end_stone_brick_slab: #4, 3(11%)
minecraft.crafted.birch_chest_boat: #4, 1(17%)
minecraft.crafted.cherry_pressure_plate: #4, 1(17%)
minecraft.crafted.acacia_hanging_sign: #4, 6(17%)
minecraft.mined.deepslate_copper_ore: #5, 204(7%)
minecraft.mined.diamond_block: #5, 237(7%)
minecraft.dropped.blackstone: #4, 1061(3%)
minecraft.picked_up.melon_seeds: #5, 35(8%)
minecraft.mined.stonecutter: #5, 119(6%)
minecraft.dropped.red_stained_glass_pane: #4, 31(9%)
minecraft.used.end_crystal: #4, 5(6%)
minecraft.used.white_stained_glass: #5, 3291(7%)
minecraft.dropped.mud_brick_slab: #4, 10(8%)
minecraft.dropped.cherry_log: #4, 16(10%)
minecraft.picked_up.stonecutter: #5, 123(6%)
minecraft.picked_up.beacon: #5, 46(7%)
minecraft.dropped.white_stained_glass: #4, 79(5%)
minecraft.used.diamond_helmet: #5, 11(9%)
minecraft.killed_by.iron_golem: #4, 2(8%)
minecraft.killed_by.zombie_villager: #4, 1(14%)
minecraft.crafted.beetroot_soup: #4, 1(14%)
minecraft.crafted.bamboo_pressure_plate: #4, 1(14%)
minecraft.mined.chipped_anvil: #5, 24(7%)
minecraft.custom.swim_one_cm: #6, 8110594(6%)
minecraft.dropped.porkchop: #4, 21(3%)
minecraft.used.music_disc_cat: #5, 22(9%)
minecraft.dropped.nautilus_shell: #4, 4(5%)
minecraft.dropped.crimson_sign: #4, 2(9%)
minecraft.used.splash_potion: #5, 61(5%)
minecraft.used.pink_stained_glass: #4, 399(4%)
minecraft.picked_up.bamboo_hanging_sign: #4, 5(13%)
minecraft.dropped.map: #4, 21(4%)
minecraft.dropped.light_blue_dye: #4, 5(5%)
minecraft.crafted.blue_carpet: #4, 67(4%)
minecraft.killed_by.guardian: #4, 1(12%)
minecraft.mined.deepslate_iron_ore: #5, 1020(5%)
minecraft.used.deepslate_gold_ore: #5, 321(7%)
minecraft.dropped.oak_fence_gate: #4, 3(6%)
minecraft.used.writable_book: #5, 300(4%)
minecraft.dropped.chiseled_stone_bricks: #4, 146(4%)
minecraft.used.shield: #5, 304(6%)
minecraft.used.note_block: #5, 279(5%)
minecraft.killed.strider: #4, 2(9%)
minecraft.used.music_disc_chirp: #4, 4(6%)
minecraft.dropped.wooden_sword: #4, 14(2%)
minecraft.dropped.nether_wart: #4, 54(5%)
minecraft.used.deepslate_coal_ore: #4, 3(6%)
minecraft.picked_up.chipped_anvil: #5, 24(6%)
minecraft.picked_up.white_wool: #5, 960(5%)
minecraft.used.lapis_block: #4, 266(4%)
minecraft.crafted.bread: #5, 2279(6%)
minecraft.dropped.cracked_polished_blackstone_bricks: #4, 56(4%)
minecraft.crafted.cherry_fence_gate: #4, 1(10%)
minecraft.used.emerald_block: #5, 1119(5%)
minecraft.used.stone_pickaxe: #5, 693(5%)
minecraft.picked_up.wooden_hoe: #5, 8(10%)
minecraft.picked_up.stripped_crimson_stem: #5, 187(5%)
minecraft.mined.dead_fire_coral: #4, 1(8%)
minecraft.crafted.mangrove_boat: #4, 2(5%)
minecraft.picked_up.cherry_door: #4, 2(6%)
minecraft.picked_up.dead_fire_coral: #4, 1(8%)
minecraft.crafted.cherry_boat: #4, 2(5%)
minecraft.picked_up.light_gray_glazed_terracotta: #4, 27(3%)
minecraft.used.birch_fence: #5, 305(6%)
minecraft.dropped.bubble_coral_fan: #4, 5(4%)
minecraft.dropped.magma_cream: #5, 35(8%)
minecraft.dropped.target: #4, 2(5%)
minecraft.dropped.blue_dye: #4, 10(4%)
minecraft.picked_up.smooth_quartz_stairs: #5, 89(5%)
minecraft.dropped.smooth_quartz_slab: #5, 55(11%)
minecraft.picked_up.blade_pottery_sherd: #4, 3(4%)
minecraft.picked_up.heart_of_the_sea: #4, 3(4%)
minecraft.crafted.iron_hoe: #4, 5(2%)
minecraft.crafted.bamboo_mosaic: #4, 14(4%)
minecraft.mined.target: #5, 34(7%)
minecraft.picked_up.bone_meal: #5, 11884(4%)
minecraft.dropped.fire_coral_fan: #4, 3(4%)
minecraft.crafted.exposed_cut_copper_stairs: #4, 2(5%)
minecraft.crafted.netherite_block: #4, 4(2%)
minecraft.dropped.soul_torch: #4, 12(3%)
minecraft.picked_up.light_blue_concrete_powder: #5, 51(9%)
minecraft.crafted.golden_hoe: #4, 1(5%)
minecraft.dropped.item_frame: #5, 21(5%)
minecraft.used.cooked_rabbit: #4, 3(3%)
minecraft.dropped.polished_diorite_slab: #4, 1(4%)
minecraft.crafted.bamboo_fence_gate: #4, 1(4%)
minecraft.dropped.crimson_stairs: #4, 3(3%)
minecraft.picked_up.blue_banner: #4, 1(3%)
minecraft.dropped.leather_helmet: #5, 13(5%)
minecraft.dropped.smooth_sandstone_slab: #4, 1(3%)
minecraft.crafted.weathered_cut_copper_slab: #4, 2(3%)
minecraft.picked_up.archer_pottery_sherd: #4, 1(3%)
minecraft.crafted.prismarine_stairs: #4, 1(3%)
minecraft.used.coal_block: #5, 236(6%)
minecraft.dropped.glistering_melon_slice: #4, 1(3%)
minecraft.dropped.minecart: #5, 31(6%)
minecraft.killed.elder_guardian: #5, 8(8%)
minecraft.crafted.magenta_bed: #4, 1(2%)
minecraft.picked_up.cherry_fence: #4, 2(2%)
minecraft.used.blue_carpet: #4, 21(1%)
minecraft.custom.play_record: #6, 98(7%)
minecraft.crafted.tipped_arrow: #4, 8(2%)
minecraft.used.light_gray_stained_glass: #5, 2626(5%)
minecraft.picked_up.smooth_red_sandstone_slab: #4, 3(2%)
minecraft.dropped.nether_brick_stairs: #4, 2(1%)
minecraft.dropped.crimson_fence: #4, 3(1%)
minecraft.picked_up.friend_pottery_sherd: #5, 2(11%)
minecraft.crafted.red_nether_brick_slab: #4, 2(1%)
minecraft.picked_up.brown_bed: #4, 1(1%)
minecraft.crafted.red_nether_brick_wall: #4, 1(1%)
minecraft.killed_by.piglin: #5, 2(8%)
minecraft.crafted.red_sandstone_stairs: #4, 1(1%)
minecraft.dropped.purple_concrete_powder: #4, 1(1%)
minecraft.dropped.red_stained_glass: #4, 5(1%)
minecraft.dropped.red_glazed_terracotta: #4, 1(1%)
minecraft.dropped.pink_concrete_powder: #4, 1(1%)
minecraft.picked_up.seagrass: #5, 192(5%)
minecraft.picked_up.firework_star: #4, 2(0%)
minecraft.picked_up.magenta_candle: #4, 1(0%)
minecraft.dropped.brown_glazed_terracotta: #4, 2(0%)
minecraft.dropped.magenta_concrete_powder: #4, 1(0%)
minecraft.crafted.light_blue_glazed_terracotta: #4, 1(0%)
minecraft.picked_up.clock: #5, 10(6%)
minecraft.crafted.fire_charge: #4, 3(0%)
minecraft.crafted.birch_fence: #5, 243(5%)
minecraft.crafted.cracked_nether_bricks: #4, 1(0%)
minecraft.crafted.magenta_candle: #4, 1(0%)
minecraft.crafted.pink_candle: #4, 1(0%)
minecraft.crafted.blue_candle: #4, 1(0%)
minecraft.crafted.light_blue_candle: #4, 1(0%)
minecraft.crafted.orange_candle: #4, 1(0%)
minecraft.picked_up.diamond_horse_armor: #5, 5(8%)
minecraft.crafted.sea_pickle: #5, 5(20%)
minecraft.dropped.rabbit_stew: #5, 1(20%)
minecraft.mined.lever: #6, 109(7%)
minecraft.custom.fill_cauldron: #5, 45(5%)
minecraft.crafted.emerald: #6, 41775(8%)
minecraft.used.pumpkin: #5, 998(4%)
minecraft.picked_up.lapis_lazuli: #6, 5550(6%)
minecraft.crafted.spyglass: #5, 5(7%)
minecraft.picked_up.beetroot_seeds: #5, 276(5%)
minecraft.mined.moss_block: #5, 4257(3%)
minecraft.picked_up.lapis_block: #5, 438(5%)
minecraft.crafted.note_block: #5, 180(3%)
minecraft.dropped.azalea: #5, 75(4%)
minecraft.mined.gravel: #6, 26712(6%)
minecraft.picked_up.enchanted_book: #6, 122(7%)
minecraft.picked_up.diamond_helmet: #6, 27(5%)
minecraft.used.shroomlight: #6, 257(7%)
minecraft.dropped.apple: #5, 59(4%)
minecraft.used.diamond_boots: #6, 15(8%)
minecraft.picked_up.angler_pottery_sherd: #5, 4(11%)
minecraft.killed_by.hoglin: #5, 1(17%)
minecraft.used.coal_ore: #6, 1648(6%)
minecraft.used.yellow_stained_glass: #5, 607(5%)
minecraft.picked_up.blaze_rod: #6, 326(7%)
minecraft.crafted.smooth_quartz_slab: #5, 412(5%)
minecraft.used.netherite_boots: #5, 18(4%)
minecraft.dropped.flowering_azalea: #5, 31(3%)
minecraft.picked_up.diamond_boots: #6, 47(5%)
minecraft.killed_by.vex: #6, 15(7%)
minecraft.used.ladder: #6, 522(6%)
minecraft.mined.smooth_quartz_stairs: #6, 81(7%)
minecraft.dropped.netherrack: #5, 14572(3%)
minecraft.picked_up.diamond_chestplate: #6, 22(7%)
minecraft.dropped.coal: #5, 205(3%)
minecraft.crafted.nautilus_shell: #5, 5(14%)
minecraft.mined.white_bed: #6, 134(6%)
minecraft.dropped.sandstone_slab: #5, 39(8%)
minecraft.mined.birch_fence: #6, 99(8%)
minecraft.mined.white_carpet: #5, 301(3%)
minecraft.used.gold_ore: #6, 79(8%)
minecraft.used.golden_apple: #5, 9(3%)
minecraft.picked_up.orange_stained_glass_pane: #5, 20(6%)
minecraft.used.golden_helmet: #5, 2(11%)
minecraft.dropped.hay_block: #5, 44(5%)
minecraft.picked_up.iron_chestplate: #5, 16(2%)
minecraft.picked_up.danger_pottery_sherd: #5, 2(8%)
minecraft.killed.chicken: #5, 513(2%)
minecraft.dropped.dragon_head: #5, 1(12%)
minecraft.crafted.jungle_slab: #5, 288(4%)
minecraft.mined.deepslate_emerald_ore: #5, 3(8%)
minecraft.picked_up.gold_block: #5, 291(2%)
minecraft.dropped.brick_stairs: #5, 16(10%)
minecraft.picked_up.bamboo: #6, 15696(6%)
minecraft.picked_up.tadpole_bucket: #5, 5(7%)
minecraft.used.exposed_cut_copper: #5, 4(5%)
minecraft.dropped.cobblestone: #6, 3838(5%)
minecraft.used.music_disc_blocks: #5, 4(5%)
minecraft.picked_up.dead_brain_coral: #5, 1(11%)
minecraft.crafted.bamboo_hanging_sign: #5, 6(11%)
minecraft.killed.wolf: #5, 1(11%)
minecraft.dropped.iron_sword: #6, 14(9%)
minecraft.killed.parrot: #5, 1(11%)
minecraft.dropped.warped_fungus_on_a_stick: #5, 1(11%)
minecraft.picked_up.bamboo_sign: #5, 2(9%)
minecraft.picked_up.deepslate_emerald_ore: #5, 3(7%)
minecraft.used.music_disc_mellohi: #5, 4(6%)
minecraft.picked_up.note_block: #6, 107(6%)
minecraft.mined.oak_wall_sign: #6, 53(5%)
minecraft.crafted.mossy_stone_brick_stairs: #5, 17(7%)
minecraft.dropped.stone_brick_stairs: #5, 28(4%)
minecraft.crafted.ward_armor_trim_smithing_template: #5, 2(11%)
minecraft.used.armor_stand: #6, 178(5%)
minecraft.picked_up.cherry_stairs: #5, 3(9%)
minecraft.crafted.netherite_ingot: #5, 54(2%)
minecraft.mined.infested_mossy_stone_bricks: #5, 1(10%)
minecraft.picked_up.dead_bubble_coral_fan: #5, 1(10%)
minecraft.mined.dead_brain_coral: #5, 1(10%)
minecraft.used.stonecutter: #6, 123(5%)
minecraft.picked_up.polished_blackstone_button: #5, 40(3%)
minecraft.dropped.diamond_leggings: #6, 11(5%)
minecraft.dropped.iron_shovel: #6, 7(5%)
minecraft.dropped.warped_fence: #5, 2(6%)
minecraft.dropped.fire_coral: #5, 1(9%)
minecraft.crafted.bamboo_stairs: #5, 4(9%)
minecraft.crafted.dark_oak_hanging_sign: #5, 6(9%)
minecraft.custom.damage_blocked_by_shield: #6, 14615(6%)
minecraft.dropped.end_stone: #5, 41(3%)
minecraft.crafted.cherry_sign: #5, 6(7%)
minecraft.mined.fire: #7, 1624(7%)
minecraft.dropped.enchanted_book: #6, 92(7%)
minecraft.mined.ancient_debris: #5, 144(2%)
minecraft.dropped.iron_leggings: #5, 9(2%)
minecraft.dropped.diorite_wall: #5, 35(6%)
minecraft.dropped.chiseled_sandstone: #5, 3(5%)
minecraft.crafted.host_armor_trim_smithing_template: #5, 2(8%)
minecraft.crafted.emerald_block: #5, 1842(2%)
minecraft.picked_up.magma_cream: #6, 253(5%)
minecraft.picked_up.howl_pottery_sherd: #5, 1(7%)
minecraft.picked_up.ancient_debris: #5, 144(1%)
minecraft.picked_up.repeater: #6, 416(5%)
minecraft.used.smooth_quartz_stairs: #6, 508(5%)
minecraft.picked_up.nether_quartz_ore: #6, 1014(6%)
minecraft.dropped.bone: #6, 1729(4%)
minecraft.picked_up.emerald_ore: #6, 47(6%)
minecraft.mined.mossy_stone_bricks: #6, 101(6%)
minecraft.used.diamond_ore: #6, 14(10%)
minecraft.picked_up.dead_tube_coral: #5, 1(7%)
minecraft.mined.dead_tube_coral: #5, 1(7%)
minecraft.crafted.tide_armor_trim_smithing_template: #5, 2(7%)
minecraft.dropped.polished_blackstone_slab: #5, 37(4%)
minecraft.used.activator_rail: #5, 54(3%)
minecraft.dropped.cauldron: #5, 2(4%)
minecraft.broken.stone_shovel: #5, 4(3%)
minecraft.killed_by.piglin_brute: #5, 1(6%)
minecraft.mined.black_glazed_terracotta: #5, 22(3%)
minecraft.crafted.white_stained_glass: #6, 3168(6%)
minecraft.crafted.bamboo_door: #5, 3(6%)
minecraft.crafted.jungle_hanging_sign: #5, 6(6%)
minecraft.dropped.lever: #6, 27(6%)
minecraft.used.sunflower: #6, 15(6%)
minecraft.picked_up.redstone_ore: #6, 40(6%)
minecraft.picked_up.redstone_torch: #6, 383(5%)
minecraft.mined.green_stained_glass_pane: #5, 11(3%)
minecraft.used.brown_stained_glass: #5, 50(3%)
minecraft.used.minecart: #6, 131(5%)
minecraft.crafted.chiseled_red_sandstone: #5, 1(5%)
minecraft.mined.chiseled_nether_bricks: #5, 1(5%)
minecraft.picked_up.light_blue_candle: #5, 12(5%)
minecraft.picked_up.oak_planks: #6, 744(4%)
minecraft.dropped.heavy_weighted_pressure_plate: #5, 4(2%)
minecraft.picked_up.cherry_planks: #5, 7(2%)
minecraft.picked_up.cherry_trapdoor: #5, 3(4%)
minecraft.mined.kelp: #6, 283(5%)
minecraft.dropped.stone_brick_slab: #5, 61(1%)
minecraft.dropped.cut_copper_slab: #5, 1(4%)
minecraft.dropped.water_bucket: #6, 19(4%)
minecraft.dropped.deepslate_lapis_ore: #5, 2(2%)
minecraft.used.filled_map: #5, 1(4%)
minecraft.killed.silverfish: #6, 18(5%)
minecraft.used.dispenser: #6, 288(4%)
minecraft.picked_up.green_concrete_powder: #5, 156(1%)
minecraft.crafted.golden_axe: #5, 1(3%)
minecraft.crafted.magenta_wool: #5, 13(2%)
minecraft.dropped.mangrove_propagule: #5, 4(1%)
minecraft.picked_up.magenta_bed: #5, 1(3%)
minecraft.dropped.honey_bottle: #5, 5(2%)
minecraft.picked_up.warped_sign: #6, 31(6%)
minecraft.dropped.bamboo: #6, 1635(6%)
minecraft.dropped.wooden_hoe: #6, 6(10%)
minecraft.dropped.polished_blackstone_button: #5, 14(1%)
minecraft.crafted.cherry_button: #5, 1(3%)
minecraft.crafted.globe_banner_pattern: #5, 1(3%)
minecraft.mined.brown_stained_glass: #5, 8(2%)
minecraft.dropped.blackstone_slab: #5, 2(2%)
minecraft.picked_up.big_dripleaf: #6, 208(4%)
minecraft.dropped.carved_pumpkin: #7, 154(6%)
minecraft.used.brewing_stand: #6, 22(4%)
minecraft.dropped.emerald_block: #5, 98(1%)
minecraft.dropped.brown_stained_glass: #5, 2(2%)
minecraft.crafted.red_nether_brick_stairs: #5, 1(2%)
minecraft.crafted.red_sandstone_slab: #5, 2(2%)
minecraft.picked_up.light_blue_banner: #5, 1(2%)
minecraft.dropped.cut_sandstone_slab: #5, 1(2%)
minecraft.crafted.cooked_rabbit: #5, 1(1%)
minecraft.dropped.purple_candle: #5, 1(1%)
minecraft.dropped.bread: #6, 1752(5%)
minecraft.picked_up.stripped_cherry_log: #5, 7(1%)
minecraft.mined.stripped_cherry_log: #5, 7(1%)
minecraft.picked_up.target: #6, 37(5%)
minecraft.dropped.blue_stained_glass: #5, 1(1%)
minecraft.dropped.lime_dye: #5, 3(1%)
minecraft.dropped.prismarine_shard: #5, 33(0%)
minecraft.picked_up.iron_door: #6, 21(4%)
minecraft.crafted.magenta_banner: #5, 1(1%)
minecraft.used.melon: #5, 20(0%)
minecraft.dropped.nether_brick_fence: #5, 5(1%)
minecraft.crafted.cut_red_sandstone: #5, 1(1%)
minecraft.picked_up.dead_fire_coral_fan: #5, 1(1%)
minecraft.dropped.melon: #5, 1(1%)
minecraft.picked_up.black_candle: #5, 1(1%)
minecraft.crafted.purpur_block: #5, 4(1%)
minecraft.dropped.polished_blackstone_brick_slab: #5, 3(0%)
minecraft.picked_up.lime_banner: #5, 1(1%)
minecraft.picked_up.pink_carpet: #5, 33(0%)
minecraft.dropped.polished_blackstone_stairs: #5, 4(0%)
minecraft.dropped.red_dye: #6, 52(5%)
minecraft.crafted.orange_glazed_terracotta: #5, 2(0%)
minecraft.dropped.sunflower: #6, 64(5%)
minecraft.crafted.prismarine_slab: #5, 2(0%)
minecraft.picked_up.orange_candle: #5, 1(0%)
minecraft.crafted.nether_wart_block: #5, 1(0%)
minecraft.used.bamboo_fence: #5, 2(0%)
minecraft.dropped.magenta_wool: #5, 2(0%)
minecraft.crafted.black_candle: #5, 1(0%)
minecraft.mined.wither_rose: #5, 1(0%)
minecraft.crafted.purple_candle: #5, 1(0%)
minecraft.crafted.brown_candle: #5, 1(0%)
minecraft.dropped.nether_brick_slab: #5, 1(0%)
minecraft.picked_up.written_book: #7, 43(6%)
minecraft.picked_up.golden_boots: #6, 21(4%)
minecraft.picked_up.chest_minecart: #6, 4(8%)
minecraft.picked_up.purple_stained_glass_pane: #6, 32(8%)
minecraft.picked_up.chainmail_boots: #6, 6(4%)
minecraft.dropped.iron_block: #6, 361(4%)
minecraft.dropped.oxeye_daisy: #6, 16(6%)
minecraft.dropped.rose_bush: #6, 57(6%)
minecraft.crafted.quartz_block: #7, 7592(7%)
minecraft.picked_up.music_disc_otherside: #6, 10(4%)
minecraft.picked_up.nautilus_shell: #6, 16(5%)
minecraft.killed_by.pillager: #6, 1(14%)
minecraft.dropped.oak_button: #6, 4(7%)
minecraft.killed_by.magma_cube: #6, 1(14%)
minecraft.dropped.mangrove_door: #6, 1(14%)
minecraft.dropped.acacia_trapdoor: #6, 31(8%)
minecraft.picked_up.oxidized_copper: #6, 1086(3%)
minecraft.mined.carrots: #6, 416(3%)
minecraft.picked_up.coal_block: #6, 193(4%)
minecraft.picked_up.shroomlight: #7, 410(7%)
minecraft.dropped.yellow_shulker_box: #6, 2(7%)
minecraft.dropped.cyan_terracotta: #6, 93(5%)
minecraft.dropped.suspicious_stew: #6, 23(6%)
minecraft.crafted.light_gray_stained_glass: #6, 2392(4%)
minecraft.picked_up.iron_hoe: #6, 3(9%)
minecraft.dropped.magma_block: #6, 35(3%)
minecraft.picked_up.yellow_stained_glass_pane: #6, 44(5%)
minecraft.mined.deepslate_gold_ore: #7, 917(5%)
minecraft.mined.dead_horn_coral_fan: #6, 1(11%)
minecraft.dropped.iron_horse_armor: #6, 1(11%)
minecraft.picked_up.axolotl_bucket: #6, 5(4%)
minecraft.dropped.flowering_azalea_leaves: #6, 61(5%)
minecraft.dropped.stone_bricks: #6, 175(3%)
minecraft.picked_up.pink_stained_glass: #6, 76(4%)
minecraft.crafted.end_crystal: #6, 6(6%)
minecraft.crafted.eye_armor_trim_smithing_template: #6, 2(10%)
minecraft.mined.shroomlight: #7, 303(6%)
minecraft.mined.diamond_ore: #7, 30(7%)
minecraft.dropped.cracked_stone_bricks: #6, 39(4%)
minecraft.mined.beacon: #7, 31(7%)
minecraft.used.salmon_bucket: #6, 1(9%)
minecraft.picked_up.diamond_block: #7, 250(5%)
minecraft.crafted.iron_pickaxe: #7, 22(5%)
