stat, rank, value, (percentage) 
minecraft.mined.magenta_wool: #9, 11(3%)
minecraft.crafted.lime_stained_glass: #9, 384(2%)
minecraft.picked_up.cracked_stone_bricks: #9, 108(2%)
minecraft.picked_up.beetroot_seeds: #9, 104(2%)
minecraft.crafted.green_shulker_box: #9, 4(1%)
minecraft.crafted.birch_button: #9, 16(2%)
minecraft.picked_up.stone_sword: #9, 9(1%)
minecraft.killed.slime: #9, 324(1%)
minecraft.dropped.furnace: #9, 5(2%)
minecraft.crafted.green_dye: #9, 321(1%)
minecraft.mined.birch_planks: #9, 164(1%)
minecraft.used.oak_button: #9, 7(2%)
minecraft.dropped.diamond_horse_armor: #9, 1(3%)
minecraft.mined.orange_tulip: #9, 4(2%)
minecraft.crafted.orange_concrete_powder: #9, 360(2%)
minecraft.crafted.stone_brick_stairs: #9, 80(1%)
minecraft.mined.light_gray_stained_glass_pane: #9, 5(2%)
minecraft.used.salmon: #9, 1(2%)
minecraft.picked_up.conduit: #9, 1(3%)
minecraft.mined.brown_carpet: #9, 27(2%)
minecraft.crafted.lime_bed: #9, 1(2%)
minecraft.crafted.diorite_slab: #9, 18(2%)
minecraft.dropped.stone_sword: #9, 8(1%)
minecraft.used.iron_pickaxe: #10, 3531(4%)
minecraft.mined.mossy_cobblestone_stairs: #9, 2(2%)
minecraft.picked_up.purpur_stairs: #9, 14(1%)
minecraft.dropped.wooden_shovel: #9, 2(1%)
minecraft.used.red_tulip: #9, 1(2%)
minecraft.picked_up.name_tag: #9, 18(1%)
minecraft.crafted.green_carpet: #9, 72(1%)
minecraft.used.prismarine: #9, 91(1%)
minecraft.picked_up.chiseled_sandstone: #9, 2(1%)
minecraft.mined.nether_brick_stairs: #9, 2(1%)
minecraft.used.lime_wool: #9, 40(1%)
minecraft.picked_up.bamboo_planks: #9, 3(1%)
minecraft.used.pink_wool: #9, 64(1%)
minecraft.mined.gray_stained_glass_pane: #9, 5(1%)
minecraft.crafted.suspicious_stew: #9, 4(1%)
minecraft.picked_up.cherry_boat: #9, 1(1%)
minecraft.picked_up.light_gray_bed: #9, 8(0%)
minecraft.mined.light_gray_bed: #9, 8(0%)
minecraft.dropped.blackstone: #9, 125(0%)
minecraft.mined.spruce_door: #10, 12(5%)
minecraft.mined.spruce_slab: #10, 355(4%)
minecraft.used.pumpkin_seeds: #9, 20(0%)
minecraft.dropped.stone_brick_slab: #9, 19(0%)
minecraft.mined.stripped_oak_wood: #9, 8(0%)
minecraft.picked_up.light_gray_dye: #9, 8(0%)
minecraft.crafted.lever: #10, 211(4%)
minecraft.crafted.black_glazed_terracotta: #9, 6(0%)
minecraft.used.melon: #9, 9(0%)
minecraft.dropped.dried_kelp: #9, 5(0%)
minecraft.picked_up.gold_nugget: #9, 1377(0%)
minecraft.used.stripped_mangrove_wood: #9, 2(0%)
minecraft.killed.wither_skeleton: #9, 78(0%)
minecraft.dropped.prismarine_shard: #9, 5(0%)
minecraft.dropped.oak_sapling: #10, 107(4%)
minecraft.mined.composter: #10, 67(4%)
minecraft.used.stone_bricks: #10, 4545(3%)
minecraft.picked_up.composter: #10, 67(3%)
minecraft.mined.gray_concrete: #10, 1337(3%)
minecraft.dropped.spruce_planks: #10, 115(3%)
minecraft.used.iron_leggings: #10, 3(3%)
minecraft.picked_up.dark_oak_sapling: #10, 627(3%)
minecraft.crafted.diamond_boots: #10, 5(3%)
minecraft.used.oak_door: #10, 6(4%)
minecraft.mined.dark_oak_door: #10, 4(4%)
minecraft.crafted.stone: #10, 385(3%)
minecraft.picked_up.gray_stained_glass: #10, 58(4%)
minecraft.killed.shulker: #10, 117(3%)
minecraft.mined.flowering_azalea: #10, 54(2%)
minecraft.used.gray_concrete: #10, 1151(3%)
minecraft.dropped.golden_apple: #10, 11(3%)
minecraft.mined.peony: #10, 7(2%)
minecraft.used.iron_chestplate: #10, 2(3%)
minecraft.picked_up.rooted_dirt: #10, 377(2%)
minecraft.used.oak_planks: #10, 413(2%)
minecraft.picked_up.music_disc_otherside: #10, 6(2%)
minecraft.used.stone_brick_slab: #10, 468(2%)
minecraft.picked_up.diamond_hoe: #10, 8(3%)
minecraft.picked_up.golden_helmet: #10, 9(2%)
minecraft.mined.large_amethyst_bud: #10, 37(3%)
minecraft.used.yellow_dye: #10, 7(3%)
minecraft.crafted.diamond_leggings: #10, 5(2%)
minecraft.crafted.birch_boat: #10, 3(2%)
minecraft.picked_up.cut_copper_stairs: #10, 12(2%)
minecraft.crafted.purple_shulker_box: #10, 3(3%)
minecraft.used.gray_concrete_powder: #10, 1106(2%)
minecraft.picked_up.soul_sand: #10, 942(2%)
minecraft.used.light_gray_shulker_box: #10, 60(2%)
minecraft.custom.interact_with_brewingstand: #10, 168(2%)
minecraft.picked_up.large_amethyst_bud: #10, 29(2%)
minecraft.crafted.spruce_boat: #10, 6(2%)
minecraft.mined.light_gray_shulker_box: #10, 56(2%)
minecraft.used.suspicious_stew: #10, 4(2%)
minecraft.killed.elder_guardian: #10, 3(3%)
minecraft.mined.honey_block: #10, 28(2%)
minecraft.picked_up.light_gray_shulker_box: #10, 55(2%)
minecraft.custom.eat_cake_slice: #10, 4(2%)
minecraft.used.bamboo_planks: #10, 4(3%)
minecraft.crafted.raw_iron: #10, 567(2%)
minecraft.used.stone: #11, 37569(4%)
minecraft.dropped.red_shulker_box: #10, 2(2%)
minecraft.picked_up.cooked_cod: #10, 12(2%)
minecraft.used.large_amethyst_bud: #10, 9(2%)
minecraft.used.lime_stained_glass: #10, 270(2%)
minecraft.dropped.golden_chestplate: #10, 6(1%)
minecraft.picked_up.spruce_pressure_plate: #10, 4(2%)
minecraft.mined.jungle_leaves: #10, 464(1%)
minecraft.dropped.golden_helmet: #10, 7(1%)
minecraft.dropped.golden_leggings: #10, 6(1%)
minecraft.used.cornflower: #10, 5(2%)
minecraft.used.orange_bed: #10, 8(2%)
minecraft.crafted.lime_terracotta: #10, 736(1%)
minecraft.mined.purpur_stairs: #10, 14(1%)
minecraft.used.sculk: #10, 392(1%)
minecraft.crafted.cobblestone_slab: #10, 156(1%)
minecraft.used.allium: #10, 3(2%)
minecraft.mined.target: #10, 7(1%)
minecraft.picked_up.wet_sponge: #10, 252(1%)
minecraft.mined.lime_terracotta: #10, 85(1%)
minecraft.mined.cherry_leaves: #10, 377(1%)
minecraft.picked_up.orange_bed: #10, 7(1%)
minecraft.mined.wet_sponge: #10, 233(1%)
minecraft.mined.slime_block: #10, 145(1%)
minecraft.mined.orange_bed: #10, 7(2%)
minecraft.mined.polished_deepslate_slab: #10, 81(1%)
minecraft.picked_up.cooked_mutton: #10, 8(1%)
minecraft.dropped.light_gray_stained_glass_pane: #10, 4(1%)
minecraft.dropped.crimson_nylium: #10, 10(1%)
minecraft.used.oxeye_daisy: #10, 1(2%)
minecraft.dropped.apple: #10, 13(1%)
minecraft.mined.chiseled_sandstone: #10, 2(1%)
minecraft.picked_up.lime_terracotta: #10, 82(1%)
minecraft.used.birch_boat: #11, 12(4%)
minecraft.mined.oxidized_cut_copper_stairs: #10, 8(1%)
minecraft.picked_up.brown_wool: #10, 52(1%)
minecraft.used.green_bed: #10, 8(1%)
minecraft.used.mossy_cobblestone_wall: #10, 7(1%)
minecraft.used.jungle_sapling: #10, 20(1%)
minecraft.used.cyan_wool: #10, 68(1%)
minecraft.mined.cobblestone_slab: #10, 39(0%)
minecraft.dropped.stone_pressure_plate: #10, 4(1%)
minecraft.mined.oxidized_cut_copper_slab: #10, 9(1%)
minecraft.used.jungle_fence: #10, 12(1%)
minecraft.used.small_dripleaf: #10, 1(1%)
minecraft.mined.oak_wood: #10, 5(1%)
minecraft.dropped.leather_chestplate: #10, 3(1%)
minecraft.crafted.diorite_wall: #10, 12(1%)
minecraft.dropped.soul_sand: #10, 63(0%)
minecraft.mined.birch_wood: #10, 1(1%)
minecraft.broken.stone_shovel: #10, 1(1%)
minecraft.used.gray_stained_glass: #10, 117(0%)
minecraft.used.light_gray_bed: #10, 9(0%)
minecraft.picked_up.pink_wool: #10, 23(0%)
minecraft.picked_up.brown_carpet: #10, 51(0%)
minecraft.picked_up.stripped_oak_wood: #10, 8(0%)
minecraft.crafted.light_blue_shulker_box: #10, 4(0%)
minecraft.used.green_carpet: #10, 37(0%)
minecraft.mined.purple_bed: #10, 3(0%)
minecraft.used.rotten_flesh: #10, 7(0%)
minecraft.dropped.clay_ball: #10, 31(0%)
minecraft.custom.target_hit: #11, 94(3%)
minecraft.used.splash_potion: #11, 38(3%)
minecraft.picked_up.gray_concrete: #11, 1340(4%)
minecraft.mined.deepslate_iron_ore: #11, 610(3%)
minecraft.used.gravel: #11, 935(3%)
minecraft.crafted.dark_oak_planks: #11, 9468(3%)
minecraft.used.golden_carrot: #12, 2200(4%)
minecraft.picked_up.bone: #11, 1926(2%)
minecraft.picked_up.kelp: #11, 2714(3%)
minecraft.picked_up.lectern: #11, 216(2%)
minecraft.crafted.stone_bricks: #11, 4128(2%)
minecraft.used.emerald_block: #11, 522(2%)
minecraft.crafted.smooth_stone: #11, 345(2%)
minecraft.mined.lectern: #11, 216(2%)
minecraft.used.lectern: #11, 221(2%)
minecraft.mined.stone_button: #11, 19(2%)
minecraft.mined.stripped_spruce_log: #11, 261(2%)
minecraft.crafted.lime_shulker_box: #11, 5(3%)
minecraft.used.oak_pressure_plate: #11, 3(4%)
minecraft.used.brown_shulker_box: #11, 85(3%)
minecraft.picked_up.sticky_piston: #11, 113(2%)
minecraft.picked_up.brown_shulker_box: #11, 80(3%)
minecraft.mined.end_rod: #11, 52(2%)
minecraft.mined.brown_shulker_box: #11, 78(2%)
minecraft.picked_up.stripped_spruce_log: #11, 256(2%)
minecraft.used.minecart: #11, 56(2%)
minecraft.picked_up.stone_brick_stairs: #11, 79(2%)
minecraft.used.iron_boots: #11, 2(3%)
minecraft.killed_by.piglin: #11, 1(4%)
minecraft.dropped.tuff: #11, 472(2%)
minecraft.used.spore_blossom: #11, 9(3%)
minecraft.dropped.birch_sign: #11, 14(2%)
minecraft.dropped.coarse_dirt: #11, 65(2%)
minecraft.used.milk_bucket: #11, 4(2%)
minecraft.mined.powered_rail: #11, 151(2%)
minecraft.crafted.yellow_shulker_box: #11, 5(2%)
minecraft.custom.play_noteblock: #11, 78(1%)
minecraft.killed.horse: #11, 4(2%)
minecraft.picked_up.melon_seeds: #11, 8(2%)
minecraft.crafted.cyan_shulker_box: #11, 6(2%)
minecraft.mined.stone_brick_slab: #11, 59(1%)
minecraft.dropped.dark_oak_log: #11, 128(1%)
minecraft.dropped.iron_helmet: #11, 2(2%)
minecraft.mined.stone_stairs: #11, 32(1%)
minecraft.crafted.fermented_spider_eye: #11, 27(2%)
minecraft.picked_up.packed_ice: #11, 2883(1%)
minecraft.mined.cracked_stone_bricks: #11, 47(1%)
minecraft.dropped.iron_door: #11, 2(2%)
minecraft.crafted.chiseled_stone_bricks: #11, 256(1%)
minecraft.crafted.green_bed: #11, 1(2%)
minecraft.used.azalea: #11, 59(1%)
minecraft.mined.packed_ice: #11, 2749(1%)
minecraft.dropped.lapis_lazuli: #11, 55(1%)
minecraft.used.lily_of_the_valley: #11, 3(2%)
minecraft.used.snow_block: #11, 1557(1%)
minecraft.crafted.oak_pressure_plate: #11, 2(2%)
minecraft.custom.boat_one_cm: #12, 13113041(3%)
minecraft.mined.black_concrete: #11, 717(1%)
minecraft.dropped.book: #11, 7(1%)
minecraft.picked_up.acacia_planks: #11, 30(1%)
minecraft.crafted.lime_concrete_powder: #11, 192(1%)
minecraft.used.black_concrete_powder: #11, 1771(1%)
minecraft.picked_up.jungle_sapling: #11, 36(1%)
minecraft.picked_up.light_blue_wool: #11, 74(1%)
minecraft.crafted.oxidized_cut_copper_stairs: #11, 12(1%)
minecraft.dropped.glow_berries: #11, 6(1%)
minecraft.used.orange_dye: #11, 3(1%)
minecraft.used.stone_shovel: #11, 131(1%)
minecraft.crafted.cut_copper: #11, 16(1%)
minecraft.used.sponge: #11, 151(1%)
minecraft.mined.diorite_slab: #11, 1(1%)
minecraft.picked_up.green_wool: #11, 68(1%)
minecraft.picked_up.mossy_stone_brick_slab: #11, 2(1%)
minecraft.used.bricks: #11, 87(1%)
minecraft.crafted.stone_stairs: #11, 68(1%)
minecraft.crafted.name_tag: #11, 31(1%)
minecraft.used.medium_amethyst_bud: #11, 6(1%)
minecraft.picked_up.mossy_cobblestone_stairs: #11, 2(1%)
minecraft.used.stripped_oak_wood: #11, 16(1%)
minecraft.dropped.nether_bricks: #11, 10(1%)
minecraft.crafted.emerald_block: #11, 533(0%)
minecraft.mined.pumpkin_stem: #11, 1(1%)
minecraft.crafted.oxidized_cut_copper_slab: #11, 16(1%)
minecraft.mined.light_gray_concrete: #11, 109(0%)
minecraft.crafted.detector_rail: #11, 6(1%)
minecraft.dropped.spruce_stairs: #11, 3(1%)
minecraft.dropped.crimson_roots: #11, 16(0%)
minecraft.used.diorite_slab: #11, 6(1%)
minecraft.picked_up.blue_stained_glass_pane: #11, 1(1%)
minecraft.used.gray_stained_glass_pane: #11, 11(0%)
minecraft.used.light_gray_concrete: #11, 69(0%)
minecraft.mined.blue_ice: #11, 34(0%)
minecraft.picked_up.diorite_slab: #11, 1(0%)
minecraft.picked_up.light_blue_concrete_powder: #11, 2(0%)
minecraft.used.magenta_shulker_box: #11, 6(0%)
minecraft.picked_up.magenta_shulker_box: #11, 6(0%)
minecraft.mined.nether_brick_fence: #11, 3(0%)
minecraft.mined.magenta_shulker_box: #11, 6(0%)
minecraft.used.mossy_stone_brick_wall: #11, 2(0%)
minecraft.mined.stripped_mangrove_wood: #11, 2(0%)
minecraft.picked_up.lime_dye: #11, 8(0%)
minecraft.picked_up.small_dripleaf: #11, 1(0%)
minecraft.dropped.iron_trapdoor: #11, 1(0%)
minecraft.used.jungle_planks: #11, 28(0%)
minecraft.picked_up.raw_iron_block: #11, 13(0%)
minecraft.mined.turtle_egg: #11, 1(0%)
minecraft.dropped.stone_stairs: #11, 2(0%)
minecraft.mined.heavy_weighted_pressure_plate: #11, 1(0%)
minecraft.killed.witch: #11, 8(0%)
minecraft.used.oak_fence: #12, 178(3%)
minecraft.picked_up.amethyst_block: #12, 941(4%)
minecraft.mined.redstone_ore: #12, 61(4%)
minecraft.mined.cobblestone: #12, 1434(3%)
minecraft.mined.powder_snow: #12, 51(3%)
minecraft.crafted.stone_pickaxe: #12, 6(3%)
minecraft.custom.bell_ring: #12, 91(3%)
minecraft.crafted.diamond_axe: #12, 5(3%)
minecraft.picked_up.birch_boat: #12, 9(3%)
minecraft.mined.oak_log: #12, 2434(2%)
minecraft.custom.talked_to_villager: #12, 2040(3%)
minecraft.used.chipped_anvil: #12, 8(3%)
minecraft.crafted.rail: #12, 1040(3%)
minecraft.picked_up.redstone_torch: #12, 200(2%)
minecraft.crafted.diamond_helmet: #12, 3(2%)
minecraft.used.diamond_hoe: #12, 11176(2%)
minecraft.picked_up.oak_log: #12, 2542(2%)
minecraft.mined.dark_oak_stairs: #12, 45(2%)
minecraft.mined.kelp_plant: #12, 291(2%)
minecraft.mined.birch_sign: #12, 8(2%)
minecraft.used.redstone_torch: #12, 279(2%)
minecraft.crafted.repeater: #12, 333(2%)
minecraft.crafted.stone_slab: #12, 928(2%)
minecraft.mined.red_wool: #12, 93(2%)
minecraft.picked_up.spore_blossom: #12, 12(2%)
minecraft.crafted.gray_shulker_box: #12, 5(2%)
minecraft.mined.glass_pane: #12, 21(2%)
minecraft.used.flowering_azalea: #12, 36(2%)
minecraft.crafted.golden_helmet: #12, 2(2%)
minecraft.picked_up.golden_leggings: #12, 6(2%)
minecraft.crafted.raw_iron_block: #12, 119(2%)
minecraft.used.big_dripleaf: #12, 18(2%)
minecraft.crafted.blue_shulker_box: #12, 2(2%)
minecraft.crafted.crafting_table: #13, 115(4%)
minecraft.used.calcite: #12, 350(2%)
minecraft.crafted.spruce_button: #12, 33(2%)
minecraft.killed.magma_cube: #12, 169(1%)
minecraft.mined.bamboo_sapling: #12, 3(2%)
minecraft.picked_up.red_mushroom_block: #12, 825(1%)
minecraft.picked_up.tripwire_hook: #12, 7(2%)
minecraft.crafted.iron_door: #12, 9(1%)
minecraft.picked_up.black_concrete: #12, 715(1%)
minecraft.killed.piglin: #12, 31(1%)
minecraft.picked_up.orange_wool: #12, 60(2%)
minecraft.used.red_wool: #12, 138(1%)
minecraft.picked_up.comparator: #12, 57(1%)
minecraft.used.golden_apple: #12, 4(1%)
minecraft.used.apple: #12, 7(1%)
minecraft.dropped.rabbit: #12, 1(2%)
minecraft.used.sea_pickle: #12, 33(1%)
minecraft.used.glass_bottle: #12, 109(1%)
minecraft.mined.red_tulip: #12, 3(2%)
minecraft.crafted.dispenser: #12, 70(1%)
minecraft.picked_up.deepslate_coal_ore: #12, 3(2%)
minecraft.mined.spruce_button: #12, 2(1%)
minecraft.used.hay_block: #12, 11(1%)
minecraft.dropped.azalea: #12, 19(1%)
minecraft.crafted.brick: #12, 1103(1%)
minecraft.crafted.black_concrete_powder: #12, 1792(1%)
minecraft.picked_up.target: #12, 7(1%)
minecraft.used.oak_fence_gate: #12, 8(1%)
minecraft.mined.cyan_carpet: #12, 8(1%)
minecraft.used.stone_button: #12, 126(1%)
minecraft.crafted.charcoal: #12, 111(1%)
minecraft.dropped.egg: #12, 90(1%)
minecraft.used.grass: #12, 87(1%)
minecraft.used.axolotl_bucket: #12, 5(1%)
minecraft.dropped.jungle_planks: #12, 8(1%)
minecraft.mined.verdant_froglight: #12, 18(1%)
minecraft.crafted.oak_fence_gate: #12, 8(1%)
minecraft.mined.oxidized_cut_copper: #12, 4(1%)
minecraft.mined.prismarine_bricks: #12, 51(1%)
minecraft.dropped.snowball: #12, 119(0%)
minecraft.mined.pearlescent_froglight: #12, 7(1%)
minecraft.picked_up.verdant_froglight: #12, 18(1%)
minecraft.picked_up.ice: #12, 943(0%)
minecraft.picked_up.oxidized_cut_copper_stairs: #12, 7(1%)
minecraft.mined.white_stained_glass_pane: #12, 4(1%)
minecraft.mined.ice: #12, 1101(0%)
minecraft.picked_up.glass_pane: #12, 14(0%)
minecraft.crafted.leather_horse_armor: #12, 1(1%)
minecraft.mined.light_blue_wool: #12, 10(0%)
minecraft.mined.exposed_cut_copper: #12, 1(1%)
minecraft.crafted.polished_diorite: #12, 96(0%)
minecraft.picked_up.light_gray_concrete: #12, 109(0%)
minecraft.picked_up.oxidized_cut_copper_slab: #12, 9(0%)
minecraft.dropped.deepslate_iron_ore: #12, 2(1%)
minecraft.dropped.stone_button: #12, 20(0%)
minecraft.picked_up.purple_bed: #12, 4(0%)
minecraft.crafted.decorated_pot: #12, 3(0%)
minecraft.mined.gray_carpet: #12, 29(0%)
minecraft.crafted.gray_stained_glass: #12, 136(0%)
minecraft.crafted.snow: #12, 144(0%)
minecraft.mined.lime_wool: #12, 5(0%)
minecraft.mined.sculk: #12, 191(0%)
minecraft.mined.ochre_froglight: #12, 5(0%)
minecraft.mined.diorite_wall: #12, 1(0%)
minecraft.picked_up.blue_ice: #12, 33(0%)
minecraft.killed.tropical_fish: #12, 1(0%)
minecraft.killed.iron_golem: #12, 1(0%)
minecraft.dropped.lilac: #12, 3(0%)
minecraft.picked_up.cyan_carpet: #12, 8(0%)
minecraft.crafted.cooked_chicken: #12, 6(0%)
minecraft.used.dried_kelp: #12, 2(0%)
minecraft.dropped.stone_brick_stairs: #12, 2(0%)
minecraft.picked_up.stripped_mangrove_wood: #12, 2(0%)
minecraft.crafted.amethyst_block: #12, 16(0%)
minecraft.picked_up.orange_tulip: #12, 4(0%)
minecraft.used.stripped_dark_oak_wood: #12, 4(0%)
minecraft.mined.cut_copper_slab: #12, 1(0%)
minecraft.used.small_amethyst_bud: #12, 6(0%)
minecraft.dropped.lime_terracotta: #12, 1(0%)
minecraft.picked_up.turtle_egg: #12, 1(0%)
minecraft.dropped.polished_granite: #12, 1(0%)
minecraft.mined.yellow_carpet: #12, 1(0%)
minecraft.used.green_stained_glass: #12, 3(0%)
minecraft.dropped.crying_obsidian: #12, 1(0%)
minecraft.picked_up.cyan_concrete_powder: #12, 3(0%)
minecraft.used.spruce_log: #13, 1284(3%)
minecraft.picked_up.bow: #13, 136(2%)
minecraft.custom.fly_one_cm: #14, 74397090(3%)
minecraft.picked_up.moss_block: #13, 3486(2%)
minecraft.mined.lantern: #13, 30(3%)
minecraft.used.grass_block: #13, 13733(2%)
minecraft.dropped.golden_carrot: #13, 230(2%)
minecraft.mined.moss_carpet: #13, 234(2%)
minecraft.used.stone_axe: #13, 195(2%)
minecraft.dropped.stone_pickaxe: #13, 3(3%)
minecraft.picked_up.minecart: #13, 75(2%)
minecraft.used.diorite: #13, 465(2%)
minecraft.used.lantern: #13, 149(2%)
minecraft.custom.enchant_item: #13, 43(2%)
minecraft.used.oak_slab: #13, 197(2%)
minecraft.mined.azalea: #13, 75(2%)
minecraft.used.wooden_axe: #13, 21(3%)
minecraft.picked_up.rotten_flesh: #13, 1304(1%)
minecraft.mined.diorite: #13, 3724(1%)
minecraft.mined.dark_prismarine: #13, 29(2%)
minecraft.used.tripwire_hook: #13, 12(2%)
minecraft.broken.stone_axe: #13, 1(3%)
minecraft.crafted.flint_and_steel: #13, 8(2%)
minecraft.crafted.moss_carpet: #13, 162(2%)
minecraft.mined.redstone_wall_torch: #13, 24(1%)
minecraft.mined.smooth_stone_slab: #13, 43(1%)
minecraft.dropped.oak_planks: #13, 41(1%)
minecraft.mined.emerald_block: #13, 191(1%)
minecraft.mined.dropper: #13, 38(1%)
minecraft.dropped.bowl: #13, 4(2%)
minecraft.crafted.cyan_bed: #13, 1(2%)
minecraft.used.amethyst_block: #13, 217(1%)
minecraft.picked_up.coal_block: #13, 78(1%)
minecraft.crafted.polished_andesite: #13, 688(1%)
minecraft.picked_up.golden_chestplate: #13, 5(1%)
minecraft.dropped.moss_block: #13, 133(1%)
minecraft.used.birch_log: #13, 296(1%)
minecraft.used.sea_lantern: #13, 120(1%)
minecraft.used.moss_block: #13, 1980(1%)
minecraft.dropped.shears: #13, 13(1%)
minecraft.picked_up.andesite_slab: #13, 20(2%)
minecraft.picked_up.baked_potato: #13, 26(1%)
minecraft.mined.red_mushroom_block: #13, 889(1%)
minecraft.used.comparator: #13, 126(1%)
minecraft.picked_up.gray_wool: #13, 129(1%)
minecraft.mined.andesite_slab: #13, 8(1%)
minecraft.mined.comparator: #13, 24(1%)
minecraft.mined.deepslate_coal_ore: #13, 4(1%)
minecraft.picked_up.slime_block: #13, 194(1%)
minecraft.killed.skeleton: #13, 697(1%)
minecraft.mined.podzol: #13, 331(1%)
minecraft.used.podzol: #13, 40(1%)
minecraft.crafted.cut_copper_stairs: #13, 12(1%)
minecraft.dropped.arrow: #13, 1159(1%)
minecraft.used.mossy_stone_bricks: #13, 41(1%)
minecraft.mined.oak_door: #13, 1(1%)
minecraft.crafted.powered_rail: #13, 252(1%)
minecraft.used.chicken: #13, 1(1%)
minecraft.dropped.fishing_rod: #13, 1(1%)
minecraft.picked_up.mossy_stone_bricks: #13, 15(1%)
minecraft.crafted.black_shulker_box: #13, 3(1%)
minecraft.used.torch: #14, 6587(3%)
minecraft.picked_up.stone_brick_slab: #13, 59(1%)
minecraft.dropped.acacia_sapling: #13, 4(1%)
minecraft.mined.polished_granite: #13, 11(1%)
minecraft.dropped.chainmail_chestplate: #13, 1(1%)
minecraft.mined.mossy_stone_brick_slab: #13, 1(1%)
minecraft.dropped.glass: #13, 125(1%)
minecraft.mined.nether_bricks: #13, 121(0%)
minecraft.used.verdant_froglight: #13, 47(1%)
minecraft.picked_up.oxidized_cut_copper: #13, 4(1%)
minecraft.picked_up.nether_bricks: #13, 114(0%)
minecraft.picked_up.cyan_concrete: #13, 73(1%)
minecraft.crafted.iron_pickaxe: #14, 16(4%)
minecraft.used.light_gray_terracotta: #13, 55(1%)
minecraft.crafted.light_gray_terracotta: #13, 64(1%)
minecraft.mined.crimson_fungus: #13, 8(1%)
minecraft.dropped.purpur_block: #13, 4(1%)
minecraft.used.black_concrete: #13, 464(0%)
minecraft.crafted.bricks: #13, 123(0%)
minecraft.mined.brown_terracotta: #13, 422(0%)
minecraft.dropped.pointed_dripstone: #13, 9(0%)
minecraft.picked_up.black_wool: #13, 85(0%)
minecraft.mined.cyan_concrete: #13, 72(0%)
minecraft.mined.piston_head: #13, 2(0%)
minecraft.dropped.leather_boots: #13, 6(0%)
minecraft.killed.rabbit: #13, 1(1%)
minecraft.dropped.mutton: #13, 2(0%)
minecraft.dropped.cobblestone_slab: #13, 9(0%)
minecraft.crafted.glass_bottle: #13, 294(0%)
minecraft.used.lime_dye: #13, 1(0%)
minecraft.crafted.enchanted_book: #13, 62(0%)
minecraft.dropped.lapis_ore: #13, 1(1%)
minecraft.used.trident: #13, 47(0%)
minecraft.used.brown_carpet: #13, 46(0%)
minecraft.used.red_bed: #13, 5(0%)
minecraft.used.light_blue_wool: #13, 33(0%)
minecraft.picked_up.gray_stained_glass_pane: #13, 5(0%)
minecraft.dropped.gray_carpet: #13, 4(0%)
minecraft.used.purple_bed: #13, 3(0%)
minecraft.dropped.baked_potato: #13, 1(0%)
minecraft.dropped.saddle: #13, 1(0%)
minecraft.mined.stripped_dark_oak_wood: #13, 4(0%)
minecraft.dropped.jungle_log: #13, 7(0%)
minecraft.used.birch_planks: #13, 217(0%)
minecraft.crafted.smooth_quartz_stairs: #13, 8(0%)
minecraft.picked_up.red_tulip: #13, 4(0%)
minecraft.used.bamboo_block: #13, 9(0%)
minecraft.picked_up.stripped_dark_oak_wood: #13, 4(0%)
minecraft.dropped.piston: #13, 1(0%)
minecraft.used.cherry_sapling: #13, 2(0%)
minecraft.dropped.brown_mushroom_block: #13, 4(0%)
minecraft.used.cobblestone: #14, 3013(3%)
minecraft.used.pointed_dripstone: #13, 35(0%)
minecraft.used.waxed_weathered_copper: #13, 1(0%)
minecraft.used.sculk_vein: #13, 2(0%)
minecraft.picked_up.green_carpet: #13, 5(0%)
minecraft.crafted.experience_bottle: #13, 12(0%)
minecraft.used.brick_slab: #13, 2(0%)
minecraft.crafted.brick_slab: #13, 2(0%)
minecraft.crafted.diamond_sword: #14, 4(3%)
minecraft.used.shears: #14, 6207(3%)
minecraft.crafted.emerald: #14, 14613(3%)
minecraft.dropped.shield: #14, 3(3%)
minecraft.picked_up.quartz: #14, 2451(2%)
minecraft.mined.oak_slab: #14, 45(3%)
minecraft.picked_up.raw_iron: #14, 2031(2%)
minecraft.picked_up.oak_slab: #14, 69(2%)
minecraft.picked_up.iron_nugget: #14, 1503(2%)
minecraft.used.carved_pumpkin: #14, 15(2%)
minecraft.mined.oak_trapdoor: #14, 26(2%)
minecraft.used.glass: #14, 1777(2%)
minecraft.mined.spruce_stairs: #14, 79(2%)
minecraft.picked_up.leather: #14, 391(2%)
minecraft.mined.polished_andesite: #14, 94(2%)
minecraft.picked_up.written_book: #14, 11(2%)
minecraft.used.dark_oak_door: #14, 7(2%)
minecraft.picked_up.apple: #14, 125(2%)
minecraft.mined.dark_oak_slab: #14, 50(2%)
minecraft.custom.fall_one_cm: #15, 7076202(3%)
minecraft.crafted.diamond_hoe: #14, 2(2%)
minecraft.crafted.hopper: #14, 535(2%)
minecraft.crafted.lantern: #14, 185(1%)
minecraft.used.moss_carpet: #14, 305(1%)
minecraft.used.beacon: #14, 13(2%)
minecraft.mined.flower_pot: #14, 4(2%)
minecraft.crafted.bow: #14, 79(1%)
minecraft.mined.spruce_fence: #14, 52(1%)
minecraft.mined.repeater: #14, 72(1%)
minecraft.crafted.birch_sign: #14, 54(1%)
minecraft.picked_up.repeater: #14, 116(1%)
minecraft.picked_up.magma_cream: #14, 69(1%)
minecraft.mined.mossy_cobblestone: #14, 104(1%)
minecraft.used.hopper: #14, 446(1%)
