stat, rank, value, (percentage) 
minecraft.crafted.diamond_axe: #1, 50(26%)
minecraft.used.cobblestone_slab: #1, 5633(31%)
minecraft.dropped.sandstone: #1, 3414(38%)
minecraft.dropped.nether_gold_ore: #1, 332(56%)
minecraft.crafted.jungle_trapdoor: #1, 4582(65%)
minecraft.used.polished_blackstone_button: #1, 1157(44%)
minecraft.used.netherite_block: #1, 499(93%)
minecraft.mined.deepslate_brick_stairs: #1, 1261(37%)
minecraft.picked_up.birch_trapdoor: #1, 441(38%)
minecraft.picked_up.mossy_stone_bricks: #1, 693(35%)
minecraft.crafted.cracked_stone_bricks: #1, 4673(49%)
minecraft.mined.cobblestone_slab: #1, 2528(31%)
minecraft.picked_up.medium_amethyst_bud: #1, 1020(48%)
minecraft.used.cooked_porkchop: #2, 10301(25%)
minecraft.crafted.spruce_button: #1, 691(33%)
minecraft.picked_up.ender_pearl: #1, 81146(21%)
minecraft.dropped.amethyst_block: #1, 707(51%)
minecraft.used.red_stained_glass: #1, 6289(43%)
minecraft.used.ancient_debris: #1, 155(58%)
minecraft.crafted.diamond_hoe: #1, 37(39%)
minecraft.custom.enchant_item: #1, 608(27%)
minecraft.dropped.stone_shovel: #1, 60(40%)
minecraft.crafted.tnt: #1, 44971(35%)
minecraft.killed.piglin: #1, 740(30%)
minecraft.used.bundle: #1, 655(32%)
minecraft.dropped.raw_iron: #1, 667(30%)
minecraft.used.medium_amethyst_bud: #1, 383(49%)
minecraft.dropped.beef: #1, 516(41%)
minecraft.crafted.diamond_pickaxe: #1, 94(24%)
minecraft.mined.dark_oak_trapdoor: #1, 606(27%)
minecraft.mined.tnt: #1, 1015(35%)
minecraft.dropped.netherite_pickaxe: #1, 68(33%)
minecraft.crafted.diamond_shovel: #1, 79(26%)
minecraft.mined.brewing_stand: #1, 129(36%)
minecraft.picked_up.phantom_membrane: #1, 352(28%)
minecraft.picked_up.brewing_stand: #1, 149(36%)
minecraft.dropped.stone: #1, 75126(24%)
minecraft.mined.spruce_stairs: #1, 1059(27%)
minecraft.picked_up.flint: #1, 5052(23%)
minecraft.dropped.cracked_stone_bricks: #1, 511(58%)
minecraft.dropped.light_blue_carpet: #1, 254(94%)
minecraft.dropped.ancient_debris: #1, 582(93%)
minecraft.mined.snow_block: #1, 26087(24%)
minecraft.dropped.light_blue_dye: #1, 73(67%)
minecraft.dropped.ghast_tear: #1, 51(57%)
minecraft.crafted.polished_blackstone_brick_slab: #1, 1224(74%)
