stat, rank, value, (percentage) 
minecraft.mined.orange_glazed_terracotta: #1, 38(36%)
minecraft.picked_up.golden_apple: #2, 146(16%)
minecraft.picked_up.magenta_wool: #2, 1117(26%)
minecraft.dropped.dandelion: #2, 305(14%)
minecraft.dropped.smooth_red_sandstone: #1, 189(95%)
minecraft.dropped.brown_candle: #1, 82(95%)
minecraft.picked_up.armor_stand: #2, 299(14%)
minecraft.dropped.magenta_wool: #1, 1153(48%)
minecraft.picked_up.creeper_head: #1, 12(57%)
minecraft.crafted.crimson_pressure_plate: #2, 326(32%)
minecraft.used.iron_leggings: #2, 14(15%)
minecraft.killed.player: #2, 237(11%)
minecraft.used.cod: #1, 19(26%)
minecraft.dropped.sand: #2, 4811(15%)
minecraft.mined.bubble_coral_fan: #2, 135(25%)
minecraft.dropped.stone_hoe: #1, 12(20%)
minecraft.crafted.raw_iron: #2, 5868(16%)
minecraft.used.dark_oak_sign: #2, 282(15%)
minecraft.mined.beacon: #1, 55(12%)
minecraft.used.enchanted_golden_apple: #1, 8(31%)
minecraft.custom.swim_one_cm: #2, 11904389(9%)
minecraft.picked_up.nautilus_shell: #2, 66(21%)
minecraft.crafted.cobbled_deepslate_slab: #2, 1782(16%)
minecraft.dropped.player_head: #3, 1751(13%)
minecraft.crafted.mossy_cobblestone_stairs: #1, 80(21%)
minecraft.picked_up.leather: #2, 2638(12%)
minecraft.used.mangrove_button: #2, 32(29%)
minecraft.killed.enderman: #2, 108163(12%)
minecraft.mined.mangrove_pressure_plate: #1, 9(45%)
minecraft.used.oak_wood: #2, 981(18%)
minecraft.mined.orange_candle: #1, 60(90%)
minecraft.dropped.ladder: #2, 245(20%)
minecraft.dropped.lime_carpet: #1, 126(38%)
minecraft.mined.soul_fire: #2, 177(22%)
minecraft.picked_up.iron_block: #2, 5692(13%)
minecraft.dropped.diorite: #2, 3222(13%)
minecraft.picked_up.stone_pickaxe: #1, 17(11%)
minecraft.mined.potted_allium: #1, 11(52%)
minecraft.crafted.chainmail_boots: #1, 13(32%)
minecraft.dropped.gilded_blackstone: #1, 91(87%)
minecraft.mined.budding_amethyst: #2, 63(16%)
minecraft.picked_up.nether_brick_wall: #1, 30(37%)
minecraft.mined.iron_bars: #2, 413(16%)
minecraft.picked_up.large_amethyst_bud: #2, 249(21%)
minecraft.dropped.grass_block: #2, 3791(13%)
minecraft.crafted.ender_eye: #2, 201(13%)
minecraft.picked_up.orange_candle: #1, 270(51%)
minecraft.picked_up.nether_brick: #2, 2979(24%)
minecraft.picked_up.golden_pickaxe: #1, 6(18%)
minecraft.picked_up.glistering_melon_slice: #1, 60(85%)
minecraft.picked_up.oak_fence: #2, 272(12%)
minecraft.used.iron_chestplate: #2, 12(16%)
minecraft.picked_up.glass_pane: #2, 456(16%)
minecraft.crafted.piston: #2, 3600(13%)
minecraft.picked_up.deepslate_brick_slab: #2, 743(17%)
minecraft.picked_up.oak_wood: #2, 245(23%)
minecraft.used.amethyst_cluster: #2, 442(15%)
minecraft.dropped.disc_fragment_5: #1, 18(62%)
minecraft.mined.jungle_log: #2, 6771(15%)
minecraft.used.acacia_boat: #2, 40(29%)
minecraft.picked_up.end_stone_brick_slab: #1, 11(41%)
minecraft.mined.spruce_button: #2, 29(18%)
minecraft.used.light_gray_stained_glass_pane: #2, 539(19%)
minecraft.dropped.glow_ink_sac: #2, 216(18%)
minecraft.dropped.small_dripleaf: #1, 9(60%)
minecraft.mined.purple_candle: #1, 15(60%)
minecraft.dropped.mutton: #2, 89(21%)
minecraft.mined.spore_blossom: #2, 61(14%)
minecraft.picked_up.smooth_red_sandstone: #1, 237(48%)
minecraft.killed.zombie_villager: #2, 38(12%)
minecraft.crafted.rail: #2, 4864(12%)
minecraft.picked_up.raw_copper_block: #2, 422(19%)
minecraft.dropped.stripped_spruce_log: #2, 86(37%)
minecraft.used.spore_blossom: #2, 58(17%)
minecraft.dropped.leather: #2, 889(13%)
minecraft.custom.walk_one_cm: #3, 264574517(7%)
minecraft.dropped.heart_of_the_sea: #1, 10(77%)
minecraft.mined.polished_blackstone_brick_slab: #2, 206(33%)
minecraft.dropped.polished_blackstone_bricks: #2, 1091(25%)
minecraft.picked_up.oak_fence_gate: #2, 41(18%)
minecraft.picked_up.quartz: #2, 12250(11%)
minecraft.crafted.spruce_sign: #2, 285(12%)
minecraft.used.glowstone: #2, 1261(13%)
minecraft.dropped.bubble_coral: #1, 9(75%)
minecraft.used.chainmail_chestplate: #1, 3(38%)
minecraft.dropped.rooted_dirt: #2, 129(23%)
minecraft.crafted.coast_armor_trim_smithing_template: #1, 8(44%)
minecraft.used.horn_coral_fan: #2, 51(25%)
minecraft.used.stripped_spruce_log: #3, 1760(18%)
minecraft.mined.oak_fence_gate: #2, 32(18%)
minecraft.crafted.spruce_trapdoor: #2, 2600(10%)
minecraft.picked_up.iron_boots: #2, 83(12%)
minecraft.picked_up.purple_wool: #2, 770(21%)
minecraft.mined.mangrove_button: #1, 6(27%)
minecraft.used.crimson_button: #1, 13(27%)
minecraft.dropped.acacia_slab: #2, 61(35%)
minecraft.crafted.netherite_sword: #1, 3(21%)
minecraft.crafted.netherite_pickaxe: #1, 6(14%)
minecraft.crafted.vex_armor_trim_smithing_template: #1, 20(36%)
minecraft.picked_up.red_candle: #2, 102(21%)
minecraft.mined.candle: #2, 19(17%)
minecraft.dropped.flint_and_steel: #2, 22(14%)
minecraft.dropped.white_bed: #2, 31(19%)
minecraft.used.gray_candle: #1, 36(71%)
minecraft.picked_up.baked_potato: #2, 281(14%)
minecraft.used.golden_axe: #2, 270(31%)
minecraft.killed_by.player: #3, 259(10%)
minecraft.dropped.oak_trapdoor: #2, 55(21%)
minecraft.crafted.recovery_compass: #1, 3(30%)
minecraft.picked_up.bundle: #2, 155(12%)
minecraft.used.water_bucket: #2, 7784(9%)
minecraft.dropped.big_dripleaf: #2, 83(18%)
minecraft.picked_up.red_nether_bricks: #2, 169(26%)
minecraft.mined.nether_quartz_ore: #2, 6580(10%)
minecraft.killed.vex: #2, 68(22%)
minecraft.crafted.flint_and_steel: #2, 60(11%)
minecraft.picked_up.chorus_flower: #2, 233(19%)
minecraft.dropped.polished_blackstone_pressure_plate: #1, 48(68%)
minecraft.dropped.golden_apple: #2, 55(15%)
minecraft.picked_up.soul_sand: #3, 8402(15%)
minecraft.used.pumpkin_seeds: #2, 862(19%)
minecraft.picked_up.potion: #3, 455(13%)
minecraft.dropped.bubble_coral_fan: #2, 50(38%)
minecraft.picked_up.tide_armor_trim_smithing_template: #1, 4(50%)
minecraft.picked_up.crimson_pressure_plate: #1, 4(50%)
minecraft.mined.crimson_pressure_plate: #1, 4(50%)
minecraft.picked_up.light_blue_glazed_terracotta: #1, 11(33%)
minecraft.mined.purpur_stairs: #2, 153(15%)
minecraft.picked_up.diamond_helmet: #3, 58(12%)
minecraft.crafted.ender_chest: #3, 156(15%)
minecraft.crafted.brewing_stand: #2, 74(13%)
minecraft.dropped.end_stone_bricks: #2, 85(18%)
minecraft.dropped.basalt: #3, 4532(16%)
minecraft.dropped.mangrove_planks: #2, 66(21%)
minecraft.dropped.fishing_rod: #2, 16(20%)
minecraft.crafted.raiser_armor_trim_smithing_template: #1, 10(38%)
minecraft.picked_up.zombie_head: #1, 7(64%)
minecraft.mined.end_stone_brick_slab: #1, 10(48%)
minecraft.crafted.oak_wood: #2, 1050(14%)
minecraft.dropped.red_sandstone: #1, 9(47%)
minecraft.crafted.cod_bucket: #1, 31(38%)
minecraft.dropped.diamond_helmet: #2, 13(12%)
minecraft.picked_up.piglin_banner_pattern: #1, 7(47%)
minecraft.mined.oak_fence: #2, 197(11%)
minecraft.picked_up.red_concrete: #3, 3190(13%)
minecraft.mined.potted_blue_orchid: #1, 12(92%)
minecraft.crafted.wayfinder_armor_trim_smithing_template: #1, 8(31%)
minecraft.crafted.ward_armor_trim_smithing_template: #1, 7(37%)
minecraft.picked_up.red_wool: #2, 1389(12%)
minecraft.dropped.soul_campfire: #1, 11(61%)
minecraft.dropped.glowstone_dust: #2, 852(16%)
minecraft.custom.interact_with_beacon: #2, 117(10%)
minecraft.dropped.brewing_stand: #1, 4(36%)
minecraft.dropped.cyan_bed: #1, 4(36%)
minecraft.custom.fall_one_cm: #3, 18703584(7%)
minecraft.mined.blue_orchid: #2, 160(22%)
minecraft.mined.cobbled_deepslate_slab: #2, 934(11%)
minecraft.mined.spruce_wall_hanging_sign: #1, 3(30%)
minecraft.picked_up.nether_brick_stairs: #2, 35(25%)
minecraft.mined.deepslate_brick_slab: #3, 472(19%)
minecraft.dropped.fire_coral_block: #1, 38(88%)
minecraft.used.nether_brick_stairs: #2, 204(28%)
minecraft.custom.interact_with_anvil: #3, 1295(9%)
minecraft.picked_up.orange_glazed_terracotta: #2, 64(27%)
minecraft.mined.blackstone: #3, 20952(14%)
minecraft.dropped.jungle_sapling: #2, 88(25%)
minecraft.picked_up.chipped_anvil: #2, 46(12%)
minecraft.dropped.podzol: #2, 70(15%)
minecraft.mined.nether_brick_stairs: #2, 39(27%)
minecraft.custom.walk_under_water_one_cm: #4, 21076553(7%)
minecraft.dropped.acacia_sign: #2, 37(27%)
minecraft.dropped.redstone: #3, 1974(14%)
minecraft.dropped.echo_shard: #1, 5(83%)
minecraft.crafted.emerald_block: #3, 17664(15%)
minecraft.picked_up.diamond_shovel: #2, 79(8%)
minecraft.dropped.magma_cream: #2, 71(16%)
minecraft.dropped.dark_oak_trapdoor: #2, 181(13%)
minecraft.crafted.white_carpet: #3, 3959(16%)
minecraft.dropped.popped_chorus_fruit: #1, 81(54%)
minecraft.dropped.gray_wool: #3, 522(21%)
minecraft.dropped.purpur_stairs: #2, 22(18%)
minecraft.used.glow_ink_sac: #3, 468(13%)
minecraft.picked_up.lever: #3, 562(12%)
minecraft.picked_up.fire_charge: #2, 464(20%)
minecraft.used.black_wool: #3, 1701(16%)
minecraft.dropped.music_disc_cat: #2, 21(20%)
minecraft.crafted.cooked_chicken: #2, 389(16%)
minecraft.crafted.light_blue_bed: #2, 16(23%)
minecraft.used.pearlescent_froglight: #3, 787(16%)
minecraft.custom.interact_with_furnace: #2, 3467(7%)
minecraft.crafted.deepslate_brick_stairs: #3, 308(15%)
minecraft.picked_up.crimson_button: #1, 8(31%)
minecraft.crafted.host_armor_trim_smithing_template: #1, 8(31%)
minecraft.mined.sand: #3, 196253(11%)
minecraft.dropped.shield: #2, 11(10%)
minecraft.mined.infested_cracked_stone_bricks: #1, 6(75%)
minecraft.mined.gray_candle: #1, 3(75%)
minecraft.picked_up.vex_armor_trim_smithing_template: #1, 3(75%)
minecraft.picked_up.blue_wool: #3, 997(21%)
minecraft.crafted.light_gray_stained_glass_pane: #2, 592(15%)
minecraft.mined.bubble_coral: #2, 61(15%)
minecraft.mined.campfire: #3, 139(14%)
minecraft.crafted.purple_wool: #2, 355(25%)
minecraft.picked_up.iron_sword: #2, 24(10%)
minecraft.picked_up.brown_dye: #2, 190(22%)
minecraft.picked_up.ender_eye: #2, 28(19%)
minecraft.picked_up.bubble_coral: #2, 55(14%)
minecraft.picked_up.experience_bottle: #2, 342(11%)
minecraft.crafted.nautilus_shell: #1, 10(29%)
minecraft.crafted.smoker: #2, 27(13%)
minecraft.mined.grass_block: #3, 88841(9%)
minecraft.used.bubble_coral_fan: #2, 133(17%)
minecraft.dropped.spruce_sign: #2, 33(10%)
minecraft.picked_up.heart_of_the_sea: #2, 27(40%)
minecraft.picked_up.diamond_hoe: #2, 36(12%)
minecraft.dropped.writable_book: #2, 16(12%)
minecraft.dropped.diamond_sword: #2, 14(7%)
minecraft.used.campfire: #3, 443(12%)
minecraft.used.spruce_button: #3, 155(13%)
minecraft.crafted.spruce_planks: #3, 58097(10%)
minecraft.dropped.warped_nylium: #2, 62(21%)
minecraft.dropped.elytra: #2, 24(6%)
minecraft.dropped.netherite_boots: #2, 8(11%)
minecraft.dropped.netherite_leggings: #2, 7(12%)
minecraft.crafted.sentry_armor_trim_smithing_template: #1, 4(33%)
minecraft.dropped.emerald_ore: #2, 16(21%)
minecraft.used.polished_blackstone_brick_stairs: #2, 3356(18%)
minecraft.used.snowball: #3, 753(10%)
minecraft.picked_up.spruce_pressure_plate: #2, 28(14%)
minecraft.dropped.kelp: #3, 1416(13%)
minecraft.killed.iron_golem: #2, 44(18%)
minecraft.dropped.mud_bricks: #2, 145(21%)
minecraft.mined.spruce_sign: #2, 10(9%)
minecraft.picked_up.sand: #3, 202245(11%)
minecraft.used.rail: #3, 8193(12%)
minecraft.crafted.shulker_box: #3, 1695(12%)
minecraft.picked_up.string: #3, 9984(9%)
minecraft.picked_up.shulker_shell: #3, 2797(14%)
minecraft.crafted.lime_carpet: #2, 3263(20%)
minecraft.picked_up.black_concrete_powder: #3, 7233(14%)
minecraft.mined.obsidian: #3, 6848(12%)
minecraft.used.flower_pot: #2, 172(8%)
minecraft.used.crimson_pressure_plate: #2, 248(28%)
minecraft.dropped.orange_terracotta: #2, 93(11%)
minecraft.dropped.cut_sandstone: #2, 121(16%)
minecraft.picked_up.purpur_block: #2, 465(10%)
minecraft.used.gray_stained_glass_pane: #2, 388(16%)
minecraft.mined.attached_pumpkin_stem: #2, 7(20%)
minecraft.picked_up.eye_armor_trim_smithing_template: #1, 2(40%)
minecraft.crafted.eye_armor_trim_smithing_template: #1, 4(20%)
minecraft.dropped.spruce_trapdoor: #3, 162(15%)
minecraft.crafted.diamond_block: #3, 698(12%)
minecraft.dropped.potion: #3, 327(12%)
minecraft.mined.stripped_spruce_wood: #3, 446(17%)
minecraft.used.dandelion: #2, 40(9%)
minecraft.picked_up.arrow: #3, 7823(8%)
minecraft.picked_up.stripped_spruce_wood: #3, 466(17%)
minecraft.dropped.cyan_terracotta: #2, 263(14%)
minecraft.picked_up.spruce_wood: #3, 490(15%)
minecraft.picked_up.music_disc_pigstep: #2, 18(31%)
minecraft.dropped.arrow: #3, 16649(10%)
minecraft.used.polished_blackstone_bricks: #2, 6735(10%)
minecraft.killed_by.vex: #2, 18(9%)
minecraft.picked_up.purpur_stairs: #2, 158(11%)
minecraft.picked_up.campfire: #3, 224(14%)
minecraft.used.deepslate_bricks: #3, 11718(11%)
minecraft.used.azalea_leaves: #2, 3251(8%)
minecraft.dropped.poppy: #3, 11186(11%)
minecraft.picked_up.orange_concrete: #3, 1641(14%)
minecraft.dropped.birch_leaves: #2, 322(12%)
minecraft.used.smooth_red_sandstone: #2, 1191(42%)
minecraft.picked_up.flower_pot: #2, 215(8%)
minecraft.dropped.cobweb: #1, 8(53%)
minecraft.mined.tube_coral_block: #2, 283(15%)
minecraft.used.brain_coral_block: #2, 286(16%)
minecraft.mined.bubble_coral_block: #2, 380(15%)
minecraft.killed.cod: #2, 119(11%)
minecraft.crafted.lapis_lazuli: #3, 5248(12%)
minecraft.mined.deepslate_iron_ore: #3, 2065(9%)
minecraft.crafted.purpur_block: #2, 292(41%)
minecraft.mined.glass: #3, 2052(11%)
minecraft.crafted.music_disc_5: #2, 5(25%)
minecraft.broken.crossbow: #1, 1(50%)
minecraft.killed_by.ghast: #1, 1(25%)
minecraft.dropped.netherite_chestplate: #1, 1(25%)
minecraft.dropped.creeper_head: #1, 3(100%)
minecraft.dropped.large_fern: #1, 1(100%)
minecraft.dropped.blue_bed: #1, 1(50%)
minecraft.dropped.lime_bed: #1, 1(100%)
minecraft.dropped.music_disc_pigstep: #1, 1(50%)
minecraft.dropped.light_blue_glazed_terracotta: #1, 11(50%)
minecraft.dropped.piglin_banner_pattern: #1, 6(100%)
minecraft.dropped.zombie_head: #1, 1(100%)
minecraft.killed.donkey: #1, 1(25%)
minecraft.mined.purple_wall_banner: #1, 1(25%)
minecraft.crafted.dune_armor_trim_smithing_template: #1, 8(100%)
minecraft.picked_up.rib_armor_trim_smithing_template: #1, 1(100%)
minecraft.picked_up.large_fern: #1, 4(100%)
minecraft.killed_by.wither_skeleton: #1, 1(33%)
minecraft.mined.oak_door: #2, 10(11%)
minecraft.crafted.green_carpet: #2, 906(10%)
minecraft.crafted.spruce_pressure_plate: #3, 92(15%)
minecraft.picked_up.green_banner: #2, 29(20%)
minecraft.used.carved_pumpkin: #3, 74(9%)
minecraft.mined.calcite: #3, 4984(11%)
minecraft.dropped.stone_brick_wall: #2, 88(18%)
minecraft.picked_up.crafting_table: #3, 613(8%)
minecraft.crafted.spruce_fence: #3, 2373(11%)
minecraft.picked_up.cobbled_deepslate_slab: #3, 1347(11%)
minecraft.used.hopper: #3, 3783(11%)
minecraft.used.spruce_pressure_plate: #2, 44(11%)
minecraft.dropped.oak_boat: #2, 13(11%)
minecraft.dropped.cobblestone_stairs: #2, 74(14%)
minecraft.used.dirt: #3, 56352(8%)
minecraft.crafted.netherite_block: #2, 34(19%)
minecraft.mined.chain: #3, 242(11%)
minecraft.mined.end_stone_bricks: #3, 325(14%)
minecraft.mined.orange_wool: #3, 296(14%)
minecraft.crafted.gray_stained_glass_pane: #2, 384(11%)
minecraft.crafted.nether_brick_stairs: #2, 312(23%)
minecraft.crafted.anvil: #3, 447(10%)
minecraft.picked_up.calcite: #3, 4781(10%)
minecraft.picked_up.gray_banner: #2, 24(21%)
minecraft.mined.grass: #3, 6276(8%)
minecraft.dropped.carved_pumpkin: #4, 280(11%)
minecraft.dropped.nautilus_shell: #2, 14(18%)
minecraft.dropped.orange_glazed_terracotta: #2, 46(31%)
minecraft.dropped.granite: #3, 2793(11%)
minecraft.dropped.red_wool: #2, 510(17%)
minecraft.mined.lever: #3, 154(10%)
minecraft.picked_up.crying_obsidian: #3, 923(12%)
minecraft.custom.interact_with_brewingstand: #3, 1103(10%)
minecraft.killed.strider: #2, 8(36%)
minecraft.picked_up.deepslate_emerald_ore: #2, 10(23%)
minecraft.picked_up.warped_fungus_on_a_stick: #2, 8(26%)
minecraft.mined.barrel: #3, 300(10%)
minecraft.picked_up.lily_of_the_valley: #2, 309(7%)
minecraft.used.candle: #2, 156(9%)
minecraft.killed_by.iron_golem: #2, 6(25%)
minecraft.used.spider_eye: #2, 23(29%)
minecraft.picked_up.gray_dye: #2, 189(16%)
minecraft.dropped.crying_obsidian: #2, 403(13%)
minecraft.dropped.cooked_mutton: #2, 9(16%)
minecraft.used.ender_eye: #2, 31(22%)
minecraft.used.potion: #4, 973(11%)
minecraft.mined.black_wall_banner: #2, 30(22%)
minecraft.picked_up.lapis_lazuli: #3, 7658(8%)
minecraft.used.iron_block: #3, 5300(9%)
minecraft.used.tube_coral_block: #2, 192(12%)
minecraft.crafted.white_concrete: #2, 400(24%)
minecraft.dropped.crimson_trapdoor: #2, 16(19%)
minecraft.picked_up.mud_brick_slab: #2, 104(10%)
minecraft.used.experience_bottle: #3, 4280(10%)
minecraft.dropped.candle: #2, 53(42%)
minecraft.mined.large_amethyst_bud: #3, 201(14%)
minecraft.used.fire_charge: #2, 5(24%)
minecraft.crafted.conduit: #2, 3(17%)
minecraft.dropped.crimson_stairs: #2, 33(33%)
minecraft.mined.gilded_blackstone: #2, 70(12%)
minecraft.dropped.prismarine_bricks: #3, 307(22%)
minecraft.picked_up.enchanting_table: #2, 6(12%)
minecraft.mined.spruce_wood: #3, 308(16%)
minecraft.picked_up.nether_bricks: #3, 2476(10%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #2, 4(18%)
minecraft.picked_up.grass_block: #3, 57658(8%)
minecraft.picked_up.water_bucket: #3, 105(8%)
minecraft.used.netherite_sword: #2, 52322(14%)
minecraft.mined.red_sand: #3, 5673(13%)
minecraft.crafted.chain: #3, 1151(10%)
minecraft.crafted.raw_iron_block: #3, 704(11%)
minecraft.dropped.stone_button: #2, 423(9%)
minecraft.custom.interact_with_crafting_table: #3, 5811(7%)
minecraft.mined.deepslate_emerald_ore: #2, 8(20%)
minecraft.dropped.milk_bucket: #2, 14(20%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #2, 5(20%)
minecraft.used.diamond_pickaxe: #3, 505569(6%)
minecraft.mined.red_concrete: #3, 3207(10%)
minecraft.used.flint_and_steel: #3, 1673(9%)
minecraft.picked_up.fishing_rod: #3, 17(15%)
minecraft.picked_up.mutton: #3, 209(10%)
minecraft.picked_up.polished_deepslate: #3, 1359(9%)
minecraft.mined.lilac: #3, 56(10%)
minecraft.used.golden_pickaxe: #2, 90(11%)
minecraft.picked_up.spruce_planks: #3, 2751(8%)
minecraft.mined.crafting_table: #3, 477(7%)
minecraft.dropped.dripstone_block: #3, 364(13%)
minecraft.killed_by.stray: #2, 2(15%)
minecraft.picked_up.red_sand: #3, 5581(13%)
minecraft.dropped.pumpkin_seeds: #3, 3232(12%)
minecraft.dropped.iron_block: #3, 965(11%)
minecraft.picked_up.glow_ink_sac: #3, 1179(9%)
minecraft.dropped.deepslate_tiles: #2, 73(10%)
minecraft.used.purple_candle: #2, 77(25%)
minecraft.crafted.stone_stairs: #3, 1286(11%)
minecraft.mined.crimson_button: #2, 3(30%)
minecraft.crafted.netherite_axe: #2, 2(12%)
minecraft.dropped.yellow_bed: #2, 5(25%)
minecraft.picked_up.heart_pottery_sherd: #2, 5(17%)
minecraft.mined.loom: #3, 28(12%)
minecraft.picked_up.end_stone_bricks: #3, 330(12%)
minecraft.mined.orange_tulip: #3, 35(18%)
minecraft.dropped.birch_planks: #3, 219(10%)
minecraft.crafted.golden_axe: #2, 9(29%)
minecraft.dropped.lime_wool: #2, 305(21%)
minecraft.used.music_disc_pigstep: #2, 11(29%)
minecraft.picked_up.tuff: #3, 12825(8%)
minecraft.dropped.netherite_helmet: #3, 7(16%)
minecraft.killed_by.endermite: #2, 2(14%)
minecraft.mined.potted_spruce_sapling: #2, 2(29%)
minecraft.custom.open_shulker_box: #4, 81185(7%)
minecraft.crafted.stone_hoe: #3, 12(12%)
minecraft.dropped.mud_brick_stairs: #2, 24(20%)
minecraft.used.deepslate_brick_slab: #3, 2635(11%)
minecraft.mined.dripstone_block: #3, 1279(10%)
minecraft.crafted.netherite_shovel: #2, 3(18%)
minecraft.dropped.gold_nugget: #3, 5400(10%)
minecraft.mined.smooth_red_sandstone: #2, 85(35%)
minecraft.picked_up.splash_potion: #3, 71(9%)
minecraft.picked_up.recovery_compass: #2, 3(23%)
minecraft.dropped.nether_brick_wall: #2, 30(46%)
minecraft.used.green_carpet: #2, 875(7%)
minecraft.picked_up.prismarine_bricks: #3, 1005(9%)
minecraft.crafted.red_nether_bricks: #3, 437(20%)
minecraft.dropped.white_terracotta: #2, 135(8%)
minecraft.dropped.spectral_arrow: #3, 2248(11%)
minecraft.crafted.gray_carpet: #3, 2733(9%)
minecraft.picked_up.birch_wood: #3, 73(15%)
minecraft.crafted.tide_armor_trim_smithing_template: #2, 8(27%)
minecraft.killed_by.cave_spider: #2, 2(11%)
minecraft.used.bubble_coral_block: #2, 265(12%)
minecraft.picked_up.yellow_bed: #3, 92(11%)
minecraft.dropped.oak_slab: #3, 49(12%)
minecraft.dropped.blue_orchid: #2, 100(43%)
minecraft.dropped.jungle_planks: #3, 109(13%)
minecraft.picked_up.shield: #3, 22(8%)
minecraft.mined.conduit: #2, 4(14%)
minecraft.mined.smithing_table: #3, 37(10%)
minecraft.dropped.sponge: #2, 67(18%)
minecraft.mined.dispenser: #3, 150(9%)
minecraft.picked_up.cobweb: #3, 582(13%)
minecraft.crafted.mangrove_button: #3, 37(14%)
minecraft.mined.gray_stained_glass_pane: #3, 109(20%)
minecraft.mined.yellow_bed: #3, 88(11%)
minecraft.used.conduit: #2, 5(12%)
minecraft.crafted.warped_fungus_on_a_stick: #2, 2(12%)
minecraft.dropped.dragon_head: #2, 2(25%)
minecraft.picked_up.iron_leggings: #2, 26(4%)
minecraft.crafted.red_sandstone: #3, 1372(16%)
minecraft.crafted.crossbow: #3, 27(18%)
minecraft.used.red_concrete_powder: #3, 2920(10%)
minecraft.picked_up.big_dripleaf: #3, 410(9%)
minecraft.dropped.oak_planks: #4, 368(11%)
minecraft.used.cobblestone_stairs: #3, 520(10%)
minecraft.crafted.silence_armor_trim_smithing_template: #2, 42(15%)
minecraft.dropped.brown_banner: #2, 6(40%)
minecraft.used.cracked_polished_blackstone_bricks: #3, 1007(16%)
minecraft.dropped.yellow_shulker_box: #2, 3(11%)
minecraft.used.grass_block: #3, 39017(7%)
minecraft.mined.brain_coral_fan: #2, 29(8%)
minecraft.picked_up.oak_door: #3, 16(10%)
minecraft.killed.cat: #2, 2(17%)
minecraft.picked_up.polished_blackstone_pressure_plate: #2, 39(17%)
minecraft.crafted.snout_armor_trim_smithing_template: #2, 6(23%)
minecraft.picked_up.jungle_sign: #2, 33(12%)
minecraft.dropped.gray_shulker_box: #2, 3(23%)
minecraft.killed_by.skeleton: #3, 10(9%)
minecraft.dropped.lectern: #2, 7(11%)
minecraft.used.minecart: #3, 222(9%)
minecraft.mined.nether_brick_fence: #3, 155(15%)
minecraft.picked_up.golden_horse_armor: #2, 6(11%)
minecraft.used.barrel: #3, 621(7%)
minecraft.used.cyan_carpet: #3, 436(12%)
minecraft.dropped.raw_copper_block: #2, 74(28%)
minecraft.killed.wolf: #2, 2(22%)
minecraft.dropped.warped_fungus_on_a_stick: #2, 2(22%)
minecraft.picked_up.light_gray_wool: #4, 1669(13%)
minecraft.dropped.spruce_wood: #2, 104(14%)
minecraft.dropped.enchanted_golden_apple: #2, 2(18%)
minecraft.dropped.golden_horse_armor: #2, 2(18%)
minecraft.dropped.deepslate_tile_stairs: #3, 52(16%)
minecraft.crafted.netherite_helmet: #3, 7(19%)
minecraft.picked_up.howl_pottery_sherd: #2, 3(21%)
minecraft.broken.flint_and_steel: #2, 13(8%)
minecraft.crafted.purple_concrete_powder: #3, 1312(13%)
minecraft.picked_up.nether_gold_ore: #3, 395(9%)
minecraft.dropped.shulker_box: #3, 89(8%)
minecraft.custom.open_enderchest: #4, 7661(6%)
minecraft.mined.purpur_block: #3, 461(10%)
minecraft.mined.purple_wool: #2, 59(8%)
minecraft.picked_up.soul_soil: #3, 2367(8%)
minecraft.mined.orange_concrete: #3, 1349(10%)
minecraft.crafted.writable_book: #3, 109(8%)
minecraft.dropped.birch_fence_gate: #2, 16(25%)
minecraft.picked_up.spruce_fence_gate: #3, 122(9%)
minecraft.dropped.iron_leggings: #2, 23(5%)
minecraft.picked_up.bone: #4, 7690(9%)
minecraft.dropped.fire_charge: #2, 192(11%)
minecraft.mined.dragon_wall_head: #3, 11(11%)
minecraft.broken.golden_leggings: #2, 1(50%)
minecraft.dropped.golden_pickaxe: #2, 2(14%)
minecraft.dropped.tall_grass: #2, 2(25%)
minecraft.broken.iron_boots: #2, 1(25%)
minecraft.crafted.pink_concrete: #2, 8(33%)
minecraft.crafted.diamond_chestplate: #3, 21(8%)
minecraft.dropped.packed_mud: #3, 64(20%)
minecraft.picked_up.spruce_hanging_sign: #2, 5(12%)
minecraft.picked_up.beacon: #3, 56(8%)
minecraft.killed.silverfish: #3, 30(9%)
minecraft.dropped.mossy_cobblestone_stairs: #2, 6(32%)
minecraft.picked_up.bread: #3, 1032(9%)
minecraft.picked_up.cobbled_deepslate: #4, 85181(9%)
minecraft.picked_up.gold_ingot: #3, 2567(8%)
minecraft.mined.blackstone_wall: #3, 52(15%)
minecraft.mined.birch_fence_gate: #3, 22(14%)
minecraft.crafted.popped_chorus_fruit: #2, 292(12%)
minecraft.crafted.spire_armor_trim_smithing_template: #2, 8(31%)
minecraft.crafted.shaper_armor_trim_smithing_template: #2, 8(31%)
minecraft.picked_up.raw_iron: #4, 9088(9%)
minecraft.mined.gray_carpet: #2, 377(4%)
minecraft.dropped.snow: #4, 1347(11%)
minecraft.used.magma_block: #4, 3258(12%)
minecraft.dropped.seagrass: #2, 16(8%)
minecraft.crafted.red_concrete_powder: #3, 3136(9%)
minecraft.picked_up.birch_fence_gate: #3, 56(13%)
