stat, rank, value, (percentage) 
minecraft.mined.sunflower: #17, 6(1%)
minecraft.crafted.grindstone: #17, 13(1%)
minecraft.crafted.dark_oak_stairs: #17, 108(1%)
minecraft.killed_by.creeper: #17, 1(1%)
minecraft.dropped.oak_sapling: #17, 26(1%)
minecraft.dropped.birch_planks: #17, 18(1%)
minecraft.mined.dark_oak_door: #17, 1(1%)
minecraft.picked_up.note_block: #17, 13(1%)
minecraft.picked_up.birch_leaves: #17, 390(1%)
minecraft.picked_up.dark_prismarine: #17, 35(1%)
minecraft.mined.pumpkin: #17, 57(1%)
minecraft.used.polished_andesite_stairs: #17, 82(1%)
minecraft.used.stone_stairs: #17, 88(1%)
minecraft.mined.stone_stairs: #17, 16(1%)
minecraft.dropped.ender_chest: #17, 2(1%)
minecraft.used.flowering_azalea_leaves: #17, 82(1%)
minecraft.used.spruce_fence_gate: #17, 18(1%)
minecraft.picked_up.snow_block: #17, 348(0%)
minecraft.crafted.mangrove_trapdoor: #17, 18(0%)
minecraft.used.polished_deepslate_stairs: #17, 58(0%)
minecraft.used.gray_concrete_powder: #17, 233(0%)
minecraft.mined.polished_deepslate_stairs: #17, 9(0%)
minecraft.crafted.stone_slab: #17, 174(0%)
minecraft.crafted.deepslate_brick_stairs: #17, 8(0%)
minecraft.picked_up.snowball: #17, 1389(0%)
minecraft.used.honeycomb: #17, 38(0%)
minecraft.dropped.coarse_dirt: #17, 9(0%)
minecraft.mined.mud: #17, 246(0%)
minecraft.mined.mangrove_planks: #17, 2(0%)
minecraft.dropped.iron_leggings: #17, 1(0%)
minecraft.crafted.deepslate_tile_stairs: #17, 4(0%)
minecraft.used.brown_mushroom_block: #17, 11(0%)
minecraft.used.red_bed: #17, 3(0%)
minecraft.picked_up.acacia_sign: #17, 1(0%)
minecraft.crafted.polished_blackstone: #17, 56(0%)
minecraft.mined.coal_block: #17, 1(0%)
minecraft.dropped.book: #17, 1(0%)
minecraft.used.white_banner: #17, 1(0%)
minecraft.used.dark_prismarine_slab: #17, 10(0%)
minecraft.crafted.leather_boots: #17, 2(0%)
minecraft.used.bricks: #17, 16(0%)
minecraft.mined.acacia_trapdoor: #17, 2(0%)
minecraft.used.green_terracotta: #17, 52(0%)
minecraft.picked_up.acacia_trapdoor: #17, 2(0%)
minecraft.used.dark_prismarine: #17, 11(0%)
minecraft.used.crimson_slab: #17, 18(0%)
minecraft.used.powder_snow_bucket: #17, 4(0%)
minecraft.used.smooth_sandstone: #17, 21(0%)
minecraft.used.red_mushroom_block: #17, 1(0%)
minecraft.killed.zombified_piglin: #17, 1(0%)
minecraft.crafted.oak_fence: #18, 126(2%)
minecraft.crafted.spruce_trapdoor: #18, 388(1%)
minecraft.picked_up.terracotta: #18, 2368(1%)
minecraft.used.iron_leggings: #18, 1(1%)
minecraft.used.lead: #18, 1(1%)
minecraft.crafted.iron_shovel: #18, 4(1%)
minecraft.used.end_rod: #18, 60(1%)
minecraft.mined.flowering_azalea: #18, 21(1%)
minecraft.picked_up.potion: #18, 28(1%)
minecraft.mined.azalea: #18, 31(1%)
minecraft.used.dark_oak_door: #18, 3(1%)
minecraft.mined.birch_sign: #18, 3(1%)
minecraft.used.deepslate_redstone_ore: #18, 64(1%)
minecraft.crafted.campfire: #18, 24(1%)
minecraft.used.polished_andesite: #18, 268(1%)
minecraft.used.lightning_rod: #18, 24(1%)
minecraft.crafted.dark_oak_door: #18, 3(1%)
minecraft.used.iron_trapdoor: #18, 33(1%)
minecraft.used.damaged_anvil: #18, 1(1%)
minecraft.dropped.dark_oak_log: #18, 45(1%)
minecraft.mined.tripwire_hook: #18, 1(1%)
minecraft.dropped.shears: #18, 5(0%)
minecraft.used.diamond_leggings: #18, 1(0%)
minecraft.crafted.spruce_sign: #18, 9(0%)
minecraft.mined.smooth_stone_slab: #18, 12(0%)
minecraft.used.mangrove_trapdoor: #18, 15(0%)
minecraft.picked_up.gray_concrete: #18, 128(0%)
minecraft.used.glow_lichen: #18, 140(0%)
minecraft.dropped.potion: #18, 9(0%)
minecraft.crafted.acacia_planks: #18, 208(0%)
minecraft.mined.gray_concrete: #18, 128(0%)
minecraft.dropped.barrel: #18, 1(0%)
minecraft.used.snow_block: #18, 400(0%)
minecraft.used.polished_andesite_slab: #18, 66(0%)
minecraft.used.gray_concrete: #18, 104(0%)
minecraft.used.spyglass: #18, 15(0%)
minecraft.picked_up.netherite_leggings: #18, 1(0%)
minecraft.used.pearlescent_froglight: #18, 11(0%)
minecraft.used.gray_wool: #18, 38(0%)
minecraft.used.rooted_dirt: #18, 13(0%)
minecraft.used.packed_ice: #18, 135(0%)
minecraft.picked_up.red_mushroom_block: #18, 63(0%)
minecraft.crafted.green_concrete_powder: #18, 64(0%)
minecraft.used.andesite_slab: #18, 11(0%)
minecraft.crafted.red_carpet: #18, 15(0%)
minecraft.used.dark_oak_fence_gate: #18, 2(0%)
minecraft.dropped.enchanted_book: #18, 1(0%)
minecraft.dropped.dark_oak_trapdoor: #18, 1(0%)
minecraft.used.sandstone: #18, 23(0%)
minecraft.used.wither_skeleton_skull: #18, 1(0%)
minecraft.used.red_carpet: #18, 9(0%)
minecraft.used.green_concrete: #18, 6(0%)
minecraft.mined.green_concrete: #18, 6(0%)
minecraft.picked_up.smooth_sandstone: #18, 3(0%)
minecraft.picked_up.light_gray_concrete_powder: #18, 1(0%)
minecraft.custom.player_kills: #19, 13(1%)
minecraft.crafted.barrel: #19, 108(1%)
minecraft.dropped.diamond_leggings: #19, 3(1%)
minecraft.custom.bell_ring: #19, 36(1%)
minecraft.picked_up.iron_pickaxe: #19, 2(1%)
minecraft.used.coal_ore: #19, 208(1%)
minecraft.used.dandelion: #19, 4(1%)
minecraft.mined.wheat: #19, 237(1%)
minecraft.dropped.iron_shovel: #19, 1(1%)
minecraft.crafted.dark_oak_trapdoor: #19, 100(0%)
minecraft.picked_up.netherite_pickaxe: #19, 4(0%)
minecraft.mined.coarse_dirt: #19, 80(0%)
minecraft.mined.damaged_anvil: #19, 1(0%)
minecraft.mined.cave_vines_plant: #19, 8(0%)
minecraft.picked_up.damaged_anvil: #19, 1(0%)
minecraft.used.smooth_stone_slab: #19, 76(0%)
minecraft.used.iron_ore: #19, 32(0%)
minecraft.used.spruce_sign: #19, 6(0%)
minecraft.picked_up.lilac: #19, 34(0%)
minecraft.used.crimson_trapdoor: #19, 10(0%)
minecraft.mined.smithing_table: #19, 1(0%)
minecraft.used.azalea: #19, 12(0%)
minecraft.picked_up.netherite_boots: #19, 1(0%)
minecraft.mined.spruce_fence_gate: #19, 2(0%)
minecraft.picked_up.cobbled_deepslate_stairs: #19, 3(0%)
minecraft.crafted.smooth_quartz: #19, 38(0%)
minecraft.picked_up.prismarine_bricks: #19, 15(0%)
minecraft.mined.andesite_slab: #19, 1(0%)
minecraft.picked_up.andesite_slab: #19, 2(0%)
minecraft.mined.pearlescent_froglight: #19, 1(0%)
minecraft.used.oak_leaves: #19, 61(0%)
minecraft.used.yellow_terracotta: #19, 15(0%)
minecraft.crafted.gray_stained_glass: #19, 32(0%)
minecraft.picked_up.green_concrete: #19, 6(0%)
minecraft.crafted.chiseled_stone_bricks: #19, 10(0%)
minecraft.dropped.cooked_porkchop: #19, 21(0%)
minecraft.mined.packed_mud: #19, 1(0%)
minecraft.mined.quartz_pillar: #19, 1(0%)
minecraft.mined.light_gray_carpet: #19, 2(0%)
minecraft.mined.light_gray_wool: #19, 1(0%)
minecraft.crafted.smithing_table: #19, 1(0%)
minecraft.mined.smooth_sandstone: #19, 3(0%)
minecraft.dropped.chorus_fruit: #19, 1(0%)
minecraft.used.netherite_pickaxe: #19, 1598(0%)
minecraft.picked_up.seagrass: #19, 1(0%)
minecraft.mined.rose_bush: #20, 8(2%)
minecraft.used.player_head: #20, 38(1%)
minecraft.picked_up.diamond_boots: #20, 10(1%)
minecraft.killed.enderman: #20, 10796(1%)
minecraft.mined.moss_carpet: #20, 110(1%)
minecraft.picked_up.red_shulker_box: #20, 107(1%)
minecraft.mined.red_shulker_box: #20, 104(1%)
minecraft.crafted.chain: #20, 128(1%)
minecraft.custom.enchant_item: #20, 22(1%)
minecraft.used.red_shulker_box: #20, 105(1%)
minecraft.mined.stone_button: #20, 7(1%)
minecraft.custom.damage_absorbed: #20, 189(1%)
minecraft.picked_up.birch_sign: #20, 24(1%)
minecraft.picked_up.deepslate_redstone_ore: #20, 97(1%)
minecraft.used.poppy: #20, 4(1%)
minecraft.mined.chain: #20, 9(0%)
minecraft.used.campfire: #20, 13(0%)
minecraft.mined.grindstone: #20, 2(0%)
minecraft.used.chain: #20, 39(0%)
minecraft.picked_up.iron_leggings: #20, 2(0%)
minecraft.picked_up.smooth_stone_slab: #20, 16(0%)
minecraft.custom.play_noteblock: #20, 18(0%)
minecraft.mined.loom: #20, 1(0%)
minecraft.used.pumpkin_pie: #20, 77(0%)
minecraft.used.polished_deepslate: #20, 215(0%)
minecraft.picked_up.azalea_leaves: #20, 231(0%)
minecraft.mined.snow: #20, 1730(0%)
minecraft.picked_up.chain: #20, 12(0%)
minecraft.dropped.glass_bottle: #20, 19(0%)
minecraft.used.glow_ink_sac: #20, 9(0%)
minecraft.crafted.oak_boat: #20, 1(0%)
minecraft.mined.lily_of_the_valley: #20, 1(0%)
minecraft.used.dark_oak_log: #20, 121(0%)
minecraft.mined.lightning_rod: #20, 3(0%)
minecraft.used.dark_oak_sapling: #20, 23(0%)
minecraft.crafted.cobblestone_slab: #20, 36(0%)
minecraft.mined.blast_furnace: #20, 1(0%)
minecraft.custom.time_since_rest: #20, 256105(0%)
minecraft.picked_up.stone_stairs: #20, 12(0%)
minecraft.picked_up.lightning_rod: #20, 3(0%)
minecraft.picked_up.red_banner: #20, 1(0%)
minecraft.picked_up.grindstone: #20, 2(0%)
minecraft.dropped.apple: #20, 3(0%)
minecraft.used.podzol: #20, 6(0%)
minecraft.picked_up.spruce_fence_gate: #20, 2(0%)
minecraft.picked_up.glass_bottle: #20, 18(0%)
minecraft.picked_up.smithing_table: #20, 1(0%)
minecraft.used.cobblestone_stairs: #20, 5(0%)
minecraft.used.acacia_log: #20, 7(0%)
minecraft.dropped.azalea: #20, 1(0%)
minecraft.dropped.stone_bricks: #20, 2(0%)
minecraft.used.polished_blackstone_slab: #20, 4(0%)
minecraft.used.mud: #20, 8(0%)
minecraft.used.polished_blackstone_stairs: #20, 1(0%)
minecraft.picked_up.light_gray_carpet: #20, 2(0%)
minecraft.used.quartz_pillar: #20, 1(0%)
minecraft.used.mushroom_stem: #20, 1(0%)
minecraft.dropped.elytra: #21, 6(2%)
minecraft.picked_up.oak_slab: #21, 28(1%)
minecraft.crafted.spruce_stairs: #21, 192(1%)
minecraft.crafted.dark_oak_planks: #21, 2844(1%)
minecraft.dropped.golden_carrot: #21, 68(1%)
minecraft.crafted.oak_sign: #21, 21(1%)
minecraft.mined.lantern: #21, 8(1%)
minecraft.mined.big_dripleaf: #21, 3(1%)
minecraft.used.spruce_log: #21, 292(1%)
minecraft.used.elytra: #21, 6(0%)
minecraft.crafted.spruce_slab: #21, 404(1%)
minecraft.picked_up.rose_bush: #21, 200(1%)
minecraft.killed.wandering_trader: #21, 1(1%)
minecraft.killed.trader_llama: #21, 2(1%)
minecraft.crafted.spruce_fence: #21, 108(0%)
minecraft.picked_up.deepslate: #21, 2109(0%)
minecraft.picked_up.golden_chestplate: #21, 2(1%)
minecraft.dropped.iron_ingot: #21, 85(0%)
minecraft.crafted.spruce_door: #21, 3(0%)
minecraft.dropped.netherite_pickaxe: #21, 1(0%)
minecraft.mined.oak_trapdoor: #21, 5(0%)
minecraft.picked_up.red_wool: #21, 55(0%)
minecraft.custom.play_record: #21, 5(0%)
minecraft.picked_up.coarse_dirt: #21, 65(0%)
minecraft.mined.ender_chest: #21, 44(0%)
minecraft.picked_up.loom: #21, 1(0%)
minecraft.picked_up.sunflower: #21, 52(0%)
minecraft.crafted.gray_dye: #21, 80(0%)
minecraft.picked_up.dark_oak_door: #21, 1(0%)
minecraft.picked_up.flower_pot: #21, 6(0%)
minecraft.dropped.golden_chestplate: #21, 1(0%)
minecraft.mined.clay: #21, 225(0%)
minecraft.picked_up.blast_furnace: #21, 1(0%)
minecraft.used.blast_furnace: #21, 2(0%)
minecraft.mined.spruce_wall_sign: #21, 1(0%)
minecraft.used.deepslate_diamond_ore: #21, 37(0%)
minecraft.crafted.flower_pot: #21, 10(0%)
minecraft.crafted.light_gray_dye: #21, 48(0%)
minecraft.mined.iron_door: #21, 1(0%)
minecraft.crafted.lime_dye: #21, 60(0%)
minecraft.used.cobbled_deepslate_stairs: #21, 7(0%)
minecraft.mined.rooted_dirt: #21, 23(0%)
minecraft.mined.cobblestone_slab: #21, 10(0%)
minecraft.used.lectern: #21, 11(0%)
minecraft.custom.mob_kills: #21, 10856(0%)
minecraft.used.red_wool: #21, 12(0%)
minecraft.used.dark_oak_slab: #21, 27(0%)
minecraft.used.smithing_table: #21, 2(0%)
minecraft.mined.polished_andesite_slab: #21, 3(0%)
minecraft.crafted.cobbled_deepslate_slab: #21, 6(0%)
minecraft.used.gold_block: #21, 4(0%)
minecraft.picked_up.packed_mud: #21, 1(0%)
minecraft.picked_up.mud: #21, 35(0%)
minecraft.used.crimson_planks: #21, 4(0%)
minecraft.used.chiseled_stone_bricks: #21, 3(0%)
minecraft.used.experience_bottle: #21, 14(0%)
minecraft.used.green_concrete_powder: #21, 15(0%)
minecraft.picked_up.white_banner: #21, 1(0%)
minecraft.crafted.firework_rocket: #21, 192(0%)
minecraft.mined.mangrove_log: #21, 2(0%)
minecraft.used.light_gray_carpet: #21, 2(0%)
minecraft.used.oxidized_copper: #21, 1(0%)
minecraft.used.spruce_trapdoor: #22, 316(1%)
minecraft.picked_up.diamond_axe: #22, 10(1%)
minecraft.picked_up.iron_shovel: #22, 2(1%)
minecraft.used.shears: #22, 2132(1%)
minecraft.picked_up.quartz: #22, 936(1%)
minecraft.picked_up.pointed_dripstone: #22, 155(1%)
minecraft.dropped.dirt: #22, 625(1%)
minecraft.picked_up.ender_pearl: #22, 2205(1%)
minecraft.dropped.stone_pickaxe: #22, 1(1%)
minecraft.killed.player: #22, 13(1%)
minecraft.used.barrel: #22, 58(1%)
minecraft.crafted.oak_slab: #22, 192(1%)
minecraft.broken.shears: #22, 3(1%)
minecraft.crafted.spruce_planks: #22, 3092(1%)
minecraft.picked_up.writable_book: #22, 2(1%)
minecraft.used.spruce_door: #22, 4(1%)
minecraft.dropped.ender_pearl: #22, 1580(0%)
minecraft.used.carved_pumpkin: #22, 4(1%)
minecraft.used.spruce_slab: #22, 253(1%)
minecraft.picked_up.iron_helmet: #22, 1(1%)
minecraft.mined.player_wall_head: #22, 4(1%)
minecraft.picked_up.wheat: #22, 225(0%)
minecraft.mined.cave_vines: #22, 11(0%)
minecraft.picked_up.spruce_door: #22, 2(0%)
minecraft.used.lever: #22, 27(0%)
minecraft.picked_up.deepslate_lapis_ore: #22, 12(1%)
minecraft.mined.spruce_fence: #22, 15(0%)
minecraft.mined.oak_slab: #22, 8(0%)
minecraft.crafted.lever: #22, 23(0%)
minecraft.picked_up.moss_carpet: #22, 156(0%)
minecraft.crafted.iron_helmet: #22, 1(0%)
minecraft.crafted.repeater: #22, 69(0%)
minecraft.used.spruce_fence: #22, 76(0%)
minecraft.picked_up.crimson_planks: #22, 19(0%)
minecraft.crafted.flint_and_steel: #22, 2(0%)
minecraft.mined.moss_block: #22, 459(0%)
minecraft.picked_up.firework_rocket: #22, 1360(0%)
minecraft.used.golden_carrot: #22, 114(0%)
minecraft.used.deepslate: #22, 512(0%)
minecraft.picked_up.deepslate_gold_ore: #22, 21(0%)
minecraft.picked_up.spruce_fence: #22, 19(0%)
minecraft.picked_up.dark_oak_slab: #22, 28(0%)
minecraft.used.composter: #22, 15(0%)
minecraft.picked_up.diamond_chestplate: #22, 1(0%)
minecraft.mined.azalea_leaves: #22, 236(0%)
minecraft.mined.flowering_azalea_leaves: #22, 75(0%)
minecraft.used.spruce_sapling: #22, 50(0%)
minecraft.crafted.oak_trapdoor: #22, 22(0%)
minecraft.dropped.dark_oak_planks: #22, 9(0%)
minecraft.picked_up.beef: #22, 31(0%)
minecraft.used.cyan_terracotta: #22, 132(0%)
minecraft.used.sweet_berries: #22, 35(0%)
minecraft.crafted.redstone_torch: #22, 156(0%)
minecraft.used.oak_trapdoor: #22, 16(0%)
minecraft.used.oak_planks: #22, 36(0%)
minecraft.picked_up.oak_boat: #22, 2(0%)
minecraft.dropped.player_head: #22, 16(0%)
minecraft.used.stripped_spruce_log: #22, 18(0%)
minecraft.crafted.cyan_dye: #22, 62(0%)
minecraft.used.stone_slab: #22, 103(0%)
minecraft.picked_up.mushroom_stem: #22, 64(0%)
minecraft.picked_up.emerald_ore: #22, 1(0%)
minecraft.used.dark_oak_sign: #22, 2(0%)
minecraft.mined.cobbled_deepslate_stairs: #22, 1(0%)
minecraft.mined.campfire: #22, 1(0%)
minecraft.mined.mossy_cobblestone: #22, 7(0%)
minecraft.dropped.spruce_trapdoor: #22, 1(0%)
minecraft.crafted.bookshelf: #22, 21(0%)
minecraft.used.smooth_quartz_slab: #22, 12(0%)
minecraft.mined.white_wool: #22, 5(0%)
minecraft.mined.cobblestone_stairs: #22, 1(0%)
minecraft.used.stone_brick_slab: #22, 15(0%)
minecraft.picked_up.polished_deepslate_slab: #22, 4(0%)
minecraft.picked_up.polished_andesite_slab: #22, 4(0%)
minecraft.mined.cobbled_deepslate_slab: #22, 5(0%)
minecraft.mined.emerald_block: #22, 8(0%)
minecraft.used.azalea_leaves: #22, 21(0%)
minecraft.dropped.egg: #22, 5(0%)
minecraft.dropped.terracotta: #22, 1(0%)
minecraft.dropped.wheat: #22, 1(0%)
minecraft.dropped.spruce_sapling: #22, 1(0%)
minecraft.picked_up.quartz_pillar: #22, 1(0%)
minecraft.used.smooth_stone: #22, 6(0%)
minecraft.used.light_blue_wool: #22, 2(0%)
minecraft.picked_up.glow_lichen: #22, 4(0%)
minecraft.killed.pillager: #22, 7(0%)
minecraft.picked_up.diamond_shovel: #23, 9(1%)
minecraft.custom.interact_with_grindstone: #23, 13(1%)
minecraft.killed_by.drowned: #23, 1(1%)
minecraft.dropped.written_book: #23, 1(1%)
minecraft.custom.time_since_death: #23, 669053(0%)
minecraft.mined.polished_andesite: #23, 23(1%)
minecraft.mined.spruce_trapdoor: #23, 27(0%)
minecraft.used.wheat_seeds: #23, 233(0%)
minecraft.mined.oak_sign: #23, 1(0%)
minecraft.picked_up.spruce_slab: #23, 49(0%)
minecraft.used.spruce_stairs: #23, 70(0%)
minecraft.picked_up.moss_block: #23, 460(0%)
minecraft.mined.lilac: #23, 2(0%)
minecraft.picked_up.ender_chest: #23, 45(0%)
minecraft.crafted.iron_nugget: #23, 848(0%)
minecraft.used.ender_chest: #23, 41(0%)
minecraft.crafted.stone_bricks: #23, 424(0%)
minecraft.picked_up.saddle: #23, 1(0%)
minecraft.picked_up.totem_of_undying: #23, 4(0%)
minecraft.picked_up.flowering_azalea_leaves: #23, 60(0%)
minecraft.mined.stripped_spruce_log: #23, 26(0%)
minecraft.used.granite: #23, 47(0%)
minecraft.picked_up.stripped_spruce_log: #23, 26(0%)
minecraft.used.glow_berries: #23, 8(0%)
minecraft.mined.polished_andesite_stairs: #23, 4(0%)
minecraft.picked_up.iron_door: #23, 1(0%)
minecraft.picked_up.big_dripleaf: #23, 9(0%)
minecraft.picked_up.deepslate_diamond_ore: #23, 35(0%)
minecraft.picked_up.red_concrete: #23, 35(0%)
minecraft.picked_up.polished_andesite: #23, 18(0%)
minecraft.picked_up.polished_andesite_stairs: #23, 4(0%)
minecraft.killed.cow: #23, 9(0%)
minecraft.mined.dark_oak_slab: #23, 4(0%)
minecraft.used.dark_oak_trapdoor: #23, 24(0%)
minecraft.dropped.chest: #23, 2(0%)
minecraft.used.jukebox: #23, 1(0%)
minecraft.used.mossy_cobblestone: #23, 18(0%)
minecraft.crafted.brown_dye: #23, 11(0%)
minecraft.mined.oak_sapling: #23, 1(0%)
minecraft.picked_up.rooted_dirt: #23, 13(0%)
minecraft.picked_up.cobblestone_slab: #23, 10(0%)
minecraft.picked_up.smooth_quartz_slab: #23, 3(0%)
minecraft.picked_up.polished_deepslate_stairs: #23, 2(0%)
minecraft.mined.dead_bush: #23, 2(0%)
minecraft.picked_up.cobbled_deepslate_slab: #23, 5(0%)
minecraft.crafted.cyan_terracotta: #23, 24(0%)
minecraft.dropped.leather: #23, 2(0%)
minecraft.mined.bricks: #23, 1(0%)
minecraft.picked_up.lily_of_the_valley: #23, 1(0%)
minecraft.crafted.cauldron: #23, 1(0%)
minecraft.used.white_concrete: #23, 11(0%)
minecraft.crafted.gold_block: #23, 7(0%)
minecraft.mined.lectern: #23, 1(0%)
minecraft.picked_up.bricks: #23, 1(0%)
minecraft.picked_up.black_wool: #23, 2(0%)
minecraft.used.deepslate_tile_stairs: #23, 1(0%)
minecraft.dropped.paper: #23, 7(0%)
minecraft.mined.white_concrete: #23, 5(0%)
minecraft.mined.packed_ice: #23, 13(0%)
minecraft.killed.cave_spider: #23, 2(0%)
minecraft.picked_up.elytra: #24, 16(1%)
minecraft.picked_up.golden_carrot: #24, 221(1%)
minecraft.picked_up.lead: #24, 18(0%)
minecraft.used.cobbled_deepslate: #24, 476(0%)
minecraft.used.oak_fence: #24, 21(0%)
minecraft.used.bow: #24, 220(0%)
minecraft.used.gravel: #24, 115(0%)
minecraft.crafted.iron_boots: #24, 1(0%)
minecraft.picked_up.spruce_trapdoor: #24, 23(0%)
minecraft.used.repeater: #24, 59(0%)
minecraft.picked_up.end_rod: #24, 12(0%)
minecraft.mined.spruce_slab: #24, 21(0%)
minecraft.dropped.water_bucket: #24, 1(0%)
minecraft.used.deepslate_tiles: #24, 153(0%)
minecraft.picked_up.pumpkin: #24, 57(0%)
minecraft.picked_up.azalea: #24, 29(0%)
minecraft.picked_up.iron_bars: #24, 12(0%)
minecraft.crafted.iron_leggings: #24, 1(0%)
minecraft.picked_up.dark_oak_fence: #24, 6(0%)
minecraft.picked_up.iron_boots: #24, 1(0%)
minecraft.mined.sugar_cane: #24, 90(0%)
minecraft.custom.interact_with_loom: #24, 1(0%)
minecraft.used.white_wool: #24, 36(0%)
minecraft.dropped.birch_sapling: #24, 2(0%)
minecraft.picked_up.sugar_cane: #24, 173(0%)
minecraft.picked_up.stone_button: #24, 5(0%)
minecraft.dropped.dandelion: #24, 2(0%)
minecraft.mined.stone_slab: #24, 13(0%)
minecraft.crafted.shears: #24, 8(0%)
minecraft.used.bamboo: #24, 8(0%)
minecraft.dropped.bone_meal: #24, 19(0%)
minecraft.picked_up.mossy_cobblestone: #24, 7(0%)
minecraft.used.moss_block: #24, 115(0%)
minecraft.mined.stone_bricks: #24, 26(0%)
minecraft.mined.spruce_stairs: #24, 2(0%)
minecraft.mined.cobblestone_wall: #24, 1(0%)
minecraft.picked_up.white_concrete: #24, 33(0%)
minecraft.picked_up.pearlescent_froglight: #24, 1(0%)
minecraft.used.emerald_block: #24, 8(0%)
minecraft.crafted.paper: #24, 171(0%)
minecraft.picked_up.bone_meal: #24, 82(0%)
minecraft.used.stone_brick_stairs: #24, 3(0%)
minecraft.used.iron_bars: #24, 6(0%)
minecraft.used.shroomlight: #24, 1(0%)
minecraft.picked_up.emerald_block: #24, 8(0%)
minecraft.used.cauldron: #24, 1(0%)
minecraft.mined.glow_lichen: #24, 6(0%)
minecraft.picked_up.stripped_warped_stem: #24, 3(0%)
minecraft.picked_up.oxidized_copper: #24, 4(0%)
minecraft.picked_up.light_gray_terracotta: #24, 2(0%)
minecraft.used.deepslate_brick_stairs: #24, 1(0%)
minecraft.used.magma_block: #24, 1(0%)
minecraft.dropped.carrot: #24, 1(0%)
minecraft.crafted.ladder: #25, 120(1%)
minecraft.custom.interact_with_lectern: #25, 72(1%)
minecraft.custom.open_barrel: #25, 977(1%)
minecraft.crafted.crafting_table: #25, 18(1%)
minecraft.crafted.diamond_sword: #25, 1(1%)
minecraft.picked_up.diamond_helmet: #25, 3(1%)
minecraft.crafted.diamond_axe: #25, 1(1%)
minecraft.picked_up.dark_oak_planks: #25, 99(1%)
minecraft.mined.tall_grass: #25, 69(0%)
minecraft.mined.player_head: #25, 4(0%)
minecraft.picked_up.white_bed: #25, 9(0%)
minecraft.picked_up.iron_ingot: #25, 183(0%)
minecraft.mined.spruce_log: #25, 756(0%)
minecraft.used.anvil: #25, 11(0%)
minecraft.mined.oak_fence: #25, 6(0%)
minecraft.picked_up.wheat_seeds: #25, 639(0%)
minecraft.dropped.diamond: #25, 19(0%)
minecraft.mined.dirt_path: #25, 16(0%)
minecraft.picked_up.grass_block: #25, 1480(0%)
minecraft.picked_up.player_head: #25, 50(0%)
minecraft.picked_up.flowering_azalea: #25, 19(0%)
minecraft.crafted.black_dye: #25, 256(0%)
minecraft.picked_up.spruce_sign: #25, 3(0%)
minecraft.picked_up.glow_berries: #25, 12(0%)
minecraft.picked_up.shears: #25, 2(0%)
minecraft.picked_up.oak_planks: #25, 30(0%)
minecraft.used.oak_boat: #25, 2(0%)
minecraft.used.moss_carpet: #25, 35(0%)
minecraft.crafted.iron_chestplate: #25, 1(0%)
minecraft.mined.end_rod: #25, 4(0%)
minecraft.crafted.white_dye: #25, 151(0%)
minecraft.used.oak_stairs: #25, 5(0%)
minecraft.mined.sticky_piston: #25, 6(0%)
minecraft.dropped.bow: #25, 5(0%)
minecraft.mined.white_bed: #25, 3(0%)
minecraft.picked_up.leather: #25, 21(0%)
minecraft.mined.emerald_ore: #25, 1(0%)
minecraft.used.andesite: #25, 67(0%)
minecraft.killed.phantom: #25, 1(0%)
minecraft.used.splash_potion: #25, 1(0%)
minecraft.picked_up.cooked_porkchop: #25, 64(0%)
minecraft.used.stone_bricks: #25, 103(0%)
minecraft.mined.deepslate_tiles: #25, 6(0%)
minecraft.used.cobblestone_slab: #25, 12(0%)
minecraft.dropped.redstone: #25, 9(0%)
minecraft.crafted.crimson_planks: #25, 64(0%)
minecraft.picked_up.chorus_fruit: #25, 5(0%)
minecraft.mined.cyan_terracotta: #25, 7(0%)
minecraft.picked_up.armor_stand: #25, 1(0%)
minecraft.crafted.blue_dye: #25, 32(0%)
minecraft.used.red_concrete: #25, 12(0%)
minecraft.picked_up.deepslate_iron_ore: #25, 2(0%)
minecraft.picked_up.egg: #25, 9(0%)
minecraft.picked_up.cyan_terracotta: #25, 6(0%)
minecraft.picked_up.cobblestone_wall: #25, 1(0%)
minecraft.dropped.moss_block: #25, 3(0%)
minecraft.crafted.moss_carpet: #25, 3(0%)
minecraft.picked_up.podzol: #25, 6(0%)
minecraft.dropped.bone: #25, 9(0%)
minecraft.used.piston: #25, 4(0%)
minecraft.mined.red_concrete: #25, 7(0%)
minecraft.used.deepslate_bricks: #25, 21(0%)
minecraft.picked_up.lectern: #25, 1(0%)
minecraft.mined.polished_deepslate: #25, 1(0%)
minecraft.dropped.string: #25, 6(0%)
minecraft.mined.kelp_plant: #25, 1(0%)
minecraft.picked_up.packed_ice: #25, 7(0%)
minecraft.mined.mushroom_stem: #25, 1(0%)
minecraft.dropped.diamond_sword: #26, 2(1%)
minecraft.picked_up.diamond_leggings: #26, 6(1%)
minecraft.custom.open_chest: #26, 2772(0%)
minecraft.dropped.torch: #26, 58(0%)
minecraft.crafted.furnace: #26, 17(0%)
minecraft.used.lantern: #26, 37(0%)
minecraft.custom.interact_with_anvil: #26, 44(0%)
minecraft.custom.sleep_in_bed: #26, 110(0%)
minecraft.custom.aviate_one_cm: #26, 61764316(0%)
minecraft.picked_up.spruce_log: #26, 899(0%)
minecraft.crafted.oak_planks: #26, 816(0%)
minecraft.used.firework_rocket: #26, 2095(0%)
minecraft.custom.drop: #26, 939(0%)
