stat, rank, value, (percentage) 
minecraft.picked_up.carrot_on_a_stick: #7, 1(2%)
minecraft.dropped.music_disc_blocks: #7, 1(2%)
minecraft.crafted.prismarine_wall: #7, 6(2%)
minecraft.used.tube_coral: #7, 2(1%)
minecraft.used.waxed_cut_copper: #7, 10(1%)
minecraft.dropped.prismarine_bricks: #7, 15(1%)
minecraft.picked_up.leather_horse_armor: #7, 1(1%)
minecraft.dropped.carved_pumpkin: #8, 80(3%)
minecraft.mined.frosted_ice: #7, 1(1%)
minecraft.crafted.brick_wall: #7, 6(1%)
minecraft.crafted.polished_blackstone_wall: #7, 6(1%)
minecraft.crafted.mud_brick_stairs: #7, 4(1%)
minecraft.dropped.acacia_sign: #7, 1(1%)
minecraft.mined.red_glazed_terracotta: #7, 1(1%)
minecraft.dropped.spectral_arrow: #7, 50(0%)
minecraft.used.brick_slab: #7, 41(0%)
minecraft.mined.spruce_sapling: #8, 30(4%)
minecraft.used.black_glazed_terracotta: #7, 1(0%)
minecraft.used.spruce_leaves: #8, 1447(3%)
minecraft.crafted.note_block: #8, 131(2%)
minecraft.used.peony: #8, 8(2%)
minecraft.mined.acacia_wood: #8, 12(3%)
minecraft.used.mangrove_fence: #8, 48(3%)
minecraft.crafted.red_stained_glass_pane: #8, 80(2%)
minecraft.dropped.pumpkin_seeds: #8, 454(2%)
minecraft.picked_up.light_blue_wool: #8, 118(2%)
minecraft.dropped.red_mushroom_block: #8, 63(3%)
minecraft.crafted.deepslate_tiles: #8, 196(1%)
minecraft.dropped.pointed_dripstone: #8, 20(1%)
minecraft.dropped.white_bed: #8, 2(1%)
minecraft.used.music_disc_mall: #8, 1(2%)
minecraft.crafted.blackstone_wall: #8, 6(1%)
minecraft.dropped.armor_stand: #8, 2(1%)
minecraft.mined.stripped_mangrove_log: #8, 78(1%)
minecraft.used.waxed_cut_copper_stairs: #8, 7(1%)
minecraft.picked_up.stripped_mangrove_log: #8, 78(1%)
minecraft.dropped.birch_log: #9, 134(5%)
minecraft.used.small_dripleaf: #8, 1(1%)
minecraft.used.waxed_exposed_cut_copper: #8, 2(1%)
minecraft.mined.exposed_cut_copper_stairs: #8, 2(0%)
minecraft.picked_up.exposed_cut_copper_stairs: #8, 2(0%)
minecraft.crafted.air: #8, 0(0%)
minecraft.dropped.spruce_log: #9, 327(4%)
minecraft.picked_up.cut_copper_stairs: #9, 17(3%)
minecraft.crafted.black_terracotta: #9, 728(3%)
minecraft.mined.oak_stairs: #9, 37(2%)
minecraft.used.chorus_fruit: #9, 9(2%)
minecraft.picked_up.yellow_terracotta: #9, 378(2%)
minecraft.mined.cut_copper: #9, 17(3%)
minecraft.killed_by.piglin: #9, 1(4%)
minecraft.used.music_disc_otherside: #9, 4(3%)
minecraft.crafted.oak_fence_gate: #9, 25(3%)
minecraft.used.note_block: #9, 88(2%)
minecraft.picked_up.spruce_button: #9, 10(2%)
minecraft.used.diorite_slab: #9, 35(3%)
minecraft.crafted.dark_oak_wood: #9, 144(2%)
minecraft.dropped.red_bed: #9, 1(3%)
minecraft.used.cut_copper: #9, 72(2%)
minecraft.used.cookie: #9, 9(2%)
minecraft.mined.acacia_sign: #9, 1(2%)
minecraft.mined.diorite_slab: #9, 2(2%)
minecraft.used.hanging_roots: #9, 12(2%)
minecraft.mined.spruce_button: #9, 2(1%)
minecraft.mined.carved_pumpkin: #9, 174(1%)
minecraft.crafted.cut_copper_slab: #9, 12(2%)
minecraft.used.acacia_boat: #9, 2(1%)
minecraft.used.red_candle: #9, 17(1%)
minecraft.picked_up.music_disc_mall: #9, 1(1%)
minecraft.used.orange_stained_glass_pane: #9, 12(1%)
minecraft.dropped.cooked_salmon: #9, 3(1%)
minecraft.used.acacia_wood: #9, 47(1%)
minecraft.picked_up.red_glazed_terracotta: #9, 6(1%)
minecraft.used.black_banner: #9, 4(1%)
minecraft.crafted.sandstone_stairs: #9, 4(1%)
minecraft.used.granite_stairs: #9, 2(1%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #9, 1(1%)
minecraft.dropped.cobbled_deepslate_stairs: #9, 2(0%)
minecraft.picked_up.white_candle: #9, 1(0%)
minecraft.used.waxed_exposed_cut_copper_stairs: #9, 3(0%)
minecraft.used.horn_coral: #9, 1(0%)
minecraft.crafted.red_candle: #9, 3(0%)
minecraft.dropped.polished_deepslate_stairs: #9, 1(0%)
minecraft.picked_up.goat_horn: #10, 7(2%)
minecraft.crafted.coarse_dirt: #10, 1068(2%)
minecraft.mined.mangrove_stairs: #10, 10(5%)
minecraft.dropped.orange_terracotta: #10, 27(3%)
minecraft.picked_up.mangrove_stairs: #10, 10(4%)
minecraft.used.lilac: #10, 16(2%)
minecraft.mined.yellow_terracotta: #10, 321(2%)
minecraft.picked_up.spyglass: #10, 3(3%)
minecraft.used.coarse_dirt: #10, 724(2%)
minecraft.picked_up.cut_copper: #10, 17(2%)
minecraft.picked_up.mangrove_sign: #10, 4(2%)
minecraft.dropped.trident: #10, 1(3%)
minecraft.used.oak_fence_gate: #10, 15(2%)
minecraft.dropped.netherite_helmet: #10, 1(2%)
minecraft.crafted.cyan_bed: #10, 1(2%)
minecraft.crafted.cyan_carpet: #10, 51(2%)
minecraft.mined.attached_pumpkin_stem: #10, 1(3%)
minecraft.picked_up.pumpkin_seeds: #10, 678(1%)
minecraft.picked_up.mangrove_planks: #10, 19(1%)
minecraft.crafted.green_shulker_box: #10, 3(1%)
minecraft.mined.gray_concrete_powder: #10, 11(1%)
minecraft.mined.white_terracotta: #10, 237(1%)
minecraft.crafted.granite_slab: #10, 30(1%)
minecraft.dropped.lantern: #10, 22(1%)
minecraft.dropped.blue_concrete_powder: #10, 5(2%)
minecraft.crafted.acacia_sign: #10, 9(1%)
minecraft.picked_up.acacia_wood: #10, 8(1%)
minecraft.crafted.bricks: #10, 200(1%)
minecraft.crafted.birch_wood: #10, 33(1%)
minecraft.crafted.acacia_wood: #10, 57(1%)
minecraft.used.black_terracotta: #10, 135(1%)
minecraft.mined.mangrove_fence: #10, 2(1%)
minecraft.used.trident: #10, 75(1%)
minecraft.crafted.andesite_wall: #10, 36(1%)
minecraft.dropped.deepslate_bricks: #10, 15(0%)
minecraft.used.yellow_stained_glass_pane: #10, 9(1%)
minecraft.dropped.seagrass: #10, 1(0%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #10, 1(0%)
minecraft.used.iron_hoe: #10, 266(0%)
minecraft.crafted.black_banner: #10, 5(0%)
minecraft.used.sculk_shrieker: #10, 1(0%)
minecraft.used.brick_wall: #10, 1(0%)
minecraft.crafted.black_glazed_terracotta: #10, 2(0%)
minecraft.picked_up.warped_button: #11, 25(3%)
minecraft.crafted.dark_prismarine_slab: #11, 42(4%)
minecraft.dropped.red_terracotta: #11, 64(2%)
minecraft.picked_up.carved_pumpkin: #11, 279(1%)
minecraft.mined.green_shulker_box: #11, 43(1%)
minecraft.crafted.spruce_wood: #11, 330(2%)
minecraft.picked_up.spruce_wood: #11, 47(1%)
minecraft.crafted.polished_andesite_slab: #11, 90(1%)
minecraft.crafted.cobblestone_wall: #11, 72(1%)
minecraft.used.mossy_cobblestone_slab: #11, 36(1%)
minecraft.mined.cut_copper_stairs: #11, 7(1%)
minecraft.dropped.item_frame: #11, 4(1%)
minecraft.picked_up.black_bed: #11, 9(1%)
minecraft.used.lime_terracotta: #11, 479(1%)
minecraft.crafted.lime_terracotta: #11, 560(1%)
minecraft.mined.black_bed: #11, 9(1%)
minecraft.used.black_bed: #11, 9(1%)
minecraft.picked_up.spectral_arrow: #11, 143(1%)
minecraft.crafted.andesite_slab: #11, 60(1%)
minecraft.mined.green_concrete_powder: #11, 16(1%)
minecraft.dropped.dark_oak_sign: #11, 2(1%)
minecraft.crafted.green_carpet: #11, 48(1%)
minecraft.mined.green_terracotta: #11, 42(0%)
minecraft.dropped.sunflower: #11, 4(0%)
