stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #50, 9068(0%)
minecraft.custom.time_since_death: #58, 9068(0%)
minecraft.custom.walk_under_water_one_cm: #63, 496(0%)
minecraft.custom.fly_one_cm: #64, 69760(0%)
minecraft.custom.leave_game: #65, 1(0%)
minecraft.custom.sneak_time: #65, 340(0%)
minecraft.custom.walk_on_water_one_cm: #66, 633(0%)
minecraft.custom.play_time: #68, 9068(0%)
minecraft.custom.total_world_time: #68, 9068(0%)
