stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #10, 10246979(3%)
minecraft.custom.time_since_death: #10, 10246979(3%)
minecraft.custom.fly_one_cm: #19, 61235959(2%)
minecraft.custom.walk_under_water_one_cm: #24, 1580178(1%)
minecraft.custom.walk_on_water_one_cm: #24, 629636(0%)
minecraft.custom.leave_game: #29, 252(1%)
minecraft.custom.sneak_time: #30, 117062(0%)
minecraft.custom.play_time: #35, 10246979(0%)
minecraft.custom.total_world_time: #35, 10246979(0%)
