stat, rank, value, (percentage) 
minecraft.used.birch_fence: #22, 1(0%)
minecraft.broken.iron_pickaxe: #23, 3(1%)
minecraft.crafted.iron_axe: #23, 3(1%)
minecraft.picked_up.dark_oak_planks: #23, 145(1%)
minecraft.dropped.flint_and_steel: #23, 1(1%)
minecraft.used.diamond_leggings: #23, 1(0%)
minecraft.picked_up.carved_pumpkin: #23, 66(0%)
minecraft.crafted.oak_trapdoor: #23, 20(0%)
minecraft.crafted.dark_oak_trapdoor: #23, 36(0%)
minecraft.crafted.dark_oak_sign: #23, 3(0%)
minecraft.used.crimson_stem: #23, 36(0%)
minecraft.picked_up.iron_pickaxe: #24, 2(1%)
minecraft.used.iron_leggings: #24, 1(1%)
minecraft.mined.spruce_sign: #24, 1(1%)
minecraft.crafted.spruce_door: #24, 3(0%)
minecraft.broken.iron_shovel: #24, 1(0%)
minecraft.mined.dark_oak_stairs: #24, 5(0%)
minecraft.picked_up.iron_ore: #24, 51(0%)
minecraft.used.dark_oak_planks: #24, 51(0%)
minecraft.used.dark_oak_stairs: #24, 19(0%)
minecraft.used.dark_oak_sign: #24, 2(0%)
minecraft.dropped.bucket: #24, 1(0%)
minecraft.mined.birch_planks: #24, 14(0%)
minecraft.picked_up.stripped_birch_log: #24, 7(0%)
minecraft.picked_up.glow_ink_sac: #24, 10(0%)
minecraft.picked_up.lectern: #24, 3(0%)
minecraft.used.stripped_spruce_log: #24, 2(0%)
minecraft.used.iron_pickaxe: #25, 861(1%)
minecraft.dropped.stone_pickaxe: #25, 1(1%)
minecraft.used.iron_sword: #25, 34(0%)
minecraft.dropped.lead: #25, 1(0%)
minecraft.mined.spruce_sapling: #25, 1(0%)
minecraft.picked_up.dark_oak_sapling: #25, 16(0%)
minecraft.used.stripped_crimson_stem: #25, 1(0%)
minecraft.used.glow_lichen: #25, 30(0%)
minecraft.dropped.glass_bottle: #25, 5(0%)
minecraft.used.glow_ink_sac: #25, 2(0%)
minecraft.dropped.snowball: #25, 12(0%)
minecraft.mined.warped_fungus: #25, 1(0%)
minecraft.picked_up.nether_wart_block: #25, 21(0%)
minecraft.mined.stripped_crimson_stem: #25, 1(0%)
minecraft.mined.stripped_dark_oak_log: #25, 2(0%)
minecraft.picked_up.warped_fungus: #25, 2(0%)
minecraft.picked_up.crimson_roots: #25, 2(0%)
minecraft.dropped.diamond_axe: #26, 2(1%)
minecraft.crafted.iron_pickaxe: #26, 4(1%)
minecraft.picked_up.iron_helmet: #26, 1(1%)
minecraft.mined.cave_vines: #26, 6(0%)
minecraft.picked_up.dark_oak_sign: #26, 2(0%)
minecraft.mined.oak_trapdoor: #26, 2(0%)
minecraft.picked_up.dark_oak_stairs: #26, 5(0%)
minecraft.mined.moss_block: #26, 128(0%)
minecraft.picked_up.apple: #26, 7(0%)
minecraft.picked_up.potion: #26, 3(0%)
minecraft.crafted.barrel: #26, 7(0%)
minecraft.used.moss_block: #26, 87(0%)
minecraft.picked_up.chorus_fruit: #26, 4(0%)
minecraft.mined.dark_oak_log: #26, 56(0%)
minecraft.mined.stripped_spruce_log: #26, 4(0%)
minecraft.picked_up.stripped_spruce_log: #26, 4(0%)
minecraft.used.lectern: #26, 3(0%)
minecraft.picked_up.snowball: #26, 137(0%)
minecraft.picked_up.stripped_crimson_stem: #26, 1(0%)
minecraft.picked_up.stripped_dark_oak_log: #26, 2(0%)
minecraft.picked_up.white_banner: #26, 1(0%)
minecraft.mined.snow: #26, 51(0%)
minecraft.mined.dark_oak_leaves: #26, 3(0%)
minecraft.picked_up.golden_carrot: #27, 179(0%)
minecraft.crafted.iron_sword: #27, 1(0%)
minecraft.picked_up.goat_horn: #27, 1(0%)
minecraft.picked_up.pumpkin_pie: #27, 44(0%)
minecraft.dropped.golden_carrot: #27, 19(0%)
minecraft.picked_up.lead: #27, 6(0%)
minecraft.picked_up.iron_boots: #27, 1(0%)
minecraft.mined.spruce_trapdoor: #27, 8(0%)
minecraft.used.oak_log: #27, 41(0%)
minecraft.crafted.dark_oak_stairs: #27, 16(0%)
minecraft.picked_up.totem_of_undying: #27, 2(0%)
minecraft.picked_up.moss_block: #27, 123(0%)
minecraft.picked_up.dark_oak_log: #27, 168(0%)
minecraft.picked_up.flint_and_steel: #27, 1(0%)
minecraft.used.oak_trapdoor: #27, 6(0%)
minecraft.mined.moss_carpet: #27, 7(0%)
minecraft.picked_up.coal_ore: #27, 12(0%)
minecraft.mined.stripped_oak_log: #27, 1(0%)
minecraft.picked_up.stripped_oak_log: #27, 1(0%)
minecraft.mined.glow_lichen: #27, 1(0%)
minecraft.dropped.diamond_boots: #28, 1(1%)
minecraft.mined.cobblestone: #28, 97(0%)
minecraft.used.stone_pickaxe: #28, 29(0%)
minecraft.picked_up.cobblestone: #28, 1797(0%)
minecraft.crafted.iron_leggings: #28, 1(0%)
minecraft.crafted.spruce_trapdoor: #28, 32(0%)
minecraft.used.spruce_trapdoor: #28, 30(0%)
minecraft.picked_up.oak_trapdoor: #28, 2(0%)
minecraft.picked_up.spruce_trapdoor: #28, 8(0%)
minecraft.used.golden_carrot: #28, 32(0%)
minecraft.picked_up.birch_planks: #28, 14(0%)
minecraft.mined.azalea: #28, 3(0%)
minecraft.used.birch_log: #28, 17(0%)
minecraft.used.barrel: #28, 5(0%)
minecraft.picked_up.azalea: #28, 8(0%)
minecraft.used.potion: #28, 3(0%)
minecraft.picked_up.moss_carpet: #28, 14(0%)
minecraft.used.spruce_sapling: #28, 5(0%)
minecraft.used.birch_planks: #28, 14(0%)
minecraft.used.spruce_log: #28, 3(0%)
minecraft.crafted.stone_pickaxe: #29, 1(1%)
minecraft.crafted.iron_helmet: #29, 1(0%)
minecraft.crafted.iron_boots: #29, 1(0%)
minecraft.used.cobblestone: #29, 158(0%)
minecraft.crafted.iron_chestplate: #29, 1(0%)
minecraft.used.lantern: #29, 11(0%)
minecraft.picked_up.lantern: #29, 9(0%)
minecraft.picked_up.birch_log: #29, 134(0%)
minecraft.picked_up.iron_ingot: #29, 50(0%)
minecraft.used.coal_ore: #29, 16(0%)
minecraft.mined.spruce_leaves: #29, 35(0%)
minecraft.mined.barrel: #29, 1(0%)
minecraft.mined.light_blue_shulker_box: #29, 4(0%)
minecraft.mined.spruce_log: #29, 30(0%)
minecraft.mined.vine: #29, 1(0%)
minecraft.picked_up.iron_leggings: #30, 1(0%)
minecraft.picked_up.spruce_planks: #30, 41(0%)
minecraft.picked_up.firework_rocket: #30, 477(0%)
minecraft.mined.emerald_ore: #30, 1(0%)
minecraft.mined.lantern: #30, 1(0%)
minecraft.crafted.dark_oak_planks: #30, 276(0%)
minecraft.picked_up.stick: #30, 78(0%)
minecraft.picked_up.oak_log: #30, 71(0%)
minecraft.picked_up.glow_berries: #30, 2(0%)
minecraft.dropped.firework_rocket: #30, 79(0%)
minecraft.used.light_blue_shulker_box: #30, 4(0%)
minecraft.picked_up.light_blue_shulker_box: #30, 4(0%)
minecraft.crafted.lantern: #30, 3(0%)
minecraft.picked_up.spruce_sapling: #30, 3(0%)
minecraft.used.dark_oak_log: #30, 6(0%)
minecraft.picked_up.glass_bottle: #30, 2(0%)
minecraft.mined.snow_block: #30, 10(0%)
minecraft.dropped.arrow: #30, 2(0%)
minecraft.dropped.elytra: #31, 2(1%)
minecraft.picked_up.elytra: #31, 6(0%)
minecraft.picked_up.diamond_boots: #31, 2(0%)
minecraft.used.dirt: #31, 364(0%)
minecraft.crafted.birch_planks: #31, 152(0%)
minecraft.picked_up.barrel: #31, 1(0%)
minecraft.crafted.iron_ingot: #31, 80(0%)
minecraft.mined.stone: #31, 595(0%)
minecraft.picked_up.spruce_log: #31, 29(0%)
minecraft.crafted.bucket: #31, 1(0%)
minecraft.dropped.wheat_seeds: #31, 7(0%)
minecraft.crafted.iron_nugget: #31, 27(0%)
minecraft.crafted.air: #31, 0(0%)
minecraft.picked_up.diamond_axe: #32, 2(0%)
minecraft.used.spruce_sign: #32, 2(0%)
minecraft.custom.swim_one_cm: #32, 52624(0%)
minecraft.picked_up.dirt: #32, 462(0%)
minecraft.mined.dirt: #32, 246(0%)
minecraft.mined.iron_ore: #32, 16(0%)
minecraft.crafted.oak_planks: #32, 64(0%)
minecraft.picked_up.chest: #32, 6(0%)
minecraft.picked_up.birch_sign: #32, 1(0%)
minecraft.mined.grass_block: #32, 186(0%)
minecraft.crafted.spruce_planks: #32, 108(0%)
minecraft.mined.coal_ore: #32, 22(0%)
minecraft.mined.fire: #32, 3(0%)
minecraft.dropped.ender_pearl: #32, 28(0%)
minecraft.mined.oak_log: #32, 8(0%)
minecraft.picked_up.leather: #32, 1(0%)
minecraft.mined.spruce_planks: #32, 1(0%)
minecraft.used.pumpkin_pie: #32, 1(0%)
minecraft.used.spruce_planks: #32, 1(0%)
minecraft.crafted.crafting_table: #33, 4(0%)
minecraft.used.crafting_table: #33, 7(0%)
minecraft.custom.interact_with_crafting_table: #33, 59(0%)
minecraft.mined.player_head: #33, 1(0%)
minecraft.killed.player: #33, 1(0%)
minecraft.picked_up.coal: #33, 64(0%)
minecraft.custom.drop: #33, 100(0%)
minecraft.used.player_head: #33, 1(0%)
minecraft.used.ender_pearl: #33, 2(0%)
minecraft.custom.interact_with_furnace: #33, 11(0%)
minecraft.used.chest: #33, 9(0%)
minecraft.mined.chest: #33, 4(0%)
minecraft.picked_up.diamond_block: #33, 1(0%)
minecraft.dropped.player_head: #33, 2(0%)
minecraft.picked_up.raw_iron: #33, 16(0%)
minecraft.mined.grass: #33, 9(0%)
minecraft.picked_up.diamond: #33, 4(0%)
minecraft.crafted.torch: #33, 8(0%)
minecraft.picked_up.flint: #33, 1(0%)
minecraft.picked_up.wheat_seeds: #33, 7(0%)
minecraft.custom.player_kills: #34, 1(0%)
minecraft.mined.crafting_table: #34, 5(0%)
minecraft.picked_up.water_bucket: #34, 1(0%)
minecraft.picked_up.crafting_table: #34, 5(0%)
minecraft.custom.open_shulker_box: #34, 188(0%)
minecraft.picked_up.ender_pearl: #34, 41(0%)
minecraft.mined.torch: #34, 3(0%)
minecraft.crafted.chest: #34, 5(0%)
minecraft.used.torch: #34, 8(0%)
minecraft.killed.creeper: #34, 1(0%)
minecraft.killed.skeleton: #34, 1(0%)
minecraft.custom.fall_one_cm: #35, 102224(0%)
minecraft.custom.open_chest: #35, 248(0%)
minecraft.crafted.furnace: #35, 1(0%)
minecraft.dropped.bow: #35, 1(0%)
minecraft.used.furnace: #35, 1(0%)
minecraft.used.bow: #35, 2(0%)
minecraft.custom.damage_dealt: #35, 1669(0%)
