stat, rank, value, (percentage) 
minecraft.dropped.chipped_anvil: #5, 1(6%)
minecraft.picked_up.weathered_copper: #6, 220(7%)
minecraft.dropped.diamond_ore: #5, 3(6%)
minecraft.dropped.music_disc_far: #5, 2(7%)
minecraft.used.podzol: #6, 251(6%)
minecraft.crafted.exposed_cut_copper_slab: #5, 8(6%)
minecraft.crafted.chainmail_chestplate: #5, 2(6%)
minecraft.crafted.sugar: #5, 595(2%)
minecraft.mined.weathered_copper: #6, 220(7%)
minecraft.picked_up.stripped_jungle_log: #5, 113(2%)
minecraft.mined.jungle_door: #5, 2(5%)
minecraft.dropped.music_disc_otherside: #5, 1(6%)
minecraft.used.stripped_jungle_log: #5, 94(4%)
minecraft.dropped.clock: #5, 4(4%)
minecraft.picked_up.purple_shulker_box: #6, 96(6%)
minecraft.crafted.wooden_shovel: #5, 55(2%)
minecraft.picked_up.jungle_wood: #5, 10(4%)
minecraft.used.cobblestone_stairs: #6, 316(6%)
minecraft.picked_up.jungle_fence_gate: #5, 8(3%)
minecraft.mined.blast_furnace: #6, 23(6%)
minecraft.mined.damaged_anvil: #6, 11(6%)
minecraft.picked_up.gray_glazed_terracotta: #5, 31(3%)
minecraft.crafted.prismarine: #5, 528(3%)
minecraft.crafted.birch_fence_gate: #5, 21(2%)
minecraft.mined.purple_shulker_box: #6, 96(7%)
minecraft.dropped.yellow_bed: #5, 1(5%)
minecraft.used.bamboo_block: #5, 101(2%)
minecraft.picked_up.blast_furnace: #6, 26(6%)
minecraft.used.chipped_anvil: #6, 14(6%)
minecraft.dropped.polished_diorite_stairs: #5, 4(6%)
minecraft.mined.red_wall_banner: #6, 24(9%)
minecraft.used.acacia_log: #6, 673(6%)
minecraft.dropped.spruce_fence_gate: #5, 3(3%)
minecraft.picked_up.nether_brick_slab: #5, 15(3%)
minecraft.mined.waxed_exposed_cut_copper_slab: #5, 6(2%)
minecraft.crafted.pink_stained_glass_pane: #5, 24(2%)
minecraft.picked_up.green_glazed_terracotta: #5, 17(2%)
minecraft.used.green_shulker_box: #6, 128(4%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #5, 6(2%)
minecraft.mined.green_shulker_box: #6, 128(4%)
minecraft.used.black_glazed_terracotta: #5, 52(3%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #5, 6(2%)
minecraft.mined.oxeye_daisy: #6, 14(5%)
minecraft.used.damaged_anvil: #6, 9(5%)
minecraft.used.polished_deepslate_stairs: #6, 646(5%)
minecraft.used.jungle_slab: #5, 86(1%)
minecraft.dropped.goat_horn: #6, 5(5%)
minecraft.mined.stone_button: #6, 38(5%)
minecraft.mined.loom: #6, 13(5%)
minecraft.crafted.smooth_stone: #6, 619(4%)
minecraft.used.crimson_roots: #5, 12(1%)
minecraft.mined.dead_brain_coral_block: #5, 23(2%)
minecraft.crafted.chainmail_helmet: #5, 1(2%)
minecraft.used.stripped_mangrove_log: #5, 95(1%)
minecraft.crafted.birch_button: #6, 56(7%)
minecraft.custom.climb_one_cm: #7, 3855550(5%)
minecraft.used.redstone_ore: #6, 20(7%)
minecraft.used.pink_stained_glass_pane: #5, 14(2%)
minecraft.used.pink_terracotta: #5, 42(1%)
minecraft.picked_up.diorite_wall: #6, 97(8%)
minecraft.mined.melon_stem: #5, 1(2%)
minecraft.used.pointed_dripstone: #5, 361(0%)
minecraft.crafted.coarse_dirt: #6, 1780(4%)
minecraft.used.muddy_mangrove_roots: #6, 122(8%)
minecraft.picked_up.tropical_fish_bucket: #5, 1(1%)
minecraft.used.golden_shovel: #5, 6(1%)
minecraft.used.cobbled_deepslate_slab: #6, 1248(4%)
minecraft.dropped.jungle_fence_gate: #5, 1(1%)
minecraft.dropped.birch_slab: #5, 4(1%)
minecraft.crafted.crimson_sign: #5, 12(0%)
minecraft.used.crimson_sign: #5, 14(0%)
minecraft.used.cyan_glazed_terracotta: #5, 1(1%)
minecraft.used.stripped_cherry_log: #5, 2(0%)
minecraft.mined.polished_granite_slab: #6, 85(5%)
minecraft.mined.polished_granite: #6, 75(5%)
minecraft.crafted.spruce_button: #6, 83(4%)
minecraft.dropped.wheat: #6, 128(4%)
minecraft.used.gray_wool: #6, 728(4%)
minecraft.mined.crafting_table: #7, 348(5%)
minecraft.picked_up.mangrove_door: #6, 5(7%)
minecraft.used.stone_hoe: #6, 250(4%)
minecraft.mined.gray_concrete_powder: #6, 39(4%)
minecraft.mined.mossy_cobblestone_stairs: #6, 8(7%)
minecraft.mined.stone_stairs: #7, 182(7%)
minecraft.used.green_stained_glass_pane: #6, 119(7%)
minecraft.used.mangrove_stairs: #6, 98(5%)
minecraft.picked_up.glass_bottle: #7, 1125(6%)
minecraft.used.exposed_copper: #6, 49(4%)
minecraft.mined.brown_wool: #6, 34(5%)
minecraft.picked_up.polished_granite_slab: #6, 87(3%)
minecraft.crafted.mangrove_stairs: #6, 88(4%)
minecraft.used.white_concrete: #7, 4357(6%)
minecraft.used.crafting_table: #7, 371(4%)
minecraft.crafted.spruce_pressure_plate: #6, 21(3%)
minecraft.picked_up.white_concrete: #7, 4605(6%)
minecraft.dropped.prismarine: #6, 64(5%)
minecraft.mined.acacia_fence: #6, 4(6%)
minecraft.crafted.warped_fungus_on_a_stick: #6, 1(6%)
minecraft.mined.weathered_cut_copper: #6, 3(6%)
minecraft.used.granite_slab: #6, 141(3%)
minecraft.used.lever: #7, 354(5%)
minecraft.crafted.lever: #7, 320(6%)
minecraft.mined.poppy: #7, 193(5%)
minecraft.dropped.coal_ore: #6, 86(2%)
minecraft.used.cyan_dye: #6, 17(4%)
minecraft.picked_up.acacia_fence: #6, 4(4%)
minecraft.used.andesite_wall: #6, 468(3%)
minecraft.picked_up.spider_eye: #7, 3850(5%)
minecraft.picked_up.yellow_glazed_terracotta: #6, 14(6%)
minecraft.used.dark_oak_button: #6, 69(3%)
minecraft.mined.white_concrete: #7, 4642(6%)
minecraft.mined.oak_sapling: #6, 24(2%)
minecraft.mined.stripped_birch_log: #6, 198(2%)
minecraft.broken.golden_hoe: #6, 1(7%)
minecraft.picked_up.nether_brick_fence: #6, 56(3%)
minecraft.picked_up.scaffolding: #7, 12357(5%)
minecraft.mined.lightning_rod: #7, 64(6%)
minecraft.mined.stripped_dark_oak_wood: #6, 39(2%)
minecraft.mined.oak_hanging_sign: #6, 2(6%)
minecraft.picked_up.prismarine_wall: #6, 2(5%)
minecraft.picked_up.mossy_cobblestone_wall: #6, 6(3%)
minecraft.mined.jungle_sapling: #6, 6(4%)
minecraft.dropped.smooth_sandstone: #6, 36(3%)
minecraft.crafted.light_blue_bed: #6, 2(3%)
minecraft.used.waxed_cut_copper_stairs: #6, 17(4%)
minecraft.used.porkchop: #6, 3(4%)
minecraft.mined.bamboo_block: #6, 12(3%)
minecraft.used.birch_fence_gate: #6, 22(2%)
minecraft.used.stripped_dark_oak_wood: #6, 52(2%)
minecraft.used.waxed_exposed_copper: #6, 19(2%)
minecraft.dropped.comparator: #6, 15(2%)
minecraft.mined.polished_diorite_slab: #6, 4(3%)
minecraft.picked_up.stripped_dark_oak_wood: #6, 39(1%)
minecraft.crafted.orange_wool: #6, 57(3%)
minecraft.mined.wither_skeleton_wall_skull: #6, 1(3%)
minecraft.crafted.jungle_trapdoor: #6, 130(2%)
minecraft.used.brown_dye: #6, 1(3%)
minecraft.dropped.warped_fence: #6, 1(3%)
minecraft.used.purple_shulker_box: #7, 97(6%)
minecraft.used.jungle_trapdoor: #6, 155(2%)
minecraft.picked_up.small_dripleaf: #6, 6(2%)
minecraft.picked_up.nether_brick_wall: #6, 2(2%)
minecraft.crafted.campfire: #7, 149(4%)
minecraft.crafted.stone_pickaxe: #7, 8(4%)
minecraft.used.exposed_cut_copper_slab: #6, 4(2%)
minecraft.crafted.black_banner: #6, 18(1%)
minecraft.crafted.gray_glazed_terracotta: #6, 88(2%)
minecraft.dropped.mangrove_slab: #6, 4(2%)
minecraft.crafted.green_glazed_terracotta: #6, 18(1%)
minecraft.used.sandstone_wall: #6, 75(1%)
minecraft.used.light_blue_banner: #6, 1(2%)
minecraft.dropped.red_banner: #6, 1(1%)
minecraft.picked_up.brown_glazed_terracotta: #6, 12(1%)
minecraft.crafted.spruce_door: #7, 27(4%)
minecraft.dropped.cobbled_deepslate_wall: #6, 5(1%)
minecraft.picked_up.dead_brain_coral_block: #6, 23(1%)
minecraft.used.lime_glazed_terracotta: #6, 4(1%)
minecraft.mined.jungle_trapdoor: #6, 25(0%)
minecraft.mined.weathered_cut_copper_slab: #6, 1(1%)
minecraft.picked_up.weathered_cut_copper_slab: #6, 1(1%)
minecraft.used.waxed_weathered_cut_copper_slab: #6, 28(1%)
minecraft.mined.light_gray_glazed_terracotta: #6, 3(0%)
minecraft.dropped.chiseled_deepslate: #6, 1(0%)
minecraft.mined.wither_skeleton_skull: #6, 2(0%)
minecraft.dropped.green_carpet: #6, 2(0%)
minecraft.mined.granite_slab: #7, 79(6%)
minecraft.picked_up.pink_tulip: #6, 6(0%)
minecraft.killed.wandering_trader: #7, 7(5%)
minecraft.used.magenta_glazed_terracotta: #6, 10(0%)
minecraft.picked_up.brown_shulker_box: #7, 145(5%)
minecraft.mined.big_dripleaf: #7, 15(4%)
minecraft.picked_up.white_shulker_box: #7, 225(4%)
minecraft.used.wither_rose: #6, 2(0%)
minecraft.mined.brown_shulker_box: #7, 143(5%)
minecraft.mined.white_shulker_box: #7, 222(4%)
minecraft.crafted.light_gray_wool: #7, 344(5%)
minecraft.custom.animals_bred: #7, 603(4%)
minecraft.mined.note_block: #7, 46(4%)
minecraft.mined.light_blue_wool: #7, 103(5%)
minecraft.picked_up.cooked_salmon: #7, 32(5%)
minecraft.crafted.oak_wood: #7, 318(4%)
minecraft.mined.dark_oak_leaves: #7, 1833(3%)
minecraft.broken.stone_axe: #7, 2(5%)
minecraft.picked_up.granite_slab: #7, 80(5%)
minecraft.crafted.mossy_stone_bricks: #7, 436(4%)
minecraft.picked_up.podzol: #7, 657(3%)
minecraft.used.oak_hanging_sign: #7, 6(7%)
minecraft.crafted.green_stained_glass_pane: #7, 120(6%)
minecraft.used.diamond_block: #7, 125(3%)
minecraft.crafted.cut_copper_stairs: #7, 40(5%)
minecraft.broken.diamond_pickaxe: #7, 2(5%)
minecraft.used.cut_copper: #7, 182(4%)
minecraft.picked_up.polished_diorite: #7, 156(3%)
minecraft.crafted.furnace_minecart: #7, 4(5%)
minecraft.mined.polished_deepslate_stairs: #7, 69(3%)
minecraft.used.polished_granite: #7, 464(4%)
minecraft.dropped.oxeye_daisy: #7, 12(4%)
minecraft.picked_up.crimson_sign: #7, 5(5%)
minecraft.picked_up.verdant_froglight: #7, 87(3%)
minecraft.mined.birch_sapling: #7, 15(3%)
minecraft.crafted.golden_leggings: #7, 3(5%)
minecraft.crafted.glass_pane: #7, 736(3%)
minecraft.dropped.dark_oak_log: #7, 232(3%)
minecraft.used.mud: #7, 1594(3%)
minecraft.dropped.crafting_table: #8, 51(6%)
minecraft.used.red_wool: #7, 283(3%)
minecraft.picked_up.weathered_cut_copper: #7, 3(5%)
minecraft.dropped.glass: #7, 576(3%)
minecraft.killed.warden: #7, 6(6%)
minecraft.picked_up.cobbled_deepslate_wall: #7, 37(4%)
minecraft.dropped.melon_seeds: #7, 5(5%)
minecraft.dropped.coal: #7, 150(2%)
minecraft.mined.podzol: #7, 729(2%)
minecraft.used.light_blue_stained_glass_pane: #7, 59(4%)
minecraft.used.light_gray_banner: #7, 5(5%)
minecraft.used.end_crystal: #7, 4(5%)
minecraft.dropped.damaged_anvil: #7, 1(6%)
minecraft.crafted.netherite_boots: #7, 2(4%)
minecraft.used.netherite_boots: #7, 11(3%)
minecraft.picked_up.oak_trapdoor: #8, 87(5%)
minecraft.used.polished_granite_slab: #7, 194(3%)
minecraft.used.jungle_sapling: #7, 69(3%)
minecraft.used.weathered_cut_copper_slab: #7, 17(5%)
minecraft.crafted.golden_chestplate: #7, 3(4%)
minecraft.crafted.wooden_hoe: #7, 2(4%)
minecraft.broken.stone_hoe: #7, 1(4%)
minecraft.broken.golden_pickaxe: #7, 1(5%)
minecraft.used.oak_trapdoor: #8, 426(5%)
minecraft.picked_up.spruce_chest_boat: #7, 1(5%)
minecraft.used.terracotta: #7, 551(1%)
minecraft.crafted.oxidized_cut_copper_stairs: #7, 25(2%)
minecraft.dropped.chainmail_helmet: #7, 3(2%)
minecraft.crafted.bamboo_planks: #7, 320(2%)
minecraft.broken.stone_sword: #7, 1(4%)
minecraft.mined.mangrove_button: #7, 1(5%)
minecraft.crafted.leather_leggings: #7, 14(2%)
minecraft.mined.spruce_button: #7, 3(2%)
minecraft.picked_up.green_bed: #7, 19(2%)
minecraft.used.stripped_spruce_wood: #7, 60(2%)
minecraft.mined.green_bed: #7, 16(1%)
minecraft.used.green_bed: #7, 18(2%)
minecraft.picked_up.acacia_slab: #7, 13(2%)
minecraft.mined.stripped_spruce_wood: #7, 43(2%)
minecraft.mined.blue_orchid: #7, 17(2%)
minecraft.used.mangrove_log: #7, 217(1%)
minecraft.dropped.emerald_ore: #7, 2(3%)
minecraft.crafted.iron_shovel: #8, 19(4%)
minecraft.crafted.leather_chestplate: #7, 15(2%)
minecraft.used.cake: #7, 2(1%)
minecraft.used.dark_oak_planks: #8, 1368(4%)
minecraft.mined.gray_bed: #7, 2(3%)
minecraft.crafted.crossbow: #7, 3(2%)
minecraft.picked_up.gray_bed: #7, 2(3%)
minecraft.crafted.golden_sword: #7, 1(3%)
minecraft.mined.pink_shulker_box: #8, 110(5%)
minecraft.mined.black_wall_banner: #7, 4(3%)
minecraft.picked_up.lapis_block: #7, 113(1%)
minecraft.picked_up.melon_slice: #7, 189(1%)
minecraft.mined.cut_copper: #8, 39(6%)
minecraft.picked_up.light_gray_wool: #8, 648(5%)
minecraft.used.bamboo_slab: #7, 11(3%)
minecraft.crafted.mossy_cobblestone_wall: #7, 6(2%)
minecraft.mined.stripped_mangrove_log: #7, 112(1%)
minecraft.crafted.clay: #7, 214(1%)
minecraft.picked_up.bamboo_block: #7, 12(1%)
minecraft.picked_up.stripped_mangrove_log: #7, 114(1%)
minecraft.mined.polished_diorite: #7, 29(1%)
minecraft.used.pink_shulker_box: #8, 110(5%)
minecraft.used.yellow_stained_glass_pane: #7, 22(1%)
minecraft.crafted.black_glazed_terracotta: #7, 49(2%)
minecraft.used.scaffolding: #8, 11395(5%)
minecraft.picked_up.grass_block: #8, 25653(4%)
minecraft.crafted.gray_bed: #7, 1(2%)
minecraft.mined.black_shulker_box: #8, 203(4%)
minecraft.used.acacia_sapling: #7, 92(1%)
minecraft.crafted.oak_trapdoor: #8, 376(4%)
minecraft.crafted.stripped_spruce_wood: #7, 18(1%)
minecraft.picked_up.black_shulker_box: #8, 204(4%)
minecraft.picked_up.damaged_anvil: #8, 11(5%)
minecraft.killed.ravager: #7, 1(1%)
minecraft.dropped.mangrove_button: #7, 1(2%)
minecraft.crafted.smithing_table: #7, 15(0%)
minecraft.used.stripped_mangrove_wood: #7, 17(1%)
minecraft.crafted.sandstone_stairs: #7, 6(1%)
minecraft.used.packed_mud: #8, 641(6%)
minecraft.crafted.light_blue_banner: #7, 1(1%)
minecraft.used.ancient_debris: #7, 2(1%)
minecraft.dropped.bamboo_planks: #7, 2(1%)
minecraft.used.chiseled_deepslate: #7, 16(1%)
minecraft.used.golden_hoe: #7, 6(1%)
minecraft.picked_up.writable_book: #8, 12(4%)
minecraft.used.polished_granite_stairs: #7, 8(1%)
minecraft.used.waxed_exposed_cut_copper_slab: #7, 6(1%)
minecraft.dropped.polished_granite: #7, 6(0%)
minecraft.used.cherry_planks: #7, 3(1%)
minecraft.crafted.acacia_button: #8, 21(6%)
minecraft.used.cyan_stained_glass: #7, 32(0%)
minecraft.picked_up.granite_wall: #7, 2(0%)
minecraft.used.white_concrete_powder: #8, 4366(5%)
minecraft.picked_up.dark_oak_pressure_plate: #7, 1(1%)
minecraft.used.mangrove_propagule: #7, 18(0%)
minecraft.crafted.yellow_glazed_terracotta: #7, 9(0%)
minecraft.picked_up.light_gray_glazed_terracotta: #7, 3(0%)
minecraft.dropped.oak_wood: #7, 1(0%)
minecraft.crafted.packed_ice: #7, 46(0%)
minecraft.dropped.andesite_wall: #7, 1(0%)
minecraft.dropped.polished_blackstone: #7, 4(0%)
minecraft.crafted.cut_sandstone_slab: #7, 6(0%)
minecraft.crafted.firework_star: #7, 230(0%)
minecraft.used.oak_fence_gate: #8, 41(5%)
minecraft.used.cut_sandstone_slab: #7, 6(0%)
minecraft.custom.strider_one_cm: #7, 718(0%)
minecraft.picked_up.cut_copper: #8, 39(5%)
minecraft.used.dark_oak_door: #8, 14(5%)
minecraft.used.apple: #8, 23(5%)
minecraft.used.white_shulker_box: #8, 222(4%)
minecraft.dropped.diorite: #8, 858(3%)
minecraft.custom.bell_ring: #8, 102(4%)
minecraft.used.brown_shulker_box: #8, 143(4%)
minecraft.picked_up.bowl: #8, 18(5%)
minecraft.used.stone_slab: #8, 2690(3%)
minecraft.dropped.red_dye: #8, 45(5%)
minecraft.used.iron_trapdoor: #8, 221(4%)
minecraft.picked_up.loom: #8, 13(4%)
minecraft.picked_up.blue_concrete_powder: #8, 44(3%)
minecraft.used.smooth_stone: #8, 873(3%)
minecraft.mined.campfire: #8, 33(3%)
minecraft.dropped.golden_apple: #8, 15(4%)
minecraft.used.vine: #8, 42(5%)
minecraft.crafted.oak_hanging_sign: #8, 6(7%)
minecraft.dropped.dark_oak_planks: #8, 113(3%)
minecraft.used.stone_brick_stairs: #8, 292(3%)
minecraft.mined.sunflower: #8, 15(3%)
minecraft.used.mangrove_door: #8, 7(6%)
minecraft.picked_up.dark_oak_door: #8, 12(4%)
minecraft.crafted.oak_fence_gate: #8, 38(4%)
minecraft.used.furnace: #9, 239(5%)
minecraft.mined.mangrove_stairs: #8, 11(5%)
minecraft.mined.coal_block: #8, 22(4%)
minecraft.used.white_wool: #8, 840(2%)
minecraft.used.end_rod: #8, 163(3%)
minecraft.crafted.raw_copper_block: #8, 471(3%)
minecraft.used.chorus_fruit: #8, 11(3%)
minecraft.crafted.cyan_stained_glass_pane: #8, 56(4%)
minecraft.mined.diamond_block: #8, 92(3%)
minecraft.picked_up.mangrove_stairs: #8, 11(4%)
minecraft.used.suspicious_stew: #8, 6(3%)
minecraft.used.loom: #8, 24(3%)
minecraft.mined.mossy_cobblestone: #8, 172(2%)
minecraft.used.stone_button: #8, 399(2%)
minecraft.picked_up.cobblestone_wall: #8, 78(2%)
minecraft.mined.dandelion: #9, 250(6%)
minecraft.used.soul_campfire: #8, 13(4%)
minecraft.used.dark_oak_sapling: #8, 203(2%)
minecraft.used.acacia_fence: #8, 25(5%)
minecraft.used.acacia_trapdoor: #8, 312(3%)
minecraft.mined.light_blue_shulker_box: #8, 286(2%)
minecraft.used.note_block: #8, 102(2%)
minecraft.used.mossy_stone_brick_wall: #8, 28(5%)
minecraft.mined.dark_oak_fence_gate: #8, 10(4%)
minecraft.crafted.light_blue_stained_glass_pane: #8, 88(3%)
minecraft.picked_up.light_blue_shulker_box: #8, 289(2%)
minecraft.used.light_blue_shulker_box: #8, 282(2%)
minecraft.mined.mangrove_roots: #8, 460(2%)
minecraft.mined.cobbled_deepslate_stairs: #8, 19(2%)
minecraft.picked_up.mossy_cobblestone_stairs: #8, 8(4%)
minecraft.crafted.warped_button: #8, 29(3%)
minecraft.used.fern: #8, 53(3%)
minecraft.mined.waxed_copper_block: #8, 34(3%)
minecraft.used.light_blue_dye: #8, 3(3%)
minecraft.used.white_stained_glass_pane: #8, 152(2%)
minecraft.used.rose_bush: #8, 21(2%)
minecraft.crafted.light_gray_terracotta: #8, 240(3%)
minecraft.picked_up.waxed_copper_block: #8, 34(2%)
minecraft.used.warped_nylium: #8, 73(2%)
minecraft.broken.golden_axe: #8, 1(5%)
minecraft.used.furnace_minecart: #8, 4(3%)
minecraft.used.barrel: #9, 400(5%)
minecraft.mined.small_dripleaf: #8, 7(2%)
minecraft.mined.mangrove_trapdoor: #8, 35(2%)
minecraft.crafted.oak_sign: #9, 138(5%)
minecraft.dropped.green_shulker_box: #8, 1(3%)
minecraft.used.grindstone: #9, 66(5%)
minecraft.dropped.lily_pad: #8, 4(3%)
minecraft.crafted.acacia_fence: #8, 24(3%)
minecraft.picked_up.furnace: #9, 131(4%)
minecraft.mined.sandstone_stairs: #8, 9(2%)
minecraft.picked_up.carrot_on_a_stick: #8, 1(2%)
minecraft.used.chain: #9, 519(5%)
minecraft.crafted.orange_terracotta: #8, 112(2%)
minecraft.mined.gray_carpet: #8, 106(1%)
minecraft.used.gray_bed: #8, 3(3%)
minecraft.used.soul_sand: #8, 278(1%)
minecraft.broken.flint_and_steel: #8, 3(2%)
minecraft.used.oak_sign: #9, 152(4%)
minecraft.crafted.yellow_stained_glass_pane: #8, 40(2%)
minecraft.dropped.polished_deepslate_slab: #8, 22(1%)
minecraft.dropped.dark_oak_sign: #8, 4(1%)
minecraft.used.black_banner: #8, 9(2%)
minecraft.mined.lime_wool: #8, 16(1%)
minecraft.picked_up.pink_shulker_box: #9, 110(5%)
minecraft.used.cut_copper_stairs: #8, 61(1%)
minecraft.used.sandstone_stairs: #8, 26(2%)
minecraft.used.waxed_copper_block: #8, 34(1%)
minecraft.mined.magenta_glazed_terracotta: #8, 10(1%)
minecraft.dropped.quartz_bricks: #8, 1(2%)
minecraft.picked_up.waxed_exposed_copper: #8, 19(1%)
minecraft.mined.light_gray_concrete_powder: #8, 50(1%)
minecraft.mined.mangrove_propagule: #8, 22(1%)
minecraft.mined.waxed_exposed_copper: #8, 19(2%)
minecraft.used.acacia_wood: #8, 61(1%)
minecraft.used.red_carpet: #8, 185(1%)
minecraft.crafted.cooked_salmon: #8, 11(1%)
minecraft.used.brain_coral_block: #8, 23(1%)
minecraft.crafted.brown_wool: #8, 15(2%)
minecraft.mined.furnace: #9, 109(4%)
minecraft.dropped.salmon: #8, 16(1%)
minecraft.used.mangrove_fence_gate: #8, 2(2%)
minecraft.mined.gray_wool: #8, 43(1%)
minecraft.used.spruce_fence: #9, 832(4%)
minecraft.crafted.gold_nugget: #8, 732(1%)
minecraft.used.mutton: #8, 1(2%)
minecraft.mined.nether_brick_stairs: #8, 2(1%)
minecraft.picked_up.bamboo_trapdoor: #8, 3(1%)
minecraft.custom.target_hit: #9, 111(4%)
minecraft.crafted.melon_seeds: #8, 4(1%)
minecraft.mined.bamboo_trapdoor: #8, 3(1%)
minecraft.dropped.polished_deepslate_wall: #8, 9(1%)
minecraft.used.crimson_nylium: #8, 78(1%)
minecraft.crafted.jungle_boat: #8, 1(1%)
minecraft.picked_up.lily_of_the_valley: #8, 17(0%)
minecraft.crafted.diorite_stairs: #8, 8(1%)
minecraft.picked_up.oak_door: #9, 8(5%)
minecraft.mined.granite_wall: #8, 2(1%)
minecraft.mined.spruce_door: #9, 12(5%)
minecraft.used.brown_stained_glass: #8, 13(1%)
minecraft.dropped.andesite_slab: #8, 1(1%)
minecraft.mined.black_concrete_powder: #8, 47(0%)
minecraft.used.black_shulker_box: #9, 202(4%)
minecraft.picked_up.blue_orchid: #8, 17(0%)
minecraft.used.weeping_vines: #8, 4(1%)
minecraft.picked_up.jungle_trapdoor: #8, 29(0%)
minecraft.used.sculk_vein: #8, 14(0%)
minecraft.picked_up.white_wool: #9, 703(3%)
minecraft.dropped.light_gray_dye: #8, 2(0%)
minecraft.crafted.brown_stained_glass: #8, 24(0%)
minecraft.crafted.red_candle: #8, 10(0%)
minecraft.dropped.brick_slab: #8, 1(0%)
minecraft.picked_up.lightning_rod: #9, 65(5%)
minecraft.used.brick_slab: #8, 23(0%)
minecraft.dropped.cobbled_deepslate: #9, 1522(4%)
minecraft.dropped.ink_sac: #8, 24(0%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #8, 6(0%)
minecraft.dropped.lime_dye: #8, 1(0%)
minecraft.picked_up.birch_log: #9, 3946(3%)
minecraft.dropped.grass_block: #9, 1045(4%)
minecraft.mined.birch_log: #9, 3562(3%)
minecraft.used.hopper_minecart: #9, 71(4%)
minecraft.mined.warped_wart_block: #9, 2146(4%)
minecraft.dropped.bowl: #9, 11(4%)
minecraft.used.dark_oak_fence: #9, 448(3%)
minecraft.crafted.grindstone: #9, 51(4%)
minecraft.picked_up.yellow_shulker_box: #9, 172(3%)
minecraft.mined.yellow_shulker_box: #9, 172(3%)
minecraft.crafted.iron_trapdoor: #9, 226(4%)
minecraft.used.yellow_shulker_box: #9, 173(3%)
minecraft.mined.birch_fence: #9, 49(4%)
minecraft.crafted.furnace: #10, 216(5%)
minecraft.crafted.wooden_pickaxe: #9, 2(3%)
minecraft.mined.spruce_trapdoor: #9, 175(3%)
minecraft.crafted.raw_copper: #9, 4284(4%)
minecraft.custom.crouch_one_cm: #10, 25650456(4%)
minecraft.used.cobbled_deepslate_stairs: #9, 155(3%)
minecraft.used.warped_trapdoor: #9, 154(4%)
minecraft.mined.warped_fungus: #9, 55(3%)
minecraft.dropped.lead: #9, 12(3%)
minecraft.used.cactus: #9, 137(3%)
minecraft.used.spruce_leaves: #9, 1269(3%)
minecraft.picked_up.spore_blossom: #9, 18(3%)
minecraft.mined.cactus: #9, 68(3%)
minecraft.picked_up.dark_oak_trapdoor: #9, 111(2%)
minecraft.picked_up.note_block: #9, 46(3%)
minecraft.picked_up.chainmail_boots: #9, 4(3%)
minecraft.picked_up.jungle_sapling: #9, 114(3%)
minecraft.picked_up.vine: #9, 223(3%)
minecraft.picked_up.jungle_log: #9, 1610(3%)
minecraft.used.andesite_stairs: #9, 96(3%)
minecraft.used.stone_sword: #9, 121(3%)
minecraft.crafted.glow_item_frame: #9, 44(3%)
minecraft.used.iron_chestplate: #9, 2(3%)
minecraft.used.smooth_stone_slab: #9, 561(2%)
minecraft.picked_up.acacia_sapling: #9, 230(2%)
minecraft.picked_up.mossy_cobblestone: #9, 203(2%)
minecraft.dropped.terracotta: #9, 64(2%)
minecraft.mined.grass: #10, 3356(4%)
minecraft.used.written_book: #9, 540(2%)
minecraft.mined.birch_wall_sign: #9, 22(2%)
minecraft.used.light_gray_concrete_powder: #9, 1124(2%)
minecraft.used.azalea: #9, 95(2%)
minecraft.crafted.dark_oak_button: #9, 70(2%)
minecraft.used.cobblestone_wall: #9, 151(2%)
minecraft.crafted.warped_fence: #9, 54(3%)
minecraft.used.black_wool: #9, 211(2%)
minecraft.picked_up.oak_leaves: #9, 1576(2%)
minecraft.used.glow_item_frame: #9, 50(2%)
minecraft.picked_up.seagrass: #9, 80(2%)
minecraft.used.blue_dye: #9, 2(3%)
minecraft.picked_up.oak_button: #9, 4(2%)
minecraft.picked_up.oak_fence_gate: #9, 5(2%)
minecraft.crafted.golden_boots: #9, 3(3%)
minecraft.picked_up.warped_roots: #9, 499(2%)
minecraft.crafted.crimson_door: #9, 3(3%)
minecraft.mined.mangrove_leaves: #9, 1123(2%)
minecraft.picked_up.dark_oak_boat: #9, 11(2%)
minecraft.picked_up.azure_bluet: #9, 85(1%)
minecraft.dropped.red_shulker_box: #9, 2(2%)
minecraft.dropped.white_shulker_box: #9, 1(3%)
minecraft.mined.polished_basalt: #9, 56(1%)
minecraft.picked_up.mangrove_trapdoor: #9, 35(2%)
minecraft.crafted.white_stained_glass_pane: #9, 168(2%)
minecraft.picked_up.mossy_cobblestone_slab: #9, 11(2%)
minecraft.broken.iron_pickaxe: #10, 11(5%)
minecraft.picked_up.oak_hanging_sign: #9, 2(3%)
minecraft.picked_up.spruce_fence_gate: #9, 19(1%)
minecraft.mined.light_gray_wool: #9, 38(2%)
minecraft.used.light_blue_concrete: #9, 50(2%)
minecraft.used.bricks: #9, 191(1%)
minecraft.picked_up.polished_granite: #9, 81(1%)
minecraft.picked_up.birch_wood: #9, 9(2%)
