stat, rank, value, (percentage) 
minecraft.picked_up.waxed_weathered_copper: #2, 375(12%)
minecraft.picked_up.charcoal: #3, 1036(14%)
minecraft.used.stripped_jungle_wood: #2, 167(19%)
minecraft.mined.diorite_slab: #2, 15(17%)
minecraft.broken.carrot_on_a_stick: #1, 1(100%)
minecraft.used.jungle_chest_boat: #1, 1(100%)
minecraft.dropped.skeleton_skull: #1, 4(100%)
minecraft.crafted.jungle_chest_boat: #1, 1(50%)
minecraft.dropped.smooth_stone_slab: #2, 75(14%)
minecraft.used.dark_oak_pressure_plate: #2, 14(21%)
minecraft.used.yellow_banner: #2, 40(17%)
minecraft.used.honeycomb: #3, 1360(12%)
minecraft.dropped.grass: #2, 57(10%)
minecraft.used.acacia_button: #2, 21(9%)
minecraft.mined.dirt_path: #3, 645(9%)
minecraft.used.hay_block: #3, 134(13%)
minecraft.used.jungle_fence_gate: #2, 53(15%)
minecraft.picked_up.azalea: #3, 1359(9%)
minecraft.mined.cyan_stained_glass_pane: #2, 20(17%)
minecraft.crafted.weathered_cut_copper: #2, 36(18%)
minecraft.picked_up.yellow_banner: #2, 20(24%)
minecraft.used.moss_block: #3, 16317(9%)
minecraft.picked_up.flowering_azalea: #3, 735(9%)
minecraft.crafted.charcoal: #3, 1494(12%)
minecraft.used.polished_diorite_slab: #2, 216(15%)
minecraft.dropped.acacia_sapling: #3, 66(14%)
minecraft.picked_up.music_disc_far: #2, 15(13%)
minecraft.picked_up.stripped_oak_wood: #3, 294(12%)
minecraft.crafted.recovery_compass: #2, 2(20%)
minecraft.mined.stripped_oak_wood: #3, 292(12%)
minecraft.mined.yellow_wall_banner: #2, 11(22%)
minecraft.dropped.sweet_berries: #2, 236(6%)
minecraft.mined.red_banner: #2, 4(27%)
minecraft.dropped.waxed_weathered_cut_copper_stairs: #2, 12(44%)
minecraft.crafted.book: #3, 276(11%)
minecraft.custom.open_barrel: #4, 12617(8%)
minecraft.mined.crimson_wall_sign: #2, 5(19%)
minecraft.used.stripped_birch_wood: #2, 361(16%)
minecraft.mined.stripped_acacia_log: #2, 140(7%)
minecraft.dropped.disc_fragment_5: #2, 9(31%)
minecraft.crafted.smoker: #3, 25(12%)
minecraft.picked_up.birch_pressure_plate: #2, 12(15%)
minecraft.picked_up.stripped_acacia_log: #2, 148(7%)
minecraft.picked_up.chainmail_leggings: #3, 12(11%)
minecraft.mined.spruce_wall_hanging_sign: #2, 2(20%)
minecraft.dropped.emerald_block: #2, 1111(12%)
minecraft.dropped.birch_log: #3, 258(9%)
minecraft.used.chainmail_leggings: #2, 11(28%)
minecraft.used.spruce_trapdoor: #3, 1846(6%)
minecraft.used.stripped_oak_wood: #3, 290(12%)
minecraft.used.cobbled_deepslate_wall: #3, 419(12%)
minecraft.used.stripped_acacia_log: #2, 140(9%)
minecraft.dropped.birch_leaves: #3, 316(11%)
minecraft.crafted.leather_horse_armor: #3, 19(13%)
minecraft.picked_up.nether_sprouts: #2, 86(11%)
minecraft.used.lightning_rod: #3, 341(9%)
minecraft.used.red_banner: #3, 137(11%)
minecraft.crafted.weathered_cut_copper_slab: #2, 16(25%)
minecraft.broken.crossbow: #2, 1(50%)
minecraft.crafted.oak_chest_boat: #2, 1(25%)
minecraft.dropped.netherite_scrap: #2, 4(25%)
minecraft.dropped.spruce_chest_boat: #2, 1(33%)
minecraft.used.oak_chest_boat: #2, 1(33%)
minecraft.used.iron_pickaxe: #3, 5825(7%)
minecraft.used.stone_shovel: #2, 788(4%)
minecraft.dropped.warped_roots: #2, 295(5%)
minecraft.picked_up.chainmail_helmet: #3, 12(10%)
minecraft.custom.interact_with_blast_furnace: #4, 579(10%)
minecraft.picked_up.birch_leaves: #4, 6128(10%)
minecraft.used.nether_brick_slab: #3, 435(21%)
