stat, rank, value, (percentage) 
minecraft.crafted.oak_slab: #23, 192(1%)
minecraft.used.tuff: #23, 274(1%)
minecraft.crafted.spruce_planks: #23, 2847(0%)
minecraft.picked_up.spruce_planks: #23, 161(0%)
minecraft.used.spruce_door: #23, 3(1%)
minecraft.picked_up.spruce_door: #23, 2(0%)
minecraft.picked_up.observer: #23, 38(0%)
minecraft.used.netherrack: #23, 524(0%)
minecraft.crafted.redstone_block: #23, 136(0%)
minecraft.picked_up.granite: #23, 520(0%)
minecraft.dropped.grass_block: #23, 69(0%)
minecraft.mined.granite: #23, 582(0%)
minecraft.used.spruce_sapling: #23, 46(0%)
minecraft.dropped.tuff: #23, 55(0%)
minecraft.used.armor_stand: #23, 7(0%)
minecraft.crafted.white_bed: #23, 2(0%)
minecraft.picked_up.redstone_torch: #23, 17(0%)
minecraft.picked_up.scaffolding: #23, 471(0%)
minecraft.picked_up.music_disc_cat: #23, 1(0%)
minecraft.killed.sheep: #23, 2(0%)
minecraft.picked_up.mutton: #23, 4(0%)
minecraft.crafted.campfire: #23, 6(0%)
minecraft.crafted.glass: #23, 515(0%)
minecraft.used.dark_oak_stairs: #23, 21(0%)
minecraft.picked_up.stone_button: #23, 7(0%)
minecraft.dropped.spruce_planks: #23, 5(0%)
minecraft.mined.spruce_stairs: #23, 4(0%)
minecraft.used.stone_bricks: #23, 152(0%)
minecraft.used.deepslate_redstone_ore: #23, 6(0%)
minecraft.used.spruce_fence_gate: #23, 2(0%)
minecraft.picked_up.golden_sword: #23, 1(0%)
minecraft.mined.warped_fungus: #23, 1(0%)
minecraft.mined.stripped_dark_oak_log: #23, 4(0%)
minecraft.dropped.snow: #23, 6(0%)
minecraft.picked_up.lilac: #23, 6(0%)
minecraft.mined.stone_brick_slab: #23, 2(0%)
minecraft.mined.prismarine_bricks: #23, 2(0%)
minecraft.used.podzol: #23, 1(0%)
minecraft.mined.crimson_stem: #23, 6(0%)
minecraft.dropped.cooked_porkchop: #23, 10(0%)
minecraft.picked_up.white_banner: #23, 1(0%)
minecraft.custom.animals_bred: #23, 3(0%)
minecraft.mined.light_gray_terracotta: #23, 3(0%)
minecraft.used.honeycomb: #23, 1(0%)
minecraft.picked_up.smooth_stone: #23, 1(0%)
minecraft.crafted.pink_dye: #23, 2(0%)
minecraft.picked_up.gold_nugget: #23, 71(0%)
minecraft.used.red_terracotta: #23, 1(0%)
minecraft.mined.orange_terracotta: #23, 1(0%)
minecraft.used.stone_pickaxe: #24, 131(1%)
minecraft.picked_up.stick: #24, 799(1%)
minecraft.crafted.diamond_shovel: #24, 2(1%)
minecraft.mined.gravel: #24, 2668(1%)
minecraft.picked_up.gravel: #24, 2454(1%)
minecraft.picked_up.spruce_sapling: #24, 98(0%)
minecraft.mined.azure_bluet: #24, 3(0%)
minecraft.picked_up.porkchop: #24, 8(0%)
minecraft.killed.zombie_villager: #24, 1(0%)
minecraft.used.iron_block: #24, 172(0%)
minecraft.picked_up.golden_helmet: #24, 1(0%)
minecraft.used.glow_berries: #24, 8(0%)
minecraft.mined.obsidian: #24, 105(0%)
minecraft.used.campfire: #24, 6(0%)
minecraft.mined.ladder: #24, 3(0%)
minecraft.used.polished_andesite: #24, 59(0%)
minecraft.picked_up.red_concrete: #24, 31(0%)
minecraft.crafted.dark_oak_stairs: #24, 16(0%)
minecraft.picked_up.dark_oak_slab: #24, 9(0%)
minecraft.picked_up.snow_block: #24, 78(0%)
minecraft.mined.smooth_quartz_stairs: #24, 1(0%)
minecraft.mined.note_block: #24, 1(0%)
minecraft.picked_up.polished_deepslate: #24, 11(0%)
minecraft.picked_up.spruce_stairs: #24, 4(0%)
minecraft.used.cobblestone_slab: #24, 13(0%)
minecraft.dropped.flint: #24, 7(0%)
minecraft.dropped.glass_bottle: #24, 5(0%)
minecraft.killed.glow_squid: #24, 1(0%)
minecraft.mined.honey_block: #24, 1(0%)
minecraft.picked_up.note_block: #24, 1(0%)
minecraft.picked_up.stripped_dark_oak_log: #24, 4(0%)
minecraft.used.deepslate_diamond_ore: #24, 12(0%)
minecraft.picked_up.warped_stem: #24, 16(0%)
minecraft.used.pink_shulker_box: #24, 1(0%)
minecraft.picked_up.piston: #24, 4(0%)
minecraft.picked_up.deepslate_lapis_ore: #24, 1(0%)
minecraft.picked_up.bookshelf: #24, 1(0%)
minecraft.mined.deepslate_copper_ore: #24, 1(0%)
minecraft.mined.white_wool: #24, 2(0%)
minecraft.dropped.leather: #24, 2(0%)
minecraft.killed.chicken: #24, 6(0%)
minecraft.crafted.stone: #24, 4(0%)
minecraft.dropped.spruce_sapling: #24, 1(0%)
minecraft.mined.cobblestone_slab: #24, 2(0%)
minecraft.killed.creeper: #24, 16(0%)
minecraft.used.soul_sand: #24, 6(0%)
minecraft.picked_up.nether_quartz_ore: #24, 4(0%)
minecraft.used.smooth_quartz_slab: #24, 3(0%)
minecraft.picked_up.warped_fungus: #24, 2(0%)
minecraft.picked_up.prismarine_bricks: #24, 2(0%)
minecraft.dropped.white_wool: #24, 1(0%)
minecraft.crafted.firework_rocket: #24, 189(0%)
minecraft.used.glass_bottle: #24, 1(0%)
minecraft.used.white_concrete: #24, 4(0%)
minecraft.picked_up.cornflower: #24, 3(0%)
minecraft.crafted.compass: #24, 1(0%)
minecraft.used.smooth_stone: #24, 1(0%)
minecraft.picked_up.warped_roots: #24, 1(0%)
minecraft.picked_up.orange_terracotta: #24, 1(0%)
minecraft.picked_up.cactus: #24, 1(0%)
minecraft.picked_up.torch: #25, 812(1%)
minecraft.used.stonecutter: #25, 17(1%)
minecraft.killed_by.player: #25, 13(1%)
minecraft.mined.stonecutter: #25, 14(1%)
minecraft.mined.dirt: #25, 4795(0%)
minecraft.picked_up.stonecutter: #25, 13(1%)
minecraft.mined.deepslate_lapis_ore: #25, 32(1%)
minecraft.picked_up.lapis_lazuli: #25, 431(0%)
minecraft.used.iron_axe: #25, 139(0%)
minecraft.killed.spider: #25, 10(0%)
minecraft.crafted.iron_helmet: #25, 1(0%)
minecraft.used.stone: #25, 2796(0%)
minecraft.crafted.iron_axe: #25, 1(0%)
minecraft.used.diamond_axe: #25, 3185(0%)
minecraft.crafted.iron_boots: #25, 1(0%)
minecraft.custom.swim_one_cm: #25, 284917(0%)
minecraft.crafted.ender_eye: #25, 5(0%)
minecraft.used.coal_ore: #25, 72(0%)
minecraft.used.water_bucket: #25, 185(0%)
minecraft.picked_up.obsidian: #25, 113(0%)
minecraft.mined.lapis_ore: #25, 11(0%)
minecraft.used.diamond_sword: #25, 1719(0%)
minecraft.used.bucket: #25, 198(0%)
minecraft.mined.diorite: #25, 376(0%)
minecraft.mined.redstone_wire: #25, 23(0%)
minecraft.used.granite: #25, 31(0%)
minecraft.mined.spruce_trapdoor: #25, 8(0%)
minecraft.dropped.player_head: #25, 13(0%)
minecraft.picked_up.glass: #25, 76(0%)
minecraft.mined.glass: #25, 21(0%)
minecraft.picked_up.netherrack: #25, 832(0%)
minecraft.mined.cyan_shulker_box: #25, 6(0%)
minecraft.mined.polished_andesite: #25, 4(0%)
minecraft.picked_up.snow: #25, 40(0%)
minecraft.crafted.cobblestone_slab: #25, 12(0%)
minecraft.used.glass: #25, 61(0%)
minecraft.mined.netherrack: #25, 1210(0%)
minecraft.crafted.blaze_powder: #25, 6(0%)
minecraft.picked_up.azure_bluet: #25, 4(0%)
minecraft.mined.stone_bricks: #25, 22(0%)
minecraft.picked_up.stone_bricks: #25, 22(0%)
minecraft.picked_up.string: #25, 36(0%)
minecraft.used.spruce_stairs: #25, 7(0%)
minecraft.custom.talked_to_villager: #25, 27(0%)
minecraft.used.polished_deepslate: #25, 25(0%)
minecraft.dropped.potion: #25, 1(0%)
minecraft.picked_up.polished_andesite: #25, 4(0%)
minecraft.picked_up.bamboo: #25, 80(0%)
minecraft.used.dark_oak_slab: #25, 10(0%)
minecraft.mined.bone_block: #25, 2(0%)
minecraft.mined.copper_block: #25, 1(0%)
minecraft.crafted.iron_block: #25, 30(0%)
minecraft.mined.tall_seagrass: #25, 1(0%)
minecraft.picked_up.polished_deepslate_slab: #25, 1(0%)
minecraft.mined.iron_block: #25, 4(0%)
minecraft.mined.warped_nylium: #25, 1(0%)
minecraft.used.bone_block: #25, 6(0%)
minecraft.picked_up.spider_eye: #25, 8(0%)
minecraft.dropped.gunpowder: #25, 5(0%)
minecraft.picked_up.glowstone: #25, 1(0%)
minecraft.picked_up.oxeye_daisy: #25, 1(0%)
minecraft.dropped.spider_eye: #25, 4(0%)
minecraft.custom.sprint_one_cm: #26, 13235572(0%)
minecraft.custom.sneak_time: #26, 482866(0%)
minecraft.custom.jump: #26, 36823(0%)
minecraft.picked_up.diamond: #26, 224(1%)
minecraft.used.torch: #26, 1133(1%)
minecraft.custom.open_enderchest: #26, 442(0%)
minecraft.custom.walk_one_cm: #26, 10700966(0%)
minecraft.custom.interact_with_crafting_table: #26, 358(0%)
minecraft.picked_up.dirt: #26, 4849(0%)
minecraft.dropped.diamond_shovel: #26, 1(1%)
minecraft.crafted.stone_pickaxe: #26, 1(1%)
minecraft.custom.climb_one_cm: #26, 223180(0%)
minecraft.custom.crouch_one_cm: #26, 1709385(0%)
minecraft.custom.open_shulker_box: #26, 2619(0%)
minecraft.crafted.dark_oak_planks: #26, 1068(0%)
minecraft.mined.spruce_log: #26, 715(0%)
minecraft.mined.deepslate_diamond_ore: #26, 85(0%)
minecraft.used.diamond_shovel: #26, 9166(0%)
minecraft.custom.interact_with_stonecutter: #26, 27(0%)
minecraft.used.cobblestone: #26, 216(0%)
minecraft.used.snowball: #26, 16(0%)
minecraft.used.bow: #26, 145(0%)
minecraft.used.chest: #26, 78(0%)
minecraft.used.spruce_trapdoor: #26, 57(0%)
minecraft.mined.dandelion: #26, 10(0%)
minecraft.crafted.iron_ingot: #26, 1071(0%)
minecraft.picked_up.grass_block: #26, 1243(0%)
minecraft.mined.torch: #26, 42(0%)
minecraft.killed.pig: #26, 1(0%)
minecraft.crafted.iron_chestplate: #26, 1(0%)
minecraft.crafted.iron_leggings: #26, 1(0%)
minecraft.mined.spruce_leaves: #26, 158(0%)
minecraft.crafted.chest: #26, 87(0%)
minecraft.picked_up.bone: #26, 99(0%)
minecraft.mined.white_bed: #26, 3(0%)
minecraft.picked_up.glow_berries: #26, 8(0%)
minecraft.picked_up.white_bed: #26, 3(0%)
minecraft.used.beacon: #26, 1(0%)
minecraft.crafted.shulker_box: #26, 16(0%)
minecraft.used.stone_axe: #26, 9(0%)
minecraft.custom.interact_with_beacon: #26, 1(0%)
minecraft.crafted.diamond_block: #26, 5(0%)
minecraft.mined.black_shulker_box: #26, 4(0%)
minecraft.picked_up.black_shulker_box: #26, 4(0%)
minecraft.used.black_shulker_box: #26, 4(0%)
minecraft.used.deepslate: #26, 118(0%)
minecraft.picked_up.white_wool: #26, 13(0%)
minecraft.used.potion: #26, 4(0%)
minecraft.picked_up.carrot: #26, 45(0%)
minecraft.picked_up.emerald: #26, 55(0%)
minecraft.used.green_shulker_box: #26, 1(0%)
minecraft.mined.bamboo: #26, 7(0%)
minecraft.mined.soul_sand: #26, 12(0%)
minecraft.picked_up.gunpowder: #26, 23(0%)
minecraft.dropped.rotten_flesh: #26, 46(0%)
minecraft.picked_up.soul_sand: #26, 12(0%)
minecraft.crafted.spruce_stairs: #26, 4(0%)
minecraft.picked_up.stone_brick_slab: #26, 2(0%)
minecraft.killed.zombie: #26, 36(0%)
minecraft.crafted.composter: #26, 1(0%)
minecraft.dropped.bone: #26, 6(0%)
minecraft.picked_up.cooked_beef: #26, 1(0%)
minecraft.picked_up.white_shulker_box: #26, 1(0%)
minecraft.used.white_shulker_box: #26, 1(0%)
minecraft.picked_up.chicken: #26, 6(0%)
minecraft.picked_up.cobblestone_slab: #26, 2(0%)
minecraft.picked_up.deepslate_redstone_ore: #26, 2(0%)
minecraft.crafted.paper: #26, 69(0%)
minecraft.used.snow_block: #26, 20(0%)
minecraft.picked_up.copper_ore: #26, 3(0%)
minecraft.crafted.light_blue_dye: #26, 2(0%)
minecraft.picked_up.bone_block: #26, 2(0%)
minecraft.used.smooth_quartz_stairs: #26, 1(0%)
minecraft.custom.interact_with_brewingstand: #26, 1(0%)
minecraft.used.lava_bucket: #26, 1(0%)
minecraft.picked_up.copper_block: #26, 1(0%)
minecraft.picked_up.glow_ink_sac: #26, 1(0%)
minecraft.crafted.snow_block: #26, 11(0%)
minecraft.dropped.redstone: #26, 1(0%)
minecraft.used.white_wool: #26, 2(0%)
minecraft.picked_up.yellow_terracotta: #26, 1(0%)
minecraft.mined.red_terracotta: #26, 1(0%)
minecraft.killed.drowned: #26, 3(0%)
minecraft.picked_up.redstone: #27, 1050(0%)
minecraft.crafted.crafting_table: #27, 11(0%)
minecraft.dropped.diamond_leggings: #27, 1(0%)
minecraft.mined.deepslate_redstone_ore: #27, 170(0%)
minecraft.broken.iron_pickaxe: #27, 1(0%)
minecraft.custom.aviate_one_cm: #27, 59590719(0%)
minecraft.mined.cobblestone: #27, 153(0%)
minecraft.mined.lantern: #27, 3(0%)
minecraft.used.lantern: #27, 19(0%)
minecraft.dropped.carved_pumpkin: #27, 5(0%)
minecraft.picked_up.oak_fence: #27, 5(0%)
minecraft.used.firework_rocket: #27, 1205(0%)
minecraft.mined.grass_block: #27, 1605(0%)
minecraft.crafted.oak_planks: #27, 456(0%)
minecraft.crafted.spruce_trapdoor: #27, 48(0%)
minecraft.picked_up.iron_leggings: #27, 1(0%)
minecraft.dropped.dirt: #27, 102(0%)
minecraft.used.white_bed: #27, 4(0%)
minecraft.picked_up.diorite: #27, 194(0%)
minecraft.picked_up.spruce_trapdoor: #27, 8(0%)
minecraft.picked_up.rotten_flesh: #27, 62(0%)
minecraft.crafted.iron_nugget: #27, 271(0%)
minecraft.mined.birch_wall_sign: #27, 1(0%)
minecraft.crafted.stone_bricks: #27, 132(0%)
minecraft.crafted.dark_oak_trapdoor: #27, 14(0%)
minecraft.custom.damage_dealt: #27, 38578(0%)
minecraft.picked_up.leather_boots: #27, 1(0%)
minecraft.picked_up.deepslate: #27, 236(0%)
minecraft.used.pumpkin_pie: #27, 13(0%)
minecraft.dropped.dark_oak_planks: #27, 2(0%)
minecraft.crafted.dark_oak_slab: #27, 24(0%)
minecraft.picked_up.dandelion: #27, 15(0%)
minecraft.picked_up.ladder: #27, 3(0%)
minecraft.picked_up.pumpkin: #27, 12(0%)
minecraft.used.spruce_fence: #27, 8(0%)
minecraft.mined.repeater: #27, 2(0%)
minecraft.picked_up.yellow_shulker_box: #27, 2(0%)
minecraft.mined.yellow_shulker_box: #27, 2(0%)
minecraft.crafted.lever: #27, 2(0%)
minecraft.used.yellow_shulker_box: #27, 2(0%)
minecraft.dropped.oak_sapling: #27, 1(0%)
minecraft.dropped.oak_planks: #27, 1(0%)
minecraft.killed.skeleton: #27, 24(0%)
minecraft.used.oak_planks: #27, 6(0%)
minecraft.crafted.barrel: #27, 2(0%)
minecraft.dropped.coal: #27, 2(0%)
minecraft.crafted.bucket: #27, 2(0%)
minecraft.picked_up.repeater: #27, 2(0%)
minecraft.used.composter: #27, 1(0%)
minecraft.crafted.bow: #27, 1(0%)
minecraft.mined.white_shulker_box: #27, 1(0%)
minecraft.used.deepslate_bricks: #27, 12(0%)
minecraft.mined.spruce_slab: #27, 1(0%)
minecraft.mined.glowstone: #27, 1(0%)
minecraft.picked_up.podzol: #27, 2(0%)
minecraft.used.carrot: #27, 2(0%)
minecraft.mined.snow: #27, 41(0%)
minecraft.dropped.string: #27, 4(0%)
minecraft.used.wheat_seeds: #27, 3(0%)
minecraft.mined.bookshelf: #27, 1(0%)
minecraft.dropped.netherrack: #27, 4(0%)
minecraft.picked_up.shield: #28, 1(0%)
minecraft.used.iron_pickaxe: #28, 250(0%)
minecraft.used.elytra: #28, 3(0%)
minecraft.picked_up.cobbled_deepslate: #28, 2410(0%)
minecraft.mined.deepslate_gold_ore: #28, 42(0%)
minecraft.picked_up.pumpkin_pie: #28, 34(0%)
minecraft.custom.open_chest: #28, 1230(0%)
minecraft.custom.drop: #28, 650(0%)
minecraft.custom.interact_with_anvil: #28, 21(0%)
minecraft.picked_up.tuff: #28, 315(0%)
minecraft.custom.sleep_in_bed: #28, 53(0%)
minecraft.picked_up.raw_gold: #28, 67(0%)
minecraft.mined.cave_vines: #28, 4(0%)
minecraft.mined.player_wall_head: #28, 1(0%)
minecraft.picked_up.cyan_shulker_box: #28, 6(0%)
minecraft.dropped.wheat_seeds: #28, 58(0%)
minecraft.used.gravel: #28, 25(0%)
minecraft.picked_up.dark_oak_log: #28, 157(0%)
minecraft.custom.play_record: #28, 1(0%)
minecraft.mined.lever: #28, 1(0%)
minecraft.used.oak_log: #28, 21(0%)
minecraft.used.diorite: #28, 10(0%)
minecraft.mined.dirt_path: #28, 3(0%)
minecraft.used.bookshelf: #28, 8(0%)
minecraft.mined.barrel: #28, 1(0%)
minecraft.used.bone_meal: #28, 99(0%)
minecraft.killed.cow: #28, 2(0%)
minecraft.used.glow_ink_sac: #28, 1(0%)
minecraft.mined.dark_oak_log: #28, 39(0%)
minecraft.crafted.shears: #28, 2(0%)
minecraft.used.andesite: #28, 12(0%)
minecraft.custom.play_noteblock: #28, 1(0%)
minecraft.picked_up.snowball: #28, 52(0%)
minecraft.used.spruce_slab: #28, 5(0%)
minecraft.picked_up.white_terracotta: #28, 4(0%)
minecraft.picked_up.feather: #28, 4(0%)
minecraft.picked_up.iron_block: #28, 4(0%)
minecraft.dropped.oak_log: #28, 1(0%)
minecraft.picked_up.egg: #28, 2(0%)
minecraft.used.egg: #28, 2(0%)
minecraft.mined.sugar_cane: #28, 3(0%)
minecraft.crafted.bone_meal: #28, 111(0%)
minecraft.dropped.bone_meal: #28, 1(0%)
minecraft.picked_up.red_terracotta: #28, 1(0%)
minecraft.crafted.gold_ingot: #28, 17(0%)
minecraft.custom.walk_on_water_one_cm: #29, 303540(0%)
minecraft.custom.interact_with_lectern: #29, 32(0%)
minecraft.custom.fall_one_cm: #29, 448490(0%)
minecraft.crafted.torch: #29, 440(0%)
minecraft.crafted.iron_pickaxe: #29, 1(0%)
minecraft.crafted.iron_shovel: #29, 1(0%)
minecraft.mined.deepslate: #29, 2828(0%)
minecraft.custom.open_barrel: #29, 192(0%)
minecraft.mined.tall_grass: #29, 15(0%)
minecraft.mined.grass: #29, 56(0%)
minecraft.crafted.ladder: #29, 9(0%)
minecraft.used.dark_oak_trapdoor: #29, 13(0%)
minecraft.picked_up.birch_sign: #29, 2(0%)
minecraft.picked_up.totem_of_undying: #29, 1(0%)
minecraft.mined.dark_oak_trapdoor: #29, 1(0%)
minecraft.picked_up.arrow: #29, 31(0%)
minecraft.used.barrel: #29, 3(0%)
minecraft.picked_up.wheat_seeds: #29, 68(0%)
minecraft.dropped.diamond: #29, 2(0%)
minecraft.mined.cobbled_deepslate: #29, 5(0%)
minecraft.picked_up.lever: #29, 1(0%)
minecraft.used.moss_carpet: #29, 4(0%)
minecraft.used.spruce_planks: #29, 11(0%)
minecraft.mined.oak_planks: #29, 2(0%)
minecraft.mined.white_terracotta: #29, 4(0%)
minecraft.crafted.spruce_slab: #29, 6(0%)
minecraft.picked_up.spruce_slab: #29, 1(0%)
minecraft.mined.carrots: #29, 1(0%)
minecraft.used.flint_and_steel: #29, 1(0%)
minecraft.mined.podzol: #29, 2(0%)
minecraft.picked_up.sugar_cane: #29, 6(0%)
minecraft.crafted.white_dye: #29, 3(0%)
minecraft.crafted.blue_dye: #29, 2(0%)
minecraft.used.spruce_log: #29, 1(0%)
minecraft.dropped.diamond_pickaxe: #30, 2(0%)
minecraft.dropped.diamond_sword: #30, 1(1%)
minecraft.custom.deaths: #30, 16(0%)
minecraft.mined.wall_torch: #30, 21(0%)
minecraft.picked_up.diamond_shovel: #30, 2(0%)
minecraft.mined.tuff: #30, 348(0%)
minecraft.custom.damage_taken: #30, 15935(0%)
minecraft.mined.player_head: #30, 2(0%)
minecraft.picked_up.written_book: #30, 1(0%)
minecraft.picked_up.player_head: #30, 29(0%)
minecraft.used.dirt: #30, 572(0%)
minecraft.used.ladder: #30, 7(0%)
minecraft.used.cyan_shulker_box: #30, 6(0%)
minecraft.picked_up.red_shulker_box: #30, 7(0%)
minecraft.custom.interact_with_smithing_table: #30, 1(0%)
minecraft.mined.red_shulker_box: #30, 7(0%)
minecraft.used.red_shulker_box: #30, 7(0%)
minecraft.mined.chest: #30, 9(0%)
minecraft.used.cobbled_deepslate: #30, 58(0%)
minecraft.mined.oak_log: #30, 44(0%)
minecraft.used.lever: #30, 3(0%)
minecraft.picked_up.chest: #30, 9(0%)
minecraft.picked_up.barrel: #30, 1(0%)
minecraft.mined.copper_ore: #30, 16(0%)
minecraft.picked_up.beef: #30, 4(0%)
minecraft.picked_up.dark_oak_trapdoor: #30, 1(0%)
minecraft.picked_up.raw_copper: #30, 51(0%)
minecraft.picked_up.leather: #30, 4(0%)
minecraft.used.grass_block: #30, 60(0%)
minecraft.picked_up.oak_sapling: #30, 4(0%)
minecraft.mined.wheat: #30, 2(0%)
minecraft.picked_up.wheat: #30, 3(0%)
minecraft.picked_up.filled_map: #30, 4(0%)
minecraft.picked_up.bone_meal: #30, 1(0%)
minecraft.custom.walk_under_water_one_cm: #31, 422377(0%)
minecraft.used.carved_pumpkin: #31, 1(0%)
minecraft.picked_up.water_bucket: #31, 1(0%)
minecraft.picked_up.lantern: #31, 3(0%)
minecraft.used.birch_sign: #31, 2(0%)
minecraft.used.player_head: #31, 1(0%)
minecraft.mined.oak_leaves: #31, 42(0%)
minecraft.used.sweet_berries: #31, 6(0%)
minecraft.used.iron_shovel: #31, 28(0%)
minecraft.dropped.bow: #31, 1(0%)
minecraft.picked_up.diamond_block: #31, 1(0%)
minecraft.picked_up.oak_planks: #31, 3(0%)
minecraft.picked_up.moss_carpet: #31, 4(0%)
minecraft.picked_up.andesite: #31, 1(0%)
minecraft.mined.andesite: #31, 1(0%)
minecraft.mined.sand: #31, 3(0%)
minecraft.picked_up.sand: #31, 3(0%)
minecraft.picked_up.diamond_leggings: #32, 2(0%)
minecraft.picked_up.bow: #32, 3(0%)
minecraft.picked_up.cooked_porkchop: #32, 32(0%)
minecraft.mined.deepslate_iron_ore: #32, 3(0%)
minecraft.custom.tune_noteblock: #32, 4(0%)
minecraft.picked_up.diamond_helmet: #33, 1(0%)
minecraft.picked_up.oak_log: #33, 45(0%)
minecraft.custom.damage_resisted: #33, 52(0%)
minecraft.picked_up.sweet_berries: #33, 6(0%)
minecraft.picked_up.iron_nugget: #33, 8(0%)
minecraft.dropped.torch: #33, 1(0%)
minecraft.dropped.elytra: #34, 1(0%)
minecraft.picked_up.elytra: #34, 3(0%)
minecraft.picked_up.diamond_pickaxe: #34, 2(0%)
minecraft.picked_up.diamond_boots: #34, 1(0%)
minecraft.picked_up.diamond_sword: #34, 1(0%)
minecraft.picked_up.compass: #34, 1(0%)
minecraft.picked_up.moss_block: #34, 4(0%)
minecraft.picked_up.firework_rocket: #35, 158(0%)
minecraft.used.golden_carrot: #35, 9(0%)
minecraft.mined.moss_block: #35, 1(0%)
minecraft.picked_up.carved_pumpkin: #36, 6(0%)
minecraft.dropped.firework_rocket: #36, 51(0%)
minecraft.picked_up.paper: #37, 1(0%)
minecraft.custom.boat_one_cm: #38, 5541(0%)
minecraft.custom.fly_one_cm: #40, 10798842(0%)
minecraft.custom.time_since_death: #40, 81078(0%)
minecraft.picked_up.golden_carrot: #40, 6(0%)
minecraft.custom.time_since_rest: #41, 17164(0%)
minecraft.custom.play_time: #43, 4260619(0%)
minecraft.custom.total_world_time: #43, 4260619(0%)
minecraft.custom.leave_game: #44, 61(0%)
