stat, rank, value, (percentage) 
minecraft.used.kelp: #3, 1279(9%)
minecraft.crafted.cyan_concrete_powder: #3, 5616(11%)
minecraft.mined.jack_o_lantern: #3, 357(15%)
minecraft.picked_up.yellow_dye: #3, 256(16%)
minecraft.mined.iron_bars: #3, 235(9%)
minecraft.mined.chiseled_bookshelf: #2, 17(15%)
minecraft.used.birch_sapling: #3, 1568(8%)
minecraft.picked_up.cherry_stairs: #2, 6(17%)
minecraft.picked_up.spruce_sapling: #4, 2561(10%)
minecraft.picked_up.dark_oak_fence: #3, 316(8%)
minecraft.used.brown_concrete: #3, 217(14%)
minecraft.crafted.deepslate_tile_stairs: #3, 197(10%)
minecraft.crafted.decorated_pot: #3, 83(13%)
minecraft.dropped.polished_blackstone_button: #2, 101(8%)
minecraft.picked_up.waxed_cut_copper_stairs: #3, 39(22%)
minecraft.dropped.cyan_dye: #2, 78(17%)
minecraft.picked_up.pumpkin: #3, 1969(6%)
minecraft.picked_up.iron_ingot: #3, 3612(6%)
minecraft.picked_up.carrot: #4, 8835(9%)
minecraft.dropped.crimson_slab: #3, 73(14%)
minecraft.crafted.crafting_table: #4, 238(8%)
minecraft.dropped.blue_concrete: #2, 37(32%)
minecraft.crafted.quartz_stairs: #3, 124(12%)
minecraft.crafted.cut_copper: #3, 204(13%)
minecraft.crafted.cherry_boat: #2, 6(15%)
minecraft.dropped.end_stone: #2, 88(7%)
minecraft.mined.pitcher_crop: #3, 34(16%)
minecraft.used.blue_candle: #2, 27(18%)
minecraft.crafted.shears: #4, 1063(10%)
minecraft.killed_by.zombie: #3, 8(10%)
minecraft.picked_up.medium_amethyst_bud: #3, 230(11%)
minecraft.used.tripwire_hook: #3, 49(9%)
minecraft.mined.light_gray_shulker_box: #4, 378(12%)
minecraft.used.cobbled_deepslate_stairs: #3, 365(8%)
minecraft.mined.terracotta: #4, 21623(9%)
minecraft.used.red_mushroom_block: #3, 765(10%)
minecraft.crafted.iron_hoe: #2, 15(5%)
minecraft.mined.acacia_fence: #3, 11(16%)
minecraft.dropped.shulker_shell: #3, 405(13%)
minecraft.picked_up.orange_banner: #2, 8(26%)
minecraft.dropped.birch_fence: #2, 24(6%)
minecraft.used.decorated_pot: #3, 87(12%)
minecraft.used.dark_oak_sign: #4, 206(11%)
minecraft.used.light_gray_shulker_box: #4, 378(12%)
minecraft.picked_up.stripped_birch_log: #3, 551(6%)
minecraft.picked_up.light_gray_shulker_box: #4, 382(12%)
minecraft.mined.oak_leaves: #3, 7506(5%)
minecraft.mined.mangrove_stairs: #3, 27(12%)
minecraft.mined.light_blue_candle: #2, 3(25%)
minecraft.picked_up.terracotta: #4, 21695(9%)
minecraft.broken.golden_helmet: #2, 1(9%)
minecraft.used.stripped_birch_log: #3, 531(9%)
minecraft.mined.gray_concrete: #4, 4380(10%)
minecraft.dropped.glistering_melon_slice: #2, 7(18%)
minecraft.crafted.iron_bars: #4, 3024(11%)
minecraft.mined.brown_mushroom: #4, 474(12%)
minecraft.mined.lightning_rod: #4, 124(12%)
minecraft.used.bamboo_stairs: #2, 4(17%)
minecraft.mined.dirt: #4, 68979(7%)
minecraft.used.carved_pumpkin: #4, 67(8%)
minecraft.dropped.globe_banner_pattern: #2, 5(23%)
minecraft.mined.mangrove_wall_hanging_sign: #2, 2(33%)
minecraft.mined.potted_poppy: #2, 1(33%)
minecraft.used.cherry_button: #2, 1(33%)
minecraft.picked_up.bundle: #4, 133(11%)
minecraft.used.dark_oak_wood: #3, 538(8%)
minecraft.used.pitcher_pod: #3, 35(14%)
minecraft.killed.stray: #2, 5(11%)
minecraft.crafted.black_terracotta: #3, 1832(8%)
minecraft.used.deepslate_tiles: #4, 6651(9%)
minecraft.mined.black_wall_banner: #3, 28(20%)
minecraft.used.magenta_carpet: #2, 320(15%)
minecraft.mined.birch_stairs: #3, 32(9%)
minecraft.dropped.cherry_planks: #2, 8(9%)
minecraft.mined.cut_copper_slab: #3, 81(13%)
minecraft.picked_up.flower_pot: #3, 166(6%)
minecraft.crafted.mangrove_hanging_sign: #2, 6(20%)
minecraft.crafted.emerald: #4, 54454(10%)
minecraft.used.dark_oak_pressure_plate: #3, 12(18%)
minecraft.crafted.gray_wool: #3, 576(11%)
minecraft.mined.brown_wool: #3, 74(11%)
minecraft.dropped.crimson_fence: #2, 31(12%)
minecraft.picked_up.ice: #3, 11497(5%)
minecraft.dropped.dirt: #4, 6910(8%)
minecraft.killed.parrot: #2, 1(11%)
minecraft.crafted.firework_star: #2, 6659(5%)
minecraft.picked_up.cut_copper_slab: #3, 82(11%)
minecraft.dropped.acacia_stairs: #2, 2(13%)
minecraft.dropped.fire_coral_fan: #2, 7(9%)
minecraft.mined.polished_granite: #4, 191(11%)
minecraft.dropped.stripped_dark_oak_log: #3, 21(19%)
minecraft.used.acacia_fence: #3, 70(13%)
minecraft.crafted.waxed_cut_copper_slab: #3, 103(22%)
minecraft.picked_up.dead_bubble_coral_fan: #2, 1(10%)
minecraft.mined.infested_cracked_stone_bricks: #2, 2(25%)
minecraft.picked_up.acacia_fence: #3, 11(12%)
minecraft.used.exposed_copper: #4, 157(12%)
minecraft.used.white_bed: #4, 264(9%)
minecraft.dropped.oak_leaves: #4, 335(10%)
minecraft.used.black_terracotta: #3, 1646(8%)
minecraft.used.granite_slab: #4, 546(12%)
minecraft.mined.potted_dandelion: #2, 1(10%)
minecraft.picked_up.green_shulker_box: #3, 147(5%)
minecraft.crafted.fire_charge: #2, 192(10%)
minecraft.dropped.birch_door: #2, 4(6%)
minecraft.dropped.oak_stairs: #3, 61(15%)
minecraft.dropped.spruce_button: #3, 26(9%)
minecraft.used.green_shulker_box: #3, 146(5%)
minecraft.picked_up.light_gray_concrete: #4, 3008(11%)
minecraft.used.iron_block: #4, 4650(8%)
minecraft.mined.dead_tube_coral_wall_fan: #2, 6(18%)
minecraft.picked_up.iron_bars: #4, 583(9%)
minecraft.picked_up.mutton: #4, 192(9%)
minecraft.mined.green_shulker_box: #3, 145(5%)
minecraft.mined.dead_bubble_coral_wall_fan: #2, 1(17%)
minecraft.mined.red_bed: #4, 156(10%)
minecraft.used.pitcher_plant: #3, 21(12%)
minecraft.dropped.gray_banner: #2, 2(7%)
minecraft.picked_up.oak_hanging_sign: #3, 8(11%)
minecraft.dropped.red_mushroom: #4, 114(10%)
minecraft.crafted.dark_oak_stairs: #4, 1056(8%)
minecraft.picked_up.apple: #4, 591(8%)
minecraft.picked_up.stripped_mangrove_wood: #4, 128(16%)
minecraft.used.brown_terracotta: #3, 1258(6%)
minecraft.picked_up.furnace: #4, 227(7%)
minecraft.picked_up.red_bed: #4, 158(10%)
minecraft.crafted.mangrove_planks: #4, 2692(9%)
minecraft.picked_up.birch_sapling: #4, 1935(7%)
minecraft.picked_up.spruce_button: #3, 27(5%)
minecraft.mined.orange_candle: #2, 5(7%)
minecraft.mined.torchflower_crop: #2, 1(11%)
minecraft.used.diamond_boots: #4, 18(10%)
minecraft.used.gray_concrete: #4, 4149(11%)
minecraft.mined.stripped_mangrove_wood: #4, 131(17%)
minecraft.mined.end_stone_bricks: #4, 248(10%)
minecraft.used.mangrove_pressure_plate: #3, 46(15%)
minecraft.custom.interact_with_campfire: #3, 42(11%)
minecraft.crafted.detector_rail: #3, 84(9%)
minecraft.killed_by.iron_golem: #3, 4(17%)
minecraft.picked_up.purpur_pillar: #3, 97(6%)
minecraft.crafted.iron_nugget: #3, 14064(4%)
minecraft.picked_up.end_stone_bricks: #4, 287(10%)
minecraft.dropped.jungle_sapling: #3, 37(10%)
minecraft.crafted.packed_ice: #3, 1654(10%)
minecraft.dropped.light_blue_carpet: #2, 5(2%)
minecraft.killed.squid: #4, 615(8%)
minecraft.dropped.polished_andesite_stairs: #3, 24(8%)
minecraft.crafted.cherry_button: #2, 1(3%)
minecraft.killed.sheep: #4, 81(8%)
minecraft.crafted.black_banner: #3, 126(9%)
minecraft.used.mangrove_hanging_sign: #2, 2(4%)
minecraft.mined.bone_block: #4, 643(8%)
minecraft.used.bamboo_button: #2, 2(3%)
minecraft.picked_up.mangrove_hanging_sign: #2, 2(6%)
minecraft.used.white_stained_glass: #4, 4249(10%)
minecraft.crafted.deepslate: #3, 256(12%)
minecraft.used.chorus_fruit: #4, 34(9%)
minecraft.mined.magenta_carpet: #2, 12(2%)
minecraft.picked_up.barrel: #4, 268(7%)
minecraft.dropped.grindstone: #3, 11(13%)
minecraft.mined.amethyst_block: #4, 1818(8%)
minecraft.used.stripped_dark_oak_wood: #3, 186(7%)
minecraft.crafted.name_tag: #3, 259(7%)
minecraft.killed_by.piglin: #3, 2(8%)
minecraft.picked_up.bamboo_button: #2, 1(2%)
minecraft.mined.bamboo_button: #2, 1(2%)
minecraft.picked_up.chiseled_bookshelf: #3, 17(15%)
minecraft.dropped.spruce_sign: #4, 28(9%)
minecraft.used.crimson_door: #3, 8(9%)
minecraft.picked_up.mangrove_boat: #3, 6(11%)
minecraft.used.golden_helmet: #3, 3(17%)
minecraft.used.orange_terracotta: #4, 984(9%)
minecraft.dropped.diamond_shovel: #4, 13(7%)
minecraft.dropped.ladder: #4, 132(11%)
minecraft.mined.light_gray_concrete_powder: #3, 263(6%)
minecraft.crafted.waxed_cut_copper_stairs: #3, 64(16%)
minecraft.used.red_bed: #4, 153(9%)
minecraft.used.dark_oak_sapling: #4, 722(8%)
minecraft.crafted.white_stained_glass: #4, 4784(9%)
minecraft.crafted.netherite_ingot: #4, 211(9%)
minecraft.crafted.dark_oak_wood: #4, 747(10%)
minecraft.crafted.orange_banner: #3, 10(16%)
minecraft.picked_up.light_blue_candle: #3, 46(19%)
minecraft.used.snow_block: #4, 11358(7%)
minecraft.mined.weeping_vines_plant: #4, 76(9%)
minecraft.picked_up.waxed_cut_copper: #3, 23(9%)
minecraft.mined.sandstone: #4, 20819(8%)
minecraft.dropped.amethyst_cluster: #3, 54(7%)
minecraft.mined.waxed_cut_copper: #3, 24(9%)
minecraft.picked_up.redstone_ore: #4, 60(9%)
minecraft.broken.flint_and_steel: #3, 11(6%)
minecraft.mined.spruce_wood: #4, 222(12%)
minecraft.picked_up.purpur_stairs: #3, 67(5%)
minecraft.dropped.pufferfish: #3, 7(9%)
minecraft.picked_up.mossy_stone_bricks: #4, 156(8%)
minecraft.used.birch_stairs: #4, 215(10%)
minecraft.crafted.spruce_boat: #4, 27(9%)
minecraft.mined.polished_andesite_stairs: #4, 146(7%)
minecraft.crafted.crimson_trapdoor: #4, 346(8%)
minecraft.mined.ice: #4, 18292(7%)
minecraft.dropped.anvil: #3, 17(7%)
minecraft.killed.pufferfish: #3, 19(7%)
minecraft.mined.red_carpet: #3, 119(4%)
minecraft.dropped.jungle_trapdoor: #3, 50(11%)
minecraft.crafted.quartz_block: #5, 11123(10%)
minecraft.crafted.birch_stairs: #4, 244(10%)
minecraft.picked_up.tripwire_hook: #4, 35(9%)
minecraft.picked_up.cyan_concrete: #4, 1086(9%)
minecraft.used.bamboo_raft: #4, 29(12%)
minecraft.dropped.amethyst_block: #3, 69(5%)
minecraft.dropped.deepslate_tile_wall: #3, 8(10%)
minecraft.mined.waxed_cut_copper_slab: #3, 26(9%)
minecraft.mined.quartz_stairs: #4, 47(10%)
minecraft.mined.infested_stone_bricks: #3, 18(8%)
minecraft.dropped.flower_pot: #4, 45(14%)
minecraft.mined.potted_crimson_fungus: #3, 1(25%)
minecraft.dropped.birch_boat: #3, 2(8%)
minecraft.dropped.lime_shulker_box: #3, 1(12%)
minecraft.picked_up.podzol: #4, 1444(6%)
minecraft.picked_up.waxed_cut_copper_slab: #3, 26(8%)
minecraft.crafted.cut_copper_slab: #3, 40(5%)
minecraft.mined.cartography_table: #4, 15(10%)
minecraft.dropped.slime_ball: #4, 992(9%)
minecraft.picked_up.white_stained_glass_pane: #4, 163(9%)
minecraft.picked_up.sandstone: #4, 18938(7%)
minecraft.used.red_concrete_powder: #4, 2231(7%)
minecraft.used.snow: #5, 7265(11%)
minecraft.used.dead_horn_coral_fan: #3, 1(17%)
minecraft.mined.gilded_blackstone: #3, 27(5%)
minecraft.picked_up.large_amethyst_bud: #4, 113(10%)
minecraft.picked_up.black_banner: #4, 41(12%)
minecraft.mined.brown_concrete_powder: #4, 17(12%)
minecraft.picked_up.torchflower_seeds: #3, 92(4%)
minecraft.picked_up.weeping_vines: #4, 253(7%)
minecraft.used.dirt: #5, 50552(7%)
minecraft.dropped.podzol: #4, 41(9%)
minecraft.killed_by.zombie_villager: #3, 1(14%)
minecraft.picked_up.brown_mushroom: #4, 627(7%)
minecraft.dropped.gray_carpet: #4, 102(10%)
minecraft.picked_up.orange_candle: #3, 59(11%)
minecraft.picked_up.spruce_pressure_plate: #4, 19(10%)
minecraft.dropped.torchflower_seeds: #3, 93(7%)
minecraft.dropped.light_blue_shulker_box: #3, 10(5%)
minecraft.dropped.red_mushroom_block: #3, 123(5%)
minecraft.used.podzol: #4, 272(7%)
minecraft.picked_up.gray_wool: #4, 730(6%)
minecraft.mined.large_amethyst_bud: #4, 116(8%)
minecraft.used.white_banner: #4, 50(7%)
minecraft.dropped.charcoal: #4, 64(10%)
minecraft.picked_up.bricks: #4, 713(7%)
minecraft.picked_up.crimson_pressure_plate: #3, 1(12%)
minecraft.mined.crimson_pressure_plate: #3, 1(12%)
minecraft.dropped.tall_grass: #3, 1(12%)
minecraft.dropped.polished_diorite_stairs: #3, 7(10%)
minecraft.used.cobbled_deepslate_wall: #4, 303(9%)
minecraft.crafted.flint_and_steel: #4, 29(5%)
minecraft.picked_up.pink_wool: #3, 151(3%)
minecraft.crafted.acacia_fence: #4, 117(13%)
minecraft.picked_up.mangrove_stairs: #4, 26(10%)
minecraft.dropped.kelp: #4, 632(6%)
minecraft.picked_up.vine: #4, 525(7%)
minecraft.picked_up.recovery_compass: #3, 1(8%)
minecraft.crafted.bamboo_stairs: #3, 4(9%)
minecraft.dropped.light_blue_wool: #3, 299(6%)
minecraft.used.dragon_egg: #3, 1154(4%)
minecraft.dropped.cobbled_deepslate_slab: #4, 77(8%)
minecraft.used.dark_oak_slab: #4, 1898(5%)
minecraft.dropped.music_disc_stal: #3, 2(10%)
minecraft.used.music_disc_relic: #3, 1(10%)
minecraft.dropped.yellow_stained_glass_pane: #3, 15(7%)
minecraft.mined.quartz_pillar: #5, 228(11%)
minecraft.used.bamboo_planks: #4, 15(13%)
minecraft.mined.diorite_slab: #4, 10(11%)
minecraft.used.iron_hoe: #3, 1969(2%)
minecraft.mined.purpur_stairs: #4, 70(7%)
minecraft.picked_up.skull_pottery_sherd: #3, 2(9%)
minecraft.dropped.rabbit_foot: #3, 1(9%)
minecraft.crafted.lime_wool: #4, 202(14%)
minecraft.dropped.spruce_stairs: #4, 51(10%)
minecraft.dropped.filled_map: #4, 2953(5%)
minecraft.dropped.lime_wool: #3, 72(5%)
minecraft.mined.cyan_concrete: #4, 1124(6%)
minecraft.dropped.chorus_flower: #3, 2(11%)
minecraft.mined.white_stained_glass_pane: #4, 46(7%)
minecraft.dropped.magenta_glazed_terracotta: #3, 65(4%)
minecraft.used.flint_and_steel: #4, 852(5%)
minecraft.mined.dark_oak_sapling: #4, 22(7%)
minecraft.used.bundle: #4, 108(5%)
minecraft.used.cartography_table: #4, 18(8%)
minecraft.mined.polished_deepslate_slab: #4, 519(6%)
minecraft.used.diamond_shovel: #5, 271658(7%)
minecraft.used.light_weighted_pressure_plate: #3, 289(2%)
minecraft.dropped.stone_pickaxe: #4, 6(5%)
minecraft.crafted.light_blue_bed: #4, 8(12%)
minecraft.dropped.spruce_door: #4, 11(8%)
minecraft.used.cooked_rabbit: #3, 5(4%)
minecraft.used.music_disc_11: #3, 1(7%)
minecraft.dropped.light_weighted_pressure_plate: #3, 33(4%)
minecraft.mined.stripped_jungle_wood: #4, 45(8%)
minecraft.mined.purpur_pillar: #4, 108(7%)
minecraft.picked_up.white_concrete: #5, 6205(8%)
minecraft.mined.iron_trapdoor: #4, 63(6%)
minecraft.mined.acacia_log: #5, 2196(9%)
minecraft.dropped.pink_stained_glass_pane: #3, 2(6%)
minecraft.crafted.bamboo_button: #3, 1(3%)
minecraft.mined.stripped_birch_log: #4, 554(4%)
minecraft.mined.light_weighted_pressure_plate: #3, 119(2%)
minecraft.used.shears: #5, 17069(8%)
minecraft.mined.tripwire: #5, 211(9%)
minecraft.used.diamond_chestplate: #4, 10(9%)
minecraft.mined.pumpkin: #4, 420(4%)
minecraft.picked_up.shroomlight: #5, 498(8%)
minecraft.picked_up.stone_brick_stairs: #4, 178(5%)
minecraft.picked_up.cooked_rabbit: #3, 5(4%)
minecraft.picked_up.stripped_oak_wood: #4, 144(6%)
minecraft.mined.grass_block: #5, 57158(6%)
minecraft.picked_up.dark_oak_pressure_plate: #3, 4(2%)
minecraft.picked_up.leather: #5, 1542(7%)
minecraft.broken.iron_hoe: #3, 7(3%)
minecraft.dropped.blue_stained_glass: #3, 3(3%)
minecraft.used.spruce_leaves: #5, 3761(8%)
minecraft.dropped.brown_wool: #3, 47(1%)
minecraft.picked_up.acacia_log: #5, 2881(8%)
minecraft.mined.medium_amethyst_bud: #4, 122(6%)
minecraft.picked_up.jungle_boat: #4, 10(9%)
minecraft.picked_up.stick: #5, 7857(6%)
minecraft.dropped.birch_sapling: #5, 159(8%)
minecraft.used.golden_leggings: #3, 1(2%)
minecraft.used.end_rod: #4, 261(4%)
minecraft.dropped.tipped_arrow: #3, 2(2%)
minecraft.killed_by.creeper: #5, 9(8%)
minecraft.crafted.diamond_hoe: #4, 5(5%)
minecraft.dropped.spruce_boat: #4, 9(6%)
minecraft.mined.rose_bush: #5, 37(8%)
minecraft.used.purpur_stairs: #4, 27(11%)
minecraft.used.gravel: #5, 2301(7%)
minecraft.picked_up.filled_map: #5, 6094(6%)
minecraft.dropped.blackstone_stairs: #3, 2(3%)
minecraft.used.carrot: #5, 2146(7%)
minecraft.used.crimson_pressure_plate: #3, 8(1%)
minecraft.used.weathered_cut_copper_slab: #4, 40(12%)
minecraft.mined.red_mushroom: #4, 88(6%)
minecraft.mined.black_stained_glass_pane: #4, 36(8%)
minecraft.dropped.cyan_terracotta: #4, 128(7%)
minecraft.dropped.orange_wool: #4, 195(10%)
minecraft.used.golden_carrot: #6, 3762(7%)
minecraft.used.cherry_wood: #3, 6(1%)
minecraft.mined.stripped_oak_wood: #4, 128(5%)
minecraft.picked_up.pink_shulker_box: #5, 185(8%)
minecraft.used.firework_rocket: #6, 58851(7%)
minecraft.dropped.orange_carpet: #3, 4(1%)
minecraft.mined.polished_blackstone: #5, 224(10%)
minecraft.picked_up.light_blue_stained_glass: #4, 116(7%)
minecraft.mined.pink_shulker_box: #5, 180(8%)
minecraft.crafted.dark_oak_fence: #5, 1098(8%)
minecraft.killed_by.ender_dragon: #4, 2(9%)
minecraft.picked_up.rabbit: #5, 30(11%)
minecraft.dropped.mangrove_sign: #4, 2(14%)
minecraft.used.nether_wart_block: #4, 194(4%)
minecraft.mined.daylight_detector: #4, 18(10%)
minecraft.mined.mangrove_wall_sign: #4, 9(7%)
minecraft.picked_up.dark_oak_planks: #5, 1148(6%)
minecraft.mined.vine: #5, 872(7%)
minecraft.used.yellow_concrete_powder: #5, 1733(9%)
minecraft.mined.glowstone: #5, 647(7%)
minecraft.picked_up.diamond_axe: #5, 56(6%)
minecraft.used.pink_shulker_box: #5, 179(8%)
minecraft.mined.sugar_cane: #4, 2482(3%)
minecraft.mined.crimson_planks: #4, 110(4%)
minecraft.mined.nether_gold_ore: #5, 647(7%)
minecraft.picked_up.amethyst_block: #5, 1926(8%)
minecraft.used.dark_oak_fence: #5, 915(7%)
minecraft.dropped.packed_ice: #4, 303(5%)
minecraft.mined.polished_deepslate_wall: #5, 140(9%)
minecraft.dropped.cobbled_deepslate_stairs: #4, 35(8%)
minecraft.mined.tnt: #4, 115(4%)
minecraft.picked_up.oak_stairs: #5, 213(7%)
minecraft.crafted.iron_helmet: #4, 8(3%)
minecraft.picked_up.nether_brick: #4, 712(6%)
minecraft.picked_up.stripped_jungle_wood: #4, 36(6%)
minecraft.crafted.birch_door: #4, 9(6%)
minecraft.crafted.polished_granite_slab: #4, 158(7%)
minecraft.mined.jungle_log: #5, 3558(8%)
minecraft.picked_up.grass_block: #5, 39430(6%)
minecraft.crafted.jungle_boat: #4, 7(9%)
minecraft.crafted.crimson_button: #4, 12(6%)
minecraft.used.birch_wood: #5, 309(10%)
minecraft.picked_up.golden_sword: #4, 48(3%)
minecraft.used.chicken: #4, 4(5%)
minecraft.killed_by.spider: #4, 1(12%)
minecraft.mined.exposed_cut_copper: #4, 8(5%)
minecraft.dropped.dripstone_block: #4, 105(4%)
minecraft.dropped.yellow_stained_glass: #4, 59(10%)
minecraft.crafted.loom: #4, 72(4%)
minecraft.picked_up.spruce_log: #5, 13891(5%)
minecraft.killed_by.endermite: #4, 1(7%)
minecraft.custom.sleep_in_bed: #6, 2423(6%)
minecraft.picked_up.anvil: #5, 140(6%)
minecraft.mined.cherry_leaves: #5, 2735(9%)
minecraft.mined.quartz_slab: #5, 209(9%)
minecraft.picked_up.cherry_sapling: #5, 286(9%)
minecraft.dropped.diorite_slab: #4, 4(12%)
minecraft.picked_up.bone_block: #5, 1283(6%)
minecraft.picked_up.exposed_cut_copper: #4, 8(5%)
minecraft.used.horn_coral_fan: #4, 11(5%)
minecraft.dropped.birch_log: #5, 202(7%)
minecraft.mined.spruce_log: #5, 12790(5%)
minecraft.used.dark_oak_stairs: #5, 776(6%)
minecraft.dropped.red_bed: #4, 2(6%)
minecraft.mined.dead_horn_coral_fan: #4, 1(11%)
minecraft.dropped.golden_sword: #4, 44(3%)
minecraft.mined.weeping_vines: #4, 38(3%)
minecraft.dropped.oak_sapling: #5, 184(6%)
minecraft.picked_up.mangrove_slab: #5, 134(7%)
minecraft.crafted.yellow_concrete_powder: #5, 1784(8%)
minecraft.picked_up.painting: #5, 112(7%)
minecraft.used.daylight_detector: #4, 33(4%)
minecraft.used.chiseled_deepslate: #4, 105(4%)
minecraft.used.red_carpet: #4, 620(2%)
minecraft.dropped.quartz_bricks: #4, 3(7%)
minecraft.killed.pig: #5, 33(6%)
minecraft.picked_up.tall_grass: #4, 1(8%)
minecraft.mined.stripped_mangrove_log: #4, 334(3%)
minecraft.picked_up.crimson_button: #4, 3(12%)
minecraft.mined.jungle_sign: #4, 2(7%)
minecraft.mined.brown_concrete: #5, 256(9%)
minecraft.picked_up.chiseled_polished_blackstone: #4, 54(4%)
minecraft.picked_up.ink_sac: #5, 2724(5%)
minecraft.picked_up.stripped_mangrove_log: #4, 335(3%)
minecraft.dropped.shroomlight: #4, 53(4%)
minecraft.used.salmon_bucket: #4, 1(9%)
minecraft.picked_up.jungle_sapling: #5, 271(8%)
minecraft.mined.cyan_concrete_powder: #4, 22(4%)
minecraft.used.jungle_leaves: #5, 470(9%)
minecraft.picked_up.chiseled_deepslate: #5, 108(11%)
minecraft.used.painting: #5, 131(6%)
minecraft.dropped.deepslate_brick_stairs: #4, 50(5%)
minecraft.mined.crimson_button: #4, 1(10%)
minecraft.used.mangrove_boat: #4, 3(6%)
minecraft.dropped.mangrove_stairs: #4, 1(8%)
minecraft.crafted.stone: #5, 820(6%)
minecraft.crafted.black_concrete: #4, 184(8%)
minecraft.mined.spruce_slab: #5, 490(5%)
minecraft.crafted.dark_oak_door: #5, 33(7%)
minecraft.mined.brick_slab: #4, 39(3%)
minecraft.dropped.pumpkin_seeds: #5, 1877(7%)
minecraft.killed.fox: #4, 1(9%)
minecraft.used.crimson_trapdoor: #5, 222(7%)
minecraft.used.tinted_glass: #5, 3428(7%)
minecraft.used.mangrove_fence_gate: #4, 6(5%)
minecraft.picked_up.chainmail_helmet: #5, 9(7%)
minecraft.used.pumpkin_seeds: #4, 126(3%)
minecraft.used.grass_block: #5, 25813(5%)
minecraft.dropped.red_carpet: #5, 39(10%)
minecraft.mined.dripstone_block: #5, 751(6%)
minecraft.crafted.gold_nugget: #4, 2079(3%)
minecraft.dropped.light_blue_stained_glass_pane: #4, 7(4%)
minecraft.mined.black_stained_glass: #5, 327(7%)
minecraft.dropped.bucket: #5, 52(6%)
minecraft.mined.black_terracotta: #4, 215(3%)
minecraft.dropped.mangrove_button: #4, 3(5%)
minecraft.picked_up.small_amethyst_bud: #4, 148(2%)
minecraft.picked_up.brown_concrete: #5, 255(7%)
minecraft.used.muddy_mangrove_roots: #5, 151(10%)
minecraft.killed_by.slime: #4, 1(5%)
minecraft.used.powder_snow_bucket: #4, 150(2%)
minecraft.crafted.orange_wool: #4, 74(3%)
minecraft.mined.white_candle: #4, 2(4%)
minecraft.dropped.cyan_concrete: #4, 64(5%)
minecraft.crafted.lapis_lazuli: #5, 2286(5%)
minecraft.picked_up.crimson_hyphae: #4, 192(3%)
minecraft.dropped.green_shulker_box: #4, 1(3%)
minecraft.crafted.iron_leggings: #4, 7(1%)
minecraft.picked_up.netherrack: #5, 40257(4%)
minecraft.picked_up.ghast_tear: #5, 31(5%)
minecraft.dropped.yellow_bed: #4, 1(5%)
minecraft.dropped.ice: #4, 91(2%)
minecraft.mined.purpur_slab: #5, 25(7%)
minecraft.dropped.blue_wool: #4, 35(3%)
minecraft.dropped.mangrove_slab: #4, 8(3%)
minecraft.picked_up.prize_pottery_sherd: #4, 1(4%)
minecraft.mined.waxed_copper_block: #5, 93(8%)
minecraft.mined.gray_banner: #4, 1(6%)
minecraft.crafted.green_glazed_terracotta: #4, 32(2%)
minecraft.crafted.light_blue_wool: #4, 99(2%)
minecraft.dropped.ender_pearl: #6, 21558(6%)
minecraft.picked_up.mangrove_sign: #5, 12(7%)
minecraft.picked_up.music_disc_stal: #4, 3(2%)
minecraft.mined.white_stained_glass: #5, 444(6%)
minecraft.broken.wooden_sword: #4, 1(5%)
minecraft.mined.stripped_cherry_wood: #4, 1(3%)
minecraft.dropped.light_gray_shulker_box: #4, 1(3%)
minecraft.killed.frog: #4, 3(3%)
minecraft.dropped.yellow_concrete_powder: #4, 4(3%)
minecraft.picked_up.spider_eye: #6, 5507(7%)
minecraft.dropped.bamboo: #5, 1661(6%)
minecraft.mined.orange_concrete_powder: #4, 23(2%)
minecraft.dropped.muddy_mangrove_roots: #4, 18(2%)
minecraft.picked_up.stripped_cherry_wood: #4, 1(2%)
minecraft.dropped.bone_meal: #5, 1145(4%)
minecraft.picked_up.tipped_arrow: #4, 3(3%)
minecraft.mined.mangrove_planks: #5, 45(6%)
minecraft.crafted.crimson_pressure_plate: #4, 11(1%)
minecraft.dropped.blackstone_slab: #4, 2(2%)
minecraft.picked_up.wooden_pickaxe: #5, 3(5%)
minecraft.dropped.acacia_trapdoor: #5, 41(11%)
minecraft.picked_up.quartz_stairs: #5, 47(6%)
minecraft.used.music_disc_ward: #4, 1(3%)
minecraft.mined.dark_oak_door: #5, 6(7%)
minecraft.picked_up.cartography_table: #5, 15(6%)
minecraft.crafted.brown_concrete_powder: #5, 448(6%)
minecraft.dropped.jungle_sign: #4, 1(2%)
minecraft.killed.drowned: #4, 11568(0%)
minecraft.picked_up.waxed_copper_block: #5, 93(7%)
minecraft.dropped.stripped_crimson_stem: #4, 1(1%)
minecraft.dropped.polished_blackstone_brick_slab: #4, 9(1%)
minecraft.dropped.diorite_stairs: #4, 2(2%)
minecraft.crafted.light_blue_concrete_powder: #5, 512(6%)
minecraft.picked_up.bucket: #6, 136(7%)
minecraft.dropped.dark_oak_pressure_plate: #4, 2(1%)
minecraft.used.sculk_catalyst: #4, 64(1%)
minecraft.picked_up.polished_andesite_slab: #5, 267(4%)
minecraft.used.horn_coral: #4, 2(1%)
minecraft.dropped.ink_sac: #4, 69(0%)
minecraft.dropped.pink_terracotta: #4, 5(1%)
minecraft.used.string: #5, 1257(4%)
minecraft.dropped.tropical_fish: #5, 91(4%)
