stat, rank, value, (percentage) 
minecraft.used.light_gray_concrete: #1, 6135(25%)
minecraft.used.brick_slab: #2, 6109(41%)
minecraft.picked_up.muddy_mangrove_roots: #1, 2453(32%)
minecraft.used.diamond_hoe: #1, 95713(21%)
minecraft.crafted.orange_terracotta: #1, 2207(37%)
minecraft.mined.spruce_leaves: #2, 22702(19%)
minecraft.crafted.white_terracotta: #1, 3288(27%)
minecraft.used.sunflower: #1, 60(22%)
minecraft.picked_up.deepslate_tile_stairs: #1, 846(23%)
minecraft.picked_up.black_glazed_terracotta: #1, 690(45%)
minecraft.picked_up.crying_obsidian: #2, 1927(26%)
minecraft.picked_up.red_banner: #1, 105(24%)
minecraft.dropped.carrot: #2, 7752(23%)
minecraft.picked_up.cherry_boat: #1, 51(44%)
minecraft.used.polished_diorite_slab: #1, 708(48%)
minecraft.used.waxed_cut_copper: #1, 352(48%)
minecraft.crafted.gray_glazed_terracotta: #1, 2623(59%)
minecraft.dropped.red_banner: #1, 46(68%)
minecraft.dropped.mangrove_pressure_plate: #1, 106(95%)
minecraft.picked_up.red_mushroom_block: #2, 12989(23%)
minecraft.killed.polar_bear: #1, 74(94%)
minecraft.mined.dark_oak_log: #1, 27104(15%)
minecraft.crafted.mangrove_pressure_plate: #1, 204(39%)
minecraft.picked_up.red_concrete: #1, 3839(16%)
minecraft.used.brown_concrete_powder: #1, 848(21%)
minecraft.crafted.mangrove_slab: #1, 894(22%)
minecraft.crafted.white_glazed_terracotta: #1, 1164(57%)
minecraft.mined.white_concrete: #1, 14214(18%)
minecraft.crafted.pumpkin_pie: #1, 13887(33%)
minecraft.mined.dark_oak_button: #1, 52(35%)
minecraft.mined.birch_wood: #1, 53(41%)
minecraft.crafted.polished_granite: #2, 5312(25%)
minecraft.used.gray_glazed_terracotta: #1, 1509(56%)
minecraft.used.quartz_block: #2, 9879(22%)
minecraft.used.lantern: #1, 1178(14%)
minecraft.crafted.black_glazed_terracotta: #1, 1207(41%)
minecraft.crafted.light_blue_stained_glass: #1, 2440(26%)
minecraft.picked_up.white_glazed_terracotta: #1, 617(49%)
minecraft.used.spruce_boat: #2, 166(19%)
minecraft.mined.bricks: #1, 619(18%)
minecraft.used.polished_granite_slab: #1, 1815(26%)
minecraft.crafted.iron_trapdoor: #1, 1147(19%)
minecraft.dropped.mutton: #1, 115(27%)
minecraft.mined.poppy: #1, 540(15%)
minecraft.dropped.dark_oak_sapling: #2, 485(23%)
minecraft.crafted.red_dye: #2, 19248(20%)
minecraft.picked_up.spruce_boat: #2, 174(18%)
minecraft.used.ender_pearl: #2, 1250(15%)
minecraft.used.deepslate_tile_stairs: #2, 2952(23%)
minecraft.crafted.acacia_trapdoor: #1, 2620(25%)
minecraft.picked_up.nether_wart_block: #1, 8155(17%)
minecraft.mined.cobbled_deepslate_stairs: #2, 206(24%)
minecraft.dropped.end_stone_bricks: #1, 124(27%)
minecraft.picked_up.acacia_sapling: #2, 2101(22%)
minecraft.used.white_glazed_terracotta: #1, 1507(70%)
minecraft.mined.deepslate_tile_stairs: #2, 479(25%)
minecraft.picked_up.acacia_trapdoor: #1, 441(22%)
minecraft.crafted.grindstone: #1, 230(16%)
minecraft.crafted.deepslate_tile_slab: #2, 1022(24%)
minecraft.picked_up.dark_oak_wood: #1, 337(27%)
minecraft.used.blue_bed: #2, 142(28%)
minecraft.dropped.acacia_log: #1, 454(31%)
minecraft.used.yellow_terracotta: #2, 3724(23%)
minecraft.used.white_candle: #1, 51(37%)
minecraft.picked_up.quartz_block: #2, 5902(20%)
minecraft.mined.stripped_dark_oak_wood: #2, 517(26%)
minecraft.crafted.yellow_terracotta: #1, 2832(21%)
minecraft.dropped.iron_trapdoor: #1, 128(33%)
minecraft.picked_up.mangrove_pressure_plate: #1, 96(49%)
minecraft.mined.deepslate_tile_wall: #2, 238(24%)
minecraft.crafted.charcoal: #2, 2983(24%)
minecraft.used.pumpkin_pie: #3, 5343(18%)
minecraft.mined.white_glazed_terracotta: #1, 615(64%)
minecraft.mined.nether_wart_block: #1, 5719(15%)
minecraft.crafted.waxed_cut_copper: #1, 289(54%)
minecraft.killed_by.pufferfish: #1, 21(75%)
minecraft.used.light_gray_concrete_powder: #2, 11014(22%)
minecraft.crafted.quartz_bricks: #1, 524(37%)
minecraft.crafted.dripstone_block: #1, 3136(24%)
minecraft.dropped.purpur_pillar: #2, 71(33%)
minecraft.used.chiseled_stone_bricks: #2, 1576(21%)
minecraft.picked_up.white_candle: #1, 72(33%)
minecraft.mined.stripped_spruce_wood: #2, 646(24%)
minecraft.picked_up.light_blue_concrete: #2, 862(25%)
minecraft.dropped.stripped_spruce_log: #1, 92(40%)
minecraft.picked_up.light_blue_shulker_box: #2, 2510(14%)
minecraft.mined.orange_terracotta: #2, 12014(19%)
minecraft.used.mycelium: #1, 1879(44%)
minecraft.mined.light_blue_shulker_box: #2, 2389(14%)
minecraft.used.light_blue_shulker_box: #2, 2408(14%)
minecraft.picked_up.cut_copper: #1, 136(17%)
minecraft.used.acacia_trapdoor: #2, 2585(26%)
minecraft.picked_up.orange_dye: #1, 333(27%)
