stat, rank, value, (percentage) 
minecraft.mined.quartz_slab: #1, 638(27%)
minecraft.used.purple_concrete: #1, 3095(40%)
minecraft.mined.smooth_quartz_slab: #1, 472(24%)
minecraft.used.polished_basalt: #2, 8332(27%)
minecraft.picked_up.stick: #1, 18904(14%)
minecraft.crafted.chain: #1, 2227(19%)
minecraft.dropped.white_banner: #1, 1748(26%)
minecraft.killed.wither_skeleton: #2, 38114(31%)
minecraft.mined.lectern: #1, 1702(19%)
minecraft.dropped.firework_rocket: #2, 58233(15%)
minecraft.mined.nether_brick_fence: #1, 356(35%)
minecraft.used.lectern: #1, 1774(18%)
minecraft.crafted.black_dye: #1, 20433(18%)
minecraft.picked_up.iron_axe: #2, 229(27%)
minecraft.picked_up.barrel: #1, 623(16%)
minecraft.mined.spruce_wall_sign: #1, 109(20%)
minecraft.used.chain: #1, 1948(18%)
minecraft.mined.purple_concrete: #2, 2724(34%)
minecraft.used.netherite_pickaxe: #1, 1095885(20%)
minecraft.picked_up.crossbow: #2, 381(25%)
minecraft.custom.drop: #2, 53110(11%)
minecraft.custom.raid_win: #1, 34032(66%)
minecraft.used.black_banner: #1, 195(42%)
minecraft.dropped.glass_bottle: #2, 1523(17%)
minecraft.picked_up.paper: #2, 18540(15%)
minecraft.used.yellow_dye: #1, 66(26%)
minecraft.used.diamond_sword: #3, 182322(17%)
minecraft.crafted.gray_concrete_powder: #1, 13336(22%)
minecraft.used.wither_rose: #1, 6670(63%)
minecraft.crafted.white_carpet: #2, 5844(23%)
minecraft.mined.cobbled_deepslate_wall: #1, 97(29%)
minecraft.used.white_carpet: #2, 13420(23%)
minecraft.crafted.diamond_block: #1, 925(16%)
minecraft.used.purple_concrete_powder: #2, 2498(30%)
minecraft.used.barrel: #1, 1214(14%)
minecraft.picked_up.white_carpet: #2, 9754(23%)
minecraft.used.carrot: #2, 5227(17%)
minecraft.crafted.cracked_deepslate_tiles: #1, 296(67%)
minecraft.crafted.end_rod: #1, 4292(45%)
minecraft.mined.budding_amethyst: #1, 70(17%)
minecraft.dropped.beacon: #1, 58(57%)
minecraft.crafted.crossbow: #1, 48(33%)
minecraft.dropped.yellow_shulker_box: #1, 10(36%)
minecraft.picked_up.comparator: #2, 918(19%)
minecraft.used.yellow_glazed_terracotta: #1, 464(55%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #2, 10011(30%)
minecraft.used.white_stained_glass_pane: #2, 1801(23%)
