stat, rank, value, (percentage) 
minecraft.dropped.flint: #3, 438(4%)
minecraft.used.golden_shovel: #2, 12(2%)
minecraft.picked_up.dark_oak_sapling: #4, 1629(8%)
minecraft.used.cherry_sapling: #3, 107(6%)
minecraft.crafted.dark_oak_door: #4, 45(9%)
minecraft.dropped.prismarine: #4, 192(15%)
minecraft.picked_up.stripped_dark_oak_log: #4, 582(7%)
minecraft.crafted.brown_terracotta: #4, 540(12%)
minecraft.crafted.mossy_stone_brick_slab: #3, 18(9%)
minecraft.crafted.gold_ingot: #3, 28819(4%)
minecraft.dropped.sticky_piston: #3, 47(7%)
minecraft.mined.stripped_dark_oak_log: #4, 560(8%)
minecraft.picked_up.cherry_stairs: #3, 5(14%)
minecraft.used.stripped_dark_oak_log: #4, 421(9%)
minecraft.mined.cherry_planks: #3, 18(13%)
minecraft.crafted.bookshelf: #4, 1923(7%)
minecraft.picked_up.brown_stained_glass: #3, 83(11%)
minecraft.dropped.stone_shovel: #4, 13(9%)
minecraft.crafted.dark_prismarine: #4, 4096(17%)
minecraft.dropped.prismarine_bricks: #4, 192(14%)
minecraft.crafted.warped_button: #4, 98(9%)
minecraft.crafted.mossy_stone_brick_stairs: #3, 20(8%)
minecraft.mined.acacia_planks: #3, 76(4%)
minecraft.crafted.light_gray_stained_glass_pane: #4, 384(10%)
minecraft.dropped.crimson_button: #3, 1(20%)
minecraft.picked_up.stone_brick_wall: #5, 208(12%)
minecraft.crafted.chainmail_helmet: #3, 4(9%)
minecraft.mined.brown_carpet: #3, 57(3%)
minecraft.used.furnace_minecart: #4, 16(12%)
minecraft.mined.allium: #5, 78(12%)
minecraft.mined.wither_skeleton_wall_skull: #3, 2(7%)
minecraft.used.large_amethyst_bud: #4, 38(10%)
minecraft.dropped.hopper: #4, 77(8%)
minecraft.used.fletching_table: #4, 31(14%)
minecraft.picked_up.birch_door: #3, 4(4%)
minecraft.dropped.dark_prismarine: #4, 64(10%)
minecraft.picked_up.red_mushroom: #4, 436(5%)
minecraft.dropped.deepslate_tiles: #4, 58(8%)
minecraft.dropped.baked_potato: #4, 24(8%)
minecraft.crafted.light_blue_terracotta: #4, 1280(6%)
minecraft.used.red_mushroom_block: #4, 487(6%)
minecraft.crafted.carrot_on_a_stick: #3, 1(4%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #4, 16(10%)
minecraft.mined.dark_oak_planks: #5, 550(7%)
minecraft.custom.traded_with_villager: #5, 50506(8%)
minecraft.used.warped_stairs: #4, 352(5%)
minecraft.mined.dark_prismarine: #5, 127(8%)
minecraft.crafted.warped_stairs: #4, 340(4%)
minecraft.dropped.hay_block: #4, 61(7%)
minecraft.dropped.chainmail_boots: #4, 9(6%)
minecraft.dropped.sea_lantern: #4, 192(7%)
minecraft.used.prismarine_bricks: #4, 475(4%)
minecraft.crafted.apple: #4, 248(11%)
minecraft.picked_up.melon: #4, 72(6%)
minecraft.broken.golden_hoe: #4, 2(14%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #4, 16(7%)
minecraft.picked_up.rail: #5, 3511(7%)
minecraft.used.dark_oak_button: #4, 115(4%)
minecraft.picked_up.light_blue_terracotta: #4, 268(5%)
minecraft.mined.rail: #5, 2753(6%)
minecraft.dropped.flowering_azalea_leaves: #4, 68(5%)
minecraft.used.acacia_boat: #4, 8(6%)
minecraft.crafted.dark_oak_button: #5, 256(8%)
minecraft.custom.talked_to_villager: #6, 7154(9%)
minecraft.picked_up.cherry_planks: #4, 18(5%)
minecraft.used.brown_stained_glass: #4, 97(6%)
minecraft.mined.crimson_roots: #5, 536(6%)
minecraft.dropped.comparator: #4, 25(3%)
minecraft.used.sand: #5, 19495(5%)
minecraft.picked_up.turtle_egg: #4, 38(3%)
minecraft.mined.turtle_egg: #4, 38(3%)
minecraft.picked_up.furnace_minecart: #4, 4(5%)
minecraft.mined.purple_terracotta: #4, 36(3%)
minecraft.dropped.dark_oak_planks: #5, 187(5%)
minecraft.picked_up.green_wool: #5, 655(7%)
minecraft.mined.brown_stained_glass: #4, 19(4%)
minecraft.picked_up.melon_slice: #4, 252(1%)
minecraft.mined.birch_slab: #5, 42(7%)
minecraft.dropped.cooked_cod: #5, 12(7%)
minecraft.mined.cut_red_sandstone_slab: #4, 2(4%)
minecraft.picked_up.fermented_spider_eye: #4, 8(4%)
minecraft.mined.cherry_door: #4, 1(4%)
minecraft.crafted.spruce_button: #5, 94(4%)
minecraft.used.small_amethyst_bud: #4, 36(1%)
minecraft.used.acacia_planks: #4, 112(1%)
minecraft.crafted.stripped_acacia_wood: #4, 3(2%)
minecraft.crafted.orange_glazed_terracotta: #4, 5(1%)
minecraft.mined.magenta_wool: #5, 27(8%)
minecraft.used.prismarine: #5, 558(5%)
minecraft.mined.nether_wart_block: #6, 2929(8%)
minecraft.picked_up.red_mushroom_block: #5, 1959(3%)
minecraft.crafted.wooden_hoe: #5, 4(7%)
minecraft.dropped.mangrove_door: #5, 1(14%)
minecraft.used.dark_oak_fence_gate: #5, 96(5%)
minecraft.crafted.dark_oak_fence_gate: #5, 97(4%)
minecraft.broken.golden_axe: #5, 2(10%)
minecraft.picked_up.magenta_stained_glass: #5, 74(3%)
minecraft.picked_up.green_terracotta: #5, 412(2%)
minecraft.used.dark_oak_stairs: #6, 730(5%)
minecraft.used.salmon_bucket: #5, 1(9%)
minecraft.crafted.deepslate: #5, 120(6%)
minecraft.mined.flowering_azalea: #6, 126(5%)
minecraft.used.splash_potion: #6, 59(5%)
minecraft.crafted.stone: #6, 800(6%)
minecraft.mined.deepslate_tiles: #6, 456(5%)
minecraft.dropped.crimson_roots: #5, 92(2%)
minecraft.used.cherry_stairs: #5, 5(8%)
minecraft.mined.birch_door: #5, 1(7%)
minecraft.mined.dirt_path: #6, 316(5%)
minecraft.used.cherry_planks: #5, 21(4%)
minecraft.picked_up.stone_axe: #6, 5(6%)
minecraft.mined.dark_prismarine_slab: #5, 56(2%)
