stat, rank, value, (percentage) 
minecraft.mined.note_block: #10, 40(3%)
minecraft.used.stone_pickaxe: #10, 404(3%)
minecraft.crafted.grindstone: #10, 44(3%)
minecraft.picked_up.brewing_stand: #10, 15(4%)
minecraft.mined.oak_leaves: #10, 3092(2%)
minecraft.picked_up.weeping_vines: #10, 107(3%)
minecraft.used.glass: #10, 1936(2%)
minecraft.crafted.dark_oak_slab: #10, 1096(2%)
minecraft.dropped.birch_sapling: #10, 46(2%)
minecraft.picked_up.note_block: #10, 40(2%)
minecraft.used.flowering_azalea: #10, 45(2%)
minecraft.crafted.deepslate_bricks: #10, 984(2%)
minecraft.picked_up.lilac: #10, 276(2%)
minecraft.dropped.minecart: #10, 15(3%)
minecraft.mined.crimson_stem: #10, 514(2%)
minecraft.crafted.blue_bed: #10, 1(4%)
minecraft.mined.birch_sapling: #10, 10(2%)
minecraft.crafted.birch_stairs: #10, 60(2%)
minecraft.dropped.birch_leaves: #10, 65(2%)
minecraft.crafted.mossy_cobblestone_slab: #10, 42(2%)
minecraft.crafted.fermented_spider_eye: #10, 30(2%)
minecraft.dropped.lapis_lazuli: #10, 59(1%)
minecraft.picked_up.emerald: #10, 1355(1%)
minecraft.picked_up.stone_sword: #10, 8(1%)
minecraft.mined.mushroom_stem: #10, 509(1%)
minecraft.crafted.iron_pickaxe: #11, 18(4%)
minecraft.used.amethyst_cluster: #10, 31(1%)
minecraft.dropped.sandstone: #10, 96(1%)
minecraft.crafted.brown_concrete_powder: #10, 96(1%)
minecraft.used.warped_door: #10, 2(2%)
minecraft.dropped.stone_sword: #10, 8(1%)
minecraft.picked_up.pumpkin: #10, 209(1%)
minecraft.used.mushroom_stem: #10, 291(1%)
minecraft.mined.blue_wool: #10, 16(1%)
minecraft.picked_up.mushroom_stem: #10, 407(1%)
minecraft.dropped.glass: #10, 190(1%)
minecraft.used.sponge: #10, 162(1%)
minecraft.picked_up.smithing_table: #10, 6(1%)
minecraft.crafted.red_terracotta: #10, 408(1%)
minecraft.used.stripped_oak_wood: #10, 20(1%)
minecraft.crafted.name_tag: #10, 33(1%)
minecraft.used.brown_concrete: #10, 14(1%)
minecraft.mined.smoker: #10, 1(1%)
minecraft.picked_up.cyan_dye: #10, 12(1%)
minecraft.mined.mangrove_propagule: #10, 12(1%)
minecraft.crafted.clay: #10, 107(1%)
minecraft.picked_up.green_bed: #10, 5(0%)
minecraft.mined.stripped_dark_oak_wood: #10, 8(0%)
minecraft.used.stripped_dark_oak_wood: #10, 13(0%)
minecraft.mined.cherry_sapling: #10, 2(1%)
minecraft.picked_up.wither_skeleton_skull: #10, 11(0%)
minecraft.used.red_mushroom: #10, 22(0%)
minecraft.dropped.mud_bricks: #10, 2(0%)
minecraft.dropped.packed_mud: #10, 1(0%)
minecraft.dropped.ink_sac: #10, 18(0%)
minecraft.mined.wither_skeleton_skull: #10, 1(0%)
minecraft.used.dark_prismarine_stairs: #10, 4(0%)
minecraft.crafted.magenta_stained_glass: #10, 16(0%)
minecraft.used.cherry_leaves: #10, 4(0%)
minecraft.mined.lantern: #11, 39(3%)
minecraft.mined.spruce_fence: #11, 121(3%)
minecraft.picked_up.potato: #11, 808(3%)
minecraft.picked_up.spruce_planks: #11, 838(2%)
minecraft.crafted.birch_slab: #11, 270(3%)
minecraft.mined.dark_oak_door: #11, 4(4%)
minecraft.used.iron_shovel: #11, 2079(2%)
minecraft.mined.vine: #11, 285(2%)
minecraft.used.dark_oak_planks: #11, 665(2%)
minecraft.picked_up.blaze_rod: #11, 109(2%)
minecraft.crafted.crimson_planks: #11, 2150(2%)
minecraft.broken.iron_shovel: #11, 6(2%)
minecraft.picked_up.amethyst_cluster: #11, 132(2%)
minecraft.picked_up.cobblestone_wall: #11, 57(2%)
minecraft.used.birch_log: #11, 410(1%)
minecraft.broken.stone_hoe: #11, 1(4%)
minecraft.used.mossy_stone_bricks: #11, 74(2%)
minecraft.mined.piston: #11, 111(1%)
minecraft.picked_up.spruce_button: #11, 8(2%)
minecraft.used.dark_oak_sapling: #11, 127(1%)
minecraft.picked_up.warped_stairs: #11, 21(2%)
minecraft.picked_up.mangrove_sign: #11, 3(2%)
minecraft.mined.dark_oak_wood: #11, 12(2%)
minecraft.picked_up.cooked_salmon: #11, 10(2%)
minecraft.crafted.polished_granite: #11, 256(1%)
minecraft.used.allium: #11, 3(2%)
minecraft.used.sandstone: #11, 411(1%)
minecraft.used.grass: #11, 109(1%)
minecraft.picked_up.yellow_stained_glass: #11, 64(1%)
minecraft.mined.mangrove_door: #11, 1(2%)
minecraft.picked_up.oak_button: #11, 2(1%)
minecraft.crafted.warped_slab: #11, 144(1%)
minecraft.dropped.powered_rail: #11, 12(1%)
minecraft.picked_up.mangrove_door: #11, 1(1%)
minecraft.picked_up.crimson_fungus: #11, 70(1%)
minecraft.crafted.purple_stained_glass: #11, 256(1%)
minecraft.picked_up.wet_sponge: #11, 160(1%)
minecraft.mined.wet_sponge: #11, 162(1%)
minecraft.used.mossy_cobblestone_stairs: #11, 16(1%)
minecraft.used.cod: #11, 1(1%)
minecraft.used.cocoa_beans: #11, 69(1%)
minecraft.picked_up.dark_oak_wood: #11, 12(1%)
minecraft.picked_up.blaze_powder: #11, 10(1%)
minecraft.picked_up.smoker: #11, 1(1%)
minecraft.picked_up.prismarine_crystals: #11, 31(1%)
minecraft.used.purple_stained_glass: #11, 113(1%)
minecraft.used.bone_block: #11, 214(0%)
minecraft.used.stripped_spruce_wood: #11, 21(1%)
minecraft.used.green_bed: #11, 6(1%)
minecraft.mined.green_bed: #11, 5(0%)
minecraft.used.oak_leaves: #11, 285(0%)
minecraft.mined.birch_wood: #11, 1(1%)
minecraft.picked_up.mossy_stone_brick_stairs: #11, 1(1%)
minecraft.crafted.crimson_fence: #11, 12(0%)
minecraft.dropped.mangrove_log: #11, 2(0%)
minecraft.picked_up.stripped_dark_oak_wood: #11, 8(0%)
minecraft.picked_up.stripped_oak_wood: #11, 6(0%)
minecraft.mined.stripped_oak_wood: #11, 6(0%)
minecraft.used.air: #11, 9(0%)
minecraft.mined.cornflower: #12, 22(4%)
minecraft.dropped.stripped_oak_log: #11, 1(0%)
minecraft.dropped.mangrove_roots: #11, 4(0%)
minecraft.used.anvil: #12, 116(3%)
minecraft.crafted.ladder: #12, 351(3%)
minecraft.dropped.spruce_planks: #12, 103(3%)
minecraft.used.white_bed: #12, 76(2%)
minecraft.picked_up.minecart: #12, 77(2%)
minecraft.crafted.stone_hoe: #12, 3(3%)
minecraft.mined.spruce_log: #12, 4403(2%)
minecraft.used.grindstone: #12, 28(2%)
minecraft.picked_up.spruce_boat: #12, 17(2%)
minecraft.mined.repeater: #12, 92(2%)
minecraft.used.oak_stairs: #12, 62(2%)
minecraft.used.spruce_boat: #12, 15(2%)
minecraft.picked_up.lantern: #12, 108(1%)
minecraft.crafted.brown_carpet: #12, 96(2%)
minecraft.broken.iron_sword: #12, 1(4%)
minecraft.crafted.iron_block: #12, 2201(1%)
minecraft.used.note_block: #12, 80(2%)
minecraft.picked_up.podzol: #12, 331(1%)
minecraft.mined.oak_planks: #12, 196(1%)
minecraft.mined.brown_mushroom_block: #12, 759(2%)
minecraft.dropped.redstone_torch: #12, 25(2%)
minecraft.crafted.golden_carrot: #12, 1116(1%)
minecraft.crafted.note_block: #12, 73(1%)
minecraft.mined.warped_button: #12, 2(2%)
minecraft.used.stone_brick_wall: #12, 113(1%)
minecraft.picked_up.bell: #12, 6(1%)
minecraft.picked_up.grass: #12, 160(1%)
minecraft.picked_up.packed_ice: #12, 2471(1%)
minecraft.mined.packed_ice: #12, 2515(1%)
minecraft.mined.mossy_stone_bricks: #12, 19(1%)
minecraft.mined.cocoa: #12, 64(1%)
minecraft.used.diamond_chestplate: #12, 2(2%)
minecraft.crafted.iron_chestplate: #12, 5(1%)
minecraft.used.crimson_stem: #12, 342(1%)
minecraft.used.stripped_spruce_log: #12, 94(1%)
minecraft.used.cobblestone_wall: #12, 74(1%)
minecraft.picked_up.mossy_stone_bricks: #12, 18(1%)
minecraft.dropped.oak_button: #12, 1(2%)
minecraft.used.dark_oak_wood: #12, 66(1%)
minecraft.crafted.lime_terracotta: #12, 540(1%)
minecraft.used.smoker: #12, 2(1%)
minecraft.killed.cod: #12, 11(1%)
minecraft.picked_up.light_gray_stained_glass: #12, 64(1%)
minecraft.used.experience_bottle: #12, 289(1%)
minecraft.used.dark_prismarine_slab: #12, 56(1%)
minecraft.mined.oak_sapling: #12, 8(1%)
minecraft.crafted.stone_brick_slab: #12, 186(1%)
minecraft.used.light_gray_wool: #12, 224(1%)
minecraft.picked_up.lime_terracotta: #12, 65(1%)
minecraft.mined.deepslate_tile_wall: #12, 6(1%)
minecraft.crafted.enchanted_book: #12, 106(1%)
minecraft.picked_up.mangrove_leaves: #12, 387(1%)
minecraft.crafted.green_dye: #12, 128(1%)
minecraft.picked_up.warped_roots: #12, 129(0%)
minecraft.used.light_blue_stained_glass: #12, 34(1%)
minecraft.picked_up.magenta_wool: #12, 27(1%)
minecraft.dropped.dark_oak_leaves: #12, 4(1%)
minecraft.dropped.mangrove_planks: #12, 2(1%)
minecraft.crafted.spruce_planks: #13, 18832(3%)
minecraft.mined.crimson_fence: #12, 1(0%)
minecraft.mined.melon: #12, 15(0%)
minecraft.used.crimson_fence: #12, 6(0%)
minecraft.used.rotten_flesh: #12, 4(0%)
minecraft.picked_up.crimson_fence: #12, 1(0%)
minecraft.dropped.dark_oak_button: #12, 1(0%)
minecraft.used.cobblestone: #13, 3020(3%)
minecraft.mined.purple_wool: #12, 1(0%)
minecraft.picked_up.activator_rail: #12, 1(0%)
minecraft.mined.pink_terracotta: #12, 1(0%)
minecraft.mined.black_concrete_powder: #12, 8(0%)
minecraft.picked_up.green_carpet: #12, 8(0%)
minecraft.killed.wither_skeleton: #12, 36(0%)
minecraft.used.pink_terracotta: #12, 1(0%)
minecraft.crafted.diamond_axe: #13, 5(3%)
minecraft.picked_up.flowering_azalea: #13, 189(2%)
minecraft.picked_up.spruce_fence: #13, 139(2%)
minecraft.broken.shears: #13, 10(2%)
minecraft.picked_up.chain: #13, 104(2%)
minecraft.mined.dark_oak_trapdoor: #13, 45(2%)
minecraft.picked_up.birch_log: #13, 2256(2%)
minecraft.crafted.iron_shovel: #13, 8(2%)
minecraft.picked_up.birch_sapling: #13, 465(2%)
minecraft.mined.big_dripleaf: #13, 8(2%)
minecraft.mined.amethyst_cluster: #13, 468(2%)
minecraft.picked_up.stripped_crimson_stem: #13, 69(2%)
minecraft.crafted.mangrove_door: #13, 3(3%)
minecraft.mined.stripped_crimson_stem: #13, 69(2%)
minecraft.crafted.spruce_fence: #13, 372(2%)
minecraft.crafted.birch_planks: #13, 4332(1%)
minecraft.picked_up.birch_planks: #13, 269(1%)
minecraft.crafted.white_bed: #13, 13(1%)
minecraft.used.flowering_azalea_leaves: #13, 186(1%)
minecraft.picked_up.crimson_stem: #13, 552(1%)
minecraft.dropped.bucket: #13, 13(1%)
minecraft.picked_up.clay: #13, 742(1%)
minecraft.dropped.repeater: #13, 21(2%)
minecraft.used.cooked_cod: #13, 15(2%)
minecraft.used.yellow_wool: #13, 158(1%)
minecraft.picked_up.birch_leaves: #13, 604(1%)
minecraft.crafted.birch_door: #13, 3(2%)
minecraft.killed.elder_guardian: #13, 2(2%)
minecraft.dropped.stick: #13, 737(1%)
minecraft.mined.birch_trapdoor: #13, 8(1%)
minecraft.picked_up.bread: #13, 130(1%)
minecraft.dropped.spruce_boat: #13, 2(1%)
minecraft.picked_up.black_stained_glass: #13, 64(1%)
minecraft.broken.diamond_shovel: #13, 1(1%)
minecraft.picked_up.dark_oak_boat: #13, 6(1%)
minecraft.picked_up.diamond_horse_armor: #13, 1(2%)
minecraft.mined.quartz_slab: #13, 24(1%)
minecraft.used.birch_door: #13, 1(1%)
minecraft.dropped.weeping_vines: #13, 8(1%)
minecraft.crafted.mossy_stone_bricks: #13, 97(1%)
minecraft.crafted.light_gray_carpet: #13, 78(1%)
minecraft.used.cornflower: #13, 3(1%)
minecraft.crafted.dark_oak_wood: #13, 63(1%)
minecraft.picked_up.cocoa_beans: #13, 207(1%)
minecraft.picked_up.tropical_fish: #13, 38(1%)
minecraft.picked_up.gold_ingot: #13, 210(1%)
minecraft.used.clay: #13, 206(1%)
minecraft.mined.mangrove_log: #13, 76(1%)
minecraft.used.yellow_dye: #13, 2(1%)
minecraft.used.warped_planks: #13, 164(1%)
minecraft.used.mangrove_button: #13, 1(1%)
minecraft.dropped.rose_bush: #13, 7(1%)
minecraft.used.birch_leaves: #13, 142(0%)
minecraft.mined.mangrove_leaves: #13, 326(1%)
minecraft.used.mangrove_door: #13, 1(1%)
minecraft.mined.brown_concrete_powder: #13, 1(1%)
minecraft.crafted.polished_diorite: #13, 96(0%)
minecraft.crafted.mangrove_sign: #13, 3(1%)
minecraft.used.red_stained_glass: #13, 67(0%)
minecraft.mined.twisting_vines_plant: #13, 3(0%)
minecraft.broken.flint_and_steel: #13, 1(1%)
minecraft.used.wet_sponge: #13, 49(0%)
minecraft.crafted.birch_wood: #13, 15(0%)
minecraft.used.smithing_table: #13, 7(0%)
minecraft.killed.blaze: #13, 43(0%)
minecraft.mined.ochre_froglight: #13, 5(0%)
minecraft.mined.mangrove_fence: #13, 1(0%)
minecraft.mined.dark_oak_fence_gate: #13, 1(0%)
minecraft.used.yellow_stained_glass: #13, 32(0%)
minecraft.used.red_sand: #13, 3(0%)
minecraft.crafted.sugar: #13, 43(0%)
minecraft.mined.light_blue_stained_glass: #13, 2(0%)
minecraft.used.light_gray_bed: #13, 2(0%)
minecraft.picked_up.sandstone_wall: #13, 1(0%)
minecraft.used.stripped_warped_hyphae: #13, 2(0%)
minecraft.dropped.green_terracotta: #13, 1(0%)
minecraft.used.acacia_sapling: #13, 2(0%)
minecraft.broken.iron_pickaxe: #14, 8(3%)
minecraft.used.golden_carrot: #14, 1061(2%)
minecraft.mined.rose_bush: #14, 12(3%)
minecraft.picked_up.spruce_log: #14, 4628(2%)
minecraft.used.stonecutter: #14, 47(2%)
minecraft.used.composter: #14, 105(2%)
minecraft.picked_up.sand: #14, 35009(2%)
minecraft.killed.pig: #14, 11(2%)
minecraft.mined.birch_log: #14, 1945(2%)
minecraft.used.andesite: #14, 1147(2%)
minecraft.used.birch_trapdoor: #14, 45(2%)
minecraft.crafted.golden_helmet: #14, 2(2%)
minecraft.used.wooden_axe: #14, 18(2%)
minecraft.mined.dark_oak_sapling: #14, 7(2%)
minecraft.picked_up.azalea_leaves: #14, 1211(2%)
minecraft.picked_up.deepslate_tile_slab: #14, 70(2%)
minecraft.picked_up.flowering_azalea_leaves: #14, 403(1%)
minecraft.mined.yellow_shulker_box: #14, 77(1%)
minecraft.crafted.pink_dye: #14, 456(1%)
minecraft.mined.redstone_torch: #14, 37(1%)
minecraft.picked_up.dark_oak_trapdoor: #14, 50(1%)
minecraft.picked_up.piston: #14, 112(1%)
minecraft.picked_up.iron_horse_armor: #14, 1(2%)
minecraft.picked_up.hay_block: #14, 66(1%)
minecraft.used.birch_fence: #14, 62(1%)
minecraft.crafted.warped_door: #14, 3(2%)
minecraft.picked_up.black_concrete: #14, 538(1%)
minecraft.crafted.minecart: #14, 58(1%)
minecraft.used.painting: #14, 20(1%)
minecraft.mined.mossy_cobblestone_slab: #14, 3(1%)
minecraft.crafted.painting: #14, 6(1%)
minecraft.picked_up.yellow_wool: #14, 62(1%)
minecraft.dropped.coarse_dirt: #14, 32(1%)
minecraft.crafted.birch_fence: #14, 48(1%)
minecraft.picked_up.birch_trapdoor: #14, 10(1%)
minecraft.dropped.dark_oak_boat: #14, 1(1%)
minecraft.picked_up.deepslate_tile_stairs: #14, 31(1%)
minecraft.used.deepslate_lapis_ore: #14, 11(1%)
minecraft.picked_up.seagrass: #14, 33(1%)
minecraft.dropped.raw_iron: #14, 14(1%)
minecraft.picked_up.egg: #14, 173(1%)
minecraft.mined.birch_planks: #14, 86(1%)
minecraft.mined.spruce_fence_gate: #14, 7(1%)
minecraft.picked_up.sponge: #14, 107(1%)
minecraft.picked_up.mossy_cobblestone_slab: #14, 5(1%)
minecraft.mined.weeping_vines: #14, 9(1%)
minecraft.dropped.chainmail_chestplate: #14, 1(1%)
minecraft.picked_up.oxidized_cut_copper_stairs: #14, 7(1%)
minecraft.used.mossy_cobblestone_slab: #14, 19(1%)
minecraft.used.oak_wood: #14, 28(1%)
minecraft.picked_up.ice: #14, 650(0%)
minecraft.mined.mangrove_stairs: #14, 1(0%)
minecraft.mined.ice: #14, 614(0%)
minecraft.killed.wither: #14, 1(0%)
minecraft.crafted.light_gray_stained_glass: #14, 144(0%)
minecraft.dropped.golden_sword: #14, 3(0%)
minecraft.picked_up.blue_wool: #14, 12(0%)
minecraft.used.lime_stained_glass: #14, 32(0%)
minecraft.picked_up.dark_oak_fence_gate: #14, 2(0%)
minecraft.dropped.dropper: #14, 1(0%)
minecraft.mined.stripped_spruce_wood: #14, 5(0%)
minecraft.used.crimson_slab: #14, 54(0%)
minecraft.picked_up.oxeye_daisy: #14, 16(0%)
minecraft.picked_up.warped_slab: #14, 7(0%)
minecraft.used.stripped_birch_log: #14, 6(0%)
minecraft.picked_up.light_blue_stained_glass: #14, 2(0%)
minecraft.mined.purple_bed: #14, 1(0%)
minecraft.mined.smooth_sandstone_stairs: #14, 1(0%)
minecraft.picked_up.smooth_sandstone_stairs: #14, 1(0%)
minecraft.used.mangrove_propagule: #14, 3(0%)
minecraft.used.purple_wool: #14, 1(0%)
minecraft.used.sandstone_wall: #14, 1(0%)
minecraft.used.smooth_sandstone_stairs: #14, 1(0%)
minecraft.mined.cobblestone: #15, 1324(2%)
minecraft.mined.tall_grass: #15, 382(2%)
minecraft.picked_up.stick: #15, 2546(2%)
minecraft.dropped.golden_carrot: #15, 188(2%)
minecraft.crafted.rail: #15, 864(2%)
minecraft.crafted.spruce_stairs: #15, 432(2%)
minecraft.dropped.redstone_block: #15, 56(2%)
minecraft.dropped.birch_log: #15, 64(2%)
minecraft.used.diamond_hoe: #15, 9548(2%)
minecraft.mined.shroomlight: #15, 92(2%)
minecraft.killed_by.creeper: #15, 2(2%)
minecraft.killed_by.zombie: #15, 2(2%)
minecraft.picked_up.shroomlight: #15, 92(2%)
minecraft.picked_up.yellow_shulker_box: #15, 78(1%)
minecraft.mined.grindstone: #15, 8(2%)
minecraft.used.yellow_shulker_box: #15, 78(1%)
minecraft.used.cactus: #15, 71(2%)
minecraft.picked_up.crimson_planks: #15, 63(1%)
minecraft.used.dark_oak_fence: #15, 166(1%)
minecraft.picked_up.chainmail_chestplate: #15, 2(2%)
minecraft.picked_up.red_wool: #15, 161(1%)
minecraft.picked_up.deepslate_copper_ore: #15, 24(2%)
minecraft.mined.birch_leaves: #15, 869(1%)
minecraft.crafted.birch_trapdoor: #15, 42(1%)
minecraft.mined.dropper: #15, 32(1%)
minecraft.dropped.diorite: #15, 263(1%)
minecraft.dropped.rabbit: #15, 1(2%)
minecraft.used.spruce_sapling: #15, 207(1%)
minecraft.crafted.polished_deepslate: #15, 1048(1%)
minecraft.dropped.diamond_hoe: #15, 1(2%)
minecraft.used.azalea_leaves: #15, 415(1%)
minecraft.mined.dark_oak_fence: #15, 24(1%)
minecraft.mined.glass: #15, 171(1%)
minecraft.picked_up.cod: #15, 41(1%)
minecraft.used.moss_block: #15, 1494(1%)
minecraft.crafted.clock: #15, 3(1%)
minecraft.picked_up.painting: #15, 16(1%)
minecraft.used.flint_and_steel: #15, 137(1%)
minecraft.mined.powered_rail: #15, 77(1%)
minecraft.crafted.brewing_stand: #15, 5(1%)
minecraft.mined.black_concrete: #15, 551(1%)
minecraft.picked_up.brown_mushroom_block: #15, 409(1%)
minecraft.crafted.purple_dye: #15, 234(1%)
minecraft.mined.stone_bricks: #15, 253(1%)
minecraft.used.brown_mushroom_block: #15, 41(1%)
minecraft.mined.mangrove_roots: #15, 120(1%)
minecraft.mined.mangrove_planks: #15, 5(1%)
minecraft.used.warped_button: #15, 5(1%)
minecraft.mined.oxidized_cut_copper_stairs: #15, 6(1%)
minecraft.picked_up.spruce_fence_gate: #15, 7(1%)
minecraft.dropped.oak_sign: #15, 3(1%)
minecraft.picked_up.clock: #15, 1(1%)
minecraft.dropped.wooden_shovel: #15, 1(1%)
minecraft.used.bread: #15, 30(0%)
minecraft.used.birch_stairs: #15, 10(0%)
minecraft.crafted.deepslate_tile_stairs: #15, 8(0%)
minecraft.used.white_terracotta: #15, 78(0%)
minecraft.mined.sponge: #15, 50(0%)
minecraft.mined.yellow_bed: #15, 3(0%)
minecraft.dropped.enchanted_book: #15, 5(0%)
minecraft.picked_up.yellow_bed: #15, 3(0%)
minecraft.picked_up.bone_meal: #15, 706(0%)
minecraft.used.blue_bed: #15, 2(0%)
minecraft.crafted.cobblestone_stairs: #15, 8(0%)
minecraft.picked_up.mangrove_roots: #15, 119(0%)
minecraft.picked_up.mangrove_fence: #15, 1(0%)
minecraft.picked_up.mangrove_stairs: #15, 1(0%)
minecraft.picked_up.baked_potato: #15, 4(0%)
minecraft.crafted.beacon: #15, 1(0%)
minecraft.used.purple_bed: #15, 2(0%)
minecraft.picked_up.stripped_spruce_wood: #15, 5(0%)
minecraft.used.orange_stained_glass: #15, 32(0%)
minecraft.crafted.mangrove_stairs: #15, 4(0%)
minecraft.mined.spruce_wood: #15, 3(0%)
minecraft.used.quartz_block: #15, 46(0%)
minecraft.picked_up.crimson_slab: #15, 6(0%)
minecraft.dropped.charcoal: #15, 1(0%)
minecraft.mined.cyan_wool: #15, 1(0%)
minecraft.mined.sandstone_wall: #15, 1(0%)
minecraft.used.birch_button: #15, 1(0%)
minecraft.crafted.birch_fence_gate: #15, 1(0%)
minecraft.used.birch_fence_gate: #15, 1(0%)
minecraft.picked_up.raw_iron_block: #15, 9(0%)
minecraft.used.mangrove_stairs: #15, 1(0%)
minecraft.picked_up.sugar: #15, 4(0%)
minecraft.picked_up.purple_wool: #15, 1(0%)
minecraft.custom.use_cauldron: #15, 1(0%)
minecraft.mined.poppy: #16, 77(2%)
minecraft.picked_up.shield: #16, 6(2%)
minecraft.crafted.chain: #16, 252(2%)
minecraft.mined.stonecutter: #16, 35(2%)
minecraft.picked_up.grass_block: #16, 10455(1%)
minecraft.mined.moss_carpet: #16, 164(1%)
minecraft.mined.beacon: #16, 9(2%)
minecraft.used.spruce_fence: #16, 325(2%)
minecraft.used.gravel: #16, 480(1%)
minecraft.picked_up.brown_mushroom: #16, 170(2%)
minecraft.broken.stone_axe: #16, 1(3%)
minecraft.used.damaged_anvil: #16, 3(2%)
minecraft.picked_up.iron_ingot: #16, 679(1%)
minecraft.picked_up.spruce_sapling: #16, 308(1%)
minecraft.mined.sand: #16, 20196(1%)
minecraft.used.wheat_seeds: #16, 694(1%)
minecraft.picked_up.dark_oak_door: #16, 5(1%)
minecraft.picked_up.splash_potion: #16, 9(1%)
minecraft.mined.flowering_azalea_leaves: #16, 314(1%)
minecraft.killed.magma_cube: #16, 127(1%)
minecraft.mined.bamboo: #16, 273(1%)
minecraft.used.bamboo: #16, 103(1%)
minecraft.picked_up.amethyst_shard: #16, 1586(1%)
minecraft.mined.azalea_leaves: #16, 813(1%)
minecraft.picked_up.salmon: #16, 24(1%)
minecraft.crafted.dark_oak_fence: #16, 144(1%)
minecraft.used.piston: #16, 152(1%)
minecraft.picked_up.spore_blossom: #16, 6(1%)
minecraft.custom.play_noteblock: #16, 45(1%)
minecraft.dropped.crafting_table: #16, 7(1%)
minecraft.mined.farmland: #16, 9(1%)
minecraft.picked_up.bucket: #16, 13(1%)
minecraft.picked_up.diamond_hoe: #16, 3(1%)
minecraft.used.glass_bottle: #16, 80(1%)
minecraft.picked_up.coarse_dirt: #16, 140(1%)
minecraft.mined.stone_brick_wall: #16, 6(1%)
minecraft.used.red_wool: #16, 83(1%)
minecraft.crafted.warped_planks: #16, 872(1%)
minecraft.mined.crimson_trapdoor: #16, 4(1%)
minecraft.picked_up.big_dripleaf: #16, 32(1%)
minecraft.used.spore_blossom: #16, 3(1%)
minecraft.dropped.dandelion: #16, 13(1%)
minecraft.crafted.chest_minecart: #16, 1(1%)
minecraft.picked_up.stone_bricks: #16, 246(0%)
minecraft.killed.salmon: #16, 9(1%)
minecraft.picked_up.axolotl_bucket: #16, 1(1%)
minecraft.picked_up.crimson_trapdoor: #16, 4(1%)
minecraft.used.chest_minecart: #16, 1(1%)
minecraft.mined.orange_wool: #16, 12(1%)
minecraft.crafted.stone_slab: #16, 204(0%)
minecraft.used.spruce_button: #16, 5(0%)
minecraft.used.azalea: #16, 22(0%)
minecraft.used.acacia_log: #16, 53(0%)
minecraft.picked_up.orange_wool: #16, 18(0%)
minecraft.picked_up.quartz_block: #16, 112(0%)
minecraft.picked_up.pumpkin_seeds: #16, 236(0%)
minecraft.dropped.ladder: #16, 5(0%)
minecraft.used.black_concrete: #16, 318(0%)
minecraft.used.yellow_bed: #16, 3(0%)
minecraft.picked_up.deepslate_tile_wall: #16, 6(0%)
minecraft.dropped.name_tag: #16, 2(0%)
minecraft.crafted.iron_hoe: #16, 1(0%)
minecraft.used.warped_slab: #16, 25(0%)
minecraft.crafted.glowstone: #16, 44(0%)
minecraft.used.wither_skeleton_skull: #16, 4(0%)
minecraft.used.mangrove_sign: #16, 1(0%)
minecraft.mined.stripped_acacia_log: #16, 4(0%)
minecraft.picked_up.stripped_acacia_log: #16, 4(0%)
minecraft.picked_up.birch_wood: #16, 1(0%)
minecraft.used.mangrove_roots: #16, 12(0%)
minecraft.used.birch_wood: #16, 5(0%)
minecraft.mined.crimson_slab: #16, 3(0%)
minecraft.picked_up.purple_bed: #16, 1(0%)
minecraft.mined.light_gray_wool: #16, 2(0%)
minecraft.dropped.mud: #16, 1(0%)
minecraft.mined.orange_concrete: #16, 10(0%)
minecraft.crafted.polished_andesite_stairs: #16, 1(0%)
minecraft.used.mangrove_fence: #16, 1(0%)
minecraft.dropped.cyan_terracotta: #16, 1(0%)
minecraft.picked_up.red_sand: #16, 17(0%)
minecraft.mined.red_sand: #16, 15(0%)
minecraft.mined.warped_slab: #16, 1(0%)
minecraft.picked_up.cyan_wool: #16, 1(0%)
minecraft.dropped.polished_andesite: #16, 1(0%)
minecraft.used.cut_sandstone: #16, 2(0%)
minecraft.crafted.stone_pickaxe: #17, 4(2%)
minecraft.crafted.spruce_trapdoor: #17, 424(2%)
minecraft.picked_up.azalea: #17, 263(2%)
minecraft.used.iron_sword: #17, 216(2%)
minecraft.dropped.dirt: #17, 1272(1%)
minecraft.picked_up.furnace: #17, 46(1%)
minecraft.mined.redstone_ore: #17, 29(2%)
minecraft.picked_up.written_book: #17, 9(1%)
minecraft.used.spruce_log: #17, 617(1%)
minecraft.mined.damaged_anvil: #17, 3(2%)
minecraft.picked_up.oak_planks: #17, 205(1%)
minecraft.mined.fire: #17, 218(1%)
minecraft.picked_up.repeater: #17, 94(1%)
minecraft.used.poppy: #17, 7(1%)
minecraft.picked_up.redstone_torch: #17, 83(1%)
minecraft.used.moss_carpet: #17, 196(1%)
minecraft.custom.pot_flower: #17, 15(1%)
minecraft.crafted.coarse_dirt: #17, 432(1%)
minecraft.picked_up.porkchop: #17, 22(1%)
minecraft.picked_up.cobblestone_stairs: #17, 22(1%)
minecraft.custom.horse_one_cm: #17, 553192(1%)
minecraft.used.shield: #17, 48(1%)
minecraft.picked_up.deepslate_iron_ore: #17, 44(1%)
minecraft.mined.spore_blossom: #17, 4(1%)
minecraft.mined.oak_stairs: #17, 14(1%)
minecraft.mined.emerald_block: #17, 119(1%)
minecraft.crafted.birch_sign: #17, 30(1%)
minecraft.picked_up.dropper: #17, 32(1%)
minecraft.picked_up.grindstone: #17, 9(1%)
