stat, rank, value, (percentage) 
minecraft.used.bone_block: #2, 6000(11%)
minecraft.mined.flower_pot: #2, 31(15%)
minecraft.crafted.polished_deepslate_stairs: #2, 471(16%)
minecraft.crafted.bamboo_planks: #2, 2680(19%)
minecraft.used.red_nether_brick_wall: #1, 31(54%)
minecraft.mined.stripped_birch_log: #3, 1888(14%)
minecraft.dropped.jungle_door: #1, 31(72%)
minecraft.mined.birch_fence: #2, 185(14%)
minecraft.crafted.acacia_slab: #2, 462(17%)
minecraft.dropped.gray_concrete_powder: #1, 71(54%)
minecraft.dropped.tube_coral: #1, 5(71%)
minecraft.dropped.dead_bubble_coral_block: #1, 5(71%)
minecraft.mined.moss_carpet: #2, 1109(10%)
minecraft.used.birch_trapdoor: #2, 305(15%)
minecraft.used.cherry_hanging_sign: #1, 12(71%)
minecraft.used.sandstone_wall: #2, 1984(22%)
minecraft.used.birch_slab: #3, 958(22%)
minecraft.used.bamboo_stairs: #1, 12(52%)
minecraft.used.tuff: #2, 4892(10%)
minecraft.crafted.red_nether_brick_stairs: #1, 25(42%)
minecraft.mined.nether_wart: #2, 1272(13%)
minecraft.dropped.oak_leaves: #2, 422(13%)
minecraft.dropped.red_concrete_powder: #1, 64(52%)
minecraft.used.waxed_exposed_copper: #2, 215(26%)
minecraft.mined.pink_shulker_box: #2, 271(13%)
minecraft.mined.carved_pumpkin: #3, 2992(14%)
minecraft.custom.deaths: #3, 576(8%)
minecraft.dropped.horn_coral: #1, 3(50%)
minecraft.mined.bamboo_fence: #1, 15(50%)
minecraft.used.gray_dye: #1, 9(25%)
minecraft.dropped.mossy_cobblestone_wall: #1, 11(50%)
minecraft.dropped.netherite_scrap: #1, 8(50%)
minecraft.picked_up.cherry_hanging_sign: #1, 16(67%)
minecraft.used.decorated_pot: #2, 147(20%)
minecraft.picked_up.orange_dye: #2, 287(23%)
minecraft.picked_up.pink_shulker_box: #2, 272(12%)
minecraft.used.light_blue_glazed_terracotta: #1, 45(49%)
minecraft.crafted.polished_blackstone_button: #2, 581(17%)
minecraft.used.polished_granite_slab: #2, 1225(17%)
minecraft.crafted.polished_andesite_stairs: #3, 430(25%)
minecraft.picked_up.azalea: #2, 1503(10%)
minecraft.used.orange_tulip: #1, 16(39%)
minecraft.crafted.warped_sign: #2, 255(15%)
minecraft.mined.cherry_leaves: #2, 4708(15%)
minecraft.picked_up.andesite: #2, 25718(9%)
minecraft.crafted.polished_diorite_stairs: #2, 124(24%)
minecraft.dropped.red_dye: #2, 148(15%)
minecraft.mined.orange_concrete_powder: #2, 427(36%)
minecraft.crafted.stripped_cherry_wood: #1, 162(95%)
minecraft.custom.traded_with_villager: #3, 99147(16%)
minecraft.picked_up.mangrove_hanging_sign: #1, 33(94%)
minecraft.picked_up.cherry_slab: #1, 16(47%)
minecraft.dropped.white_candle: #1, 64(94%)
minecraft.used.birch_pressure_plate: #2, 38(29%)
minecraft.mined.dark_oak_hanging_sign: #1, 5(62%)
minecraft.picked_up.pumpkin_pie: #3, 1851(12%)
minecraft.picked_up.pumpkin_seeds: #3, 10133(14%)
minecraft.crafted.mangrove_stairs: #2, 364(17%)
minecraft.used.stripped_cherry_wood: #1, 129(93%)
minecraft.dropped.decorated_pot: #1, 28(47%)
minecraft.dropped.gray_carpet: #2, 186(19%)
minecraft.dropped.andesite_slab: #1, 30(21%)
minecraft.used.birch_hanging_sign: #1, 35(61%)
minecraft.dropped.orange_concrete_powder: #1, 64(45%)
minecraft.picked_up.light_gray_concrete_powder: #3, 3695(20%)
minecraft.dropped.oak_planks: #3, 436(14%)
minecraft.crafted.mangrove_hanging_sign: #1, 18(60%)
minecraft.used.jungle_hanging_sign: #1, 22(45%)
minecraft.crafted.polished_granite_slab: #2, 530(23%)
minecraft.dropped.stripped_acacia_wood: #1, 8(44%)
minecraft.mined.jungle_hanging_sign: #1, 8(89%)
minecraft.crafted.gray_shulker_box: #2, 29(13%)
minecraft.picked_up.red_stained_glass: #2, 776(15%)
minecraft.crafted.ender_pearl: #1, 113(25%)
minecraft.dropped.acacia_button: #1, 6(25%)
minecraft.picked_up.polished_blackstone_button: #2, 223(15%)
minecraft.used.torch: #2, 15528(7%)
minecraft.dropped.light_blue_candle: #1, 63(86%)
minecraft.dropped.bricks: #2, 501(21%)
minecraft.picked_up.mangrove_pressure_plate: #2, 66(34%)
minecraft.used.cherry_sign: #1, 21(34%)
minecraft.crafted.dark_oak_fence_gate: #2, 341(14%)
minecraft.used.light_gray_wool: #2, 4247(13%)
minecraft.picked_up.painting: #2, 191(12%)
minecraft.custom.fly_one_cm: #3, 152922215(5%)
minecraft.dropped.iron_ore: #3, 461(16%)
minecraft.custom.fill_cauldron: #2, 122(14%)
minecraft.crafted.jungle_fence_gate: #2, 91(19%)
minecraft.crafted.bell: #2, 86(34%)
minecraft.mined.lime_terracotta: #3, 1297(14%)
minecraft.mined.oxidized_copper: #3, 4718(15%)
minecraft.used.armor_stand: #2, 313(9%)
minecraft.dropped.stripped_spruce_wood: #2, 27(33%)
minecraft.crafted.smithing_table: #3, 450(15%)
minecraft.dropped.blue_candle: #1, 63(83%)
minecraft.dropped.gold_ore: #2, 25(19%)
minecraft.crafted.light_gray_concrete_powder: #3, 10576(19%)
minecraft.crafted.stripped_oak_wood: #2, 198(38%)
minecraft.dropped.yellow_concrete_powder: #2, 64(44%)
minecraft.picked_up.glow_ink_sac: #2, 1235(10%)
minecraft.used.glass_pane: #3, 990(18%)
minecraft.crafted.cherry_slab: #2, 204(44%)
minecraft.picked_up.cobblestone_slab: #4, 2428(18%)
minecraft.mined.dead_bubble_coral: #1, 2(40%)
minecraft.dropped.light_gray_banner: #1, 4(80%)
minecraft.used.mangrove_trapdoor: #2, 402(12%)
minecraft.used.end_rod: #3, 849(14%)
minecraft.dropped.mossy_cobblestone_stairs: #1, 10(53%)
minecraft.crafted.spruce_fence_gate: #3, 434(15%)
minecraft.dropped.flower_pot: #2, 66(20%)
minecraft.crafted.daylight_detector: #2, 225(18%)
minecraft.picked_up.mossy_cobblestone_slab: #2, 84(13%)
minecraft.killed_by.zombie: #2, 11(13%)
minecraft.dropped.white_carpet: #2, 175(17%)
minecraft.mined.acacia_wall_sign: #2, 27(21%)
minecraft.dropped.smooth_stone: #3, 802(23%)
minecraft.crafted.lime_shulker_box: #2, 22(13%)
minecraft.used.fire_coral_fan: #2, 90(21%)
minecraft.custom.interact_with_smithing_table: #3, 177(11%)
minecraft.picked_up.smooth_quartz: #3, 1239(13%)
minecraft.dropped.lapis_ore: #2, 35(19%)
minecraft.dropped.stripped_bamboo_block: #1, 2(50%)
minecraft.dropped.cartography_table: #1, 4(50%)
minecraft.dropped.brain_coral: #1, 3(75%)
minecraft.dropped.oxidized_cut_copper: #1, 6(75%)
minecraft.dropped.dead_tube_coral_block: #1, 3(75%)
minecraft.crafted.crimson_hanging_sign: #1, 12(50%)
minecraft.crafted.cherry_hanging_sign: #1, 12(50%)
minecraft.mined.polished_granite_slab: #2, 207(13%)
minecraft.dropped.orange_banner: #1, 13(72%)
minecraft.crafted.iron_ingot: #3, 61009(10%)
minecraft.dropped.smooth_sandstone_stairs: #1, 5(71%)
minecraft.dropped.blue_dye: #2, 85(30%)
minecraft.crafted.cauldron: #2, 490(10%)
minecraft.dropped.spruce_door: #2, 21(16%)
minecraft.used.honey_block: #3, 1350(14%)
minecraft.used.dead_horn_coral_block: #2, 527(40%)
minecraft.used.weathered_cut_copper_slab: #2, 91(27%)
minecraft.dropped.cyan_shulker_box: #2, 9(10%)
minecraft.crafted.acacia_button: #2, 48(13%)
minecraft.dropped.tripwire_hook: #2, 15(22%)
minecraft.picked_up.leather: #3, 2403(11%)
minecraft.used.warped_slab: #3, 1961(19%)
minecraft.crafted.dripstone_block: #3, 2896(22%)
minecraft.used.warped_fence: #2, 282(14%)
minecraft.dropped.red_terracotta: #3, 438(16%)
minecraft.dropped.cobbled_deepslate_wall: #2, 140(34%)
minecraft.mined.seagrass: #2, 582(9%)
minecraft.picked_up.wheat: #3, 5549(10%)
minecraft.picked_up.stripped_cherry_wood: #2, 16(39%)
minecraft.used.cherry_wood: #2, 323(29%)
minecraft.dropped.warped_fence_gate: #1, 2(67%)
minecraft.mined.mangrove_wall_hanging_sign: #1, 4(67%)
minecraft.used.warped_door: #2, 20(17%)
minecraft.dropped.brick_wall: #1, 6(67%)
minecraft.crafted.mangrove_chest_boat: #1, 2(67%)
minecraft.picked_up.nether_brick_fence: #2, 322(17%)
minecraft.picked_up.polished_blackstone_stairs: #2, 395(13%)
minecraft.picked_up.seagrass: #2, 435(12%)
minecraft.picked_up.birch_hanging_sign: #1, 28(44%)
minecraft.used.oxidized_cut_copper_slab: #3, 2132(17%)
minecraft.used.polished_andesite_stairs: #3, 1662(12%)
minecraft.dropped.twisting_vines: #2, 38(21%)
minecraft.mined.brown_concrete: #3, 537(18%)
minecraft.picked_up.lime_glazed_terracotta: #2, 89(29%)
minecraft.mined.warped_wall_sign: #2, 40(14%)
minecraft.dropped.diamond_boots: #2, 16(8%)
minecraft.used.cobblestone_stairs: #2, 533(10%)
minecraft.used.bamboo_fence_gate: #1, 12(63%)
minecraft.used.oak_pressure_plate: #2, 12(14%)
minecraft.used.crimson_hanging_sign: #1, 5(62%)
minecraft.used.bundle: #3, 268(13%)
minecraft.custom.player_kills: #3, 90(9%)
minecraft.crafted.armor_stand: #2, 258(8%)
minecraft.mined.sandstone: #2, 24089(9%)
minecraft.mined.stripped_acacia_wood: #2, 90(20%)
minecraft.crafted.player_head: #2, 1456(15%)
minecraft.dropped.white_glazed_terracotta: #1, 68(61%)
minecraft.picked_up.armor_stand: #3, 249(12%)
minecraft.mined.andesite_slab: #2, 65(12%)
minecraft.used.glowstone: #3, 1245(13%)
minecraft.mined.blue_ice: #3, 1872(20%)
minecraft.mined.cherry_hanging_sign: #1, 3(60%)
minecraft.custom.aviate_one_cm: #4, 2147483647(9%)
minecraft.custom.talked_to_villager: #3, 8656(11%)
minecraft.mined.mangrove_button: #2, 6(27%)
minecraft.crafted.cherry_wood: #2, 375(27%)
minecraft.picked_up.warped_button: #2, 79(10%)
minecraft.crafted.jungle_sign: #2, 57(18%)
minecraft.mined.oxidized_cut_copper: #3, 85(20%)
minecraft.picked_up.sandstone: #2, 24121(9%)
minecraft.used.light_gray_stained_glass: #3, 7680(16%)
minecraft.mined.stone_brick_wall: #3, 102(14%)
minecraft.picked_up.torch: #3, 9627(8%)
minecraft.picked_up.weathered_copper: #3, 484(14%)
minecraft.mined.green_concrete_powder: #2, 264(11%)
minecraft.picked_up.smooth_sandstone_stairs: #3, 361(21%)
minecraft.crafted.nether_brick_fence: #2, 772(24%)
minecraft.used.mossy_cobblestone_wall: #2, 111(18%)
minecraft.used.dark_oak_hanging_sign: #1, 11(28%)
minecraft.used.coal_ore: #3, 2807(11%)
minecraft.picked_up.polished_andesite_slab: #3, 781(12%)
minecraft.mined.warped_planks: #3, 1289(14%)
minecraft.picked_up.milk_bucket: #2, 10(15%)
minecraft.dropped.filled_map: #3, 6785(11%)
minecraft.used.copper_block: #3, 5167(11%)
minecraft.used.diamond_shovel: #3, 364537(9%)
minecraft.used.mushroom_stem: #3, 4254(15%)
minecraft.picked_up.oxidized_cut_copper_stairs: #3, 168(15%)
minecraft.used.dark_oak_fence_gate: #2, 236(11%)
minecraft.crafted.crafting_table: #3, 245(8%)
minecraft.picked_up.stripped_cherry_log: #2, 252(18%)
minecraft.picked_up.polished_blackstone: #3, 745(14%)
minecraft.crafted.grindstone: #3, 168(12%)
minecraft.dropped.hopper_minecart: #2, 51(25%)
minecraft.used.wheat_seeds: #3, 6060(11%)
minecraft.picked_up.mangrove_chest_boat: #1, 2(50%)
minecraft.picked_up.crimson_hanging_sign: #1, 2(100%)
minecraft.used.mangrove_chest_boat: #1, 5(100%)
minecraft.crafted.lily_of_the_valley: #1, 7(100%)
minecraft.mined.crimson_hanging_sign: #1, 2(100%)
minecraft.mined.mangrove_hanging_sign: #1, 27(100%)
minecraft.mined.cherry_wall_hanging_sign: #1, 4(100%)
minecraft.dropped.end_stone_brick_slab: #1, 1(50%)
minecraft.dropped.black_candle: #1, 126(100%)
minecraft.dropped.light_gray_candle: #1, 63(100%)
minecraft.dropped.light_blue_concrete: #1, 1(100%)
minecraft.dropped.bubble_coral_block: #1, 2(100%)
minecraft.dropped.stripped_cherry_wood: #1, 1(100%)
minecraft.dropped.red_nether_brick_wall: #1, 5(100%)
minecraft.dropped.end_stone_brick_wall: #1, 3(100%)
minecraft.dropped.mossy_stone_brick_wall: #1, 4(100%)
minecraft.dropped.end_stone_brick_stairs: #1, 1(100%)
minecraft.dropped.dead_tube_coral_fan: #1, 4(100%)
minecraft.dropped.fletching_table: #1, 1(100%)
minecraft.dropped.orange_candle: #1, 189(100%)
minecraft.dropped.magenta_candle: #1, 189(100%)
minecraft.picked_up.mossy_cobblestone_stairs: #2, 33(15%)
minecraft.mined.stripped_cherry_log: #2, 253(18%)
minecraft.used.dark_oak_slab: #2, 2628(7%)
minecraft.mined.brick_wall: #2, 41(25%)
minecraft.crafted.snow: #3, 6426(17%)
minecraft.picked_up.jungle_trapdoor: #2, 1166(15%)
minecraft.picked_up.brick_wall: #2, 40(25%)
minecraft.custom.sleep_in_bed: #3, 2643(7%)
minecraft.dropped.lime_concrete_powder: #2, 65(32%)
minecraft.used.dark_oak_stairs: #3, 1354(10%)
minecraft.picked_up.yellow_glazed_terracotta: #2, 53(24%)
minecraft.mined.red_mushroom: #3, 242(17%)
minecraft.crafted.jungle_button: #2, 69(16%)
minecraft.used.snow: #3, 7853(12%)
minecraft.used.dark_oak_log: #3, 5320(10%)
minecraft.picked_up.white_dye: #3, 507(11%)
minecraft.mined.poppy: #3, 353(10%)
minecraft.used.mangrove_slab: #3, 478(13%)
minecraft.mined.polished_diorite_stairs: #2, 20(19%)
minecraft.mined.weathered_copper: #3, 450(14%)
minecraft.used.sandstone_slab: #2, 1174(18%)
minecraft.crafted.andesite_wall: #3, 990(18%)
minecraft.picked_up.dark_oak_sapling: #3, 2163(10%)
minecraft.picked_up.red_shulker_box: #3, 987(8%)
minecraft.crafted.cake: #2, 24(14%)
minecraft.picked_up.filled_map: #3, 8230(8%)
minecraft.used.oxidized_cut_copper: #3, 431(16%)
minecraft.crafted.blackstone_slab: #2, 194(16%)
minecraft.used.music_disc_blocks: #2, 13(16%)
minecraft.crafted.mangrove_slab: #3, 546(13%)
minecraft.mined.oak_pressure_plate: #2, 4(13%)
minecraft.used.stripped_mangrove_wood: #2, 259(20%)
minecraft.used.music_disc_mall: #2, 9(22%)
minecraft.used.music_disc_wait: #2, 27(30%)
minecraft.picked_up.orange_candle: #2, 189(36%)
minecraft.killed_by.creeper: #3, 12(10%)
minecraft.mined.spruce_fence_gate: #2, 80(9%)
minecraft.mined.bamboo_planks: #2, 7(15%)
minecraft.crafted.polished_deepslate_wall: #3, 365(15%)
minecraft.used.stripped_acacia_wood: #2, 61(20%)
minecraft.mined.kelp: #3, 648(12%)
minecraft.mined.red_shulker_box: #3, 981(8%)
minecraft.dropped.polished_granite: #2, 203(13%)
minecraft.used.grass: #3, 1319(15%)
minecraft.mined.brown_mushroom: #3, 484(12%)
minecraft.mined.smooth_sandstone_stairs: #3, 314(18%)
minecraft.picked_up.light_gray_candle: #2, 63(22%)
minecraft.dropped.chipped_anvil: #2, 4(25%)
minecraft.used.music_disc_mellohi: #2, 13(19%)
minecraft.crafted.raw_copper: #3, 14301(14%)
minecraft.crafted.redstone_block: #3, 4861(10%)
minecraft.dropped.glow_item_frame: #2, 21(29%)
minecraft.used.polished_andesite_slab: #4, 4015(15%)
minecraft.picked_up.loom: #3, 40(12%)
minecraft.mined.polished_blackstone_button: #2, 40(11%)
minecraft.dropped.water_bucket: #2, 27(6%)
minecraft.picked_up.polished_granite: #3, 742(13%)
minecraft.mined.cherry_planks: #2, 40(28%)
minecraft.used.red_shulker_box: #3, 1029(8%)
minecraft.mined.bamboo_sapling: #3, 22(13%)
minecraft.used.cherry_door: #2, 11(24%)
minecraft.picked_up.blue_concrete: #3, 326(14%)
minecraft.used.green_concrete_powder: #2, 3493(8%)
minecraft.used.trapped_chest: #2, 7(21%)
minecraft.crafted.cartography_table: #2, 90(10%)
minecraft.dropped.sculk_vein: #2, 73(18%)
minecraft.mined.stripped_dark_oak_wood: #3, 272(14%)
minecraft.used.dead_brain_coral_block: #2, 344(27%)
minecraft.used.blue_orchid: #2, 34(23%)
minecraft.custom.pot_flower: #3, 148(9%)
minecraft.mined.honey_block: #3, 178(10%)
minecraft.custom.jump: #4, 632200(6%)
minecraft.picked_up.cherry_door: #2, 10(32%)
minecraft.used.oxidized_cut_copper_stairs: #3, 691(13%)
minecraft.picked_up.polished_blackstone_slab: #3, 545(13%)
minecraft.picked_up.stick: #4, 13387(10%)
minecraft.picked_up.comparator: #3, 489(10%)
minecraft.crafted.cherry_planks: #3, 592(13%)
minecraft.dropped.orange_dye: #2, 32(17%)
minecraft.custom.play_record: #3, 120(9%)
minecraft.picked_up.lime_terracotta: #4, 1610(13%)
minecraft.picked_up.dark_oak_fence_gate: #2, 77(11%)
minecraft.picked_up.white_stained_glass: #3, 1465(12%)
minecraft.dropped.waxed_weathered_cut_copper_slab: #2, 3(30%)
minecraft.dropped.birch_pressure_plate: #2, 9(38%)
minecraft.used.torchflower: #2, 17(15%)
minecraft.picked_up.diamond_helmet: #4, 51(10%)
minecraft.dropped.gray_stained_glass_pane: #2, 41(30%)
minecraft.crafted.torch: #3, 13088(8%)
minecraft.crafted.mossy_cobblestone: #3, 3292(11%)
minecraft.used.blackstone_wall: #3, 657(19%)
minecraft.mined.mangrove_leaves: #3, 7419(12%)
minecraft.mined.snow_block: #4, 12234(11%)
minecraft.picked_up.black_stained_glass: #3, 653(10%)
minecraft.used.deepslate_copper_ore: #3, 143(15%)
minecraft.crafted.bamboo_raft: #3, 18(22%)
minecraft.crafted.acacia_sign: #3, 126(16%)
minecraft.used.music_disc_cat: #3, 35(14%)
minecraft.picked_up.polished_blackstone_wall: #3, 300(19%)
minecraft.crafted.andesite_stairs: #3, 204(16%)
minecraft.crafted.orange_banner: #2, 15(24%)
minecraft.picked_up.warped_stairs: #3, 161(13%)
minecraft.used.jungle_door: #3, 21(24%)
minecraft.mined.jukebox: #3, 59(10%)
minecraft.used.sculk_sensor: #3, 52(12%)
minecraft.dropped.diamond_pickaxe: #4, 38(9%)
minecraft.dropped.light_gray_dye: #2, 67(16%)
minecraft.used.music_disc_strad: #2, 9(12%)
minecraft.mined.light_blue_stained_glass_pane: #2, 113(12%)
minecraft.dropped.bamboo_slab: #2, 8(35%)
minecraft.used.cartography_table: #3, 33(15%)
minecraft.crafted.lectern: #3, 121(10%)
minecraft.crafted.mangrove_planks: #3, 2860(9%)
minecraft.dropped.diamond_sword: #3, 14(7%)
minecraft.crafted.tipped_arrow: #2, 128(34%)
minecraft.picked_up.stone_slab: #3, 1727(8%)
minecraft.used.dark_oak_fence: #3, 1131(8%)
minecraft.mined.yellow_stained_glass_pane: #2, 48(10%)
minecraft.used.jungle_sign: #2, 43(12%)
minecraft.picked_up.grass: #4, 1935(14%)
minecraft.picked_up.nether_wart: #3, 3812(10%)
minecraft.crafted.flower_pot: #3, 562(9%)
minecraft.crafted.acacia_hanging_sign: #2, 12(33%)
minecraft.dropped.polished_granite_slab: #3, 79(21%)
minecraft.crafted.mangrove_fence: #3, 243(12%)
minecraft.crafted.red_nether_brick_slab: #2, 56(33%)
minecraft.used.lantern: #4, 865(10%)
minecraft.picked_up.green_glazed_terracotta: #2, 107(12%)
minecraft.picked_up.iron_door: #3, 46(9%)
minecraft.picked_up.light_blue_candle: #2, 63(26%)
minecraft.custom.open_chest: #4, 58292(7%)
minecraft.crafted.barrel: #3, 616(8%)
minecraft.dropped.diamond_leggings: #3, 17(8%)
minecraft.used.spruce_fence: #3, 1655(8%)
minecraft.used.lime_terracotta: #3, 5128(8%)
minecraft.picked_up.dark_oak_slab: #3, 784(8%)
minecraft.mined.polished_andesite_slab: #3, 410(10%)
minecraft.dropped.smooth_sandstone_slab: #2, 10(31%)
minecraft.picked_up.stripped_dark_oak_wood: #3, 344(12%)
minecraft.dropped.spruce_pressure_plate: #2, 12(14%)
minecraft.picked_up.acacia_trapdoor: #3, 236(12%)
minecraft.dropped.diamond_axe: #3, 14(8%)
minecraft.used.mossy_cobblestone_stairs: #2, 125(8%)
minecraft.mined.kelp_plant: #3, 1182(9%)
minecraft.picked_up.chiseled_bookshelf: #2, 20(17%)
minecraft.dropped.andesite: #3, 1856(8%)
minecraft.mined.andesite: #3, 21767(7%)
minecraft.dropped.dark_oak_leaves: #3, 94(13%)
minecraft.mined.mangrove_roots: #3, 1956(10%)
minecraft.mined.dark_oak_slab: #3, 230(8%)
minecraft.dropped.glass: #3, 2087(10%)
minecraft.dropped.birch_sapling: #4, 239(12%)
minecraft.picked_up.yellow_stained_glass: #3, 631(14%)
minecraft.mined.dark_oak_log: #4, 18327(10%)
minecraft.mined.tall_seagrass: #3, 460(9%)
minecraft.used.azure_bluet: #2, 76(6%)
minecraft.used.bell: #3, 52(14%)
minecraft.dropped.target: #2, 8(19%)
minecraft.picked_up.music_disc_mellohi: #3, 13(16%)
minecraft.used.acacia_sign: #3, 97(13%)
minecraft.picked_up.dispenser: #3, 300(8%)
minecraft.mined.birch_slab: #3, 71(13%)
minecraft.dropped.warped_stem: #2, 200(10%)
minecraft.mined.stripped_cherry_wood: #2, 6(19%)
minecraft.mined.powered_rail: #4, 1187(12%)
minecraft.used.basalt: #4, 8949(11%)
minecraft.used.chicken: #3, 11(13%)
minecraft.used.sweet_berries: #4, 1964(10%)
minecraft.dropped.ender_chest: #3, 27(9%)
minecraft.used.powered_rail: #3, 3254(8%)
minecraft.dropped.deepslate_tile_wall: #2, 11(14%)
minecraft.crafted.birch_trapdoor: #3, 282(9%)
minecraft.mined.black_shulker_box: #4, 539(11%)
minecraft.used.polished_blackstone_slab: #2, 847(5%)
minecraft.picked_up.black_shulker_box: #4, 551(11%)
minecraft.used.pumpkin: #4, 3089(11%)
minecraft.crafted.mossy_cobblestone_stairs: #3, 60(16%)
minecraft.dropped.dark_oak_fence_gate: #2, 57(18%)
minecraft.picked_up.deepslate_brick_wall: #3, 221(11%)
minecraft.crafted.brown_terracotta: #3, 552(13%)
minecraft.picked_up.oak_stairs: #3, 232(8%)
minecraft.crafted.stone_pressure_plate: #3, 324(9%)
minecraft.dropped.polished_andesite_slab: #3, 146(14%)
minecraft.dropped.brown_concrete_powder: #2, 63(20%)
minecraft.dropped.yellow_glazed_terracotta: #2, 12(20%)
minecraft.dropped.light_blue_stained_glass_pane: #2, 18(10%)
minecraft.dropped.cracked_deepslate_tiles: #2, 40(20%)
minecraft.dropped.end_stone_bricks: #3, 58(13%)
minecraft.picked_up.red_concrete_powder: #2, 903(6%)
minecraft.mined.potted_orange_tulip: #2, 2(50%)
minecraft.mined.potted_azure_bluet: #2, 5(25%)
minecraft.mined.acacia_hanging_sign: #2, 1(50%)
minecraft.mined.red_nether_brick_wall: #2, 1(50%)
minecraft.mined.potted_dark_oak_sapling: #2, 1(50%)
minecraft.dropped.jungle_pressure_plate: #2, 2(50%)
minecraft.dropped.cherry_log: #2, 26(17%)
minecraft.mined.jungle_wall_hanging_sign: #2, 3(33%)
minecraft.dropped.netherite_leggings: #3, 6(11%)
minecraft.picked_up.packed_mud: #3, 193(9%)
minecraft.crafted.red_shulker_box: #3, 47(9%)
minecraft.used.red_nether_brick_stairs: #2, 24(20%)
minecraft.picked_up.ender_chest: #4, 1664(9%)
minecraft.mined.lapis_ore: #3, 330(7%)
minecraft.used.player_head: #4, 292(9%)
minecraft.dropped.light_gray_bed: #2, 2(13%)
minecraft.used.green_terracotta: #4, 6911(12%)
minecraft.picked_up.cartography_table: #3, 26(10%)
minecraft.dropped.anvil: #2, 18(7%)
minecraft.crafted.dark_oak_hanging_sign: #2, 12(18%)
minecraft.used.black_shulker_box: #4, 554(10%)
minecraft.crafted.oak_planks: #4, 21755(8%)
minecraft.picked_up.crimson_trapdoor: #3, 59(10%)
minecraft.used.brown_mushroom_block: #3, 533(9%)
minecraft.mined.brown_candle: #2, 7(18%)
minecraft.dropped.polished_granite_stairs: #2, 10(18%)
minecraft.mined.crimson_roots: #4, 1051(13%)
minecraft.mined.comparator: #4, 268(11%)
minecraft.used.cyan_terracotta: #4, 6741(10%)
minecraft.picked_up.stripped_acacia_wood: #3, 96(19%)
minecraft.crafted.white_dye: #4, 10466(10%)
minecraft.used.nether_brick_fence: #2, 243(9%)
minecraft.picked_up.stripped_birch_wood: #3, 248(16%)
minecraft.dropped.lantern: #3, 213(9%)
minecraft.mined.birch_wall_hanging_sign: #2, 3(43%)
minecraft.used.blue_stained_glass: #3, 132(14%)
minecraft.used.purple_dye: #3, 10(15%)
minecraft.used.dark_oak_trapdoor: #4, 1800(9%)
minecraft.used.brown_concrete_powder: #4, 520(13%)
minecraft.dropped.pink_carpet: #2, 5(28%)
minecraft.picked_up.trapped_chest: #2, 4(17%)
minecraft.crafted.bamboo_trapdoor: #3, 144(17%)
minecraft.used.stone_slab: #4, 8556(10%)
minecraft.dropped.red_banner: #2, 8(12%)
minecraft.picked_up.bell: #3, 38(9%)
minecraft.picked_up.blue_stained_glass: #3, 116(14%)
minecraft.used.diorite_stairs: #3, 171(18%)
minecraft.picked_up.muddy_mangrove_roots: #3, 858(11%)
minecraft.picked_up.clock: #3, 18(11%)
minecraft.dropped.coal_block: #3, 49(14%)
minecraft.mined.trapped_chest: #2, 5(20%)
minecraft.dropped.lime_candle: #2, 4(40%)
minecraft.crafted.stripped_birch_wood: #2, 312(26%)
minecraft.picked_up.mangrove_trapdoor: #3, 182(8%)
minecraft.picked_up.waxed_weathered_copper: #3, 314(10%)
minecraft.picked_up.purple_stained_glass_pane: #3, 58(14%)
minecraft.picked_up.sweet_berries: #4, 2755(8%)
minecraft.crafted.acacia_pressure_plate: #2, 10(8%)
minecraft.used.iron_trapdoor: #4, 695(12%)
minecraft.used.magenta_dye: #3, 8(16%)
minecraft.dropped.pink_bed: #2, 2(25%)
minecraft.dropped.bamboo_trapdoor: #2, 1(25%)
minecraft.picked_up.stone_brick_wall: #4, 221(12%)
minecraft.crafted.mangrove_trapdoor: #3, 292(8%)
minecraft.dropped.pink_concrete_powder: #2, 30(18%)
minecraft.crafted.powered_rail: #3, 2259(7%)
minecraft.crafted.acacia_fence_gate: #3, 20(19%)
minecraft.dropped.crimson_door: #2, 2(18%)
minecraft.picked_up.spruce_pressure_plate: #3, 21(11%)
minecraft.dropped.oak_button: #3, 8(14%)
minecraft.picked_up.creeper_head: #2, 3(14%)
minecraft.dropped.chain: #3, 122(10%)
minecraft.dropped.magenta_dye: #2, 13(14%)
minecraft.mined.acacia_log: #4, 2645(10%)
minecraft.used.nether_wart: #4, 1271(11%)
minecraft.picked_up.lantern: #4, 636(8%)
minecraft.used.suspicious_stew: #4, 26(13%)
minecraft.picked_up.warped_pressure_plate: #2, 23(11%)
minecraft.used.detector_rail: #3, 65(10%)
minecraft.used.acacia_hanging_sign: #2, 5(23%)
minecraft.picked_up.dark_oak_log: #4, 18762(8%)
minecraft.dropped.polished_blackstone_pressure_plate: #2, 16(23%)
minecraft.picked_up.ochre_froglight: #4, 383(13%)
minecraft.crafted.oak_fence_gate: #4, 137(14%)
minecraft.dropped.beef: #3, 110(9%)
minecraft.dropped.written_book: #4, 17(10%)
minecraft.crafted.cherry_pressure_plate: #2, 1(17%)
minecraft.dropped.bamboo_fence: #2, 2(33%)
minecraft.used.cyan_dye: #3, 52(12%)
minecraft.used.warped_sign: #4, 210(13%)
minecraft.dropped.lava_bucket: #3, 12(13%)
