stat, rank, value, (percentage) 
minecraft.picked_up.diamond_axe: #1, 198(20%)
minecraft.picked_up.diamond_shovel: #1, 204(20%)
minecraft.mined.dead_bubble_coral_block: #1, 1623(85%)
minecraft.used.jungle_log: #1, 2353(29%)
minecraft.crafted.polished_granite: #1, 6488(31%)
minecraft.used.pink_petals: #1, 2450(56%)
minecraft.mined.tube_coral_block: #1, 921(48%)
minecraft.used.acacia_log: #1, 3515(29%)
minecraft.used.granite_wall: #1, 1355(67%)
minecraft.mined.dead_brain_coral_block: #1, 1070(74%)
minecraft.crafted.jungle_slab: #1, 3138(39%)
minecraft.used.mossy_cobblestone_slab: #1, 1009(31%)
minecraft.picked_up.jungle_slab: #1, 906(47%)
minecraft.used.smooth_sandstone_slab: #1, 4179(59%)
minecraft.mined.dead_horn_coral_block: #1, 1332(72%)
minecraft.picked_up.spruce_leaves: #1, 17671(23%)
minecraft.mined.tube_coral_fan: #1, 183(43%)
minecraft.used.smooth_stone_slab: #1, 6179(25%)
minecraft.used.birch_door: #1, 33(49%)
minecraft.dropped.kelp: #1, 2735(25%)
minecraft.used.jungle_slab: #1, 3318(53%)
minecraft.dropped.red_candle: #1, 126(63%)
minecraft.picked_up.tube_coral: #1, 200(42%)
minecraft.used.birch_fence_gate: #1, 451(42%)
minecraft.picked_up.elytra: #1, 271(15%)
minecraft.used.copper_ore: #1, 4435(26%)
minecraft.picked_up.granite_wall: #1, 274(62%)
minecraft.used.flower_pot: #1, 477(23%)
minecraft.dropped.dandelion: #1, 487(23%)
minecraft.mined.tube_coral: #1, 209(41%)
minecraft.used.dirt: #1, 120251(17%)
minecraft.used.green_banner: #1, 281(61%)
minecraft.picked_up.blue_concrete_powder: #1, 315(24%)
minecraft.mined.dead_fire_coral_block: #1, 1751(86%)
minecraft.mined.oak_trapdoor: #1, 266(21%)
minecraft.crafted.birch_fence: #1, 1452(29%)
minecraft.mined.mangrove_slab: #1, 300(29%)
minecraft.picked_up.oak_trapdoor: #1, 352(20%)
minecraft.picked_up.bubble_coral_block: #1, 1249(43%)
minecraft.crafted.acacia_wood: #1, 2664(35%)
minecraft.used.mangrove_roots: #2, 2671(37%)
minecraft.crafted.birch_stairs: #1, 800(31%)
minecraft.used.egg: #2, 8411(23%)
minecraft.crafted.birch_pressure_plate: #1, 97(49%)
minecraft.crafted.polished_blackstone_wall: #1, 432(54%)
minecraft.mined.waxed_exposed_cut_copper_slab: #1, 150(53%)
minecraft.picked_up.dead_fire_coral_block: #1, 2052(73%)
minecraft.picked_up.cherry_log: #1, 2541(26%)
minecraft.crafted.mangrove_button: #1, 95(36%)
minecraft.crafted.birch_fence_gate: #1, 400(36%)
minecraft.crafted.granite_wall: #1, 526(64%)
minecraft.used.seagrass: #1, 272(52%)
minecraft.picked_up.stripped_birch_log: #2, 2105(23%)
minecraft.dropped.acacia_sign: #1, 79(57%)
minecraft.dropped.white_stained_glass: #1, 751(44%)
minecraft.used.netherite_hoe: #1, 106395(38%)
minecraft.picked_up.jungle_fence: #1, 227(57%)
minecraft.used.dead_tube_coral_block: #1, 333(81%)
minecraft.mined.cobblestone_slab: #3, 2362(29%)
minecraft.mined.andesite_wall: #1, 427(38%)
minecraft.used.fern: #1, 663(31%)
minecraft.used.light_gray_concrete_powder: #1, 13127(27%)
minecraft.killed_by.skeleton: #1, 26(24%)
minecraft.used.granite_slab: #1, 1267(28%)
minecraft.picked_up.iron_trapdoor: #1, 436(26%)
minecraft.crafted.oak_pressure_plate: #1, 42(35%)
minecraft.used.fire_coral_block: #1, 1742(62%)
minecraft.crafted.white_stained_glass: #1, 13496(24%)
minecraft.used.birch_stairs: #1, 634(31%)
minecraft.crafted.hopper: #1, 6942(20%)
minecraft.mined.granite_slab: #1, 429(35%)
minecraft.crafted.bamboo_fence: #1, 1392(92%)
minecraft.crafted.bow: #1, 1058(20%)
minecraft.crafted.yellow_stained_glass: #1, 6396(32%)
minecraft.mined.cherry_log: #1, 2554(27%)
minecraft.picked_up.diamond_sword: #1, 199(15%)
minecraft.crafted.detector_rail: #1, 390(42%)
minecraft.picked_up.brown_concrete: #1, 1028(30%)
minecraft.dropped.wheat_seeds: #1, 12905(16%)
minecraft.picked_up.pink_candle: #1, 64(60%)
minecraft.picked_up.birch_fence_gate: #1, 159(36%)
minecraft.used.stone: #1, 147684(16%)
minecraft.dropped.brain_coral_fan: #1, 105(89%)
minecraft.crafted.jungle_door: #1, 48(44%)
minecraft.used.green_wool: #1, 1826(33%)
minecraft.picked_up.tube_coral_block: #1, 906(38%)
minecraft.mined.fire_coral_block: #1, 1688(44%)
minecraft.dropped.oak_stairs: #1, 233(58%)
minecraft.dropped.sea_pickle: #1, 563(53%)
minecraft.used.stripped_jungle_log: #1, 1269(48%)
minecraft.used.daylight_detector: #1, 293(35%)
minecraft.crafted.painting: #1, 146(23%)
minecraft.picked_up.fire_coral_block: #1, 1637(40%)
minecraft.picked_up.dead_brain_coral_block: #1, 1514(52%)
minecraft.crafted.dark_oak_pressure_plate: #1, 81(34%)
minecraft.picked_up.polished_granite_stairs: #1, 354(74%)
minecraft.used.weathered_copper: #1, 300(25%)
minecraft.picked_up.jungle_fence_gate: #1, 122(51%)
minecraft.used.orange_stained_glass: #1, 5019(32%)
minecraft.used.oxidized_copper: #2, 5177(28%)
minecraft.dropped.smooth_sandstone: #1, 571(42%)
minecraft.dropped.golden_carrot: #2, 1854(17%)
minecraft.used.fire_coral: #1, 73(46%)
minecraft.crafted.smooth_quartz_stairs: #1, 1071(31%)
minecraft.used.spore_blossom: #1, 87(25%)
minecraft.picked_up.tripwire_hook: #1, 96(24%)
minecraft.crafted.polished_granite_stairs: #1, 181(55%)
minecraft.dropped.cobblestone_slab: #1, 584(27%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #1, 153(49%)
minecraft.used.birch_log: #2, 5590(20%)
minecraft.picked_up.dead_horn_coral_block: #1, 1841(62%)
minecraft.crafted.redstone: #1, 64039(17%)
minecraft.dropped.fire_coral_fan: #1, 64(81%)
minecraft.dropped.birch_door: #1, 51(81%)
minecraft.picked_up.smooth_sandstone_slab: #1, 581(48%)
minecraft.picked_up.oxidized_cut_copper: #1, 153(26%)
minecraft.dropped.purple_candle: #1, 63(94%)
minecraft.crafted.diorite_wall: #1, 636(34%)
minecraft.picked_up.water_bucket: #2, 227(17%)
minecraft.dropped.birch_stairs: #1, 66(67%)
minecraft.used.waxed_exposed_cut_copper_slab: #1, 513(52%)
minecraft.dropped.goat_horn: #1, 20(20%)
minecraft.used.grindstone: #1, 232(17%)
minecraft.picked_up.blackstone_wall: #1, 290(38%)
minecraft.picked_up.compass: #1, 535(13%)
minecraft.picked_up.warped_trapdoor: #1, 287(23%)
minecraft.used.bamboo_fence: #1, 1052(90%)
minecraft.crafted.jungle_fence: #1, 639(41%)
minecraft.crafted.light_gray_dye: #1, 5301(17%)
minecraft.picked_up.birch_leaves: #2, 11368(19%)
minecraft.picked_up.honey_block: #1, 679(17%)
minecraft.dropped.compass: #1, 461(15%)
minecraft.picked_up.sandstone_wall: #1, 317(29%)
minecraft.picked_up.granite_slab: #1, 427(25%)
minecraft.used.white_stained_glass: #2, 10712(24%)
minecraft.dropped.horn_coral_fan: #1, 67(72%)
minecraft.picked_up.daylight_detector: #1, 110(39%)
minecraft.used.bamboo: #2, 2001(20%)
minecraft.used.birch_fence: #2, 1242(24%)
