stat, rank, value, (percentage) 
minecraft.mined.packed_ice: #27, 3(0%)
minecraft.picked_up.coal: #28, 863(0%)
minecraft.mined.coal_ore: #28, 568(0%)
minecraft.custom.walk_one_cm: #28, 6055383(0%)
minecraft.custom.open_enderchest: #28, 196(0%)
minecraft.used.chest: #28, 63(0%)
minecraft.picked_up.iron_leggings: #28, 1(0%)
minecraft.used.diamond_shovel: #28, 4685(0%)
minecraft.mined.grass_block: #28, 959(0%)
minecraft.custom.pot_flower: #28, 2(0%)
minecraft.mined.lapis_ore: #28, 4(0%)
minecraft.mined.spruce_leaves: #28, 84(0%)
minecraft.mined.dirt: #28, 552(0%)
minecraft.mined.pumpkin: #28, 6(0%)
minecraft.used.anvil: #28, 2(0%)
minecraft.picked_up.wheat_seeds: #28, 131(0%)
minecraft.picked_up.bucket: #28, 1(0%)
minecraft.used.bucket: #28, 52(0%)
minecraft.picked_up.sticky_piston: #28, 3(0%)
minecraft.crafted.diamond: #28, 18(0%)
minecraft.mined.dark_oak_planks: #28, 4(0%)
minecraft.picked_up.oak_fence: #28, 1(0%)
minecraft.picked_up.pumpkin: #28, 12(0%)
minecraft.crafted.glass: #28, 128(0%)
minecraft.picked_up.oak_leaves: #28, 40(0%)
minecraft.custom.damage_dealt: #28, 21261(0%)
minecraft.used.redstone: #28, 30(0%)
minecraft.crafted.lever: #28, 2(0%)
minecraft.picked_up.rotten_flesh: #28, 24(0%)
minecraft.picked_up.glow_berries: #28, 2(0%)
minecraft.crafted.quartz_block: #28, 32(0%)
minecraft.custom.inspect_dispenser: #28, 8(0%)
minecraft.picked_up.redstone_torch: #28, 2(0%)
minecraft.picked_up.netherrack: #28, 164(0%)
minecraft.used.black_shulker_box: #28, 1(0%)
minecraft.picked_up.stone: #28, 436(0%)
minecraft.used.flint_and_steel: #28, 3(0%)
minecraft.custom.inspect_hopper: #28, 6(0%)
minecraft.mined.basalt: #28, 28(0%)
minecraft.picked_up.bone_meal: #28, 22(0%)
minecraft.picked_up.andesite: #28, 18(0%)
minecraft.mined.netherrack: #28, 126(0%)
minecraft.mined.andesite: #28, 18(0%)
minecraft.crafted.iron_block: #28, 6(0%)
minecraft.picked_up.magma_block: #28, 1(0%)
minecraft.mined.magma_block: #28, 1(0%)
minecraft.used.wheat_seeds: #28, 1(0%)
minecraft.killed.drowned: #28, 1(0%)
minecraft.crafted.diamond_axe: #29, 1(1%)
minecraft.used.crafting_table: #29, 24(0%)
minecraft.crafted.crafting_table: #29, 8(0%)
minecraft.mined.crafting_table: #29, 18(0%)
minecraft.used.carved_pumpkin: #29, 2(0%)
minecraft.custom.interact_with_crafting_table: #29, 161(0%)
minecraft.crafted.stick: #29, 560(0%)
minecraft.used.firework_rocket: #29, 974(0%)
minecraft.picked_up.spruce_sign: #29, 2(0%)
minecraft.killed.spider: #29, 3(0%)
minecraft.crafted.chest: #29, 65(0%)
minecraft.crafted.oak_planks: #29, 208(0%)
minecraft.used.lever: #29, 6(0%)
minecraft.used.gravel: #29, 24(0%)
minecraft.picked_up.raw_copper: #29, 164(0%)
minecraft.mined.copper_ore: #29, 37(0%)
minecraft.crafted.iron_ingot: #29, 304(0%)
minecraft.picked_up.flint: #29, 8(0%)
minecraft.used.granite: #29, 7(0%)
minecraft.picked_up.iron_ore: #29, 5(0%)
minecraft.picked_up.rose_bush: #29, 6(0%)
minecraft.used.redstone_torch: #29, 2(0%)
minecraft.mined.diorite: #29, 26(0%)
minecraft.picked_up.granite: #29, 18(0%)
minecraft.picked_up.carrot: #29, 7(0%)
minecraft.mined.granite: #29, 18(0%)
minecraft.picked_up.egg: #29, 2(0%)
minecraft.used.carrot: #29, 1(0%)
minecraft.crafted.redstone_torch: #29, 1(0%)
minecraft.crafted.paper: #29, 3(0%)
minecraft.mined.powder_snow: #30, 8(0%)
minecraft.picked_up.diamond_pickaxe: #30, 6(0%)
minecraft.picked_up.crafting_table: #30, 18(0%)
minecraft.custom.aviate_one_cm: #30, 25712820(0%)
minecraft.picked_up.water_bucket: #30, 2(0%)
minecraft.crafted.furnace: #30, 4(0%)
minecraft.mined.cobblestone: #30, 32(0%)
minecraft.picked_up.dirt: #30, 615(0%)
minecraft.dropped.cobblestone: #30, 47(0%)
minecraft.picked_up.cobblestone: #30, 700(0%)
minecraft.crafted.dark_oak_trapdoor: #30, 12(0%)
minecraft.mined.oak_leaves: #30, 64(0%)
minecraft.used.diamond_sword: #30, 351(0%)
minecraft.picked_up.iron_nugget: #30, 25(0%)
minecraft.mined.birch_leaves: #30, 26(0%)
minecraft.mined.stone: #30, 1044(0%)
minecraft.picked_up.diorite: #30, 25(0%)
minecraft.dropped.wheat_seeds: #30, 8(0%)
minecraft.crafted.shears: #30, 1(0%)
minecraft.mined.carrots: #30, 1(0%)
minecraft.killed.zombie: #30, 11(0%)
minecraft.picked_up.gunpowder: #30, 5(0%)
minecraft.picked_up.ink_sac: #30, 2(0%)
minecraft.used.egg: #30, 1(0%)
minecraft.dropped.bone: #30, 1(0%)
minecraft.used.andesite: #30, 1(0%)
minecraft.picked_up.diamond_axe: #31, 3(0%)
minecraft.picked_up.diamond_shovel: #31, 2(0%)
minecraft.custom.damage_taken: #31, 13777(0%)
minecraft.custom.open_barrel: #31, 169(0%)
minecraft.picked_up.spruce_planks: #31, 32(0%)
minecraft.used.stone: #31, 85(0%)
minecraft.used.written_book: #31, 3(0%)
minecraft.mined.wheat: #31, 1(0%)
minecraft.killed.creeper: #31, 2(0%)
minecraft.dropped.dirt: #31, 1(0%)
minecraft.dropped.arrow: #31, 1(0%)
minecraft.custom.deaths: #32, 12(0%)
minecraft.picked_up.diamond_sword: #32, 2(0%)
minecraft.picked_up.carved_pumpkin: #32, 22(0%)
minecraft.picked_up.lead: #32, 1(0%)
minecraft.dropped.torch: #32, 3(0%)
minecraft.dropped.bow: #32, 1(0%)
minecraft.picked_up.dark_oak_planks: #32, 4(0%)
minecraft.picked_up.emerald: #32, 9(0%)
minecraft.mined.moss_block: #32, 8(0%)
minecraft.picked_up.string: #32, 2(0%)
minecraft.picked_up.wheat: #32, 1(0%)
minecraft.custom.crouch_one_cm: #33, 175374(0%)
minecraft.used.dirt: #33, 178(0%)
minecraft.picked_up.moss_block: #33, 8(0%)
minecraft.picked_up.birch_planks: #33, 1(0%)
minecraft.picked_up.moss_carpet: #33, 2(0%)
minecraft.picked_up.diamond_helmet: #34, 1(0%)
minecraft.picked_up.diamond_leggings: #34, 1(0%)
minecraft.dropped.firework_rocket: #34, 64(0%)
minecraft.picked_up.snowball: #34, 15(0%)
minecraft.dropped.elytra: #35, 1(0%)
minecraft.dropped.diamond_pickaxe: #35, 1(0%)
minecraft.custom.walk_on_water_one_cm: #35, 139799(0%)
minecraft.picked_up.elytra: #35, 3(0%)
minecraft.picked_up.diamond_boots: #35, 1(0%)
minecraft.custom.time_since_death: #35, 154429(0%)
minecraft.picked_up.player_head: #35, 6(0%)
minecraft.picked_up.cooked_porkchop: #35, 15(0%)
minecraft.dropped.player_head: #35, 1(0%)
minecraft.custom.sneak_time: #39, 49488(0%)
minecraft.custom.fly_one_cm: #42, 7381705(0%)
minecraft.custom.play_time: #45, 2691189(0%)
minecraft.custom.total_world_time: #45, 2691189(0%)
minecraft.custom.leave_game: #47, 54(0%)
minecraft.custom.time_since_rest: #67, 801(0%)
