stat, rank, value, (percentage) 
minecraft.used.glow_ink_sac: #9, 150(4%)
minecraft.mined.stripped_birch_log: #8, 64(0%)
minecraft.dropped.torch: #9, 420(3%)
minecraft.dropped.nether_quartz_ore: #8, 15(1%)
minecraft.mined.mossy_cobblestone_wall: #8, 1(1%)
minecraft.dropped.acacia_leaves: #8, 6(1%)
minecraft.mined.blue_stained_glass: #8, 2(1%)
minecraft.mined.pink_terracotta: #8, 5(1%)
minecraft.picked_up.dispenser: #9, 149(4%)
minecraft.crafted.netherite_block: #8, 1(1%)
minecraft.mined.yellow_concrete_powder: #8, 7(0%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #8, 2(0%)
minecraft.dropped.campfire: #8, 1(0%)
minecraft.dropped.warped_stem: #8, 6(0%)
minecraft.crafted.written_book: #8, 2(0%)
minecraft.dropped.magenta_glazed_terracotta: #8, 1(0%)
minecraft.mined.dead_horn_coral_block: #8, 1(0%)
minecraft.mined.lapis_block: #8, 2(0%)
minecraft.crafted.spruce_door: #9, 24(4%)
minecraft.crafted.campfire: #9, 111(3%)
minecraft.used.copper_block: #9, 1401(3%)
minecraft.custom.open_barrel: #10, 6807(4%)
minecraft.picked_up.snow_block: #9, 2480(3%)
minecraft.picked_up.green_shulker_box: #9, 75(3%)
minecraft.used.green_shulker_box: #9, 74(2%)
minecraft.mined.green_shulker_box: #9, 74(3%)
minecraft.used.mangrove_sign: #9, 17(4%)
minecraft.picked_up.soul_torch: #9, 64(4%)
minecraft.used.suspicious_stew: #9, 6(3%)
minecraft.picked_up.deepslate_brick_slab: #9, 132(3%)
minecraft.picked_up.birch_leaves: #9, 1185(2%)
minecraft.picked_up.dark_oak_leaves: #9, 419(2%)
minecraft.crafted.mangrove_sign: #9, 18(4%)
minecraft.mined.gray_concrete_powder: #9, 24(3%)
minecraft.custom.play_noteblock: #9, 102(2%)
minecraft.crafted.polished_basalt: #9, 520(2%)
minecraft.used.player_head: #10, 141(4%)
minecraft.crafted.torch: #10, 7314(4%)
minecraft.picked_up.mud: #9, 1301(1%)
minecraft.used.polished_basalt: #9, 453(1%)
minecraft.picked_up.stripped_spruce_wood: #9, 49(2%)
minecraft.picked_up.cobbled_deepslate_slab: #9, 148(1%)
minecraft.picked_up.music_disc_strad: #9, 2(2%)
minecraft.picked_up.netherite_chestplate: #9, 1(3%)
minecraft.crafted.netherite_leggings: #9, 1(3%)
minecraft.picked_up.chiseled_stone_bricks: #9, 107(1%)
minecraft.crafted.brown_concrete_powder: #9, 96(1%)
minecraft.dropped.lantern: #9, 27(1%)
minecraft.mined.weathered_cut_copper: #9, 1(2%)
minecraft.mined.lantern: #10, 47(4%)
minecraft.mined.light_gray_terracotta: #9, 117(1%)
minecraft.picked_up.magenta_glazed_terracotta: #9, 19(1%)
minecraft.used.mossy_cobblestone_stairs: #9, 18(1%)
minecraft.crafted.netherite_scrap: #9, 41(1%)
minecraft.picked_up.light_blue_dye: #9, 8(1%)
minecraft.used.brown_terracotta: #9, 160(1%)
minecraft.crafted.chiseled_polished_blackstone: #9, 4(1%)
minecraft.used.twisting_vines: #9, 11(1%)
minecraft.used.brown_mushroom: #9, 42(1%)
minecraft.dropped.emerald: #9, 583(0%)
minecraft.mined.smoker: #9, 1(1%)
minecraft.mined.light_blue_stained_glass: #9, 8(1%)
minecraft.used.red_mushroom_block: #9, 46(1%)
minecraft.dropped.spruce_pressure_plate: #9, 1(1%)
minecraft.dropped.dark_oak_button: #9, 5(1%)
minecraft.dropped.polished_andesite_stairs: #9, 2(1%)
minecraft.dropped.stone_brick_wall: #9, 4(1%)
minecraft.dropped.polished_blackstone_button: #9, 7(1%)
minecraft.dropped.purple_dye: #9, 1(1%)
minecraft.dropped.mossy_cobblestone_slab: #9, 1(1%)
minecraft.dropped.map: #9, 2(0%)
minecraft.dropped.red_concrete: #9, 1(0%)
minecraft.dropped.mangrove_roots: #9, 5(0%)
minecraft.mined.barrel: #10, 105(3%)
minecraft.mined.emerald_ore: #10, 33(3%)
minecraft.picked_up.poisonous_potato: #10, 8(5%)
minecraft.crafted.iron_bars: #10, 1040(4%)
minecraft.picked_up.soul_lantern: #10, 42(4%)
minecraft.crafted.iron_sword: #10, 7(3%)
minecraft.picked_up.magma_block: #10, 1216(3%)
minecraft.used.mangrove_slab: #10, 126(3%)
minecraft.crafted.netherite_axe: #10, 1(6%)
minecraft.used.spruce_sapling: #10, 514(3%)
minecraft.used.bone_meal: #10, 7418(2%)
minecraft.mined.mangrove_slab: #10, 34(3%)
minecraft.mined.polished_deepslate: #10, 249(3%)
minecraft.picked_up.azalea_leaves: #10, 1894(2%)
minecraft.used.azalea_leaves: #10, 978(2%)
minecraft.crafted.cyan_shulker_box: #10, 10(3%)
minecraft.used.lapis_ore: #10, 26(3%)
minecraft.picked_up.cobbled_deepslate_stairs: #10, 42(3%)
minecraft.mined.dark_oak_leaves: #10, 1204(2%)
minecraft.mined.loom: #10, 6(3%)
minecraft.picked_up.lantern: #10, 124(2%)
minecraft.used.honeycomb: #10, 253(2%)
minecraft.mined.mangrove_planks: #10, 19(3%)
minecraft.used.white_dye: #10, 35(2%)
minecraft.picked_up.snowball: #10, 7052(1%)
minecraft.mined.polished_blackstone_slab: #10, 44(2%)
minecraft.crafted.polished_blackstone_slab: #10, 36(2%)
minecraft.used.yellow_wool: #10, 193(2%)
minecraft.used.mangrove_planks: #10, 62(2%)
minecraft.dropped.green_shulker_box: #10, 1(3%)
minecraft.mined.infested_deepslate: #10, 6(2%)
minecraft.used.chiseled_stone_bricks: #10, 103(1%)
minecraft.crafted.netherite_helmet: #10, 1(3%)
minecraft.picked_up.stone_brick_slab: #10, 107(1%)
minecraft.mined.blue_bed: #10, 7(1%)
minecraft.picked_up.blue_bed: #10, 7(1%)
minecraft.crafted.snow_block: #10, 1300(1%)
minecraft.mined.bell: #10, 4(1%)
minecraft.crafted.wooden_hoe: #10, 1(2%)
minecraft.crafted.netherite_ingot: #10, 19(1%)
minecraft.killed_by.player: #11, 74(3%)
minecraft.picked_up.polished_blackstone_button: #10, 14(1%)
minecraft.picked_up.crying_obsidian: #10, 54(1%)
minecraft.crafted.cobbled_deepslate_stairs: #10, 19(1%)
minecraft.used.pumpkin: #10, 154(1%)
minecraft.dropped.emerald_ore: #10, 1(1%)
minecraft.picked_up.smoker: #10, 1(1%)
minecraft.mined.deepslate_brick_wall: #10, 7(1%)
minecraft.dropped.glass_pane: #10, 10(1%)
minecraft.dropped.light_blue_dye: #10, 1(1%)
minecraft.mined.small_amethyst_bud: #10, 33(1%)
minecraft.used.orange_concrete: #10, 65(1%)
minecraft.mined.stripped_oak_log: #10, 64(0%)
minecraft.mined.chiseled_deepslate: #10, 2(1%)
minecraft.picked_up.small_amethyst_bud: #10, 33(0%)
minecraft.custom.player_kills: #11, 30(3%)
minecraft.picked_up.stripped_oak_log: #10, 64(0%)
minecraft.mined.magenta_glazed_terracotta: #10, 4(1%)
minecraft.dropped.mangrove_log: #10, 2(0%)
minecraft.killed.pufferfish: #10, 1(0%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #10, 2(0%)
minecraft.picked_up.red_nether_bricks: #10, 2(0%)
minecraft.dropped.chiseled_deepslate: #10, 1(0%)
minecraft.used.crying_obsidian: #10, 22(0%)
minecraft.picked_up.diamond_boots: #11, 27(3%)
minecraft.dropped.polished_basalt: #10, 6(0%)
minecraft.used.mangrove_propagule: #10, 8(0%)
minecraft.used.waxed_weathered_copper: #10, 2(0%)
minecraft.used.stripped_acacia_log: #10, 2(0%)
minecraft.used.blackstone_stairs: #10, 3(0%)
minecraft.used.redstone_lamp: #11, 145(4%)
minecraft.mined.chain: #11, 70(3%)
minecraft.picked_up.pumpkin_pie: #11, 365(2%)
minecraft.picked_up.iron_ingot: #11, 1339(2%)
minecraft.crafted.golden_helmet: #11, 3(4%)
minecraft.mined.iron_door: #11, 17(3%)
minecraft.mined.mangrove_stairs: #11, 10(5%)
minecraft.crafted.spruce_button: #11, 52(2%)
minecraft.picked_up.brown_mushroom: #11, 244(3%)
minecraft.dropped.bowl: #11, 7(3%)
minecraft.killed.silverfish: #11, 9(3%)
minecraft.used.diamond_axe: #12, 51825(4%)
minecraft.used.flowering_azalea: #11, 38(2%)
minecraft.picked_up.vine: #11, 164(2%)
minecraft.crafted.black_terracotta: #11, 512(2%)
minecraft.crafted.mangrove_stairs: #11, 56(3%)
minecraft.dropped.coal_ore: #11, 62(2%)
minecraft.crafted.mossy_cobblestone: #11, 512(2%)
minecraft.mined.gold_block: #11, 82(1%)
minecraft.crafted.tnt: #11, 1951(2%)
minecraft.mined.spruce_pressure_plate: #11, 2(2%)
minecraft.dropped.red_bed: #11, 1(3%)
minecraft.crafted.black_bed: #11, 1(3%)
minecraft.mined.note_block: #11, 14(1%)
minecraft.used.black_wool: #11, 134(1%)
minecraft.crafted.writable_book: #11, 15(1%)
minecraft.dropped.flint: #11, 98(1%)
minecraft.used.mangrove_stairs: #11, 31(2%)
minecraft.dropped.furnace: #11, 4(1%)
minecraft.picked_up.stone_stairs: #11, 60(1%)
minecraft.dropped.beef: #11, 16(1%)
minecraft.used.yellow_concrete: #11, 160(1%)
minecraft.used.blue_wool: #11, 43(1%)
minecraft.crafted.light_gray_wool: #11, 79(1%)
minecraft.dropped.oak_button: #11, 1(2%)
minecraft.crafted.deepslate_tile_stairs: #11, 20(1%)
minecraft.dropped.weeping_vines: #11, 9(1%)
minecraft.used.crimson_stairs: #11, 32(1%)
minecraft.crafted.white_terracotta: #11, 128(1%)
minecraft.picked_up.gold_ingot: #11, 266(1%)
minecraft.picked_up.pumpkin_seeds: #11, 505(1%)
minecraft.picked_up.deepslate_brick_wall: #11, 20(1%)
minecraft.dropped.glass: #11, 176(1%)
minecraft.picked_up.polished_basalt: #11, 63(1%)
minecraft.used.spruce_pressure_plate: #11, 4(1%)
minecraft.used.exposed_cut_copper: #11, 1(1%)
minecraft.mined.oxidized_cut_copper_stairs: #11, 7(1%)
minecraft.used.coal_block: #11, 27(1%)
minecraft.mined.dark_oak_fence_gate: #11, 2(1%)
minecraft.used.red_stained_glass_pane: #11, 12(1%)
minecraft.crafted.wooden_sword: #11, 10(1%)
minecraft.mined.acacia_wall_sign: #11, 1(1%)
minecraft.mined.gray_wool: #11, 23(0%)
minecraft.crafted.dripstone_block: #11, 64(0%)
minecraft.dropped.deepslate_brick_slab: #11, 4(0%)
minecraft.used.chiseled_deepslate: #11, 8(0%)
minecraft.dropped.poppy: #11, 147(0%)
minecraft.dropped.polished_granite_slab: #11, 1(0%)
minecraft.dropped.brown_mushroom_block: #11, 6(0%)
minecraft.crafted.heavy_weighted_pressure_plate: #11, 4(0%)
minecraft.picked_up.yellow_concrete_powder: #11, 7(0%)
minecraft.mined.stripped_birch_wood: #11, 1(0%)
minecraft.used.heavy_weighted_pressure_plate: #11, 4(0%)
minecraft.picked_up.barrel: #12, 122(3%)
minecraft.crafted.mangrove_planks: #12, 1104(4%)
minecraft.crafted.anvil: #12, 142(3%)
minecraft.picked_up.iron_door: #12, 17(3%)
minecraft.crafted.emerald: #12, 17630(3%)
minecraft.mined.pink_shulker_box: #12, 64(3%)
minecraft.used.pink_shulker_box: #12, 65(3%)
minecraft.picked_up.pink_shulker_box: #12, 63(3%)
minecraft.custom.damage_absorbed: #12, 557(2%)
minecraft.mined.cactus: #12, 53(2%)
minecraft.used.purple_shulker_box: #12, 40(3%)
minecraft.used.cactus: #12, 95(2%)
minecraft.mined.purple_shulker_box: #12, 37(3%)
minecraft.mined.brown_mushroom: #12, 73(2%)
minecraft.crafted.ender_chest: #12, 16(2%)
minecraft.mined.glow_lichen: #12, 412(1%)
minecraft.custom.eat_cake_slice: #12, 4(2%)
minecraft.crafted.mangrove_trapdoor: #12, 62(2%)
minecraft.used.mangrove_trapdoor: #12, 56(2%)
minecraft.dropped.mossy_cobblestone: #12, 19(1%)
minecraft.mined.pumpkin: #12, 96(1%)
minecraft.used.magma_block: #12, 287(1%)
minecraft.picked_up.mangrove_slab: #12, 21(1%)
minecraft.used.green_wool: #12, 87(2%)
minecraft.crafted.netherite_boots: #12, 1(2%)
minecraft.used.blue_concrete_powder: #12, 34(1%)
minecraft.used.blue_concrete: #12, 27(1%)
minecraft.dropped.birch_sign: #12, 7(1%)
minecraft.picked_up.weathered_cut_copper: #12, 1(2%)
minecraft.used.white_terracotta: #12, 172(1%)
minecraft.picked_up.light_gray_terracotta: #12, 113(1%)
minecraft.used.cobweb: #12, 16(1%)
minecraft.used.mud: #12, 325(1%)
minecraft.used.barrel: #13, 327(4%)
minecraft.picked_up.light_gray_wool: #12, 63(0%)
minecraft.crafted.deepslate_tile_wall: #12, 7(1%)
minecraft.used.cyan_concrete: #12, 77(1%)
minecraft.mined.mud_brick_wall: #12, 1(1%)
minecraft.mined.mangrove_propagule: #12, 10(0%)
minecraft.dropped.nether_gold_ore: #12, 3(1%)
minecraft.mined.red_bed: #12, 5(0%)
minecraft.crafted.light_blue_stained_glass: #12, 40(0%)
minecraft.crafted.gold_ingot: #12, 2113(0%)
minecraft.picked_up.gray_carpet: #12, 88(0%)
minecraft.mined.yellow_stained_glass_pane: #12, 1(0%)
minecraft.dropped.warped_roots: #12, 7(0%)
minecraft.mined.red_concrete_powder: #12, 2(0%)
minecraft.crafted.filled_map: #12, 23(0%)
minecraft.used.blue_stained_glass: #12, 1(0%)
minecraft.dropped.clay_ball: #12, 16(0%)
minecraft.dropped.cactus: #12, 5(0%)
minecraft.used.netherite_sword: #12, 46(0%)
minecraft.used.iron_bars: #13, 578(3%)
minecraft.picked_up.diamond_shovel: #13, 21(2%)
minecraft.dropped.written_book: #13, 4(2%)
minecraft.picked_up.flowering_azalea_leaves: #13, 597(2%)
minecraft.picked_up.purple_shulker_box: #13, 38(3%)
minecraft.mined.farmland: #13, 21(2%)
minecraft.picked_up.ghast_tear: #13, 12(2%)
minecraft.picked_up.apple: #13, 130(2%)
minecraft.used.glowstone: #13, 193(2%)
minecraft.mined.birch_leaves: #13, 1311(2%)
minecraft.picked_up.polished_deepslate: #13, 246(2%)
minecraft.used.deepslate_iron_ore: #13, 72(2%)
minecraft.picked_up.deepslate_redstone_ore: #13, 259(2%)
minecraft.mined.lightning_rod: #13, 20(2%)
minecraft.mined.iron_bars: #13, 47(2%)
minecraft.picked_up.loom: #13, 6(2%)
minecraft.picked_up.diamond_chestplate: #13, 5(2%)
minecraft.picked_up.mossy_cobblestone: #13, 147(1%)
minecraft.mined.warped_nylium: #13, 104(2%)
minecraft.picked_up.redstone_block: #13, 293(1%)
minecraft.used.diamond_boots: #13, 3(2%)
minecraft.picked_up.amethyst_cluster: #13, 102(1%)
minecraft.used.potion: #13, 89(1%)
minecraft.mined.lily_of_the_valley: #13, 5(1%)
minecraft.mined.mud: #13, 1399(1%)
minecraft.used.cobbled_deepslate_slab: #13, 366(1%)
minecraft.custom.tune_noteblock: #13, 327(1%)
minecraft.used.dark_oak_log: #13, 542(1%)
minecraft.used.polished_deepslate: #13, 693(1%)
minecraft.crafted.dark_oak_trapdoor: #13, 186(1%)
minecraft.picked_up.spruce_pressure_plate: #13, 3(2%)
minecraft.used.flint_and_steel: #13, 159(1%)
minecraft.picked_up.stripped_dark_oak_log: #13, 71(1%)
minecraft.mined.stripped_dark_oak_log: #13, 70(1%)
minecraft.picked_up.glow_lichen: #13, 373(1%)
minecraft.mined.spruce_button: #13, 2(1%)
minecraft.dropped.netherite_sword: #13, 1(2%)
minecraft.crafted.chiseled_stone_bricks: #13, 192(1%)
minecraft.used.snow: #13, 559(1%)
minecraft.picked_up.bell: #13, 4(1%)
minecraft.crafted.stone_sword: #13, 3(1%)
minecraft.used.bell: #13, 4(1%)
minecraft.mined.mangrove_roots: #13, 144(1%)
minecraft.used.oak_wood: #13, 42(1%)
minecraft.dropped.porkchop: #13, 6(1%)
minecraft.picked_up.emerald: #13, 697(0%)
minecraft.crafted.soul_lantern: #13, 34(1%)
minecraft.used.blue_bed: #13, 4(1%)
minecraft.used.amethyst_cluster: #13, 17(1%)
minecraft.picked_up.oxidized_cut_copper_stairs: #13, 7(1%)
minecraft.dropped.oxeye_daisy: #13, 2(1%)
minecraft.used.lime_wool: #13, 21(0%)
minecraft.dropped.cooked_porkchop: #13, 124(0%)
minecraft.picked_up.dark_oak_fence_gate: #13, 3(0%)
minecraft.dropped.cobblestone_wall: #13, 4(0%)
minecraft.crafted.emerald_block: #13, 277(0%)
minecraft.picked_up.pink_terracotta: #13, 5(0%)
minecraft.picked_up.chiseled_deepslate: #13, 3(0%)
minecraft.mined.purple_stained_glass: #13, 4(0%)
minecraft.picked_up.gray_concrete_powder: #13, 24(0%)
minecraft.dropped.black_dye: #13, 3(0%)
minecraft.picked_up.blue_stained_glass: #13, 2(0%)
minecraft.killed.enderman: #14, 29925(3%)
minecraft.picked_up.nether_brick: #13, 20(0%)
minecraft.dropped.chicken: #13, 27(0%)
minecraft.dropped.glowstone_dust: #13, 7(0%)
minecraft.used.cyan_stained_glass: #13, 16(0%)
minecraft.mined.brown_wool: #13, 1(0%)
minecraft.picked_up.polished_granite_slab: #13, 2(0%)
minecraft.mined.waxed_weathered_copper: #13, 2(0%)
minecraft.mined.polished_blackstone_wall: #13, 1(0%)
minecraft.dropped.cornflower: #13, 4(0%)
minecraft.dropped.stone_brick_slab: #13, 3(0%)
minecraft.picked_up.polished_blackstone_wall: #13, 1(0%)
minecraft.used.stone: #14, 26724(3%)
minecraft.used.firework_rocket: #14, 15729(2%)
minecraft.dropped.cyan_shulker_box: #14, 3(3%)
minecraft.mined.dandelion: #14, 123(3%)
minecraft.picked_up.diamond_axe: #14, 22(2%)
minecraft.used.enchanting_table: #14, 3(3%)
minecraft.killed.glow_squid: #14, 45(3%)
minecraft.used.bucket: #14, 2231(2%)
minecraft.crafted.dark_oak_planks: #14, 7284(2%)
minecraft.used.chain: #14, 250(2%)
minecraft.used.netherrack: #14, 3623(2%)
minecraft.picked_up.potato: #14, 563(2%)
minecraft.dropped.goat_horn: #14, 2(2%)
minecraft.killed_by.zombie: #14, 2(2%)
minecraft.used.dark_oak_planks: #14, 486(2%)
minecraft.crafted.quartz_block: #14, 1740(2%)
minecraft.mined.potatoes: #14, 112(2%)
minecraft.picked_up.flint: #14, 268(1%)
minecraft.mined.scaffolding: #14, 1453(1%)
minecraft.mined.brown_mushroom_block: #14, 720(2%)
minecraft.crafted.iron_boots: #14, 4(1%)
minecraft.dropped.spruce_trapdoor: #14, 15(1%)
minecraft.used.emerald_block: #14, 218(1%)
minecraft.used.music_disc_otherside: #14, 2(1%)
minecraft.used.glow_lichen: #14, 394(1%)
minecraft.picked_up.brown_mushroom_block: #14, 532(1%)
minecraft.used.lightning_rod: #14, 40(1%)
minecraft.crafted.cobbled_deepslate_slab: #14, 104(1%)
minecraft.crafted.observer: #14, 200(1%)
minecraft.used.observer: #14, 221(1%)
minecraft.custom.traded_with_villager: #14, 5310(1%)
minecraft.mined.black_wool: #14, 21(1%)
minecraft.used.hay_block: #14, 9(1%)
minecraft.used.totem_of_undying: #14, 7(1%)
minecraft.used.birch_sapling: #14, 130(1%)
minecraft.used.brown_concrete_powder: #14, 28(1%)
minecraft.picked_up.bowl: #14, 3(1%)
minecraft.mined.mangrove_wall_sign: #14, 1(1%)
minecraft.dropped.tropical_fish: #14, 9(0%)
minecraft.mined.coal_block: #14, 3(1%)
minecraft.mined.cobbled_deepslate_wall: #14, 2(1%)
minecraft.used.acacia_sign: #14, 4(1%)
minecraft.used.dark_oak_fence_gate: #14, 10(0%)
minecraft.dropped.red_dye: #14, 4(0%)
minecraft.crafted.gold_block: #14, 163(0%)
minecraft.picked_up.lapis_block: #14, 37(0%)
minecraft.dropped.big_dripleaf: #14, 2(0%)
minecraft.picked_up.mangrove_roots: #14, 133(0%)
minecraft.picked_up.red_bed: #14, 5(0%)
minecraft.used.andesite_wall: #14, 55(0%)
minecraft.crafted.polished_blackstone: #14, 96(0%)
minecraft.mined.green_wool: #14, 5(0%)
minecraft.crafted.hay_block: #14, 47(0%)
minecraft.crafted.acacia_sign: #14, 3(0%)
minecraft.dropped.dark_oak_trapdoor: #14, 4(0%)
minecraft.used.tnt: #14, 149(0%)
minecraft.mined.orange_terracotta: #14, 106(0%)
minecraft.picked_up.orange_terracotta: #14, 106(0%)
minecraft.used.light_blue_stained_glass: #14, 11(0%)
minecraft.crafted.golden_apple: #14, 6(0%)
minecraft.dropped.polished_deepslate: #14, 4(0%)
minecraft.dropped.amethyst_shard: #14, 10(0%)
minecraft.used.yellow_stained_glass: #14, 19(0%)
minecraft.dropped.cyan_terracotta: #14, 3(0%)
minecraft.crafted.gray_wool: #14, 7(0%)
minecraft.picked_up.andesite_wall: #14, 2(0%)
minecraft.picked_up.gray_stained_glass_pane: #14, 1(0%)
minecraft.picked_up.waxed_weathered_copper: #14, 2(0%)
minecraft.used.yellow_stained_glass_pane: #14, 1(0%)
minecraft.picked_up.acacia_leaves: #14, 3(0%)
minecraft.used.polished_blackstone_wall: #14, 1(0%)
minecraft.picked_up.diamond_pickaxe: #15, 39(2%)
minecraft.crafted.barrel: #15, 206(3%)
minecraft.picked_up.dark_oak_log: #15, 4804(2%)
minecraft.picked_up.azalea: #15, 302(2%)
minecraft.picked_up.iron_ore: #15, 487(2%)
minecraft.picked_up.diamond_helmet: #15, 8(2%)
minecraft.picked_up.leather: #15, 381(2%)
minecraft.picked_up.cobbled_deepslate: #15, 14823(2%)
minecraft.mined.wheat: #15, 503(1%)
minecraft.used.scaffolding: #15, 4337(2%)
minecraft.mined.spruce_leaves: #15, 1312(1%)
minecraft.dropped.netherite_helmet: #15, 1(2%)
minecraft.used.shroomlight: #15, 45(1%)
minecraft.picked_up.lightning_rod: #15, 20(1%)
minecraft.crafted.note_block: #15, 64(1%)
minecraft.dropped.glass_bottle: #15, 85(1%)
minecraft.dropped.poisonous_potato: #15, 1(2%)
minecraft.picked_up.warped_nylium: #15, 92(1%)
minecraft.picked_up.cobblestone_stairs: #15, 25(1%)
minecraft.mined.dark_oak_trapdoor: #15, 22(1%)
minecraft.picked_up.coal_block: #15, 65(1%)
minecraft.crafted.magenta_shulker_box: #15, 1(1%)
minecraft.mined.soul_sand: #15, 439(1%)
minecraft.dropped.pumpkin_pie: #15, 55(1%)
minecraft.mined.carrots: #15, 117(1%)
minecraft.picked_up.note_block: #15, 15(1%)
minecraft.used.stone_stairs: #15, 111(1%)
minecraft.dropped.lever: #15, 4(1%)
minecraft.used.bookshelf: #15, 138(1%)
minecraft.picked_up.chorus_fruit: #15, 64(1%)
minecraft.dropped.player_head: #15, 68(1%)
minecraft.dropped.wheat: #15, 24(1%)
minecraft.dropped.lapis_lazuli: #15, 34(1%)
minecraft.mined.stripped_spruce_log: #15, 77(1%)
minecraft.picked_up.stripped_spruce_log: #15, 77(1%)
minecraft.crafted.light_blue_dye: #15, 112(1%)
minecraft.picked_up.polished_andesite_slab: #15, 37(1%)
minecraft.mined.polished_deepslate_stairs: #15, 13(1%)
minecraft.mined.white_terracotta: #15, 136(0%)
minecraft.picked_up.pumpkin: #15, 129(0%)
minecraft.used.acacia_log: #15, 64(1%)
minecraft.picked_up.music_disc_blocks: #15, 1(1%)
minecraft.mined.ancient_debris: #15, 41(0%)
minecraft.crafted.brown_carpet: #15, 24(1%)
minecraft.picked_up.ancient_debris: #15, 41(0%)
minecraft.picked_up.white_terracotta: #15, 133(0%)
minecraft.crafted.polished_deepslate_wall: #15, 12(1%)
minecraft.dropped.apple: #15, 6(0%)
minecraft.killed.husk: #15, 1(1%)
minecraft.used.stripped_spruce_wood: #15, 14(0%)
minecraft.picked_up.cactus: #15, 349(0%)
minecraft.crafted.dark_oak_fence_gate: #15, 9(0%)
minecraft.crafted.dark_oak_wood: #15, 27(0%)
minecraft.dropped.firework_rocket: #15, 682(0%)
minecraft.mined.mangrove_trapdoor: #15, 6(0%)
minecraft.dropped.white_wool: #15, 13(0%)
minecraft.mined.brown_terracotta: #15, 251(0%)
minecraft.used.orange_wool: #15, 30(0%)
minecraft.mined.brown_concrete: #15, 8(0%)
minecraft.crafted.blue_concrete_powder: #15, 40(0%)
minecraft.used.mangrove_roots: #15, 15(0%)
minecraft.mined.red_stained_glass: #15, 3(0%)
minecraft.mined.stripped_dark_oak_wood: #15, 3(0%)
minecraft.crafted.yellow_stained_glass: #15, 32(0%)
minecraft.mined.orange_concrete: #15, 18(0%)
minecraft.used.gray_stained_glass: #15, 38(0%)
minecraft.mined.orange_stained_glass: #15, 2(0%)
minecraft.picked_up.purple_stained_glass: #15, 4(0%)
minecraft.crafted.raw_copper: #15, 117(0%)
minecraft.used.medium_amethyst_bud: #15, 1(0%)
minecraft.crafted.cracked_stone_bricks: #15, 11(0%)
minecraft.picked_up.cobbled_deepslate_wall: #15, 1(0%)
minecraft.mined.lime_stained_glass: #15, 2(0%)
minecraft.picked_up.light_gray_carpet: #15, 6(0%)
minecraft.picked_up.red_concrete_powder: #15, 2(0%)
minecraft.used.acacia_sapling: #15, 1(0%)
minecraft.used.tuff: #16, 879(2%)
minecraft.dropped.diamond_leggings: #16, 4(2%)
minecraft.picked_up.dark_oak_sapling: #16, 376(2%)
minecraft.picked_up.golden_carrot: #16, 446(1%)
minecraft.custom.interact_with_loom: #16, 14(2%)
minecraft.used.deepslate: #16, 2641(2%)
minecraft.picked_up.scaffolding: #16, 3894(2%)
minecraft.dropped.wheat_seeds: #16, 993(1%)
minecraft.used.carved_pumpkin: #16, 10(1%)
minecraft.mined.composter: #16, 28(2%)
minecraft.used.golden_carrot: #16, 463(1%)
minecraft.picked_up.music_disc_otherside: #16, 4(2%)
minecraft.dropped.carved_pumpkin: #16, 25(1%)
minecraft.dropped.netherite_pickaxe: #16, 3(1%)
minecraft.crafted.dark_oak_slab: #16, 576(1%)
minecraft.custom.talked_to_villager: #16, 847(1%)
minecraft.mined.emerald_block: #16, 167(1%)
minecraft.mined.dispenser: #16, 19(1%)
minecraft.crafted.ender_eye: #16, 16(1%)
minecraft.picked_up.poppy: #16, 242(1%)
minecraft.crafted.copper_ingot: #16, 802(1%)
minecraft.crafted.blue_shulker_box: #16, 1(1%)
minecraft.mined.amethyst_cluster: #16, 194(1%)
minecraft.dropped.netherite_axe: #16, 1(1%)
minecraft.crafted.bone_meal: #16, 22980(1%)
minecraft.dropped.dark_oak_planks: #16, 28(1%)
minecraft.mined.nether_wart_block: #16, 282(1%)
minecraft.picked_up.iron_bars: #16, 45(1%)
minecraft.picked_up.gray_wool: #16, 86(1%)
minecraft.used.polished_andesite_stairs: #16, 87(1%)
minecraft.used.polished_deepslate_stairs: #16, 93(1%)
minecraft.picked_up.gold_block: #16, 81(1%)
minecraft.picked_up.snow: #16, 306(1%)
minecraft.crafted.glow_item_frame: #16, 12(1%)
minecraft.crafted.iron_block: #16, 812(1%)
minecraft.dropped.coal: #16, 45(1%)
minecraft.dropped.magma_block: #16, 7(1%)
minecraft.picked_up.emerald_block: #16, 173(0%)
minecraft.picked_up.mangrove_planks: #16, 9(1%)
minecraft.crafted.smooth_stone_slab: #16, 66(0%)
minecraft.mined.cartography_table: #16, 1(1%)
minecraft.mined.tnt: #16, 14(0%)
minecraft.used.dark_oak_sapling: #16, 32(0%)
minecraft.custom.mob_kills: #16, 30285(0%)
minecraft.dropped.azure_bluet: #16, 3(0%)
minecraft.used.brown_mushroom_block: #16, 22(0%)
minecraft.picked_up.red_dye: #16, 12(0%)
minecraft.used.crimson_planks: #16, 31(0%)
minecraft.used.mossy_cobblestone: #16, 53(0%)
minecraft.mined.yellow_wool: #16, 11(0%)
minecraft.crafted.firework_rocket: #16, 3072(0%)
minecraft.crafted.spruce_pressure_plate: #16, 2(0%)
minecraft.used.smooth_basalt: #16, 62(0%)
