stat, rank, value, (percentage) 
minecraft.crafted.yellow_stained_glass_pane: #3, 376(16%)
minecraft.picked_up.stripped_jungle_wood: #3, 96(15%)
minecraft.used.weathered_cut_copper_stairs: #2, 29(14%)
minecraft.picked_up.deepslate_tile_slab: #3, 391(9%)
minecraft.picked_up.diamond_block: #4, 517(9%)
minecraft.dropped.music_disc_chirp: #2, 11(23%)
minecraft.crafted.sugar: #3, 3177(9%)
minecraft.mined.diamond_block: #4, 445(13%)
minecraft.dropped.warped_nylium: #3, 55(19%)
minecraft.dropped.music_disc_far: #2, 5(18%)
minecraft.crafted.diamond_block: #4, 670(11%)
minecraft.used.andesite_stairs: #3, 322(11%)
minecraft.crafted.red_concrete: #2, 192(11%)
minecraft.picked_up.light_blue_shulker_box: #3, 1049(6%)
minecraft.dropped.iron_helmet: #3, 11(10%)
minecraft.crafted.iron_helmet: #3, 17(6%)
minecraft.used.light_blue_shulker_box: #3, 964(6%)
minecraft.mined.light_blue_shulker_box: #3, 940(6%)
minecraft.picked_up.mushroom_stem: #4, 5611(12%)
minecraft.used.cooked_beef: #4, 1040(10%)
minecraft.mined.light_gray_candle: #2, 5(13%)
minecraft.mined.black_terracotta: #2, 340(4%)
minecraft.used.pink_dye: #3, 19(11%)
minecraft.dropped.light_gray_shulker_box: #2, 3(9%)
minecraft.dropped.orange_banner: #2, 5(28%)
minecraft.crafted.purple_shulker_box: #3, 10(9%)
minecraft.dropped.dispenser: #3, 134(12%)
minecraft.picked_up.mycelium: #3, 1856(11%)
minecraft.used.red_dye: #3, 45(8%)
minecraft.mined.red_concrete: #4, 3076(9%)
minecraft.crafted.brown_concrete: #2, 64(16%)
minecraft.crafted.golden_sword: #3, 6(16%)
minecraft.crafted.stripped_dark_oak_wood: #2, 48(4%)
minecraft.mined.stripped_jungle_wood: #3, 49(9%)
minecraft.crafted.pink_stained_glass_pane: #3, 144(13%)
minecraft.crafted.leather_helmet: #3, 9(8%)
minecraft.crafted.chainmail_chestplate: #3, 6(18%)
minecraft.picked_up.exposed_cut_copper_stairs: #3, 73(12%)
minecraft.used.deepslate_brick_stairs: #4, 1656(9%)
minecraft.dropped.mycelium: #2, 18(3%)
minecraft.used.light_gray_candle: #3, 27(15%)
minecraft.dropped.potato: #3, 201(5%)
minecraft.picked_up.yellow_stained_glass_pane: #3, 73(8%)
minecraft.mined.chipped_anvil: #4, 33(9%)
minecraft.mined.mycelium: #3, 2104(9%)
minecraft.dropped.weathered_copper: #3, 2(22%)
minecraft.dropped.orange_shulker_box: #3, 2(18%)
minecraft.used.deepslate_tile_stairs: #4, 1160(9%)
minecraft.mined.powder_snow: #4, 116(7%)
minecraft.mined.blue_concrete_powder: #3, 3(12%)
minecraft.dropped.netherite_chestplate: #3, 1(25%)
minecraft.crafted.chainmail_leggings: #3, 5(19%)
minecraft.picked_up.chipped_anvil: #4, 33(9%)
minecraft.mined.deepslate_tiles: #4, 616(7%)
minecraft.used.writable_book: #4, 376(6%)
minecraft.mined.deepslate_tile_stairs: #4, 171(9%)
minecraft.used.light_blue_banner: #3, 8(14%)
minecraft.crafted.stripped_spruce_wood: #3, 96(7%)
minecraft.crafted.exposed_cut_copper_slab: #3, 16(12%)
minecraft.dropped.iron_ingot: #4, 1209(6%)
minecraft.picked_up.mangrove_fence: #4, 29(12%)
minecraft.crafted.blue_concrete: #3, 64(15%)
minecraft.crafted.respawn_anchor: #3, 22(7%)
minecraft.used.light_gray_dye: #3, 12(7%)
minecraft.used.lantern: #5, 700(8%)
minecraft.mined.mangrove_fence: #4, 29(13%)
minecraft.dropped.snowball: #4, 1336(6%)
minecraft.mined.andesite_stairs: #4, 36(9%)
minecraft.mined.anvil: #4, 73(6%)
minecraft.dropped.polished_blackstone_slab: #3, 72(7%)
minecraft.crafted.stripped_oak_wood: #3, 48(9%)
minecraft.dropped.rooted_dirt: #4, 64(11%)
minecraft.used.lava_bucket: #4, 651(6%)
minecraft.crafted.mangrove_fence: #4, 165(8%)
minecraft.dropped.pumpkin_seeds: #4, 2012(7%)
minecraft.picked_up.light_weighted_pressure_plate: #3, 309(4%)
minecraft.mined.deepslate_bricks: #5, 1443(10%)
minecraft.dropped.music_disc_13: #4, 7(11%)
minecraft.used.light_blue_concrete: #4, 239(9%)
minecraft.used.mossy_stone_brick_slab: #3, 71(4%)
minecraft.used.mossy_stone_brick_stairs: #3, 55(4%)
minecraft.dropped.tnt: #3, 951(2%)
minecraft.killed_by.pufferfish: #3, 2(7%)
minecraft.picked_up.deepslate_bricks: #5, 1795(8%)
minecraft.crafted.charcoal: #4, 809(6%)
minecraft.picked_up.black_stained_glass: #5, 613(10%)
