stat, rank, value, (percentage) 
minecraft.mined.moss_block: #31, 16(0%)
minecraft.picked_up.moss_block: #31, 14(0%)
minecraft.picked_up.diorite: #31, 18(0%)
minecraft.used.red_shulker_box: #31, 1(0%)
minecraft.picked_up.raw_copper: #31, 18(0%)
minecraft.mined.diorite: #31, 16(0%)
minecraft.mined.tall_grass: #31, 1(0%)
minecraft.mined.spruce_leaves: #31, 6(0%)
minecraft.picked_up.cobbled_deepslate: #31, 33(0%)
minecraft.used.grass_block: #31, 14(0%)
minecraft.mined.copper_ore: #31, 1(0%)
minecraft.used.bone_meal: #31, 2(0%)
minecraft.custom.interact_with_lectern: #32, 10(0%)
minecraft.mined.crafting_table: #32, 5(0%)
minecraft.picked_up.coal: #32, 84(0%)
minecraft.crafted.stick: #32, 148(0%)
minecraft.custom.interact_with_anvil: #32, 5(0%)
minecraft.dropped.cobblestone: #32, 27(0%)
minecraft.picked_up.ender_pearl: #32, 98(0%)
minecraft.picked_up.cobblestone: #32, 352(0%)
minecraft.mined.grass: #32, 15(0%)
minecraft.custom.damage_dealt: #32, 8918(0%)
minecraft.used.diamond_pickaxe: #32, 394(0%)
minecraft.mined.gravel: #32, 22(0%)
minecraft.dropped.wheat_seeds: #32, 2(0%)
minecraft.custom.open_chest: #33, 647(0%)
minecraft.used.cobblestone: #33, 45(0%)
minecraft.custom.boat_one_cm: #33, 133272(0%)
minecraft.picked_up.red_shulker_box: #33, 1(0%)
minecraft.mined.red_shulker_box: #33, 1(0%)
minecraft.dropped.stick: #33, 7(0%)
minecraft.mined.stone: #33, 275(0%)
minecraft.crafted.iron_ingot: #33, 18(0%)
minecraft.crafted.furnace: #34, 1(0%)
minecraft.used.furnace: #34, 1(0%)
minecraft.custom.interact_with_furnace: #34, 9(0%)
minecraft.crafted.oak_planks: #34, 20(0%)
minecraft.custom.tune_noteblock: #34, 2(0%)
minecraft.picked_up.diamond: #34, 2(0%)
minecraft.used.water_bucket: #34, 1(0%)
minecraft.mined.wall_torch: #35, 1(0%)
minecraft.mined.chest: #35, 1(0%)
minecraft.crafted.chest: #35, 4(0%)
minecraft.mined.fire: #35, 1(0%)
minecraft.picked_up.wheat_seeds: #35, 2(0%)
minecraft.picked_up.emerald: #35, 1(0%)
minecraft.custom.mob_kills: #35, 37(0%)
minecraft.dropped.ender_pearl: #35, 1(0%)
minecraft.mined.torch: #36, 2(0%)
minecraft.picked_up.oak_log: #36, 4(0%)
minecraft.used.torch: #36, 4(0%)
minecraft.custom.leave_game: #39, 86(0%)
minecraft.custom.walk_under_water_one_cm: #45, 76116(0%)
minecraft.custom.walk_on_water_one_cm: #46, 41444(0%)
minecraft.custom.play_time: #47, 2187287(0%)
minecraft.custom.total_world_time: #47, 2187287(0%)
minecraft.custom.fly_one_cm: #48, 2904180(0%)
minecraft.custom.time_since_rest: #59, 3029(0%)
minecraft.custom.time_since_death: #67, 2916(0%)
