stat, rank, value, (percentage) 
minecraft.used.sculk_sensor: #12, 4(1%)
minecraft.picked_up.black_dye: #12, 16(0%)
minecraft.used.warped_roots: #12, 1(0%)
minecraft.dropped.quartz_block: #12, 2(0%)
minecraft.picked_up.diamond_axe: #13, 26(3%)
minecraft.picked_up.stone_pickaxe: #13, 4(3%)
minecraft.used.crossbow: #13, 22(2%)
minecraft.picked_up.sea_pickle: #13, 128(1%)
minecraft.mined.player_wall_head: #13, 8(1%)
minecraft.used.dark_oak_slab: #13, 351(1%)
minecraft.picked_up.netherite_hoe: #13, 1(1%)
minecraft.crafted.jukebox: #13, 3(1%)
minecraft.picked_up.cooked_salmon: #13, 4(1%)
minecraft.dropped.spruce_button: #13, 2(1%)
minecraft.picked_up.elytra: #14, 45(2%)
minecraft.used.rotten_flesh: #13, 3(0%)
minecraft.picked_up.diamond_leggings: #14, 20(2%)
minecraft.dropped.diamond_axe: #14, 4(2%)
minecraft.dropped.diamond_helmet: #14, 2(2%)
minecraft.picked_up.red_concrete: #14, 361(2%)
minecraft.dropped.iron_shovel: #14, 2(2%)
minecraft.picked_up.dark_oak_sign: #14, 14(1%)
minecraft.used.mangrove_sign: #14, 4(1%)
minecraft.dropped.spruce_door: #14, 1(1%)
minecraft.used.lime_wool: #14, 17(0%)
minecraft.dropped.iron_boots: #14, 2(0%)
minecraft.mined.warped_stairs: #14, 2(0%)
minecraft.dropped.sunflower: #14, 2(0%)
minecraft.dropped.splash_potion: #14, 1(0%)
minecraft.mined.dark_oak_planks: #15, 150(2%)
minecraft.custom.pig_one_cm: #15, 53778(2%)
minecraft.picked_up.wooden_pickaxe: #15, 1(2%)
minecraft.mined.dark_oak_stairs: #15, 30(1%)
minecraft.picked_up.dark_oak_trapdoor: #15, 49(1%)
minecraft.used.totem_of_undying: #15, 6(1%)
minecraft.picked_up.packed_mud: #15, 14(1%)
minecraft.used.music_disc_otherside: #15, 1(1%)
minecraft.dropped.chain: #15, 7(1%)
minecraft.mined.warped_fence: #15, 2(0%)
minecraft.mined.lime_terracotta: #15, 19(0%)
minecraft.dropped.dark_oak_sign: #15, 1(0%)
minecraft.picked_up.stripped_warped_stem: #15, 23(0%)
minecraft.used.stripped_warped_stem: #15, 3(0%)
minecraft.picked_up.dark_oak_fence: #16, 57(1%)
minecraft.used.elytra: #16, 11(1%)
minecraft.used.dark_oak_planks: #16, 332(1%)
minecraft.picked_up.armor_stand: #16, 21(1%)
minecraft.mined.dark_oak_trapdoor: #16, 21(1%)
minecraft.killed_by.creeper: #16, 1(1%)
minecraft.killed_by.zombie: #16, 1(1%)
minecraft.used.ender_pearl: #16, 54(1%)
minecraft.used.armor_stand: #16, 23(1%)
minecraft.picked_up.saddle: #16, 3(1%)
minecraft.picked_up.firework_rocket: #16, 2205(0%)
minecraft.mined.dark_oak_wall_sign: #16, 3(1%)
minecraft.dropped.lead: #16, 2(0%)
minecraft.dropped.totem_of_undying: #16, 5(0%)
minecraft.used.suspicious_stew: #16, 1(1%)
