stat, rank, value, (percentage) 
minecraft.picked_up.acacia_door: #2, 8(21%)
minecraft.dropped.pink_stained_glass: #2, 177(28%)
minecraft.dropped.diorite_stairs: #2, 41(34%)
minecraft.mined.tripwire: #3, 254(11%)
minecraft.mined.dark_oak_trapdoor: #3, 207(9%)
minecraft.picked_up.granite_slab: #3, 262(16%)
minecraft.picked_up.snowball: #3, 44074(8%)
minecraft.dropped.black_terracotta: #2, 256(18%)
minecraft.used.brown_banner: #2, 8(24%)
minecraft.used.tadpole_bucket: #2, 18(15%)
minecraft.mined.stripped_warped_stem: #3, 1940(12%)
minecraft.crafted.deepslate: #2, 361(17%)
minecraft.crafted.flower_banner_pattern: #2, 2(22%)
minecraft.used.white_stained_glass: #3, 5127(12%)
minecraft.crafted.dark_oak_door: #3, 57(12%)
minecraft.picked_up.cooked_mutton: #3, 102(15%)
minecraft.dropped.stripped_jungle_wood: #2, 35(38%)
minecraft.dropped.blue_stained_glass: #2, 29(30%)
minecraft.used.red_carpet: #3, 2645(10%)
minecraft.crafted.stone_axe: #3, 16(10%)
minecraft.picked_up.pink_dye: #3, 183(18%)
minecraft.picked_up.acacia_boat: #3, 23(14%)
minecraft.used.light_gray_concrete_powder: #3, 5725(12%)
minecraft.dropped.spruce_log: #3, 853(9%)
minecraft.dropped.oak_hanging_sign: #2, 6(29%)
minecraft.used.white_banner: #3, 79(12%)
minecraft.dropped.oak_trapdoor: #3, 43(16%)
minecraft.dropped.flint_and_steel: #3, 17(10%)
minecraft.picked_up.light_blue_stained_glass_pane: #3, 244(14%)
minecraft.dropped.acacia_trapdoor: #2, 51(14%)
minecraft.dropped.mossy_stone_bricks: #2, 91(11%)
minecraft.used.snow_block: #3, 13699(8%)
minecraft.used.tnt_minecart: #2, 10(22%)
minecraft.killed.snow_golem: #3, 15(14%)
minecraft.used.filled_map: #2, 7(26%)
minecraft.crafted.yellow_terracotta: #3, 1620(12%)
minecraft.mined.light_gray_carpet: #2, 282(5%)
minecraft.picked_up.slime_block: #3, 1801(9%)
minecraft.picked_up.smooth_stone: #3, 1322(9%)
minecraft.picked_up.lightning_rod: #3, 144(10%)
minecraft.used.polished_blackstone: #3, 3182(10%)
minecraft.used.cyan_stained_glass: #3, 1567(15%)
minecraft.mined.chiseled_stone_bricks: #3, 184(10%)
minecraft.dropped.smooth_quartz_stairs: #2, 10(16%)
minecraft.used.spruce_leaves: #4, 5730(13%)
minecraft.crafted.polished_blackstone: #3, 3532(10%)
minecraft.picked_up.shelter_pottery_sherd: #2, 6(12%)
minecraft.mined.dark_oak_stairs: #4, 265(11%)
minecraft.picked_up.purple_concrete_powder: #3, 131(20%)
minecraft.crafted.cherry_door: #2, 6(15%)
minecraft.mined.oak_sign: #3, 20(9%)
minecraft.picked_up.cyan_carpet: #3, 361(12%)
minecraft.crafted.eye_armor_trim_smithing_template: #2, 4(20%)
minecraft.dropped.calcite: #2, 167(5%)
minecraft.picked_up.packed_ice: #3, 20514(8%)
minecraft.dropped.orange_concrete_powder: #2, 41(29%)
minecraft.used.dark_oak_boat: #3, 59(9%)
minecraft.mined.cyan_banner: #2, 2(29%)
minecraft.used.red_glazed_terracotta: #2, 56(13%)
minecraft.dropped.polished_blackstone_wall: #2, 76(19%)
minecraft.dropped.prismarine: #3, 204(16%)
minecraft.dropped.cyan_shulker_box: #3, 8(9%)
minecraft.crafted.green_concrete: #2, 64(22%)
minecraft.mined.jungle_log: #3, 4065(9%)
minecraft.picked_up.string: #4, 9490(9%)
minecraft.crafted.yellow_stained_glass: #3, 2424(12%)
minecraft.dropped.bricks: #3, 383(16%)
minecraft.picked_up.birch_hanging_sign: #2, 23(36%)
minecraft.crafted.spruce_trapdoor: #3, 1688(6%)
minecraft.dropped.small_dripleaf: #2, 4(27%)
minecraft.picked_up.blue_banner: #2, 8(27%)
minecraft.picked_up.chiseled_deepslate: #3, 145(15%)
minecraft.picked_up.candle: #3, 89(11%)
minecraft.picked_up.prismarine_brick_stairs: #2, 12(26%)
minecraft.mined.polished_basalt: #4, 491(13%)
minecraft.dropped.mangrove_fence: #2, 4(20%)
minecraft.mined.purple_wall_banner: #2, 1(25%)
minecraft.dropped.dead_fire_coral_block: #2, 1(50%)
minecraft.dropped.dried_kelp_block: #2, 1(25%)
minecraft.crafted.pink_tulip: #2, 12(50%)
minecraft.crafted.red_tulip: #2, 12(50%)
minecraft.dropped.soul_campfire: #2, 6(33%)
minecraft.crafted.red_sand: #2, 24(33%)
minecraft.mined.potted_lily_of_the_valley: #2, 1(33%)
minecraft.crafted.mojang_banner_pattern: #2, 1(33%)
minecraft.crafted.snow_block: #3, 10581(7%)
minecraft.dropped.salmon: #2, 103(6%)
minecraft.crafted.glass: #4, 32971(10%)
minecraft.picked_up.granite_stairs: #3, 24(20%)
minecraft.crafted.jungle_fence_gate: #3, 66(14%)
minecraft.dropped.mangrove_trapdoor: #2, 5(11%)
minecraft.dropped.glow_lichen: #3, 175(12%)
minecraft.dropped.blackstone: #3, 3133(9%)
minecraft.dropped.cobblestone: #4, 7197(9%)
minecraft.custom.interact_with_lectern: #3, 508(5%)
minecraft.crafted.orange_stained_glass: #3, 2968(13%)
minecraft.mined.warped_hanging_sign: #2, 3(13%)
minecraft.picked_up.red_candle: #3, 62(13%)
minecraft.dropped.stripped_warped_hyphae: #2, 16(23%)
minecraft.used.acacia_boat: #3, 22(16%)
minecraft.dropped.stone: #4, 28766(9%)
minecraft.dropped.mangrove_log: #3, 68(15%)
minecraft.dropped.cherry_slab: #2, 8(44%)
minecraft.crafted.polished_blackstone_slab: #3, 184(12%)
minecraft.picked_up.andesite_wall: #3, 265(13%)
minecraft.mined.packed_ice: #3, 18064(7%)
minecraft.mined.acacia_planks: #2, 106(6%)
minecraft.used.spruce_log: #4, 4325(10%)
minecraft.crafted.brown_concrete_powder: #3, 752(10%)
minecraft.dropped.deepslate_lapis_ore: #2, 9(10%)
minecraft.mined.purple_concrete: #3, 869(11%)
minecraft.used.pink_stained_glass: #3, 1401(14%)
minecraft.picked_up.cyan_concrete_powder: #2, 617(5%)
minecraft.dropped.white_dye: #3, 315(9%)
minecraft.used.prismarine_bricks: #3, 923(8%)
minecraft.picked_up.black_concrete_powder: #4, 6180(12%)
minecraft.picked_up.popped_chorus_fruit: #2, 92(19%)
minecraft.used.cyan_concrete_powder: #4, 3762(13%)
minecraft.dropped.dark_oak_door: #3, 44(18%)
minecraft.crafted.blue_banner: #2, 12(13%)
minecraft.dropped.golden_hoe: #2, 2(25%)
minecraft.used.jungle_sapling: #3, 265(12%)
minecraft.dropped.polished_blackstone_slab: #2, 83(8%)
minecraft.picked_up.crafting_table: #4, 566(7%)
minecraft.dropped.spruce_door: #3, 15(12%)
minecraft.dropped.green_terracotta: #2, 82(6%)
minecraft.picked_up.warped_hanging_sign: #2, 3(10%)
minecraft.dropped.grass: #3, 55(10%)
minecraft.picked_up.birch_fence: #3, 195(8%)
minecraft.used.cooked_mutton: #4, 99(13%)
minecraft.dropped.mangrove_wood: #2, 11(14%)
minecraft.used.black_carpet: #3, 14256(10%)
minecraft.used.elytra: #4, 95(7%)
minecraft.dropped.string: #4, 7011(10%)
minecraft.dropped.spore_blossom: #2, 3(10%)
minecraft.crafted.light_gray_concrete_powder: #4, 7752(14%)
minecraft.mined.dark_oak_sign: #3, 7(10%)
minecraft.mined.potted_cornflower: #2, 1(33%)
minecraft.dropped.shroomlight: #2, 64(5%)
minecraft.crafted.polished_deepslate_stairs: #4, 392(13%)
minecraft.dropped.coal_ore: #4, 403(11%)
minecraft.picked_up.polished_granite_stairs: #2, 44(9%)
minecraft.crafted.gray_stained_glass: #3, 3184(8%)
minecraft.custom.clean_banner: #2, 13(21%)
minecraft.picked_up.diamond_horse_armor: #3, 8(12%)
minecraft.crafted.dark_oak_pressure_plate: #3, 25(11%)
minecraft.dropped.birch_sign: #3, 52(7%)
minecraft.picked_up.red_nether_bricks: #3, 87(13%)
minecraft.dropped.acacia_door: #2, 8(12%)
minecraft.picked_up.flint: #4, 1727(8%)
minecraft.mined.torch: #4, 1933(7%)
minecraft.crafted.polished_blackstone_wall: #3, 115(14%)
minecraft.used.yellow_candle: #2, 65(6%)
minecraft.mined.warped_fungus: #4, 184(10%)
minecraft.dropped.moss_block: #4, 1030(9%)
minecraft.used.stripped_spruce_log: #4, 1051(10%)
minecraft.used.honeycomb_block: #2, 119(4%)
minecraft.dropped.purple_wool: #3, 389(21%)
minecraft.used.item_frame: #4, 911(8%)
minecraft.picked_up.dark_oak_leaves: #4, 1934(11%)
minecraft.mined.pink_shulker_box: #4, 221(10%)
minecraft.mined.cyan_wool: #3, 79(9%)
minecraft.picked_up.angler_pottery_sherd: #3, 7(18%)
minecraft.dropped.ender_eye: #2, 5(12%)
minecraft.picked_up.pink_shulker_box: #4, 224(10%)
minecraft.picked_up.snort_pottery_sherd: #3, 5(14%)
minecraft.used.chiseled_polished_blackstone: #2, 98(3%)
minecraft.dropped.polished_blackstone_stairs: #2, 80(6%)
minecraft.used.light_gray_concrete: #4, 2811(11%)
minecraft.picked_up.granite_wall: #3, 62(14%)
minecraft.used.pink_shulker_box: #4, 222(10%)
minecraft.picked_up.white_stained_glass: #4, 1398(11%)
minecraft.crafted.tinted_glass: #3, 3822(7%)
minecraft.crafted.lantern: #4, 1034(8%)
minecraft.used.purple_wool: #3, 489(9%)
minecraft.mined.stripped_spruce_log: #4, 1074(9%)
minecraft.used.iron_chestplate: #4, 8(11%)
minecraft.crafted.cyan_stained_glass_pane: #3, 112(9%)
minecraft.used.purple_concrete: #3, 802(10%)
minecraft.mined.white_wall_banner: #3, 10(9%)
minecraft.dropped.echo_shard: #2, 1(17%)
minecraft.crafted.purple_bed: #3, 9(15%)
minecraft.crafted.polished_diorite_stairs: #3, 56(11%)
minecraft.crafted.polished_granite_stairs: #3, 48(15%)
minecraft.picked_up.light_gray_carpet: #3, 960(5%)
minecraft.used.brown_shulker_box: #4, 348(10%)
minecraft.dropped.pink_concrete: #2, 21(14%)
minecraft.crafted.brown_banner: #3, 10(16%)
minecraft.mined.gray_bed: #3, 10(16%)
minecraft.dropped.map: #3, 52(11%)
minecraft.crafted.black_bed: #3, 4(11%)
minecraft.dropped.cherry_sapling: #3, 14(21%)
minecraft.mined.orange_stained_glass: #3, 104(8%)
minecraft.mined.brown_shulker_box: #4, 317(10%)
minecraft.picked_up.brown_shulker_box: #4, 318(10%)
minecraft.picked_up.axolotl_bucket: #4, 17(13%)
minecraft.used.cyan_wool: #3, 638(6%)
minecraft.dropped.polished_blackstone_brick_wall: #2, 21(6%)
minecraft.dropped.yellow_shulker_box: #3, 3(11%)
minecraft.dropped.magma_block: #3, 59(6%)
minecraft.crafted.mud_brick_wall: #3, 54(9%)
minecraft.dropped.chiseled_polished_blackstone: #2, 18(2%)
minecraft.picked_up.stripped_acacia_log: #3, 141(7%)
minecraft.picked_up.pink_stained_glass_pane: #3, 30(23%)
minecraft.dropped.soul_torch: #3, 64(14%)
minecraft.dropped.brown_terracotta: #4, 102(12%)
minecraft.picked_up.netherite_upgrade_smithing_template: #3, 3(19%)
minecraft.dropped.dark_oak_wood: #3, 32(19%)
minecraft.crafted.white_candle: #2, 28(1%)
minecraft.crafted.polished_andesite_slab: #4, 672(10%)
minecraft.picked_up.green_stained_glass_pane: #3, 60(12%)
minecraft.picked_up.coarse_dirt: #4, 1527(7%)
minecraft.used.salmon_bucket: #3, 2(18%)
minecraft.dropped.golden_horse_armor: #3, 2(18%)
minecraft.dropped.hanging_roots: #3, 32(16%)
minecraft.dropped.red_carpet: #4, 56(15%)
minecraft.dropped.yellow_stained_glass: #3, 85(15%)
minecraft.used.deepslate: #4, 11949(7%)
minecraft.picked_up.dark_oak_boat: #4, 61(9%)
minecraft.picked_up.blue_stained_glass_pane: #4, 30(16%)
minecraft.dropped.polished_blackstone_bricks: #3, 345(8%)
minecraft.dropped.stripped_birch_log: #3, 12(9%)
minecraft.dropped.glass: #4, 1958(9%)
minecraft.dropped.polished_deepslate_wall: #3, 79(8%)
minecraft.dropped.orange_carpet: #2, 5(1%)
minecraft.mined.jungle_leaves: #4, 2949(9%)
minecraft.dropped.jungle_boat: #3, 4(12%)
minecraft.used.crossbow: #4, 85(7%)
minecraft.picked_up.cracked_stone_bricks: #3, 280(5%)
minecraft.used.smooth_stone: #4, 2022(8%)
minecraft.crafted.wayfinder_armor_trim_smithing_template: #3, 4(15%)
minecraft.dropped.cyan_bed: #3, 2(18%)
minecraft.picked_up.gray_stained_glass: #4, 162(10%)
minecraft.dropped.grass_block: #4, 1996(7%)
minecraft.crafted.stone_brick_wall: #4, 636(9%)
minecraft.used.magenta_stained_glass: #3, 539(7%)
minecraft.mined.white_banner: #3, 9(9%)
minecraft.picked_up.soul_campfire: #3, 6(11%)
minecraft.dropped.mangrove_door: #3, 1(14%)
minecraft.used.iron_boots: #4, 7(9%)
minecraft.used.pink_concrete: #3, 301(7%)
minecraft.picked_up.stone_axe: #4, 7(8%)
minecraft.picked_up.spruce_fence_gate: #4, 109(8%)
minecraft.crafted.red_stained_glass_pane: #4, 400(12%)
minecraft.picked_up.polished_andesite_slab: #4, 448(7%)
minecraft.dropped.glow_ink_sac: #4, 113(9%)
minecraft.crafted.host_armor_trim_smithing_template: #3, 4(15%)
minecraft.picked_up.shield: #4, 17(6%)
minecraft.used.warped_stem: #4, 3267(8%)
minecraft.crafted.stripped_jungle_wood: #3, 96(15%)
minecraft.crafted.chiseled_polished_blackstone: #4, 44(12%)
minecraft.crafted.birch_boat: #4, 11(8%)
minecraft.used.stone_brick_stairs: #4, 658(7%)
minecraft.picked_up.salmon: #4, 155(6%)
minecraft.crafted.rib_armor_trim_smithing_template: #3, 6(12%)
minecraft.picked_up.orange_dye: #4, 164(13%)
minecraft.crafted.red_glazed_terracotta: #3, 168(8%)
minecraft.dropped.iron_trapdoor: #4, 54(14%)
minecraft.dropped.andesite: #4, 1409(6%)
minecraft.used.cobblestone_wall: #4, 555(6%)
minecraft.dropped.raw_iron: #4, 137(6%)
minecraft.used.spruce_fence_gate: #4, 197(7%)
minecraft.dropped.firework_rocket: #3, 5958(2%)
minecraft.used.jack_o_lantern: #3, 469(4%)
minecraft.used.pink_tulip: #3, 7(8%)
minecraft.dropped.warped_wart_block: #4, 765(9%)
minecraft.killed.parrot: #3, 1(11%)
minecraft.dropped.cracked_polished_blackstone_bricks: #3, 76(5%)
minecraft.picked_up.glow_item_frame: #4, 112(6%)
minecraft.dropped.mossy_cobblestone: #4, 104(7%)
minecraft.picked_up.blade_pottery_sherd: #3, 6(9%)
minecraft.dropped.wooden_pickaxe: #4, 3(7%)
minecraft.crafted.andesite_stairs: #4, 128(10%)
minecraft.dropped.mangrove_button: #3, 4(7%)
minecraft.used.mossy_cobblestone_slab: #4, 232(7%)
minecraft.crafted.spruce_wood: #4, 1398(7%)
minecraft.dropped.emerald_block: #3, 464(5%)
minecraft.used.jungle_fence_gate: #4, 47(14%)
minecraft.crafted.grindstone: #5, 138(10%)
minecraft.used.spruce_wood: #4, 1286(7%)
minecraft.dropped.mangrove_leaves: #3, 95(5%)
minecraft.picked_up.yellow_candle: #3, 13(4%)
minecraft.dropped.stripped_dark_oak_log: #4, 20(18%)
minecraft.crafted.mangrove_door: #4, 9(10%)
minecraft.mined.brown_stained_glass: #3, 28(6%)
minecraft.used.stone_bricks: #4, 7840(6%)
minecraft.used.prismarine: #4, 841(8%)
minecraft.mined.crafting_table: #5, 456(7%)
minecraft.picked_up.stripped_oak_log: #3, 339(2%)
minecraft.dropped.gray_wool: #4, 206(8%)
minecraft.picked_up.magenta_dye: #4, 130(13%)
minecraft.picked_up.brown_carpet: #3, 297(2%)
minecraft.crafted.polished_blackstone_brick_wall: #4, 27(14%)
minecraft.crafted.polished_blackstone_brick_slab: #3, 66(4%)
minecraft.picked_up.golden_axe: #3, 2(4%)
minecraft.crafted.popped_chorus_fruit: #3, 121(5%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #3, 108(9%)
minecraft.crafted.glow_item_frame: #4, 101(6%)
minecraft.dropped.pink_tulip: #3, 5(9%)
minecraft.picked_up.deepslate_brick_slab: #4, 287(7%)
minecraft.dropped.crying_obsidian: #3, 80(3%)
minecraft.crafted.player_head: #4, 872(9%)
minecraft.dropped.yellow_concrete_powder: #3, 8(5%)
minecraft.broken.stone_shovel: #3, 4(3%)
minecraft.picked_up.brick: #4, 292(7%)
minecraft.dropped.crimson_fence_gate: #3, 2(11%)
minecraft.picked_up.fire_coral_block: #4, 413(10%)
minecraft.mined.stripped_oak_log: #3, 238(1%)
minecraft.picked_up.acacia_planks: #4, 182(6%)
minecraft.mined.purple_carpet: #3, 25(4%)
minecraft.used.crafting_table: #5, 507(6%)
minecraft.picked_up.jack_o_lantern: #4, 239(8%)
minecraft.mined.stripped_spruce_wood: #4, 182(7%)
minecraft.crafted.clock: #4, 17(7%)
minecraft.used.glow_item_frame: #4, 150(6%)
minecraft.dropped.cornflower: #3, 101(2%)
minecraft.dropped.blue_wool: #3, 37(3%)
minecraft.picked_up.stripped_spruce_log: #5, 1066(8%)
minecraft.picked_up.red_carpet: #3, 195(1%)
minecraft.mined.jungle_fence_gate: #4, 5(11%)
minecraft.picked_up.jungle_trapdoor: #3, 145(2%)
minecraft.picked_up.stripped_spruce_wood: #4, 183(7%)
minecraft.dropped.dirt: #5, 6020(7%)
minecraft.dropped.mossy_cobblestone_slab: #4, 25(14%)
minecraft.picked_up.loom: #5, 33(10%)
minecraft.crafted.purple_stained_glass: #4, 1912(8%)
minecraft.used.fire_coral_block: #3, 68(2%)
minecraft.mined.prismarine_brick_stairs: #3, 2(5%)
minecraft.picked_up.iron_ore: #5, 1897(8%)
minecraft.mined.tube_coral_fan: #4, 34(8%)
minecraft.picked_up.gray_bed: #4, 10(13%)
minecraft.used.purple_carpet: #3, 158(2%)
minecraft.used.gray_bed: #4, 14(13%)
minecraft.dropped.green_wool: #3, 133(3%)
minecraft.picked_up.ladder: #5, 517(8%)
minecraft.used.chainmail_boots: #3, 1(4%)
minecraft.mined.birch_hanging_sign: #3, 1(5%)
minecraft.dropped.polished_blackstone_brick_slab: #3, 17(2%)
minecraft.dropped.black_glazed_terracotta: #3, 17(3%)
minecraft.crafted.iron_shovel: #5, 32(7%)
minecraft.dropped.warped_trapdoor: #4, 18(13%)
minecraft.used.acacia_planks: #3, 155(1%)
minecraft.dropped.light_gray_terracotta: #4, 106(7%)
minecraft.picked_up.ender_eye: #4, 13(9%)
minecraft.picked_up.golden_horse_armor: #4, 6(11%)
minecraft.mined.polished_granite_slab: #5, 178(11%)
minecraft.used.birch_hanging_sign: #3, 2(4%)
minecraft.used.waxed_oxidized_cut_copper_slab: #3, 98(1%)
minecraft.used.stripped_oak_log: #3, 109(1%)
minecraft.crafted.purple_shulker_box: #4, 7(6%)
minecraft.dropped.purple_candle: #3, 1(1%)
minecraft.picked_up.white_dye: #5, 366(8%)
minecraft.dropped.smithing_table: #3, 2(1%)
minecraft.dropped.ancient_debris: #3, 4(1%)
minecraft.dropped.beef: #4, 69(6%)
minecraft.dropped.brown_candle: #3, 1(1%)
minecraft.dropped.sculk_shrieker: #3, 1(0%)
minecraft.dropped.iron_bars: #4, 200(7%)
minecraft.mined.stone_slab: #5, 1192(7%)
minecraft.used.jungle_boat: #4, 10(10%)
minecraft.crafted.sea_pickle: #4, 5(20%)
minecraft.crafted.polished_blackstone_stairs: #4, 44(6%)
minecraft.picked_up.prismarine_bricks: #5, 838(8%)
minecraft.crafted.light_gray_stained_glass: #4, 3208(5%)
minecraft.used.red_stained_glass: #4, 756(5%)
minecraft.picked_up.iron_hoe: #4, 4(12%)
minecraft.dropped.green_concrete_powder: #4, 48(12%)
minecraft.mined.birch_fence: #5, 115(9%)
minecraft.mined.black_concrete: #5, 5445(8%)
minecraft.used.coal_ore: #5, 1761(7%)
minecraft.used.spruce_trapdoor: #5, 1703(6%)
minecraft.used.cactus: #5, 366(8%)
minecraft.picked_up.coal_ore: #5, 3296(7%)
minecraft.mined.polished_blackstone_brick_wall: #4, 36(10%)
minecraft.used.brush: #4, 182(7%)
minecraft.picked_up.warped_slab: #4, 220(5%)
minecraft.used.leather_boots: #4, 5(5%)
minecraft.mined.red_stained_glass: #5, 160(10%)
minecraft.picked_up.oak_sign: #5, 150(6%)
minecraft.picked_up.mutton: #5, 154(8%)
minecraft.picked_up.warped_wart_block: #5, 4404(8%)
minecraft.used.stripped_spruce_wood: #4, 164(5%)
minecraft.picked_up.cyan_shulker_box: #5, 423(6%)
minecraft.used.allium: #4, 10(6%)
minecraft.used.cyan_stained_glass_pane: #4, 62(6%)
minecraft.picked_up.stone_pickaxe: #5, 12(8%)
minecraft.picked_up.carrot_on_a_stick: #4, 3(7%)
minecraft.crafted.diorite_stairs: #4, 72(8%)
minecraft.picked_up.birch_leaves: #5, 3898(7%)
minecraft.dropped.sniffer_egg: #4, 1(17%)
minecraft.used.iron_pickaxe: #5, 5311(6%)
minecraft.picked_up.warped_stem: #5, 2321(7%)
minecraft.picked_up.allium: #4, 127(4%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #4, 2(9%)
minecraft.used.cobblestone_stairs: #5, 427(8%)
minecraft.picked_up.polished_deepslate: #5, 956(7%)
minecraft.used.magenta_wool: #4, 248(6%)
minecraft.used.birch_door: #4, 4(6%)
minecraft.mined.red_carpet: #4, 107(3%)
minecraft.used.stone_shovel: #4, 631(3%)
minecraft.mined.warped_stem: #5, 2233(7%)
minecraft.picked_up.mossy_stone_bricks: #5, 146(7%)
minecraft.crafted.birch_hanging_sign: #4, 12(12%)
minecraft.used.peony: #4, 12(4%)
minecraft.picked_up.barrel: #5, 225(6%)
minecraft.used.oak_sign: #5, 214(6%)
minecraft.crafted.iron_axe: #5, 18(6%)
minecraft.crafted.cut_copper_slab: #4, 40(5%)
minecraft.mined.iron_block: #5, 1850(6%)
minecraft.used.light_blue_stained_glass: #4, 247(5%)
minecraft.picked_up.iron_chestplate: #4, 18(3%)
minecraft.dropped.cyan_dye: #4, 56(12%)
minecraft.crafted.blackstone_wall: #4, 30(7%)
minecraft.mined.cyan_shulker_box: #5, 415(6%)
minecraft.dropped.acacia_leaves: #4, 62(6%)
minecraft.used.brown_dye: #4, 3(10%)
minecraft.picked_up.magenta_glazed_terracotta: #4, 73(5%)
minecraft.dropped.nether_quartz_ore: #4, 89(4%)
minecraft.used.yellow_terracotta: #5, 1242(8%)
minecraft.picked_up.warped_button: #5, 61(8%)
minecraft.mined.cyan_stained_glass: #4, 27(5%)
minecraft.dropped.birch_planks: #5, 149(7%)
minecraft.mined.warped_button: #4, 4(5%)
minecraft.used.golden_helmet: #4, 2(11%)
minecraft.mined.fire_coral_block: #4, 212(6%)
minecraft.used.birch_leaves: #5, 2148(6%)
minecraft.used.anvil: #5, 198(5%)
minecraft.dropped.crimson_planks: #4, 20(5%)
minecraft.crafted.purple_terracotta: #5, 1084(10%)
minecraft.crafted.gray_bed: #4, 4(8%)
minecraft.crafted.chain: #5, 726(6%)
minecraft.used.light_blue_dye: #5, 12(11%)
minecraft.dropped.deepslate_copper_ore: #4, 9(6%)
minecraft.dropped.magenta_shulker_box: #4, 1(12%)
minecraft.used.cod_bucket: #4, 3(6%)
minecraft.mined.spruce_leaves: #5, 5977(5%)
minecraft.used.cyan_bed: #4, 24(4%)
minecraft.crafted.coast_armor_trim_smithing_template: #4, 2(11%)
minecraft.used.cherry_stairs: #4, 7(11%)
minecraft.picked_up.plenty_pottery_sherd: #4, 3(9%)
minecraft.picked_up.spruce_trapdoor: #5, 432(5%)
minecraft.dropped.warped_stem: #4, 92(5%)
minecraft.custom.minecart_one_cm: #5, 3685479(5%)
minecraft.mined.polished_andesite: #5, 274(6%)
minecraft.crafted.polished_blackstone_brick_stairs: #4, 30(4%)
minecraft.mined.cocoa: #5, 393(6%)
minecraft.picked_up.map: #4, 53(3%)
minecraft.dropped.diamond_chestplate: #5, 5(11%)
minecraft.used.polished_blackstone_brick_wall: #4, 236(5%)
minecraft.used.orange_stained_glass: #5, 1461(9%)
minecraft.picked_up.apple: #5, 383(5%)
minecraft.picked_up.end_stone_bricks: #5, 196(7%)
minecraft.picked_up.polished_diorite: #5, 317(7%)
minecraft.picked_up.light_gray_terracotta: #5, 998(6%)
minecraft.used.oak_leaves: #4, 1319(2%)
minecraft.crafted.stripped_oak_wood: #4, 33(6%)
minecraft.dropped.sandstone: #5, 576(6%)
minecraft.crafted.brick_slab: #4, 433(3%)
minecraft.picked_up.gray_wool: #5, 671(6%)
minecraft.mined.snow: #5, 32153(5%)
minecraft.picked_up.explorer_pottery_sherd: #4, 3(5%)
minecraft.picked_up.cyan_bed: #4, 19(3%)
minecraft.crafted.bookshelf: #5, 1505(6%)
minecraft.mined.cyan_bed: #4, 18(3%)
minecraft.dropped.allium: #4, 6(3%)
minecraft.used.prismarine_brick_stairs: #4, 18(6%)
minecraft.crafted.nether_brick_slab: #4, 210(4%)
minecraft.picked_up.dead_tube_coral: #4, 1(7%)
minecraft.mined.dead_tube_coral: #4, 1(7%)
minecraft.mined.brown_wall_banner: #4, 1(8%)
minecraft.crafted.cyan_concrete_powder: #5, 3630(7%)
minecraft.used.polished_blackstone_brick_stairs: #4, 478(3%)
minecraft.crafted.granite_wall: #4, 30(4%)
minecraft.custom.target_hit: #5, 130(4%)
minecraft.dropped.crimson_trapdoor: #4, 3(3%)
minecraft.dropped.netherite_upgrade_smithing_template: #4, 1(8%)
minecraft.dropped.cherry_planks: #4, 4(4%)
minecraft.dropped.yellow_concrete: #4, 6(4%)
minecraft.crafted.deepslate_brick_wall: #5, 56(9%)
minecraft.dropped.acacia_sign: #4, 4(3%)
minecraft.mined.amethyst_cluster: #5, 1149(5%)
minecraft.mined.copper_block: #5, 211(5%)
minecraft.crafted.end_rod: #4, 288(3%)
minecraft.dropped.raw_iron_block: #4, 6(3%)
minecraft.mined.yellow_candle: #4, 2(3%)
minecraft.picked_up.purple_dye: #5, 45(10%)
minecraft.dropped.deepslate: #5, 3608(4%)
minecraft.crafted.purple_carpet: #4, 123(2%)
minecraft.used.book: #4, 25(2%)
minecraft.picked_up.purpur_block: #5, 254(6%)
minecraft.picked_up.blue_concrete_powder: #5, 62(5%)
minecraft.used.brick_slab: #4, 198(1%)
minecraft.custom.interact_with_crafting_table: #6, 4863(5%)
minecraft.dropped.blue_terracotta: #5, 27(12%)
minecraft.crafted.warped_hanging_sign: #4, 6(3%)
minecraft.picked_up.honeycomb_block: #4, 55(2%)
minecraft.mined.birch_wall_sign: #5, 53(4%)
minecraft.picked_up.chain: #6, 370(7%)
minecraft.picked_up.oxeye_daisy: #4, 76(1%)
minecraft.used.warped_hanging_sign: #4, 4(2%)
minecraft.mined.cherry_stairs: #4, 1(4%)
minecraft.crafted.cherry_slab: #4, 12(3%)
minecraft.picked_up.chorus_fruit: #5, 395(4%)
minecraft.picked_up.yellow_dye: #5, 144(9%)
minecraft.mined.white_concrete_powder: #4, 88(1%)
minecraft.dropped.blast_furnace: #4, 2(2%)
minecraft.dropped.blackstone_wall: #4, 6(2%)
minecraft.dropped.honeycomb_block: #4, 34(3%)
minecraft.crafted.smooth_quartz: #5, 1172(5%)
minecraft.picked_up.tube_coral_fan: #5, 132(6%)
minecraft.dropped.stone_axe: #5, 6(5%)
minecraft.dropped.green_carpet: #4, 12(2%)
minecraft.picked_up.polished_blackstone_brick_slab: #4, 19(1%)
minecraft.picked_up.pink_concrete: #5, 343(6%)
minecraft.crafted.waxed_oxidized_copper: #4, 38(2%)
minecraft.used.stripped_warped_hyphae: #5, 174(7%)
minecraft.dropped.light_blue_carpet: #4, 3(1%)
minecraft.dropped.snowball: #5, 867(4%)
minecraft.used.cherry_slab: #4, 4(2%)
